GENE_ID	locusLine	bin_1_43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
1_MACS_peak_63_lociStitched	chr1(.):6083804-6087209	0.2411
2_MACS_peak_64_lociStitched	chr1(.):6258560-6266809	0.1164
1_MACS_peak_66_lociStitched	chr1(.):6294804-6296813	0.182
1_MACS_peak_67_lociStitched	chr1(.):6419147-6420632	0.1638
1_MACS_peak_68_lociStitched	chr1(.):6453173-6454735	0.2071
1_MACS_peak_69_lociStitched	chr1(.):6549844-6551768	0.1346
1_MACS_peak_70_lociStitched	chr1(.):6613566-6615479	0.1688
1_MACS_peak_71_lociStitched	chr1(.):6639376-6641185	0.186
1_MACS_peak_72_lociStitched	chr1(.):6659675-6664788	0.2083
1_MACS_peak_73_lociStitched	chr1(.):6672338-6674894	0.1548
1_MACS_peak_74_lociStitched	chr1(.):6684366-6686598	0.191
1_MACS_peak_75_lociStitched	chr1(.):6760985-6762282	0.1384
1_MACS_peak_76_lociStitched	chr1(.):6843624-6845406	0.2134
1_MACS_peak_77_lociStitched	chr1(.):6892316-6893389	0.1407
1_MACS_peak_78_lociStitched	chr1(.):6978087-6979933	0.1334
1_MACS_peak_79_lociStitched	chr1(.):7830981-7832308	0.0939
2_MACS_peak_80_lociStitched	chr1(.):8013703-8022732	0.1358
1_MACS_peak_82_lociStitched	chr1(.):8454839-8456589	0.148
1_MACS_peak_83_lociStitched	chr1(.):8487104-8488516	0.2618
3_MACS_peak_84_lociStitched	chr1(.):8650116-8665150	0.1473
1_MACS_peak_87_lociStitched	chr1(.):8740394-8741915	0.2004
2_MACS_peak_88_lociStitched	chr1(.):8760598-8774063	0.1619
1_MACS_peak_90_lociStitched	chr1(.):8876219-8879025	0.1641
1_MACS_peak_91_lociStitched	chr1(.):8937200-8939939	0.2097
1_MACS_peak_92_lociStitched	chr1(.):9222310-9225920	0.2193
1_MACS_peak_93_lociStitched	chr1(.):9241217-9242956	0.2205
1_MACS_peak_94_lociStitched	chr1(.):9294559-9295891	0.1004
1_MACS_peak_95_lociStitched	chr1(.):9335562-9336389	0.2569
2_MACS_peak_96_lociStitched	chr1(.):9485424-9489435	0.1495
1_MACS_peak_98_lociStitched	chr1(.):9599478-9600674	0.0933
1_MACS_peak_99_lociStitched	chr1(.):9649189-9650129	0.1258
1_MACS_peak_100_lociStitched	chr1(.):9776778-9778498	0.2226
1_MACS_peak_101_lociStitched	chr1(.):9846412-9848710	0.2393
1_MACS_peak_102_lociStitched	chr1(.):9882476-9884302	0.155
1_MACS_peak_103_lociStitched	chr1(.):9960517-9961286	0.1444
2_MACS_peak_104_lociStitched	chr1(.):9968874-9971816	0.2284
2_MACS_peak_106_lociStitched	chr1(.):10002152-10011798	0.1703
1_MACS_peak_108_lociStitched	chr1(.):10050131-10051952	0.1377
1_MACS_peak_109_lociStitched	chr1(.):10078415-10079844	0.2072
1_MACS_peak_110_lociStitched	chr1(.):10092039-10094788	0.187
1_MACS_peak_111_lociStitched	chr1(.):10228071-10231339	0.1711
3_MACS_peak_112_lociStitched	chr1(.):10249056-10261614	0.1637
1_MACS_peak_115_lociStitched	chr1(.):10269468-10271621	0.2058
1_MACS_peak_116_lociStitched	chr1(.):10310864-10314825	0.2116
1_MACS_peak_117_lociStitched	chr1(.):10447655-10448649	0.1881
1_MACS_peak_118_lociStitched	chr1(.):10458201-10460287	0.1936
1_MACS_peak_119_lociStitched	chr1(.):10489827-10491919	0.2389
1_MACS_peak_120_lociStitched	chr1(.):10504338-10505896	0.2256
1_MACS_peak_121_lociStitched	chr1(.):10516212-10518177	0.1817
2_MACS_peak_122_lociStitched	chr1(.):10531756-10536213	0.202
1_MACS_peak_124_lociStitched	chr1(.):10554453-10556030	0.2919
1_MACS_peak_125_lociStitched	chr1(.):11071761-11073993	0.1966
1_MACS_peak_126_lociStitched	chr1(.):11118940-11121429	0.1729
1_MACS_peak_127_lociStitched	chr1(.):11158896-11160588	0.274
1_MACS_peak_128_lociStitched	chr1(.):11286983-11288121	0.2026
1_MACS_peak_129_lociStitched	chr1(.):11321706-11323380	0.2097
1_MACS_peak_130_lociStitched	chr1(.):11333157-11334395	0.1833
1_MACS_peak_131_lociStitched	chr1(.):11538541-11539558	0.0972
2_MACS_peak_132_lociStitched	chr1(.):11622987-11631618	0.1937
1_MACS_peak_134_lociStitched	chr1(.):11714164-11715164	0.101
1_MACS_peak_135_lociStitched	chr1(.):11724002-11725290	0.1861
1_MACS_peak_136_lociStitched	chr1(.):11740437-11742106	0.2588
1_MACS_peak_137_lociStitched	chr1(.):11795808-11797818	0.2418
1_MACS_peak_138_lociStitched	chr1(.):11842983-11845997	0.1741
2_MACS_peak_139_lociStitched	chr1(.):11863067-11867551	0.2464
1_MACS_peak_141_lociStitched	chr1(.):11967455-11970628	0.2547
1_MACS_peak_142_lociStitched	chr1(.):11984501-11987452	0.1624
1_MACS_peak_143_lociStitched	chr1(.):11994005-11995404	0.2231
1_MACS_peak_144_lociStitched	chr1(.):12039526-12041255	0.2123
1_MACS_peak_145_lociStitched	chr1(.):12078918-12080477	0.2436
2_MACS_peak_146_lociStitched	chr1(.):12106916-12113030	0.1854
1_MACS_peak_148_lociStitched	chr1(.):12221159-12223160	0.2408
1_MACS_peak_149_lociStitched	chr1(.):12289759-12291559	0.1723
1_MACS_peak_150_lociStitched	chr1(.):12404429-12405452	0.1648
1_MACS_peak_151_lociStitched	chr1(.):12495187-12496728	0.2197
1_MACS_peak_152_lociStitched	chr1(.):12508873-12510426	0.2042
1_MACS_peak_153_lociStitched	chr1(.):12677751-12679119	0.1531
1_MACS_peak_154_lociStitched	chr1(.):13824563-13825818	0.1551
1_MACS_peak_155_lociStitched	chr1(.):13985616-13986071	0.0178
1_MACS_peak_156_lociStitched	chr1(.):14026032-14027069	0.1497
1_MACS_peak_157_lociStitched	chr1(.):14056594-14058282	0.2972
1_MACS_peak_158_lociStitched	chr1(.):14074768-14077061	0.1767
1_MACS_peak_159_lociStitched	chr1(.):14155241-14156294	0.3329
4_MACS_peak_160_lociStitched	chr1(.):14237566-14254864	0.097
1_MACS_peak_164_lociStitched	chr1(.):14292345-14295454	0.2108
3_MACS_peak_165_lociStitched	chr1(.):14329480-14345056	0.1378
1_MACS_peak_168_lociStitched	chr1(.):14361834-14367694	0.1847
1_MACS_peak_169_lociStitched	chr1(.):14463496-14464344	0.0486
2_MACS_peak_170_lociStitched	chr1(.):14500938-14508666	0.1559
1_MACS_peak_172_lociStitched	chr1(.):14687038-14688356	0.1681
1_MACS_peak_173_lociStitched	chr1(.):15059125-15060359	0.1007
1_MACS_peak_174_lociStitched	chr1(.):15160989-15164219	0.2057
1_MACS_peak_175_lociStitched	chr1(.):15208009-15208984	0.1469
1_MACS_peak_176_lociStitched	chr1(.):15482379-15483427	0.1124
2_MACS_peak_177_lociStitched	chr1(.):15502054-15506465	0.1708
1_MACS_peak_179_lociStitched	chr1(.):15735397-15737119	0.1075
1_MACS_peak_180_lociStitched	chr1(.):15849759-15854464	0.2261
3_MACS_peak_181_lociStitched	chr1(.):15897227-15912209	0.1523
1_MACS_peak_184_lociStitched	chr1(.):15942552-15945891	0.2421
1_MACS_peak_185_lociStitched	chr1(.):16009976-16012250	0.1169
1_MACS_peak_186_lociStitched	chr1(.):16022546-16025122	0.2173
1_MACS_peak_187_lociStitched	chr1(.):16149716-16150924	0.128
1_MACS_peak_188_lociStitched	chr1(.):16159943-16163603	0.2504
2_MACS_peak_189_lociStitched	chr1(.):16173017-16179004	0.2036
1_MACS_peak_191_lociStitched	chr1(.):16212079-16213380	0.0934
1_MACS_peak_192_lociStitched	chr1(.):16301619-16303260	0.2347
1_MACS_peak_193_lociStitched	chr1(.):16532749-16534194	0.0932
1_MACS_peak_194_lociStitched	chr1(.):16562540-16564468	0.2248
1_MACS_peak_195_lociStitched	chr1(.):16677522-16679674	0.2072
1_MACS_peak_196_lociStitched	chr1(.):16692853-16695509	0.2508
1_MACS_peak_197_lociStitched	chr1(.):16766648-16771354	0.2207
2_MACS_peak_198_lociStitched	chr1(.):16825037-16833118	0.133
1_MACS_peak_201_lociStitched	chr1(.):16938852-16940891	0.8581
1_MACS_peak_202_lociStitched	chr1(.):16969009-16972585	0.6642
1_MACS_peak_203_lociStitched	chr1(.):16991719-16994698	0.6766
2_MACS_peak_204_lociStitched	chr1(.):17065725-17075607	0.3706
3_MACS_peak_206_lociStitched	chr1(.):17221331-17241608	0.309
1_MACS_peak_209_lociStitched	chr1(.):17286563-17288283	0.1249
1_MACS_peak_210_lociStitched	chr1(.):17337656-17338455	0.1144
1_MACS_peak_211_lociStitched	chr1(.):17379568-17380983	0.2143
1_MACS_peak_212_lociStitched	chr1(.):17763537-17766595	0.1063
1_MACS_peak_213_lociStitched	chr1(.):19228273-19230231	0.2032
1_MACS_peak_214_lociStitched	chr1(.):19252246-19255462	0.3184
2_MACS_peak_215_lociStitched	chr1(.):19276491-19282760	0.1613
1_MACS_peak_217_lociStitched	chr1(.):19535616-19538084	0.3111
1_MACS_peak_218_lociStitched	chr1(.):19577142-19579066	0.2048
1_MACS_peak_219_lociStitched	chr1(.):19637674-19639741	0.2339
1_MACS_peak_220_lociStitched	chr1(.):19810826-19813505	0.1867
1_MACS_peak_221_lociStitched	chr1(.):19922401-19924816	0.2428
1_MACS_peak_222_lociStitched	chr1(.):20125403-20127695	0.1583
1_MACS_peak_223_lociStitched	chr1(.):20208420-20209971	0.2145
1_MACS_peak_224_lociStitched	chr1(.):20415635-20416832	0.2346
1_MACS_peak_225_lociStitched	chr1(.):20445938-20446751	0.1251
1_MACS_peak_226_lociStitched	chr1(.):20833689-20835268	0.255
1_MACS_peak_227_lociStitched	chr1(.):20959640-20961215	0.1671
1_MACS_peak_228_lociStitched	chr1(.):20986798-20988946	0.2414
1_MACS_peak_229_lociStitched	chr1(.):21022866-21023758	0.139
1_MACS_peak_230_lociStitched	chr1(.):21111455-21114931	0.2496
1_MACS_peak_231_lociStitched	chr1(.):21290590-21292370	0.3031
1_MACS_peak_232_lociStitched	chr1(.):21348250-21349968	0.2047
2_MACS_peak_233_lociStitched	chr1(.):21501673-21503751	0.1876
1_MACS_peak_235_lociStitched	chr1(.):21615504-21622546	0.2277
1_MACS_peak_236_lociStitched	chr1(.):21659952-21661999	0.2333
1_MACS_peak_237_lociStitched	chr1(.):21671092-21672906	0.1607
1_MACS_peak_238_lociStitched	chr1(.):21765880-21767227	0.2837
2_MACS_peak_239_lociStitched	chr1(.):22026390-22031391	0.1545
1_MACS_peak_241_lociStitched	chr1(.):22099604-22100696	0.2275
1_MACS_peak_242_lociStitched	chr1(.):22107509-22110760	0.2487
1_MACS_peak_243_lociStitched	chr1(.):22117426-22119237	0.2142
1_MACS_peak_244_lociStitched	chr1(.):22191544-22193991	0.2139
1_MACS_peak_245_lociStitched	chr1(.):22350164-22353518	0.2655
1_MACS_peak_246_lociStitched	chr1(.):22365606-22367437	0.2569
1_MACS_peak_247_lociStitched	chr1(.):22378352-22380709	0.1738
1_MACS_peak_248_lociStitched	chr1(.):22777681-22779687	0.2417
1_MACS_peak_249_lociStitched	chr1(.):22820347-22822066	0.2081
1_MACS_peak_250_lociStitched	chr1(.):23345198-23346994	0.203
1_MACS_peak_251_lociStitched	chr1(.):23494720-23495482	0.1769
1_MACS_peak_252_lociStitched	chr1(.):23668101-23672092	0.217
1_MACS_peak_253_lociStitched	chr1(.):23693904-23696864	0.2496
1_MACS_peak_254_lociStitched	chr1(.):23849119-23858680	0.2568
3_MACS_peak_255_lociStitched	chr1(.):23880380-23889269	0.2082
1_MACS_peak_258_lociStitched	chr1(.):23903581-23904857	0.152
1_MACS_peak_259_lociStitched	chr1(.):23918524-23921057	0.1913
3_MACS_peak_260_lociStitched	chr1(.):23937465-23954538	0.1697
1_MACS_peak_263_lociStitched	chr1(.):23961044-23962463	0.3035
1_MACS_peak_264_lociStitched	chr1(.):24017777-24019675	0.2366
1_MACS_peak_265_lociStitched	chr1(.):24069157-24072142	0.2288
1_MACS_peak_266_lociStitched	chr1(.):24103984-24105991	0.1866
1_MACS_peak_267_lociStitched	chr1(.):24116755-24118740	0.1874
1_MACS_peak_268_lociStitched	chr1(.):24125818-24128067	0.1623
1_MACS_peak_269_lociStitched	chr1(.):24150982-24152923	0.1859
1_MACS_peak_270_lociStitched	chr1(.):24180903-24182804	0.2929
2_MACS_peak_271_lociStitched	chr1(.):24191208-24195216	0.1895
1_MACS_peak_273_lociStitched	chr1(.):24246041-24247549	0.2136
3_MACS_peak_274_lociStitched	chr1(.):24281251-24292208	0.1978
1_MACS_peak_277_lociStitched	chr1(.):24304781-24307852	0.2096
1_MACS_peak_278_lociStitched	chr1(.):24357658-24358348	0.0684
2_MACS_peak_279_lociStitched	chr1(.):24468765-24479353	0.154
1_MACS_peak_281_lociStitched	chr1(.):24500394-24501263	0.1427
3_MACS_peak_282_lociStitched	chr1(.):24512099-24533983	0.2188
1_MACS_peak_285_lociStitched	chr1(.):24645390-24650639	0.2797
1_MACS_peak_286_lociStitched	chr1(.):24676783-24678380	0.1356
2_MACS_peak_287_lociStitched	chr1(.):24710077-24720767	0.2412
2_MACS_peak_289_lociStitched	chr1(.):24739455-24744103	0.252
1_MACS_peak_291_lociStitched	chr1(.):24791791-24793024	0.1844
1_MACS_peak_292_lociStitched	chr1(.):24807181-24808472	0.1952
1_MACS_peak_293_lociStitched	chr1(.):24827314-24830524	0.2165
1_MACS_peak_294_lociStitched	chr1(.):24861168-24862397	0.2493
1_MACS_peak_295_lociStitched	chr1(.):24967956-24971203	0.2718
2_MACS_peak_296_lociStitched	chr1(.):25048491-25055006	0.1596
1_MACS_peak_298_lociStitched	chr1(.):25069611-25076549	0.1833
1_MACS_peak_299_lociStitched	chr1(.):25174314-25175647	0.1507
1_MACS_peak_300_lociStitched	chr1(.):25254254-25257809	0.173
1_MACS_peak_301_lociStitched	chr1(.):25290909-25292885	0.1921
1_MACS_peak_302_lociStitched	chr1(.):25347701-25350697	0.2713
1_MACS_peak_303_lociStitched	chr1(.):25358043-25359222	0.1622
4_MACS_peak_304_lociStitched	chr1(.):25558049-25575085	0.1862
1_MACS_peak_308_lociStitched	chr1(.):25592795-25595187	0.303
1_MACS_peak_309_lociStitched	chr1(.):25663067-25666215	0.2549
1_MACS_peak_310_lociStitched	chr1(.):25756147-25758197	0.175
1_MACS_peak_311_lociStitched	chr1(.):25798711-25800964	0.2291
2_MACS_peak_312_lociStitched	chr1(.):25869642-25877891	0.2253
1_MACS_peak_314_lociStitched	chr1(.):25886731-25890380	0.2113
3_MACS_peak_315_lociStitched	chr1(.):25942094-25947601	0.1827
1_MACS_peak_318_lociStitched	chr1(.):25958308-25959451	0.142
1_MACS_peak_319_lociStitched	chr1(.):25967825-25970068	0.295
1_MACS_peak_320_lociStitched	chr1(.):26125991-26126644	0.1598
1_MACS_peak_321_lociStitched	chr1(.):26145449-26148214	0.1839
1_MACS_peak_322_lociStitched	chr1(.):26231071-26233071	0.1311
1_MACS_peak_323_lociStitched	chr1(.):26323103-26325517	0.2789
3_MACS_peak_324_lociStitched	chr1(.):26436711-26453953	0.1524
2_MACS_peak_327_lociStitched	chr1(.):26496089-26504559	0.076
1_MACS_peak_329_lociStitched	chr1(.):26559807-26562242	0.2805
1_MACS_peak_330_lociStitched	chr1(.):26578451-26580011	0.2143
3_MACS_peak_331_lociStitched	chr1(.):26601928-26615174	0.1526
1_MACS_peak_334_lociStitched	chr1(.):26632323-26634907	0.1943
1_MACS_peak_335_lociStitched	chr1(.):26641611-26642552	0.22
1_MACS_peak_336_lociStitched	chr1(.):26758413-26759738	0.3316
1_MACS_peak_337_lociStitched	chr1(.):26797910-26800652	0.2108
1_MACS_peak_338_lociStitched	chr1(.):26826430-26828705	0.2073
1_MACS_peak_339_lociStitched	chr1(.):26856192-26856905	0.2092
2_MACS_peak_340_lociStitched	chr1(.):26865710-26873520	0.228
1_MACS_peak_342_lociStitched	chr1(.):26946018-26948776	0.2319
1_MACS_peak_343_lociStitched	chr1(.):27018203-27030532	0.2492
3_MACS_peak_344_lociStitched	chr1(.):27059987-27072779	0.1946
1_MACS_peak_347_lociStitched	chr1(.):27112148-27116170	0.2627
4_MACS_peak_348_lociStitched	chr1(.):27147098-27167362	0.1559
2_MACS_peak_352_lociStitched	chr1(.):27188758-27193196	0.2167
1_MACS_peak_354_lociStitched	chr1(.):27215429-27217472	0.2073
1_MACS_peak_355_lociStitched	chr1(.):27225862-27227926	0.2178
1_MACS_peak_356_lociStitched	chr1(.):27247752-27249141	0.2427
1_MACS_peak_357_lociStitched	chr1(.):27286090-27287514	0.1956
1_MACS_peak_358_lociStitched	chr1(.):27463160-27464268	0.1136
1_MACS_peak_359_lociStitched	chr1(.):27480883-27482340	0.2484
1_MACS_peak_360_lociStitched	chr1(.):27560223-27562696	0.2084
1_MACS_peak_361_lociStitched	chr1(.):27648249-27649933	0.28
2_MACS_peak_362_lociStitched	chr1(.):27667719-27676381	0.1269
1_MACS_peak_364_lociStitched	chr1(.):27692894-27693882	0.1376
1_MACS_peak_365_lociStitched	chr1(.):27744159-27745886	0.1973
3_MACS_peak_366_lociStitched	chr1(.):27757408-27766393	0.1422
2_MACS_peak_369_lociStitched	chr1(.):27814792-27818882	0.2426
1_MACS_peak_371_lociStitched	chr1(.):27930141-27930767	0.1079
1_MACS_peak_372_lociStitched	chr1(.):27998041-27999603	0.2664
1_MACS_peak_373_lociStitched	chr1(.):28051555-28053663	0.1889
1_MACS_peak_374_lociStitched	chr1(.):28078749-28079813	0.1554
1_MACS_peak_375_lociStitched	chr1(.):28098762-28100844	0.2281
1_MACS_peak_376_lociStitched	chr1(.):28156342-28158285	0.1981
1_MACS_peak_377_lociStitched	chr1(.):28217518-28219032	0.1423
1_MACS_peak_378_lociStitched	chr1(.):28240276-28241911	0.319
1_MACS_peak_379_lociStitched	chr1(.):28285463-28287478	0.1822
1_MACS_peak_380_lociStitched	chr1(.):28322481-28323702	0.1642
2_MACS_peak_381_lociStitched	chr1(.):28352199-28364272	0.1938
2_MACS_peak_383_lociStitched	chr1(.):28389928-28397471	0.1306
1_MACS_peak_385_lociStitched	chr1(.):28413528-28416100	0.3015
1_MACS_peak_386_lociStitched	chr1(.):28473973-28475245	0.3204
2_MACS_peak_387_lociStitched	chr1(.):28495188-28500095	0.2175
3_MACS_peak_389_lociStitched	chr1(.):28558489-28577029	0.1865
1_MACS_peak_392_lociStitched	chr1(.):28585242-28587251	0.1935
1_MACS_peak_393_lociStitched	chr1(.):28654836-28656627	0.1997
1_MACS_peak_394_lociStitched	chr1(.):28695394-28697503	0.239
1_MACS_peak_395_lociStitched	chr1(.):28763922-28765426	0.2797
3_MACS_peak_396_lociStitched	chr1(.):28827091-28846064	0.181
1_MACS_peak_399_lociStitched	chr1(.):28878245-28881183	0.3028
3_MACS_peak_400_lociStitched	chr1(.):28903045-28914554	0.1844
2_MACS_peak_403_lociStitched	chr1(.):28924196-28929725	0.2096
2_MACS_peak_405_lociStitched	chr1(.):28968354-28976256	0.1933
1_MACS_peak_407_lociStitched	chr1(.):28994368-28997015	0.1937
1_MACS_peak_408_lociStitched	chr1(.):29062290-29065011	0.1825
1_MACS_peak_409_lociStitched	chr1(.):29101146-29102499	0.233
2_MACS_peak_410_lociStitched	chr1(.):29211010-29214813	0.1714
1_MACS_peak_412_lociStitched	chr1(.):29239996-29242534	0.263
1_MACS_peak_413_lociStitched	chr1(.):29252427-29255666	0.202
1_MACS_peak_414_lociStitched	chr1(.):29312620-29313772	0.1515
1_MACS_peak_415_lociStitched	chr1(.):29506803-29509896	0.2027
1_MACS_peak_416_lociStitched	chr1(.):29556735-29558097	0.2275
1_MACS_peak_417_lociStitched	chr1(.):30347281-30351510	0.1184
2_MACS_peak_418_lociStitched	chr1(.):30369747-30375353	0.0915
1_MACS_peak_420_lociStitched	chr1(.):31190646-31192560	0.2896
2_MACS_peak_421_lociStitched	chr1(.):31213892-31233399	0.2574
1_MACS_peak_423_lociStitched	chr1(.):31254994-31256139	0.2169
1_MACS_peak_424_lociStitched	chr1(.):31535981-31539350	0.2244
1_MACS_peak_425_lociStitched	chr1(.):31635294-31635996	0.1664
1_MACS_peak_426_lociStitched	chr1(.):31768417-31770804	0.2314
1_MACS_peak_427_lociStitched	chr1(.):31913731-31915797	0.1963
1_MACS_peak_428_lociStitched	chr1(.):31933237-31934461	0.1388
2_MACS_peak_429_lociStitched	chr1(.):31943944-31951450	0.1861
1_MACS_peak_431_lociStitched	chr1(.):31959488-31960920	0.1777
1_MACS_peak_432_lociStitched	chr1(.):31971343-31972493	0.2326
1_MACS_peak_433_lociStitched	chr1(.):32109594-32111541	0.2736
1_MACS_peak_434_lociStitched	chr1(.):32209511-32211770	0.2406
1_MACS_peak_435_lociStitched	chr1(.):32253407-32255096	0.2916
1_MACS_peak_436_lociStitched	chr1(.):32402082-32404789	0.1603
1_MACS_peak_437_lociStitched	chr1(.):32421244-32422570	0.2019
2_MACS_peak_438_lociStitched	chr1(.):32445818-32451981	0.2283
2_MACS_peak_440_lociStitched	chr1(.):32472347-32481079	0.1487
1_MACS_peak_442_lociStitched	chr1(.):32537383-32539551	0.2448
1_MACS_peak_443_lociStitched	chr1(.):32572717-32575335	0.2032
1_MACS_peak_444_lociStitched	chr1(.):32644429-32646486	0.2868
2_MACS_peak_445_lociStitched	chr1(.):32666509-32672209	0.1445
1_MACS_peak_447_lociStitched	chr1(.):32687134-32688966	0.1985
1_MACS_peak_448_lociStitched	chr1(.):32713515-32717019	0.2759
1_MACS_peak_449_lociStitched	chr1(.):32756536-32758821	0.1935
1_MACS_peak_450_lociStitched	chr1(.):32802965-32803986	0.1429
1_MACS_peak_451_lociStitched	chr1(.):32816395-32818193	0.176
1_MACS_peak_452_lociStitched	chr1(.):32859030-32861311	0.3215
1_MACS_peak_453_lociStitched	chr1(.):32965533-32966780	0.1408
2_MACS_peak_454_lociStitched	chr1(.):33087990-33095768	0.2015
1_MACS_peak_456_lociStitched	chr1(.):33114833-33118164	0.2518
1_MACS_peak_457_lociStitched	chr1(.):33207558-33208690	0.1597
1_MACS_peak_458_lociStitched	chr1(.):33281517-33285486	0.2363
1_MACS_peak_459_lociStitched	chr1(.):33429109-33431330	0.1907
1_MACS_peak_460_lociStitched	chr1(.):33445635-33448411	0.2491
1_MACS_peak_461_lociStitched	chr1(.):33457188-33459281	0.262
1_MACS_peak_462_lociStitched	chr1(.):33501500-33503193	0.2545
1_MACS_peak_463_lociStitched	chr1(.):33545991-33547473	0.3155
1_MACS_peak_464_lociStitched	chr1(.):33563926-33566359	0.2456
1_MACS_peak_465_lociStitched	chr1(.):33592085-33594483	0.3285
2_MACS_peak_466_lociStitched	chr1(.):33720586-33723274	0.119
2_MACS_peak_468_lociStitched	chr1(.):33814106-33816298	0.1762
1_MACS_peak_470_lociStitched	chr1(.):33925156-33928972	0.2412
1_MACS_peak_471_lociStitched	chr1(.):33937397-33938925	0.3025
1_MACS_peak_472_lociStitched	chr1(.):34514586-34515603	0.1365
1_MACS_peak_473_lociStitched	chr1(.):34826762-34828223	0.113
2_MACS_peak_474_lociStitched	chr1(.):35324270-35332749	0.1625
1_MACS_peak_476_lociStitched	chr1(.):35449719-35451681	0.104
1_MACS_peak_477_lociStitched	chr1(.):35495821-35498120	0.2442
1_MACS_peak_478_lociStitched	chr1(.):35544180-35546202	0.2329
1_MACS_peak_479_lociStitched	chr1(.):35656991-35659738	0.2624
1_MACS_peak_480_lociStitched	chr1(.):35733534-35735431	0.213
1_MACS_peak_481_lociStitched	chr1(.):35971584-35973640	0.1737
1_MACS_peak_482_lociStitched	chr1(.):36004020-36005837	0.1815
1_MACS_peak_483_lociStitched	chr1(.):36021726-36024408	0.2041
1_MACS_peak_484_lociStitched	chr1(.):36042747-36043998	0.1835
1_MACS_peak_485_lociStitched	chr1(.):36088265-36090175	0.176
2_MACS_peak_486_lociStitched	chr1(.):36102566-36108694	0.2223
1_MACS_peak_488_lociStitched	chr1(.):36183675-36185329	0.1987
1_MACS_peak_489_lociStitched	chr1(.):36200703-36202141	0.2674
