GENE_ID	locusLine	bin_1_06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13.bam
1_MACS_peak_69_lociStitched	chr1(.):3773413-3774953	0.7551
1_MACS_peak_70_lociStitched	chr1(.):3815914-3818350	4.3894
1_MACS_peak_71_lociStitched	chr1(.):3838101-3839785	0.5093
1_MACS_peak_72_lociStitched	chr1(.):4439062-4440595	0.6149
1_MACS_peak_73_lociStitched	chr1(.):4997600-4998721	0.4025
1_MACS_peak_74_lociStitched	chr1(.):6051133-6055497	1.4073
1_MACS_peak_75_lociStitched	chr1(.):6083950-6087366	1.4585
2_MACS_peak_76_lociStitched	chr1(.):6258521-6267016	0.5873
1_MACS_peak_78_lociStitched	chr1(.):6294521-6296853	1.1467
1_MACS_peak_79_lociStitched	chr1(.):6418993-6420720	0.6262
1_MACS_peak_80_lociStitched	chr1(.):6452443-6454987	1.072
1_MACS_peak_81_lociStitched	chr1(.):6474175-6475724	1.3126
1_MACS_peak_82_lociStitched	chr1(.):6531884-6533084	0.4473
1_MACS_peak_83_lociStitched	chr1(.):6549802-6551859	1.2012
1_MACS_peak_84_lociStitched	chr1(.):6613582-6615535	0.8987
1_MACS_peak_85_lociStitched	chr1(.):6639656-6641034	0.7559
1_MACS_peak_86_lociStitched	chr1(.):6660109-6664795	2.2415
1_MACS_peak_87_lociStitched	chr1(.):6672420-6674811	1.217
1_MACS_peak_88_lociStitched	chr1(.):6684536-6686622	1.2355
1_MACS_peak_89_lociStitched	chr1(.):6760916-6762680	0.8194
1_MACS_peak_90_lociStitched	chr1(.):6843563-6845389	2.2013
1_MACS_peak_91_lociStitched	chr1(.):6892118-6893668	0.5185
1_MACS_peak_92_lociStitched	chr1(.):6977737-6980236	1.1758
1_MACS_peak_93_lociStitched	chr1(.):7830549-7832263	0.622
2_MACS_peak_94_lociStitched	chr1(.):8013614-8022696	0.3991
1_MACS_peak_96_lociStitched	chr1(.):8085895-8086757	0.4805
1_MACS_peak_97_lociStitched	chr1(.):8455019-8456305	0.6037
3_MACS_peak_98_lociStitched	chr1(.):8650152-8665469	0.3931
1_MACS_peak_101_lociStitched	chr1(.):8740419-8741742	0.5979
2_MACS_peak_102_lociStitched	chr1(.):8760485-8773685	0.6176
1_MACS_peak_104_lociStitched	chr1(.):8875821-8878906	1.3616
1_MACS_peak_105_lociStitched	chr1(.):8889037-8890526	0.5872
1_MACS_peak_106_lociStitched	chr1(.):8936807-8940132	2.108
1_MACS_peak_107_lociStitched	chr1(.):9139496-9141705	0.8137
1_MACS_peak_108_lociStitched	chr1(.):9170761-9172281	0.4953
1_MACS_peak_109_lociStitched	chr1(.):9221885-9226216	3.7494
1_MACS_peak_110_lociStitched	chr1(.):9240903-9243396	1.8054
1_MACS_peak_111_lociStitched	chr1(.):9294394-9295739	0.8068
1_MACS_peak_112_lociStitched	chr1(.):9335081-9336531	0.4894
2_MACS_peak_113_lociStitched	chr1(.):9485714-9489828	0.5894
1_MACS_peak_115_lociStitched	chr1(.):9599490-9600341	0.4913
1_MACS_peak_116_lociStitched	chr1(.):9615018-9616054	0.6275
1_MACS_peak_117_lociStitched	chr1(.):9648011-9650336	0.6646
1_MACS_peak_118_lociStitched	chr1(.):9748777-9749766	0.4003
1_MACS_peak_119_lociStitched	chr1(.):9776737-9778937	3.1521
1_MACS_peak_120_lociStitched	chr1(.):9846442-9848766	1.1963
1_MACS_peak_121_lociStitched	chr1(.):9882533-9884486	0.9735
2_MACS_peak_122_lociStitched	chr1(.):9969078-9971690	0.9638
2_MACS_peak_124_lociStitched	chr1(.):10002179-10011536	0.516
1_MACS_peak_126_lociStitched	chr1(.):10020620-10021887	0.4989
1_MACS_peak_127_lociStitched	chr1(.):10049978-10051866	1.0771
1_MACS_peak_128_lociStitched	chr1(.):10078334-10079878	0.5919
1_MACS_peak_129_lociStitched	chr1(.):10092096-10094279	1.6666
1_MACS_peak_130_lociStitched	chr1(.):10228311-10232038	1.3602
1_MACS_peak_131_lociStitched	chr1(.):10249123-10250995	0.9583
1_MACS_peak_132_lociStitched	chr1(.):10259942-10261973	1.0043
1_MACS_peak_133_lociStitched	chr1(.):10269553-10271879	1.3385
1_MACS_peak_134_lociStitched	chr1(.):10310483-10314862	0.9831
1_MACS_peak_135_lociStitched	chr1(.):10447516-10448593	0.5178
1_MACS_peak_136_lociStitched	chr1(.):10458288-10460304	1.1319
1_MACS_peak_137_lociStitched	chr1(.):10489763-10491985	1.5538
1_MACS_peak_138_lociStitched	chr1(.):10504134-10505850	0.7156
1_MACS_peak_139_lociStitched	chr1(.):10516149-10518183	1.0985
2_MACS_peak_140_lociStitched	chr1(.):10531720-10536069	0.716
1_MACS_peak_142_lociStitched	chr1(.):10999352-11001269	0.8007
1_MACS_peak_143_lociStitched	chr1(.):11071437-11073933	2.7832
1_MACS_peak_144_lociStitched	chr1(.):11118715-11121582	1.0337
1_MACS_peak_145_lociStitched	chr1(.):11158886-11160613	1.6229
1_MACS_peak_146_lociStitched	chr1(.):11321722-11323111	0.7636
1_MACS_peak_147_lociStitched	chr1(.):11332780-11334464	1.8125
1_MACS_peak_148_lociStitched	chr1(.):11538425-11539756	2.4063
2_MACS_peak_149_lociStitched	chr1(.):11623200-11631907	0.8046
1_MACS_peak_151_lociStitched	chr1(.):11714014-11715197	0.5814
1_MACS_peak_152_lociStitched	chr1(.):11724068-11725267	0.6308
1_MACS_peak_153_lociStitched	chr1(.):11740347-11742346	1.2985
1_MACS_peak_154_lociStitched	chr1(.):11795663-11798127	1.6334
1_MACS_peak_155_lociStitched	chr1(.):11843033-11845692	1.2023
2_MACS_peak_156_lociStitched	chr1(.):11862934-11867487	1.4776
1_MACS_peak_158_lociStitched	chr1(.):11967451-11970743	3.3983
2_MACS_peak_159_lociStitched	chr1(.):11984325-11995432	0.4147
1_MACS_peak_161_lociStitched	chr1(.):12039306-12041368	1.6544
1_MACS_peak_162_lociStitched	chr1(.):12078621-12080649	0.6596
2_MACS_peak_163_lociStitched	chr1(.):12105938-12113465	0.7972
1_MACS_peak_165_lociStitched	chr1(.):12138495-12140022	0.5545
2_MACS_peak_166_lociStitched	chr1(.):12220746-12227961	0.8849
1_MACS_peak_168_lociStitched	chr1(.):12269951-12271666	0.4465
1_MACS_peak_169_lociStitched	chr1(.):12289723-12291728	0.762
1_MACS_peak_170_lociStitched	chr1(.):12493956-12496929	0.6502
1_MACS_peak_171_lociStitched	chr1(.):12508744-12510522	0.4717
1_MACS_peak_172_lociStitched	chr1(.):12677889-12679586	0.6623
1_MACS_peak_173_lociStitched	chr1(.):12896640-12897560	0.4329
1_MACS_peak_174_lociStitched	chr1(.):13824588-13826017	0.4611
1_MACS_peak_175_lociStitched	chr1(.):13968397-13969507	0.4446
1_MACS_peak_176_lociStitched	chr1(.):14025908-14027578	0.8085
1_MACS_peak_177_lociStitched	chr1(.):14056292-14058584	1.4624
1_MACS_peak_178_lociStitched	chr1(.):14074921-14077021	1.3496
1_MACS_peak_179_lociStitched	chr1(.):14155129-14156566	0.9501
3_MACS_peak_180_lociStitched	chr1(.):14237320-14255016	0.4378
1_MACS_peak_183_lociStitched	chr1(.):14271750-14273466	0.6182
1_MACS_peak_184_lociStitched	chr1(.):14292275-14295514	0.7531
3_MACS_peak_185_lociStitched	chr1(.):14329395-14344953	0.6976
1_MACS_peak_188_lociStitched	chr1(.):14361433-14367766	2.2623
1_MACS_peak_189_lociStitched	chr1(.):14463414-14465029	0.4565
2_MACS_peak_190_lociStitched	chr1(.):14500756-14508924	0.9228
2_MACS_peak_192_lociStitched	chr1(.):14686937-14697638	0.368
1_MACS_peak_194_lociStitched	chr1(.):15059209-15060537	0.5004
1_MACS_peak_195_lociStitched	chr1(.):15150242-15151921	0.5552
1_MACS_peak_196_lociStitched	chr1(.):15160285-15164887	3.4373
2_MACS_peak_197_lociStitched	chr1(.):15202237-15209551	0.6207
2_MACS_peak_199_lociStitched	chr1(.):15479881-15483491	0.3883
3_MACS_peak_201_lociStitched	chr1(.):15499957-15506684	0.9068
1_MACS_peak_204_lociStitched	chr1(.):15545008-15546792	0.5305
1_MACS_peak_205_lociStitched	chr1(.):15557398-15559192	0.5536
1_MACS_peak_206_lociStitched	chr1(.):15574764-15576143	0.5565
2_MACS_peak_207_lociStitched	chr1(.):15583824-15588924	0.5711
1_MACS_peak_209_lociStitched	chr1(.):15623327-15624469	0.6056
1_MACS_peak_210_lociStitched	chr1(.):15688239-15689991	0.5511
1_MACS_peak_211_lociStitched	chr1(.):15710425-15711555	0.4612
1_MACS_peak_212_lociStitched	chr1(.):15735324-15737479	0.8199
2_MACS_peak_213_lociStitched	chr1(.):15850040-15854428	0.7191
3_MACS_peak_215_lociStitched	chr1(.):15896916-15912178	0.8335
1_MACS_peak_218_lociStitched	chr1(.):15942474-15945887	1.1597
1_MACS_peak_219_lociStitched	chr1(.):16009760-16012171	1.354
1_MACS_peak_220_lociStitched	chr1(.):16023183-16024811	1.3515
1_MACS_peak_221_lociStitched	chr1(.):16160061-16163561	5.4589
2_MACS_peak_222_lociStitched	chr1(.):16172955-16178985	1.3258
1_MACS_peak_224_lociStitched	chr1(.):16212172-16213264	0.3987
1_MACS_peak_225_lociStitched	chr1(.):16301482-16303376	0.7777
2_MACS_peak_226_lociStitched	chr1(.):16399817-16406202	0.2854
1_MACS_peak_228_lociStitched	chr1(.):16532630-16534430	0.7442
1_MACS_peak_229_lociStitched	chr1(.):16562750-16564604	1.2392
1_MACS_peak_230_lociStitched	chr1(.):16677637-16679912	1.351
1_MACS_peak_231_lociStitched	chr1(.):16692764-16695412	2.0882
1_MACS_peak_232_lociStitched	chr1(.):16766404-16771505	1.3484
2_MACS_peak_233_lociStitched	chr1(.):16825018-16833376	0.3078
1_MACS_peak_236_lociStitched	chr1(.):16938843-16941318	1.7002
1_MACS_peak_237_lociStitched	chr1(.):16969592-16972445	5.4628
1_MACS_peak_238_lociStitched	chr1(.):16991956-16994907	13.4095
1_MACS_peak_239_lociStitched	chr1(.):17011844-17013223	0.6013
2_MACS_peak_240_lociStitched	chr1(.):17065542-17075562	4.1513
3_MACS_peak_242_lociStitched	chr1(.):17221178-17241782	3.1378
1_MACS_peak_245_lociStitched	chr1(.):17286651-17288168	0.854
1_MACS_peak_246_lociStitched	chr1(.):17337589-17338673	0.4199
1_MACS_peak_247_lociStitched	chr1(.):17379419-17381249	0.9411
1_MACS_peak_248_lociStitched	chr1(.):17482077-17483595	0.3969
1_MACS_peak_249_lociStitched	chr1(.):17719489-17720816	0.5455
1_MACS_peak_250_lociStitched	chr1(.):17763460-17768979	0.8126
1_MACS_peak_251_lociStitched	chr1(.):17786964-17788572	0.6715
1_MACS_peak_252_lociStitched	chr1(.):19228191-19230229	1.8013
1_MACS_peak_253_lociStitched	chr1(.):19252151-19255224	3.0705
1_MACS_peak_254_lociStitched	chr1(.):19276513-19279163	0.8641
1_MACS_peak_255_lociStitched	chr1(.):19535511-19538184	1.5851
1_MACS_peak_256_lociStitched	chr1(.):19577100-19579128	2.6102
1_MACS_peak_257_lociStitched	chr1(.):19637615-19640027	1.8934
1_MACS_peak_258_lociStitched	chr1(.):19810734-19813433	1.0967
1_MACS_peak_259_lociStitched	chr1(.):19821790-19823319	0.73
1_MACS_peak_260_lociStitched	chr1(.):19922286-19924712	1.9348
1_MACS_peak_261_lociStitched	chr1(.):20084745-20086754	0.6897
1_MACS_peak_262_lociStitched	chr1(.):20125249-20127669	1.6609
1_MACS_peak_263_lociStitched	chr1(.):20141451-20143249	0.5542
1_MACS_peak_264_lociStitched	chr1(.):20208422-20209963	1.0958
2_MACS_peak_265_lociStitched	chr1(.):20404212-20408715	0.6251
1_MACS_peak_267_lociStitched	chr1(.):20415725-20417258	0.6453
1_MACS_peak_268_lociStitched	chr1(.):20446112-20446959	0.5543
1_MACS_peak_269_lociStitched	chr1(.):20833722-20835428	1.2191
1_MACS_peak_270_lociStitched	chr1(.):20959640-20961254	0.7572
1_MACS_peak_271_lociStitched	chr1(.):20986543-20989093	1.3064
1_MACS_peak_272_lociStitched	chr1(.):21022667-21023929	0.783
1_MACS_peak_273_lociStitched	chr1(.):21058706-21060743	0.8761
1_MACS_peak_274_lociStitched	chr1(.):21111767-21114868	2.0439
1_MACS_peak_275_lociStitched	chr1(.):21290504-21292290	0.6434
1_MACS_peak_276_lociStitched	chr1(.):21347901-21350066	1.5988
1_MACS_peak_277_lociStitched	chr1(.):21501708-21504015	0.7859
1_MACS_peak_278_lociStitched	chr1(.):21615348-21623723	2.9249
1_MACS_peak_279_lociStitched	chr1(.):21660001-21661999	1.2159
1_MACS_peak_280_lociStitched	chr1(.):21670937-21673140	0.7961
1_MACS_peak_281_lociStitched	chr1(.):21765780-21767683	0.6945
1_MACS_peak_282_lociStitched	chr1(.):22029809-22031507	0.476
2_MACS_peak_283_lociStitched	chr1(.):22107364-22119535	1.4329
1_MACS_peak_285_lociStitched	chr1(.):22191051-22194675	1.6529
1_MACS_peak_286_lociStitched	chr1(.):22263876-22264734	0.7276
2_MACS_peak_287_lociStitched	chr1(.):22344783-22353585	1.4203
1_MACS_peak_289_lociStitched	chr1(.):22365560-22367564	1.2154
1_MACS_peak_290_lociStitched	chr1(.):22378258-22380686	1.2991
1_MACS_peak_291_lociStitched	chr1(.):22444589-22446473	0.5293
1_MACS_peak_292_lociStitched	chr1(.):22488974-22490660	0.7893
1_MACS_peak_293_lociStitched	chr1(.):22777579-22779717	1.2819
1_MACS_peak_294_lociStitched	chr1(.):22820086-22823903	1.1466
1_MACS_peak_295_lociStitched	chr1(.):22833844-22835947	0.7671
1_MACS_peak_296_lociStitched	chr1(.):23345217-23347195	0.7367
1_MACS_peak_297_lociStitched	chr1(.):23503910-23504815	0.455
1_MACS_peak_298_lociStitched	chr1(.):23667910-23672076	1.853
1_MACS_peak_299_lociStitched	chr1(.):23693906-23696586	1.682
3_MACS_peak_300_lociStitched	chr1(.):23849828-23866973	2.8055
2_MACS_peak_303_lociStitched	chr1(.):23880504-23886881	0.7938
1_MACS_peak_305_lociStitched	chr1(.):23918166-23921249	0.8997
4_MACS_peak_306_lociStitched	chr1(.):23937076-23954726	0.8149
1_MACS_peak_310_lociStitched	chr1(.):24017740-24019578	1.7713
1_MACS_peak_311_lociStitched	chr1(.):24068977-24071998	1.2176
1_MACS_peak_312_lociStitched	chr1(.):24104058-24105772	0.9364
1_MACS_peak_313_lociStitched	chr1(.):24116873-24118630	0.9568
1_MACS_peak_314_lociStitched	chr1(.):24125760-24128323	1.0051
1_MACS_peak_315_lociStitched	chr1(.):24150868-24153007	1.4806
1_MACS_peak_316_lociStitched	chr1(.):24180941-24182756	0.8798
1_MACS_peak_317_lociStitched	chr1(.):24193690-24195278	0.7252
1_MACS_peak_318_lociStitched	chr1(.):24236799-24238096	0.4693
1_MACS_peak_319_lociStitched	chr1(.):24246000-24247578	0.8959
2_MACS_peak_320_lociStitched	chr1(.):24281003-24288013	1.6912
1_MACS_peak_322_lociStitched	chr1(.):24305469-24308026	3.7035
2_MACS_peak_323_lociStitched	chr1(.):24468649-24479062	0.5443
3_MACS_peak_325_lociStitched	chr1(.):24511753-24533976	2.6748
1_MACS_peak_328_lociStitched	chr1(.):24644764-24650688	1.9339
1_MACS_peak_329_lociStitched	chr1(.):24676786-24678363	0.7087
2_MACS_peak_330_lociStitched	chr1(.):24710002-24720717	1.1805
2_MACS_peak_332_lociStitched	chr1(.):24739236-24744096	0.8274
1_MACS_peak_334_lociStitched	chr1(.):24807129-24808931	0.5167
1_MACS_peak_335_lociStitched	chr1(.):24827356-24830525	1.2616
1_MACS_peak_336_lociStitched	chr1(.):24860980-24862489	0.9469
1_MACS_peak_337_lociStitched	chr1(.):24883712-24885349	0.5676
1_MACS_peak_338_lociStitched	chr1(.):24967918-24971481	2.3776
1_MACS_peak_339_lociStitched	chr1(.):25020086-25021579	0.5732
2_MACS_peak_340_lociStitched	chr1(.):25048434-25055044	0.4099
1_MACS_peak_342_lociStitched	chr1(.):25069390-25076564	1.5036
1_MACS_peak_343_lociStitched	chr1(.):25174288-25175684	0.6486
1_MACS_peak_344_lociStitched	chr1(.):25254350-25257635	1.8864
1_MACS_peak_345_lociStitched	chr1(.):25290201-25293003	1.3829
4_MACS_peak_346_lociStitched	chr1(.):25347290-25364650	1.2602
4_MACS_peak_350_lociStitched	chr1(.):25558100-25575126	0.7076
1_MACS_peak_354_lociStitched	chr1(.):25592438-25595403	1.8701
1_MACS_peak_355_lociStitched	chr1(.):25663286-25666064	2.3967
1_MACS_peak_356_lociStitched	chr1(.):25755930-25758590	1.0983
1_MACS_peak_357_lociStitched	chr1(.):25798439-25801052	0.5473
2_MACS_peak_358_lociStitched	chr1(.):25869448-25878992	1.7503
1_MACS_peak_360_lociStitched	chr1(.):25887660-25890677	1.3437
1_MACS_peak_361_lociStitched	chr1(.):25926187-25926981	0.4349
2_MACS_peak_362_lociStitched	chr1(.):25941943-25948986	1.1487
1_MACS_peak_364_lociStitched	chr1(.):25957821-25959374	0.5878
1_MACS_peak_365_lociStitched	chr1(.):25967426-25970834	2.7076
1_MACS_peak_366_lociStitched	chr1(.):26000854-26003713	0.9954
1_MACS_peak_367_lociStitched	chr1(.):26126828-26127745	0.5582
1_MACS_peak_368_lociStitched	chr1(.):26145539-26148299	1.4157
1_MACS_peak_369_lociStitched	chr1(.):26185057-26186658	0.7004
1_MACS_peak_370_lociStitched	chr1(.):26230881-26233457	1.4419
1_MACS_peak_371_lociStitched	chr1(.):26259736-26260961	0.4259
1_MACS_peak_372_lociStitched	chr1(.):26322990-26325569	1.211
1_MACS_peak_373_lociStitched	chr1(.):26361643-26362931	0.6707
3_MACS_peak_374_lociStitched	chr1(.):26436713-26454147	0.6341
2_MACS_peak_377_lociStitched	chr1(.):26495962-26504633	0.2416
2_MACS_peak_379_lociStitched	chr1(.):26559832-26564704	0.8732
1_MACS_peak_381_lociStitched	chr1(.):26578304-26581016	0.5318
3_MACS_peak_382_lociStitched	chr1(.):26601849-26614475	0.5764
3_MACS_peak_385_lociStitched	chr1(.):26632069-26644549	0.5741
1_MACS_peak_388_lociStitched	chr1(.):26662390-26663760	0.6961
1_MACS_peak_389_lociStitched	chr1(.):26704476-26705446	0.5343
1_MACS_peak_390_lociStitched	chr1(.):26757918-26759653	0.8131
1_MACS_peak_391_lociStitched	chr1(.):26797671-26800512	3.1035
1_MACS_peak_392_lociStitched	chr1(.):26826132-26828785	3.1963
1_MACS_peak_393_lociStitched	chr1(.):26855537-26857361	0.673
3_MACS_peak_394_lociStitched	chr1(.):26865744-26873428	0.9578
1_MACS_peak_397_lociStitched	chr1(.):26945997-26948791	5.0281
1_MACS_peak_398_lociStitched	chr1(.):27018204-27031365	2.3834
3_MACS_peak_399_lociStitched	chr1(.):27059982-27072737	0.9724
1_MACS_peak_402_lociStitched	chr1(.):27112579-27116229	4.3365
1_MACS_peak_403_lociStitched	chr1(.):27126047-27127641	0.7595
1_MACS_peak_404_lociStitched	chr1(.):27136539-27137470	0.3591
5_MACS_peak_405_lociStitched	chr1(.):27146954-27167180	0.6141
1_MACS_peak_410_lociStitched	chr1(.):27190162-27193241	4.165
1_MACS_peak_411_lociStitched	chr1(.):27215576-27217533	1.38
1_MACS_peak_412_lociStitched	chr1(.):27225850-27227815	1.2922
1_MACS_peak_413_lociStitched	chr1(.):27247718-27249244	1.1767
1_MACS_peak_414_lociStitched	chr1(.):27285939-27287619	1.0181
1_MACS_peak_415_lociStitched	chr1(.):27396415-27398186	0.7501
1_MACS_peak_416_lociStitched	chr1(.):27462742-27464597	0.708
1_MACS_peak_417_lociStitched	chr1(.):27480794-27482552	1.0627
1_MACS_peak_418_lociStitched	chr1(.):27559985-27562902	0.6323
1_MACS_peak_419_lociStitched	chr1(.):27647956-27649938	1.1283
2_MACS_peak_420_lociStitched	chr1(.):27667521-27676810	0.268
1_MACS_peak_422_lociStitched	chr1(.):27692674-27693980	0.839
1_MACS_peak_423_lociStitched	chr1(.):27718067-27719939	0.6131
1_MACS_peak_424_lociStitched	chr1(.):27743991-27745922	0.918
1_MACS_peak_425_lociStitched	chr1(.):27761307-27766435	0.7905
3_MACS_peak_426_lociStitched	chr1(.):27815396-27827466	0.7334
1_MACS_peak_429_lociStitched	chr1(.):27883115-27884694	0.4555
1_MACS_peak_430_lociStitched	chr1(.):27929637-27930942	0.3882
1_MACS_peak_431_lociStitched	chr1(.):27984986-27987592	1.1503
1_MACS_peak_432_lociStitched	chr1(.):27997993-27999762	0.7669
1_MACS_peak_433_lociStitched	chr1(.):28051498-28053639	0.842
1_MACS_peak_434_lociStitched	chr1(.):28078665-28079774	0.4968
1_MACS_peak_435_lociStitched	chr1(.):28098657-28100715	0.7351
1_MACS_peak_436_lociStitched	chr1(.):28156250-28158343	1.7145
1_MACS_peak_437_lociStitched	chr1(.):28240034-28241968	1.5982
1_MACS_peak_438_lociStitched	chr1(.):28285475-28287563	1.1289
2_MACS_peak_439_lociStitched	chr1(.):28352972-28363009	0.5396
1_MACS_peak_441_lociStitched	chr1(.):28395979-28397463	0.4556
1_MACS_peak_442_lociStitched	chr1(.):28413998-28416288	0.9049
1_MACS_peak_443_lociStitched	chr1(.):28473906-28475580	0.9121
1_MACS_peak_444_lociStitched	chr1(.):28495066-28496901	0.6315
3_MACS_peak_445_lociStitched	chr1(.):28558647-28577270	0.9593
1_MACS_peak_448_lociStitched	chr1(.):28584932-28587427	0.8428
1_MACS_peak_449_lociStitched	chr1(.):28654547-28656757	2.099
1_MACS_peak_450_lociStitched	chr1(.):28695252-28697415	2.4615
1_MACS_peak_451_lociStitched	chr1(.):28743796-28744920	0.4534
2_MACS_peak_452_lociStitched	chr1(.):28831387-28846160	1.3937
1_MACS_peak_454_lociStitched	chr1(.):28878377-28881299	2.1551
2_MACS_peak_455_lociStitched	chr1(.):28905727-28914549	1.0886
1_MACS_peak_457_lociStitched	chr1(.):28923856-28929651	1.2412
2_MACS_peak_458_lociStitched	chr1(.):28968556-28976249	1.5108
1_MACS_peak_460_lociStitched	chr1(.):28994249-28996941	2.751
1_MACS_peak_461_lociStitched	chr1(.):29062326-29064749	2.1044
1_MACS_peak_462_lociStitched	chr1(.):29210514-29214892	1.3566
1_MACS_peak_463_lociStitched	chr1(.):29239966-29242541	0.8377
1_MACS_peak_464_lociStitched	chr1(.):29252372-29255812	0.9645
1_MACS_peak_465_lociStitched	chr1(.):29506484-29509777	3.4048
1_MACS_peak_466_lociStitched	chr1(.):29528381-29530076	0.7188
1_MACS_peak_467_lociStitched	chr1(.):29556734-29557964	0.5304
1_MACS_peak_468_lociStitched	chr1(.):29675818-29677051	0.5999
1_MACS_peak_469_lociStitched	chr1(.):30347364-30350677	0.5629
1_MACS_peak_470_lociStitched	chr1(.):30901892-30903102	0.4764
1_MACS_peak_471_lociStitched	chr1(.):30995695-30997207	0.802
1_MACS_peak_472_lociStitched	chr1(.):31072755-31073991	0.5239
1_MACS_peak_473_lociStitched	chr1(.):31191452-31192936	1.1174
2_MACS_peak_474_lociStitched	chr1(.):31213879-31236471	2.9835
2_MACS_peak_476_lociStitched	chr1(.):31251761-31256225	0.5383
1_MACS_peak_478_lociStitched	chr1(.):31296778-31297765	0.5767
1_MACS_peak_479_lociStitched	chr1(.):31536584-31539401	1.5876
2_MACS_peak_480_lociStitched	chr1(.):31627992-31636164	0.1884
1_MACS_peak_482_lociStitched	chr1(.):31768592-31770803	1.4256
1_MACS_peak_483_lociStitched	chr1(.):31867005-31868597	0.6583
1_MACS_peak_484_lociStitched	chr1(.):31885712-31887040	0.5295
1_MACS_peak_485_lociStitched	chr1(.):31895367-31897387	0.5949
1_MACS_peak_486_lociStitched	chr1(.):31913385-31916073	0.9018
1_MACS_peak_487_lociStitched	chr1(.):31932722-31934763	0.528
2_MACS_peak_488_lociStitched	chr1(.):31943370-31951439	1.5488
1_MACS_peak_490_lociStitched	chr1(.):31971249-31973077	0.7915
1_MACS_peak_491_lociStitched	chr1(.):32014255-32015717	0.73
