GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
1_MACS_peak_57_lociStitched	chr1(.):1654239-1657348	0.156
2_MACS_peak_58_lociStitched	chr1(.):1668671-1679004	0.1777
2_MACS_peak_60_lociStitched	chr1(.):1709007-1714785	0.2387
3_MACS_peak_62_lociStitched	chr1(.):1821046-1829488	0.1177
1_MACS_peak_65_lociStitched	chr1(.):1837390-1841680	0.1842
1_MACS_peak_66_lociStitched	chr1(.):1849738-1851443	0.172
1_MACS_peak_67_lociStitched	chr1(.):1891293-1891998	0.0931
1_MACS_peak_68_lociStitched	chr1(.):2064192-2065380	0.164
2_MACS_peak_69_lociStitched	chr1(.):2125980-2131441	0.1177
1_MACS_peak_71_lociStitched	chr1(.):2158843-2159439	0.0797
1_MACS_peak_72_lociStitched	chr1(.):2186690-2188197	0.2263
1_MACS_peak_73_lociStitched	chr1(.):2221168-2223304	0.1462
1_MACS_peak_74_lociStitched	chr1(.):2231357-2233442	0.237
1_MACS_peak_75_lociStitched	chr1(.):2312927-2313805	0.1431
1_MACS_peak_76_lociStitched	chr1(.):2322194-2323837	0.1646
2_MACS_peak_77_lociStitched	chr1(.):2343097-2347826	0.176
1_MACS_peak_79_lociStitched	chr1(.):2371537-2372271	0.0806
1_MACS_peak_80_lociStitched	chr1(.):2456903-2458818	0.1173
3_MACS_peak_81_lociStitched	chr1(.):2476930-2489259	0.1545
1_MACS_peak_84_lociStitched	chr1(.):2508749-2510350	0.1406
1_MACS_peak_85_lociStitched	chr1(.):2516430-2518801	0.1458
1_MACS_peak_86_lociStitched	chr1(.):2573540-2575171	0.1075
1_MACS_peak_95_lociStitched	chr1(.):2688073-2689935	0.3726
1_MACS_peak_96_lociStitched	chr1(.):3407726-3408322	0.082
2_MACS_peak_97_lociStitched	chr1(.):3540713-3547561	0.1213
2_MACS_peak_99_lociStitched	chr1(.):3566078-3570147	0.1181
1_MACS_peak_101_lociStitched	chr1(.):3589438-3590649	0.1869
1_MACS_peak_102_lociStitched	chr1(.):3663592-3664281	0.1335
3_MACS_peak_103_lociStitched	chr1(.):3688156-3693260	0.0896
1_MACS_peak_106_lociStitched	chr1(.):3711898-3713796	0.2003
1_MACS_peak_107_lociStitched	chr1(.):3772501-3775343	0.1831
1_MACS_peak_108_lociStitched	chr1(.):3815754-3818562	0.2399
1_MACS_peak_109_lociStitched	chr1(.):3827252-3828067	0.2016
1_MACS_peak_110_lociStitched	chr1(.):4066779-4068487	0.166
1_MACS_peak_111_lociStitched	chr1(.):4087307-4088241	0.0612
1_MACS_peak_112_lociStitched	chr1(.):4712526-4713338	0.0985
1_MACS_peak_113_lociStitched	chr1(.):4997907-4998785	0.0544
1_MACS_peak_114_lociStitched	chr1(.):6050907-6055590	0.1986
1_MACS_peak_115_lociStitched	chr1(.):6083799-6087146	0.2043
1_MACS_peak_116_lociStitched	chr1(.):6187574-6188655	0.1074
2_MACS_peak_117_lociStitched	chr1(.):6258751-6266801	0.1226
1_MACS_peak_119_lociStitched	chr1(.):6294920-6297223	0.1388
2_MACS_peak_120_lociStitched	chr1(.):6304868-6307445	0.0861
1_MACS_peak_122_lociStitched	chr1(.):6319785-6320992	0.1247
1_MACS_peak_123_lociStitched	chr1(.):6407805-6408675	0.1581
1_MACS_peak_124_lociStitched	chr1(.):6419136-6420415	0.1919
1_MACS_peak_125_lociStitched	chr1(.):6452481-6454635	0.1633
1_MACS_peak_126_lociStitched	chr1(.):6474154-6475114	0.2261
1_MACS_peak_127_lociStitched	chr1(.):6483259-6484101	0.1463
2_MACS_peak_128_lociStitched	chr1(.):6531739-6536352	0.1091
1_MACS_peak_130_lociStitched	chr1(.):6549500-6551729	0.1592
1_MACS_peak_131_lociStitched	chr1(.):6613562-6615157	0.1791
1_MACS_peak_132_lociStitched	chr1(.):6639175-6641388	0.2072
1_MACS_peak_133_lociStitched	chr1(.):6660514-6664621	0.2121
1_MACS_peak_134_lociStitched	chr1(.):6672233-6674429	0.166
1_MACS_peak_135_lociStitched	chr1(.):6684506-6686705	0.1851
1_MACS_peak_136_lociStitched	chr1(.):6761008-6762755	0.1667
1_MACS_peak_137_lociStitched	chr1(.):6804969-6805853	0.1221
1_MACS_peak_138_lociStitched	chr1(.):6843988-6845734	0.225
1_MACS_peak_139_lociStitched	chr1(.):6961473-6962240	0.1344
1_MACS_peak_140_lociStitched	chr1(.):6978279-6979790	0.164
1_MACS_peak_141_lociStitched	chr1(.):7168271-7168885	0.0575
1_MACS_peak_142_lociStitched	chr1(.):7830814-7832125	0.173
1_MACS_peak_143_lociStitched	chr1(.):7843262-7844346	0.0905
1_MACS_peak_144_lociStitched	chr1(.):7962541-7963395	0.0844
1_MACS_peak_145_lociStitched	chr1(.):7989745-7990592	0.091
1_MACS_peak_146_lociStitched	chr1(.):8013590-8014833	0.151
1_MACS_peak_147_lociStitched	chr1(.):8021005-8022480	0.2525
1_MACS_peak_148_lociStitched	chr1(.):8085954-8087095	0.1189
1_MACS_peak_149_lociStitched	chr1(.):8408654-8409620	0.1575
1_MACS_peak_150_lociStitched	chr1(.):8455112-8455930	0.0822
1_MACS_peak_151_lociStitched	chr1(.):8537040-8537860	0.1829
1_MACS_peak_152_lociStitched	chr1(.):8703410-8704271	0.1496
1_MACS_peak_153_lociStitched	chr1(.):8762704-8764060	0.2147
1_MACS_peak_154_lociStitched	chr1(.):8876510-8878439	0.1459
1_MACS_peak_155_lociStitched	chr1(.):8889166-8890212	0.3001
1_MACS_peak_156_lociStitched	chr1(.):8907386-8909487	0.1511
1_MACS_peak_157_lociStitched	chr1(.):8919358-8920290	0.1059
1_MACS_peak_158_lociStitched	chr1(.):8936508-8939796	0.2397
2_MACS_peak_159_lociStitched	chr1(.):9137814-9141146	0.22
1_MACS_peak_161_lociStitched	chr1(.):9188260-9189234	0.0979
1_MACS_peak_162_lociStitched	chr1(.):9202192-9203010	0.1463
1_MACS_peak_163_lociStitched	chr1(.):9222040-9225861	0.2288
1_MACS_peak_164_lociStitched	chr1(.):9241129-9242955	0.1503
1_MACS_peak_165_lociStitched	chr1(.):9294011-9295410	0.1059
1_MACS_peak_166_lociStitched	chr1(.):9326875-9327852	0.1749
1_MACS_peak_167_lociStitched	chr1(.):9335183-9336279	0.1947
1_MACS_peak_168_lociStitched	chr1(.):9472878-9473838	0.1111
2_MACS_peak_169_lociStitched	chr1(.):9485880-9489735	0.2008
1_MACS_peak_171_lociStitched	chr1(.):9555075-9556032	0.1219
1_MACS_peak_172_lociStitched	chr1(.):9598754-9600557	0.1123
1_MACS_peak_173_lociStitched	chr1(.):9615088-9615989	0.1254
2_MACS_peak_174_lociStitched	chr1(.):9648230-9650064	0.0864
2_MACS_peak_176_lociStitched	chr1(.):9685881-9690272	0.125
2_MACS_peak_178_lociStitched	chr1(.):9747358-9749822	0.1047
3_MACS_peak_180_lociStitched	chr1(.):9776566-9785700	0.1342
1_MACS_peak_183_lociStitched	chr1(.):9846364-9848921	0.2017
1_MACS_peak_184_lociStitched	chr1(.):9882830-9885192	0.1347
1_MACS_peak_185_lociStitched	chr1(.):9927237-9928090	0.1819
1_MACS_peak_186_lociStitched	chr1(.):9934761-9935617	0.2059
1_MACS_peak_187_lociStitched	chr1(.):9960207-9961140	0.1613
1_MACS_peak_188_lociStitched	chr1(.):9969240-9971514	0.2243
2_MACS_peak_189_lociStitched	chr1(.):10002206-10011336	0.174
1_MACS_peak_191_lociStitched	chr1(.):10078500-10079750	0.1715
1_MACS_peak_192_lociStitched	chr1(.):10091839-10093978	0.1859
1_MACS_peak_193_lociStitched	chr1(.):10249095-10250811	0.2905
1_MACS_peak_194_lociStitched	chr1(.):10269498-10271784	0.2355
1_MACS_peak_195_lociStitched	chr1(.):10311243-10312788	0.1504
1_MACS_peak_196_lociStitched	chr1(.):10437187-10438086	0.2121
1_MACS_peak_197_lociStitched	chr1(.):10458324-10460227	0.1571
1_MACS_peak_198_lociStitched	chr1(.):10489540-10491678	0.1608
1_MACS_peak_199_lociStitched	chr1(.):10503745-10505429	0.2151
1_MACS_peak_200_lociStitched	chr1(.):10516829-10518358	0.1839
2_MACS_peak_201_lociStitched	chr1(.):10531537-10535747	0.1824
1_MACS_peak_203_lociStitched	chr1(.):10554493-10556102	0.266
3_MACS_peak_204_lociStitched	chr1(.):10752108-10755613	0.0748
1_MACS_peak_207_lociStitched	chr1(.):10927155-10927787	0.0405
1_MACS_peak_208_lociStitched	chr1(.):10969660-10970525	0.094
2_MACS_peak_209_lociStitched	chr1(.):10999606-11002571	0.2219
1_MACS_peak_211_lociStitched	chr1(.):11020816-11021654	0.1108
1_MACS_peak_212_lociStitched	chr1(.):11071633-11073597	0.2018
2_MACS_peak_213_lociStitched	chr1(.):11113506-11120900	0.1167
1_MACS_peak_215_lociStitched	chr1(.):11159148-11161122	0.1692
1_MACS_peak_216_lociStitched	chr1(.):11322030-11323786	0.189
1_MACS_peak_217_lociStitched	chr1(.):11333121-11334910	0.1516
1_MACS_peak_218_lociStitched	chr1(.):11538631-11540044	0.1013
2_MACS_peak_219_lociStitched	chr1(.):11623127-11631370	0.198
2_MACS_peak_221_lociStitched	chr1(.):11709693-11714891	0.1458
1_MACS_peak_223_lociStitched	chr1(.):11723655-11725500	0.1091
1_MACS_peak_224_lociStitched	chr1(.):11740269-11742182	0.1473
1_MACS_peak_225_lociStitched	chr1(.):11779227-11780409	0.1581
2_MACS_peak_226_lociStitched	chr1(.):11789890-11797780	0.1553
1_MACS_peak_228_lociStitched	chr1(.):11808999-11809687	0.1192
2_MACS_peak_229_lociStitched	chr1(.):11842986-11851079	0.1307
1_MACS_peak_231_lociStitched	chr1(.):11864963-11867154	0.2169
1_MACS_peak_232_lociStitched	chr1(.):11953882-11954415	0.1359
1_MACS_peak_233_lociStitched	chr1(.):11967709-11970932	0.2674
1_MACS_peak_234_lociStitched	chr1(.):11984582-11987508	0.1905
1_MACS_peak_235_lociStitched	chr1(.):11993574-11995456	0.1793
1_MACS_peak_236_lociStitched	chr1(.):12039417-12041223	0.205
1_MACS_peak_237_lociStitched	chr1(.):12078299-12080924	0.1514
2_MACS_peak_238_lociStitched	chr1(.):12106664-12112895	0.2165
2_MACS_peak_240_lociStitched	chr1(.):12138385-12140174	0.1474
2_MACS_peak_242_lociStitched	chr1(.):12220743-12228028	0.1734
1_MACS_peak_244_lociStitched	chr1(.):12270144-12271570	0.2279
1_MACS_peak_245_lociStitched	chr1(.):12289539-12291397	0.1916
2_MACS_peak_246_lociStitched	chr1(.):12493986-12496423	0.2544
1_MACS_peak_248_lociStitched	chr1(.):12677680-12680319	0.134
1_MACS_peak_249_lociStitched	chr1(.):12896941-12898064	0.1119
2_MACS_peak_250_lociStitched	chr1(.):14025764-14027791	0.1547
1_MACS_peak_252_lociStitched	chr1(.):14057055-14058099	0.3408
1_MACS_peak_253_lociStitched	chr1(.):14074884-14076896	0.118
1_MACS_peak_254_lociStitched	chr1(.):14154990-14156004	0.1122
2_MACS_peak_255_lociStitched	chr1(.):14292077-14294970	0.1348
1_MACS_peak_257_lociStitched	chr1(.):14336584-14338447	0.3085
1_MACS_peak_258_lociStitched	chr1(.):14366247-14367334	0.1959
1_MACS_peak_259_lociStitched	chr1(.):14501264-14502215	0.1952
1_MACS_peak_260_lociStitched	chr1(.):14660603-14661795	0.1371
1_MACS_peak_261_lociStitched	chr1(.):14696059-14697104	0.1557
1_MACS_peak_262_lociStitched	chr1(.):15161742-15164351	0.267
2_MACS_peak_263_lociStitched	chr1(.):15250049-15251623	0.0452
1_MACS_peak_265_lociStitched	chr1(.):15372828-15373687	0.1444
1_MACS_peak_266_lociStitched	chr1(.):15416626-15417416	0.1993
2_MACS_peak_267_lociStitched	chr1(.):15478718-15483490	0.1425
2_MACS_peak_269_lociStitched	chr1(.):15501979-15506351	0.1995
1_MACS_peak_271_lociStitched	chr1(.):15545806-15546893	0.1153
1_MACS_peak_272_lociStitched	chr1(.):15557786-15559027	0.2775
1_MACS_peak_273_lociStitched	chr1(.):15574814-15576268	0.1359
1_MACS_peak_274_lociStitched	chr1(.):15584175-15585209	0.241
1_MACS_peak_275_lociStitched	chr1(.):15688225-15689650	0.1387
1_MACS_peak_276_lociStitched	chr1(.):15735424-15736585	0.1637
1_MACS_peak_277_lociStitched	chr1(.):15757309-15758251	0.2178
2_MACS_peak_278_lociStitched	chr1(.):15850288-15853985	0.2055
1_MACS_peak_280_lociStitched	chr1(.):15898056-15899377	0.2174
1_MACS_peak_281_lociStitched	chr1(.):15910343-15912016	0.1794
1_MACS_peak_282_lociStitched	chr1(.):15929554-15930745	0.2438
1_MACS_peak_283_lociStitched	chr1(.):15943197-15945112	0.2673
1_MACS_peak_284_lociStitched	chr1(.):16010980-16011851	0.1539
1_MACS_peak_285_lociStitched	chr1(.):16023061-16024302	0.2554
1_MACS_peak_286_lociStitched	chr1(.):16067526-16068502	0.1654
1_MACS_peak_287_lociStitched	chr1(.):16149905-16150752	0.1622
1_MACS_peak_288_lociStitched	chr1(.):16160721-16163687	0.1891
1_MACS_peak_289_lociStitched	chr1(.):16172536-16176707	0.1717
1_MACS_peak_290_lociStitched	chr1(.):16301780-16302952	0.2219
1_MACS_peak_291_lociStitched	chr1(.):16382205-16383097	0.1562
2_MACS_peak_292_lociStitched	chr1(.):16399850-16406136	0.1433
1_MACS_peak_294_lociStitched	chr1(.):16488499-16489516	0.1295
1_MACS_peak_295_lociStitched	chr1(.):16532242-16534452	0.1626
1_MACS_peak_296_lociStitched	chr1(.):16543274-16544791	0.2182
1_MACS_peak_297_lociStitched	chr1(.):16562381-16564372	0.2634
1_MACS_peak_298_lociStitched	chr1(.):16678220-16679716	0.2048
2_MACS_peak_299_lociStitched	chr1(.):16689802-16694905	0.2049
1_MACS_peak_301_lociStitched	chr1(.):16746609-16747979	0.3061
2_MACS_peak_302_lociStitched	chr1(.):16766391-16771028	0.2129
2_MACS_peak_304_lociStitched	chr1(.):16821295-16826504	0.1306
1_MACS_peak_307_lociStitched	chr1(.):16860488-16862996	0.3216
1_MACS_peak_308_lociStitched	chr1(.):16871241-16872449	0.2313
1_MACS_peak_309_lociStitched	chr1(.):16936924-16942451	0.6325
2_MACS_peak_310_lociStitched	chr1(.):16962592-16975681	0.5435
1_MACS_peak_312_lociStitched	chr1(.):16982605-16985042	0.3403
1_MACS_peak_313_lociStitched	chr1(.):16991435-16994760	0.5322
1_MACS_peak_314_lociStitched	chr1(.):17003024-17004877	0.1957
1_MACS_peak_315_lociStitched	chr1(.):17012180-17013601	0.285
4_MACS_peak_316_lociStitched	chr1(.):17022224-17035048	0.242
1_MACS_peak_320_lociStitched	chr1(.):17053783-17055610	0.4258
1_MACS_peak_321_lociStitched	chr1(.):17066189-17069165	0.5946
1_MACS_peak_322_lociStitched	chr1(.):17076216-17077715	0.4022
1_MACS_peak_323_lociStitched	chr1(.):17083709-17088374	0.2288
1_MACS_peak_324_lociStitched	chr1(.):17188942-17190236	0.1883
1_MACS_peak_325_lociStitched	chr1(.):17198531-17202145	0.3098
2_MACS_peak_326_lociStitched	chr1(.):17221555-17233304	0.3976
1_MACS_peak_328_lociStitched	chr1(.):17239509-17242676	0.2318
2_MACS_peak_329_lociStitched	chr1(.):17274374-17278715	0.1491
1_MACS_peak_331_lociStitched	chr1(.):17286880-17288355	0.1573
3_MACS_peak_332_lociStitched	chr1(.):17337567-17346032	0.1332
1_MACS_peak_335_lociStitched	chr1(.):17379563-17381373	0.2329
1_MACS_peak_336_lociStitched	chr1(.):17451997-17453006	0.1651
1_MACS_peak_337_lociStitched	chr1(.):17745845-17746983	0.0787
1_MACS_peak_338_lociStitched	chr1(.):17764610-17765911	0.0571
1_MACS_peak_339_lociStitched	chr1(.):17786821-17788726	0.1254
1_MACS_peak_340_lociStitched	chr1(.):18152413-18153045	0.1018
1_MACS_peak_341_lociStitched	chr1(.):18504360-18505254	0.1031
1_MACS_peak_342_lociStitched	chr1(.):18899395-18900140	0.0811
1_MACS_peak_343_lociStitched	chr1(.):18943705-18944389	0.0366
1_MACS_peak_344_lociStitched	chr1(.):19228379-19230073	0.1994
1_MACS_peak_345_lociStitched	chr1(.):19252589-19254839	0.3184
2_MACS_peak_346_lociStitched	chr1(.):19276567-19284190	0.1778
1_MACS_peak_348_lociStitched	chr1(.):19337291-19338107	0.0985
1_MACS_peak_349_lociStitched	chr1(.):19535782-19537702	0.284
1_MACS_peak_350_lociStitched	chr1(.):19577450-19579465	0.2238
1_MACS_peak_351_lociStitched	chr1(.):19637556-19639683	0.1865
1_MACS_peak_352_lociStitched	chr1(.):19810658-19813234	0.1423
1_MACS_peak_353_lociStitched	chr1(.):19922572-19924357	0.3115
1_MACS_peak_354_lociStitched	chr1(.):20041817-20042663	0.142
1_MACS_peak_355_lociStitched	chr1(.):20085050-20086485	0.2726
1_MACS_peak_356_lociStitched	chr1(.):20116745-20117741	0.1698
1_MACS_peak_357_lociStitched	chr1(.):20125446-20127884	0.1298
1_MACS_peak_358_lociStitched	chr1(.):20141169-20142993	0.1954
1_MACS_peak_359_lociStitched	chr1(.):20208347-20209754	0.1935
2_MACS_peak_360_lociStitched	chr1(.):20404476-20408156	0.1629
1_MACS_peak_362_lociStitched	chr1(.):20415727-20417303	0.2102
1_MACS_peak_363_lociStitched	chr1(.):20435628-20436501	0.138
1_MACS_peak_364_lociStitched	chr1(.):20445628-20446493	0.1162
1_MACS_peak_365_lociStitched	chr1(.):20478426-20479471	0.1315
1_MACS_peak_366_lociStitched	chr1(.):20497817-20498608	0.1079
1_MACS_peak_367_lociStitched	chr1(.):20833890-20835256	0.2809
1_MACS_peak_368_lociStitched	chr1(.):20901434-20902359	0.1408
1_MACS_peak_369_lociStitched	chr1(.):20959423-20960763	0.1586
2_MACS_peak_370_lociStitched	chr1(.):20984498-20988809	0.168
1_MACS_peak_372_lociStitched	chr1(.):21004698-21006284	0.1935
1_MACS_peak_373_lociStitched	chr1(.):21022602-21024077	0.2041
1_MACS_peak_374_lociStitched	chr1(.):21044331-21045087	0.1353
2_MACS_peak_375_lociStitched	chr1(.):21054179-21060285	0.1192
1_MACS_peak_377_lociStitched	chr1(.):21112384-21114134	0.2173
1_MACS_peak_378_lociStitched	chr1(.):21291037-21292040	0.225
1_MACS_peak_379_lociStitched	chr1(.):21503079-21504220	0.1562
2_MACS_peak_380_lociStitched	chr1(.):21615638-21622177	0.2038
1_MACS_peak_382_lociStitched	chr1(.):21660001-21661896	0.2641
1_MACS_peak_383_lociStitched	chr1(.):21670990-21672926	0.145
1_MACS_peak_384_lociStitched	chr1(.):21765922-21767626	0.1739
1_MACS_peak_385_lociStitched	chr1(.):21921784-21922699	0.1209
1_MACS_peak_386_lociStitched	chr1(.):21940625-21941584	0.1459
1_MACS_peak_387_lociStitched	chr1(.):21985290-21986358	0.1796
1_MACS_peak_388_lociStitched	chr1(.):22100025-22100824	0.2176
1_MACS_peak_389_lociStitched	chr1(.):22107042-22111033	0.2087
2_MACS_peak_390_lociStitched	chr1(.):22117227-22125339	0.1592
1_MACS_peak_392_lociStitched	chr1(.):22140493-22141400	0.0953
1_MACS_peak_393_lociStitched	chr1(.):22191593-22193434	0.3322
1_MACS_peak_394_lociStitched	chr1(.):22263846-22264991	0.145
2_MACS_peak_395_lociStitched	chr1(.):22348818-22353454	0.2885
1_MACS_peak_397_lociStitched	chr1(.):22365582-22367182	0.2683
1_MACS_peak_398_lociStitched	chr1(.):22378350-22380466	0.2381
1_MACS_peak_399_lociStitched	chr1(.):22444837-22446164	0.237
1_MACS_peak_400_lociStitched	chr1(.):22458286-22459089	0.1764
1_MACS_peak_401_lociStitched	chr1(.):22489039-22490346	0.1715
1_MACS_peak_402_lociStitched	chr1(.):22742767-22743762	0.215
1_MACS_peak_403_lociStitched	chr1(.):22777435-22779448	0.195
1_MACS_peak_404_lociStitched	chr1(.):22822812-22823700	0.2072
1_MACS_peak_405_lociStitched	chr1(.):22834619-22835556	0.1999
1_MACS_peak_406_lociStitched	chr1(.):23038616-23039445	0.1041
1_MACS_peak_407_lociStitched	chr1(.):23211519-23212254	0.2005
1_MACS_peak_408_lociStitched	chr1(.):23337293-23338399	0.179
1_MACS_peak_409_lociStitched	chr1(.):23345333-23346889	0.2543
2_MACS_peak_410_lociStitched	chr1(.):23493881-23495751	0.086
1_MACS_peak_412_lociStitched	chr1(.):23503911-23504773	0.1041
1_MACS_peak_413_lociStitched	chr1(.):23669668-23672491	0.1841
1_MACS_peak_414_lociStitched	chr1(.):23694008-23696256	0.2043
1_MACS_peak_415_lociStitched	chr1(.):23730184-23731003	0.1141
1_MACS_peak_416_lociStitched	chr1(.):23809990-23811675	0.1457
1_MACS_peak_417_lociStitched	chr1(.):23850643-23858426	0.2509
1_MACS_peak_418_lociStitched	chr1(.):23865574-23867136	0.2279
2_MACS_peak_419_lociStitched	chr1(.):23880414-23886617	0.1947
1_MACS_peak_421_lociStitched	chr1(.):23903249-23904452	0.2659
2_MACS_peak_422_lociStitched	chr1(.):23937665-23947061	0.2108
1_MACS_peak_424_lociStitched	chr1(.):23953114-23955025	0.2556
2_MACS_peak_425_lociStitched	chr1(.):23961093-23964481	0.1633
1_MACS_peak_427_lociStitched	chr1(.):24017400-24019512	0.1981
1_MACS_peak_428_lociStitched	chr1(.):24069125-24071726	0.2017
1_MACS_peak_429_lociStitched	chr1(.):24103693-24105576	0.1372
1_MACS_peak_430_lociStitched	chr1(.):24116999-24118650	0.2003
1_MACS_peak_431_lociStitched	chr1(.):24125171-24128243	0.1647
1_MACS_peak_432_lociStitched	chr1(.):24135919-24136813	0.1471
1_MACS_peak_433_lociStitched	chr1(.):24151195-24152540	0.2263
1_MACS_peak_434_lociStitched	chr1(.):24181328-24182415	0.1572
1_MACS_peak_435_lociStitched	chr1(.):24193965-24195653	0.2172
1_MACS_peak_436_lociStitched	chr1(.):24284608-24287201	0.1662
1_MACS_peak_437_lociStitched	chr1(.):24305962-24308228	0.2044
1_MACS_peak_438_lociStitched	chr1(.):24468888-24469822	0.1483
1_MACS_peak_439_lociStitched	chr1(.):24513188-24518276	0.2728
3_MACS_peak_440_lociStitched	chr1(.):24524996-24533521	0.215
2_MACS_peak_443_lociStitched	chr1(.):24645290-24649639	0.2585
1_MACS_peak_445_lociStitched	chr1(.):24677437-24678232	0.1069
1_MACS_peak_446_lociStitched	chr1(.):24710298-24712184	0.2387
1_MACS_peak_447_lociStitched	chr1(.):24717727-24719896	0.2253
2_MACS_peak_448_lociStitched	chr1(.):24739442-24743600	0.2396
1_MACS_peak_450_lociStitched	chr1(.):24827699-24830399	0.1836
2_MACS_peak_451_lociStitched	chr1(.):24882375-24885086	0.261
1_MACS_peak_453_lociStitched	chr1(.):24968011-24970818	0.2202
2_MACS_peak_454_lociStitched	chr1(.):25048551-25054750	0.1481
3_MACS_peak_456_lociStitched	chr1(.):25069792-25076166	0.201
1_MACS_peak_459_lociStitched	chr1(.):25174087-25175639	0.1526
2_MACS_peak_460_lociStitched	chr1(.):25254715-25259346	0.1269
1_MACS_peak_462_lociStitched	chr1(.):25290330-25292764	0.1837
1_MACS_peak_463_lociStitched	chr1(.):25347509-25350178	0.2143
3_MACS_peak_464_lociStitched	chr1(.):25558190-25574851	0.1814
1_MACS_peak_467_lociStitched	chr1(.):25592858-25595179	0.287
1_MACS_peak_468_lociStitched	chr1(.):25663277-25665653	0.243
1_MACS_peak_469_lociStitched	chr1(.):25689412-25690161	0.1009
1_MACS_peak_470_lociStitched	chr1(.):25756234-25758109	0.1523
1_MACS_peak_471_lociStitched	chr1(.):25800184-25800796	0.1554
2_MACS_peak_472_lociStitched	chr1(.):25869462-25877461	0.2412
1_MACS_peak_474_lociStitched	chr1(.):25887906-25890538	0.1815
1_MACS_peak_475_lociStitched	chr1(.):25933521-25935471	0.1792
3_MACS_peak_476_lociStitched	chr1(.):25942213-25947179	0.1782
1_MACS_peak_479_lociStitched	chr1(.):25968258-25970051	0.2795
1_MACS_peak_480_lociStitched	chr1(.):26002046-26003461	0.2865
1_MACS_peak_481_lociStitched	chr1(.):26056949-26058042	0.293
1_MACS_peak_482_lociStitched	chr1(.):26123052-26123991	0.1523
1_MACS_peak_483_lociStitched	chr1(.):26136928-26137946	0.1956
1_MACS_peak_484_lociStitched	chr1(.):26145777-26148046	0.2347
1_MACS_peak_485_lociStitched	chr1(.):26185118-26186563	0.1425
1_MACS_peak_486_lociStitched	chr1(.):26201717-26202640	0.1096
1_MACS_peak_487_lociStitched	chr1(.):26231596-26233592	0.1683
1_MACS_peak_488_lociStitched	chr1(.):26269797-26270555	0.1471
1_MACS_peak_489_lociStitched	chr1(.):26323213-26325455	0.2926
1_MACS_peak_490_lociStitched	chr1(.):26346059-26346918	0.1376
