GENE_ID	locusLine	bin_1_41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
NM_001040874	chr1(.):149808784-149819318	0.2323
NM_001123375	chr1(.):149779779-149790236	0.2098
NM_000566	chr1(.):149749249-149769074	0.1406
NM_016074	chr1(.):149866154-149877348	0.1709
NM_003528	chr1(.):149851009-149863232	0.2711
NM_003517	chr1(.):149853524-149863961	0.285
NM_175065	chr1(.):149854018-149864466	0.2769
NR_036461	chr1(.):149816758-149827340	0.2377
NM_001040874	chr1(.):149817627-149828161	0.238
NM_001005464	chr1(.):149819180-149829687	0.2333
NM_001034077	chr1(.):149827329-149837725	0.1923
NM_019032	chr1(.):150516897-150538412	0.1914
NM_207046	chr1(.):150589598-150606609	0.2082
NR_036211	chr1(.):150519404-150529490	0.1311
NM_001197320	chr1(.):150542026-150557214	0.2051
NM_014437	chr1(.):153926587-153945188	0.2258
NM_130898	chr1(.):153935396-153951832	0.2422
NM_181715	chr1(.):153915151-153936043	0.2094
NM_006694	chr1(.):153941744-153955451	0.1945
NM_002870	chr1(.):153949127-153963806	0.1801
NM_014856	chr1(.):153896976-153924154	0.152
NM_001030	chr1(.):153958238-153969631	0.1816
NM_020452	chr1(.):154295275-154328780	0.192
NM_001005855	chr1(.):154293035-154315322	0.2001
NM_080429	chr1(.):154288591-154302801	0.2154
NM_006556	chr1(.):154892207-154914484	0.1957
NM_001130041	chr1(.):154929773-154951959	0.22
NM_001130040	chr1(.):154929773-154948223	0.2185
NM_201398	chr1(.):154950769-154970587	0.1868
NM_015872	chr1(.):154970111-154995999	0.1916
NM_207196	chr1(.):155018761-155040252	0.1808
NM_001184892	chr1(.):154950769-154966488	0.1873
NM_018655	chr1(.):154961061-154971791	0.1718
NM_001143687	chr1(.):155001281-155028406	0.1733
NR_024163	chr1(.):154942117-154956725	0.2674
NM_144622	chr1(.):154986002-155011257	0.1664
NM_138300	chr1(.):154924501-154939258	0.2483
NR_036212	chr1(.):154943168-154953259	0.2673
NM_006912	chr1(.):155862600-155886177	0.1574
NM_001162384	chr1(.):155911629-155953336	0.199
NM_181885	chr1(.):155906479-155917625	0.2093
NM_004723	chr1(.):155911629-155952966	0.1991
NM_014949	chr1(.):155877835-155909188	0.1851
NR_002974	chr1(.):155884699-155894833	0.1593
NR_003005	chr1(.):155890748-155900877	0.1695
NM_003145	chr1(.):155973838-155995758	0.185
NM_014655	chr1(.):156158729-156187587	0.2325
NM_007221	chr1(.):156177783-156214833	0.218
NM_022367	chr1(.):156118321-156152542	0.2179
NM_001193302	chr1(.):156118368-156152542	0.2179
NM_001193301	chr1(.):156114734-156152542	0.22
NM_005920	chr1(.):156428518-156475529	0.2153
NM_198427	chr1(.):156606739-156628264	0.1769
NM_021817	chr1(.):156584085-156600517	0.1539
NM_021948	chr1(.):156606739-156634320	0.2051
NM_004494	chr1(.):156706898-156726543	0.2109
NM_001126051	chr1(.):156706898-156727024	0.2077
NM_001126050	chr1(.):156706898-156727240	0.206
NM_030980	chr1(.):156687412-156702705	0.218
NM_001878	chr1(.):156664407-156680375	0.1333
NM_001142560	chr1(.):156693262-156711752	0.2163
NM_145729	chr1(.):156702093-156715923	0.1598
NM_006617	chr1(.):156633555-156652189	0.1518
NM_004833	chr1(.):159027274-159051647	0.2129
NM_001778	chr1(.):160643535-160686585	0.2383
NM_003037	chr1(.):160574890-160622081	0.1821
NM_021181	chr1(.):160704076-160729601	0.2287
NM_152366	chr1(.):161063180-161075138	0.1683
NM_030916	chr1(.):161035780-161064385	0.1699
NM_007122	chr1(.):161004040-161020757	0.2173
NM_001113205	chr1(.):161002421-161013774	0.1966
NR_033385	chr1(.):161063150-161075138	0.1687
NM_181720	chr1(.):161011731-161044760	0.2105
NM_016946	chr1(.):160960000-160996133	0.1864
NM_001077470	chr1(.):161194455-161213000	0.1999
NM_001039711	chr1(.):161085768-161107478	0.2141
NM_016406	chr1(.):161118533-161133646	0.2206
NM_004550	chr1(.):161164104-161189184	0.2069
NM_000309	chr1(.):161131180-161146010	0.2099
NM_001643	chr1(.):161187082-161198418	0.227
NM_001185094	chr1(.):161082907-161095984	0.2157
NM_003779	chr1(.):161136100-161152314	0.2443
NM_012475	chr1(.):161124253-161140516	0.2185
NM_001039712	chr1(.):161085768-161107256	0.2147
NM_005600	chr1(.):161082861-161095984	0.2149
NM_001185093	chr1(.):161082906-161095984	0.2157
NM_032174	chr1(.):161190832-161205407	0.2039
NM_001166159	chr1(.):161166936-161189184	0.2108
NM_005099	chr1(.):161154537-161173845	0.198
NM_004106	chr1(.):161180086-161194038	0.1951
NR_033186	chr1(.):178506930-178523024	0.1513
NM_022371	chr1(.):179046111-179070129	0.194
NM_016545	chr1(.):181052637-181064979	0.2087
NM_002922	chr1(.):192539856-192554159	0.2424
NM_001195216	chr1(.):197698138-197749623	0.1937
NM_005298	chr1(.):200837165-200848251	0.1539
NM_018265	chr1(.):200855638-200889864	0.1651
NM_001142569	chr1(.):200858998-200889864	0.1562
NM_017596	chr1(.):200933519-200997828	0.1668
NR_034150	chr1(.):203262885-203279453	0.2781
NM_003465	chr1(.):203180206-203203860	0.1588
NM_006763	chr1(.):203269663-203283729	0.2639
NM_002023	chr1(.):203304751-203325289	0.1932
NM_002646	chr1(.):204386757-204464474	0.1531
NM_002393	chr1(.):204480510-204532248	0.193
NM_001007544	chr1(.):206233871-206293647	0.1909
NM_148964	chr1(.):206312458-206337104	0.1364
NM_006893	chr1(.):206759973-206790904	0.1781
NM_182665	chr1(.):206725491-206767616	0.2323
NM_021194	chr1(.):211743380-211757099	0.2499
NM_000120	chr1(.):226008001-226038262	0.1424
NM_020997	chr1(.):226068981-226081836	0.1598
NM_014698	chr1(.):226028232-226075420	0.1882
NM_013328	chr1(.):226102579-226116965	0.18
NM_182972	chr1(.):234735014-234750271	0.252
NR_033927	chr1(.):234760056-234775526	0.1698
NM_020458	chr2(.):47163312-47308275	0.1222
NR_033872	chr2(.):70184394-70319147	0.1204
NM_001099289	chr2(.):109740996-110267207	0.0919
NM_001012514	chr2(.):231724620-231748963	0.0737
NM_145693	chr2(.):11881739-11972533	0.1308
NM_170672	chr2(.):33656415-33794798	0.1141
NM_005813	chr2(.):37472645-37549222	0.1561
NM_019063	chr2(.):42391489-42564688	0.1213
NM_012249	chr2(.):46764866-46816827	0.1389
NM_014755	chr2(.):64853754-64886046	0.1581
NR_036586	chr2(.):65123973-65164581	0.1646
NM_002398	chr2(.):66657531-66804891	0.1055
NM_004836	chr2(.):88851258-88932094	0.1334
NM_144563	chr2(.):88986175-89055452	0.1225
NM_004027	chr2(.):99056320-99212496	0.1529
NM_001566	chr2(.):99056320-99203284	0.1543
NM_003581	chr2(.):106356519-106515730	0.1216
NM_002410	chr2(.):135006829-135211468	0.1201
NM_001077269	chr2(.):175419301-175552627	0.1208
NR_024415	chr2(.):192537797-192558248	0.1499
NM_001031716	chr2(.):192537860-192558248	0.1504
NM_004226	chr2(.):196993306-197041336	0.1531
NM_001228	chr2(.):202093165-202157434	0.1543
NM_003879	chr2(.):201975889-202034003	0.1486
NM_001127184	chr2(.):201975815-202011323	0.1667
NM_173822	chr2(.):201833440-201941392	0.1139
NM_033358	chr2(.):202093165-202151638	0.1589
NM_022730	chr2(.):232646161-232678434	0.0656
NM_003108	chr2(.):5827798-5846517	0.094
NM_001037160	chr2(.):10191925-10225538	0.0943
NM_182626	chr2(.):10276508-10356856	0.0944
NM_001165931	chr2(.):10257694-10276546	0.1485
NM_001034	chr2(.):10257862-10276546	0.1492
NM_002997	chr2(.):20395557-20429927	0.1614
NM_001006946	chr2(.):20395557-20430194	0.1608
NM_004040	chr2(.):20641834-20654201	0.1231
NM_178553	chr2(.):27354714-27367332	0.1201
NM_001166239	chr2(.):27318461-27346773	0.1161
NM_001166240	chr2(.):27317220-27346995	0.1152
NM_013388	chr2(.):27348624-27362542	0.1273
NM_001166241	chr2(.):27317220-27338970	0.1086
NM_032604	chr2(.):27341656-27358680	0.1416
NM_175769	chr2(.):27366944-27380819	0.1318
NM_080592	chr2(.):27429898-27445046	0.1539
NM_001170795	chr2(.):27430218-27445046	0.1548
NM_021095	chr2(.):27417454-27440175	0.1202
NM_015376	chr2(.):33733941-33794798	0.1106
NM_001139488	chr2(.):33696320-33794798	0.1273
NM_012413	chr2(.):37566752-37605465	0.1896
NM_138370	chr2(.):42270160-42290668	0.0857
NM_006887	chr2(.):43444540-43458745	0.1825
NR_027251	chr2(.):43449349-43460994	0.1448
NM_080653	chr2(.):46733985-46752096	0.1115
NM_173074	chr2(.):46803412-46849251	0.1202
NM_014171	chr2(.):46839324-46857881	0.1204
NM_001171507	chr2(.):47124008-47148251	0.1306
NM_001171506	chr2(.):47124008-47148007	0.131
NM_001171508	chr2(.):47124008-47173994	0.126
NR_033837	chr2(.):64407212-64437619	0.1385
NR_034023	chr2(.):64829445-64848616	0.1191
NM_001193493	chr2(.):65210578-65256000	0.1341
NM_003038	chr2(.):65211494-65256000	0.1336
NM_014882	chr2(.):68996932-69058957	0.123
NM_001166277	chr2(.):68956912-69058957	0.1334
NM_006196	chr2(.):70309584-70321334	0.1674
NR_024444	chr2(.):70346167-70357448	0.1302
NR_026984	chr2(.):86242338-86255991	0.1046
NR_015424	chr2(.):89060418-89111109	0.1451
NR_026875	chr2(.):97158382-97178846	0.1152
NM_212481	chr2(.):97197463-97223371	0.161
NR_024275	chr2(.):135201959-135217192	0.0936
NM_004288	chr2(.):158266130-158305604	0.1645
NM_003387	chr2(.):175419301-175504307	0.1317
NM_002491	chr2(.):201931461-201955473	0.1231
NM_001127183	chr2(.):201978386-202033841	0.1497
NM_032974	chr2(.):202042620-202099110	0.1544
NM_001230	chr2(.):202042620-202091383	0.1469
NM_033356	chr2(.):202120222-202157434	0.1442
NM_001080125	chr2(.):202117753-202157434	0.1458
NM_006139	chr2(.):204566197-204607557	0.1648
NM_017431	chr2(.):219682105-219701512	0.0924
NM_025216	chr2(.):219740254-219763651	0.1604
NM_006522	chr2(.):219719545-219743954	0.1028
NM_001099285	chr2(.):232568234-232583250	0.079
NM_002601	chr2(.):232592146-232650974	0.0575
NR_036052	chr2(.):232573023-232583105	0.0678
NR_031717	chr2(.):232751951-232762008	0.0562
NM_014674	chr3(.):5224358-5266650	0.1523
NM_001195099	chr3(.):15703743-15803058	0.1153
NM_001195098	chr3(.):15703743-15844691	0.1211
NM_015199	chr3(.):15703743-15906053	0.1223
NM_003571	chr3(.):133113789-133199056	0.1332
NM_207294	chr3(.):152012193-152188569	0.1262
NM_021038	chr3(.):151980828-152188568	0.1296
NM_001135095	chr3(.):171753343-172123492	0.1793
NM_022763	chr3(.):171752417-172123492	0.1795
NM_181361	chr3(.):178249223-178567217	0.1462
NM_001134382	chr3(.):12933718-13119617	0.1119
NM_024923	chr3(.):13352736-13466809	0.1089
NM_014869	chr3(.):12933718-13013960	0.1009
NM_003884	chr3(.):20076523-20200896	0.1138
NM_182666	chr3(.):23842438-23937807	0.121
NM_001024847	chr3(.):30642993-30740633	0.1256
NM_001123396	chr3(.):46390234-46405868	0.1527
NM_181042	chr3(.):52574367-52718739	0.1114
NM_018313	chr3(.):52574367-52724866	0.1136
NM_007114	chr3(.):69063977-69106484	0.1198
NM_002213	chr3(.):124476794-124611144	0.1183
NM_006506	chr3(.):141200925-141336197	0.1219
NM_001080412	chr3(.):141038054-141173632	0.17
NM_016275	chr3(.):150316065-150353234	0.1411
NM_001190242	chr3(.):159969773-160106554	0.1453
NM_001190241	chr3(.):159969773-160122320	0.1518
NM_024665	chr3(.):176733541-176920048	0.188
NM_005832	chr3(.):178271617-178567217	0.1441
NM_130446	chr3(.):183200318-183278499	0.2283
NM_173216	chr3(.):186643314-186801341	0.1919
NM_003032	chr3(.):186734664-186801341	0.2061
NM_018184	chr3(.):5158929-5227601	0.1144
NR_027694	chr3(.):20016452-20058765	0.0961
NM_001295	chr3(.):46238199-46254832	0.1546
NM_001837	chr3(.):46278871-46313197	0.1146
NM_003212	chr3(.):46614075-46628952	0.1003
NM_001174136	chr3(.):46611044-46628952	0.1042
NM_024512	chr3(.):46551877-46613011	0.1292
NM_031440	chr3(.):46534484-46547439	0.1109
NM_199074	chr3(.):49052907-49065926	0.1519
NM_199073	chr3(.):49053617-49065926	0.1554
NM_017730	chr3(.):49062141-49136504	0.1148
NM_177939	chr3(.):49022340-49049581	0.1326
NM_018031	chr3(.):49039636-49058386	0.1422
NM_000884	chr3(.):49056761-49071875	0.1532
NM_018114	chr3(.):49047434-49063467	0.1403
NM_199070	chr3(.):49054073-49065926	0.1549
NM_001009996	chr3(.):49047434-49061017	0.1453
NR_029690	chr3(.):49053050-49063142	0.1505
NR_029948	chr3(.):49052580-49062667	0.1518
NM_001010983	chr3(.):52723503-52745048	0.1527
NM_206825	chr3(.):52714935-52733510	0.1517
NR_003687	chr3(.):52719753-52729846	0.1616
NM_014041	chr3(.):52734856-52747197	0.1484
NR_003057	chr3(.):52721751-52731828	0.1585
NM_152932	chr3(.):52723503-52742622	0.1569
NR_003047	chr3(.):52718255-52728331	0.1538
NM_001193533	chr3(.):52739795-52809965	0.1182
NM_198195	chr3(.):69098880-69134524	0.1328
NM_006407	chr3(.):69129089-69160239	0.1641
NM_198271	chr3(.):69151038-69176746	0.1211
NR_036087	chr3(.):69093108-69103186	0.1426
NM_006100	chr3(.):98446571-98518236	0.1497
NM_145037	chr3(.):101493028-101552075	0.1484
NM_001134456	chr3(.):101493285-101552075	0.1487
NM_001005474	chr3(.):101541833-101584869	0.12
NM_020187	chr3(.):128992683-129029135	0.1308
NM_001006109	chr3(.):128992816-129029135	0.1308
NM_006026	chr3(.):129028613-129040120	0.1546
NR_026991	chr3(.):129030113-129048412	0.1402
NM_001145417	chr3(.):135862759-135918310	0.1251
NM_018133	chr3(.):135862759-135919688	0.1243
NR_027037	chr3(.):151975404-151992415	0.1403
NR_034008	chr3(.):156802669-156823924	0.2478
NR_034007	chr3(.):156794455-156845791	0.1932
NM_173084	chr3(.):160148290-160172626	0.1845
NR_029663	chr3(.):160117375-160127473	0.2357
NM_005496	chr3(.):160113346-160157741	0.2068
NM_001002800	chr3(.):160112429-160157741	0.2056
NR_029525	chr3(.):160117532-160127613	0.2262
NR_027622	chr3(.):169656771-169689522	0.2284
NM_182610	chr3(.):169624481-169661948	0.1747
NM_003262	chr3(.):169679579-169721161	0.1829
NM_005781	chr3(.):195585235-195640880	0.1555
NM_001010938	chr3(.):195585235-195627432	0.1408
NM_198565	chr3(.):196361655-196393874	0.1821
NM_003215	chr4(.):48132799-48276814	0.1305
NM_201431	chr4(.):74433861-74491340	0.1376
NM_177532	chr4(.):74433861-74491134	0.1377
NM_020859	chr4(.):77351252-77709405	0.117
NM_144571	chr4(.):78629540-78745544	0.1192
NM_198281	chr4(.):90160428-90234161	0.1651
NM_006527	chr4(.):1689526-1719030	0.1255
NM_015173	chr4(.):37887719-38145794	0.1155
NM_001098634	chr4(.):40420271-40636883	0.1142
NM_004310	chr4(.):40193526-40251281	0.1508
NM_001166693	chr4(.):87851153-88067206	0.1197
NM_005327	chr4(.):108905869-108961331	0.1319
NM_024900	chr4(.):129725778-129790787	0.1231
NM_199320	chr4(.):129725778-129801379	0.1236
NM_002039	chr4(.):144252982-144400718	0.1329
NM_002199	chr4(.):185303875-185400726	0.1518
NM_031953	chr4(.):186126283-186290120	0.1255
NM_001013622	chr4(.):1636607-1690718	0.0776
NM_001174070	chr4(.):1636607-1690988	0.0778
NM_001127266	chr4(.):1712678-1728084	0.1372
NM_006342	chr4(.):1718265-1751897	0.1041
NR_031688	chr4(.):9552788-9562937	0.116
NM_017581	chr4(.):40332468-40361973	0.0967
NM_001076	chr4(.):69398132-69439240	0.1174
NM_001077	chr4(.):69397902-69439245	0.1177
NM_001076	chr4(.):69507314-69541374	0.1002
NM_031889	chr4(.):71489460-71517536	0.1143
NM_144646	chr4(.):71516257-71537348	0.1654
NM_020368	chr4(.):71549195-71561268	0.1395
NM_014961	chr4(.):71582695-71664274	0.1095
NM_001130709	chr4(.):71565653-71660614	0.1157
NM_020236	chr4(.):78778804-78878944	0.1117
NM_144645	chr4(.):87792357-87818575	0.1031
NM_025212	chr4(.):105388342-105417467	0.1314
NM_002372	chr5(.):109020155-109208429	0.129
NM_001131005	chr5(.):88009057-88204922	0.1375
NM_002397	chr5(.):88009057-88184283	0.1408
NM_001193349	chr5(.):88009057-88124744	0.1377
NM_024669	chr5(.):55390506-55534186	0.124
NR_015436	chr5(.):87831596-87985620	0.0993
NM_152624	chr5(.):112307432-112361667	0.116
NM_001077654	chr5(.):118599417-118735294	0.1356
NM_001038702	chr5(.):130594701-130735382	0.121
NM_003060	chr5(.):131700400-131736306	0.1201
NM_001020825	chr5(.):142652495-142788254	0.1245
NM_001018076	chr5(.):142652495-142789045	0.1246
NM_001018075	chr5(.):142652495-142820077	0.1229
NM_138379	chr5(.):156341292-156395266	0.1171
NM_005990	chr5(.):171464073-171620346	0.1105
NM_022455	chr5(.):176555832-176732214	0.1125
NM_172349	chr5(.):176555079-176732214	0.1128
NM_002406	chr5(.):180212540-180235048	0.1196
NM_001114619	chr5(.):180212540-180235902	0.1216
NM_001114618	chr5(.):180212540-180241817	0.1288
NM_001114617	chr5(.):180212540-180242137	0.1284
NM_001193376	chr5(.):1248286-1300162	0.078
NM_030782	chr5(.):1312999-1350002	0.1493
NM_001145161	chr5(.):6443735-6501834	0.1311
NM_006713	chr5(.):32580604-32609185	0.1635
NM_002184	chr5(.):55225924-55295821	0.1332
NR_036243	chr5(.):86405695-86415771	0.1543
NR_024384	chr5(.):87955262-87974146	0.1532
NR_024383	chr5(.):87955262-87979262	0.1374
NR_030741	chr5(.):87957670-87967757	0.1446
NM_005668	chr5(.):100137638-100243987	0.1247
NM_175052	chr5(.):100216014-100243970	0.1399
NR_033175	chr5(.):109213882-109226200	0.1032
NM_005669	chr5(.):112207080-112263031	0.1195
NR_036052	chr5(.):118305280-118315362	0.1138
NM_014350	chr5(.):118686595-118735294	0.126
NR_037500	chr5(.):131696181-131706291	0.112
NM_002198	chr5(.):131812300-131831465	0.1507
NM_001013717	chr5(.):131741672-131803059	0.1715
NM_000879	chr5(.):131872135-131884214	0.107
NM_016480	chr5(.):138672518-138710409	0.1057
NM_194296	chr5(.):138727455-138744776	0.151
NM_152686	chr5(.):138740891-138780214	0.1291
NM_152685	chr5(.):138697884-138724039	0.1086
NM_001033112	chr5(.):138673133-138710409	0.1052
NM_001161546	chr5(.):138722634-138735885	0.1654
NM_016459	chr5(.):138718256-138730605	0.1819
NM_000024	chr5(.):148201155-148213197	0.1809
NM_006058	chr5(.):150404505-150465997	0.124
NM_001155	chr5(.):150475266-150542443	0.1402
NM_001193544	chr5(.):150475266-150526216	0.1369
NR_028472	chr5(.):156346099-156357013	0.1549
NM_001171183	chr5(.):171616175-171635458	0.1084
NM_030627	chr5(.):173310330-173392313	0.1285
NM_001031677	chr5(.):176723198-176735744	0.1669
NM_006480	chr5(.):176779843-176804599	0.1277
NM_006816	chr5(.):176753562-176783885	0.113
NM_031300	chr5(.):176729205-176744292	0.1687
NM_001142935	chr5(.):176727500-176744292	0.172
NM_013237	chr5(.):176725834-176738950	0.178
NR_027183	chr5(.):180251958-180267726	0.1597
NM_152283	chr5(.):180269610-180293286	0.107
NM_181356	chr6(.):44791469-45350670	0.0975
NM_003599	chr6(.):44792449-45350575	0.0976
NM_012288	chr6(.):52357199-52446862	0.1671
NM_001195286	chr6(.):386738-416443	0.1616
NM_001168344	chr6(.):7102829-7257213	0.116
NM_001003699	chr6(.):7103085-7257213	0.1159
NM_001718	chr6(.):7722010-7886961	0.1252
NR_037616	chr6(.):7876482-8069647	0.142
NM_001173977	chr6(.):25274655-25625758	0.1296
NM_014641	chr6(.):30662583-30690458	0.1334
NM_172166	chr6(.):31702724-31735455	0.1264
NM_004348	chr6(.):45384913-45523819	0.1227
NM_001024630	chr6(.):45291053-45523819	0.1128
NM_001123226	chr6(.):74166453-74216179	0.1149
NM_016021	chr6(.):90031343-90067619	0.1464
NM_001455	chr6(.):108877068-109010971	0.1387
NM_201559	chr6(.):108876025-109010971	0.1386
NM_032131	chr6(.):109164618-109300352	0.1329
NM_173674	chr6(.):117798819-117896020	0.1245
NM_006734	chr6(.):143067603-143271338	0.0634
NM_024630	chr6(.):157797556-158099977	0.0573
NM_020185	chr6(.):287100-356355	0.2868
NM_001145549	chr6(.):7876482-7915310	0.1971
NM_030810	chr6(.):7876482-7916047	0.1967
NM_032744	chr6(.):11708887-11784280	0.118
NM_005319	chr6(.):26050967-26061699	0.1496
NM_003537	chr6(.):26026816-26037288	0.1657
NM_003544	chr6(.):26022123-26032480	0.1477
NM_021062	chr6(.):26038454-26048885	0.1505
NM_003531	chr6(.):26040638-26051097	0.1512
NM_005325	chr6(.):26012259-26023040	0.1247
NM_003538	chr6(.):26016906-26027278	0.1473
NM_003513	chr6(.):26028319-26038796	0.1504
NM_003529	chr6(.):26015717-26026186	0.1327
NM_021065	chr6(.):26194011-26204471	0.1641
NM_003530	chr6(.):26192011-26204464	0.152
NM_138720	chr6(.):26153348-26176576	0.1424
NM_003523	chr6(.):26179023-26189458	0.1297
NM_003539	chr6(.):26183937-26194304	0.1282
NM_003545	chr6(.):26199872-26210249	0.1443
NM_005321	chr6(.):26151558-26162343	0.1696
NM_003522	chr6(.):26194786-26205216	0.1717
NM_003518	chr6(.):26211427-26221872	0.1443
NM_021052	chr6(.):26212147-26222711	0.1481
NM_003532	chr6(.):26220382-26230844	0.1038
NM_003524	chr6(.):26246878-26257303	0.1415
NM_003547	chr6(.):26241838-26252205	0.1314
NM_003540	chr6(.):26235653-26246021	0.1109
NM_021018	chr6(.):26245369-26255835	0.1387
NM_005320	chr6(.):26229439-26240216	0.1068
NM_001145008	chr6(.):26397464-26420444	0.1227
NM_001197240	chr6(.):26378328-26400100	0.1295
NM_001197247	chr6(.):26360397-26383540	0.1399
NM_001197238	chr6(.):26378323-26400100	0.1295
NM_007047	chr6(.):26360397-26383548	0.1398
NM_001197237	chr6(.):26378438-26400100	0.1296
NM_001197248	chr6(.):26360469-26383540	0.1396
NM_001197246	chr6(.):26363405-26383540	0.1275
NM_021064	chr6(.):27095816-27106314	0.149
NM_080593	chr6(.):27101071-27119637	0.1463
NM_080596	chr6(.):27109907-27120346	0.1489
NR_036096	chr6(.):27110404-27120467	0.1477
NM_021058	chr6(.):27095094-27105575	0.155
NM_003495	chr6(.):27102087-27112457	0.1324
NM_021066	chr6(.):27777079-27787518	0.1469
NM_003536	chr6(.):27772841-27783314	0.1823
NM_003509	chr6(.):27770976-27781445	0.1616
NM_003519	chr6(.):27770256-27780709	0.1593
NM_003521	chr6(.):27777821-27788267	0.1473
NM_003535	chr6(.):27853092-27863570	0.1912
NM_003527	chr6(.):27856202-27866669	0.1983
NM_003520	chr6(.):27801439-27811888	0.1661
NM_003511	chr6(.):27828106-27838576	0.1237
NM_003533	chr6(.):27834622-27845099	0.1042
NM_003510	chr6(.):27800657-27811117	0.158
NM_003541	chr6(.):27793951-27804305	0.1103
NM_005322	chr6(.):27829569-27840359	0.1332
NM_033057	chr6(.):27873962-27885174	0.1015
NM_021968	chr6(.):27786902-27797258	0.1095
NM_003514	chr6(.):27855476-27865963	0.202
NM_003546	chr6(.):27835925-27846289	0.0954
NM_003587	chr6(.):30615895-30645830	0.0971
NM_001161376	chr6(.):30609815-30625987	0.1162
NM_133471	chr6(.):30639165-30660672	0.1401
NM_001134870	chr6(.):30639165-30660093	0.1424
NM_007243	chr6(.):30650825-30663769	0.143
NM_005803	chr6(.):30690510-30715453	0.1444
NM_003897	chr6(.):30705975-30717327	0.1452
NM_178014	chr6(.):30683156-30698195	0.1682
NM_007109	chr6(.):31121302-31136992	0.1388
NM_001173531	chr6(.):31127113-31139615	0.118
NR_026791	chr6(.):31160536-31176745	0.145
NM_019052	chr6(.):31105215-31131015	0.1183
NM_001105563	chr6(.):31105215-31130566	0.1162
NR_026816	chr6(.):31136511-31150676	0.0882
