#U266 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/U266.H3K27ac_ROSE/U266_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by U266.jin.bam
#Using cutoff of 17655.7392 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266.jin.bam	enhancerRank	isSuper
5_MACS_peak_30895_lociStitched	chr8	126292172	126322741	5	29961	87433.4538	34	1
3_MACS_peak_19139_lociStitched	chr20	30284861	30312201	3	26979	87129.846	35	1
1_MACS_peak_28318_lociStitched	chr7	26001698	26011468	1	9771	86146.975	36	1
1_MACS_peak_29177_lociStitched	chr7	104648770	104659183	1	10414	84264.0786	37	1
4_MACS_peak_14405_lociStitched	chr18	72192582	72212505	4	19564	83278.14	38	1
1_MACS_peak_16714_lociStitched	chr2	37529810	37553331	1	23522	83118.5098	39	1
3_MACS_peak_11911_lociStitched	chr16	81839687	81858684	3	18966	83037.7867	40	1
1_MACS_peak_7611_lociStitched	chr12	125395640	125409247	1	13608	82602.6542	41	1
2_MACS_peak_28655_lociStitched	chr7	55574139	55593043	2	18546	81440.3224	42	1
1_MACS_peak_20071_lociStitched	chr21	44724516	44735878	1	11363	81192.852	43	1
5_MACS_peak_1790_lociStitched	chr1	150532312	150553319	5	20522	78700.6248	44	1
2_MACS_peak_13042_lociStitched	chr17	43296467	43309240	2	12748	78095.3993	45	1
2_MACS_peak_3450_lociStitched	chr10	15824892	15838366	2	13318	77918.7946	46	1
3_MACS_peak_15524_lociStitched	chr19	39887871	39904195	3	16150	77867.1124	47	1
2_MACS_peak_23935_lociStitched	chr4	144273419	144285051	2	11500	76938.7008	48	1
3_MACS_peak_20668_lociStitched	chr22	38653489	38673829	3	20244	76765.194	49	1
2_MACS_peak_9455_lociStitched	chr14	106156362	106176078	2	19690	75269.7732	50	1
1_MACS_peak_14369_lociStitched	chr18	60821209	60831412	1	10204	73633.0104	51	1
2_MACS_peak_4359_lociStitched	chr10	112164239	112178079	2	13559	72868.984	52	1
1_MACS_peak_24358_lociStitched	chr5	6478714	6490556	1	11843	70225.4284	53	1
2_MACS_peak_1900_lociStitched	chr1	154907748	154918692	2	10940	69932.16	54	1
1_MACS_peak_10612_lociStitched	chr15	93344758	93355580	1	10823	69630.9124	55	1
3_MACS_peak_7277_lociStitched	chr12	109018819	109032782	3	13506	68865.516	56	1
5_MACS_peak_17640_lociStitched	chr2	112455512	112469360	5	13614	67982.6016	57	1
1_MACS_peak_17460_lociStitched	chr2	99093918	99110061	1	16144	67669.8417	58	1
2_MACS_peak_29168_lociStitched	chr7	104576348	104587759	2	10927	66870.7422	59	1
2_MACS_peak_5348_lociStitched	chr11	64623979	64635612	2	11424	65014.5104	60	1
1_MACS_peak_9293_lociStitched	chr14	98633036	98646531	1	13496	63526.363	61	1
3_MACS_peak_20408_lociStitched	chr22	24819849	24833170	3	13287	63498.5428	62	1
3_MACS_peak_24318_lociStitched	chr5	1311497	1322424	3	10779	62931.8711	63	1
3_MACS_peak_4347_lociStitched	chr10	112112715	112123228	3	10068	62673.2495	64	1
1_MACS_peak_30797_lociStitched	chr8	118450225	118458675	1	8451	62280.725	65	1
3_MACS_peak_2973_lociStitched	chr1	230255892	230270754	3	14462	62163.2874	66	1
3_MACS_peak_19972_lociStitched	chr21	37905257	37917818	3	12315	60891.9597	67	1
2_MACS_peak_26076_lociStitched	chr6	319869	334068	2	13711	60094.4277	68	1
4_MACS_peak_26219_lociStitched	chr6	11823283	11838074	4	14037	58672.9388	69	1
4_MACS_peak_14109_lociStitched	chr18	35009359	35026975	4	17583	58587.2928	70	1
4_MACS_peak_20335_lociStitched	chr22	23229466	23249580	4	19490	58139.517	71	1
1_MACS_peak_23900_lociStitched	chr4	140126857	140136704	1	9848	57855.0638	72	1
7_MACS_peak_21130_lociStitched	chr3	13330066	13351294	7	20428	57788.9844	73	1
4_MACS_peak_5909_lociStitched	chr11	115051338	115073229	4	21448	57277.8015	74	1
1_MACS_peak_23268_lociStitched	chr4	40193755	40210228	1	16474	57115.1856	75	1
1_MACS_peak_25347_lociStitched	chr5	131754933	131766398	1	11466	56494.934	76	1
1_MACS_peak_7569_lociStitched	chr12	123370501	123387130	1	16630	56423.8599	77	1
2_MACS_peak_10060_lociStitched	chr15	65182349	65190496	2	7887	56402.4957	78	1
1_MACS_peak_19481_lociStitched	chr20	45976582	45990443	1	13862	56210.5133	79	1
2_MACS_peak_13210_lociStitched	chr17	48979200	48987885	2	8371	56123.3385	80	1
3_MACS_peak_25907_lociStitched	chr5	173309634	173333006	3	22906	56027.3584	81	1
4_MACS_peak_11049_lociStitched	chr16	14489603	14503007	4	12942	55879.9356	82	1
2_MACS_peak_971_lociStitched	chr1	51432418	51447954	2	15517	55869.0096	83	1
2_MACS_peak_7273_lociStitched	chr12	108952659	108967081	2	14301	55611.232	84	1
2_MACS_peak_32378_lociStitched	chr9	132646061	132657833	2	11755	54859.8744	85	1
4_MACS_peak_20075_lociStitched	chr21	44770194	44777979	4	7557	54687.2895	86	1
2_MACS_peak_9090_lociStitched	chr14	81935530	81953943	2	18289	54174.7286	87	1
2_MACS_peak_5391_lociStitched	chr11	65236120	65247639	2	11474	54115.1101	88	1
1_MACS_peak_26071_lociStitched	chr6	290392	300127	1	9736	53879.331	89	1
2_MACS_peak_14708_lociStitched	chr19	6586006	6594761	2	8419	53796.8485	90	1
1_MACS_peak_4365_lociStitched	chr10	112214796	112226371	1	11576	53446.405	91	1
1_MACS_peak_13962_lociStitched	chr18	10946306	10958535	1	12230	53438.2842	92	1
3_MACS_peak_2526_lociStitched	chr1	203264688	203278694	3	14004	53068.734	93	1
2_MACS_peak_22190_lociStitched	chr3	129023572	129036397	2	12754	53000.595	94	1
2_MACS_peak_22806_lociStitched	chr3	194205693	194212791	2	7091	52772.2104	95	1
4_MACS_peak_19574_lociStitched	chr20	52190856	52211945	4	20459	52650.7974	96	1
1_MACS_peak_22305_lociStitched	chr3	141119978	141134811	1	14834	52486.5705	97	1
3_MACS_peak_13917_lociStitched	chr18	9015736	9025611	3	9170	52465.875	98	1
1_MACS_peak_14949_lociStitched	chr19	12898765	12906053	1	7289	52198.8424	99	1
5_MACS_peak_14242_lociStitched	chr18	49916486	49928989	5	12043	52087.498	100	1
3_MACS_peak_17732_lociStitched	chr2	127412930	127426248	3	13069	50852.1194	101	1
2_MACS_peak_26623_lociStitched	chr6	32934891	32941287	2	6393	49801.8144	102	1
1_MACS_peak_17261_lociStitched	chr2	86260589	86268996	1	8408	49593.7337	103	1
1_MACS_peak_13648_lociStitched	chr17	75135544	75145599	1	10056	48736.585	104	1
3_MACS_peak_28247_lociStitched	chr7	22481027	22492733	3	11499	48334.074	105	1
2_MACS_peak_2524_lociStitched	chr1	203254800	203262915	2	8030	48183.624	106	1
1_MACS_peak_16778_lociStitched	chr2	39714648	39725240	1	10593	48133.2256	107	1
1_MACS_peak_20068_lociStitched	chr21	44579914	44587962	1	8049	47772.928	108	1
5_MACS_peak_6930_lociStitched	chr12	68748567	68762326	5	13130	47567.6148	109	1
4_MACS_peak_17858_lociStitched	chr2	137132624	137143745	4	10959	47545.6113	110	1
1_MACS_peak_16301_lociStitched	chr2	5835093	5842537	1	7445	47492.72	111	1
2_MACS_peak_28658_lociStitched	chr7	55596432	55605691	2	9208	47294.0461	112	1
4_MACS_peak_30712_lociStitched	chr8	103815622	103828678	4	12455	47150.4384	113	1
3_MACS_peak_18712_lociStitched	chr2	232570229	232577578	3	7150	47002.7342	114	1
2_MACS_peak_8551_lociStitched	chr14	33501576	33514440	2	12844	46983.1872	115	1
4_MACS_peak_19596_lociStitched	chr20	52542460	52554045	4	11469	46723.4635	116	1
2_MACS_peak_19926_lociStitched	chr21	36413910	36424877	2	10942	46309.2542	117	1
1_MACS_peak_10622_lociStitched	chr15	93443014	93451987	1	8974	46126.6038	118	1
2_MACS_peak_1980_lociStitched	chr1	156627322	156635973	2	8652	45939.4053	119	1
4_MACS_peak_18382_lociStitched	chr2	202115695	202128798	4	13052	45819.8807	120	1
1_MACS_peak_25902_lociStitched	chr5	173212371	173223483	1	11113	45810.3312	121	1
3_MACS_peak_19370_lociStitched	chr20	42376636	42384953	3	7889	45582.1502	122	1
2_MACS_peak_22825_lociStitched	chr3	195263612	195273408	2	9797	45484.7872	123	1
1_MACS_peak_9885_lociStitched	chr15	52424052	52433093	1	9042	45137.1925	124	1
5_MACS_peak_7435_lociStitched	chr12	117534943	117551690	5	15927	45005.8878	125	1
2_MACS_peak_9948_lociStitched	chr15	58620872	58627401	2	6439	44865.9822	126	1
2_MACS_peak_21788_lociStitched	chr3	72025874	72036533	2	10626	44248.7067	127	1
1_MACS_peak_8658_lociStitched	chr14	50526417	50534845	1	8429	44242.786	128	1
1_MACS_peak_9391_lociStitched	chr14	103780319	103788898	1	8580	44136.3813	129	1
1_MACS_peak_23896_lociStitched	chr4	140095642	140100596	1	4955	44126.7642	130	1
3_MACS_peak_27889_lociStitched	chr6	159064247	159076487	3	11328	44117.856	131	1
1_MACS_peak_13471_lociStitched	chr17	66229877	66236613	1	6737	43828.4576	132	1
1_MACS_peak_28221_lociStitched	chr7	20255823	20262551	1	6729	43745.456	133	1
1_MACS_peak_18428_lociStitched	chr2	204568418	204577369	1	8952	43428.4618	134	1
6_MACS_peak_12869_lociStitched	chr17	38251798	38268883	6	16189	43423.236	135	1
2_MACS_peak_14704_lociStitched	chr19	6572112	6582097	2	9986	43266.0035	136	1
1_MACS_peak_6803_lociStitched	chr12	56726233	56734104	1	7872	43259.016	137	1
1_MACS_peak_2885_lociStitched	chr1	226839220	226852898	1	13679	42760.1636	138	1
3_MACS_peak_13680_lociStitched	chr17	76265995	76276418	3	10393	42578.9973	139	1
2_MACS_peak_13422_lociStitched	chr17	62979489	62986789	2	7274	42391.1	140	1
4_MACS_peak_28615_lociStitched	chr7	47708172	47716741	4	8195	42273.4477	141	1
1_MACS_peak_16470_lociStitched	chr2	20703265	20711995	1	8731	41629.005	142	1
5_MACS_peak_21413_lociStitched	chr3	45604427	45617805	5	12910	41499.8938	143	1
2_MACS_peak_17106_lociStitched	chr2	70310892	70317000	2	6074	41214.9516	144	1
1_MACS_peak_11997_lociStitched	chr16	87805872	87814755	1	8884	41011.9227	145	1
1_MACS_peak_1896_lociStitched	chr1	154828237	154835496	1	7260	40990.1212	146	1
1_MACS_peak_22794_lociStitched	chr3	193815334	193822651	1	7318	40978.8585	147	1
1_MACS_peak_19363_lociStitched	chr20	42306915	42313839	1	6925	40894.5288	148	1
5_MACS_peak_12734_lociStitched	chr17	34411615	34423724	5	11698	40861.8205	149	1
1_MACS_peak_3040_lociStitched	chr1	233774105	233786375	1	12271	40773.21	150	1
1_MACS_peak_12843_lociStitched	chr17	37909388	37916635	1	7248	40739.7352	151	1
3_MACS_peak_13689_lociStitched	chr17	76348185	76357402	3	9034	40111.4623	152	1
1_MACS_peak_25898_lociStitched	chr5	173167846	173174536	1	6691	40091.163	153	1
1_MACS_peak_6339_lociStitched	chr12	12866502	12880261	1	13760	39956.136	154	1
1_MACS_peak_24549_lociStitched	chr5	32530790	32544625	1	13836	39826.8145	155	1
2_MACS_peak_8540_lociStitched	chr14	33403066	33413486	2	10395	39793.98	156	1
1_MACS_peak_29453_lociStitched	chr7	132227736	132236127	1	8392	39782.5701	157	1
3_MACS_peak_17955_lociStitched	chr2	158292208	158302332	3	9702	39754.9232	158	1
3_MACS_peak_1947_lociStitched	chr1	155908015	155918872	3	10573	39748.5627	159	1
2_MACS_peak_2294_lociStitched	chr1	179845980	179853916	2	7549	39656.192	160	1
2_MACS_peak_33049_lociStitched	chrX	48768130	48783853	2	15658	39483.5976	161	1
4_MACS_peak_15701_lociStitched	chr19	45249876	45260224	4	10177	39265.486	162	1
2_MACS_peak_19321_lociStitched	chr20	37498261	37507340	2	8780	39253.0565	163	1
1_MACS_peak_2277_lociStitched	chr1	178571927	178578208	1	6282	39252.4814	164	1
2_MACS_peak_25339_lociStitched	chr5	131434583	131441961	2	7080	39186.0336	165	1
3_MACS_peak_8660_lociStitched	chr14	50546047	50555128	3	8822	39153.6396	166	1
3_MACS_peak_32204_lociStitched	chr9	126097606	126103808	3	6050	38968.4064	167	1
1_MACS_peak_26572_lociStitched	chr6	31701464	31709149	1	7686	38929.9045	168	1
1_MACS_peak_9804_lociStitched	chr15	45016565	45023347	1	6783	38880.5278	169	1
2_MACS_peak_32120_lociStitched	chr9	117255954	117268783	2	12578	38862.8897	170	1
1_MACS_peak_10501_lociStitched	chr15	89177278	89185160	1	7883	38858.26	171	1
3_MACS_peak_10174_lociStitched	chr15	70486682	70494071	3	6855	38702.1042	172	1
2_MACS_peak_17629_lociStitched	chr2	112285286	112294513	2	9162	38551.3287	173	1
1_MACS_peak_19470_lociStitched	chr20	45522627	45531450	1	8824	38133.006	174	1
1_MACS_peak_9113_lociStitched	chr14	89891266	89903695	1	12430	38127.2004	175	1
1_MACS_peak_1766_lociStitched	chr1	149855399	149861420	1	6022	38058.741	176	1
1_MACS_peak_9352_lociStitched	chr14	102339694	102346731	1	7038	38023.0221	177	1
1_MACS_peak_28602_lociStitched	chr7	47512532	47522752	1	10221	37965.256	178	1
1_MACS_peak_22730_lociStitched	chr3	186780305	186786334	1	6030	37828.9605	179	1
6_MACS_peak_21029_lociStitched	chr3	5018420	5031583	6	12154	37798.8708	180	1
1_MACS_peak_146_lociStitched	chr1	9220603	9226508	1	5906	37613.669	181	1
1_MACS_peak_22784_lociStitched	chr3	192630181	192636879	1	6699	37545.639	182	1
2_MACS_peak_22590_lociStitched	chr3	176911846	176921047	2	9187	37466.472	183	1
1_MACS_peak_28628_lociStitched	chr7	48123954	48129779	1	5826	37374.365	184	1
2_MACS_peak_29412_lociStitched	chr7	130789600	130797596	2	7930	37262.9592	185	1
3_MACS_peak_12806_lociStitched	chr17	36856026	36862574	3	6467	37107.516	186	1
4_MACS_peak_10166_lociStitched	chr15	70388077	70396535	4	7978	37020.666	187	1
1_MACS_peak_15107_lociStitched	chr19	16694044	16701126	1	7083	37015.4894	188	1
6_MACS_peak_17351_lociStitched	chr2	89130798	89148463	6	16895	36992.2765	189	1
1_MACS_peak_28329_lociStitched	chr7	26237914	26242824	1	4911	36877.046	190	1
1_MACS_peak_10146_lociStitched	chr15	69108306	69114622	1	6317	36855.1232	191	1
5_MACS_peak_9392_lociStitched	chr14	103796962	103806485	5	8865	36615.935	192	1
1_MACS_peak_240_lociStitched	chr1	14025796	14032414	1	6619	36614.7468	193	1
4_MACS_peak_32292_lociStitched	chr9	130672261	130680312	4	7849	36553.1502	194	1
6_MACS_peak_18288_lociStitched	chr2	197030198	197044677	6	13309	36405.9976	195	1
1_MACS_peak_21449_lociStitched	chr3	46389915	46402804	1	12890	36395.9582	196	1
5_MACS_peak_3702_lociStitched	chr10	50276304	50289535	5	12141	36377.3114	197	1
1_MACS_peak_10285_lociStitched	chr15	75334326	75341090	1	6765	36267.8916	198	1
3_MACS_peak_3396_lociStitched	chr10	12444774	12455591	3	10667	36257.5023	199	1
2_MACS_peak_20079_lociStitched	chr21	44778658	44785975	2	6869	36199.3941	200	1
1_MACS_peak_22534_lociStitched	chr3	169771347	169776987	1	5641	36116.868	201	1
2_MACS_peak_3865_lociStitched	chr10	74076116	74083322	2	7053	36093.4128	202	1
3_MACS_peak_9233_lociStitched	chr14	94420668	94431137	3	10327	36068.8457	203	1
3_MACS_peak_19162_lociStitched	chr20	31251939	31262988	3	10757	35912.5647	204	1
1_MACS_peak_14983_lociStitched	chr19	13260484	13267253	1	6770	35894.6532	205	1
2_MACS_peak_11766_lociStitched	chr16	70768605	70774864	2	5941	35876.588	206	1
4_MACS_peak_15955_lociStitched	chr19	50396282	50405109	4	8425	35751.1154	207	1
2_MACS_peak_21139_lociStitched	chr3	13362202	13377247	2	14580	35670.1905	208	1
5_MACS_peak_15212_lociStitched	chr19	19048965	19062553	5	12927	35642.6828	209	1
7_MACS_peak_8192_lociStitched	chr13	99127642	99142644	7	13760	35641.7516	210	1
4_MACS_peak_20870_lociStitched	chr22	45102713	45118009	4	14743	35607.5584	211	1
2_MACS_peak_3867_lociStitched	chr10	74087625	74097229	2	9112	35593.3844	212	1
1_MACS_peak_24858_lociStitched	chr5	71032803	71040870	1	8068	35411.7099	213	1
2_MACS_peak_19938_lociStitched	chr21	36597838	36605179	2	7258	35076.7662	214	1
9_MACS_peak_33051_lociStitched	chrX	48791239	48805748	9	12803	35027.6278	215	1
1_MACS_peak_354_lociStitched	chr1	22105099	22110848	1	5750	34892.9806	216	1
1_MACS_peak_14828_lociStitched	chr19	10328486	10334666	1	6181	34892.898	217	1
2_MACS_peak_1910_lociStitched	chr1	154970991	154979439	2	8370	34871.6544	218	1
1_MACS_peak_10195_lociStitched	chr15	70794092	70802672	1	8581	34818.498	219	1
4_MACS_peak_13566_lociStitched	chr17	73451732	73458806	4	6650	34801.9578	220	1
1_MACS_peak_7094_lociStitched	chr12	94597862	94604588	1	6727	34779.4734	221	1
2_MACS_peak_24888_lociStitched	chr5	74159273	74168658	2	8915	34679.452	222	1
1_MACS_peak_10046_lociStitched	chr15	64938170	64945884	1	7715	34547.9204	223	1
1_MACS_peak_24656_lociStitched	chr5	53813455	53823370	1	9916	34542.8685	224	1
1_MACS_peak_29512_lociStitched	chr7	139042853	139046752	1	3900	34497.9621	225	1
7_MACS_peak_2835_lociStitched	chr1	224919611	224936139	7	15671	34459.2272	226	1
1_MACS_peak_12844_lociStitched	chr17	37922930	37935365	1	12436	34401.4275	227	1
2_MACS_peak_17749_lociStitched	chr2	128584934	128591036	2	5902	34392.0924	228	1
2_MACS_peak_4864_lociStitched	chr11	14780623	14792135	2	11450	34351.808	229	1
1_MACS_peak_18105_lociStitched	chr2	175456411	175463553	1	7143	34298.7408	230	1
1_MACS_peak_22442_lociStitched	chr3	156805009	156811935	1	6927	34239.3736	231	1
2_MACS_peak_24200_lociStitched	chr4	185263688	185276625	2	12589	34205.428	232	1
2_MACS_peak_13270_lociStitched	chr17	55552480	55559494	2	6697	34190.4444	233	1
1_MACS_peak_27836_lociStitched	chr6	156711655	156719954	1	8300	34108.89	234	1
2_MACS_peak_3324_lociStitched	chr10	7511054	7521686	2	10151	34026.6528	235	1
1_MACS_peak_29433_lociStitched	chr7	132082976	132091758	1	8783	33983.7054	236	1
3_MACS_peak_6412_lociStitched	chr12	26265907	26280233	3	14272	33966.946	237	1
2_MACS_peak_5915_lociStitched	chr11	115086760	115097207	2	10165	33857.6823	238	1
3_MACS_peak_32309_lociStitched	chr9	130828569	130837751	3	9027	33798.0238	239	1
1_MACS_peak_22651_lociStitched	chr3	183228469	183238208	1	9740	33766.0869	240	1
1_MACS_peak_26021_lociStitched	chr5	179244634	179250204	1	5571	33764.783	241	1
1_MACS_peak_22387_lociStitched	chr3	150477603	150485854	1	8252	33584.8704	242	1
1_MACS_peak_6587_lociStitched	chr12	48200756	48209142	1	8387	33562.4492	243	1
2_MACS_peak_7532_lociStitched	chr12	122237093	122242978	2	5821	33562.155	244	1
1_MACS_peak_24290_lociStitched	chr5	9953	11829	1	1877	33532.1868	245	1
2_MACS_peak_13316_lociStitched	chr17	57694041	57698729	2	4688	33479.8208	246	1
2_MACS_peak_13922_lociStitched	chr18	9060933	9070720	2	9604	33451.966	247	1
1_MACS_peak_11547_lociStitched	chr16	56964526	56975576	1	11051	33448.35	248	1
3_MACS_peak_25038_lociStitched	chr5	90673649	90680806	3	7029	33443.2296	249	1
1_MACS_peak_9892_lociStitched	chr15	52669667	52676919	1	7253	33372.9788	250	1
1_MACS_peak_31769_lociStitched	chr9	94571209	94577900	1	6692	33317.8345	251	1
1_MACS_peak_28223_lociStitched	chr7	20367950	20372908	1	4959	33315.7768	252	1
1_MACS_peak_13320_lociStitched	chr17	57860824	57866535	1	5712	33083.823	253	1
4_MACS_peak_4379_lociStitched	chr10	112599098	112606525	4	7301	33034.5533	254	1
2_MACS_peak_25079_lociStitched	chr5	95258426	95268295	2	9645	33018.7133	255	1
1_MACS_peak_15094_lociStitched	chr19	16475201	16484437	1	9237	32876.4656	256	1
2_MACS_peak_4366_lociStitched	chr10	112255846	112264677	2	8539	32768.3086	257	1
4_MACS_peak_15806_lociStitched	chr19	47728485	47738099	4	9044	32766.4348	258	1
2_MACS_peak_13611_lociStitched	chr17	74257629	74265874	2	7900	32704.617	259	1
1_MACS_peak_1457_lociStitched	chr1	111172886	111181261	1	8376	32686.7875	260	1
3_MACS_peak_19391_lociStitched	chr20	42694687	42702089	3	6849	32671.6878	261	1
5_MACS_peak_22500_lociStitched	chr3	164343287	164359484	5	15345	32562.4488	262	1
1_MACS_peak_16329_lociStitched	chr2	8679818	8687482	1	7665	32512.9872	263	1
1_MACS_peak_3163_lociStitched	chr1	244995991	245000326	1	4336	32501.6625	264	1
1_MACS_peak_22594_lociStitched	chr3	177074681	177079790	1	5110	32472.804	265	1
2_MACS_peak_26979_lociStitched	chr6	56619849	56634773	2	14598	32465.6696	266	1
1_MACS_peak_5181_lociStitched	chr11	58340416	58347896	1	7481	32455.72	267	1
4_MACS_peak_25595_lociStitched	chr5	146470281	146482672	4	11897	32418.5733	268	1
2_MACS_peak_20026_lociStitched	chr21	43480399	43486955	2	6449	32392.5404	269	1
1_MACS_peak_32228_lociStitched	chr9	127629778	127636405	1	6628	32347.0497	270	1
4_MACS_peak_3258_lociStitched	chr10	3822033	3829207	4	7035	32342.5442	271	1
2_MACS_peak_13081_lociStitched	chr17	44667067	44670220	2	3082	32283.2517	272	1
1_MACS_peak_3164_lociStitched	chr1	245024613	245028874	1	4262	32273.6662	273	1
1_MACS_peak_16697_lociStitched	chr2	33699867	33706338	1	6472	32264.406	274	1
1_MACS_peak_16699_lociStitched	chr2	33716526	33724760	1	8235	32140.5956	275	1
1_MACS_peak_27826_lociStitched	chr6	155668948	155675441	1	6494	32059.1875	276	1
2_MACS_peak_1665_lociStitched	chr1	144928235	144938263	2	10011	32027.4264	277	1
1_MACS_peak_10645_lociStitched	chr15	99493012	99499261	1	6250	31920.5169	278	1
3_MACS_peak_23952_lociStitched	chr4	146098128	146104657	3	5960	31910.4875	279	1
1_MACS_peak_13207_lociStitched	chr17	48941914	48946343	1	4430	31879.0562	280	1
1_MACS_peak_14863_lociStitched	chr19	10763087	10766889	1	3803	31814.7558	281	1
1_MACS_peak_14102_lociStitched	chr18	34966032	34975012	1	8981	31787.404	282	1
4_MACS_peak_30910_lociStitched	chr8	126441020	126449652	4	8508	31780.4344	283	1
1_MACS_peak_18435_lociStitched	chr2	204661179	204669587	1	8409	31695.6376	284	1
2_MACS_peak_32117_lociStitched	chr9	117209006	117216759	2	7703	31637.6671	285	1
2_MACS_peak_13075_lociStitched	chr17	44449246	44452583	2	3277	31603.0585	286	1
2_MACS_peak_15615_lociStitched	chr19	42446733	42454162	2	7356	31573.25	287	1
1_MACS_peak_20470_lociStitched	chr22	29212558	29221740	1	9183	31560.3704	288	1
2_MACS_peak_16604_lociStitched	chr2	28612162	28617408	2	5189	31535.8044	289	1
2_MACS_peak_24990_lociStitched	chr5	87967456	87972956	2	5493	31502.9	290	1
3_MACS_peak_14300_lociStitched	chr18	55764822	55774956	3	9903	31381.9578	291	1
5_MACS_peak_5856_lociStitched	chr11	111237058	111250931	5	13447	31294.7134	292	1
1_MACS_peak_9075_lociStitched	chr14	81421173	81428061	1	6889	31271.52	293	1
3_MACS_peak_22187_lociStitched	chr3	128995503	129003736	3	7867	31259.0544	294	1
1_MACS_peak_32418_lociStitched	chr9	134548606	134555764	1	7159	31249.6806	295	1
3_MACS_peak_443_lociStitched	chr1	24881970	24887579	3	5488	31211.2805	296	1
2_MACS_peak_11028_lociStitched	chr16	12055910	12066362	2	10440	31035.1236	297	1
1_MACS_peak_9801_lociStitched	chr15	45001724	45007940	1	6217	31031.5152	298	1
1_MACS_peak_29205_lociStitched	chr7	105922399	105927358	1	4960	31022.5122	299	1
1_MACS_peak_22449_lociStitched	chr3	156876173	156880004	1	3832	31016.1591	300	1
4_MACS_peak_24526_lociStitched	chr5	32206011	32213605	4	7287	30945.55	301	1
1_MACS_peak_29175_lociStitched	chr7	104620985	104625629	1	4645	30867.7392	302	1
2_MACS_peak_20055_lociStitched	chr21	43943090	43951184	2	7954	30848.6622	303	1
