#U266 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/U266.H3K27ac_ROSE/U266_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by U266.jin.bam
#Using cutoff of 17655.7392 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266.jin.bam	enhancerRank	isStretch
4_MACS_peak_14109_lociStitched	chr18	35009359	35026975	4	17583	58587.2928	44	1
10_MACS_peak_23571_lociStitched	chr4	90207972	90226719	10	17533	27548.7165	45	1
6_MACS_peak_17351_lociStitched	chr2	89130798	89148463	6	16895	36992.2765	46	1
1_MACS_peak_7569_lociStitched	chr12	123370501	123387130	1	16630	56423.8599	47	1
1_MACS_peak_23268_lociStitched	chr4	40193755	40210228	1	16474	57115.1856	48	1
2_MACS_peak_18367_lociStitched	chr2	201979436	201996018	2	16447	89043.6818	49	1
6_MACS_peak_12869_lociStitched	chr17	38251798	38268883	6	16189	43423.236	50	1
3_MACS_peak_15524_lociStitched	chr19	39887871	39904195	3	16150	77867.1124	51	1
1_MACS_peak_17460_lociStitched	chr2	99093918	99110061	1	16144	67669.8417	52	1
5_MACS_peak_7435_lociStitched	chr12	117534943	117551690	5	15927	45005.8878	53	1
3_MACS_peak_3061_lociStitched	chr1	234733422	234749520	3	15841	91472.0556	54	1
7_MACS_peak_2835_lociStitched	chr1	224919611	224936139	7	15671	34459.2272	55	1
2_MACS_peak_33049_lociStitched	chrX	48768130	48783853	2	15658	39483.5976	56	1
9_MACS_peak_24463_lociStitched	chr5	24263954	24280809	9	15655	24050.3995	57	1
2_MACS_peak_971_lociStitched	chr1	51432418	51447954	2	15517	55869.0096	58	1
5_MACS_peak_22500_lociStitched	chr3	164343287	164359484	5	15345	32562.4488	59	1
2_MACS_peak_16404_lociStitched	chr2	11883191	11898295	2	15041	88790.3744	60	1
1_MACS_peak_22305_lociStitched	chr3	141119978	141134811	1	14834	52486.5705	61	1
4_MACS_peak_20870_lociStitched	chr22	45102713	45118009	4	14743	35607.5584	62	1
2_MACS_peak_26979_lociStitched	chr6	56619849	56634773	2	14598	32465.6696	63	1
2_MACS_peak_21139_lociStitched	chr3	13362202	13377247	2	14580	35670.1905	64	1
3_MACS_peak_2973_lociStitched	chr1	230255892	230270754	3	14462	62163.2874	65	1
2_MACS_peak_7273_lociStitched	chr12	108952659	108967081	2	14301	55611.232	66	1
3_MACS_peak_6412_lociStitched	chr12	26265907	26280233	3	14272	33966.946	67	1
5_MACS_peak_5557_lociStitched	chr11	69453116	69467770	5	14262	26032.831	68	1
4_MACS_peak_26219_lociStitched	chr6	11823283	11838074	4	14037	58672.9388	69	1
3_MACS_peak_2526_lociStitched	chr1	203264688	203278694	3	14004	53068.734	70	1
1_MACS_peak_19481_lociStitched	chr20	45976582	45990443	1	13862	56210.5133	71	1
1_MACS_peak_24549_lociStitched	chr5	32530790	32544625	1	13836	39826.8145	72	1
1_MACS_peak_6339_lociStitched	chr12	12866502	12880261	1	13760	39956.136	73	1
7_MACS_peak_8192_lociStitched	chr13	99127642	99142644	7	13760	35641.7516	74	1
2_MACS_peak_26076_lociStitched	chr6	319869	334068	2	13711	60094.4277	75	1
1_MACS_peak_2885_lociStitched	chr1	226839220	226852898	1	13679	42760.1636	76	1
5_MACS_peak_17640_lociStitched	chr2	112455512	112469360	5	13614	67982.6016	77	1
1_MACS_peak_7611_lociStitched	chr12	125395640	125409247	1	13608	82602.6542	78	1
2_MACS_peak_4359_lociStitched	chr10	112164239	112178079	2	13559	72868.984	79	1
3_MACS_peak_7277_lociStitched	chr12	109018819	109032782	3	13506	68865.516	80	1
1_MACS_peak_9293_lociStitched	chr14	98633036	98646531	1	13496	63526.363	81	1
5_MACS_peak_5856_lociStitched	chr11	111237058	111250931	5	13447	31294.7134	82	1
4_MACS_peak_26909_lociStitched	chr6	52034685	52048609	4	13422	28407.7448	83	1
4_MACS_peak_27280_lociStitched	chr6	106544427	106558455	4	13380	29667.8172	84	1
2_MACS_peak_3450_lociStitched	chr10	15824892	15838366	2	13318	77918.7946	85	1
6_MACS_peak_18288_lociStitched	chr2	197030198	197044677	6	13309	36405.9976	86	1
3_MACS_peak_20408_lociStitched	chr22	24819849	24833170	3	13287	63498.5428	87	1
5_MACS_peak_6930_lociStitched	chr12	68748567	68762326	5	13130	47567.6148	88	1
3_MACS_peak_17732_lociStitched	chr2	127412930	127426248	3	13069	50852.1194	89	1
4_MACS_peak_18382_lociStitched	chr2	202115695	202128798	4	13052	45819.8807	90	1
4_MACS_peak_11049_lociStitched	chr16	14489603	14503007	4	12942	55879.9356	91	1
5_MACS_peak_15212_lociStitched	chr19	19048965	19062553	5	12927	35642.6828	92	1
5_MACS_peak_21413_lociStitched	chr3	45604427	45617805	5	12910	41499.8938	93	1
1_MACS_peak_21449_lociStitched	chr3	46389915	46402804	1	12890	36395.9582	94	1
2_MACS_peak_8551_lociStitched	chr14	33501576	33514440	2	12844	46983.1872	95	1
9_MACS_peak_33051_lociStitched	chrX	48791239	48805748	9	12803	35027.6278	96	1
2_MACS_peak_22190_lociStitched	chr3	129023572	129036397	2	12754	53000.595	97	1
2_MACS_peak_13042_lociStitched	chr17	43296467	43309240	2	12748	78095.3993	98	1
2_MACS_peak_24200_lociStitched	chr4	185263688	185276625	2	12589	34205.428	99	1
2_MACS_peak_32120_lociStitched	chr9	117255954	117268783	2	12578	38862.8897	100	1
4_MACS_peak_30712_lociStitched	chr8	103815622	103828678	4	12455	47150.4384	101	1
1_MACS_peak_12844_lociStitched	chr17	37922930	37935365	1	12436	34401.4275	102	1
1_MACS_peak_9113_lociStitched	chr14	89891266	89903695	1	12430	38127.2004	103	1
3_MACS_peak_19972_lociStitched	chr21	37905257	37917818	3	12315	60891.9597	104	1
1_MACS_peak_3040_lociStitched	chr1	233774105	233786375	1	12271	40773.21	105	1
1_MACS_peak_13962_lociStitched	chr18	10946306	10958535	1	12230	53438.2842	106	1
6_MACS_peak_21029_lociStitched	chr3	5018420	5031583	6	12154	37798.8708	107	1
5_MACS_peak_3702_lociStitched	chr10	50276304	50289535	5	12141	36377.3114	108	1
5_MACS_peak_14242_lociStitched	chr18	49916486	49928989	5	12043	52087.498	109	1
3_MACS_peak_22488_lociStitched	chr3	164168249	164180342	3	11997	24445.9995	110	1
4_MACS_peak_25595_lociStitched	chr5	146470281	146482672	4	11897	32418.5733	111	1
1_MACS_peak_24358_lociStitched	chr5	6478714	6490556	1	11843	70225.4284	112	1
2_MACS_peak_32378_lociStitched	chr9	132646061	132657833	2	11755	54859.8744	113	1
3_MACS_peak_4532_lociStitched	chr10	128154799	128166510	3	11703	27117.9916	114	1
5_MACS_peak_12734_lociStitched	chr17	34411615	34423724	5	11698	40861.8205	115	1
3_MACS_peak_17360_lociStitched	chr2	89442053	89453914	3	11604	23931.9397	116	1
1_MACS_peak_4365_lociStitched	chr10	112214796	112226371	1	11576	53446.405	117	1
4_MACS_peak_3512_lociStitched	chr10	23727223	23739156	4	11502	24509.1887	118	1
2_MACS_peak_23935_lociStitched	chr4	144273419	144285051	2	11500	76938.7008	119	1
3_MACS_peak_28247_lociStitched	chr7	22481027	22492733	3	11499	48334.074	120	1
2_MACS_peak_5391_lociStitched	chr11	65236120	65247639	2	11474	54115.1101	121	1
4_MACS_peak_19596_lociStitched	chr20	52542460	52554045	4	11469	46723.4635	122	1
1_MACS_peak_25347_lociStitched	chr5	131754933	131766398	1	11466	56494.934	123	1
2_MACS_peak_4864_lociStitched	chr11	14780623	14792135	2	11450	34351.808	124	1
2_MACS_peak_5348_lociStitched	chr11	64623979	64635612	2	11424	65014.5104	125	1
4_MACS_peak_4521_lociStitched	chr10	128117698	128129925	4	11422	30299.7287	126	1
1_MACS_peak_20071_lociStitched	chr21	44724516	44735878	1	11363	81192.852	127	1
1_MACS_peak_2275_lociStitched	chr1	178541563	178552901	1	11339	90961.3726	128	1
1_MACS_peak_4954_lociStitched	chr11	23588806	23600139	1	11334	21973.5537	129	1
3_MACS_peak_27889_lociStitched	chr6	159064247	159076487	3	11328	44117.856	130	1
3_MACS_peak_5385_lociStitched	chr11	65204978	65216943	3	11282	18537.3745	131	1
1_MACS_peak_25902_lociStitched	chr5	173212371	173223483	1	11113	45810.3312	132	1
1_MACS_peak_11547_lociStitched	chr16	56964526	56975576	1	11051	33448.35	133	1
6_MACS_peak_27274_lociStitched	chr6	106531909	106543000	6	10960	15982.131	134	1
4_MACS_peak_17858_lociStitched	chr2	137132624	137143745	4	10959	47545.6113	135	1
2_MACS_peak_19926_lociStitched	chr21	36413910	36424877	2	10942	46309.2542	136	1
2_MACS_peak_1900_lociStitched	chr1	154907748	154918692	2	10940	69932.16	137	1
2_MACS_peak_29168_lociStitched	chr7	104576348	104587759	2	10927	66870.7422	138	1
1_MACS_peak_10612_lociStitched	chr15	93344758	93355580	1	10823	69630.9124	139	1
3_MACS_peak_24318_lociStitched	chr5	1311497	1322424	3	10779	62931.8711	140	1
3_MACS_peak_27381_lociStitched	chr6	113962967	113973805	3	10764	26779.6142	141	1
3_MACS_peak_19162_lociStitched	chr20	31251939	31262988	3	10757	35912.5647	142	1
3_MACS_peak_3396_lociStitched	chr10	12444774	12455591	3	10667	36257.5023	143	1
3_MACS_peak_26397_lociStitched	chr6	26357064	26367759	3	10644	30664.704	144	1
2_MACS_peak_21788_lociStitched	chr3	72025874	72036533	2	10626	44248.7067	145	1
2_MACS_peak_25163_lociStitched	chr5	109023928	109034566	2	10623	28727.919	146	1
1_MACS_peak_16778_lociStitched	chr2	39714648	39725240	1	10593	48133.2256	147	1
3_MACS_peak_1947_lociStitched	chr1	155908015	155918872	3	10573	39748.5627	148	1
4_MACS_peak_32775_lociStitched	chrX	19759822	19770438	4	10509	22474.072	149	1
10_MACS_peak_25910_lociStitched	chr5	173333788	173346026	10	10454	12404.4368	150	1
2_MACS_peak_11028_lociStitched	chr16	12055910	12066362	2	10440	31035.1236	151	1
1_MACS_peak_29177_lociStitched	chr7	104648770	104659183	1	10414	84264.0786	152	1
2_MACS_peak_8540_lociStitched	chr14	33403066	33413486	2	10395	39793.98	153	1
3_MACS_peak_13680_lociStitched	chr17	76265995	76276418	3	10393	42578.9973	154	1
1_MACS_peak_20318_lociStitched	chr22	23145090	23155464	1	10375	25562.5734	155	1
3_MACS_peak_4356_lociStitched	chr10	112150789	112161725	3	10348	26856.6288	156	1
3_MACS_peak_9233_lociStitched	chr14	94420668	94431137	3	10327	36068.8457	157	1
7_MACS_peak_18018_lociStitched	chr2	165608502	165619274	7	10322	28079.3724	158	1
6_MACS_peak_2451_lociStitched	chr1	198895761	198906981	6	10235	14583.756	159	1
1_MACS_peak_28602_lociStitched	chr7	47512532	47522752	1	10221	37965.256	160	1
2_MACS_peak_25654_lociStitched	chr5	150457034	150467272	2	10211	29286.8228	161	1
1_MACS_peak_14369_lociStitched	chr18	60821209	60831412	1	10204	73633.0104	162	1
4_MACS_peak_15701_lociStitched	chr19	45249876	45260224	4	10177	39265.486	163	1
2_MACS_peak_5915_lociStitched	chr11	115086760	115097207	2	10165	33857.6823	164	1
2_MACS_peak_28313_lociStitched	chr7	25985077	25995309	2	10162	87997.2464	165	1
2_MACS_peak_3324_lociStitched	chr10	7511054	7521686	2	10151	34026.6528	166	1
5_MACS_peak_13557_lociStitched	chr17	73308976	73320114	5	10139	21303.6526	167	1
4_MACS_peak_7269_lociStitched	chr12	108933972	108944315	4	10129	22845.6184	168	1
3_MACS_peak_4347_lociStitched	chr10	112112715	112123228	3	10068	62673.2495	169	1
1_MACS_peak_13648_lociStitched	chr17	75135544	75145599	1	10056	48736.585	170	1
2_MACS_peak_1665_lociStitched	chr1	144928235	144938263	2	10011	32027.4264	171	1
2_MACS_peak_14704_lociStitched	chr19	6572112	6582097	2	9986	43266.0035	172	1
1_MACS_peak_24656_lociStitched	chr5	53813455	53823370	1	9916	34542.8685	173	1
3_MACS_peak_14300_lociStitched	chr18	55764822	55774956	3	9903	31381.9578	174	1
1_MACS_peak_23900_lociStitched	chr4	140126857	140136704	1	9848	57855.0638	175	1
3_MACS_peak_25235_lociStitched	chr5	118668677	118678868	3	9828	16355.5359	176	1
3_MACS_peak_32922_lociStitched	chrX	40169230	40179360	3	9806	19741.344	177	1
4_MACS_peak_2925_lociStitched	chr1	228643939	228654103	4	9804	27869.688	178	1
2_MACS_peak_22825_lociStitched	chr3	195263612	195273408	2	9797	45484.7872	179	1
1_MACS_peak_28318_lociStitched	chr7	26001698	26011468	1	9771	86146.975	180	1
1_MACS_peak_22651_lociStitched	chr3	183228469	183238208	1	9740	33766.0869	181	1
1_MACS_peak_26071_lociStitched	chr6	290392	300127	1	9736	53879.331	182	1
3_MACS_peak_17955_lociStitched	chr2	158292208	158302332	3	9702	39754.9232	183	1
1_MACS_peak_9454_lociStitched	chr14	106145967	106155645	1	9679	30055.9968	184	1
6_MACS_peak_20614_lociStitched	chr22	37610115	37620730	6	9652	21510.236	185	1
2_MACS_peak_25079_lociStitched	chr5	95258426	95268295	2	9645	33018.7133	186	1
2_MACS_peak_16743_lociStitched	chr2	38821851	38831616	2	9639	28120.2705	187	1
4_MACS_peak_1205_lociStitched	chr1	75042892	75053086	4	9626	20789.6436	188	1
3_MACS_peak_28169_lociStitched	chr7	8007176	8016875	3	9607	20104.0872	189	1
2_MACS_peak_13922_lociStitched	chr18	9060933	9070720	2	9604	33451.966	190	1
4_MACS_peak_32301_lociStitched	chr9	130737575	130747451	4	9596	21118.8384	191	1
3_MACS_peak_22250_lociStitched	chr3	133189831	133199984	3	9582	28016.1882	192	1
2_MACS_peak_21768_lociStitched	chr3	71466688	71476204	2	9504	29258.8452	193	1
3_MACS_peak_31043_lociStitched	chr8	134508839	134518583	3	9481	28342.3728	194	1
4_MACS_peak_17339_lociStitched	chr2	88898344	88908150	4	9458	17195.8016	195	1
4_MACS_peak_20830_lociStitched	chr22	43058103	43068072	4	9457	28260.1212	196	1
2_MACS_peak_3969_lociStitched	chr10	81001310	81011145	2	9397	22788.6785	197	1
6_MACS_peak_4526_lociStitched	chr10	128143780	128153903	6	9380	17951.1159	198	1
5_MACS_peak_24496_lociStitched	chr5	26876489	26886080	5	9379	14128.5021	199	1
3_MACS_peak_29107_lociStitched	chr7	101926518	101936091	3	9367	21298.0104	200	1
2_MACS_peak_9853_lociStitched	chr15	51168705	51178365	2	9351	30673.398	201	1
1_MACS_peak_29441_lociStitched	chr7	132121566	132130903	1	9338	13327.6338	202	1
2_MACS_peak_14304_lociStitched	chr18	55779657	55789293	2	9338	29139.264	203	1
3_MACS_peak_25327_lociStitched	chr5	130709388	130719013	3	9325	24158.75	204	1
5_MACS_peak_31779_lociStitched	chr9	94705173	94715164	5	9314	21732.4232	205	1
1_MACS_peak_15094_lociStitched	chr19	16475201	16484437	1	9237	32876.4656	206	1
2_MACS_peak_21420_lociStitched	chr3	45651259	45660477	2	9218	26423.397	207	1
4_MACS_peak_30699_lociStitched	chr8	103661839	103671714	4	9216	17646.625	208	1
2_MACS_peak_28658_lociStitched	chr7	55596432	55605691	2	9208	47294.0461	209	1
2_MACS_peak_22590_lociStitched	chr3	176911846	176921047	2	9187	37466.472	210	1
1_MACS_peak_20470_lociStitched	chr22	29212558	29221740	1	9183	31560.3704	211	1
3_MACS_peak_13917_lociStitched	chr18	9015736	9025611	3	9170	52465.875	212	1
2_MACS_peak_17629_lociStitched	chr2	112285286	112294513	2	9162	38551.3287	213	1
3_MACS_peak_26427_lociStitched	chr6	27106204	27115740	3	9156	21493.1904	214	1
7_MACS_peak_24211_lociStitched	chr4	185365826	185375937	7	9136	14726.6715	215	1
3_MACS_peak_23244_lociStitched	chr4	38307179	38316775	3	9128	24451.5676	216	1
2_MACS_peak_3867_lociStitched	chr10	74087625	74097229	2	9112	35593.3844	217	1
1_MACS_peak_27150_lociStitched	chr6	90059612	90068674	1	9063	30762.7714	218	1
3_MACS_peak_24422_lociStitched	chr5	14221363	14230594	3	9055	16335.1776	219	1
4_MACS_peak_15806_lociStitched	chr19	47728485	47738099	4	9044	32766.4348	220	1
1_MACS_peak_9885_lociStitched	chr15	52424052	52433093	1	9042	45137.1925	221	1
3_MACS_peak_13689_lociStitched	chr17	76348185	76357402	3	9034	40111.4623	222	1
1_MACS_peak_1950_lociStitched	chr1	155945560	155954592	1	9033	24250.92	223	1
3_MACS_peak_32309_lociStitched	chr9	130828569	130837751	3	9027	33798.0238	224	1
1_MACS_peak_17455_lociStitched	chr2	99074942	99083955	1	9014	27493.2552	225	1
1_MACS_peak_4809_lociStitched	chr11	10323829	10332817	1	8989	28769.6892	226	1
1_MACS_peak_14102_lociStitched	chr18	34966032	34975012	1	8981	31787.404	227	1
1_MACS_peak_10622_lociStitched	chr15	93443014	93451987	1	8974	46126.6038	228	1
2_MACS_peak_12747_lociStitched	chr17	34521616	34530726	2	8974	17642.426	229	1
1_MACS_peak_32053_lociStitched	chr9	114792140	114801099	1	8960	25409.5158	230	1
1_MACS_peak_18428_lociStitched	chr2	204568418	204577369	1	8952	43428.4618	231	1
3_MACS_peak_14220_lociStitched	chr18	47832973	47842667	3	8944	22981.5658	232	1
5_MACS_peak_30581_lociStitched	chr8	95953720	95963336	5	8934	29584.5856	233	1
2_MACS_peak_24888_lociStitched	chr5	74159273	74168658	2	8915	34679.452	234	1
1_MACS_peak_11997_lociStitched	chr16	87805872	87814755	1	8884	41011.9227	235	1
1_MACS_peak_18735_lociStitched	chr2	233943993	233952870	1	8878	28991.3943	236	1
3_MACS_peak_9295_lociStitched	chr14	98663057	98672416	3	8867	19964.6188	237	1
5_MACS_peak_9392_lociStitched	chr14	103796962	103806485	5	8865	36615.935	238	1
1_MACS_peak_19470_lociStitched	chr20	45522627	45531450	1	8824	38133.006	239	1
3_MACS_peak_8660_lociStitched	chr14	50546047	50555128	3	8822	39153.6396	240	1
3_MACS_peak_25844_lociStitched	chr5	169728945	169738213	3	8804	22158.8612	241	1
6_MACS_peak_4946_lociStitched	chr11	23561115	23571434	6	8799	12284.7695	242	1
1_MACS_peak_29433_lociStitched	chr7	132082976	132091758	1	8783	33983.7054	243	1
2_MACS_peak_19321_lociStitched	chr20	37498261	37507340	2	8780	39253.0565	244	1
3_MACS_peak_4376_lociStitched	chr10	112576305	112585244	3	8762	20412.2065	245	1
6_MACS_peak_17254_lociStitched	chr2	86242050	86252010	6	8760	15809.508	246	1
1_MACS_peak_20467_lociStitched	chr22	29190349	29199080	1	8732	30638.8252	247	1
1_MACS_peak_16470_lociStitched	chr2	20703265	20711995	1	8731	41629.005	248	1
2_MACS_peak_28899_lociStitched	chr7	87549123	87557909	2	8730	24330.1912	249	1
8_MACS_peak_33602_lociStitched	chrX	151080239	151089486	8	8711	23620.5368	250	1
2_MACS_peak_28327_lociStitched	chr7	26191138	26199837	2	8691	26520.6413	251	1
3_MACS_peak_17970_lociStitched	chr2	159840217	159849014	3	8690	23222.3206	252	1
3_MACS_peak_24537_lociStitched	chr5	32276122	32285003	3	8685	21888.1126	253	1
5_MACS_peak_27977_lociStitched	chr6	167039796	167049060	5	8665	16194.3984	254	1
2_MACS_peak_1980_lociStitched	chr1	156627322	156635973	2	8652	45939.4053	255	1
1_MACS_peak_17253_lociStitched	chr2	86220369	86229014	1	8646	27704.6315	256	1
1_MACS_peak_2051_lociStitched	chr1	160676502	160685143	1	8642	29023.3908	257	1
3_MACS_peak_21690_lociStitched	chr3	61554533	61563871	3	8630	20878.8342	258	1
5_MACS_peak_24253_lociStitched	chr4	186176288	186185595	5	8608	11986.4853	259	1
2_MACS_peak_24353_lociStitched	chr5	6448684	6457377	2	8607	29725.7135	260	1
1_MACS_peak_10195_lociStitched	chr15	70794092	70802672	1	8581	34818.498	261	1
1_MACS_peak_9391_lociStitched	chr14	103780319	103788898	1	8580	44136.3813	262	1
5_MACS_peak_27321_lociStitched	chr6	108878436	108887094	5	8575	18563.6178	263	1
2_MACS_peak_2529_lociStitched	chr1	203289259	203297888	2	8559	20408.4479	264	1
2_MACS_peak_4366_lociStitched	chr10	112255846	112264677	2	8539	32768.3086	265	1
2_MACS_peak_2660_lociStitched	chr1	209275202	209283879	2	8531	20315.4601	266	1
4_MACS_peak_30910_lociStitched	chr8	126441020	126449652	4	8508	31780.4344	267	1
3_MACS_peak_17245_lociStitched	chr2	86112325	86120928	3	8504	22472.7566	268	1
1_MACS_peak_378_lociStitched	chr1	23850345	23858845	1	8501	26422.25	269	1
1_MACS_peak_30797_lociStitched	chr8	118450225	118458675	1	8451	62280.725	270	1
3_MACS_peak_13389_lociStitched	chr17	62164525	62173654	3	8450	20901.7584	271	1
3_MACS_peak_21782_lociStitched	chr3	71826573	71835027	3	8436	18074.652	272	1
1_MACS_peak_8658_lociStitched	chr14	50526417	50534845	1	8429	44242.786	273	1
4_MACS_peak_15955_lociStitched	chr19	50396282	50405109	4	8425	35751.1154	274	1
2_MACS_peak_14708_lociStitched	chr19	6586006	6594761	2	8419	53796.8485	275	1
1_MACS_peak_18435_lociStitched	chr2	204661179	204669587	1	8409	31695.6376	276	1
1_MACS_peak_17261_lociStitched	chr2	86260589	86268996	1	8408	49593.7337	277	1
1_MACS_peak_29453_lociStitched	chr7	132227736	132236127	1	8392	39782.5701	278	1
1_MACS_peak_6587_lociStitched	chr12	48200756	48209142	1	8387	33562.4492	279	1
2_MACS_peak_25270_lociStitched	chr5	124077337	124085725	2	8382	26006.1552	280	1
3_MACS_peak_32494_lociStitched	chr9	138468301	138476794	3	8380	17358.8427	281	1
1_MACS_peak_1457_lociStitched	chr1	111172886	111181261	1	8376	32686.7875	282	1
2_MACS_peak_13210_lociStitched	chr17	48979200	48987885	2	8371	56123.3385	283	1
2_MACS_peak_1910_lociStitched	chr1	154970991	154979439	2	8370	34871.6544	284	1
3_MACS_peak_26424_lociStitched	chr6	27094223	27102847	3	8365	24176.5216	285	1
2_MACS_peak_26453_lociStitched	chr6	27774856	27783301	2	8357	22913.8185	286	1
3_MACS_peak_9512_lociStitched	chr15	23609800	23618203	3	8325	12666.6822	287	1
1_MACS_peak_22224_lociStitched	chr3	130566196	130574507	1	8312	26957.5596	288	1
1_MACS_peak_27836_lociStitched	chr6	156711655	156719954	1	8300	34108.89	289	1
4_MACS_peak_3084_lociStitched	chr1	235144335	235153219	4	8300	24596.2424	290	1
1_MACS_peak_14015_lociStitched	chr18	20770777	20779059	1	8283	28387.3832	291	1
2_MACS_peak_20038_lociStitched	chr21	43651763	43660066	2	8276	30692.0395	292	1
1_MACS_peak_22387_lociStitched	chr3	150477603	150485854	1	8252	33584.8704	293	1
3_MACS_peak_19935_lociStitched	chr21	36587913	36596454	3	8244	23897.718	294	1
4_MACS_peak_27949_lociStitched	chr6	164122906	164131896	4	8242	19439.077	295	1
1_MACS_peak_16699_lociStitched	chr2	33716526	33724760	1	8235	32140.5956	296	1
4_MACS_peak_2662_lociStitched	chr1	209300043	209308876	4	8219	17043.2735	297	1
1_MACS_peak_14140_lociStitched	chr18	42299451	42307650	1	8200	20695.0959	298	1
4_MACS_peak_28615_lociStitched	chr7	47708172	47716741	4	8195	42273.4477	299	1
4_MACS_peak_508_lociStitched	chr1	26445374	26454388	4	8192	17227.5568	300	1
5_MACS_peak_24417_lociStitched	chr5	14211734	14220617	5	8190	16654.7367	301	1
2_MACS_peak_27290_lociStitched	chr6	106610364	106618979	2	8182	21139.487	302	1
2_MACS_peak_15527_lociStitched	chr19	39919358	39927604	2	8153	27615.0294	303	1
