REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
5_MACS_peak_30895_lociStitched	chr8	126292172	126322741	5	29961	87433.4538	34	1	NSMCE2		TRIB1	TRIB1	1.8636	34	1
3_MACS_peak_19139_lociStitched	chr20	30284861	30312201	3	26979	87129.846	35	1	BCL2L1	TPX2	BCL2L1	BCL2L1	1.6768	35	1
1_MACS_peak_28318_lociStitched	chr7	26001698	26011468	1	9771	86146.975	36	1		MIR148A	MIR148A	MIR148A	8.6296	36	1
1_MACS_peak_29177_lociStitched	chr7	104648770	104659183	1	10414	84264.0786	37	1	MLL5,LOC100216545		LOC100216545	LOC100216545	6.293	37	1
4_MACS_peak_14405_lociStitched	chr18	72192582	72212505	4	19564	83278.14	38	1	CNDP1	CNDP2	CNDP1	CNDP1	1.2969	38	1
1_MACS_peak_16714_lociStitched	chr2	37529810	37553331	1	23522	83118.5098	39	1	PRKD3	QPCT	PRKD3	QPCT	5.8314	39	1
3_MACS_peak_11911_lociStitched	chr16	81839687	81858684	3	18966	83037.7867	40	1	PLCG2		PLCG2	PLCG2	0.735	40	1
1_MACS_peak_7611_lociStitched	chr12	125395640	125409247	1	13608	82602.6542	41	1	UBC	SCARB1	UBC	UBC	4.313	41	1
2_MACS_peak_28655_lociStitched	chr7	55574139	55593043	2	18546	81440.3224	42	1	VOPP1		VOPP1	VOPP1	1.7655	42	1
1_MACS_peak_20071_lociStitched	chr21	44724516	44735878	1	11363	81192.852	43	1			SIK1	SIK1	1.2575	43	1
5_MACS_peak_1790_lociStitched	chr1	150532312	150553319	5	20522	78700.6248	44	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.9821	44	1
2_MACS_peak_13042_lociStitched	chr17	43296467	43309240	2	12748	78095.3993	45	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.5436	45	1
2_MACS_peak_3450_lociStitched	chr10	15824892	15838366	2	13318	77918.7946	46	1	FAM188A		ITGA8	ITGA8	NONE	46	1
3_MACS_peak_15524_lociStitched	chr19	39887871	39904195	3	16150	77867.1124	47	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	5.2043	47	1
2_MACS_peak_23935_lociStitched	chr4	144273419	144285051	2	11500	76938.7008	48	1	GAB1		GAB1	GAB1	0.9182	48	1
3_MACS_peak_20668_lociStitched	chr22	38653489	38673829	3	20244	76765.194	49	1	TMEM184B	CSNK1E	TMEM184B	TMEM184B	1.8042	49	1
2_MACS_peak_9455_lociStitched	chr14	106156362	106176078	2	19690	75269.7732	50	1			TMEM121	TMEM121	0.1436	50	1
1_MACS_peak_14369_lociStitched	chr18	60821209	60831412	1	10204	73633.0104	51	1	BCL2		BCL2	BCL2	0.7795	51	1
2_MACS_peak_4359_lociStitched	chr10	112164239	112178079	2	13559	72868.984	52	1			DUSP5	DUSP5	1.558	52	1
1_MACS_peak_24358_lociStitched	chr5	6478714	6490556	1	11843	70225.4284	53	1	UBE2QL1		UBE2QL1	UBE2QL1	2.303	53	1
2_MACS_peak_1900_lociStitched	chr1	154907748	154918692	2	10940	69932.16	54	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	MIR4258	2.5659	54	1
1_MACS_peak_10612_lociStitched	chr15	93344758	93355580	1	10823	69630.9124	55	1		ASB9P1	ASB9P1	ASB9P1	0.3253	55	1
3_MACS_peak_7277_lociStitched	chr12	109018819	109032782	3	13506	68865.516	56	1	SELPLG	TMEM119	SELPLG	SELPLG	3.6353	56	1
5_MACS_peak_17640_lociStitched	chr2	112455512	112469360	5	13614	67982.6016	57	1			ANAPC1	ANAPC1	0.3415	57	1
1_MACS_peak_17460_lociStitched	chr2	99093918	99110061	1	16144	67669.8417	58	1	INPP4A		INPP4A	INPP4A	0.9107	58	1
2_MACS_peak_29168_lociStitched	chr7	104576348	104587759	2	10927	66870.7422	59	1		LOC723809	LOC723809	LOC723809	0.7505	59	1
2_MACS_peak_5348_lociStitched	chr11	64623979	64635612	2	11424	65014.5104	60	1	EHD1	MEN1,CDC42BPG,MIR192,MIR194-2,ATG2A	EHD1	EHD1	2.6416	60	1
1_MACS_peak_9293_lociStitched	chr14	98633036	98646531	1	13496	63526.363	61	1			C14orf64	C14orf64	NONE	61	1
3_MACS_peak_20408_lociStitched	chr22	24819849	24833170	3	13287	63498.5428	62	1	ADORA2A,C22orf45		ADORA2A	ADORA2A	2.6693	62	1
3_MACS_peak_24318_lociStitched	chr5	1311497	1322424	3	10779	62931.8711	63	1	CLPTM1L	TERT	TERT	TERT	0.1571	63	1
3_MACS_peak_4347_lociStitched	chr10	112112715	112123228	3	10068	62673.2495	64	1		SMNDC1	SMNDC1	SMNDC1	0.3575	64	1
1_MACS_peak_30797_lociStitched	chr8	118450225	118458675	1	8451	62280.725	65	1			MED30	MED30	NONE	65	1
3_MACS_peak_2973_lociStitched	chr1	230255892	230270754	3	14462	62163.2874	66	1	GALNT2		GALNT2	GALNT2	0.5568	66	1
3_MACS_peak_19972_lociStitched	chr21	37905257	37917818	3	12315	60891.9597	67	1	CLDN14		CLDN14	CLDN14	0.8774	67	1
2_MACS_peak_26076_lociStitched	chr6	319869	334068	2	13711	60094.4277	68	1	DUSP22		DUSP22	DUSP22	2.3585	68	1
4_MACS_peak_26219_lociStitched	chr6	11823283	11838074	4	14037	58672.9388	69	1		C6orf105	C6orf105	C6orf105	0.5006	69	1
4_MACS_peak_14109_lociStitched	chr18	35009359	35026975	4	17583	58587.2928	70	1	CELF4		CELF4	CELF4	0.4177	70	1
4_MACS_peak_20335_lociStitched	chr22	23229466	23249580	4	19490	58139.517	71	1	IGLL5		IGLL5	IGLL5	2.164	71	1
1_MACS_peak_23900_lociStitched	chr4	140126857	140136704	1	9848	57855.0638	72	1			C4orf49	C4orf49	0.5442	72	1
7_MACS_peak_21130_lociStitched	chr3	13330066	13351294	7	20428	57788.9844	73	1			NUP210	NUP210	0.7112	73	1
4_MACS_peak_5909_lociStitched	chr11	115051338	115073229	4	21448	57277.8015	74	1	CADM1		CADM1	CADM1	0.3605	74	1
1_MACS_peak_23268_lociStitched	chr4	40193755	40210228	1	16474	57115.1856	75	1	RHOH		RHOH	RHOH	1.1099	75	1
1_MACS_peak_25347_lociStitched	chr5	131754933	131766398	1	11466	56494.934	76	1	C5orf56	SLC22A5	C5orf56	C5orf56	1.6167	76	1
1_MACS_peak_7569_lociStitched	chr12	123370501	123387130	1	16630	56423.8599	77	1	VPS37B		VPS37B	VPS37B	1.6256	77	1
2_MACS_peak_10060_lociStitched	chr15	65182349	65190496	2	7887	56402.4957	78	1		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.5143	78	1
1_MACS_peak_19481_lociStitched	chr20	45976582	45990443	1	13862	56210.5133	79	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.5463	79	1
2_MACS_peak_13210_lociStitched	chr17	48979200	48987885	2	8371	56123.3385	80	1		TOB1	TOB1	TOB1	2.8089	80	1
3_MACS_peak_25907_lociStitched	chr5	173309634	173333006	3	22906	56027.3584	81	1	CPEB4		CPEB4	CPEB4	1.0912	81	1
4_MACS_peak_11049_lociStitched	chr16	14489603	14503007	4	12942	55879.9356	82	1			MIR365-1	MIR365-1	NONE	82	1
2_MACS_peak_971_lociStitched	chr1	51432418	51447954	2	15517	55869.0096	83	1	CDKN2C	FAF1	CDKN2C	CDKN2C	3.2437	83	1
2_MACS_peak_7273_lociStitched	chr12	108952659	108967081	2	14301	55611.232	84	1	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	3.357	84	1
2_MACS_peak_32378_lociStitched	chr9	132646061	132657833	2	11755	54859.8744	85	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.5494	85	1
4_MACS_peak_20075_lociStitched	chr21	44770194	44777979	4	7557	54687.2895	86	1			SIK1	SIK1	1.2575	86	1
2_MACS_peak_9090_lociStitched	chr14	81935530	81953943	2	18289	54174.7286	87	1	SEL1L		SEL1L	SEL1L	0.9071	87	1
2_MACS_peak_5391_lociStitched	chr11	65236120	65247639	2	11474	54115.1101	88	1		NEAT1,MIR612,MALAT1,SCYL1	MALAT1	NEAT1	6.5435	88	1
1_MACS_peak_26071_lociStitched	chr6	290392	300127	1	9736	53879.331	89	1	DUSP22		DUSP22	DUSP22	2.3585	89	1
2_MACS_peak_14708_lociStitched	chr19	6586006	6594761	2	8419	53796.8485	90	1	CD70		CD70	CD70	3.8034	90	1
1_MACS_peak_4365_lociStitched	chr10	112214796	112226371	1	11576	53446.405	91	1		DUSP5	DUSP5	DUSP5	1.558	91	1
1_MACS_peak_13962_lociStitched	chr18	10946306	10958535	1	12230	53438.2842	92	1	FAM38B		FAM38B	FAM38B	0.2858	92	1
3_MACS_peak_2526_lociStitched	chr1	203264688	203278694	3	14004	53068.734	93	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	3.2849	93	1
2_MACS_peak_22190_lociStitched	chr3	129023572	129036397	2	12754	53000.595	94	1	C3orf37,C3orf47,H1FX		C3orf47	C3orf47	1.9027	94	1
2_MACS_peak_22806_lociStitched	chr3	194205693	194212791	2	7091	52772.2104	95	1	FLJ34208	ATP13A3	FLJ34208	FLJ34208	4.747	95	1
4_MACS_peak_19574_lociStitched	chr20	52190856	52211945	4	20459	52650.7974	96	1	ZNF217		ZNF217	ZNF217	1.169	96	1
1_MACS_peak_22305_lociStitched	chr3	141119978	141134811	1	14834	52486.5705	97	1	ZBTB38		RASA2	RASA2	NONE	97	1
3_MACS_peak_13917_lociStitched	chr18	9015736	9025611	3	9170	52465.875	98	1			NDUFV2	NDUFV2	0.6501	98	1
1_MACS_peak_14949_lociStitched	chr19	12898765	12906053	1	7289	52198.8424	99	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	JUNB	4.5614	99	1
5_MACS_peak_14242_lociStitched	chr18	49916486	49928989	5	12043	52087.498	100	1	DCC		DCC	DCC	0.1067	100	1
3_MACS_peak_17732_lociStitched	chr2	127412930	127426248	3	13069	50852.1194	101	1	GYPC		GYPC	GYPC	1.0754	101	1
2_MACS_peak_26623_lociStitched	chr6	32934891	32941287	2	6393	49801.8144	102	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.276	102	1
1_MACS_peak_17261_lociStitched	chr2	86260589	86268996	1	8408	49593.7337	103	1	POLR1A	LOC90784	LOC90784	LOC90784	1.245	103	1
1_MACS_peak_13648_lociStitched	chr17	75135544	75145599	1	10056	48736.585	104	1	SEC14L1	SEC14L1	SEC14L1	SEC14L1	1.0004	104	1
3_MACS_peak_28247_lociStitched	chr7	22481027	22492733	3	11499	48334.074	105	1	MGC87042		MGC87042	MGC87042	0.8085	105	1
2_MACS_peak_2524_lociStitched	chr1	203254800	203262915	2	8030	48183.624	106	1		BTG2,LOC730227	LOC730227	LOC730227	3.2849	106	1
1_MACS_peak_16778_lociStitched	chr2	39714648	39725240	1	10593	48133.2256	107	1			MAP4K3	MAP4K3	NONE	107	1
1_MACS_peak_20068_lociStitched	chr21	44579914	44587962	1	8049	47772.928	108	1		CRYAA	CRYAA	CRYAA	2.6586	108	1
5_MACS_peak_6930_lociStitched	chr12	68748567	68762326	5	13130	47567.6148	109	1		MDM1	MDM1	MDM1	0.4688	109	1
4_MACS_peak_17858_lociStitched	chr2	137132624	137143745	4	10959	47545.6113	110	1			CXCR4	CXCR4	2.4643	110	1
1_MACS_peak_16301_lociStitched	chr2	5835093	5842537	1	7445	47492.72	111	1	SOX11		SOX11	SOX11	2.6434	111	1
2_MACS_peak_28658_lociStitched	chr7	55596432	55605691	2	9208	47294.0461	112	1	VOPP1		VOPP1	VOPP1	1.7655	112	1
4_MACS_peak_30712_lociStitched	chr8	103815622	103828678	4	12455	47150.4384	113	1		AZIN1	AZIN1	AZIN1	0.4314	113	1
3_MACS_peak_18712_lociStitched	chr2	232570229	232577578	3	7150	47002.7342	114	1	PTMA	MIR1244-1	PTMA	PTMA	3.2831	114	1
2_MACS_peak_8551_lociStitched	chr14	33501576	33514440	2	12844	46983.1872	115	1	NPAS3		NPAS3	NPAS3	0.2238	115	1
4_MACS_peak_19596_lociStitched	chr20	52542460	52554045	4	11469	46723.4635	116	1			SUMO1P1	SUMO1P1	0.3243	116	1
2_MACS_peak_19926_lociStitched	chr21	36413910	36424877	2	10942	46309.2542	117	1	RUNX1	C21orf96	RUNX1	C21orf96	1.6743	117	1
1_MACS_peak_10622_lociStitched	chr15	93443014	93451987	1	8974	46126.6038	118	1	CHD2,MIR3175	LOC100507217	MIR3175	MIR3175	4.6236	118	1
2_MACS_peak_1980_lociStitched	chr1	156627322	156635973	2	8652	45939.4053	119	1	BCAN	HAPLN2,BCAN,NES,CRABP2	NES	BCAN	1.4391	119	1
4_MACS_peak_18382_lociStitched	chr2	202115695	202128798	4	13052	45819.8807	120	1	CASP8		CASP8	CASP8	1.1096	120	1
1_MACS_peak_25902_lociStitched	chr5	173212371	173223483	1	11113	45810.3312	121	1			CPEB4	CPEB4	1.0912	121	1
3_MACS_peak_19370_lociStitched	chr20	42376636	42384953	3	7889	45582.1502	122	1		GTSF1L	GTSF1L	GTSF1L	0.6993	122	1
2_MACS_peak_22825_lociStitched	chr3	195263612	195273408	2	9797	45484.7872	123	1	PPP1R2	APOD	PPP1R2	PPP1R2	1.3234	123	1
1_MACS_peak_9885_lociStitched	chr15	52424052	52433093	1	9042	45137.1925	124	1	GNB5	BCL2L10	BCL2L10	BCL2L10	0.3017	124	1
5_MACS_peak_7435_lociStitched	chr12	117534943	117551690	5	15927	45005.8878	125	1	TESC		TESC	TESC	0.3729	125	1
2_MACS_peak_9948_lociStitched	chr15	58620872	58627401	2	6439	44865.9822	126	1			LIPC	LIPC	NONE	126	1
2_MACS_peak_21788_lociStitched	chr3	72025874	72036533	2	10626	44248.7067	127	1			PROK2	PROK2	0.8595	127	1
1_MACS_peak_8658_lociStitched	chr14	50526417	50534845	1	8429	44242.786	128	1		C14orf183,C14orf138	C14orf183	C14orf183	2.145	128	1
1_MACS_peak_9391_lociStitched	chr14	103780319	103788898	1	8580	44136.3813	129	1		EIF5,SNORA28	EIF5	SNORA28	2.8676	129	1
1_MACS_peak_23896_lociStitched	chr4	140095642	140100596	1	4955	44126.7642	130	1		ELF2	ELF2	ELF2	0.2255	130	1
3_MACS_peak_27889_lociStitched	chr6	159064247	159076487	3	11328	44117.856	131	1	SYTL3,DYNLT1		SYTL3	SYTL3	0.4816	131	1
1_MACS_peak_13471_lociStitched	chr17	66229877	66236613	1	6737	43828.4576	132	1		LOC440461,AMZ2,ARSG	AMZ2	AMZ2	1.2526	132	1
1_MACS_peak_28221_lociStitched	chr7	20255823	20262551	1	6729	43745.456	133	1	MACC1		MACC1	MACC1	0.5943	133	1
1_MACS_peak_18428_lociStitched	chr2	204568418	204577369	1	8952	43428.4618	134	1	CD28		CD28	CD28	1.3759	134	1
6_MACS_peak_12869_lociStitched	chr17	38251798	38268883	6	16189	43423.236	135	1	NR1D1	THRA,MSL1,CASC3,MED24	NR1D1	NR1D1	1.6464	135	1
2_MACS_peak_14704_lociStitched	chr19	6572112	6582097	2	9986	43266.0035	136	1		TNFSF9,CD70	CD70	CD70	3.8034	136	1
1_MACS_peak_6803_lociStitched	chr12	56726233	56734104	1	7872	43259.016	137	1	IL23A,PAN2	CS,CNPY2,STAT2,APOF	PAN2	PAN2	1.893	137	1
1_MACS_peak_2885_lociStitched	chr1	226839220	226852898	1	13679	42760.1636	138	1	ITPKB		ITPKB	ITPKB	0.6547	138	1
3_MACS_peak_13680_lociStitched	chr17	76265995	76276418	3	10393	42578.9973	139	1		LOC283999,EPR1	LOC283999	EPR1	0.1541	139	1
2_MACS_peak_13422_lociStitched	chr17	62979489	62986789	2	7274	42391.1	140	1		AMZ2P1	AMZ2P1	AMZ2P1	1.4511	140	1
4_MACS_peak_28615_lociStitched	chr7	47708172	47716741	4	8195	42273.4477	141	1		C7orf65	C7orf65	C7orf65	0.3918	141	1
1_MACS_peak_16470_lociStitched	chr2	20703265	20711995	1	8731	41629.005	142	1			RHOB	RHOB	NONE	142	1
5_MACS_peak_21413_lociStitched	chr3	45604427	45617805	5	12910	41499.8938	143	1		LIMD1	LIMD1	LIMD1	0.8718	143	1
2_MACS_peak_17106_lociStitched	chr2	70310892	70317000	2	6074	41214.9516	144	1	PCBP1,LOC400960	LOC100133985	LOC400960	LOC100133985	1.4071	144	1
1_MACS_peak_11997_lociStitched	chr16	87805872	87814755	1	8884	41011.9227	145	1		KLHDC4	KLHDC4	KLHDC4	0.2433	145	1
1_MACS_peak_1896_lociStitched	chr1	154828237	154835496	1	7260	40990.1212	146	1	KCNN3		KCNN3	KCNN3	0.5148	146	1
1_MACS_peak_22794_lociStitched	chr3	193815334	193822651	1	7318	40978.8585	147	1		HES1	HES1	HES1	2.3117	147	1
1_MACS_peak_19363_lociStitched	chr20	42306915	42313839	1	6925	40894.5288	148	1	MYBL2	GTSF1L	MYBL2	MYBL2	1.0677	148	1
5_MACS_peak_12734_lociStitched	chr17	34411615	34423724	5	11698	40861.8205	149	1	CCL3	CCL18,CCL4	CCL3	CCL3	3.3727	149	1
1_MACS_peak_3040_lociStitched	chr1	233774105	233786375	1	12271	40773.21	150	1	KCNK1		KCNK1	KCNK1	3.3278	150	1
1_MACS_peak_12843_lociStitched	chr17	37909388	37916635	1	7248	40739.7352	151	1		GRB7,C17orf37	GRB7	C17orf37	0.465	151	1
3_MACS_peak_13689_lociStitched	chr17	76348185	76357402	3	9034	40111.4623	152	1	SOCS3	PGS1	SOCS3	SOCS3	3.0572	152	1
1_MACS_peak_25898_lociStitched	chr5	173167846	173174536	1	6691	40091.163	153	1			BOD1	BOD1	NONE	153	1
1_MACS_peak_6339_lociStitched	chr12	12866502	12880261	1	13760	39956.136	154	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	2.6882	154	1
1_MACS_peak_24549_lociStitched	chr5	32530790	32544625	1	13836	39826.8145	155	1		SUB1	SUB1	SUB1	0.793	155	1
2_MACS_peak_8540_lociStitched	chr14	33403066	33413486	2	10395	39793.98	156	1	NPAS3		NPAS3	NPAS3	0.2238	156	1
1_MACS_peak_29453_lociStitched	chr7	132227736	132236127	1	8392	39782.5701	157	1	PLXNA4		PLXNA4	PLXNA4	0.8094	157	1
3_MACS_peak_17955_lociStitched	chr2	158292208	158302332	3	9702	39754.9232	158	1	CYTIP		CYTIP	CYTIP	1.1287	158	1
3_MACS_peak_1947_lociStitched	chr1	155908015	155918872	3	10573	39748.5627	159	1	RXFP4,ARHGEF2	RIT1,SNORA42,SCARNA4,KIAA0907	RXFP4	RXFP4	3.438	159	1
2_MACS_peak_2294_lociStitched	chr1	179845980	179853916	2	7549	39656.192	160	1	TOR1AIP1,TOR1AIP2		TOR1AIP1	TOR1AIP1	0.8677	160	1
2_MACS_peak_33049_lociStitched	chrX	48768130	48783853	2	15658	39483.5976	161	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	PIM2	2.2143	161	1
4_MACS_peak_15701_lociStitched	chr19	45249876	45260224	4	10177	39265.486	162	1	BCL3	CEACAM16,CBLC	BCL3	BCL3	1.9387	162	1
2_MACS_peak_19321_lociStitched	chr20	37498261	37507340	2	8780	39253.0565	163	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.1256	163	1
1_MACS_peak_2277_lociStitched	chr1	178571927	178578208	1	6282	39252.4814	164	1			C1orf220	C1orf220	0.5261	164	1
2_MACS_peak_25339_lociStitched	chr5	131434583	131441961	2	7080	39186.0336	165	1		IL3,CSF2	CSF2	CSF2	0.3385	165	1
3_MACS_peak_8660_lociStitched	chr14	50546047	50555128	3	8822	39153.6396	166	1	C14orf183	C14orf138	C14orf183	C14orf183	2.145	166	1
3_MACS_peak_32204_lociStitched	chr9	126097606	126103808	3	6050	38968.4064	167	1		CRB2	CRB2	CRB2	0.1214	167	1
1_MACS_peak_26572_lociStitched	chr6	31701464	31709149	1	7686	38929.9045	168	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	CLIC1	2.6322	168	1
1_MACS_peak_9804_lociStitched	chr15	45016565	45023347	1	6783	38880.5278	169	1		B2M,TRIM69,PATL2	TRIM69	B2M	2.1381	169	1
2_MACS_peak_32120_lociStitched	chr9	117255954	117268783	2	12578	38862.8897	170	1	DFNB31		DFNB31	DFNB31	1.0813	170	1
1_MACS_peak_10501_lociStitched	chr15	89177278	89185160	1	7883	38858.26	171	1	ISG20	MIR1179,MIR7-2,AEN	ISG20	AEN	1.8126	171	1
3_MACS_peak_10174_lociStitched	chr15	70486682	70494071	3	6855	38702.1042	172	1			TLE3	TLE3	0.6798	172	1
2_MACS_peak_17629_lociStitched	chr2	112285286	112294513	2	9162	38551.3287	173	1		LOC541471	LOC541471	LOC541471	2.1904	173	1
1_MACS_peak_19470_lociStitched	chr20	45522627	45531450	1	8824	38133.006	174	1	EYA2		EYA2	EYA2	0.2311	174	1
1_MACS_peak_9113_lociStitched	chr14	89891266	89903695	1	12430	38127.2004	175	1	FOXN3	LOC400236,FOXN3	LOC400236	LOC400236	1.4432	175	1
1_MACS_peak_1766_lociStitched	chr1	149855399	149861420	1	6022	38058.741	176	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	HIST2H2AC	3.7487	176	1
1_MACS_peak_9352_lociStitched	chr14	102339694	102346731	1	7038	38023.0221	177	1	PPP2R5C		PPP2R5C	PPP2R5C	0.8184	177	1
1_MACS_peak_28602_lociStitched	chr7	47512532	47522752	1	10221	37965.256	178	1	TNS3		TNS3	TNS3	0.4397	178	1
1_MACS_peak_22730_lociStitched	chr3	186780305	186786334	1	6030	37828.9605	179	1	ST6GAL1		ST6GAL1	ST6GAL1	1.4164	179	1
6_MACS_peak_21029_lociStitched	chr3	5018420	5031583	6	12154	37798.8708	180	1	BHLHE40		BHLHE40	BHLHE40	2.4511	180	1
1_MACS_peak_146_lociStitched	chr1	9220603	9226508	1	5906	37613.669	181	1		GPR157,MIR34A	MIR34A	GPR157	0.2212	181	1
