REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_20668_lociStitched	chr22	38653489	38673829	3	20244	76765.194	34	1	TMEM184B	CSNK1E	TMEM184B	TMEM184B	1.8042	34	1
1_MACS_peak_22716_lociStitched	chr3	186702745	186722926	1	20182	122115.231	35	1	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.4164	35	1
2_MACS_peak_9455_lociStitched	chr14	106156362	106176078	2	19690	75269.7732	36	1			TMEM121	TMEM121	0.1436	36	1
4_MACS_peak_14405_lociStitched	chr18	72192582	72212505	4	19564	83278.14	37	1	CNDP1	CNDP2	CNDP1	CNDP1	1.2969	37	1
4_MACS_peak_20335_lociStitched	chr22	23229466	23249580	4	19490	58139.517	38	1	IGLL5		IGLL5	IGLL5	2.164	38	1
1_MACS_peak_13286_lociStitched	chr17	56404824	56423955	1	19132	141433.5699	39	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	5.7277	39	1
3_MACS_peak_11911_lociStitched	chr16	81839687	81858684	3	18966	83037.7867	40	1	PLCG2		PLCG2	PLCG2	0.735	40	1
2_MACS_peak_22551_lociStitched	chr3	171809589	171828706	2	18823	109001.3106	41	1	FNDC3B		FNDC3B	FNDC3B	0.6686	41	1
2_MACS_peak_28655_lociStitched	chr7	55574139	55593043	2	18546	81440.3224	42	1	VOPP1		VOPP1	VOPP1	1.7655	42	1
2_MACS_peak_9090_lociStitched	chr14	81935530	81953943	2	18289	54174.7286	43	1	SEL1L		SEL1L	SEL1L	0.9071	43	1
4_MACS_peak_14109_lociStitched	chr18	35009359	35026975	4	17583	58587.2928	44	1	CELF4		CELF4	CELF4	0.4177	44	1
10_MACS_peak_23571_lociStitched	chr4	90207972	90226719	10	17533	27548.7165	45	1	GPRIN3		GPRIN3	GPRIN3	0.4789	45	1
6_MACS_peak_17351_lociStitched	chr2	89130798	89148463	6	16895	36992.2765	46	1			ANKRD36BP2	ANKRD36BP2	0.0547	46	1
1_MACS_peak_7569_lociStitched	chr12	123370501	123387130	1	16630	56423.8599	47	1	VPS37B		VPS37B	VPS37B	1.6256	47	1
1_MACS_peak_23268_lociStitched	chr4	40193755	40210228	1	16474	57115.1856	48	1	RHOH		RHOH	RHOH	1.1099	48	1
2_MACS_peak_18367_lociStitched	chr2	201979436	201996018	2	16447	89043.6818	49	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.6517	49	1
6_MACS_peak_12869_lociStitched	chr17	38251798	38268883	6	16189	43423.236	50	1	NR1D1	THRA,MSL1,CASC3,MED24	NR1D1	NR1D1	1.6464	50	1
3_MACS_peak_15524_lociStitched	chr19	39887871	39904195	3	16150	77867.1124	51	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	5.2043	51	1
1_MACS_peak_17460_lociStitched	chr2	99093918	99110061	1	16144	67669.8417	52	1	INPP4A		INPP4A	INPP4A	0.9107	52	1
5_MACS_peak_7435_lociStitched	chr12	117534943	117551690	5	15927	45005.8878	53	1	TESC		TESC	TESC	0.3729	53	1
3_MACS_peak_3061_lociStitched	chr1	234733422	234749520	3	15841	91472.0556	54	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	5.5979	54	1
7_MACS_peak_2835_lociStitched	chr1	224919611	224936139	7	15671	34459.2272	55	1	CNIH3		CNIH3	CNIH3	0.3583	55	1
2_MACS_peak_33049_lociStitched	chrX	48768130	48783853	2	15658	39483.5976	56	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	PIM2	2.2143	56	1
9_MACS_peak_24463_lociStitched	chr5	24263954	24280809	9	15655	24050.3995	57	1			CDH10	CDH10	NONE	57	1
2_MACS_peak_971_lociStitched	chr1	51432418	51447954	2	15517	55869.0096	58	1	CDKN2C	FAF1	CDKN2C	CDKN2C	3.2437	58	1
5_MACS_peak_22500_lociStitched	chr3	164343287	164359484	5	15345	32562.4488	59	1			SI	SI	NONE	59	1
2_MACS_peak_16404_lociStitched	chr2	11883191	11898295	2	15041	88790.3744	60	1	LPIN1		LPIN1	LPIN1	1.1293	60	1
1_MACS_peak_22305_lociStitched	chr3	141119978	141134811	1	14834	52486.5705	61	1	ZBTB38		RASA2	RASA2	NONE	61	1
4_MACS_peak_20870_lociStitched	chr22	45102713	45118009	4	14743	35607.5584	62	1	PRR5,PRR5-ARHGAP8	ARHGAP8	PRR5-ARHGAP8	PRR5-ARHGAP8	0.2877	62	1
2_MACS_peak_26979_lociStitched	chr6	56619849	56634773	2	14598	32465.6696	63	1			DST	DST	NONE	63	1
2_MACS_peak_21139_lociStitched	chr3	13362202	13377247	2	14580	35670.1905	64	1	NUP210		NUP210	NUP210	0.7112	64	1
3_MACS_peak_2973_lociStitched	chr1	230255892	230270754	3	14462	62163.2874	65	1	GALNT2		GALNT2	GALNT2	0.5568	65	1
2_MACS_peak_7273_lociStitched	chr12	108952659	108967081	2	14301	55611.232	66	1	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	3.357	66	1
3_MACS_peak_6412_lociStitched	chr12	26265907	26280233	3	14272	33966.946	67	1	BHLHE41		BHLHE41	BHLHE41	1.9201	67	1
5_MACS_peak_5557_lociStitched	chr11	69453116	69467770	5	14262	26032.831	68	1	CCND1	ORAOV1	CCND1	CCND1	1.2992	68	1
4_MACS_peak_26219_lociStitched	chr6	11823283	11838074	4	14037	58672.9388	69	1		C6orf105	C6orf105	C6orf105	0.5006	69	1
3_MACS_peak_2526_lociStitched	chr1	203264688	203278694	3	14004	53068.734	70	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	3.2849	70	1
1_MACS_peak_19481_lociStitched	chr20	45976582	45990443	1	13862	56210.5133	71	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.5463	71	1
1_MACS_peak_24549_lociStitched	chr5	32530790	32544625	1	13836	39826.8145	72	1		SUB1	SUB1	SUB1	0.793	72	1
1_MACS_peak_6339_lociStitched	chr12	12866502	12880261	1	13760	39956.136	73	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	2.6882	73	1
7_MACS_peak_8192_lociStitched	chr13	99127642	99142644	7	13760	35641.7516	74	1	STK24		STK24	STK24	0.4111	74	1
2_MACS_peak_26076_lociStitched	chr6	319869	334068	2	13711	60094.4277	75	1	DUSP22		DUSP22	DUSP22	2.3585	75	1
1_MACS_peak_2885_lociStitched	chr1	226839220	226852898	1	13679	42760.1636	76	1	ITPKB		ITPKB	ITPKB	0.6547	76	1
5_MACS_peak_17640_lociStitched	chr2	112455512	112469360	5	13614	67982.6016	77	1			ANAPC1	ANAPC1	0.3415	77	1
1_MACS_peak_7611_lociStitched	chr12	125395640	125409247	1	13608	82602.6542	78	1	UBC	SCARB1	UBC	UBC	4.313	78	1
2_MACS_peak_4359_lociStitched	chr10	112164239	112178079	2	13559	72868.984	79	1			DUSP5	DUSP5	1.558	79	1
3_MACS_peak_7277_lociStitched	chr12	109018819	109032782	3	13506	68865.516	80	1	SELPLG	TMEM119	SELPLG	SELPLG	3.6353	80	1
1_MACS_peak_9293_lociStitched	chr14	98633036	98646531	1	13496	63526.363	81	1			C14orf64	C14orf64	NONE	81	1
5_MACS_peak_5856_lociStitched	chr11	111237058	111250931	5	13447	31294.7134	82	1	POU2AF1		POU2AF1	POU2AF1	0.9709	82	1
4_MACS_peak_26909_lociStitched	chr6	52034685	52048609	4	13422	28407.7448	83	1		MIR206,MIR133B,IL17A	IL17A	IL17A	0.5705	83	1
4_MACS_peak_27280_lociStitched	chr6	106544427	106558455	4	13380	29667.8172	84	1	PRDM1		PRDM1	PRDM1	1.4078	84	1
2_MACS_peak_3450_lociStitched	chr10	15824892	15838366	2	13318	77918.7946	85	1	FAM188A		ITGA8	ITGA8	NONE	85	1
6_MACS_peak_18288_lociStitched	chr2	197030198	197044677	6	13309	36405.9976	86	1	STK17B		STK17B	STK17B	0.6792	86	1
3_MACS_peak_20408_lociStitched	chr22	24819849	24833170	3	13287	63498.5428	87	1	ADORA2A,C22orf45		ADORA2A	ADORA2A	2.6693	87	1
5_MACS_peak_6930_lociStitched	chr12	68748567	68762326	5	13130	47567.6148	88	1		MDM1	MDM1	MDM1	0.4688	88	1
3_MACS_peak_17732_lociStitched	chr2	127412930	127426248	3	13069	50852.1194	89	1	GYPC		GYPC	GYPC	1.0754	89	1
4_MACS_peak_18382_lociStitched	chr2	202115695	202128798	4	13052	45819.8807	90	1	CASP8		CASP8	CASP8	1.1096	90	1
4_MACS_peak_11049_lociStitched	chr16	14489603	14503007	4	12942	55879.9356	91	1			MIR365-1	MIR365-1	0.3342	91	1
5_MACS_peak_15212_lociStitched	chr19	19048965	19062553	5	12927	35642.6828	92	1	HOMER3	DDX49,GDF1,COPE	HOMER3	DDX49	0.6484	92	1
5_MACS_peak_21413_lociStitched	chr3	45604427	45617805	5	12910	41499.8938	93	1		LIMD1	LIMD1	LIMD1	0.8718	93	1
1_MACS_peak_21449_lociStitched	chr3	46389915	46402804	1	12890	36395.9582	94	1	CCR2	CCR5,CCRL2	CCR2	CCR2	2.3658	94	1
2_MACS_peak_8551_lociStitched	chr14	33501576	33514440	2	12844	46983.1872	95	1	NPAS3		NPAS3	NPAS3	0.2238	95	1
9_MACS_peak_33051_lociStitched	chrX	48791239	48805748	9	12803	35027.6278	96	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	PIM2	2.2143	96	1
2_MACS_peak_22190_lociStitched	chr3	129023572	129036397	2	12754	53000.595	97	1	C3orf37,C3orf47,H1FX		C3orf47	C3orf47	1.9027	97	1
2_MACS_peak_13042_lociStitched	chr17	43296467	43309240	2	12748	78095.3993	98	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.5436	98	1
2_MACS_peak_24200_lociStitched	chr4	185263688	185276625	2	12589	34205.428	99	1			IRF2	IRF2	0.7203	99	1
2_MACS_peak_32120_lociStitched	chr9	117255954	117268783	2	12578	38862.8897	100	1	DFNB31		DFNB31	DFNB31	1.0813	100	1
4_MACS_peak_30712_lociStitched	chr8	103815622	103828678	4	12455	47150.4384	101	1		AZIN1	AZIN1	AZIN1	0.4314	101	1
1_MACS_peak_12844_lociStitched	chr17	37922930	37935365	1	12436	34401.4275	102	1	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.465	102	1
1_MACS_peak_9113_lociStitched	chr14	89891266	89903695	1	12430	38127.2004	103	1	FOXN3	LOC400236,FOXN3	LOC400236	LOC400236	1.4432	103	1
3_MACS_peak_19972_lociStitched	chr21	37905257	37917818	3	12315	60891.9597	104	1	CLDN14		CLDN14	CLDN14	0.8774	104	1
1_MACS_peak_3040_lociStitched	chr1	233774105	233786375	1	12271	40773.21	105	1	KCNK1		KCNK1	KCNK1	3.3278	105	1
1_MACS_peak_13962_lociStitched	chr18	10946306	10958535	1	12230	53438.2842	106	1	FAM38B		FAM38B	FAM38B	0.2858	106	1
6_MACS_peak_21029_lociStitched	chr3	5018420	5031583	6	12154	37798.8708	107	1	BHLHE40		BHLHE40	BHLHE40	2.4511	107	1
5_MACS_peak_3702_lociStitched	chr10	50276304	50289535	5	12141	36377.3114	108	1	C10orf72		C10orf72	C10orf72	0.9056	108	1
5_MACS_peak_14242_lociStitched	chr18	49916486	49928989	5	12043	52087.498	109	1	DCC		DCC	DCC	0.1067	109	1
3_MACS_peak_22488_lociStitched	chr3	164168249	164180342	3	11997	24445.9995	110	1			SI	SI	NONE	110	1
4_MACS_peak_25595_lociStitched	chr5	146470281	146482672	4	11897	32418.5733	111	1		PPP2R2B	PPP2R2B	PPP2R2B	0.1429	111	1
1_MACS_peak_24358_lociStitched	chr5	6478714	6490556	1	11843	70225.4284	112	1	UBE2QL1		UBE2QL1	UBE2QL1	2.303	112	1
2_MACS_peak_32378_lociStitched	chr9	132646061	132657833	2	11755	54859.8744	113	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.5494	113	1
3_MACS_peak_4532_lociStitched	chr10	128154799	128166510	3	11703	27117.9916	114	1	C10orf90		C10orf90	C10orf90	1.0299	114	1
5_MACS_peak_12734_lociStitched	chr17	34411615	34423724	5	11698	40861.8205	115	1	CCL3	CCL18,CCL4	CCL3	CCL3	3.3727	115	1
3_MACS_peak_17360_lociStitched	chr2	89442053	89453914	3	11604	23931.9397	116	1			ANKRD36BP2	ANKRD36BP2	0.0547	116	1
1_MACS_peak_4365_lociStitched	chr10	112214796	112226371	1	11576	53446.405	117	1		DUSP5	DUSP5	DUSP5	1.558	117	1
4_MACS_peak_3512_lociStitched	chr10	23727223	23739156	4	11502	24509.1887	118	1	OTUD1		OTUD1	OTUD1	1.597	118	1
2_MACS_peak_23935_lociStitched	chr4	144273419	144285051	2	11500	76938.7008	119	1	GAB1		GAB1	GAB1	0.9182	119	1
3_MACS_peak_28247_lociStitched	chr7	22481027	22492733	3	11499	48334.074	120	1	MGC87042		MGC87042	MGC87042	0.8085	120	1
2_MACS_peak_5391_lociStitched	chr11	65236120	65247639	2	11474	54115.1101	121	1		NEAT1,MIR612,MALAT1,SCYL1	MALAT1	NEAT1	6.5435	121	1
4_MACS_peak_19596_lociStitched	chr20	52542460	52554045	4	11469	46723.4635	122	1			SUMO1P1	SUMO1P1	0.3243	122	1
1_MACS_peak_25347_lociStitched	chr5	131754933	131766398	1	11466	56494.934	123	1	C5orf56	SLC22A5	C5orf56	C5orf56	1.6167	123	1
2_MACS_peak_4864_lociStitched	chr11	14780623	14792135	2	11450	34351.808	124	1	PDE3B		PDE3B	PDE3B	0.3143	124	1
2_MACS_peak_5348_lociStitched	chr11	64623979	64635612	2	11424	65014.5104	125	1	EHD1	MEN1,CDC42BPG,MIR192,MIR194-2,ATG2A	EHD1	EHD1	2.6416	125	1
4_MACS_peak_4521_lociStitched	chr10	128117698	128129925	4	11422	30299.7287	126	1	C10orf90	ADAM12	ADAM12	ADAM12	0.0912	126	1
1_MACS_peak_20071_lociStitched	chr21	44724516	44735878	1	11363	81192.852	127	1			SIK1	SIK1	1.2575	127	1
1_MACS_peak_2275_lociStitched	chr1	178541563	178552901	1	11339	90961.3726	128	1		C1orf220	C1orf220	C1orf220	0.5261	128	1
1_MACS_peak_4954_lociStitched	chr11	23588806	23600139	1	11334	21973.5537	129	1			LOC100500938	LOC100500938	NONE	129	1
3_MACS_peak_27889_lociStitched	chr6	159064247	159076487	3	11328	44117.856	130	1	SYTL3,DYNLT1		SYTL3	SYTL3	0.4816	130	1
3_MACS_peak_5385_lociStitched	chr11	65204978	65216943	3	11282	18537.3745	131	1	MIR612	NEAT1,MALAT1	MIR612	NEAT1	6.5435	131	1
1_MACS_peak_25902_lociStitched	chr5	173212371	173223483	1	11113	45810.3312	132	1			CPEB4	CPEB4	1.0912	132	1
1_MACS_peak_11547_lociStitched	chr16	56964526	56975576	1	11051	33448.35	133	1	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.8202	133	1
6_MACS_peak_27274_lociStitched	chr6	106531909	106543000	6	10960	15982.131	134	1	PRDM1	PRDM1	PRDM1	PRDM1	1.4078	134	1
4_MACS_peak_17858_lociStitched	chr2	137132624	137143745	4	10959	47545.6113	135	1			CXCR4	CXCR4	2.4643	135	1
2_MACS_peak_19926_lociStitched	chr21	36413910	36424877	2	10942	46309.2542	136	1	RUNX1	C21orf96	RUNX1	C21orf96	1.6743	136	1
2_MACS_peak_1900_lociStitched	chr1	154907748	154918692	2	10940	69932.16	137	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	MIR4258	2.5659	137	1
2_MACS_peak_29168_lociStitched	chr7	104576348	104587759	2	10927	66870.7422	138	1		LOC723809	LOC723809	LOC723809	0.7505	138	1
1_MACS_peak_10612_lociStitched	chr15	93344758	93355580	1	10823	69630.9124	139	1		ASB9P1	ASB9P1	ASB9P1	0.3253	139	1
3_MACS_peak_24318_lociStitched	chr5	1311497	1322424	3	10779	62931.8711	140	1	CLPTM1L	TERT	TERT	TERT	0.1571	140	1
3_MACS_peak_27381_lociStitched	chr6	113962967	113973805	3	10764	26779.6142	141	1			MARCKS	MARCKS	1.2466	141	1
3_MACS_peak_19162_lociStitched	chr20	31251939	31262988	3	10757	35912.5647	142	1		C20orf203	C20orf203	C20orf203	0.1439	142	1
3_MACS_peak_3396_lociStitched	chr10	12444774	12455591	3	10667	36257.5023	143	1	CAMK1D		CAMK1D	CAMK1D	0.2836	143	1
3_MACS_peak_26397_lociStitched	chr6	26357064	26367759	3	10644	30664.704	144	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.0654	144	1
2_MACS_peak_21788_lociStitched	chr3	72025874	72036533	2	10626	44248.7067	145	1			PROK2	PROK2	0.8595	145	1
2_MACS_peak_25163_lociStitched	chr5	109023928	109034566	2	10623	28727.919	146	1	MAN2A1		MAN2A1	MAN2A1	0.2539	146	1
1_MACS_peak_16778_lociStitched	chr2	39714648	39725240	1	10593	48133.2256	147	1			MAP4K3	MAP4K3	0.2079	147	1
3_MACS_peak_1947_lociStitched	chr1	155908015	155918872	3	10573	39748.5627	148	1	RXFP4,ARHGEF2	RIT1,SNORA42,SCARNA4,KIAA0907	RXFP4	RXFP4	3.438	148	1
4_MACS_peak_32775_lociStitched	chrX	19759822	19770438	4	10509	22474.072	149	1	SH3KBP1		SH3KBP1	SH3KBP1	0.3103	149	1
10_MACS_peak_25910_lociStitched	chr5	173333788	173346026	10	10454	12404.4368	150	1	CPEB4		CPEB4	CPEB4	1.0912	150	1
2_MACS_peak_11028_lociStitched	chr16	12055910	12066362	2	10440	31035.1236	151	1	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	TNFRSF17	2.4721	151	1
1_MACS_peak_29177_lociStitched	chr7	104648770	104659183	1	10414	84264.0786	152	1	MLL5,LOC100216545		LOC100216545	LOC100216545	6.293	152	1
2_MACS_peak_8540_lociStitched	chr14	33403066	33413486	2	10395	39793.98	153	1	NPAS3		NPAS3	NPAS3	0.2238	153	1
3_MACS_peak_13680_lociStitched	chr17	76265995	76276418	3	10393	42578.9973	154	1		LOC283999,EPR1	LOC283999	EPR1	0.1541	154	1
1_MACS_peak_20318_lociStitched	chr22	23145090	23155464	1	10375	25562.5734	155	1		MIR650	MIR650	MIR650	1.3371	155	1
3_MACS_peak_4356_lociStitched	chr10	112150789	112161725	3	10348	26856.6288	156	1			SMNDC1	SMNDC1	0.3575	156	1
3_MACS_peak_9233_lociStitched	chr14	94420668	94431137	3	10327	36068.8457	157	1	ASB2	FAM181A,C14orf48,C14orf86	ASB2	ASB2	0.9944	157	1
7_MACS_peak_18018_lociStitched	chr2	165608502	165619274	7	10322	28079.3724	158	1	COBLL1		SNORA70F	SNORA70F	NONE	158	1
6_MACS_peak_2451_lociStitched	chr1	198895761	198906981	6	10235	14583.756	159	1			MIR181A1	MIR181A1	NONE	159	1
1_MACS_peak_28602_lociStitched	chr7	47512532	47522752	1	10221	37965.256	160	1	TNS3		TNS3	TNS3	0.4397	160	1
2_MACS_peak_25654_lociStitched	chr5	150457034	150467272	2	10211	29286.8228	161	1	TNIP1		TNIP1	TNIP1	0.7788	161	1
1_MACS_peak_14369_lociStitched	chr18	60821209	60831412	1	10204	73633.0104	162	1	BCL2		BCL2	BCL2	0.7795	162	1
4_MACS_peak_15701_lociStitched	chr19	45249876	45260224	4	10177	39265.486	163	1	BCL3	CEACAM16,CBLC	BCL3	BCL3	1.9387	163	1
2_MACS_peak_5915_lociStitched	chr11	115086760	115097207	2	10165	33857.6823	164	1	CADM1		CADM1	CADM1	0.3605	164	1
2_MACS_peak_28313_lociStitched	chr7	25985077	25995309	2	10162	87997.2464	165	1	MIR148A		MIR148A	MIR148A	8.6296	165	1
2_MACS_peak_3324_lociStitched	chr10	7511054	7521686	2	10151	34026.6528	166	1			SFMBT2	SFMBT2	NONE	166	1
5_MACS_peak_13557_lociStitched	chr17	73308976	73320114	5	10139	21303.6526	167	1	GRB2	LOC100287042,MIF4GD,SLC25A19	SLC25A19	MIF4GD	1.319	167	1
4_MACS_peak_7269_lociStitched	chr12	108933972	108944315	4	10129	22845.6184	168	1	SART3	FICD,ISCU,TMEM119	SART3	ISCU	3.357	168	1
3_MACS_peak_4347_lociStitched	chr10	112112715	112123228	3	10068	62673.2495	169	1		SMNDC1	SMNDC1	SMNDC1	0.3575	169	1
1_MACS_peak_13648_lociStitched	chr17	75135544	75145599	1	10056	48736.585	170	1	SEC14L1	SEC14L1	SEC14L1	SEC14L1	1.0004	170	1
2_MACS_peak_1665_lociStitched	chr1	144928235	144938263	2	10011	32027.4264	171	1	PDE4DIP		PDE4DIP	PDE4DIP	0.5253	171	1
2_MACS_peak_14704_lociStitched	chr19	6572112	6582097	2	9986	43266.0035	172	1		TNFSF9,CD70	CD70	CD70	3.8034	172	1
1_MACS_peak_24656_lociStitched	chr5	53813455	53823370	1	9916	34542.8685	173	1	SNX18		SNX18	SNX18	1.4648	173	1
3_MACS_peak_14300_lociStitched	chr18	55764822	55774956	3	9903	31381.9578	174	1	NEDD4L	NEDD4L	NEDD4L	NEDD4L	0.3107	174	1
1_MACS_peak_23900_lociStitched	chr4	140126857	140136704	1	9848	57855.0638	175	1			C4orf49	C4orf49	NONE	175	1
3_MACS_peak_25235_lociStitched	chr5	118668677	118678868	3	9828	16355.5359	176	1	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.4513	176	1
3_MACS_peak_32922_lociStitched	chrX	40169230	40179360	3	9806	19741.344	177	1			BCOR	BCOR	0.3733	177	1
4_MACS_peak_2925_lociStitched	chr1	228643939	228654103	4	9804	27869.688	178	1	HIST3H2BB,HIST3H2A	RNF187,TRIM11,TRIM17,HIST3H3	HIST3H2BB	HIST3H2BB	2.0054	178	1
2_MACS_peak_22825_lociStitched	chr3	195263612	195273408	2	9797	45484.7872	179	1	PPP1R2	APOD	PPP1R2	PPP1R2	1.3234	179	1
1_MACS_peak_28318_lociStitched	chr7	26001698	26011468	1	9771	86146.975	180	1		MIR148A	MIR148A	MIR148A	8.6296	180	1
1_MACS_peak_22651_lociStitched	chr3	183228469	183238208	1	9740	33766.0869	181	1	KLHL6		KLHL6	KLHL6	1.361	181	1
1_MACS_peak_26071_lociStitched	chr6	290392	300127	1	9736	53879.331	182	1	DUSP22		DUSP22	DUSP22	2.3585	182	1
