REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
2_MACS_peak_18367_lociStitched	chr2	201979436	201996018	2	16447	89043.6818	41	1	CFLAR	NDUFB3,FAM126B	CFLAR	41	1
3_MACS_peak_3061_lociStitched	chr1	234733422	234749520	3	15841	91472.0556	42	1	IRF2BP2	NCRNA00184	IRF2BP2	42	1
4_MACS_peak_19574_lociStitched	chr20	52190856	52211945	4	20459	52650.7974	43	1	ZNF217		ZNF217	43	1
4_MACS_peak_20335_lociStitched	chr22	23229466	23249580	4	19490	58139.517	44	1	IGLL5		IGLL5	44	1
2_MACS_peak_16404_lociStitched	chr2	11883191	11898295	2	15041	88790.3744	45	1	LPIN1		LPIN1	45	1
3_MACS_peak_15524_lociStitched	chr19	39887871	39904195	3	16150	77867.1124	46	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	46	1
2_MACS_peak_9090_lociStitched	chr14	81935530	81953943	2	18289	54174.7286	47	1	SEL1L		SEL1L	47	1
4_MACS_peak_14109_lociStitched	chr18	35009359	35026975	4	17583	58587.2928	48	1	CELF4		CELF4	48	1
1_MACS_peak_17460_lociStitched	chr2	99093918	99110061	1	16144	67669.8417	49	1	INPP4A		INPP4A	49	1
1_MACS_peak_7611_lociStitched	chr12	125395640	125409247	1	13608	82602.6542	50	1	UBC	SCARB1	UBC	50	1
1_MACS_peak_2275_lociStitched	chr1	178541563	178552901	1	11339	90961.3726	51	1		C1orf220	C1orf220	51	1
1_MACS_peak_7569_lociStitched	chr12	123370501	123387130	1	16630	56423.8599	52	1	VPS37B		VPS37B	52	1
1_MACS_peak_23268_lociStitched	chr4	40193755	40210228	1	16474	57115.1856	53	1	RHOH		RHOH	53	1
2_MACS_peak_3450_lociStitched	chr10	15824892	15838366	2	13318	77918.7946	54	1	FAM188A		ITGA8	54	1
2_MACS_peak_13042_lociStitched	chr17	43296467	43309240	2	12748	78095.3993	55	1	FMNL1	LOC100133991,C17orf46	FMNL1	55	1
2_MACS_peak_4359_lociStitched	chr10	112164239	112178079	2	13559	72868.984	56	1			DUSP5	56	1
2_MACS_peak_28313_lociStitched	chr7	25985077	25995309	2	10162	87997.2464	57	1	MIR148A		MIR148A	57	1
2_MACS_peak_971_lociStitched	chr1	51432418	51447954	2	15517	55869.0096	58	1	CDKN2C	FAF1	CDKN2C	58	1
1_MACS_peak_20071_lociStitched	chr21	44724516	44735878	1	11363	81192.852	59	1			SIK1	59	1
10_MACS_peak_23571_lociStitched	chr4	90207972	90226719	10	17533	27548.7165	60	1	GPRIN3		GPRIN3	60	1
3_MACS_peak_7277_lociStitched	chr12	109018819	109032782	3	13506	68865.516	61	1	SELPLG	TMEM119	SELPLG	61	1
1_MACS_peak_29177_lociStitched	chr7	104648770	104659183	1	10414	84264.0786	62	1	MLL5,LOC100216545		LOC100216545	62	1
3_MACS_peak_2973_lociStitched	chr1	230255892	230270754	3	14462	62163.2874	63	1	GALNT2		GALNT2	63	1
5_MACS_peak_17640_lociStitched	chr2	112455512	112469360	5	13614	67982.6016	64	1			ANAPC1	64	1
6_MACS_peak_17351_lociStitched	chr2	89130798	89148463	6	16895	36992.2765	65	1			ANKRD36BP2	65	1
1_MACS_peak_28318_lociStitched	chr7	26001698	26011468	1	9771	86146.975	66	1		MIR148A	MIR148A	66	1
6_MACS_peak_12869_lociStitched	chr17	38251798	38268883	6	16189	43423.236	67	1	NR1D1	THRA,MSL1,CASC3,MED24	NR1D1	67	1
2_MACS_peak_23935_lociStitched	chr4	144273419	144285051	2	11500	76938.7008	68	1	GAB1		GAB1	68	1
5_MACS_peak_7435_lociStitched	chr12	117534943	117551690	5	15927	45005.8878	69	1	TESC		TESC	69	1
1_MACS_peak_9293_lociStitched	chr14	98633036	98646531	1	13496	63526.363	70	1			C14orf64	70	1
1_MACS_peak_22305_lociStitched	chr3	141119978	141134811	1	14834	52486.5705	71	1	ZBTB38		RASA2	71	1
4_MACS_peak_26219_lociStitched	chr6	11823283	11838074	4	14037	58672.9388	72	1		C6orf105	C6orf105	72	1
3_MACS_peak_20408_lociStitched	chr22	24819849	24833170	3	13287	63498.5428	73	1	ADORA2A,C22orf45		ADORA2A	73	1
2_MACS_peak_7273_lociStitched	chr12	108952659	108967081	2	14301	55611.232	74	1	ISCU,SART3	FICD,TMEM119	ISCU	74	1
2_MACS_peak_26076_lociStitched	chr6	319869	334068	2	13711	60094.4277	75	1	DUSP22		DUSP22	75	1
1_MACS_peak_24358_lociStitched	chr5	6478714	6490556	1	11843	70225.4284	76	1	UBE2QL1		UBE2QL1	76	1
2_MACS_peak_33049_lociStitched	chrX	48768130	48783853	2	15658	39483.5976	77	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	77	1
1_MACS_peak_19481_lociStitched	chr20	45976582	45990443	1	13862	56210.5133	78	1	ZMYND8	LOC100131496	ZMYND8	78	1
3_MACS_peak_2526_lociStitched	chr1	203264688	203278694	3	14004	53068.734	79	1	BTG2,LOC730227	FMOD	LOC730227	79	1
7_MACS_peak_2835_lociStitched	chr1	224919611	224936139	7	15671	34459.2272	80	1	CNIH3		CNIH3	80	1
1_MACS_peak_14369_lociStitched	chr18	60821209	60831412	1	10204	73633.0104	81	1	BCL2		BCL2	81	1
2_MACS_peak_1900_lociStitched	chr1	154907748	154918692	2	10940	69932.16	82	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	82	1
1_MACS_peak_10612_lociStitched	chr15	93344758	93355580	1	10823	69630.9124	83	1		ASB9P1	ASB9P1	83	1
5_MACS_peak_22500_lociStitched	chr3	164343287	164359484	5	15345	32562.4488	84	1			SI	84	1
3_MACS_peak_19972_lociStitched	chr21	37905257	37917818	3	12315	60891.9597	85	1	CLDN14		CLDN14	85	1
4_MACS_peak_11049_lociStitched	chr16	14489603	14503007	4	12942	55879.9356	86	1			MIR365-1	86	1
9_MACS_peak_24463_lociStitched	chr5	24263954	24280809	9	15655	24050.3995	87	1			CDH10	87	1
2_MACS_peak_5348_lociStitched	chr11	64623979	64635612	2	11424	65014.5104	88	1	EHD1	MEN1,CDC42BPG,MIR192,MIR194-2,ATG2A	EHD1	88	1
2_MACS_peak_29168_lociStitched	chr7	104576348	104587759	2	10927	66870.7422	89	1		LOC723809	LOC723809	89	1
4_MACS_peak_20870_lociStitched	chr22	45102713	45118009	4	14743	35607.5584	90	1	PRR5,PRR5-ARHGAP8	ARHGAP8	PRR5-ARHGAP8	90	1
2_MACS_peak_21139_lociStitched	chr3	13362202	13377247	2	14580	35670.1905	91	1	NUP210		NUP210	91	1
3_MACS_peak_17732_lociStitched	chr2	127412930	127426248	3	13069	50852.1194	92	1	GYPC		GYPC	92	1
2_MACS_peak_22190_lociStitched	chr3	129023572	129036397	2	12754	53000.595	93	1	C3orf37,C3orf47,H1FX		C3orf47	93	1
2_MACS_peak_26979_lociStitched	chr6	56619849	56634773	2	14598	32465.6696	94	1			DST	94	1
1_MACS_peak_2885_lociStitched	chr1	226839220	226852898	1	13679	42760.1636	95	1	ITPKB		ITPKB	95	1
5_MACS_peak_6930_lociStitched	chr12	68748567	68762326	5	13130	47567.6148	96	1		MDM1	MDM1	96	1
1_MACS_peak_24549_lociStitched	chr5	32530790	32544625	1	13836	39826.8145	97	1		SUB1	SUB1	97	1
3_MACS_peak_24318_lociStitched	chr5	1311497	1322424	3	10779	62931.8711	98	1	CLPTM1L	TERT	TERT	98	1
3_MACS_peak_6412_lociStitched	chr12	26265907	26280233	3	14272	33966.946	99	1	BHLHE41		BHLHE41	99	1
1_MACS_peak_6339_lociStitched	chr12	12866502	12880261	1	13760	39956.136	100	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	100	1
1_MACS_peak_13962_lociStitched	chr18	10946306	10958535	1	12230	53438.2842	101	1	FAM38B		FAM38B	101	1
4_MACS_peak_18382_lociStitched	chr2	202115695	202128798	4	13052	45819.8807	102	1	CASP8		CASP8	102	1
2_MACS_peak_8551_lociStitched	chr14	33501576	33514440	2	12844	46983.1872	103	1	NPAS3		NPAS3	103	1
2_MACS_peak_32378_lociStitched	chr9	132646061	132657833	2	11755	54859.8744	104	1	FNBP1	USP20,C9orf78	USP20	104	1
1_MACS_peak_25347_lociStitched	chr5	131754933	131766398	1	11466	56494.934	105	1	C5orf56	SLC22A5	C5orf56	105	1
5_MACS_peak_14242_lociStitched	chr18	49916486	49928989	5	12043	52087.498	106	1	DCC		DCC	106	1
7_MACS_peak_8192_lociStitched	chr13	99127642	99142644	7	13760	35641.7516	107	1	STK24		STK24	107	1
4_MACS_peak_30712_lociStitched	chr8	103815622	103828678	4	12455	47150.4384	108	1		AZIN1	AZIN1	108	1
5_MACS_peak_5557_lociStitched	chr11	69453116	69467770	5	14262	26032.831	109	1	CCND1	ORAOV1	CCND1	109	1
3_MACS_peak_4347_lociStitched	chr10	112112715	112123228	3	10068	62673.2495	110	1		SMNDC1	SMNDC1	110	1
1_MACS_peak_4365_lociStitched	chr10	112214796	112226371	1	11576	53446.405	111	1		DUSP5	DUSP5	111	1
2_MACS_peak_5391_lociStitched	chr11	65236120	65247639	2	11474	54115.1101	112	1		NEAT1,MIR612,MALAT1,SCYL1	MALAT1	112	1
5_MACS_peak_21413_lociStitched	chr3	45604427	45617805	5	12910	41499.8938	113	1		LIMD1	LIMD1	113	1
6_MACS_peak_18288_lociStitched	chr2	197030198	197044677	6	13309	36405.9976	114	1	STK17B		STK17B	114	1
5_MACS_peak_5856_lociStitched	chr11	111237058	111250931	5	13447	31294.7134	115	1	POU2AF1		POU2AF1	115	1
1_MACS_peak_21449_lociStitched	chr3	46389915	46402804	1	12890	36395.9582	116	1	CCR2	CCR5,CCRL2	CCR2	116	1
5_MACS_peak_15212_lociStitched	chr19	19048965	19062553	5	12927	35642.6828	117	1	HOMER3	DDX49,GDF1,COPE	HOMER3	117	1
4_MACS_peak_27280_lociStitched	chr6	106544427	106558455	4	13380	29667.8172	118	1	PRDM1		PRDM1	118	1
2_MACS_peak_32120_lociStitched	chr9	117255954	117268783	2	12578	38862.8897	119	1	DFNB31		DFNB31	119	1
4_MACS_peak_26909_lociStitched	chr6	52034685	52048609	4	13422	28407.7448	120	1		MIR206,MIR133B,IL17A	IL17A	120	1
3_MACS_peak_28247_lociStitched	chr7	22481027	22492733	3	11499	48334.074	121	1	MGC87042		MGC87042	121	1
1_MACS_peak_3040_lociStitched	chr1	233774105	233786375	1	12271	40773.21	122	1	KCNK1		KCNK1	122	1
9_MACS_peak_33051_lociStitched	chrX	48791239	48805748	9	12803	35027.6278	123	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	123	1
1_MACS_peak_23900_lociStitched	chr4	140126857	140136704	1	9848	57855.0638	124	1			C4orf49	124	1
1_MACS_peak_9113_lociStitched	chr14	89891266	89903695	1	12430	38127.2004	125	1	FOXN3	LOC400236,FOXN3	LOC400236	125	1
4_MACS_peak_19596_lociStitched	chr20	52542460	52554045	4	11469	46723.4635	126	1			SUMO1P1	126	1
2_MACS_peak_24200_lociStitched	chr4	185263688	185276625	2	12589	34205.428	127	1			IRF2	127	1
1_MACS_peak_30797_lociStitched	chr8	118450225	118458675	1	8451	62280.725	128	1			MED30	128	1
6_MACS_peak_21029_lociStitched	chr3	5018420	5031583	6	12154	37798.8708	129	1	BHLHE40		BHLHE40	129	1
1_MACS_peak_12844_lociStitched	chr17	37922930	37935365	1	12436	34401.4275	130	1	IKZF3	GRB7,C17orf37	GRB7	130	1
4_MACS_peak_17858_lociStitched	chr2	137132624	137143745	4	10959	47545.6113	131	1			CXCR4	131	1
3_MACS_peak_27889_lociStitched	chr6	159064247	159076487	3	11328	44117.856	132	1	SYTL3,DYNLT1		SYTL3	132	1
1_MACS_peak_25902_lociStitched	chr5	173212371	173223483	1	11113	45810.3312	133	1			CPEB4	133	1
5_MACS_peak_12734_lociStitched	chr17	34411615	34423724	5	11698	40861.8205	134	1	CCL3	CCL18,CCL4	CCL3	134	1
5_MACS_peak_3702_lociStitched	chr10	50276304	50289535	5	12141	36377.3114	135	1	C10orf72		C10orf72	135	1
2_MACS_peak_19926_lociStitched	chr21	36413910	36424877	2	10942	46309.2542	136	1	RUNX1	C21orf96	RUNX1	136	1
1_MACS_peak_26071_lociStitched	chr6	290392	300127	1	9736	53879.331	137	1	DUSP22		DUSP22	137	1
1_MACS_peak_16778_lociStitched	chr2	39714648	39725240	1	10593	48133.2256	138	1			MAP4K3	138	1
1_MACS_peak_13648_lociStitched	chr17	75135544	75145599	1	10056	48736.585	139	1	SEC14L1	SEC14L1	SEC14L1	139	1
4_MACS_peak_25595_lociStitched	chr5	146470281	146482672	4	11897	32418.5733	140	1		PPP2R2B	PPP2R2B	140	1
2_MACS_peak_21788_lociStitched	chr3	72025874	72036533	2	10626	44248.7067	141	1			PROK2	141	1
3_MACS_peak_13917_lociStitched	chr18	9015736	9025611	3	9170	52465.875	142	1			NDUFV2	142	1
2_MACS_peak_13210_lociStitched	chr17	48979200	48987885	2	8371	56123.3385	143	1		TOB1	TOB1	143	1
2_MACS_peak_4864_lociStitched	chr11	14780623	14792135	2	11450	34351.808	144	1	PDE3B		PDE3B	144	1
3_MACS_peak_13680_lociStitched	chr17	76265995	76276418	3	10393	42578.9973	145	1		LOC283999,EPR1	LOC283999	145	1
3_MACS_peak_22488_lociStitched	chr3	164168249	164180342	3	11997	24445.9995	146	1			SI	146	1
2_MACS_peak_10060_lociStitched	chr15	65182349	65190496	2	7887	56402.4957	147	1		PLEKHO2,ANKDD1A	ANKDD1A	147	1
2_MACS_peak_14708_lociStitched	chr19	6586006	6594761	2	8419	53796.8485	148	1	CD70		CD70	148	1
3_MACS_peak_1947_lociStitched	chr1	155908015	155918872	3	10573	39748.5627	149	1	RXFP4,ARHGEF2	RIT1,SNORA42,SCARNA4,KIAA0907	RXFP4	149	1
2_MACS_peak_22825_lociStitched	chr3	195263612	195273408	2	9797	45484.7872	150	1	PPP1R2	APOD	PPP1R2	150	1
3_MACS_peak_4532_lociStitched	chr10	128154799	128166510	3	11703	27117.9916	151	1	C10orf90		C10orf90	151	1
4_MACS_peak_4521_lociStitched	chr10	128117698	128129925	4	11422	30299.7287	152	1	C10orf90	ADAM12	ADAM12	152	1
2_MACS_peak_14704_lociStitched	chr19	6572112	6582097	2	9986	43266.0035	153	1		TNFSF9,CD70	CD70	153	1
2_MACS_peak_8540_lociStitched	chr14	33403066	33413486	2	10395	39793.98	154	1	NPAS3		NPAS3	154	1
1_MACS_peak_11547_lociStitched	chr16	56964526	56975576	1	11051	33448.35	155	1	HERPUD1	CETP,NLRC5	HERPUD1	155	1
3_MACS_peak_19162_lociStitched	chr20	31251939	31262988	3	10757	35912.5647	156	1		C20orf203	C20orf203	156	1
3_MACS_peak_3396_lociStitched	chr10	12444774	12455591	3	10667	36257.5023	157	1	CAMK1D		CAMK1D	157	1
2_MACS_peak_28658_lociStitched	chr7	55596432	55605691	2	9208	47294.0461	158	1	VOPP1		VOPP1	158	1
3_MACS_peak_17360_lociStitched	chr2	89442053	89453914	3	11604	23931.9397	159	1			ANKRD36BP2	159	1
4_MACS_peak_15701_lociStitched	chr19	45249876	45260224	4	10177	39265.486	160	1	BCL3	CEACAM16,CBLC	BCL3	160	1
4_MACS_peak_3512_lociStitched	chr10	23727223	23739156	4	11502	24509.1887	161	1	OTUD1		OTUD1	161	1
4_MACS_peak_20075_lociStitched	chr21	44770194	44777979	4	7557	54687.2895	162	1			SIK1	162	1
1_MACS_peak_28602_lociStitched	chr7	47512532	47522752	1	10221	37965.256	163	1	TNS3		TNS3	163	1
1_MACS_peak_17261_lociStitched	chr2	86260589	86268996	1	8408	49593.7337	164	1	POLR1A	LOC90784	LOC90784	164	1
3_MACS_peak_9233_lociStitched	chr14	94420668	94431137	3	10327	36068.8457	165	1	ASB2	FAM181A,C14orf48,C14orf86	ASB2	165	1
1_MACS_peak_10622_lociStitched	chr15	93443014	93451987	1	8974	46126.6038	166	1	CHD2,MIR3175	LOC100507217	MIR3175	166	1
1_MACS_peak_9885_lociStitched	chr15	52424052	52433093	1	9042	45137.1925	167	1	GNB5	BCL2L10	BCL2L10	167	1
3_MACS_peak_17955_lociStitched	chr2	158292208	158302332	3	9702	39754.9232	168	1	CYTIP		CYTIP	168	1
1_MACS_peak_4954_lociStitched	chr11	23588806	23600139	1	11334	21973.5537	169	1			LOC100500938	169	1
3_MACS_peak_26397_lociStitched	chr6	26357064	26367759	3	10644	30664.704	170	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	170	1
2_MACS_peak_1980_lociStitched	chr1	156627322	156635973	2	8652	45939.4053	171	1	BCAN	HAPLN2,BCAN,NES,CRABP2	NES	171	1
2_MACS_peak_3324_lociStitched	chr10	7511054	7521686	2	10151	34026.6528	172	1			SFMBT2	172	1
2_MACS_peak_5915_lociStitched	chr11	115086760	115097207	2	10165	33857.6823	173	1	CADM1		CADM1	173	1
1_MACS_peak_18428_lociStitched	chr2	204568418	204577369	1	8952	43428.4618	174	1	CD28		CD28	174	1
2_MACS_peak_11028_lociStitched	chr16	12055910	12066362	2	10440	31035.1236	175	1	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	175	1
2_MACS_peak_25163_lociStitched	chr5	109023928	109034566	2	10623	28727.919	176	1	MAN2A1		MAN2A1	176	1
1_MACS_peak_14949_lociStitched	chr19	12898765	12906053	1	7289	52198.8424	177	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	177	1
3_MACS_peak_27381_lociStitched	chr6	113962967	113973805	3	10764	26779.6142	178	1			MARCKS	178	1
3_MACS_peak_5385_lociStitched	chr11	65204978	65216943	3	11282	18537.3745	179	1	MIR612	NEAT1,MALAT1	MIR612	179	1
2_MACS_peak_22806_lociStitched	chr3	194205693	194212791	2	7091	52772.2104	180	1	FLJ34208	ATP13A3	FLJ34208	180	1
2_MACS_peak_2524_lociStitched	chr1	203254800	203262915	2	8030	48183.624	181	1		BTG2,LOC730227	LOC730227	181	1
1_MACS_peak_20068_lociStitched	chr21	44579914	44587962	1	8049	47772.928	182	1		CRYAA	CRYAA	182	1
1_MACS_peak_24656_lociStitched	chr5	53813455	53823370	1	9916	34542.8685	183	1	SNX18		SNX18	183	1
1_MACS_peak_9391_lociStitched	chr14	103780319	103788898	1	8580	44136.3813	184	1		EIF5,SNORA28	EIF5	184	1
2_MACS_peak_1665_lociStitched	chr1	144928235	144938263	2	10011	32027.4264	185	1	PDE4DIP		PDE4DIP	185	1
1_MACS_peak_8658_lociStitched	chr14	50526417	50534845	1	8429	44242.786	186	1		C14orf183,C14orf138	C14orf183	186	1
3_MACS_peak_13689_lociStitched	chr17	76348185	76357402	3	9034	40111.4623	187	1	SOCS3	PGS1	SOCS3	187	1
1_MACS_peak_11997_lociStitched	chr16	87805872	87814755	1	8884	41011.9227	188	1		KLHDC4	KLHDC4	188	1
7_MACS_peak_18018_lociStitched	chr2	165608502	165619274	7	10322	28079.3724	189	1	COBLL1		SNORA70F	189	1
2_MACS_peak_25654_lociStitched	chr5	150457034	150467272	2	10211	29286.8228	190	1	TNIP1		TNIP1	190	1
1_MACS_peak_22651_lociStitched	chr3	183228469	183238208	1	9740	33766.0869	191	1	KLHL6		KLHL6	191	1
1_MACS_peak_16470_lociStitched	chr2	20703265	20711995	1	8731	41629.005	192	1			RHOB	192	1
2_MACS_peak_17629_lociStitched	chr2	112285286	112294513	2	9162	38551.3287	193	1		LOC541471	LOC541471	193	1
3_MACS_peak_4356_lociStitched	chr10	112150789	112161725	3	10348	26856.6288	194	1			SMNDC1	194	1
3_MACS_peak_14300_lociStitched	chr18	55764822	55774956	3	9903	31381.9578	195	1	NEDD4L	NEDD4L	NEDD4L	195	1
2_MACS_peak_22590_lociStitched	chr3	176911846	176921047	2	9187	37466.472	196	1	TBL1XR1		TBL1XR1	196	1
1_MACS_peak_20318_lociStitched	chr22	23145090	23155464	1	10375	25562.5734	198	1		MIR650	MIR650	198	1
2_MACS_peak_13922_lociStitched	chr18	9060933	9070720	2	9604	33451.966	199	1		NDUFV2	NDUFV2	199	1
3_MACS_peak_19370_lociStitched	chr20	42376636	42384953	3	7889	45582.1502	200	1		GTSF1L	GTSF1L	200	1
2_MACS_peak_25079_lociStitched	chr5	95258426	95268295	2	9645	33018.7133	201	1	ELL2		ELL2	201	1
4_MACS_peak_32775_lociStitched	chrX	19759822	19770438	4	10509	22474.072	202	1	SH3KBP1		SH3KBP1	202	1
1_MACS_peak_16301_lociStitched	chr2	5835093	5842537	1	7445	47492.72	203	1	SOX11		SOX11	203	1
3_MACS_peak_8660_lociStitched	chr14	50546047	50555128	3	8822	39153.6396	204	1	C14orf183	C14orf138	C14orf183	204	1
2_MACS_peak_19321_lociStitched	chr20	37498261	37507340	2	8780	39253.0565	205	1	PPP1R16B	FAM83D	FAM83D	205	1
1_MACS_peak_19470_lociStitched	chr20	45522627	45531450	1	8824	38133.006	206	1	EYA2		EYA2	206	1
4_MACS_peak_28615_lociStitched	chr7	47708172	47716741	4	8195	42273.4477	207	1		C7orf65	C7orf65	207	1
2_MACS_peak_3867_lociStitched	chr10	74087625	74097229	2	9112	35593.3844	208	1	DNAJB12		DNAJB12	208	1
1_MACS_peak_9454_lociStitched	chr14	106145967	106155645	1	9679	30055.9968	209	1			TMEM121	209	1
5_MACS_peak_9392_lociStitched	chr14	103796962	103806485	5	8865	36615.935	210	1	EIF5,SNORA28	MARK3	EIF5	210	1
1_MACS_peak_6803_lociStitched	chr12	56726233	56734104	1	7872	43259.016	211	1	IL23A,PAN2	CS,CNPY2,STAT2,APOF	PAN2	211	1
4_MACS_peak_2925_lociStitched	chr1	228643939	228654103	4	9804	27869.688	212	1	HIST3H2BB,HIST3H2A	RNF187,TRIM11,TRIM17,HIST3H3	HIST3H2BB	212	1
3_MACS_peak_18712_lociStitched	chr2	232570229	232577578	3	7150	47002.7342	213	1	PTMA	MIR1244-1	PTMA	213	1
1_MACS_peak_29453_lociStitched	chr7	132227736	132236127	1	8392	39782.5701	214	1	PLXNA4		PLXNA4	214	1
1_MACS_peak_15094_lociStitched	chr19	16475201	16484437	1	9237	32876.4656	215	1	EPS15L1	KLF2	KLF2	215	1
