REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
6_MACS_peak_29542_lociStitched	chr9	139477544	139526497	6	48416	83983.7668	3926.0306	104		EGFL7,MIR126,NOTCH1	EGFL7	104	1
18_MACS_peak_1845_lociStitched	chr1	17980597	18034667	18	47998	55054.074	4174.204	105	ARHGEF10L	ACTL8	ACTL8	105	1
3_MACS_peak_28375_lociStitched	chr9	129370531	129418301	3	47187	79785.454	4628.913	106	LMX1B		LMX1B	106	1
9_MACS_peak_62_lociStitched	chr1	1075439	1124489	9	46841	85533.39	4036.815	107	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	MIR200B	107	1
8_MACS_peak_23917_lociStitched	chr4	9324596	9371035	8	46147	123899.252	14609.7094	108	USP17,USP17L6P		USP17L6P	108	1
9_MACS_peak_22808_lociStitched	chr3	128169387	128218472	9	46048	81662.7145	5222.644	109	DNAJB8,GATA2	LOC90246	DNAJB8	109	1
6_MACS_peak_17802_lociStitched	chr2	26775954	26823786	6	45846	67553.1336	5873.7696	110	C2orf70,OTOF,CIB4		C2orf70	110	1
5_MACS_peak_426_lociStitched	chr1	3489498	3536814	5	45596	74759.28	3941.4228	111	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	111	1
14_MACS_peak_17500_lociStitched	chr19	55668420	55718499	14	45183	53178.8901	5298.3582	112	TNNI3,C19orf51,SYT5,PTPRH	PPP1R12C,TNNT1,TMEM86B	SYT5	112	1
12_MACS_peak_13382_lociStitched	chr17	77998965	78046966	12	44819	52431.4923	4564.8951	113	CCDC40,TBC1D16	GAA	CCDC40	113	1
9_MACS_peak_370_lociStitched	chr1	3171756	3218765	9	44454	59203.1346	3596.1885	114	PRDM16		MIR4251	114	1
14_MACS_peak_14209_lociStitched	chr19	5301208	5349434	14	44155	54707.5744	5844.9912	115	PTPRS		PTPRS	115	1
20_MACS_peak_16745_lociStitched	chr19	46963887	47012778	20	43682	55046.3769	5050.4403	116	PNMAL1,PNMAL2	CCDC8	PNMAL2	116	1
12_MACS_peak_13796_lociStitched	chr19	817327	863772	12	43658	72760.737	5833.492	117	AZU1,PRTN3,ELANE,CFD,LPPR3	PTBP1,MIR3187,MED16,C19orf22	PRTN3	117	1
13_MACS_peak_22661_lociStitched	chr3	50216113	50263272	13	43189	65673.6234	5729.8185	118	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	118	1
8_MACS_peak_16450_lociStitched	chr19	42466832	42512389	8	43075	60536.1416	4573.9228	119	ATP1A3,GRIK5	RABAC1	ATP1A3	119	1
15_MACS_peak_14282_lociStitched	chr19	5722074	5768359	15	43046	49437.0085	6641.8975	120	TMEM146	HSD11B1L,RPL36,C19orf70,LONP1,PRR22,DUS3L	TMEM146	120	1
6_MACS_peak_14124_lociStitched	chr19	4275090	4319366	6	42736	63049.024	5959.5496	121	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	121	1
2_MACS_peak_26234_lociStitched	chr7	150862881	150905638	2	42717	69963.2791	6943.7368	122	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	122	1
14_MACS_peak_22647_lociStitched	chr3	50168579	50214714	14	42510	53087.5445	4595.046	123	SEMA3F	RBM5,GNAT1,SLC38A3	SEMA3F	123	1
5_MACS_peak_12885_lociStitched	chr17	72909540	72953539	5	42468	59856.2396	4382.3004	124	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	124	1
13_MACS_peak_12325_lociStitched	chr17	47508990	47554026	13	42405	52295.8032	4566.6504	125		NGFR,PHB	PHB	125	1
10_MACS_peak_5345_lociStitched	chr11	1237002	1280472	10	42119	52707.375	3108.105	126	MUC5B		MUC5B	126	1
4_MACS_peak_7763_lociStitched	chr12	57576994	57620161	4	41939	76332.2061	5270.6907	127	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	127	1
6_MACS_peak_5834_lociStitched	chr11	61501351	61545719	6	41746	65278.6384	4214.96	128	DAGLA,C11orf9,DKFZP434K028	FEN1,FADS2,MIR611,C11orf10,MIR1908,FADS1	C11orf9	128	1
4_MACS_peak_20116_lociStitched	chr21	43763028	43805017	4	41407	69882.2927	6407.5214	129	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	129	1
4_MACS_peak_1613_lociStitched	chr1	16338958	16380734	4	41358	73020.2704	4340.5264	130	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	130	1
6_MACS_peak_29509_lociStitched	chr9	139012617	139054532	6	41207	62859.9255	3525.0515	131		NACC2,C9orf69,LHX3	C9orf69	131	1
3_MACS_peak_20615_lociStitched	chr22	20151827	20193170	3	41172	76691.265	3617.5125	132		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	132	1
15_MACS_peak_3224_lociStitched	chr1	32120790	32164711	15	41079	48870.8967	4954.2888	133	COL16A1	HCRTR1,PEF1	COL16A1	133	1
11_MACS_peak_5993_lociStitched	chr11	64474688	64519227	11	41056	65552.5002	4939.3751	134	NRXN2,RASGRP2,PYGM	SF1	NRXN2	134	1
7_MACS_peak_9293_lociStitched	chr16	791777	834474	7	40948	63507.5178	4555.7699	135	MSLN,MIR662,MSLNL	METRN,FAM173A,HAGHL,CHTF18,PRR25,FBXL16,CCDC78,NARFL,RPUSD1,GNG13	MSLN	135	1
9_MACS_peak_24812_lociStitched	chr6	30408540	30451470	9	40876	64996.02	5967.27	136		HLA-E	HLA-E	136	1
6_MACS_peak_11394_lociStitched	chr17	7958407	8001011	6	40784	57724.1596	5662.0716	137	MIR4314,ALOX12B,ALOXE3	ALOX15B,HES7	ALOX12B	137	1
10_MACS_peak_19139_lociStitched	chr20	56127968	56171871	10	40726	50040.6394	4908.3554	138	PCK1	CTCFL,ZBP1	PCK1	138	1
6_MACS_peak_115_lociStitched	chr1	1867798	1910481	6	40633	56388.5113	3747.5674	139	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	139	1
3_MACS_peak_19852_lociStitched	chr20	62022448	62063097	3	40423	66034.3005	3146.2326	140	KCNQ2	CHRNA4,KCNQ2	CHRNA4	140	1
4_MACS_peak_14106_lociStitched	chr19	3912558	3953121	4	40235	61266.3552	4956.7986	141	ATCAY,ITGB1BP3	ZFR2,MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	141	1
6_MACS_peak_29573_lociStitched	chr9	139845310	139887805	6	40158	70099.752	3760.8075	142	LCN12,PTGDS,LCNL1,C9orf142	C8G,C9orf139,FBXW5,CLIC3,ABCA2,FUT7	PTGDS	142	1
13_MACS_peak_13105_lociStitched	chr17	76294869	76339195	13	39946	49321.5402	4494.6564	143		PGS1,SOCS3	SOCS3	143	1
15_MACS_peak_5786_lociStitched	chr11	61337488	61381906	15	39910	45732.7728	4366.2894	144	SYT7	RPLP0P2	SYT7	144	1
5_MACS_peak_23132_lociStitched	chr4	3459593	3499864	5	39855	78524.4229	3757.2843	145	DOK7	HGFAC,LRPAP1	DOK7	145	1
4_MACS_peak_20618_lociStitched	chr22	20197275	20237568	4	39785	66648.6513	3759.3369	146	RTN4R,MIR1286	LOC150197	MIR1286	146	1
9_MACS_peak_10979_lociStitched	chr17	1107188	1148849	9	39707	50126.5152	4403.5677	147		BHLHA9,TUSC5,ABR	ABR	147	1
8_MACS_peak_25453_lociStitched	chr7	2532331	2573174	8	39502	60913.2502	3606.4369	148	LFNG	IQCE,C7orf27	LFNG	148	1
19_MACS_peak_23889_lociStitched	chr4	8877684	8922868	19	39451	46937.1392	4025.8944	149		LOC650293,HMX1	HMX1	149	1
21_MACS_peak_17236_lociStitched	chr19	51024196	51069571	21	39339	41953.725	3738.9	150	LRRC4B	C19orf63,SNAR-F,FAM71E1,JOSD2,ASPDH	LRRC4B	150	1
14_MACS_peak_29015_lociStitched	chr9	136492883	136533476	14	39057	46507.4001	3206.847	151	DBH,SARDH	FAM163B	DBH	151	1
6_MACS_peak_14537_lociStitched	chr19	7830644	7871209	6	39038	49306.7575	6421.4395	152	CLEC4M,CLEC4GP1	EVI5L,CLEC4G,CD209	CLEC4GP1	152	1
7_MACS_peak_21504_lociStitched	chr22	42916132	42958504	7	38907	62320.7376	7033.752	153	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	153	1
11_MACS_peak_9498_lociStitched	chr16	3075173	3116800	11	38802	58148.7563	4641.4105	154	THOC6,MMP25,IL32,CCDC64B	LOC283875,CLDN9,TNFRSF12A,ZNF205,PKMYT1,CLDN6,HCFC1R1,ZSCAN10,MGC3771	MMP25	154	1
5_MACS_peak_20253_lociStitched	chr21	45761205	45801227	5	38782	63935.145	5475.0096	155	TRPM2	PFKL,C21orf2	TRPM2	155	1
6_MACS_peak_3773_lociStitched	chr1	156639359	156679451	6	38692	70778.4168	7276.698	156	NES,CRABP2	BCAN,C1orf66,ISG20L2,MRPL24,HDGF	NES	156	1
16_MACS_peak_5491_lociStitched	chr11	2102685	2145710	16	38546	48992.5675	4147.61	157		IGF2AS,MIR483,IGF2,INS,TH	MIR483	157	1
19_MACS_peak_2129_lociStitched	chr1	18946862	18988615	19	38205	43869.8771	3444.6225	158	PAX7		PAX7	158	1
12_MACS_peak_17017_lociStitched	chr19	49173447	49214178	12	38077	46714.3839	4097.5386	159	SEC1,FUT2,NTN5	FGF21,DBP,CA11,MAMSTR,RASIP1,IZUMO1,FUT1	FUT2	159	1
19_MACS_peak_254_lociStitched	chr1	2713876	2758695	19	37968	45437.5022	3397.2802	160			MMEL1	160	1
5_MACS_peak_14325_lociStitched	chr19	5991222	6030010	5	37828	56133.9936	5535.0476	161	RFX2	RANBP3	RANBP3	161	1
12_MACS_peak_13296_lociStitched	chr17	77634092	77674410	12	37567	45095.683	3547.984	162		ENPP7	ENPP7	162	1
