REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
3_MACS_peak_20344_lociStitched	chr21	46300194	46359700	3	59221	145313.652	8390.346	23	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	23	1
18_MACS_peak_20347_lociStitched	chr21	46404154	46485827	18	77935	146733.7118	11001.3531	24	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	24	1
15_MACS_peak_14045_lociStitched	chr19	3327187	3434806	15	104147	147384.2205	13333.9941	25	NFIC	C19orf77	NFIC	25	1
9_MACS_peak_20165_lociStitched	chr21	44147863	44231074	9	81513	144787.14	11200.2006	26	PDE9A		WDR4	26	1
13_MACS_peak_5507_lociStitched	chr11	2148625	2241889	13	90596	138720.8736	7367.856	27	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		TH	27	1
8_MACS_peak_14138_lociStitched	chr19	4544607	4624094	8	77808	143195.8305	11970.7422	28	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	28	1
33_MACS_peak_10921_lociStitched	chr17	724900	854477	33	121832	142042.3074	11843.3378	29	NXN	RNMTL1,TIMM22,GLOD4	NXN	29	1
7_MACS_peak_26209_lociStitched	chr7	149469969	149532282	7	60199	138447.0234	9284.637	30	SSPO,ZNF467	ZNF862,ATP6V0E2,LOC401431	SSPO	30	1
12_MACS_peak_28765_lociStitched	chr9	135021003	135116571	12	93647	134483.2896	9757.4928	31	NTNG2		NTNG2	31	1
3_MACS_peak_19750_lociStitched	chr20	61141386	61213339	3	71345	130609.0856	6720.4102	32	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	32	1
10_MACS_peak_22010_lociStitched	chr22	46289839	46374830	10	83638	129934.2408	7130.7449	33	WNT7B	LOC730668	WNT7B	33	1
25_MACS_peak_332_lociStitched	chr1	2974009	3083990	25	104477	129678.5971	7302.7384	34	PRDM16,MIR4251,FLJ42875	ACTRT2	MIR4251	34	1
8_MACS_peak_24855_lociStitched	chr6	31990045	32060964	8	67880	127994.6112	8198.2364	35	C4B,C4A,CYP21A2,TNXB	STK19,TNXA,ATF6B,FKBPL	STK19	35	1
8_MACS_peak_13830_lociStitched	chr19	1483963	1549435	8	63802	125202.1056	10017.216	36	REEP6,PLK5P,PCSK4,ADAMTSL5	RPS15,APC2,C19orf25,MEX3D,MBD3	ADAMTSL5	36	1
11_MACS_peak_20591_lociStitched	chr22	19690071	19764328	11	70517	120504.2596	6683.13	37	SEPT5,SEPT5-GP1BB,GP1BB,TBX1		GP1BB	37	1
8_MACS_peak_23092_lociStitched	chr4	1748158	1809258	8	58528	118216.28	5193.5	38	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	38	1
6_MACS_peak_20412_lociStitched	chr21	46857693	46920056	6	61882	119294.1827	8057.2996	39	COL18A1	NCRNA00175,SLC19A1	COL18A1	39	1
13_MACS_peak_28694_lociStitched	chr9	133834660	133917317	13	79452	118149.9158	8249.1686	40	LAMC3	FIBCD1	LAMC3	40	1
8_MACS_peak_23917_lociStitched	chr4	9324596	9371035	8	46147	123899.252	14609.7094	41	USP17,USP17L6P		USP17L6P	41	1
7_MACS_peak_16901_lociStitched	chr19	48406261	48472636	7	63778	131535.3375	22647.15	42	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3,BSPH1	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1	SNAR-C4	42	1
8_MACS_peak_7705_lociStitched	chr12	54342241	54411939	8	68782	114688.059	7130.1054	43	HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC13,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	43	1
7_MACS_peak_850_lociStitched	chr1	6471225	6530345	7	57200	111937.808	6024.328	44	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	44	1
10_MACS_peak_21296_lociStitched	chr22	37771359	37846228	10	72251	107100.1045	7636.638	45	ELFN2	MFNG	ELFN2	45	1
5_MACS_peak_29548_lociStitched	chr9	139560563	139615278	5	53993	104073.4015	4995.4795	46	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	AGPAT2	46	1
12_MACS_peak_47_lociStitched	chr1	950122	1016488	12	61660	104466.7206	5793.7518	47	AGRN	PLEKHN1,ISG15,C1orf170,HES4,C1orf159	AGRN	47	1
12_MACS_peak_9358_lociStitched	chr16	1144022	1202099	12	57268	101053.98	4373.1981	48	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	48	1
6_MACS_peak_10973_lociStitched	chr17	1041507	1106148	6	63320	100736.5344	6903.6588	49	ABR	ABR	ABR	49	1
16_MACS_peak_15503_lociStitched	chr19	18059409	18132160	16	69552	101233.0165	7755.2566	50	KCNN1,ARRDC2	CCDC124	ARRDC2	50	1
11_MACS_peak_27464_lociStitched	chr8	141992138	142059706	11	63963	101291.1888	8500.0544	51	PTK2		PTK2	51	1
11_MACS_peak_194_lociStitched	chr1	2346642	2411017	11	62527	97901.5	5188.625	52	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	52	1
1_MACS_peak_29752_lociStitched	chrX	19469988	19470561	1	574	92729.9079	44.7513	53	MAP3K15		MAP3K15	53	1
7_MACS_peak_3783_lociStitched	chr1	156826074	156885641	7	57924	102878.1657	10477.8353	54	NTRK1,PEAR1,INSRR	C1orf92,SH2D2A,MIR765	PEAR1	54	1
15_MACS_peak_11020_lociStitched	chr17	1827180	1900931	15	70660	99563.85	7212.8478	55	RTN4RL1	DPH1,OVCA2	RTN4RL1	55	1
7_MACS_peak_1350_lociStitched	chr1	10696298	10753572	7	54752	97417.3466	5148.9326	56	CASZ1		CASZ1	56	1
3_MACS_peak_187_lociStitched	chr1	2244608	2295099	3	50161	95215.9278	4069.5746	57	MORN1,LOC100129534	RER1,PEX10	LOC100129534	57	1
19_MACS_peak_5440_lociStitched	chr11	1787290	1859175	19	66966	97785.1655	7325.0815	58	SYT8	TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	SYT8	58	1
7_MACS_peak_28684_lociStitched	chr9	133769635	133826128	7	55430	94298.1156	5327.2899	59	FIBCD1	QRFP	FIBCD1	59	1
3_MACS_peak_19830_lociStitched	chr20	61850304	61901276	3	50935	93732.4108	5107.3944	60	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	60	1
22_MACS_peak_7311_lociStitched	chr12	3319850	3409034	22	82704	96283.0464	8436.8064	61	TSPAN9		TSPAN9	61	1
5_MACS_peak_19855_lociStitched	chr20	62064545	62123152	5	57294	91450.3628	4629.953	62	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	62	1
13_MACS_peak_29481_lociStitched	chr9	138853493	138924745	13	67378	92093.21	5928.1664	63	NACC2	UBAC1	UBAC1	63	1
8_MACS_peak_19946_lociStitched	chr20	62812899	62881539	8	66234	92664	7035.6	64	MYT1	PCMTD2	PCMTD2	64	1
4_MACS_peak_19787_lociStitched	chr20	61584641	61640735	4	55234	91304.2038	5844.9948	65	SLC17A9,LOC63930,BHLHE23	C20orf11,LOC100144597,DIDO1,NCRNA00029	BHLHE23	65	1
8_MACS_peak_12409_lociStitched	chr17	48651884	48713634	8	59952	92075.425	6866.6	66	CACNA1G,ABCC3	EPN3,SPATA20	ABCC3	66	1
9_MACS_peak_361_lociStitched	chr1	3099178	3169546	9	68431	89909.1936	5270.5632	67	PRDM16		MIR4251	67	1
17_MACS_peak_1377_lociStitched	chr1	10906839	10981592	17	69758	91198.66	7639.7566	68			CASZ1	68	1
15_MACS_peak_29494_lociStitched	chr9	138934254	138999556	15	61135	88072.8074	4780.1064	69	NACC2	C9orf69	NACC2	69	1
2_MACS_peak_33_lociStitched	chr1	845014	879043	2	33272	86620.8195	3382.4826	70	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	SAMD11	70	1
13_MACS_peak_28566_lociStitched	chr9	132915928	132983405	13	65535	87720.1	6214.6317	71	NCS1		NCS1	71	1
9_MACS_peak_62_lociStitched	chr1	1075439	1124489	9	46841	85533.39	4036.815	72	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	MIR200B	72	1
2_MACS_peak_29526_lociStitched	chr9	139216941	139252809	2	35381	84282.6264	3005.7384	73	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	73	1
6_MACS_peak_29542_lociStitched	chr9	139477544	139526497	6	48416	83983.7668	3926.0306	74		EGFL7,MIR126,NOTCH1	EGFL7	74	1
11_MACS_peak_28987_lociStitched	chr9	136369178	136428654	11	55978	83076.0768	4871.0844	75	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	75	1
6_MACS_peak_14118_lociStitched	chr19	4183517	4242220	6	57568	87314.8422	9386.6097	76	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	76	1
18_MACS_peak_23816_lociStitched	chr4	8584095	8658901	18	70079	83707.914	5879.7516	77	GPR78,CPZ		CPZ	77	1
6_MACS_peak_21290_lociStitched	chr22	37711290	37768794	6	56622	83743.0752	6066.672	78	CYTH4,ELFN2		CYTH4	78	1
9_MACS_peak_22808_lociStitched	chr3	128169387	128218472	9	46048	81662.7145	5222.644	79	DNAJB8,GATA2	LOC90246	DNAJB8	79	1
1_MACS_peak_6435_lociStitched	chr11	70042157	70042858	1	702	75557.3551	216.1884	80		FADD	FADD	80	1
3_MACS_peak_28375_lociStitched	chr9	129370531	129418301	3	47187	79785.454	4628.913	81	LMX1B		LMX1B	81	1
6_MACS_peak_21263_lociStitched	chr22	37457708	37514341	6	55177	81160.7523	6291.9263	82	KCTD17,TMPRSS6	MPST,TST,IL2RB	TMPRSS6	82	1
16_MACS_peak_396_lociStitched	chr1	3297052	3361614	16	61210	79630.7708	4809.869	83	PRDM16	ARHGEF16	ARHGEF16	83	1
5_MACS_peak_23132_lociStitched	chr4	3459593	3499864	5	39855	78524.4229	3757.2843	84	DOK7	HGFAC,LRPAP1	DOK7	84	1
12_MACS_peak_12979_lociStitched	chr17	74869731	74931643	12	59324	81042.808	6414.0832	85	MGAT5B		MGAT5B	85	1
10_MACS_peak_8011_lociStitched	chr13	113606365	113665749	10	57972	79794.2808	5398.0056	86	MCF2L,LOC100289410		MCF2L	86	1
10_MACS_peak_9348_lociStitched	chr16	1084728	1141163	10	53952	77970.596	4339.8515	87	SSTR5,LOC146336,C1QTNF8		SSTR5	87	1
11_MACS_peak_14313_lociStitched	chr19	5827917	5891785	11	62669	82006.512	8756.3028	88	NRTN,FUT6,FUT3,FUT5,NDUFA11	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	88	1
3_MACS_peak_20615_lociStitched	chr22	20151827	20193170	3	41172	76691.265	3617.5125	89		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	89	1
9_MACS_peak_5825_lociStitched	chr11	61441463	61499348	9	57157	78167.904	5394.882	90	DAGLA	C11orf9,DKFZP434K028	DAGLA	90	1
8_MACS_peak_17062_lociStitched	chr19	49520930	49577893	8	55176	77532.3393	6003.9002	91	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	91	1
4_MACS_peak_7763_lociStitched	chr12	57576994	57620161	4	41939	76332.2061	5270.6907	92	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	92	1
5_MACS_peak_426_lociStitched	chr1	3489498	3536814	5	45596	74759.28	3941.4228	93	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	93	1
8_MACS_peak_5776_lociStitched	chr11	61272259	61329637	8	56186	74568.4488	5456.6478	94	LRRC10B,SYT7	C11orf66	LRRC10B	94	1
6_MACS_peak_20406_lociStitched	chr21	46818216	46856574	6	37168	72730.6038	4027.59	95	COL18A1,NCRNA00175	COL18A1	NCRNA00175	95	1
4_MACS_peak_1613_lociStitched	chr1	16338958	16380734	4	41358	73020.2704	4340.5264	96	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	96	1
8_MACS_peak_27494_lociStitched	chr8	142358575	142413609	8	52571	72584.3426	5118.162	97	GPR20	LOC731779,PTP4A3	GPR20	97	1
20_MACS_peak_22686_lociStitched	chr3	50445102	50517029	20	67442	74214.2786	7005.6898	98	CACNA2D2	TMEM115	CACNA2D2	98	1
15_MACS_peak_6418_lociStitched	chr11	69968715	70035047	15	62542	72607.0072	5492.2896	99	ANO1	FADD	FADD	99	1
12_MACS_peak_13796_lociStitched	chr19	817327	863772	12	43658	72760.737	5833.492	100	AZU1,PRTN3,ELANE,CFD,LPPR3	PTBP1,MIR3187,MED16,C19orf22	PRTN3	100	1
6_MACS_peak_29573_lociStitched	chr9	139845310	139887805	6	40158	70099.752	3760.8075	101	LCN12,PTGDS,LCNL1,C9orf142	C8G,C9orf139,FBXW5,CLIC3,ABCA2,FUT7	PTGDS	101	1
4_MACS_peak_26236_lociStitched	chr7	150940800	150977616	4	36006	72093.0912	5879.5152	102	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	102	1
11_MACS_peak_21415_lociStitched	chr22	40049421	40108068	11	54765	71766.3339	5594.9238	103	CACNA1I		CACNA1I	103	1
19_MACS_peak_5969_lociStitched	chr11	64388210	64455759	19	60668	72763.7828	6802.1843	104	NRXN2	SLC22A12	NRXN2	104	1
12_MACS_peak_13370_lociStitched	chr17	77941717	77995021	12	51594	70638.4608	5101.1928	105	TBC1D16	CCDC40	TBC1D16	105	1
9_MACS_peak_12338_lociStitched	chr17	47555078	47607221	9	50209	70799.7654	5986.0164	106	NGFR	NXPH3	NGFR	106	1
16_MACS_peak_25464_lociStitched	chr7	2656465	2711159	16	49123	69630.9314	4862.2966	107	TTYH3	AMZ1	TTYH3	107	1
10_MACS_peak_1627_lociStitched	chr1	16431151	16482918	10	48611	68953.644	4819.5077	108	EPHA2	FAM131C	EPHA2	108	1
9_MACS_peak_20625_lociStitched	chr22	20246521	20298792	9	49487	68349.5596	4740.9797	109	RTN4R	MIR1286,DGCR6L	RTN4R	109	1
6_MACS_peak_3773_lociStitched	chr1	156639359	156679451	6	38692	70778.4168	7276.698	110	NES,CRABP2	BCAN,C1orf66,ISG20L2,MRPL24,HDGF	NES	110	1
4_MACS_peak_20116_lociStitched	chr21	43763028	43805017	4	41407	69882.2927	6407.5214	111	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	111	1
2_MACS_peak_26234_lociStitched	chr7	150862881	150905638	2	42717	69963.2791	6943.7368	112	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	112	1
4_MACS_peak_20618_lociStitched	chr22	20197275	20237568	4	39785	66648.6513	3759.3369	113	RTN4R,MIR1286	LOC150197	MIR1286	113	1
3_MACS_peak_19852_lociStitched	chr20	62022448	62063097	3	40423	66034.3005	3146.2326	114	KCNQ2	CHRNA4,KCNQ2	CHRNA4	114	1
6_MACS_peak_17802_lociStitched	chr2	26775954	26823786	6	45846	67553.1336	5873.7696	115	C2orf70,OTOF,CIB4		C2orf70	115	1
17_MACS_peak_23184_lociStitched	chr4	3701021	3762908	17	58084	65983.9194	4635.3363	116		ADRA2C,LOC100133461	ADRA2C	116	1
6_MACS_peak_5834_lociStitched	chr11	61501351	61545719	6	41746	65278.6384	4214.96	117	DAGLA,C11orf9,DKFZP434K028	FEN1,FADS2,MIR611,C11orf10,MIR1908,FADS1	C11orf9	117	1
11_MACS_peak_5993_lociStitched	chr11	64474688	64519227	11	41056	65552.5002	4939.3751	118	NRXN2,RASGRP2,PYGM	SF1	NRXN2	118	1
13_MACS_peak_22661_lociStitched	chr3	50216113	50263272	13	43189	65673.6234	5729.8185	119	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	119	1
6_MACS_peak_29585_lociStitched	chr9	139917693	139954007	6	35012	63934.4284	3994.54	120	C9orf139,ABCA2,FUT7,NPDC1,ENTPD2	PTGDS,LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,C9orf140,LOC100289341	NPDC1	120	1
10_MACS_peak_20472_lociStitched	chr21	47389763	47425746	10	33321	63859.0301	4058.8824	121	COL6A1		COL6A1	121	1
3_MACS_peak_24852_lociStitched	chr6	31957295	31985310	3	27671	63493.196	3765.216	122	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	122	1
13_MACS_peak_2516_lociStitched	chr1	22555361	22612959	13	53369	65356.4506	5828.9176	123			WNT4	123	1
19_MACS_peak_1703_lociStitched	chr1	17408654	17465577	19	53474	64710.0664	5367.8389	124	PADI2	SDHB	PADI2	124	1
6_MACS_peak_29509_lociStitched	chr9	139012617	139054532	6	41207	62859.9255	3525.0515	125		NACC2,C9orf69,LHX3	C9orf69	125	1
9_MACS_peak_24812_lociStitched	chr6	30408540	30451470	9	40876	64996.02	5967.27	126		HLA-E	HLA-E	126	1
7_MACS_peak_9293_lociStitched	chr16	791777	834474	7	40948	63507.5178	4555.7699	127	MSLN,MIR662,MSLNL	METRN,FAM173A,HAGHL,CHTF18,PRR25,FBXL16,CCDC78,NARFL,RPUSD1,GNG13	MSLN	127	1
4_MACS_peak_5318_lociStitched	chr11	1026139	1063117	4	36540	62577.8694	3989.9262	128	MUC6	MUC2	MUC6	128	1
5_MACS_peak_20253_lociStitched	chr21	45761205	45801227	5	38782	63935.145	5475.0096	129	TRPM2	PFKL,C21orf2	TRPM2	129	1
3_MACS_peak_13465_lociStitched	chr17	79112537	79147268	3	34414	61018.8939	3521.7234	130	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	130	1
8_MACS_peak_25453_lociStitched	chr7	2532331	2573174	8	39502	60913.2502	3606.4369	131	LFNG	IQCE,C7orf27	LFNG	131	1
6_MACS_peak_14124_lociStitched	chr19	4275090	4319366	6	42736	63049.024	5959.5496	132	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	132	1
2_MACS_peak_18251_lociStitched	chr2	220328886	220363110	2	33656	60377.9808	3726.9936	133	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	133	1
3_MACS_peak_9345_lociStitched	chr16	1044617	1082551	3	37241	59632.248	3110.588	134		SOX8,SSTR5,LMF1,LOC146336	SOX8	134	1
7_MACS_peak_29516_lociStitched	chr9	139058235	139096683	7	37502	59371.4016	2929.7376	135	LHX3	C9orf69,QSOX2	LHX3	135	1
4_MACS_peak_14106_lociStitched	chr19	3912558	3953121	4	40235	61266.3552	4956.7986	136	ATCAY,ITGB1BP3	ZFR2,MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	136	1
3_MACS_peak_29523_lociStitched	chr9	139138342	139167009	3	28418	59409.4908	3124.703	137		LHX3,QSOX2	QSOX2	137	1
8_MACS_peak_16450_lociStitched	chr19	42466832	42512389	8	43075	60536.1416	4573.9228	138	ATP1A3,GRIK5	RABAC1	ATP1A3	138	1
9_MACS_peak_370_lociStitched	chr1	3171756	3218765	9	44454	59203.1346	3596.1885	139	PRDM16		MIR4251	139	1
9_MACS_peak_4721_lociStitched	chr10	102482438	102521626	9	36722	59667.6488	4110.8212	140	PAX2		PAX2	140	1
5_MACS_peak_12885_lociStitched	chr17	72909540	72953539	5	42468	59856.2396	4382.3004	141	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	141	1
2_MACS_peak_14136_lociStitched	chr19	4509576	4543177	2	33384	60374.2768	4909.1061	142	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN4	142	1
7_MACS_peak_21504_lociStitched	chr22	42916132	42958504	7	38907	62320.7376	7033.752	143	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	143	1
8_MACS_peak_12785_lociStitched	chr17	72333622	72386023	8	50962	59443.6944	4590.3276	144	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	144	1
8_MACS_peak_29554_lociStitched	chr9	139627676	139659064	8	30343	57797.8632	2959.8884	145	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	145	1
4_MACS_peak_20280_lociStitched	chr21	45907975	45942894	4	33842	59030.5695	4556.9295	146	C21orf90,C21orf29	LRRC3,KRTAP10-1,KRTAP10-2,KRTAP10-3	C21orf90	146	1
16_MACS_peak_2150_lociStitched	chr1	18995594	19055203	16	54746	59400.3685	5424.419	147	PAX7		PAX7	147	1
11_MACS_peak_15942_lociStitched	chr19	35977531	36028558	11	48692	58584.0987	4816.9488	148	GAPDHS,KRTDAP,DMKN,SBSN	FFAR2,TMEM147,ATP4A	DMKN	148	1
13_MACS_peak_15026_lociStitched	chr19	14268957	14323235	13	51945	59173.8756	5444.0834	149	LPHN1	PRKACA,ASF1B	LPHN1	149	1
11_MACS_peak_9498_lociStitched	chr16	3075173	3116800	11	38802	58148.7563	4641.4105	150	THOC6,MMP25,IL32,CCDC64B	LOC283875,CLDN9,TNFRSF12A,ZNF205,PKMYT1,CLDN6,HCFC1R1,ZSCAN10,MGC3771	MMP25	150	1
15_MACS_peak_24483_lociStitched	chr5	176117985	176172342	15	48728	58433.775	4995.4083	151		TSPAN17	TSPAN17	151	1
4_MACS_peak_14114_lociStitched	chr19	4140391	4174082	4	33533	57871.0307	4976.1607	152	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	152	1
6_MACS_peak_115_lociStitched	chr1	1867798	1910481	6	40633	56388.5113	3747.5674	153	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	153	1
19_MACS_peak_29339_lociStitched	chr9	138129780	138185207	19	51320	56890.2728	4589.3556	154			OLFM1	154	1
9_MACS_peak_13331_lociStitched	chr17	77771593	77804955	9	30638	55197.429	3132.6918	155		CBX2,CBX8,CBX4	CBX8	155	1
6_MACS_peak_11394_lociStitched	chr17	7958407	8001011	6	40784	57724.1596	5662.0716	156	MIR4314,ALOX12B,ALOXE3	ALOX15B,HES7	ALOX12B	156	1
13_MACS_peak_14831_lociStitched	chr19	11360525	11412768	13	48606	57294.8981	5814.6459	157	TSPAN16,DOCK6	LOC55908,CCDC159,RAB3D,TMEM205	DOCK6	157	1
8_MACS_peak_39_lociStitched	chr1	913423	947238	8	31984	54536.832	3249.6215	158	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	158	1
11_MACS_peak_1825_lociStitched	chr1	17883990	17937314	11	51067	55648.9264	4383.2328	159	ARHGEF10L		ARHGEF10L	159	1
