REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
8_MACS_peak_7705_lociStitched	chr12	54342241	54411939	8	68782	114688.059	7130.1054	38	HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC13,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	MIR615	1.5952	38	1
9_MACS_peak_361_lociStitched	chr1	3099178	3169546	9	68431	89909.1936	5270.5632	39	PRDM16		MIR4251	MIR4251	1.2258	39	1
8_MACS_peak_24855_lociStitched	chr6	31990045	32060964	8	67880	127994.6112	8198.2364	40	C4B,C4A,CYP21A2,TNXB	STK19,TNXA,ATF6B,FKBPL	STK19	TNXA	2.1863	40	1
20_MACS_peak_22686_lociStitched	chr3	50445102	50517029	20	67442	74214.2786	7005.6898	41	CACNA2D2	TMEM115	CACNA2D2	CACNA2D2	0.8688	41	1
13_MACS_peak_29481_lociStitched	chr9	138853493	138924745	13	67378	92093.21	5928.1664	42	NACC2	UBAC1	UBAC1	UBAC1	0.1203	42	1
19_MACS_peak_5440_lociStitched	chr11	1787290	1859175	19	66966	97785.1655	7325.0815	43	SYT8	TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	SYT8	SYT8	1.512	43	1
8_MACS_peak_19946_lociStitched	chr20	62812899	62881539	8	66234	92664	7035.6	44	MYT1	PCMTD2	PCMTD2	NONE	NONE	44	1
13_MACS_peak_28566_lociStitched	chr9	132915928	132983405	13	65535	87720.1	6214.6317	45	NCS1		NCS1	NCS1	1.1139	45	1
11_MACS_peak_27464_lociStitched	chr8	141992138	142059706	11	63963	101291.1888	8500.0544	46	PTK2		PTK2	PTK2	0.0676	46	1
8_MACS_peak_13830_lociStitched	chr19	1483963	1549435	8	63802	125202.1056	10017.216	47	REEP6,PLK5P,PCSK4,ADAMTSL5	RPS15,APC2,C19orf25,MEX3D,MBD3	ADAMTSL5	APC2	1.3928	47	1
7_MACS_peak_16901_lociStitched	chr19	48406261	48472636	7	63778	131535.3375	22647.15	48	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3,BSPH1	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1	SNAR-C4	SNAR-C4	1.6036000000000001	48	1
6_MACS_peak_10973_lociStitched	chr17	1041507	1106148	6	63320	100736.5344	6903.6588	49	ABR	ABR	ABR	ABR	0.45990000000000003	49	1
11_MACS_peak_14313_lociStitched	chr19	5827917	5891785	11	62669	82006.512	8756.3028	50	NRTN,FUT6,FUT3,FUT5,NDUFA11	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	FUT3	1.1302999999999999	50	1
6_MACS_peak_23911_lociStitched	chr4	9211638	9274657	6	62555	176226.3316	20216.4952	51	USP17		USP17	USP17	2.3643	51	1
15_MACS_peak_6418_lociStitched	chr11	69968715	70035047	15	62542	72607.0072	5492.2896	52	ANO1	FADD	FADD	FADD	0.17659999999999998	52	1
11_MACS_peak_194_lociStitched	chr1	2346642	2411017	11	62527	97901.5	5188.625	53	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	MORN1	1.4483	53	1
6_MACS_peak_20412_lociStitched	chr21	46857693	46920056	6	61882	119294.1827	8057.2996	54	COL18A1	NCRNA00175,SLC19A1	COL18A1	NCRNA00175	2.287	54	1
12_MACS_peak_47_lociStitched	chr1	950122	1016488	12	61660	104466.7206	5793.7518	55	AGRN	PLEKHN1,ISG15,C1orf170,HES4,C1orf159	AGRN	HES4	1.6339000000000001	55	1
2_MACS_peak_13818_lociStitched	chr19	1282689	1344652	2	61600	160589.5071	8650.0348	56	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	EFNA2	2.8348	56	1
16_MACS_peak_396_lociStitched	chr1	3297052	3361614	16	61210	79630.7708	4809.869	57	PRDM16	ARHGEF16	ARHGEF16	ARHGEF16	1.3191	57	1
15_MACS_peak_29494_lociStitched	chr9	138934254	138999556	15	61135	88072.8074	4780.1064	58	NACC2	C9orf69	NACC2	NACC2	1.0892000000000002	58	1
19_MACS_peak_5969_lociStitched	chr11	64388210	64455759	19	60668	72763.7828	6802.1843	59	NRXN2	SLC22A12	NRXN2	NRXN2	0.9763999999999999	59	1
7_MACS_peak_26209_lociStitched	chr7	149469969	149532282	7	60199	138447.0234	9284.637	60	SSPO,ZNF467	ZNF862,ATP6V0E2,LOC401431	SSPO	SSPO	1.9061000000000001	60	1
8_MACS_peak_12409_lociStitched	chr17	48651884	48713634	8	59952	92075.425	6866.6	61	CACNA1G,ABCC3	EPN3,SPATA20	ABCC3	EPN3	0.8687999999999999	61	1
12_MACS_peak_12979_lociStitched	chr17	74869731	74931643	12	59324	81042.808	6414.0832	62	MGAT5B		MGAT5B	MGAT5B	1.0312999999999999	62	1
3_MACS_peak_20344_lociStitched	chr21	46300194	46359700	3	59221	145313.652	8390.346	63	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	ITGB2	2.3438000000000003	63	1
8_MACS_peak_23092_lociStitched	chr4	1748158	1809258	8	58528	118216.28	5193.5	64	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	FGFR3	1.1881000000000002	64	1
17_MACS_peak_23184_lociStitched	chr4	3701021	3762908	17	58084	65983.9194	4635.3363	65		ADRA2C,LOC100133461	ADRA2C	LOC100133461	0.9544	65	1
10_MACS_peak_8011_lociStitched	chr13	113606365	113665749	10	57972	79794.2808	5398.0056	66	MCF2L,LOC100289410		MCF2L	MCF2L	1.1109	66	1
7_MACS_peak_3783_lociStitched	chr1	156826074	156885641	7	57924	102878.1657	10477.8353	67	NTRK1,PEAR1,INSRR	C1orf92,SH2D2A,MIR765	PEAR1	PEAR1	1.5753	67	1
6_MACS_peak_14118_lociStitched	chr19	4183517	4242220	6	57568	87314.8422	9386.6097	68	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	EBI3	1.4291	68	1
5_MACS_peak_19855_lociStitched	chr20	62064545	62123152	5	57294	91450.3628	4629.953	69	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	KCNQ2	1.5183	69	1
12_MACS_peak_9358_lociStitched	chr16	1144022	1202099	12	57268	101053.98	4373.1981	70	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	1.6388	70	1
7_MACS_peak_850_lociStitched	chr1	6471225	6530345	7	57200	111937.808	6024.328	71	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	MIR4252	1.9219	71	1
9_MACS_peak_5825_lociStitched	chr11	61441463	61499348	9	57157	78167.904	5394.882	72	DAGLA	C11orf9,DKFZP434K028	DAGLA	DKFZP434K028	1.4367	72	1
6_MACS_peak_21290_lociStitched	chr22	37711290	37768794	6	56622	83743.0752	6066.672	73	CYTH4,ELFN2		CYTH4	CYTH4	0.13749999999999998	73	1
8_MACS_peak_5776_lociStitched	chr11	61272259	61329637	8	56186	74568.4488	5456.6478	74	LRRC10B,SYT7	C11orf66	LRRC10B	LRRC10B	0.866	74	1
11_MACS_peak_28987_lociStitched	chr9	136369178	136428654	11	55978	83076.0768	4871.0844	75	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	FAM163B	1.4238	75	1
7_MACS_peak_28684_lociStitched	chr9	133769635	133826128	7	55430	94298.1156	5327.2899	76	FIBCD1	QRFP	FIBCD1	FIBCD1	1.724	76	1
2_MACS_peak_1676_lociStitched	chr1	17011887	17067346	2	55377	155867.5195	15733.7183	77	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	2.9754	77	1
4_MACS_peak_19787_lociStitched	chr20	61584641	61640735	4	55234	91304.2038	5844.9948	78	SLC17A9,LOC63930,BHLHE23	C20orf11,LOC100144597,DIDO1,NCRNA00029	BHLHE23	BHLHE23	1.3034000000000001	78	1
6_MACS_peak_21263_lociStitched	chr22	37457708	37514341	6	55177	81160.7523	6291.9263	79	KCTD17,TMPRSS6	MPST,TST,IL2RB	TMPRSS6	TMPRSS6	1.3316999999999999	79	1
8_MACS_peak_17062_lociStitched	chr19	49520930	49577893	8	55176	77532.3393	6003.9002	80	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	CGB5	1.3092	80	1
11_MACS_peak_21415_lociStitched	chr22	40049421	40108068	11	54765	71766.3339	5594.9238	81	CACNA1I		CACNA1I	CACNA1I	0.9568	81	1
7_MACS_peak_1350_lociStitched	chr1	10696298	10753572	7	54752	97417.3466	5148.9326	82	CASZ1		CASZ1	CASZ1	1.437	82	1
16_MACS_peak_2150_lociStitched	chr1	18995594	19055203	16	54746	59400.3685	5424.419	83	PAX7		PAX7	PAX7	0.9312	83	1
5_MACS_peak_29548_lociStitched	chr9	139560563	139615278	5	53993	104073.4015	4995.4795	84	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	AGPAT2	LCN6	2.1043	84	1
10_MACS_peak_9348_lociStitched	chr16	1084728	1141163	10	53952	77970.596	4339.8515	85	SSTR5,LOC146336,C1QTNF8		SSTR5	SSTR5	1.0948	85	1
19_MACS_peak_1703_lociStitched	chr1	17408654	17465577	19	53474	64710.0664	5367.8389	86	PADI2	SDHB	PADI2	PADI2	0.9897	86	1
13_MACS_peak_2516_lociStitched	chr1	22555361	22612959	13	53369	65356.4506	5828.9176	87			WNT4	WNT4	NONE	87	1
8_MACS_peak_27494_lociStitched	chr8	142358575	142413609	8	52571	72584.3426	5118.162	88	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.506	88	1
13_MACS_peak_15026_lociStitched	chr19	14268957	14323235	13	51945	59173.8756	5444.0834	89	LPHN1	PRKACA,ASF1B	LPHN1	LPHN1	0.7816000000000001	89	1
12_MACS_peak_13370_lociStitched	chr17	77941717	77995021	12	51594	70638.4608	5101.1928	90	TBC1D16	CCDC40	TBC1D16	TBC1D16	1.1955	90	1
19_MACS_peak_29339_lociStitched	chr9	138129780	138185207	19	51320	56890.2728	4589.3556	91			OLFM1	OLFM1	NONE	91	1
11_MACS_peak_1825_lociStitched	chr1	17883990	17937314	11	51067	55648.9264	4383.2328	92	ARHGEF10L		ARHGEF10L	ARHGEF10L	0.9210999999999999	92	1
8_MACS_peak_12785_lociStitched	chr17	72333622	72386023	8	50962	59443.6944	4590.3276	93	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	BTBD17	1.1267	93	1
3_MACS_peak_19830_lociStitched	chr20	61850304	61901276	3	50935	93732.4108	5107.3944	94	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	1.6858	94	1
9_MACS_peak_12338_lociStitched	chr17	47555078	47607221	9	50209	70799.7654	5986.0164	95	NGFR	NXPH3	NGFR	NGFR	1.2864	95	1
3_MACS_peak_187_lociStitched	chr1	2244608	2295099	3	50161	95215.9278	4069.5746	96	MORN1,LOC100129534	RER1,PEX10	LOC100129534	LOC100129534	1.71	96	1
9_MACS_peak_20625_lociStitched	chr22	20246521	20298792	9	49487	68349.5596	4740.9797	97	RTN4R	MIR1286,DGCR6L	RTN4R	RTN4R	1.0442	97	1
16_MACS_peak_25464_lociStitched	chr7	2656465	2711159	16	49123	69630.9314	4862.2966	98	TTYH3	AMZ1	TTYH3	TTYH3	1.1953	98	1
17_MACS_peak_2664_lociStitched	chr1	23160854	23214199	17	48787	54363.8895	5291.824	99	EPHB2,MIR4253		MIR4253	MIR4253	0.8017	99	1
15_MACS_peak_24483_lociStitched	chr5	176117985	176172342	15	48728	58433.775	4995.4083	100		TSPAN17	TSPAN17	TSPAN17	0.14429999999999998	100	1
11_MACS_peak_15942_lociStitched	chr19	35977531	36028558	11	48692	58584.0987	4816.9488	101	GAPDHS,KRTDAP,DMKN,SBSN	FFAR2,TMEM147,ATP4A	DMKN	DMKN	1.1926999999999999	101	1
10_MACS_peak_1627_lociStitched	chr1	16431151	16482918	10	48611	68953.644	4819.5077	102	EPHA2	FAM131C	EPHA2	EPHA2	1.2123	102	1
13_MACS_peak_14831_lociStitched	chr19	11360525	11412768	13	48606	57294.8981	5814.6459	103	TSPAN16,DOCK6	LOC55908,CCDC159,RAB3D,TMEM205	DOCK6	LOC55908	0.8369	103	1
6_MACS_peak_29542_lociStitched	chr9	139477544	139526497	6	48416	83983.7668	3926.0306	104		EGFL7,MIR126,NOTCH1	EGFL7	EGFL7	2.0988	104	1
18_MACS_peak_1845_lociStitched	chr1	17980597	18034667	18	47998	55054.074	4174.204	105	ARHGEF10L	ACTL8	ACTL8	ACTL8	0.47569999999999996	105	1
3_MACS_peak_28375_lociStitched	chr9	129370531	129418301	3	47187	79785.454	4628.913	106	LMX1B		LMX1B	LMX1B	1.3586999999999998	106	1
9_MACS_peak_62_lociStitched	chr1	1075439	1124489	9	46841	85533.39	4036.815	107	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	MIR200B	MIR200B	2.2786	107	1
8_MACS_peak_23917_lociStitched	chr4	9324596	9371035	8	46147	123899.252	14609.7094	108	USP17,USP17L6P		USP17L6P	USP17L6P	1.3769	108	1
9_MACS_peak_22808_lociStitched	chr3	128169387	128218472	9	46048	81662.7145	5222.644	109	DNAJB8,GATA2	LOC90246	DNAJB8	DNAJB8	1.2825	109	1
6_MACS_peak_17802_lociStitched	chr2	26775954	26823786	6	45846	67553.1336	5873.7696	110	C2orf70,OTOF,CIB4		C2orf70	C2orf70	1.3959000000000001	110	1
5_MACS_peak_426_lociStitched	chr1	3489498	3536814	5	45596	74759.28	3941.4228	111	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MEGF6	1.5632	111	1
14_MACS_peak_17500_lociStitched	chr19	55668420	55718499	14	45183	53178.8901	5298.3582	112	TNNI3,C19orf51,SYT5,PTPRH	PPP1R12C,TNNT1,TMEM86B	SYT5	SYT5	1.0638	112	1
12_MACS_peak_13382_lociStitched	chr17	77998965	78046966	12	44819	52431.4923	4564.8951	113	CCDC40,TBC1D16	GAA	CCDC40	GAA	1.1115	113	1
9_MACS_peak_370_lociStitched	chr1	3171756	3218765	9	44454	59203.1346	3596.1885	114	PRDM16		MIR4251	MIR4251	1.2258	114	1
14_MACS_peak_14209_lociStitched	chr19	5301208	5349434	14	44155	54707.5744	5844.9912	115	PTPRS		PTPRS	PTPRS	0.8786	115	1
20_MACS_peak_16745_lociStitched	chr19	46963887	47012778	20	43682	55046.3769	5050.4403	116	PNMAL1,PNMAL2	CCDC8	PNMAL2	PNMAL2	1.3795	116	1
12_MACS_peak_13796_lociStitched	chr19	817327	863772	12	43658	72760.737	5833.492	117	AZU1,PRTN3,ELANE,CFD,LPPR3	PTBP1,MIR3187,MED16,C19orf22	PRTN3	PRTN3	1.7628	117	1
13_MACS_peak_22661_lociStitched	chr3	50216113	50263272	13	43189	65673.6234	5729.8185	118	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	SLC38A3	1.3963999999999999	118	1
8_MACS_peak_16450_lociStitched	chr19	42466832	42512389	8	43075	60536.1416	4573.9228	119	ATP1A3,GRIK5	RABAC1	ATP1A3	ATP1A3	1.1819000000000002	119	1
15_MACS_peak_14282_lociStitched	chr19	5722074	5768359	15	43046	49437.0085	6641.8975	120	TMEM146	HSD11B1L,RPL36,C19orf70,LONP1,PRR22,DUS3L	TMEM146	TMEM146	0.8663999999999998	120	1
6_MACS_peak_14124_lociStitched	chr19	4275090	4319366	6	42736	63049.024	5959.5496	121	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	EBI3	1.4291	121	1
2_MACS_peak_26234_lociStitched	chr7	150862881	150905638	2	42717	69963.2791	6943.7368	122	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	SMARCD3	1.4646000000000001	122	1
14_MACS_peak_22647_lociStitched	chr3	50168579	50214714	14	42510	53087.5445	4595.046	123	SEMA3F	RBM5,GNAT1,SLC38A3	SEMA3F	SLC38A3	1.3963999999999999	123	1
5_MACS_peak_12885_lociStitched	chr17	72909540	72953539	5	42468	59856.2396	4382.3004	124	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	OTOP3	1.2025	124	1
13_MACS_peak_12325_lociStitched	chr17	47508990	47554026	13	42405	52295.8032	4566.6504	125		NGFR,PHB	PHB	NGFR	1.2864	125	1
10_MACS_peak_5345_lociStitched	chr11	1237002	1280472	10	42119	52707.375	3108.105	126	MUC5B		MUC5B	MUC5B	0.9932000000000001	126	1
4_MACS_peak_7763_lociStitched	chr12	57576994	57620161	4	41939	76332.2061	5270.6907	127	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	MIR1228	1.4938	127	1
6_MACS_peak_5834_lociStitched	chr11	61501351	61545719	6	41746	65278.6384	4214.96	128	DAGLA,C11orf9,DKFZP434K028	FEN1,FADS2,MIR611,C11orf10,MIR1908,FADS1	C11orf9	C11orf9	0.856	128	1
4_MACS_peak_20116_lociStitched	chr21	43763028	43805017	4	41407	69882.2927	6407.5214	129	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	TFF3	1.8089	129	1
4_MACS_peak_1613_lociStitched	chr1	16338958	16380734	4	41358	73020.2704	4340.5264	130	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	CLCNKB	1.6949999999999998	130	1
6_MACS_peak_29509_lociStitched	chr9	139012617	139054532	6	41207	62859.9255	3525.0515	131		NACC2,C9orf69,LHX3	C9orf69	LHX3	1.3520999999999999	131	1
3_MACS_peak_20615_lociStitched	chr22	20151827	20193170	3	41172	76691.265	3617.5125	132		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	LOC150197	1.2042	132	1
15_MACS_peak_3224_lociStitched	chr1	32120790	32164711	15	41079	48870.8967	4954.2888	133	COL16A1	HCRTR1,PEF1	COL16A1	COL16A1	0.8227000000000001	133	1
11_MACS_peak_5993_lociStitched	chr11	64474688	64519227	11	41056	65552.5002	4939.3751	134	NRXN2,RASGRP2,PYGM	SF1	NRXN2	NRXN2	0.9763999999999999	134	1
7_MACS_peak_9293_lociStitched	chr16	791777	834474	7	40948	63507.5178	4555.7699	135	MSLN,MIR662,MSLNL	METRN,FAM173A,HAGHL,CHTF18,PRR25,FBXL16,CCDC78,NARFL,RPUSD1,GNG13	MSLN	FBXL16	1.3599	135	1
9_MACS_peak_24812_lociStitched	chr6	30408540	30451470	9	40876	64996.02	5967.27	136		HLA-E	HLA-E	HLA-E	0.007099999999999995	136	1
6_MACS_peak_11394_lociStitched	chr17	7958407	8001011	6	40784	57724.1596	5662.0716	137	MIR4314,ALOX12B,ALOXE3	ALOX15B,HES7	ALOX12B	ALOX12B	1.3564999999999998	137	1
10_MACS_peak_19139_lociStitched	chr20	56127968	56171871	10	40726	50040.6394	4908.3554	138	PCK1	CTCFL,ZBP1	PCK1	PCK1	1.0796000000000001	138	1
6_MACS_peak_115_lociStitched	chr1	1867798	1910481	6	40633	56388.5113	3747.5674	139	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	GABRD	1.4451	139	1
3_MACS_peak_19852_lociStitched	chr20	62022448	62063097	3	40423	66034.3005	3146.2326	140	KCNQ2	CHRNA4,KCNQ2	CHRNA4	KCNQ2	1.5183	140	1
4_MACS_peak_14106_lociStitched	chr19	3912558	3953121	4	40235	61266.3552	4956.7986	141	ATCAY,ITGB1BP3	ZFR2,MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	ZFR2	1.6303	141	1
