REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05.bam	37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
10_MACS_peak_21296_lociStitched	chr22	37771359	37846228	10	72251	107100.1045	7636.638
18_MACS_peak_23816_lociStitched	chr4	8584095	8658901	18	70079	83707.914	5879.7516000000005
17_MACS_peak_1377_lociStitched	chr1	10906839	10981592	17	69758	91198.66	7639.7566
11_MACS_peak_20591_lociStitched	chr22	19690071	19764328	11	70517	120504.2596	6683.13
15_MACS_peak_11020_lociStitched	chr17	1827180	1900931	15	70660	99563.85	7212.8478
16_MACS_peak_15503_lociStitched	chr19	18059409	18132160	16	69552	101233.0165	7755.2566
3_MACS_peak_19750_lociStitched	chr20	61141386	61213339	3	71345	130609.08559999999	6720.410199999999
20_MACS_peak_22686_lociStitched	chr3	50445102	50517029	20	67442	74214.2786	7005.6898
19_MACS_peak_5440_lociStitched	chr11	1787290	1859175	19	66966	97785.1655	7325.0815
13_MACS_peak_29481_lociStitched	chr9	138853493	138924745	13	67378	92093.20999999999	5928.1664
8_MACS_peak_24855_lociStitched	chr6	31990045	32060964	8	67880	127994.6112	8198.2364
9_MACS_peak_361_lociStitched	chr1	3099178	3169546	9	68431	89909.1936	5270.5632
8_MACS_peak_7705_lociStitched	chr12	54342241	54411939	8	68782	114688.059	7130.1054
8_MACS_peak_19946_lociStitched	chr20	62812899	62881539	8	66234	92664.0	7035.599999999999
11_MACS_peak_27464_lociStitched	chr8	141992138	142059706	11	63963	101291.1888	8500.054399999999
19_MACS_peak_5969_lociStitched	chr11	64388210	64455759	19	60668	72763.7828	6802.1843
13_MACS_peak_28566_lociStitched	chr9	132915928	132983405	13	65535	87720.1	6214.6317
7_MACS_peak_16901_lociStitched	chr19	48406261	48472636	7	63778	131535.3375	22647.15
12_MACS_peak_47_lociStitched	chr1	950122	1016488	12	61660	104466.7206	5793.7518
15_MACS_peak_6418_lociStitched	chr11	69968715	70035047	15	62542	72607.00720000001	5492.2896
8_MACS_peak_13830_lociStitched	chr19	1483963	1549435	8	63802	125202.10560000001	10017.216
15_MACS_peak_29494_lociStitched	chr9	138934254	138999556	15	61135	88072.8074	4780.1064
6_MACS_peak_10973_lociStitched	chr17	1041507	1106148	6	63320	100736.5344	6903.6588
16_MACS_peak_396_lociStitched	chr1	3297052	3361614	16	61210	79630.7708	4809.869
11_MACS_peak_194_lociStitched	chr1	2346642	2411017	11	62527	97901.5	5188.625
11_MACS_peak_14313_lociStitched	chr19	5827917	5891785	11	62669	82006.512	8756.3028
6_MACS_peak_23911_lociStitched	chr4	9211638	9274657	6	62555	176226.3316	20216.495199999998
6_MACS_peak_20412_lociStitched	chr21	46857693	46920056	6	61882	119294.1827	8057.2996
7_MACS_peak_26209_lociStitched	chr7	149469969	149532282	7	60199	138447.0234	9284.636999999999
2_MACS_peak_13818_lociStitched	chr19	1282689	1344652	2	61600	160589.5071	8650.0348
12_MACS_peak_12979_lociStitched	chr17	74869731	74931643	12	59324	81042.80799999999	6414.0832
17_MACS_peak_23184_lociStitched	chr4	3701021	3762908	17	58084	65983.9194	4635.3363
8_MACS_peak_12409_lociStitched	chr17	48651884	48713634	8	59952	92075.425	6866.599999999999
8_MACS_peak_23092_lociStitched	chr4	1748158	1809258	8	58528	118216.28	5193.5
16_MACS_peak_2150_lociStitched	chr1	18995594	19055203	16	54746	59400.368500000004	5424.419
7_MACS_peak_3783_lociStitched	chr1	156826074	156885641	7	57924	102878.1657	10477.8353
3_MACS_peak_20344_lociStitched	chr21	46300194	46359700	3	59221	145313.652	8390.346
11_MACS_peak_28987_lociStitched	chr9	136369178	136428654	11	55978	83076.0768	4871.0844
10_MACS_peak_8011_lociStitched	chr13	113606365	113665749	10	57972	79794.2808	5398.0055999999995
7_MACS_peak_850_lociStitched	chr1	6471225	6530345	7	57200	111937.808	6024.328
6_MACS_peak_14118_lociStitched	chr19	4183517	4242220	6	57568	87314.8422	9386.609699999999
11_MACS_peak_21415_lociStitched	chr22	40049421	40108068	11	54765	71766.3339	5594.9238
5_MACS_peak_19855_lociStitched	chr20	62064545	62123152	5	57294	91450.3628	4629.953
12_MACS_peak_9358_lociStitched	chr16	1144022	1202099	12	57268	101053.98	4373.1981000000005
9_MACS_peak_5825_lociStitched	chr11	61441463	61499348	9	57157	78167.90400000001	5394.8820000000005
13_MACS_peak_2516_lociStitched	chr1	22555361	22612959	13	53369	65356.450600000004	5828.9176
6_MACS_peak_21290_lociStitched	chr22	37711290	37768794	6	56622	83743.07519999999	6066.672
8_MACS_peak_5776_lociStitched	chr11	61272259	61329637	8	56186	74568.4488	5456.647800000001
7_MACS_peak_1350_lociStitched	chr1	10696298	10753572	7	54752	97417.3466	5148.9326
8_MACS_peak_17062_lociStitched	chr19	49520930	49577893	8	55176	77532.33929999999	6003.9002
19_MACS_peak_1703_lociStitched	chr1	17408654	17465577	19	53474	64710.0664	5367.8389
6_MACS_peak_21263_lociStitched	chr22	37457708	37514341	6	55177	81160.75230000001	6291.9263
7_MACS_peak_28684_lociStitched	chr9	133769635	133826128	7	55430	94298.1156	5327.2899
10_MACS_peak_9348_lociStitched	chr16	1084728	1141163	10	53952	77970.59599999999	4339.8515
4_MACS_peak_19787_lociStitched	chr20	61584641	61640735	4	55234	91304.2038	5844.9948
2_MACS_peak_1676_lociStitched	chr1	17011887	17067346	2	55377	155867.51950000002	15733.7183
19_MACS_peak_29339_lociStitched	chr9	138129780	138185207	19	51320	56890.2728	4589.3556
8_MACS_peak_27494_lociStitched	chr8	142358575	142413609	8	52571	72584.3426	5118.162
5_MACS_peak_29548_lociStitched	chr9	139560563	139615278	5	53993	104073.40149999999	4995.4795
16_MACS_peak_25464_lociStitched	chr7	2656465	2711159	16	49123	69630.9314	4862.296600000001
15_MACS_peak_24483_lociStitched	chr5	176117985	176172342	15	48728	58433.774999999994	4995.4083
13_MACS_peak_15026_lociStitched	chr19	14268957	14323235	13	51945	59173.87560000001	5444.0834
18_MACS_peak_1845_lociStitched	chr1	17980597	18034667	18	47998	55054.074	4174.204000000001
17_MACS_peak_2664_lociStitched	chr1	23160854	23214199	17	48787	54363.8895	5291.824
11_MACS_peak_1825_lociStitched	chr1	17883990	17937314	11	51067	55648.926400000004	4383.2328
12_MACS_peak_13370_lociStitched	chr17	77941717	77995021	12	51594	70638.4608	5101.1928
8_MACS_peak_12785_lociStitched	chr17	72333622	72386023	8	50962	59443.6944	4590.3276
9_MACS_peak_20625_lociStitched	chr22	20246521	20298792	9	49487	68349.55960000001	4740.9797
13_MACS_peak_14831_lociStitched	chr19	11360525	11412768	13	48606	57294.8981	5814.6458999999995
9_MACS_peak_12338_lociStitched	chr17	47555078	47607221	9	50209	70799.76539999999	5986.0163999999995
10_MACS_peak_1627_lociStitched	chr1	16431151	16482918	10	48611	68953.644	4819.5077
11_MACS_peak_15942_lociStitched	chr19	35977531	36028558	11	48692	58584.098699999995	4816.9488
3_MACS_peak_19830_lociStitched	chr20	61850304	61901276	3	50935	93732.4108	5107.3944
3_MACS_peak_187_lociStitched	chr1	2244608	2295099	3	50161	95215.92779999999	4069.5746000000004
14_MACS_peak_17500_lociStitched	chr19	55668420	55718499	14	45183	53178.890100000004	5298.358200000001
9_MACS_peak_22808_lociStitched	chr3	128169387	128218472	9	46048	81662.7145	5222.643999999999
9_MACS_peak_62_lociStitched	chr1	1075439	1124489	9	46841	85533.39	4036.815
6_MACS_peak_29542_lociStitched	chr9	139477544	139526497	6	48416	83983.7668	3926.0305999999996
20_MACS_peak_16745_lociStitched	chr19	46963887	47012778	20	43682	55046.376899999996	5050.4403
14_MACS_peak_14209_lociStitched	chr19	5301208	5349434	14	44155	54707.574400000005	5844.9912
12_MACS_peak_13382_lociStitched	chr17	77998965	78046966	12	44819	52431.492300000005	4564.895100000001
6_MACS_peak_17802_lociStitched	chr2	26775954	26823786	6	45846	67553.1336	5873.7696000000005
3_MACS_peak_28375_lociStitched	chr9	129370531	129418301	3	47187	79785.454	4628.913
5_MACS_peak_426_lociStitched	chr1	3489498	3536814	5	45596	74759.28	3941.4228
13_MACS_peak_22661_lociStitched	chr3	50216113	50263272	13	43189	65673.6234	5729.818499999999
9_MACS_peak_370_lociStitched	chr1	3171756	3218765	9	44454	59203.134600000005	3596.1884999999997
12_MACS_peak_13796_lociStitched	chr19	817327	863772	12	43658	72760.737	5833.491999999999
8_MACS_peak_23917_lociStitched	chr4	9324596	9371035	8	46147	123899.25200000001	14609.7094
15_MACS_peak_14282_lociStitched	chr19	5722074	5768359	15	43046	49437.0085	6641.897499999999
14_MACS_peak_22647_lociStitched	chr3	50168579	50214714	14	42510	53087.5445	4595.045999999999
8_MACS_peak_16450_lociStitched	chr19	42466832	42512389	8	43075	60536.1416	4573.9228
21_MACS_peak_17236_lociStitched	chr19	51024196	51069571	21	39339	41953.725	3738.9
19_MACS_peak_23889_lociStitched	chr4	8877684	8922868	19	39451	46937.1392	4025.8944
13_MACS_peak_12325_lociStitched	chr17	47508990	47554026	13	42405	52295.8032	4566.6504
26_MACS_peak_27175_lociStitched	chr8	7585160	7630157	26	36317	28321.1118	3235.2843000000003
19_MACS_peak_254_lociStitched	chr1	2713876	2758695	19	37968	45437.5022	3397.2802
11_MACS_peak_5993_lociStitched	chr11	64474688	64519227	11	41056	65552.5002	4939.3751
15_MACS_peak_5786_lociStitched	chr11	61337488	61381906	15	39910	45732.772800000006	4366.2894
6_MACS_peak_5834_lociStitched	chr11	61501351	61545719	6	41746	65278.6384	4214.96
13_MACS_peak_13105_lociStitched	chr17	76294869	76339195	13	39946	49321.5402	4494.6564
6_MACS_peak_14124_lociStitched	chr19	4275090	4319366	6	42736	63049.024	5959.5496
5_MACS_peak_12885_lociStitched	chr17	72909540	72953539	5	42468	59856.2396	4382.3004
15_MACS_peak_3224_lociStitched	chr1	32120790	32164711	15	41079	48870.8967	4954.2888
10_MACS_peak_19139_lociStitched	chr20	56127968	56171871	10	40726	50040.6394	4908.3553999999995
10_MACS_peak_5345_lociStitched	chr11	1237002	1280472	10	42119	52707.37499999999	3108.1049999999996
4_MACS_peak_7763_lociStitched	chr12	57576994	57620161	4	41939	76332.2061	5270.6907
16_MACS_peak_5491_lociStitched	chr11	2102685	2145710	16	38546	48992.567500000005	4147.61
9_MACS_peak_24812_lociStitched	chr6	30408540	30451470	9	40876	64996.020000000004	5967.27
2_MACS_peak_26234_lociStitched	chr7	150862881	150905638	2	42717	69963.2791	6943.7368
7_MACS_peak_9293_lociStitched	chr16	791777	834474	7	40948	63507.5178	4555.7699
6_MACS_peak_115_lociStitched	chr1	1867798	1910481	6	40633	56388.5113	3747.5674
6_MACS_peak_11394_lociStitched	chr17	7958407	8001011	6	40784	57724.1596	5662.071599999999
6_MACS_peak_29573_lociStitched	chr9	139845310	139887805	6	40158	70099.752	3760.8075
7_MACS_peak_21504_lociStitched	chr22	42916132	42958504	7	38907	62320.73760000001	7033.752
4_MACS_peak_20116_lociStitched	chr21	43763028	43805017	4	41407	69882.29269999999	6407.5214000000005
6_MACS_peak_29509_lociStitched	chr9	139012617	139054532	6	41207	62859.925500000005	3525.0514999999996
4_MACS_peak_1613_lociStitched	chr1	16338958	16380734	4	41358	73020.2704	4340.526400000001
19_MACS_peak_2129_lociStitched	chr1	18946862	18988615	19	38205	43869.8771	3444.6225
9_MACS_peak_10979_lociStitched	chr17	1107188	1148849	9	39707	50126.5152	4403.5677000000005
11_MACS_peak_9498_lociStitched	chr16	3075173	3116800	11	38802	58148.7563	4641.4105
18_MACS_peak_8908_lociStitched	chr15	74460634	74502175	18	36529	42454.902	3900.6999
14_MACS_peak_12009_lociStitched	chr17	41704536	41745969	14	35628	38557.5498	4309.032
3_MACS_peak_20615_lociStitched	chr22	20151827	20193170	3	41172	76691.265	3617.5125
8_MACS_peak_25453_lociStitched	chr7	2532331	2573174	8	39502	60913.2502	3606.4369
12_MACS_peak_17017_lociStitched	chr19	49173447	49214178	12	38077	46714.3839	4097.5386
3_MACS_peak_19852_lociStitched	chr20	62022448	62063097	3	40423	66034.3005	3146.2326
14_MACS_peak_29015_lociStitched	chr9	136492883	136533476	14	39057	46507.4001	3206.847
6_MACS_peak_14537_lociStitched	chr19	7830644	7871209	6	39038	49306.7575	6421.4394999999995
4_MACS_peak_14106_lociStitched	chr19	3912558	3953121	4	40235	61266.3552	4956.7986
27_MACS_peak_16401_lociStitched	chr19	42286092	42326604	27	33682	35144.16	4626.4704
12_MACS_peak_13296_lociStitched	chr17	77634092	77674410	12	37567	45095.683000000005	3547.984
4_MACS_peak_20618_lociStitched	chr22	20197275	20237568	4	39785	66648.6513	3759.3369
5_MACS_peak_23132_lociStitched	chr4	3459593	3499864	5	39855	78524.4229	3757.2843
6_MACS_peak_3773_lociStitched	chr1	156639359	156679451	6	38692	70778.4168	7276.697999999999
5_MACS_peak_20253_lociStitched	chr21	45761205	45801227	5	38782	63935.145	5475.0096
9_MACS_peak_1836_lociStitched	chr1	17939026	17978583	9	36944	43694.6622	3607.5984000000003
10_MACS_peak_412_lociStitched	chr1	3364235	3403429	10	36968	52559.154	2771.0158
9_MACS_peak_4721_lociStitched	chr10	102482438	102521626	9	36722	59667.648799999995	4110.821199999999
5_MACS_peak_14325_lociStitched	chr19	5991222	6030010	5	37828	56133.9936	5535.0476
8_MACS_peak_28890_lociStitched	chr9	135845548	135884306	8	37014	48974.6088	3953.316
7_MACS_peak_29516_lociStitched	chr9	139058235	139096683	7	37502	59371.4016	2929.7376
8_MACS_peak_21309_lociStitched	chr22	37884790	37923187	8	36348	46782.9048	4381.097699999999
6_MACS_peak_20406_lociStitched	chr21	46818216	46856574	6	37168	72730.6038	4027.5899999999997
8_MACS_peak_20267_lociStitched	chr21	45851202	45889496	8	36508	50601.6916	4779.0912
13_MACS_peak_5548_lociStitched	chr11	2370389	2408648	13	34989	42237.936	3684.3417
7_MACS_peak_25974_lociStitched	chr7	100743364	100781560	7	35460	43929.2196	3815.7804
6_MACS_peak_1462_lociStitched	chr1	11487498	11525647	6	37399	44542.7724	3433.41
12_MACS_peak_26489_lociStitched	chr7	155595874	155633905	12	34650	45104.765999999996	4472.4456
3_MACS_peak_9345_lociStitched	chr16	1044617	1082551	3	37241	59632.248	3110.588
7_MACS_peak_21480_lociStitched	chr22	42795262	42832828	7	35580	48929.715	3384.6965999999998
4_MACS_peak_28975_lociStitched	chr9	136287095	136324581	4	36553	53646.2146	4269.6554
7_MACS_peak_19823_lociStitched	chr20	61779543	61816946	7	35961	47599.057799999995	2850.1086
6_MACS_peak_5533_lociStitched	chr11	2305655	2342951	6	36308	49226.9904	3069.4608
9_MACS_peak_28326_lociStitched	chr9	127232744	127270023	9	35635	47691.0247	3228.3614
5_MACS_peak_11708_lociStitched	chr17	26830785	26867994	5	36060	49499.1327	4483.6845
4_MACS_peak_5318_lociStitched	chr11	1026139	1063117	4	36540	62577.869399999996	3989.9262
10_MACS_peak_1109_lociStitched	chr1	7716396	7753220	10	33736	40244.9496	3431.9968000000003
4_MACS_peak_26236_lociStitched	chr7	150940800	150977616	4	36006	72093.0912	5879.515200000001
16_MACS_peak_21534_lociStitched	chr22	43601956	43638705	16	31070	39424.3272	3520.5542
8_MACS_peak_9316_lociStitched	chr16	916183	952832	8	34970	44730.104499999994	2939.2497999999996
19_MACS_peak_1034_lociStitched	chr1	7508572	7545174	19	33434	35877.280399999996	2737.8296
15_MACS_peak_23504_lociStitched	chr4	7458638	7495206	15	30461	32669.851199999997	2461.0263999999997
7_MACS_peak_21613_lociStitched	chr22	44214079	44250472	7	35133	42670.7925	3479.1708000000003
13_MACS_peak_7238_lociStitched	chr12	1919575	1955958	13	31851	40054.0447	3474.5765
7_MACS_peak_18626_lociStitched	chr20	30425123	30461475	7	34253	48580.8128	4616.704
6_MACS_peak_29585_lociStitched	chr9	139917693	139954007	6	35012	63934.4284	3994.54
6_MACS_peak_15998_lociStitched	chr19	36334298	36370579	6	35470	41556.2574	3043.9759
7_MACS_peak_9432_lociStitched	chr16	2325016	2361268	7	34162	55447.434	4255.9848
11_MACS_peak_13146_lociStitched	chr17	76476646	76512747	11	33228	41971.022600000004	3768.9444000000003
9_MACS_peak_19012_lociStitched	chr20	48880899	48916978	9	34442	40715.1515	3542.9577999999997
8_MACS_peak_21668_lociStitched	chr22	44653777	44689836	8	33281	41002.6889	3018.1383
10_MACS_peak_20472_lociStitched	chr21	47389763	47425746	10	33321	63859.030099999996	4058.8824
10_MACS_peak_25876_lociStitched	chr7	100213939	100249886	10	34225	40878.9284	3648.6205000000004
11_MACS_peak_23227_lociStitched	chr4	3850560	3886485	11	33628	42017.88	3517.0575
16_MACS_peak_14662_lociStitched	chr19	8594031	8629950	16	30417	30480.863400000002	4076.8065
2_MACS_peak_29526_lociStitched	chr9	139216941	139252809	2	35381	84282.62640000001	3005.7384
14_MACS_peak_19342_lociStitched	chr20	57180530	57216313	14	33986	35020.8221	3485.2642
6_MACS_peak_28618_lociStitched	chr9	133249145	133284506	6	34339	43363.194299999996	3030.4377
5_MACS_peak_21683_lociStitched	chr22	44732919	44768064	5	33906	39977.4375	3106.818
4_MACS_peak_20280_lociStitched	chr21	45907975	45942894	4	33842	59030.5695	4556.9295
9_MACS_peak_27784_lociStitched	chr8	143528797	143563564	9	30828	38038.574700000005	2489.3172
3_MACS_peak_13465_lociStitched	chr17	79112537	79147268	3	34414	61018.893899999995	3521.7234000000003
6_MACS_peak_14504_lociStitched	chr19	7629522	7664233	6	33559	43583.1316	4644.3318
5_MACS_peak_13361_lociStitched	chr17	77898085	77932707	5	33884	53716.033	3046.736
9_MACS_peak_19797_lociStitched	chr20	61672728	61707107	9	30825	40120.293	3290.0703
6_MACS_peak_20501_lociStitched	chr21	47528640	47562868	6	32637	53190.312	4199.7756
2_MACS_peak_18251_lociStitched	chr2	220328886	220363110	2	33656	60377.9808	3726.9936
6_MACS_peak_29460_lociStitched	chr9	138571848	138605891	6	33035	41787.7825	2590.6723
2_MACS_peak_33_lociStitched	chr1	845014	879043	2	33272	86620.8195	3382.4826000000003
10_MACS_peak_23286_lociStitched	chr4	6365582	6399524	10	30592	34848.2514	3085.3278
7_MACS_peak_12878_lociStitched	chr17	72872946	72906850	7	32050	38575.9712	3688.7551999999996
7_MACS_peak_22274_lociStitched	chr22	50461855	50495744	7	30837	41266.6353	3538.0116000000003
6_MACS_peak_21676_lociStitched	chr22	44692804	44726660	6	32954	39520.1088	3165.536
5_MACS_peak_14150_lociStitched	chr19	4733952	4767769	5	33201	48686.3349	5187.5278
8_MACS_peak_39_lociStitched	chr1	913423	947238	8	31984	54536.832	3249.6215
17_MACS_peak_6401_lociStitched	chr11	69930286	69964073	17	30612	33303.8459	2615.1138
5_MACS_peak_28030_lociStitched	chr8	144938403	144972169	5	32525	52779.6346	3552.1832
4_MACS_peak_14114_lociStitched	chr19	4140391	4174082	4	33533	57871.0307	4976.1607
15_MACS_peak_27920_lociStitched	chr8	144206817	144240468	15	28462	31463.685	3028.5899999999997
2_MACS_peak_14136_lociStitched	chr19	4509576	4543177	2	33384	60374.2768	4909.1061
3_MACS_peak_29206_lociStitched	chr9	137683626	137717097	3	33180	44024.406299999995	2764.7046
9_MACS_peak_13331_lociStitched	chr17	77771593	77804955	9	30638	55197.429000000004	3132.6918
8_MACS_peak_13982_lociStitched	chr19	3094592	3127856	8	31396	40375.8432	3931.8048
15_MACS_peak_2681_lociStitched	chr1	23215413	23248475	15	28673	31759.3572	3587.227
5_MACS_peak_13423_lociStitched	chr17	78395343	78428381	5	31438	43705.970199999996	3320.3190000000004
7_MACS_peak_2235_lociStitched	chr1	19353562	19386575	7	31746	37634.82	3661.1417
10_MACS_peak_28135_lociStitched	chr9	34547788	34580752	10	32216	39747.9912	3398.5884
7_MACS_peak_16769_lociStitched	chr19	47114619	47147454	7	32048	45624.2325	4275.117
5_MACS_peak_19837_lociStitched	chr20	61937953	61970735	5	31575	46104.6048	3130.681
9_MACS_peak_25003_lociStitched	chr6	34082704	34115413	9	30122	40202.6319	2999.4153
9_MACS_peak_21451_lociStitched	chr22	42683841	42716505	9	30097	36926.652	3645.3024
10_MACS_peak_17542_lociStitched	chr19	55995845	56028419	10	31088	45004.238399999995	3491.9328
6_MACS_peak_17493_lociStitched	chr19	55630230	55662779	6	31826	40100.368	3235.3706
7_MACS_peak_19907_lociStitched	chr20	62448224	62480667	7	30364	39953.5545	2848.4954000000002
17_MACS_peak_16657_lociStitched	chr19	46461372	46493807	17	27396	29875.878500000003	3681.3725
3_MACS_peak_13428_lociStitched	chr17	78429565	78461928	3	32163	50327.7013	2750.855
8_MACS_peak_2577_lociStitched	chr1	22870736	22903081	8	30521	38658.744	2733.1525
4_MACS_peak_27823_lociStitched	chr8	143675385	143707696	4	31478	39487.2731	2520.258
10_MACS_peak_22264_lociStitched	chr22	50426081	50458260	10	27210	36555.344	2851.0594
7_MACS_peak_19844_lociStitched	chr20	61985627	62017794	7	30316	44560.9451	2158.4057000000003
11_MACS_peak_15417_lociStitched	chr19	17633247	17665308	11	29621	34289.239499999996	3366.4049999999997
12_MACS_peak_16946_lociStitched	chr19	48778500	48810453	12	28520	32199.0381	3639.4467
10_MACS_peak_2644_lociStitched	chr1	23086939	23118871	10	28452	31210.3368	3132.5292000000004
8_MACS_peak_6952_lociStitched	chr11	118012301	118044192	8	28001	38036.3957	4365.8778999999995
15_MACS_peak_23430_lociStitched	chr4	7253096	7284974	15	25395	28164.213	2741.508
14_MACS_peak_13039_lociStitched	chr17	75773790	75805638	14	27762	31695.1296	3149.7672000000002
14_MACS_peak_17220_lociStitched	chr19	50930541	50962343	14	28677	31067.3738	3358.2912
10_MACS_peak_26001_lociStitched	chr7	100915605	100947343	10	30110	34740.4148	3310.2734
9_MACS_peak_21968_lociStitched	chr22	45894361	45926042	9	30337	34582.9796	2756.247
11_MACS_peak_11584_lociStitched	chr17	19097527	19129186	11	29461	29028.1371	3384.3471
4_MACS_peak_6203_lociStitched	chr11	68758490	68790105	4	30323	46183.192	3091.947
13_MACS_peak_11571_lociStitched	chr17	19055755	19087359	13	29458	28519.4496	3577.5728
9_MACS_peak_11556_lociStitched	chr17	18971511	19003065	9	29553	28890.842399999998	3552.9804000000004
12_MACS_peak_5938_lociStitched	chr11	64284785	64316299	12	29291	31473.0318	3249.0933999999997
8_MACS_peak_29800_lociStitched	chrX	152796210	152827719	8	29778	32684.285700000004	1707.7877999999998
4_MACS_peak_24526_lociStitched	chr5	176265967	176297396	4	30344	48164.9425	2944.8973
8_MACS_peak_29554_lociStitched	chr9	139627676	139659064	8	30343	57797.8632	2959.8884
8_MACS_peak_13435_lociStitched	chr17	78478095	78509383	8	29374	34363.610400000005	3225.7927999999997
6_MACS_peak_14060_lociStitched	chr19	3436498	3467762	6	30851	49093.8592	4498.8896
2_MACS_peak_22903_lociStitched	chr3	184275166	184306409	2	31216	54540.9051	4642.7098000000005
5_MACS_peak_11842_lociStitched	chr17	36715905	36747097	5	29893	49517.299999999996	3268.9216
14_MACS_peak_16982_lociStitched	chr19	49043056	49074133	14	26357	31456.1394	3129.4539
15_MACS_peak_23445_lociStitched	chr4	7286020	7316915	15	28297	29835.3015	2338.7515000000003
7_MACS_peak_22445_lociStitched	chr3	13659833	13690685	7	29551	34612.858799999995	3017.3256
13_MACS_peak_28544_lociStitched	chr9	132521137	132551989	13	26540	30892.107600000003	3544.8948
6_MACS_peak_5481_lociStitched	chr11	1937338	1968121	6	29374	50477.9634	2647.3379999999997
4_MACS_peak_17121_lociStitched	chr19	49915479	49946240	4	29906	42490.1693	3005.3496999999998
5_MACS_peak_26147_lociStitched	chr7	128467634	128498374	5	28792	47686.962	4644.814
6_MACS_peak_13325_lociStitched	chr17	77735858	77766571	6	29516	43999.4438	3040.587
7_MACS_peak_23277_lociStitched	chr4	6326117	6356734	7	27156	33005.126000000004	2982.0958
7_MACS_peak_27816_lociStitched	chr8	143643698	143674307	7	29855	38301.0417	2173.239
8_MACS_peak_25911_lociStitched	chr7	100381618	100412096	8	28941	32739.4676	3236.7636
5_MACS_peak_18213_lociStitched	chr2	219845390	219875857	5	29114	51147.9996	3171.6147
5_MACS_peak_17125_lociStitched	chr19	50011417	50041664	5	28794	34787.0747	3469.3309
11_MACS_peak_21625_lociStitched	chr22	44275202	44305448	11	27062	31461.8892	3051.8214000000003
8_MACS_peak_5197_lociStitched	chr10	135044974	135075068	8	28607	37873.299	2973.2871999999998
6_MACS_peak_1527_lociStitched	chr1	11747614	11777517	6	28913	41418.6453	3328.2039
