#23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05_ROSE/23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam
#Using cutoff of 18040.59 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	isStretch
7_MACS_peak_16901_lociStitched	chr19	48406261	48472636	7	63778	131535.3375	22647.15	48	1
6_MACS_peak_10973_lociStitched	chr17	1041507	1106148	6	63320	100736.5344	6903.6588	49	1
11_MACS_peak_14313_lociStitched	chr19	5827917	5891785	11	62669	82006.512	8756.3028	50	1
6_MACS_peak_23911_lociStitched	chr4	9211638	9274657	6	62555	176226.3316	20216.4952	51	1
15_MACS_peak_6418_lociStitched	chr11	69968715	70035047	15	62542	72607.0072	5492.2896	52	1
11_MACS_peak_194_lociStitched	chr1	2346642	2411017	11	62527	97901.5	5188.625	53	1
6_MACS_peak_20412_lociStitched	chr21	46857693	46920056	6	61882	119294.1827	8057.2996	54	1
12_MACS_peak_47_lociStitched	chr1	950122	1016488	12	61660	104466.7206	5793.7518	55	1
2_MACS_peak_13818_lociStitched	chr19	1282689	1344652	2	61600	160589.5071	8650.0348	56	1
16_MACS_peak_396_lociStitched	chr1	3297052	3361614	16	61210	79630.7708	4809.869	57	1
15_MACS_peak_29494_lociStitched	chr9	138934254	138999556	15	61135	88072.8074	4780.1064	58	1
19_MACS_peak_5969_lociStitched	chr11	64388210	64455759	19	60668	72763.7828	6802.1843	59	1
7_MACS_peak_26209_lociStitched	chr7	149469969	149532282	7	60199	138447.0234	9284.637	60	1
8_MACS_peak_12409_lociStitched	chr17	48651884	48713634	8	59952	92075.425	6866.6	61	1
12_MACS_peak_12979_lociStitched	chr17	74869731	74931643	12	59324	81042.808	6414.0832	62	1
3_MACS_peak_20344_lociStitched	chr21	46300194	46359700	3	59221	145313.652	8390.346	63	1
8_MACS_peak_23092_lociStitched	chr4	1748158	1809258	8	58528	118216.28	5193.5	64	1
17_MACS_peak_23184_lociStitched	chr4	3701021	3762908	17	58084	65983.9194	4635.3363	65	1
10_MACS_peak_8011_lociStitched	chr13	113606365	113665749	10	57972	79794.2808	5398.0056	66	1
7_MACS_peak_3783_lociStitched	chr1	156826074	156885641	7	57924	102878.1657	10477.8353	67	1
6_MACS_peak_14118_lociStitched	chr19	4183517	4242220	6	57568	87314.8422	9386.6097	68	1
5_MACS_peak_19855_lociStitched	chr20	62064545	62123152	5	57294	91450.3628	4629.953	69	1
12_MACS_peak_9358_lociStitched	chr16	1144022	1202099	12	57268	101053.98	4373.1981	70	1
7_MACS_peak_850_lociStitched	chr1	6471225	6530345	7	57200	111937.808	6024.328	71	1
9_MACS_peak_5825_lociStitched	chr11	61441463	61499348	9	57157	78167.904	5394.882	72	1
6_MACS_peak_21290_lociStitched	chr22	37711290	37768794	6	56622	83743.0752	6066.672	73	1
8_MACS_peak_5776_lociStitched	chr11	61272259	61329637	8	56186	74568.4488	5456.6478	74	1
11_MACS_peak_28987_lociStitched	chr9	136369178	136428654	11	55978	83076.0768	4871.0844	75	1
7_MACS_peak_28684_lociStitched	chr9	133769635	133826128	7	55430	94298.1156	5327.2899	76	1
2_MACS_peak_1676_lociStitched	chr1	17011887	17067346	2	55377	155867.5195	15733.7183	77	1
4_MACS_peak_19787_lociStitched	chr20	61584641	61640735	4	55234	91304.2038	5844.9948	78	1
6_MACS_peak_21263_lociStitched	chr22	37457708	37514341	6	55177	81160.7523	6291.9263	79	1
8_MACS_peak_17062_lociStitched	chr19	49520930	49577893	8	55176	77532.3393	6003.9002	80	1
11_MACS_peak_21415_lociStitched	chr22	40049421	40108068	11	54765	71766.3339	5594.9238	81	1
7_MACS_peak_1350_lociStitched	chr1	10696298	10753572	7	54752	97417.3466	5148.9326	82	1
16_MACS_peak_2150_lociStitched	chr1	18995594	19055203	16	54746	59400.3685	5424.419	83	1
5_MACS_peak_29548_lociStitched	chr9	139560563	139615278	5	53993	104073.4015	4995.4795	84	1
10_MACS_peak_9348_lociStitched	chr16	1084728	1141163	10	53952	77970.596	4339.8515	85	1
19_MACS_peak_1703_lociStitched	chr1	17408654	17465577	19	53474	64710.0664	5367.8389	86	1
13_MACS_peak_2516_lociStitched	chr1	22555361	22612959	13	53369	65356.4506	5828.9176	87	1
8_MACS_peak_27494_lociStitched	chr8	142358575	142413609	8	52571	72584.3426	5118.162	88	1
13_MACS_peak_15026_lociStitched	chr19	14268957	14323235	13	51945	59173.8756	5444.0834	89	1
12_MACS_peak_13370_lociStitched	chr17	77941717	77995021	12	51594	70638.4608	5101.1928	90	1
19_MACS_peak_29339_lociStitched	chr9	138129780	138185207	19	51320	56890.2728	4589.3556	91	1
11_MACS_peak_1825_lociStitched	chr1	17883990	17937314	11	51067	55648.9264	4383.2328	92	1
8_MACS_peak_12785_lociStitched	chr17	72333622	72386023	8	50962	59443.6944	4590.3276	93	1
3_MACS_peak_19830_lociStitched	chr20	61850304	61901276	3	50935	93732.4108	5107.3944	94	1
9_MACS_peak_12338_lociStitched	chr17	47555078	47607221	9	50209	70799.7654	5986.0164	95	1
3_MACS_peak_187_lociStitched	chr1	2244608	2295099	3	50161	95215.9278	4069.5746	96	1
9_MACS_peak_20625_lociStitched	chr22	20246521	20298792	9	49487	68349.5596	4740.9797	97	1
16_MACS_peak_25464_lociStitched	chr7	2656465	2711159	16	49123	69630.9314	4862.2966	98	1
17_MACS_peak_2664_lociStitched	chr1	23160854	23214199	17	48787	54363.8895	5291.824	99	1
15_MACS_peak_24483_lociStitched	chr5	176117985	176172342	15	48728	58433.775	4995.4083	100	1
11_MACS_peak_15942_lociStitched	chr19	35977531	36028558	11	48692	58584.0987	4816.9488	101	1
10_MACS_peak_1627_lociStitched	chr1	16431151	16482918	10	48611	68953.644	4819.5077	102	1
13_MACS_peak_14831_lociStitched	chr19	11360525	11412768	13	48606	57294.8981	5814.6459	103	1
6_MACS_peak_29542_lociStitched	chr9	139477544	139526497	6	48416	83983.7668	3926.0306	104	1
18_MACS_peak_1845_lociStitched	chr1	17980597	18034667	18	47998	55054.074	4174.204	105	1
3_MACS_peak_28375_lociStitched	chr9	129370531	129418301	3	47187	79785.454	4628.913	106	1
9_MACS_peak_62_lociStitched	chr1	1075439	1124489	9	46841	85533.39	4036.815	107	1
8_MACS_peak_23917_lociStitched	chr4	9324596	9371035	8	46147	123899.252	14609.7094	108	1
9_MACS_peak_22808_lociStitched	chr3	128169387	128218472	9	46048	81662.7145	5222.644	109	1
6_MACS_peak_17802_lociStitched	chr2	26775954	26823786	6	45846	67553.1336	5873.7696	110	1
5_MACS_peak_426_lociStitched	chr1	3489498	3536814	5	45596	74759.28	3941.4228	111	1
14_MACS_peak_17500_lociStitched	chr19	55668420	55718499	14	45183	53178.8901	5298.3582	112	1
12_MACS_peak_13382_lociStitched	chr17	77998965	78046966	12	44819	52431.4923	4564.8951	113	1
9_MACS_peak_370_lociStitched	chr1	3171756	3218765	9	44454	59203.1346	3596.1885	114	1
14_MACS_peak_14209_lociStitched	chr19	5301208	5349434	14	44155	54707.5744	5844.9912	115	1
20_MACS_peak_16745_lociStitched	chr19	46963887	47012778	20	43682	55046.3769	5050.4403	116	1
12_MACS_peak_13796_lociStitched	chr19	817327	863772	12	43658	72760.737	5833.492	117	1
13_MACS_peak_22661_lociStitched	chr3	50216113	50263272	13	43189	65673.6234	5729.8185	118	1
8_MACS_peak_16450_lociStitched	chr19	42466832	42512389	8	43075	60536.1416	4573.9228	119	1
15_MACS_peak_14282_lociStitched	chr19	5722074	5768359	15	43046	49437.0085	6641.8975	120	1
6_MACS_peak_14124_lociStitched	chr19	4275090	4319366	6	42736	63049.024	5959.5496	121	1
2_MACS_peak_26234_lociStitched	chr7	150862881	150905638	2	42717	69963.2791	6943.7368	122	1
14_MACS_peak_22647_lociStitched	chr3	50168579	50214714	14	42510	53087.5445	4595.046	123	1
5_MACS_peak_12885_lociStitched	chr17	72909540	72953539	5	42468	59856.2396	4382.3004	124	1
13_MACS_peak_12325_lociStitched	chr17	47508990	47554026	13	42405	52295.8032	4566.6504	125	1
10_MACS_peak_5345_lociStitched	chr11	1237002	1280472	10	42119	52707.375	3108.105	126	1
4_MACS_peak_7763_lociStitched	chr12	57576994	57620161	4	41939	76332.2061	5270.6907	127	1
6_MACS_peak_5834_lociStitched	chr11	61501351	61545719	6	41746	65278.6384	4214.96	128	1
4_MACS_peak_20116_lociStitched	chr21	43763028	43805017	4	41407	69882.2927	6407.5214	129	1
4_MACS_peak_1613_lociStitched	chr1	16338958	16380734	4	41358	73020.2704	4340.5264	130	1
6_MACS_peak_29509_lociStitched	chr9	139012617	139054532	6	41207	62859.9255	3525.0515	131	1
3_MACS_peak_20615_lociStitched	chr22	20151827	20193170	3	41172	76691.265	3617.5125	132	1
15_MACS_peak_3224_lociStitched	chr1	32120790	32164711	15	41079	48870.8967	4954.2888	133	1
11_MACS_peak_5993_lociStitched	chr11	64474688	64519227	11	41056	65552.5002	4939.3751	134	1
7_MACS_peak_9293_lociStitched	chr16	791777	834474	7	40948	63507.5178	4555.7699	135	1
9_MACS_peak_24812_lociStitched	chr6	30408540	30451470	9	40876	64996.02	5967.27	136	1
6_MACS_peak_11394_lociStitched	chr17	7958407	8001011	6	40784	57724.1596	5662.0716	137	1
10_MACS_peak_19139_lociStitched	chr20	56127968	56171871	10	40726	50040.6394	4908.3554	138	1
6_MACS_peak_115_lociStitched	chr1	1867798	1910481	6	40633	56388.5113	3747.5674	139	1
3_MACS_peak_19852_lociStitched	chr20	62022448	62063097	3	40423	66034.3005	3146.2326	140	1
4_MACS_peak_14106_lociStitched	chr19	3912558	3953121	4	40235	61266.3552	4956.7986	141	1
6_MACS_peak_29573_lociStitched	chr9	139845310	139887805	6	40158	70099.752	3760.8075	142	1
13_MACS_peak_13105_lociStitched	chr17	76294869	76339195	13	39946	49321.5402	4494.6564	143	1
15_MACS_peak_5786_lociStitched	chr11	61337488	61381906	15	39910	45732.7728	4366.2894	144	1
5_MACS_peak_23132_lociStitched	chr4	3459593	3499864	5	39855	78524.4229	3757.2843	145	1
4_MACS_peak_20618_lociStitched	chr22	20197275	20237568	4	39785	66648.6513	3759.3369	146	1
9_MACS_peak_10979_lociStitched	chr17	1107188	1148849	9	39707	50126.5152	4403.5677	147	1
8_MACS_peak_25453_lociStitched	chr7	2532331	2573174	8	39502	60913.2502	3606.4369	148	1
19_MACS_peak_23889_lociStitched	chr4	8877684	8922868	19	39451	46937.1392	4025.8944	149	1
21_MACS_peak_17236_lociStitched	chr19	51024196	51069571	21	39339	41953.725	3738.9	150	1
14_MACS_peak_29015_lociStitched	chr9	136492883	136533476	14	39057	46507.4001	3206.847	151	1
6_MACS_peak_14537_lociStitched	chr19	7830644	7871209	6	39038	49306.7575	6421.4395	152	1
7_MACS_peak_21504_lociStitched	chr22	42916132	42958504	7	38907	62320.7376	7033.752	153	1
11_MACS_peak_9498_lociStitched	chr16	3075173	3116800	11	38802	58148.7563	4641.4105	154	1
5_MACS_peak_20253_lociStitched	chr21	45761205	45801227	5	38782	63935.145	5475.0096	155	1
6_MACS_peak_3773_lociStitched	chr1	156639359	156679451	6	38692	70778.4168	7276.698	156	1
16_MACS_peak_5491_lociStitched	chr11	2102685	2145710	16	38546	48992.5675	4147.61	157	1
19_MACS_peak_2129_lociStitched	chr1	18946862	18988615	19	38205	43869.8771	3444.6225	158	1
12_MACS_peak_17017_lociStitched	chr19	49173447	49214178	12	38077	46714.3839	4097.5386	159	1
19_MACS_peak_254_lociStitched	chr1	2713876	2758695	19	37968	45437.5022	3397.2802	160	1
5_MACS_peak_14325_lociStitched	chr19	5991222	6030010	5	37828	56133.9936	5535.0476	161	1
12_MACS_peak_13296_lociStitched	chr17	77634092	77674410	12	37567	45095.683	3547.984	162	1
7_MACS_peak_29516_lociStitched	chr9	139058235	139096683	7	37502	59371.4016	2929.7376	163	1
6_MACS_peak_1462_lociStitched	chr1	11487498	11525647	6	37399	44542.7724	3433.41	164	1
3_MACS_peak_9345_lociStitched	chr16	1044617	1082551	3	37241	59632.248	3110.588	165	1
6_MACS_peak_20406_lociStitched	chr21	46818216	46856574	6	37168	72730.6038	4027.59	166	1
8_MACS_peak_28890_lociStitched	chr9	135845548	135884306	8	37014	48974.6088	3953.316	167	1
10_MACS_peak_412_lociStitched	chr1	3364235	3403429	10	36968	52559.154	2771.0158	168	1
9_MACS_peak_1836_lociStitched	chr1	17939026	17978583	9	36944	43694.6622	3607.5984	169	1
9_MACS_peak_4721_lociStitched	chr10	102482438	102521626	9	36722	59667.6488	4110.8212	170	1
4_MACS_peak_28975_lociStitched	chr9	136287095	136324581	4	36553	53646.2146	4269.6554	171	1
4_MACS_peak_5318_lociStitched	chr11	1026139	1063117	4	36540	62577.8694	3989.9262	172	1
18_MACS_peak_8908_lociStitched	chr15	74460634	74502175	18	36529	42454.902	3900.6999	173	1
8_MACS_peak_20267_lociStitched	chr21	45851202	45889496	8	36508	50601.6916	4779.0912	174	1
8_MACS_peak_21309_lociStitched	chr22	37884790	37923187	8	36348	46782.9048	4381.0977	175	1
26_MACS_peak_27175_lociStitched	chr8	7585160	7630157	26	36317	28321.1118	3235.2843	176	1
6_MACS_peak_5533_lociStitched	chr11	2305655	2342951	6	36308	49226.9904	3069.4608	177	1
5_MACS_peak_11708_lociStitched	chr17	26830785	26867994	5	36060	49499.1327	4483.6845	178	1
4_MACS_peak_26236_lociStitched	chr7	150940800	150977616	4	36006	72093.0912	5879.5152	179	1
7_MACS_peak_19823_lociStitched	chr20	61779543	61816946	7	35961	47599.0578	2850.1086	180	1
9_MACS_peak_28326_lociStitched	chr9	127232744	127270023	9	35635	47691.0247	3228.3614	181	1
14_MACS_peak_12009_lociStitched	chr17	41704536	41745969	14	35628	38557.5498	4309.032	182	1
7_MACS_peak_21480_lociStitched	chr22	42795262	42832828	7	35580	48929.715	3384.6966	183	1
6_MACS_peak_15998_lociStitched	chr19	36334298	36370579	6	35470	41556.2574	3043.9759	184	1
7_MACS_peak_25974_lociStitched	chr7	100743364	100781560	7	35460	43929.2196	3815.7804	185	1
2_MACS_peak_29526_lociStitched	chr9	139216941	139252809	2	35381	84282.6264	3005.7384	186	1
7_MACS_peak_21613_lociStitched	chr22	44214079	44250472	7	35133	42670.7925	3479.1708	187	1
6_MACS_peak_29585_lociStitched	chr9	139917693	139954007	6	35012	63934.4284	3994.54	188	1
13_MACS_peak_5548_lociStitched	chr11	2370389	2408648	13	34989	42237.936	3684.3417	189	1
8_MACS_peak_9316_lociStitched	chr16	916183	952832	8	34970	44730.1045	2939.2498	190	1
12_MACS_peak_26489_lociStitched	chr7	155595874	155633905	12	34650	45104.766	4472.4456	191	1
9_MACS_peak_19012_lociStitched	chr20	48880899	48916978	9	34442	40715.1515	3542.9578	192	1
3_MACS_peak_13465_lociStitched	chr17	79112537	79147268	3	34414	61018.8939	3521.7234	193	1
6_MACS_peak_28618_lociStitched	chr9	133249145	133284506	6	34339	43363.1943	3030.4377	194	1
7_MACS_peak_18626_lociStitched	chr20	30425123	30461475	7	34253	48580.8128	4616.704	195	1
10_MACS_peak_25876_lociStitched	chr7	100213939	100249886	10	34225	40878.9284	3648.6205	196	1
7_MACS_peak_9432_lociStitched	chr16	2325016	2361268	7	34162	55447.434	4255.9848	197	1
14_MACS_peak_19342_lociStitched	chr20	57180530	57216313	14	33986	35020.8221	3485.2642	198	1
5_MACS_peak_21683_lociStitched	chr22	44732919	44768064	5	33906	39977.4375	3106.818	199	1
5_MACS_peak_13361_lociStitched	chr17	77898085	77932707	5	33884	53716.033	3046.736	200	1
4_MACS_peak_20280_lociStitched	chr21	45907975	45942894	4	33842	59030.5695	4556.9295	201	1
10_MACS_peak_1109_lociStitched	chr1	7716396	7753220	10	33736	40244.9496	3431.9968	202	1
27_MACS_peak_16401_lociStitched	chr19	42286092	42326604	27	33682	35144.16	4626.4704	203	1
2_MACS_peak_18251_lociStitched	chr2	220328886	220363110	2	33656	60377.9808	3726.9936	204	1
11_MACS_peak_23227_lociStitched	chr4	3850560	3886485	11	33628	42017.88	3517.0575	205	1
6_MACS_peak_14504_lociStitched	chr19	7629522	7664233	6	33559	43583.1316	4644.3318	206	1
4_MACS_peak_14114_lociStitched	chr19	4140391	4174082	4	33533	57871.0307	4976.1607	207	1
19_MACS_peak_1034_lociStitched	chr1	7508572	7545174	19	33434	35877.2804	2737.8296	208	1
2_MACS_peak_14136_lociStitched	chr19	4509576	4543177	2	33384	60374.2768	4909.1061	209	1
10_MACS_peak_20472_lociStitched	chr21	47389763	47425746	10	33321	63859.0301	4058.8824	210	1
8_MACS_peak_21668_lociStitched	chr22	44653777	44689836	8	33281	41002.6889	3018.1383	211	1
2_MACS_peak_33_lociStitched	chr1	845014	879043	2	33272	86620.8195	3382.4826	212	1
11_MACS_peak_13146_lociStitched	chr17	76476646	76512747	11	33228	41971.0226	3768.9444	213	1
5_MACS_peak_14150_lociStitched	chr19	4733952	4767769	5	33201	48686.3349	5187.5278	214	1
3_MACS_peak_29206_lociStitched	chr9	137683626	137717097	3	33180	44024.4063	2764.7046	215	1
6_MACS_peak_29460_lociStitched	chr9	138571848	138605891	6	33035	41787.7825	2590.6723	216	1
6_MACS_peak_21676_lociStitched	chr22	44692804	44726660	6	32954	39520.1088	3165.536	217	1
6_MACS_peak_20501_lociStitched	chr21	47528640	47562868	6	32637	53190.312	4199.7756	218	1
5_MACS_peak_28030_lociStitched	chr8	144938403	144972169	5	32525	52779.6346	3552.1832	219	1
10_MACS_peak_28135_lociStitched	chr9	34547788	34580752	10	32216	39747.9912	3398.5884	220	1
3_MACS_peak_13428_lociStitched	chr17	78429565	78461928	3	32163	50327.7013	2750.855	221	1
7_MACS_peak_12878_lociStitched	chr17	72872946	72906850	7	32050	38575.9712	3688.7552	222	1
7_MACS_peak_16769_lociStitched	chr19	47114619	47147454	7	32048	45624.2325	4275.117	223	1
8_MACS_peak_39_lociStitched	chr1	913423	947238	8	31984	54536.832	3249.6215	224	1
13_MACS_peak_7238_lociStitched	chr12	1919575	1955958	13	31851	40054.0447	3474.5765	225	1
6_MACS_peak_17493_lociStitched	chr19	55630230	55662779	6	31826	40100.368	3235.3706	226	1
7_MACS_peak_2235_lociStitched	chr1	19353562	19386575	7	31746	37634.82	3661.1417	227	1
5_MACS_peak_19837_lociStitched	chr20	61937953	61970735	5	31575	46104.6048	3130.681	228	1
4_MACS_peak_27823_lociStitched	chr8	143675385	143707696	4	31478	39487.2731	2520.258	229	1
5_MACS_peak_13423_lociStitched	chr17	78395343	78428381	5	31438	43705.9702	3320.319	230	1
8_MACS_peak_13982_lociStitched	chr19	3094592	3127856	8	31396	40375.8432	3931.8048	231	1
2_MACS_peak_22903_lociStitched	chr3	184275166	184306409	2	31216	54540.9051	4642.7098	232	1
10_MACS_peak_17542_lociStitched	chr19	55995845	56028419	10	31088	45004.2384	3491.9328	233	1
16_MACS_peak_21534_lociStitched	chr22	43601956	43638705	16	31070	39424.3272	3520.5542	234	1
6_MACS_peak_14060_lociStitched	chr19	3436498	3467762	6	30851	49093.8592	4498.8896	235	1
7_MACS_peak_22274_lociStitched	chr22	50461855	50495744	7	30837	41266.6353	3538.0116	236	1
9_MACS_peak_27784_lociStitched	chr8	143528797	143563564	9	30828	38038.5747	2489.3172	237	1
9_MACS_peak_19797_lociStitched	chr20	61672728	61707107	9	30825	40120.293	3290.0703	238	1
9_MACS_peak_13331_lociStitched	chr17	77771593	77804955	9	30638	55197.429	3132.6918	239	1
17_MACS_peak_6401_lociStitched	chr11	69930286	69964073	17	30612	33303.8459	2615.1138	240	1
10_MACS_peak_23286_lociStitched	chr4	6365582	6399524	10	30592	34848.2514	3085.3278	241	1
8_MACS_peak_2577_lociStitched	chr1	22870736	22903081	8	30521	38658.744	2733.1525	242	1
15_MACS_peak_23504_lociStitched	chr4	7458638	7495206	15	30461	32669.8512	2461.0264	243	1
16_MACS_peak_14662_lociStitched	chr19	8594031	8629950	16	30417	30480.8634	4076.8065	244	1
7_MACS_peak_19907_lociStitched	chr20	62448224	62480667	7	30364	39953.5545	2848.4954	245	1
4_MACS_peak_24526_lociStitched	chr5	176265967	176297396	4	30344	48164.9425	2944.8973	246	1
8_MACS_peak_29554_lociStitched	chr9	139627676	139659064	8	30343	57797.8632	2959.8884	247	1
9_MACS_peak_21968_lociStitched	chr22	45894361	45926042	9	30337	34582.9796	2756.247	248	1
4_MACS_peak_6203_lociStitched	chr11	68758490	68790105	4	30323	46183.192	3091.947	249	1
7_MACS_peak_19844_lociStitched	chr20	61985627	62017794	7	30316	44560.9451	2158.4057	250	1
9_MACS_peak_25003_lociStitched	chr6	34082704	34115413	9	30122	40202.6319	2999.4153	251	1
10_MACS_peak_26001_lociStitched	chr7	100915605	100947343	10	30110	34740.4148	3310.2734	252	1
9_MACS_peak_21451_lociStitched	chr22	42683841	42716505	9	30097	36926.652	3645.3024	253	1
4_MACS_peak_17121_lociStitched	chr19	49915479	49946240	4	29906	42490.1693	3005.3497	254	1
5_MACS_peak_11842_lociStitched	chr17	36715905	36747097	5	29893	49517.3	3268.9216	255	1
7_MACS_peak_27816_lociStitched	chr8	143643698	143674307	7	29855	38301.0417	2173.239	256	1
8_MACS_peak_29800_lociStitched	chrX	152796210	152827719	8	29778	32684.2857	1707.7878	257	1
11_MACS_peak_15417_lociStitched	chr19	17633247	17665308	11	29621	34289.2395	3366.405	258	1
9_MACS_peak_11556_lociStitched	chr17	18971511	19003065	9	29553	28890.8424	3552.9804	259	1
7_MACS_peak_22445_lociStitched	chr3	13659833	13690685	7	29551	34612.8588	3017.3256	260	1
