GENE_ID	locusLine	bin_1_LP-1.jin.bam
NM_000449	chr1(.):151308115-151324769	0.9194
NM_002796	chr1(.):151367040-151379412	0.7335
NM_001198774	chr1(.):151259272-151305191	0.3508
NM_003944	chr1(.):151331779-151350164	0.2097
NM_020452	chr1(.):154295275-154328780	0.8596
NM_001005855	chr1(.):154293035-154315322	1.0545
NM_080429	chr1(.):154288591-154302801	1.4246
NM_006556	chr1(.):154892207-154914484	1.5419
NM_001130041	chr1(.):154929773-154951959	1.1765
NM_001130040	chr1(.):154929773-154948223	1.2888
NM_201398	chr1(.):154950769-154970587	0.4828
NM_015872	chr1(.):154970111-154995999	1.2374
NM_207196	chr1(.):155018761-155040252	0.4932
NM_018655	chr1(.):154961061-154971791	0.5409
NM_001143687	chr1(.):155001281-155028406	0.3009
NR_024163	chr1(.):154942117-154956725	1.1783
NM_144622	chr1(.):154986002-155011257	0.2753
NM_138300	chr1(.):154924501-154939258	1.5044
NR_036212	chr1(.):154943168-154953259	1.2151
NM_001162384	chr1(.):155911629-155953336	0.9906
NM_181885	chr1(.):155906479-155917625	0.7977
NM_004723	chr1(.):155911629-155952966	0.9922
NM_014949	chr1(.):155877835-155909188	0.4449
NR_003005	chr1(.):155890748-155900877	0.2099
NM_001093725	chr1(.):156036803-156056789	0.2871
NM_003145	chr1(.):155973838-155995758	0.4437
NM_198406	chr1(.):156208208-156222792	0.3367
NM_014655	chr1(.):156158729-156187587	0.7093
NM_007221	chr1(.):156177783-156214833	0.8384
NM_022367	chr1(.):156118321-156152542	0.3861
NM_001193302	chr1(.):156118368-156152542	0.3859
NM_199173	chr1(.):156206950-156218112	0.3591
NM_024897	chr1(.):156208206-156222843	0.3365
NM_001193301	chr1(.):156114734-156152542	0.447
NM_005920	chr1(.):156428518-156475529	0.9572
NM_004494	chr1(.):156706898-156726543	1.2589
NM_001126051	chr1(.):156706898-156727024	1.2336
NM_001126050	chr1(.):156706898-156727240	1.2224
NM_030980	chr1(.):156687412-156702705	0.6629
NM_001878	chr1(.):156664407-156680375	0.2426
NM_001142560	chr1(.):156693262-156711752	0.8243
NM_145729	chr1(.):156702093-156715923	0.5609
NM_003564	chr1(.):159882902-159900284	0.9433
NM_012337	chr1(.):159837153-159874906	0.1865
NM_001146172	chr1(.):159916281-159929044	0.1408
NM_001778	chr1(.):160643535-160686585	0.6046
NM_021181	chr1(.):160704076-160729601	0.5992
NM_001039711	chr1(.):161085768-161107478	0.6835
NM_016406	chr1(.):161118533-161133646	1.0186
NM_004550	chr1(.):161164104-161189184	0.4864
NM_000309	chr1(.):161131180-161146010	0.5961
NM_001643	chr1(.):161187082-161198418	0.746
NM_003779	chr1(.):161136100-161152314	0.9626
NM_012475	chr1(.):161124253-161140516	0.8133
NM_001039712	chr1(.):161085768-161107256	0.6882
NM_032174	chr1(.):161190832-161205407	0.6026
NM_001166159	chr1(.):161166936-161189184	0.5115
NM_005099	chr1(.):161154537-161173845	1.0521
NM_004106	chr1(.):161180086-161194038	0.2668
NM_182581	chr1(.):162338514-162351644	0.2883
NM_001085375	chr1(.):162346519-162361608	0.3072
NM_053282	chr1(.):162360055-162386928	0.1913
NR_030283	chr1(.):162307335-162317430	0.2187
NM_001126060	chr1(.):162327772-162344813	0.7749
NM_001135240	chr1(.):162343695-162358501	0.275
NM_003115	chr1(.):162526295-162574633	0.7832
NM_198053	chr1(.):167394876-167492847	0.496
NM_022100	chr1(.):174977093-174997591	0.3261
NM_022371	chr1(.):179046111-179070129	0.6997
NM_005298	chr1(.):200837165-200848251	0.6984
NM_018265	chr1(.):200855638-200889864	0.7406
NM_001142569	chr1(.):200858998-200889864	0.7446
NM_017596	chr1(.):200933519-200997828	0.5481
NR_034150	chr1(.):203262885-203279453	1.7087
NM_006763	chr1(.):203269663-203283729	1.4959
NM_002023	chr1(.):203304751-203325289	0.1743
NM_030952	chr1(.):205266190-205295883	0.2553
NM_001123168	chr1(.):206133910-206160074	0.6561
NM_001007544	chr1(.):206233871-206293647	0.4969
NM_148964	chr1(.):206312458-206337104	0.1133
NM_182972	chr1(.):234735014-234750271	0.7165
NR_033927	chr1(.):234760056-234775526	0.0526
NM_024080	chr2(.):234821042-234933166	0.1898
NM_020458	chr2(.):47163312-47308275	0.3322
NR_033872	chr2(.):70184394-70319147	0.2185
NR_015395	chr2(.):112119590-112257692	0.3682
NR_024373	chr2(.):112181885-112257692	0.5941
NM_021141	chr2(.):216969019-217076016	0.2938
NM_001012514	chr2(.):231724620-231748963	1.0485
NM_170672	chr2(.):33656415-33794798	0.2877
NM_018079	chr2(.):45610818-45843433	0.2188
NM_012249	chr2(.):46764866-46816827	0.555
NM_178313	chr2(.):54780530-54894445	0.3249
NM_003128	chr2(.):54678453-54903583	0.2477
NR_024204	chr2(.):87749973-87826030	0.7318
NM_001228	chr2(.):202093165-202157434	0.6227
NM_003879	chr2(.):201975889-202034003	0.6377
NM_001127184	chr2(.):201975815-202011323	0.9295
NM_173822	chr2(.):201833440-201941392	0.118
NM_033358	chr2(.):202093165-202151638	0.6743
NM_018441	chr2(.):216898110-216951539	0.3269
NM_001137551	chr2(.):238595806-238695290	0.238
NM_001137550	chr2(.):238531223-238695290	0.1914
NM_017844	chr2(.):241413838-241502405	0.1388
NM_001195381	chr2(.):241539824-241575676	0.0694
NM_001037160	chr2(.):10191925-10225538	0.0858
NM_182626	chr2(.):10276508-10356856	0.0974
NM_001165931	chr2(.):10257694-10276546	0.6277
NM_001034	chr2(.):10257862-10276546	0.633
NM_198256	chr2(.):11579500-11611297	0.1965
NM_033090	chr2(.):11677850-11737272	0.1374
NM_014668	chr2(.):11669241-11787912	0.1121
NM_148903	chr2(.):11675079-11733355	0.1408
NM_004040	chr2(.):20641834-20654201	0.6859
NM_015376	chr2(.):33733941-33794798	0.13
NM_001139488	chr2(.):33696320-33794798	0.351
NM_080653	chr2(.):46733985-46752096	0.087
NM_173074	chr2(.):46803412-46849251	0.1539
NM_014171	chr2(.):46839324-46857881	0.1767
NM_001171507	chr2(.):47124008-47148251	0.1644
NM_001171506	chr2(.):47124008-47148007	0.1661
NM_001171508	chr2(.):47124008-47173994	0.3544
NR_002229	chr2(.):54751358-54761978	0.5493
NM_006196	chr2(.):70309584-70321334	1.2384
NR_024444	chr2(.):70346167-70357448	0.621
NM_015425	chr2(.):86248450-86338278	0.2794
NR_026984	chr2(.):86242338-86255991	0.2096
NM_002491	chr2(.):201931461-201955473	0.2045
NM_001127183	chr2(.):201978386-202033841	0.6618
NM_033356	chr2(.):202120222-202157434	0.5228
NM_001080125	chr2(.):202117753-202157434	0.58
NM_018000	chr2(.):216802313-216883346	0.2647
NM_001142310	chr2(.):216941588-216972506	0.6136
NM_005683	chr2(.):231767042-231794941	0.16
NM_152614	chr2(.):232452574-232463994	0.0907
NM_001099285	chr2(.):232568234-232583250	1.5408
NR_036052	chr2(.):232573023-232583105	1.1837
NM_004735	chr2(.):238595806-238679558	0.2648
NM_023083	chr2(.):241521132-241543526	0.3845
NM_001033575	chr2(.):241494470-241508431	1.015
NM_018226	chr2(.):241503103-241523143	0.7076
NM_005862	chr3(.):136050998-136476245	0.1288
NM_207294	chr3(.):152012193-152188569	0.1772
NM_021038	chr3(.):151980828-152188568	0.263
NM_001135095	chr3(.):171753343-172123492	0.2952
NM_022763	chr3(.):171752417-172123492	0.2953
NM_181361	chr3(.):178249223-178567217	0.1555
NM_181042	chr3(.):52574367-52718739	0.0822
NM_018313	chr3(.):52574367-52724866	0.1078
NM_002213	chr3(.):124476794-124611144	0.4515
NM_001001487	chr3(.):130608433-130740555	0.1419
NM_001199181	chr3(.):130564368-130727046	0.1933
NM_001199180	chr3(.):130564368-130740555	0.187
NM_001199179	chr3(.):130607834-130727046	0.1451
NM_001001485	chr3(.):130607858-130740555	0.1417
NM_001199184	chr3(.):130607904-130727046	0.1451
NM_014382	chr3(.):130608291-130727046	0.1453
NM_001134422	chr3(.):133287433-133314118	0.4827
NM_001134423	chr3(.):133288300-133314118	0.4963
NM_001080412	chr3(.):141038054-141173632	0.7494
NM_016275	chr3(.):150316065-150353234	0.4795
NM_016625	chr3(.):157822891-158267576	0.1222
NM_024665	chr3(.):176733541-176920048	0.2896
NM_005832	chr3(.):178271617-178567217	0.1506
NM_001647	chr3(.):195290572-195316076	0.1512
NM_014240	chr3(.):45631322-45727755	0.2772
NM_199074	chr3(.):49052907-49065926	0.85
NM_199073	chr3(.):49053617-49065926	0.8941
NM_177939	chr3(.):49022340-49049581	0.3381
NM_018031	chr3(.):49039636-49058386	0.5356
NM_000884	chr3(.):49056761-49071875	0.694
NM_018114	chr3(.):49047434-49063467	0.6856
NM_199070	chr3(.):49054073-49065926	0.9222
NM_001009996	chr3(.):49047434-49061017	0.7689
NR_029690	chr3(.):49053050-49063142	1.0266
NR_029948	chr3(.):49052580-49062667	1.0232
NM_001010983	chr3(.):52723503-52745048	0.5892
NM_206825	chr3(.):52714935-52733510	0.4455
NR_003687	chr3(.):52719753-52729846	0.4145
NM_014041	chr3(.):52734856-52747197	0.787
NR_003057	chr3(.):52721751-52731828	0.3022
NM_152932	chr3(.):52723503-52742622	0.5707
NR_003047	chr3(.):52718255-52728331	0.5118
NM_006100	chr3(.):98446571-98518236	0.458
NR_033434	chr3(.):124444212-124473119	0.1826
NM_020187	chr3(.):128992683-129029135	0.5906
NM_001006109	chr3(.):128992816-129029135	0.5918
NM_006026	chr3(.):129028613-129040120	1.9016
NR_026991	chr3(.):129030113-129048412	1.1252
NM_001145417	chr3(.):135862759-135918310	0.3332
NM_018133	chr3(.):135862759-135919688	0.3288
NM_014779	chr3(.):150121787-150182615	0.231
NM_032025	chr3(.):150259573-150308803	0.3002
NM_014445	chr3(.):150254779-150269428	0.4913
NR_027037	chr3(.):151975404-151992415	1.0451
NR_034008	chr3(.):156802669-156823924	0.8556
NR_034007	chr3(.):156794455-156845791	0.4789
NM_020307	chr3(.):156860585-156883482	0.6011
NM_006241	chr3(.):195236220-195275224	0.4409
NM_001128148	chr3(.):195771154-195814032	0.284
NM_003234	chr3(.):195771154-195813961	0.2837
NR_034088	chr3(.):195864506-195892761	0.1447
NM_198565	chr3(.):196361655-196393874	0.4466
NM_144571	chr4(.):78629540-78745544	0.177
NM_178835	chr4(.):146676887-146864607	0.1585
NM_001145291	chr4(.):614362-669681	0.1621
NM_001145292	chr4(.):641965-669681	0.2672
NM_144720	chr4(.):6050481-6207318	0.1754
NM_001099433	chr4(.):6022925-6207318	0.1607
NM_001113361	chr4(.):6906170-7039845	0.2267
NM_020773	chr4(.):6906494-7039845	0.2272
NM_005112	chr4(.):10070962-10123573	0.6112
NM_004310	chr4(.):40193526-40251281	0.4764
NM_001166693	chr4(.):87851153-88067206	0.1958
NM_024900	chr4(.):129725778-129790787	0.2629
NM_199320	chr4(.):129725778-129801379	0.2371
NM_002199	chr4(.):185303875-185400726	0.5453
NM_031953	chr4(.):186126283-186290120	0.5248
NM_007100	chr4(.):661224-673127	0.8303
NM_032219	chr4(.):670617-687973	0.2824
NM_002477	chr4(.):666710-680817	0.8141
NM_006315	chr4(.):694572-769427	0.1337
NM_153376	chr4(.):7037575-7049728	0.4616
NM_001113363	chr4(.):6983888-7039845	0.2706
NM_152293	chr4(.):7040155-7064677	0.3127
NR_036090	chr4(.):10075234-10085316	0.1441
NM_182485	chr4(.):14999297-15076777	0.2335
NM_031889	chr4(.):71489460-71517536	0.0852
NM_144646	chr4(.):71516257-71537348	1.204
NM_020368	chr4(.):71549195-71561268	0.5716
NM_014961	chr4(.):71582695-71664274	0.1243
NM_001130709	chr4(.):71565653-71660614	0.1741
NM_017426	chr4(.):77030816-77074655	0.1279
NM_005506	chr4(.):77074893-77140035	0.3783
NM_020236	chr4(.):78778804-78878944	0.1825
NM_144645	chr4(.):87792357-87818575	0.0815
NM_025212	chr4(.):105388342-105417467	0.5777
NR_028085	chr4(.):186315693-186352139	0.3726
NM_018409	chr4(.):186280031-186305152	0.4909
NM_181726	chr4(.):186312839-186326390	0.7945
NM_001114357	chr4(.):186345544-186375821	0.1862
NM_001131005	chr5(.):88009057-88204922	0.251
NM_002397	chr5(.):88009057-88184283	0.2392
NM_001193349	chr5(.):88009057-88124744	0.0925
NM_016279	chr5(.):26875708-27043689	0.1731
NM_024669	chr5(.):55390506-55534186	0.4905
NR_027435	chr5(.):90671163-90721532	0.3163
NM_001020825	chr5(.):142652495-142788254	0.1903
NM_001018076	chr5(.):142652495-142789045	0.1896
NM_001018075	chr5(.):142652495-142820077	0.1672
NM_052909	chr5(.):135372-195087	0.2497
NM_145265	chr5(.):199874-223297	0.2554
NM_001080478	chr5(.):186625-200468	0.7847
NM_004168	chr5(.):213355-261814	0.1767
NM_001193376	chr5(.):1248286-1300162	0.4886
NM_030782	chr5(.):1312999-1350002	0.9176
NM_001145161	chr5(.):6443735-6501834	0.5377
NM_022130	chr5(.):32119823-32179425	0.2964
NM_006713	chr5(.):32580604-32609185	0.5201
NM_001102575	chr5(.):53808592-53847416	0.7742
NM_001145427	chr5(.):53808588-53847416	0.7741
NM_052870	chr5(.):53808592-53821834	1.56
NM_005921	chr5(.):56105899-56196978	0.2201
NM_020801	chr5(.):90659540-90684149	0.5529
NR_036052	chr5(.):118305280-118315362	0.0648
NM_016480	chr5(.):138672518-138710409	0.1213
NM_194296	chr5(.):138727455-138744776	0.4804
NM_152686	chr5(.):138740891-138780214	0.138
NM_152685	chr5(.):138697884-138724039	0.2491
NM_001033112	chr5(.):138673133-138710409	0.1223
NM_001161546	chr5(.):138722634-138735885	1.2989
NM_016459	chr5(.):138718256-138730605	1.5019
NM_001012301	chr5(.):149670908-149687525	0.2234
NM_015981	chr5(.):149594053-149674403	0.102
NM_001008657	chr5(.):149732201-149769195	0.1375
NM_001025158	chr5(.):149776199-149797332	0.6368
NM_001025159	chr5(.):149776201-149797323	0.6371
NM_001025071	chr5(.):149818791-149834319	0.2562
NR_027116	chr6(.):956240-1106567	0.2342
NM_004117	chr6(.):35536361-35661719	0.157
NM_001145776	chr6(.):35536361-35661692	0.157
NM_001145775	chr6(.):35536361-35701360	0.2182
NM_181356	chr6(.):44791469-45350670	0.1395
NM_003599	chr6(.):44792449-45350575	0.1395
NM_001160134	chr6(.):73326570-73913573	0.1203
NM_001195286	chr6(.):386738-416443	0.803
NM_000904	chr6(.):2995066-3024994	0.3464
NR_037616	chr6(.):7876482-8069647	0.3525
NM_002114	chr6(.):12007723-12170232	0.1986
NM_014641	chr6(.):30662583-30690458	0.5456
NM_172166	chr6(.):31702724-31735455	0.5289
NM_004348	chr6(.):45384913-45523819	0.2955
NM_001024630	chr6(.):45291053-45523819	0.2322
NM_016021	chr6(.):90031343-90067619	0.335
NM_017696	chr6(.):119129611-119257903	0.1656
NM_020185	chr6(.):287100-356355	1.8041
NM_001195291	chr6(.):2943392-2977399	0.099
NR_026855	chr6(.):2983200-2996405	0.3897
NM_003804	chr6(.):3072057-3120421	0.1148
NR_033884	chr6(.):3015389-3030005	0.7908
NM_001012983	chr6(.):3040617-3051034	0.0757
NM_001145549	chr6(.):7876482-7915310	0.8693
NM_030810	chr6(.):7876482-7916047	0.8939
NM_005319	chr6(.):26050967-26061699	0.811
NM_003537	chr6(.):26026816-26037288	1.4311
NM_003544	chr6(.):26022123-26032480	0.954
NM_021062	chr6(.):26038454-26048885	0.4839
NM_003531	chr6(.):26040638-26051097	0.4814
NM_005325	chr6(.):26012259-26023040	0.171
NM_003538	chr6(.):26016906-26027278	0.3932
NM_003513	chr6(.):26028319-26038796	1.1649
NM_003529	chr6(.):26015717-26026186	0.2218
NM_003526	chr6(.):26118694-26129132	1.0825
NM_139006	chr6(.):26082508-26100469	0.1303
NM_021065	chr6(.):26194011-26204471	0.7013
NM_003530	chr6(.):26192011-26204464	0.606
NM_138720	chr6(.):26153348-26176576	0.6695
NM_003523	chr6(.):26179023-26189458	0.2397
NM_003539	chr6(.):26183937-26194304	0.2784
NM_003545	chr6(.):26199872-26210249	0.4902
NM_021063	chr6(.):26153348-26163871	0.9804
NM_005321	chr6(.):26151558-26162343	0.9463
NM_003512	chr6(.):26119372-26129918	1.0699
NM_003542	chr6(.):26099175-26109565	0.3509
NM_005323	chr6(.):26102639-26113364	0.3279
NM_003522	chr6(.):26194786-26205216	0.7703
NM_003543	chr6(.):26280353-26290727	0.8601
NM_003532	chr6(.):26220382-26230844	0.29
NM_003524	chr6(.):26246878-26257303	0.8492
NM_003534	chr6(.):26266145-26276612	1.1371
NM_003547	chr6(.):26241838-26252205	0.724
NM_003540	chr6(.):26235653-26246021	0.1823
NM_021018	chr6(.):26245369-26255835	0.8482
NM_005320	chr6(.):26229439-26240216	0.6536
NM_003525	chr6(.):26268203-26278640	1.1486
NM_021064	chr6(.):27095816-27106314	1.4176
NM_080593	chr6(.):27101071-27119637	0.7932
NM_080596	chr6(.):27109907-27120346	0.719
NR_036096	chr6(.):27110404-27120467	0.7193
NM_021058	chr6(.):27095094-27105575	1.4753
NM_003495	chr6(.):27102087-27112457	0.5602
NM_003535	chr6(.):27853092-27863570	1.3642
NM_003527	chr6(.):27856202-27866669	1.4403
NM_003511	chr6(.):27828106-27838576	0.0652
NM_003533	chr6(.):27834622-27845099	0.0608
NM_005322	chr6(.):27829569-27840359	0.0645
NM_033057	chr6(.):27873962-27885174	0.072
NM_003514	chr6(.):27855476-27865963	1.4338
NM_003546	chr6(.):27835925-27846289	0.0638
NM_003587	chr6(.):30615895-30645830	0.1558
NM_001161376	chr6(.):30609815-30625987	0.2812
NM_133471	chr6(.):30639165-30660672	0.7056
NM_001134870	chr6(.):30639165-30660093	0.7183
NM_007243	chr6(.):30650825-30663769	0.8626
NM_005803	chr6(.):30690510-30715453	0.245
NM_003897	chr6(.):30705975-30717327	0.2991
NM_178014	chr6(.):30683156-30698195	0.8561
NM_021246	chr6(.):31678132-31690581	0.1073
NM_138275	chr6(.):31686160-31697851	0.2029
NR_033488	chr6(.):31649725-31675850	0.2147
NM_013974	chr6(.):31689816-31703039	0.3811
NM_001288	chr6(.):31693357-31709341	1.1302
NM_001003693	chr6(.):31669683-31683372	0.3201
NM_021160	chr6(.):31649725-31676137	0.2139
NR_024541	chr6(.):31674752-31686842	0.1077
NM_025261	chr6(.):31681424-31694510	0.1033
NM_001039651	chr6(.):31725772-31737624	0.1487
NM_025258	chr6(.):31728370-31750108	0.2942
NM_006120	chr6(.):32911390-32925899	0.4078
NM_002119	chr6(.):32966959-32982389	0.1388
NM_002118	chr6(.):32897405-32913847	0.3586
NM_005104	chr6(.):32931436-32954282	1.0391
NM_001113182	chr6(.):32933664-32954282	1.1374
NM_001199455	chr6(.):32934371-32954282	1.1679
NM_001199456	chr6(.):32935860-32954282	1.1872
NR_027117	chr6(.):35689538-35709724	0.7083
NM_207409	chr6(.):35739391-35752329	0.0802
NM_001010886	chr6(.):35743830-35760841	0.1032
NM_145028	chr6(.):35699858-35721685	0.2358
NM_001171629	chr6(.):43732945-43759223	0.6021
NM_001402	chr6(.):74220472-74235755	0.9905
NM_002043	chr6(.):89962238-90029967	0.1156
NM_182907	chr6(.):106541814-106562811	0.7783
NM_001198	chr6(.):106529194-106562814	0.7868
NM_014034	chr6(.):119210240-119235335	0.4777
NM_153255	chr6(.):119226761-119261327	0.1327
NM_001145207	chr6(.):135351994-135381036	0.1606
NM_006620	chr6(.):135276516-135381036	0.3139
NR_037435	chr6(.):135295475-135305570	0.0595
NM_001259	chr7(.):92229234-92468231	0.4065
NM_001145306	chr7(.):92229234-92470941	0.4031
NM_001017440	chr7(.):71239475-71807208	0.2182
NM_031468	chr7(.):71239475-71882360	0.2084
NM_003496	chr7(.):98471112-98615864	0.1822
NM_001913	chr7(.):101454291-101932250	0.2328
NM_181500	chr7(.):101454302-101932250	0.2328
NM_181552	chr7(.):101455881-101898344	0.2047
NM_001145354	chr7(.):130789854-131186398	0.1486
NM_001164458	chr7(.):149939300-150025758	0.1774
NM_006060	chr7(.):50339377-50477798	0.165
NM_001010932	chr7(.):81326443-81404452	0.1267
NM_017621	chr7(.):102091666-102110321	0.3071
NM_182931	chr7(.):104649636-104759532	0.2952
NM_003344	chr7(.):129467994-129597789	0.2123
NR_015431	chr7(.):130623918-130798562	0.1984
NR_024153	chr7(.):130623918-130796789	0.1989
NM_018238	chr7(.):141246077-141359209	0.392
NM_173680	chr7(.):150071405-150100719	0.4793
NM_003382	chr7(.):158815865-158942649	0.2415
NM_032317	chr7(.):73090247-73102781	0.8201
NM_004603	chr7(.):73108534-73139017	0.1536
NM_017528	chr7(.):73092897-73117542	0.4691
NM_001077621	chr7(.):73077173-73091440	0.1943
NR_036247	chr7(.):73120646-73130727	0.1302
NM_001134450	chr7(.):98439110-98472673	0.1063
NR_037403	chr7(.):98474272-98484352	1.0748
NM_020979	chr7(.):101923404-101967178	0.9412
NR_036245	chr7(.):101931368-101941453	1.0256
NM_032831	chr7(.):102068995-102102268	0.516
NM_024653	chr7(.):102031803-102072129	0.6868
NM_001146210	chr7(.):101981191-102001889	0.1552
NM_006234	chr7(.):102108547-102124381	0.3453
NM_152892	chr7(.):102100389-102118612	0.321
NR_027374	chr7(.):104530074-104572092	0.4056
NR_024586	chr7(.):104645988-104659588	1.4436
NM_001166346	chr7(.):114557208-114568720	0.8242
NM_199072	chr7(.):114557208-114664970	0.2716
NR_002144	chr7(.):128761324-128773050	0.9426
NM_178562	chr7(.):128779711-128814534	0.219
NM_013400	chr7(.):150060878-150076133	1.21
NM_014374	chr7(.):150063257-150076133	1.3886
NM_001142928	chr7(.):150015295-150040245	0.3866
NM_002889	chr7(.):150030406-150043763	0.1131
NM_138434	chr7(.):150021937-150034811	0.1284
NR_027237	chr7(.):150097839-150114558	1.745
NM_175571	chr7(.):150142961-150181483	0.1061
NR_034033	chr7(.):150125741-150150228	0.1796
NR_024394	chr7(.):158796044-158823929	0.165
NM_004103	chr8(.):27163998-27321903	0.4112
NM_173176	chr8(.):27178053-27321903	0.4252
NM_173175	chr8(.):27178080-27321903	0.4252
NM_001040627	chr8(.):102693769-103141562	0.285
NM_001040630	chr8(.):102693769-103142135	0.2848
NM_001101676	chr8(.):119196694-119639184	0.2358
NM_207506	chr8(.):119385226-119639184	0.3
NR_003367	chr8(.):128801778-129118499	0.2762
NM_001386	chr8(.):26430420-26520693	0.2781
NM_001197293	chr8(.):26366708-26520693	0.2355
NM_172060	chr8(.):72104667-72273979	0.1188
NM_000503	chr8(.):72104667-72279467	0.1311
NM_005079	chr8(.):80942104-81088836	0.3225
NM_173848	chr8(.):85090585-85839078	0.1563
NM_001100391	chr8(.):85092099-85839078	0.1565
NM_001100393	chr8(.):85090452-85839078	0.1563
NM_001135733	chr8(.):95933199-95966615	0.9305
NM_183419	chr8(.):101264287-101327327	0.6175
NM_013437	chr8(.):105496458-105606252	0.2183
NM_022783	chr8(.):120880899-121068157	0.3952
NM_173685	chr8(.):126099082-126384367	0.4855
NM_003033	chr8(.):134462090-134589183	0.2679
NM_005605	chr8(.):22293595-22403637	0.2214
NR_026765	chr8(.):29573775-29610625	0.15
NM_152765	chr8(.):67400490-67435759	0.7644
NM_001025252	chr8(.):80942104-80998010	0.1821
NM_057749	chr8(.):95887452-95912482	0.3294
NM_015435	chr8(.):101264287-101320487	0.4353
NM_001042510	chr8(.):102204265-102222960	0.6853
NM_001042511	chr8(.):102204265-102222873	0.6881
NM_001032282	chr8(.):103656004-103671168	1.0481
NM_005655	chr8(.):103656004-103672983	0.9661
NM_148174	chr8(.):103833535-103881397	0.3122
NM_025195	chr8(.):126437562-126455644	1.1541
NR_031610	chr8(.):128967878-128977941	0.2681
NR_031611	chr8(.):129016143-129026202	0.5115
NM_015158	chr9(.):499702-751103	0.198
NM_007203	chr9(.):112537576-112939791	0.185
NM_001004065	chr9(.):112805877-112939791	0.3541
NM_015033	chr9(.):132644465-132810473	0.2153
NR_033912	chr9(.):93820575-93842414	0.1641
NM_005384	chr9(.):94166326-94191144	0.4123
NM_001083603	chr9(.):98200263-98284247	0.2613
NM_001083606	chr9(.):98200263-98274699	0.2672
NM_001083607	chr9(.):98200263-98274481	0.2676
NM_001083605	chr9(.):98200263-98275322	0.2657
NM_000264	chr9(.):98200263-98275831	0.2646
NM_001012993	chr9(.):112956845-112975413	0.1281
NM_001136562	chr9(.):112882780-112939791	0.474
NM_005489	chr9(.):130495595-130538621	0.2028
NM_001142532	chr9(.):130495595-130529697	0.1315
NM_001142533	chr9(.):130495595-130522583	0.1376
