GENE_ID	locusLine	bin_1_38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
NM_001145312	chr1(.):157089458-157113383	0.1965
NM_001778	chr1(.):160643535-160686585	0.22
NM_021181	chr1(.):160704076-160729601	0.2202
NM_001077470	chr1(.):161194455-161213000	0.2036
NM_001039711	chr1(.):161085768-161107478	0.2196
NM_016406	chr1(.):161118533-161133646	0.2301
NM_004550	chr1(.):161164104-161189184	0.2263
NM_000309	chr1(.):161131180-161146010	0.2206
NM_001643	chr1(.):161187082-161198418	0.2518
NM_001185094	chr1(.):161082907-161095984	0.2388
NM_003779	chr1(.):161136100-161152314	0.2356
NM_012475	chr1(.):161124253-161140516	0.2457
NM_001039712	chr1(.):161085768-161107256	0.2184
NM_005600	chr1(.):161082861-161095984	0.2381
NM_001185093	chr1(.):161082906-161095984	0.2388
NM_032174	chr1(.):161190832-161205407	0.2081
NM_001166159	chr1(.):161166936-161189184	0.2291
NM_005099	chr1(.):161154537-161173845	0.2135
NM_004106	chr1(.):161180086-161194038	0.2038
NM_001102566	chr1(.):161223516-161260240	0.1509
NM_016545	chr1(.):181052637-181064979	0.2223
NM_002927	chr1(.):192600281-192634389	0.1315
NM_002922	chr1(.):192539856-192554159	0.2195
NM_001195216	chr1(.):197698138-197749623	0.1693
NM_005298	chr1(.):200837165-200848251	0.1346
NM_018265	chr1(.):200855638-200889864	0.1864
NM_001142569	chr1(.):200858998-200889864	0.178
NM_017596	chr1(.):200933519-200997828	0.1814
NR_034150	chr1(.):203262885-203279453	0.2404
NM_003465	chr1(.):203180206-203203860	0.1776
NM_006763	chr1(.):203269663-203283729	0.2415
NM_002023	chr1(.):203304751-203325289	0.1804
NR_003019	chr1(.):203693708-203703833	0.1409
NM_001136190	chr1(.):203729283-203750480	0.1788
NM_001174108	chr1(.):203761650-203774590	0.1759
NM_002646	chr1(.):204386757-204464474	0.1669
NM_002393	chr1(.):204480510-204532248	0.1819
NM_014858	chr1(.):205192037-205247471	0.2054
NM_030952	chr1(.):205266190-205295883	0.2162
NM_000707	chr1(.):206219282-206236482	0.1665
NM_001007544	chr1(.):206233871-206293647	0.1834
NM_148964	chr1(.):206312458-206337104	0.1457
NM_006893	chr1(.):206759973-206790904	0.1829
NM_182665	chr1(.):206725491-206767616	0.2389
NM_000572	chr1(.):206935947-206950839	0.2095
NM_013371	chr1(.):206997221-207021325	0.1913
NM_001185157	chr1(.):207065787-207082484	0.1565
NM_153758	chr1(.):206967214-207021324	0.2151
NM_002644	chr1(.):207096866-207124811	0.1995
NM_001170631	chr1(.):207126311-207148970	0.1747
NR_026817	chr1(.):207986723-208000941	0.2421
NR_029832	chr1(.):207970196-207980284	0.2102
NR_029518	chr1(.):207970787-207980868	0.226
NM_152485	chr1(.):209950661-209962890	0.1928
NM_005525	chr1(.):209873190-209913295	0.1784
NM_025228	chr1(.):209924393-209960668	0.2183
NM_183059	chr1(.):211644863-211671259	0.1623
NM_021194	chr1(.):211743380-211757099	0.2328
NM_001748	chr1(.):223895118-223968720	0.1805
NM_001146068	chr1(.):223884294-223968720	0.1821
NM_001136018	chr1(.):225992796-226038262	0.1646
NM_000120	chr1(.):226008001-226038262	0.1691
NM_020997	chr1(.):226068981-226081836	0.1741
NM_014698	chr1(.):226028232-226075420	0.2092
NM_013328	chr1(.):226102579-226116965	0.1951
NR_002315	chr1(.):226245427-226264703	0.1952
NM_002107	chr1(.):226245420-226264703	0.1952
NM_181441	chr1(.):228289379-228302013	0.2102
NR_037415	chr1(.):228279963-228290042	0.1741
NM_001024227	chr1(.):228265850-228291913	0.214
NM_001024226	chr1(.):228265360-228291913	0.2119
NM_024319	chr1(.):228283427-228296022	0.194
NM_001159390	chr1(.):228322928-228341655	0.185
NM_182972	chr1(.):234735014-234750271	0.2519
NR_033927	chr1(.):234760056-234775526	0.1788
NM_030645	chr1(.):249099650-249125154	0.2226
NM_024836	chr1(.):249127529-249148714	0.2091
NM_001136036	chr1(.):249139202-249158125	0.2033
NM_001193328	chr1(.):249139202-249158315	0.2028
NR_036070	chr1(.):249115575-249125642	0.2643
NM_001017434	chr1(.):249195441-249218345	0.1831
NM_015535	chr2(.):201165603-201351986	0.1252
NM_001100422	chr2(.):201165984-201351986	0.1253
NM_001100423	chr2(.):201166355-201351986	0.1253
NM_134421	chr2(.):10438825-10572743	0.1254
NM_002149	chr2(.):10438039-10572743	0.1253
NM_014600	chr2(.):31451879-31496260	0.099
NM_001083590	chr2(.):27250773-27269565	0.1477
NM_020458	chr2(.):47163312-47308275	0.138
NR_033872	chr2(.):70184394-70319147	0.1135
NR_015395	chr2(.):112119590-112257692	0.1371
NR_024373	chr2(.):112181885-112257692	0.1559
NM_001099289	chr2(.):109740996-110267207	0.1005
NM_015488	chr2(.):219130114-219216516	0.1253
NM_022152	chr2(.):219133916-219162280	0.1646
NM_001012514	chr2(.):231724620-231748963	0.0818
NM_145693	chr2(.):11881739-11972533	0.1431
NM_183360	chr2(.):25595111-25901503	0.1178
NM_170672	chr2(.):33656415-33794798	0.1191
NM_005813	chr2(.):37472645-37549222	0.1421
NM_019063	chr2(.):42391489-42564688	0.1091
NM_012249	chr2(.):46764866-46816827	0.1439
NM_178313	chr2(.):54780530-54894445	0.1312
NM_003128	chr2(.):54678453-54903583	0.1261
NM_014755	chr2(.):64853754-64886046	0.143
NR_036586	chr2(.):65123973-65164581	0.1604
NM_002398	chr2(.):66657531-66804891	0.0963
NM_017880	chr2(.):70372016-70423151	0.1072
NR_027749	chr2(.):74705199-74726691	0.121
NM_001080824	chr2(.):85043795-85113252	0.116
NM_003896	chr2(.):86061270-86121157	0.1307
NR_024204	chr2(.):87749973-87826030	0.1344
NM_004836	chr2(.):88851258-88932094	0.1289
NM_144563	chr2(.):88986175-89055452	0.1261
NM_004027	chr2(.):99056320-99212496	0.1598
NM_001566	chr2(.):99056320-99203284	0.1623
NM_001193483	chr2(.):109145856-109308702	0.1243
NM_001142807	chr2(.):111485149-111880799	0.1218
NM_022662	chr2(.):112521639-112646741	0.1132
NM_006343	chr2(.):112651190-112791945	0.1234
NM_002410	chr2(.):135006829-135211468	0.1242
NM_001077269	chr2(.):175419301-175552627	0.1197
NM_004226	chr2(.):196993306-197041336	0.1247
NM_153697	chr2(.):197959194-198180521	0.1178
NM_001195144	chr2(.):197846385-198180521	0.113
NM_001228	chr2(.):202093165-202157434	0.1376
NM_003879	chr2(.):201975889-202034003	0.148
NM_001127184	chr2(.):201975815-202011323	0.1635
NM_173822	chr2(.):201833440-201941392	0.1091
NM_033358	chr2(.):202093165-202151638	0.1407
NM_001037631	chr2(.):204727508-204743683	0.1379
NM_003709	chr2(.):207940528-208035614	0.1232
NM_022730	chr2(.):232646161-232678434	0.059
NM_005737	chr2(.):235396685-235410693	0.0732
NM_001137551	chr2(.):238595806-238695290	0.0657
NM_001137550	chr2(.):238531223-238695290	0.0614
NM_017844	chr2(.):241413838-241502405	0.0581
NM_001195381	chr2(.):241539824-241575676	0.0516
NM_002539	chr2(.):10575507-10593453	0.1646
NR_028374	chr2(.):10581839-10591975	0.1777
NM_002997	chr2(.):20395557-20429927	0.1729
NM_001006946	chr2(.):20395557-20430194	0.172
NM_004040	chr2(.):20641834-20654201	0.1353
NM_178553	chr2(.):27354714-27367332	0.1457
NM_007046	chr2(.):27296434-27314265	0.1654
NM_001166239	chr2(.):27318461-27346773	0.1217
NM_001166240	chr2(.):27317220-27346995	0.1226
NM_013388	chr2(.):27348624-27362542	0.1473
NM_006488	chr2(.):27304610-27328619	0.1391
NM_001035507	chr2(.):27269490-27287403	0.15
NM_021831	chr2(.):27269490-27298490	0.1483
NM_001166241	chr2(.):27317220-27338970	0.1143
NM_032604	chr2(.):27341656-27358680	0.1484
NM_175769	chr2(.):27366944-27380819	0.1312
NM_001134693	chr2(.):27288341-27299567	0.1611
NM_080592	chr2(.):27429898-27445046	0.1505
NM_001170795	chr2(.):27430218-27445046	0.1506
NM_021095	chr2(.):27417454-27440175	0.1324
NM_001145122	chr2(.):31390921-31445411	0.1109
NM_015376	chr2(.):33733941-33794798	0.1204
NM_001139488	chr2(.):33696320-33794798	0.1324
NM_012413	chr2(.):37566752-37605465	0.1753
NM_138370	chr2(.):42270160-42290668	0.0959
NM_006887	chr2(.):43444540-43458745	0.1843
NR_027251	chr2(.):43449349-43460994	0.1597
NM_080653	chr2(.):46733985-46752096	0.1059
NM_173074	chr2(.):46803412-46849251	0.1194
NM_014171	chr2(.):46839324-46857881	0.1167
NM_001171507	chr2(.):47124008-47148251	0.1374
NM_001171506	chr2(.):47124008-47148007	0.1381
NM_001171508	chr2(.):47124008-47173994	0.1342
NM_002354	chr2(.):47591286-47619167	0.0999
NR_002229	chr2(.):54751358-54761978	0.1589
NR_033837	chr2(.):64407212-64437619	0.1275
NR_034023	chr2(.):64829445-64848616	0.1202
NM_001193493	chr2(.):65210578-65256000	0.143
NM_003038	chr2(.):65211494-65256000	0.1438
NM_181784	chr2(.):65532984-65664656	0.1186
NM_001128210	chr2(.):65532984-65598931	0.1074
NM_014882	chr2(.):68996932-69058957	0.1258
NM_001166277	chr2(.):68956912-69058957	0.1327
NM_006196	chr2(.):70309584-70321334	0.192
NR_024444	chr2(.):70346167-70357448	0.1398
NM_053050	chr2(.):74694108-74704927	0.1144
NM_032779	chr2(.):74694958-74715357	0.1264
NM_001146158	chr2(.):74683183-74697537	0.14
NM_001015056	chr2(.):74647987-74672710	0.121
NM_012477	chr2(.):74680576-74693010	0.1596
NM_001145054	chr2(.):74636302-74649844	0.1325
NM_001015055	chr2(.):74647987-74674060	0.1221
NM_031288	chr2(.):74677198-74690087	0.1548
NM_032118	chr2(.):74643884-74657882	0.1328
NM_016170	chr2(.):74736595-74749275	0.1189
NM_001009812	chr2(.):74719643-74735443	0.1369
NM_032673	chr2(.):74727169-74739821	0.1548
NM_133637	chr2(.):74740257-74758408	0.1335
NM_013247	chr2(.):74751531-74765683	0.1542
NM_181575	chr2(.):74748774-74761974	0.1434
NR_024606	chr2(.):74724743-74737192	0.1636
NM_021103	chr2(.):85127762-85138799	0.1419
NM_020122	chr2(.):85193230-85291595	0.101
NM_001042437	chr2(.):86061271-86099793	0.1253
NM_015425	chr2(.):86248450-86338278	0.1375
NM_017952	chr2(.):86328304-86374280	0.1333
NR_026984	chr2(.):86242338-86255991	0.1005
NR_015424	chr2(.):89060418-89111109	0.1468
NR_026875	chr2(.):97158382-97178846	0.132
NM_212481	chr2(.):97197463-97223371	0.1788
NM_001193484	chr2(.):109232701-109308702	0.1195
NM_001193485	chr2(.):109266266-109308702	0.1156
NM_001193482	chr2(.):109218616-109308702	0.1249
NM_001193488	chr2(.):109199921-109308702	0.1287
NM_004987	chr2(.):109199766-109308702	0.1287
NR_037627	chr2(.):110700266-110731149	0.0897
NR_027244	chr2(.):111127685-111147113	0.1297
NR_037627	chr2(.):111155495-111186393	0.0917
NM_002101	chr2(.):127408683-127459246	0.1161
NM_033416	chr2(.):131095488-131109197	0.1145
NM_014369	chr2(.):131108579-131137982	0.119
NM_032357	chr2(.):131090815-131104922	0.1202
NR_024275	chr2(.):135201959-135217192	0.1077
NM_006186	chr2(.):157175943-157194287	0.1114
NM_004288	chr2(.):158266130-158305604	0.1383
NM_003387	chr2(.):175419301-175504307	0.1282
NM_002491	chr2(.):201931461-201955473	0.1294
NM_001127183	chr2(.):201978386-202033841	0.1489
NM_032974	chr2(.):202042620-202099110	0.1542
NM_001230	chr2(.):202042620-202091383	0.1521
NM_033356	chr2(.):202120222-202157434	0.1363
NM_001080125	chr2(.):202117753-202157434	0.1353
NM_006139	chr2(.):204566197-204607557	0.1408
NR_036227	chr2(.):207969710-207979797	0.1008
NM_152862	chr2(.):219076873-219124071	0.1297
NM_000634	chr2(.):219022567-219036716	0.1302
NM_001077194	chr2(.):219120737-219133582	0.1138
NM_005731	chr2(.):219077119-219124071	0.1302
NM_001087	chr2(.):219123851-219139893	0.1303
NM_022572	chr2(.):219182901-219216516	0.1073
NM_017431	chr2(.):219682105-219701512	0.1146
NM_025216	chr2(.):219740254-219763651	0.1721
NM_006522	chr2(.):219719545-219743954	0.1101
NM_001099285	chr2(.):232568234-232583250	0.1152
NM_002601	chr2(.):232592146-232650974	0.0574
NR_036052	chr2(.):232573023-232583105	0.1005
NR_031717	chr2(.):232751951-232762008	0.0503
NM_004735	chr2(.):238595806-238679558	0.0652
NM_022817	chr2(.):239147678-239202207	0.0655
NR_026923	chr2(.):239135326-239147985	0.0625
NM_001142853	chr2(.):239141907-239153681	0.0599
NR_026926	chr2(.):239128753-239145318	0.0609
NM_023083	chr2(.):241521132-241543526	0.0627
NM_001033575	chr2(.):241494470-241508431	0.0857
NM_018226	chr2(.):241503103-241523143	0.0712
NM_003549	chr3(.):50325261-50341899	0.167
NM_015303	chr3(.):184524930-184775402	0.1582
NM_014674	chr3(.):5224358-5266650	0.1628
NM_001683	chr3(.):10360706-10552268	0.1176
NM_001195099	chr3(.):15703743-15803058	0.1176
NM_001195098	chr3(.):15703743-15844691	0.1168
NM_015199	chr3(.):15703743-15906053	0.1149
NM_003571	chr3(.):133113789-133199056	0.1362
NM_207015	chr3(.):174572110-175528428	0.1334
NM_001135095	chr3(.):171753343-172123492	0.171
NM_022763	chr3(.):171752417-172123492	0.1714
NM_181361	chr3(.):178249223-178567217	0.1458
NM_001570	chr3(.):10201562-10290427	0.1221
NM_001134382	chr3(.):12933718-13119617	0.1245
NM_024923	chr3(.):13352736-13466809	0.1198
NM_014869	chr3(.):12933718-13013960	0.1154
NM_144636	chr3(.):14148576-14171371	0.1583
NM_001184958	chr3(.):14711605-14819543	0.1203
NM_003884	chr3(.):20076523-20200896	0.1024
NM_001024847	chr3(.):30642993-30740633	0.1231
NM_004206	chr3(.):42584472-42628428	0.1136
NM_032970	chr3(.):42589391-42628428	0.1129
NM_001123396	chr3(.):46390234-46405868	0.142
NM_001174051	chr3(.):50395230-50545892	0.1137
NM_025222	chr3(.):52283437-52317659	0.1476
NM_006254	chr3(.):53190222-53231733	0.1352
NM_181042	chr3(.):52574367-52718739	0.1024
NM_018313	chr3(.):52574367-52724866	0.1057
NM_015541	chr3(.):66424220-66555845	0.1062
NM_007114	chr3(.):69063977-69106484	0.1107
NM_002213	chr3(.):124476794-124611144	0.128
NM_032343	chr3(.):126418117-126684244	0.1048
NM_001001487	chr3(.):130608433-130740555	0.1131
NM_001199181	chr3(.):130564368-130727046	0.1146
NM_001199180	chr3(.):130564368-130740555	0.1141
NM_001199179	chr3(.):130607834-130727046	0.1141
NM_001001485	chr3(.):130607858-130740555	0.1135
NM_001199184	chr3(.):130607904-130727046	0.1141
NM_014382	chr3(.):130608291-130727046	0.1137
NM_001134422	chr3(.):133287433-133314118	0.1686
NM_001134423	chr3(.):133288300-133314118	0.169
NM_006506	chr3(.):141200925-141336197	0.1134
NM_001080412	chr3(.):141038054-141173632	0.1726
NM_016275	chr3(.):150316065-150353234	0.1297
NM_001190242	chr3(.):159969773-160106554	0.136
NM_001190241	chr3(.):159969773-160122320	0.1407
NM_024665	chr3(.):176733541-176920048	0.1734
NM_005832	chr3(.):178271617-178567217	0.1426
NM_130446	chr3(.):183200318-183278499	0.2346
NM_173216	chr3(.):186643314-186801341	0.194
NM_003032	chr3(.):186734664-186801341	0.2033
NM_005524	chr3(.):193848933-193861396	0.2253
NM_152531	chr3(.):194784012-194996895	0.161
NM_003670	chr3(.):5016096-5031865	0.1447
NM_015931	chr3(.):8656319-8698737	0.1016
NM_014760	chr3(.):10285176-10327906	0.1156
NR_030614	chr3(.):10431172-10441246	0.179
NM_024334	chr3(.):14161439-14190180	0.1435
NM_016474	chr3(.):14688252-14719166	0.1202
NR_027694	chr3(.):20016452-20058765	0.0949
NM_194293	chr3(.):39219706-39239077	0.1397
NM_001198621	chr3(.):39219705-39239085	0.1399
NM_005385	chr3(.):42637146-42695233	0.1139
NM_016305	chr3(.):42627297-42641490	0.1185
NM_014240	chr3(.):45631322-45727755	0.1334
NM_001295	chr3(.):46238199-46254832	0.1843
NM_001837	chr3(.):46278871-46313197	0.1117
NM_003965	chr3(.):46443720-46456014	0.1182
NM_001199149	chr3(.):46472495-46510161	0.1219
NM_002343	chr3(.):46472495-46511598	0.1208
NM_001100168	chr3(.):46406632-46422697	0.1393
NM_001130910	chr3(.):46444048-46456014	0.1183
NM_003212	chr3(.):46614075-46628952	0.1056
NM_001174136	chr3(.):46611044-46628952	0.1036
NM_024512	chr3(.):46551877-46613011	0.1247
NM_031440	chr3(.):46534484-46547439	0.1349
NM_001166425	chr3(.):50279325-50301786	0.1464
NM_006841	chr3(.):50237691-50263406	0.1146
NM_153215	chr3(.):50311517-50330545	0.1385
NM_006764	chr3(.):50320162-50335026	0.1455
NM_002070	chr3(.):50268646-50301786	0.1518
