GENE	IRF4H3K27ac_32_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_32_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
BAT2L2	2325.8	384.5305	-1941.2695	0.141875870857816	-2.59655710322322
MTR	2061.0216	122.3183	-1938.7033	0.0560234803568606	-4.07464745849735
MAGEF1	2143.0234	207.6372	-1935.3862	0.0883314247918223	-3.36751075985039
MAP2K3	2606.765	679.309	-1927.456	0.206723585652666	-1.94012065636091
LYSMD1	2666.0686	747.3656	-1918.703	0.218948295531814	-1.8348278370622
SCNM1	2666.0686	747.3656	-1918.703	0.218948295531814	-1.8348278370622
TMEM62	2057.4874	143.8879	-1913.5995	0.0653627302895603	-3.83786641425813
LOC348840	2181.8	270.4248	-1911.3752	0.110277328571182	-3.01221949072561
CYP51A1	1988.8024	84.4105	-1904.3919	0.04071482480164	-4.5583336622884
PJA2	2316.4	412.2388	-1904.1612	0.151078552426946	-2.49033219880823
C1orf151	2041.8	141.9462	-1899.8538	0.0650012350336317	-3.84642542440972
OPA1	1948.6	57.8781	-1890.7219	0.0288456176023053	-5.0732765982885
MDH1	1896.7084	10.2825	-1886.4259	0.00539200265717052	-7.52716301375978
HELQ	1905.2577	26.0568	-1879.2009	0.0134917435767194	-6.19218241633983
ATAD2B	2282	404.0976	-1877.9024	0.150440400974261	-2.49752310336274
ATAD2	2296.728	420.4498	-1876.2782	0.154737684077943	-2.4495745454573
GANC	1913.586	39.6545	-1873.9315	0.020301903426639	-5.59265033703108
THAP5	2634.7803	769.284	-1865.4963	0.225989855714535	-1.77609446059536
STK19	1987.2911	124.1896	-1863.1015	0.0588163557450466	-4.00018694696664
GABPB1	1958.7321	96.9986	-1861.7335	0.0471844877347018	-4.33581235562402
MRPS18C	1886.5633	26.0568	-1860.5065	0.0136236150608268	-6.17795677821181
SON	2408.238	550.9922	-1857.2458	0.186194436647747	-2.12787417614479
EIF4A2	3958.9272	2102.6484	-1856.2788	0.346881493979882	-0.912901912041199
SLC30A6	1855.6578	0	-1855.6578	0	-8
RPL37	2442.2	587.2656	-1854.9344	0.193851219172121	-2.05609631502201
PNPLA6	1875.0699	26.7933	-1848.2766	0.014087921781125	-6.12892828622078
ZBED5	2057.9277	210.1376	-1847.7901	0.092650595201117	-3.29178606555158
HEATR1	1839.96	0	-1839.96	0	-8
ECE2	2568.5437	729.4565	-1839.0872	0.22118146020731	-1.81605676627808
LIN54	1953.801	120.415	-1833.386	0.0580532596412331	-4.0201965085661
NCLN	1885.7124	54.5024	-1831.21	0.0280909103466276	-5.11264608947697
SLC19A2	1926.8	96.298	-1830.502	0.0475992759619158	-4.32255718356849
ITGB3BP	2028.7359	204.3652	-1824.3707	0.0915163223017534	-3.31135961258121
HNRNPR	2725.2	906.4656	-1818.7344	0.249600513879912	-1.58803793544637
LOC729013	2025.4953	210.1376	-1815.3577	0.0939946804325522	-3.26886850518096
TXNDC9	1950.5122	139.2237	-1811.2885	0.0666226292040061	-3.80837629545355
EFCAB7	2010.6288	204.3652	-1806.2636	0.0922644485718697	-3.29842530221744
DNAJB9	2574.8133	769.284	-1805.5293	0.230042349545272	-1.74287961832076
DOM3Z	1919.476	124.1896	-1795.2864	0.0607680630334043	-3.95009625345556
URB1	1866.6883	88.0224	-1778.6659	0.0450309091775064	-4.40646652744768
GPATCH2	1773.7885	0	-1773.7885	0	-8
TPR	3068.3296	1298.3634	-1769.9662	0.297333336692092	-1.24075922852373
C21orf119	1856.8243	88.0224	-1768.8019	0.0452592998718099	-4.39882278955732
EXO1	1776.008	7.592	-1768.416	0.00425655976676385	-7.86994237260276
RPS3A	2032.2223	265.4755	-1766.7468	0.115539780731826	-2.93640759379861
GIMAP2	1753.0752	0	-1753.0752	0	-8
AKR1B1	1832.423	89.1176	-1743.3054	0.0463782029898301	-4.36189838571031
C4orf43	2005.4	281.8729	-1723.5271	0.123235360328013	-2.83077334223075
INTS4	1839.9069	120.682	-1719.2249	0.0615539545286623	-3.93035035126035
SPATA17	1712.942	0	-1712.942	0	-8
LOC387723	1937	224.3882	-1712.6118	0.10381670446799	-3.1097552385195
RG9MTD2	1838.9102	131.752	-1707.1582	0.0668567144587236	-3.80295426264931
C1orf9	2126.4741	421.496	-1704.9781	0.165424233196457	-2.33487243819458
CCL5	1933.8	229.3488	-1704.4512	0.106025438471917	-3.07582333015559
PIKFYVE	1819	119.248	-1699.752	0.0615236027587801	-3.93110856799212
VRK2	1830.991	131.2937	-1699.6973	0.0669085887486153	-3.80175510308
CCDC77	1804.394	116.0208	-1688.3732	0.0604144479619715	-3.95905901648448
PANX1	1768	80.057	-1687.943	0.0433195512908963	-4.46494691031016
DUS4L	1682.3472	0	-1682.3472	0	-8
HNRNPH3	2040.9403	360.5477	-1680.3926	0.150135124556109	-2.50097193847737
CEP290	1681.5307	1.43	-1680.1007	0.000849693043931448	-8
AIMP1	1679.7264	0	-1679.7264	0	-8
NUP205	2042.3568	362.7859	-1679.5709	0.150837578161163	-2.49304463681666
TMTC3	1680.875	1.43	-1679.445	0.000850024222718235	-8
TBCK	1673.6082	0	-1673.6082	0	-8
KDM5A	1786.985	116.0208	-1670.9642	0.0609671289493705	-3.94507214698877
ZC3HAV1	2259.6	592.5823	-1667.0177	0.207764524729012	-1.93097996597651
EIF2B5	2113.2	451.9593	-1661.2407	0.176191513720025	-2.22516454948857
NAF1	1828.2294	170.412	-1657.8174	0.085263919780707	-3.42334827087399
TADA1	1845.564	187.8895	-1657.6745	0.0923992114892227	-3.29610541718071
SMARCAL1	1717.8868	64.0266	-1653.8602	0.0359313757896428	-4.74581976245502
C9orf102	1716.856	65.8181	-1651.0379	0.0369209941402077	-4.70514084908042
ZNF678	1694.2314	45.8744	-1648.357	0.0263629947098619	-5.20679783399151
KIF9	1819.0944	181.3376	-1637.7568	0.09064921976853	-3.32647041084784
KLHL18	1819.0944	181.3376	-1637.7568	0.09064921976853	-3.32647041084784
C2orf7	1670.3457	32.6235	-1637.7222	0.0191568350149844	-5.67809133872871
KLHL20	1823.9424	189.7476	-1634.1948	0.0942288038377307	-3.26490662688076
DCAF6	2515.7119	882.8766	-1632.8353	0.259777434072998	-1.51068300281515
RPL7	1703.7535	73.884	-1629.8695	0.041563029582803	-4.52731083613226
CCDC25	2104.2828	475.881	-1628.4018	0.184438290313196	-2.14465584537845
TAF7	1627.207	0	-1627.207	0	-8
SNORA7A	1620.9314	0	-1620.9314	0	-8
MDN1	1821.4	204.6238	-1616.7762	0.100997727667365	-3.1540019279594
APBA3	2400.9359	786.492	-1614.4439	0.246748169582126	-1.61009289102749
STAM2	1721.2377	112.5425	-1608.6952	0.0613718590701328	-3.93490452310909
GPR37	2262.862	654.6267	-1608.2353	0.224380200684239	-1.78940425361115
ZNF271	1607.004	0.978	-1606.026	0.000608215763609294	-8
ZSCAN30	1607.004	0.978	-1606.026	0.000608215763609294	-8
DUSP4	2558.1779	953.2714	-1604.9065	0.271475199713121	-1.42415767664712
CTSS	1604.687	0	-1604.687	0	-8
FAM164A	1674.933	81.282	-1593.651	0.0462824881919355	-4.36502367533013
SPTY2D1	1719.6712	127.2668	-1592.4044	0.0689069151211356	-3.7562047303542
CCDC45	2029.1091	438.7018	-1590.4073	0.177769617599144	-2.20953390631669
SEC23B	2288.4452	698.5177	-1589.9275	0.233855499176103	-1.71199916681771
MITF	1882.5009	295.9718	-1586.5291	0.135862065198246	-2.66911892615899
VTRNA1-1	2004.0192	420.0152	-1584.004	0.173271138396386	-2.25438288681504
FBXO38	1637.4	57.3955	-1580.0045	0.0338657377837031	-4.83432536102309
C4orf46	1822.0474	245.1237	-1576.9237	0.118579299023675	-2.89397860659686
ZC3H6	1592.3984	16.3412	-1576.0572	0.0101577657440645	-6.60654358646584
C2orf47	1649.366	77.142	-1572.224	0.044680939792923	-4.4182512130053
C2orf60	1649.366	77.142	-1572.224	0.044680939792923	-4.4182512130053
LOC645513	1659	87.4841	-1571.5159	0.050091552508265	-4.24514924124423
C1orf27	2865.2464	1298.3634	-1566.883	0.311835993853218	-1.14196497349723
DLD	1704.6648	141.1119	-1563.5529	0.0764512305307571	-3.59457651906546
HAT1	1619.6296	60.605	-1559.0246	0.0360693679323114	-4.74008328149282
ETFDH	1801.2682	245.1237	-1556.1445	0.11978336114407	-2.87743112315632
SHB	1697.3348	145.073	-1552.2618	0.078740982316727	-3.5484202202389
PPPDE1	1653.1935	102.7824	-1550.4111	0.0585329217787101	-4.00759044634532
MRPL47	4806.844	3261.3768	-1545.4672	0.40422503062881	-0.559608852319772
FRG1B	1568.1926	24.5464	-1543.6462	0.0154114390367788	-5.99744749400102
TOR1AIP1	5237.8	3695.4992	-1542.3008	0.413676864198168	-0.503191711461773
DHX8	1547.2109	5.4912	-1541.7197	0.00353654445369785	-8
LOC100129961	1624.4536	85.1497	-1539.3039	0.0498067007708747	-4.25380927868241
MTTP	1670.815	131.752	-1539.063	0.0730913192131	-3.6646552333864
THADA	1533.0949	0	-1533.0949	0	-8
FAM53C	2353.9266	824.1508	-1529.7758	0.259323703066514	-1.51408908948275
CCDC59	1527.9495	0	-1527.9495	0	-8
THOC1	1567.6	41.6826	-1525.9174	0.0259013550510022	-5.23296839764587
C12orf26	1524.4687	0	-1524.4687	0	-8
C9orf130	1588.732	65.8181	-1522.9139	0.0397800586395057	-4.59324758951365
KCTD3	1590.292	69.4937	-1520.7983	0.0418690798456692	-4.51626568349158
C7orf13	1916.296	399.297	-1516.999	0.172438334370505	-2.2627862858166
RNF32	1916.296	399.297	-1516.999	0.172438334370505	-2.2627862858166
NDUFB5	4777.724	3261.3768	-1516.3472	0.40568925320603	-0.550842383375776
DNAJC25-GNG10	1551.8	40.3712	-1511.4288	0.0253560672369906	-5.26447235065663
FLJ33630	1680.2916	170.5832	-1509.7084	0.0921635542285194	-3.30016414793011
RPL35A	2187.707	678.7105	-1508.9965	0.236780057336379	-1.68855129301363
UBE3C	1677.8	170.3202	-1507.4798	0.0921586160900141	-3.30024929729857
UGP2	2275.9784	770.4231	-1505.5553	0.252896113660658	-1.56276399989702
LOC100287814	2426	921.0845	-1504.9155	0.275190094543475	-1.39717413057218
ANKRD13C	1900.1043	395.8471	-1504.2572	0.172410922983823	-2.26306342548236
IFRD1	2764.597	1262.2805	-1502.3165	0.313463843884002	-1.13103665458276
KIF24	1564.119	62.4083	-1501.7107	0.0383690455118706	-4.6474685552562
COG5	1497.6	0	-1497.6	0	-8
RPF2	1513.4	21.5018	-1491.8982	0.0140085834807152	-6.13719210148771
SMC5	1487.6722	0	-1487.6722	0	-8
MTUS1	2495.8602	1011.3366	-1484.5236	0.288360379434653	-1.30327388229596
NUP35	1507.5333	27.4959	-1480.0374	0.0179122976944022	-5.77682955014925
KCTD9	1530.472	53.2274	-1477.2446	0.0336095347387263	-4.84566374413386
LINS	1613.4273	136.4254	-1477.0019	0.0779639337642534	-3.56394439355662
FZD1	1522.8	45.9867	-1476.8133	0.029313545302239	-5.04936599097601
PHTF2	1524.3189	47.56	-1476.7589	0.0302567837764092	-5.00227223271885
DPP3	1767.3636	293.7039	-1473.6597	0.142500864236615	-2.5891645483215
KIAA1712	2166.4611	699.4423	-1467.0188	0.244056481457121	-1.63106337915988
SMN1	1466.6808	0	-1466.6808	0	-8
STK35	1917.8	452.27	-1465.53	0.190825587429907	-2.08419606774878
TCP11L1	1461.4067	0	-1461.4067	0	-8
MRPL13	1498.6528	39.0319	-1459.6209	0.025383552297815	-5.26286868358436
MTBP	1498.6528	39.0319	-1459.6209	0.025383552297815	-5.26286868358436
POLR1B	2091.2528	635.2785	-1455.9743	0.232998792275005	-1.7189063725675
LOC388789	1489.509	34.518	-1454.991	0.0226492050337691	-5.43134415447047
ENPP1	1451.6398	0	-1451.6398	0	-8
NUDT9	1451.5747	0	-1451.5747	0	-8
XAB2	1485.5655	35.1536	-1450.4119	0.0231164322194677	-5.40119596617889
FRA10AC1	1487.9413	39.2385	-1448.7028	0.0256934383233723	-5.24490391071993
PRMT3	1644.4	197.1556	-1447.2444	0.107059270977211	-3.06015468262027
HHLA3	1842.1893	395.8471	-1446.3422	0.176872503056697	-2.21840613048311
GOSR2	1446.0105	0	-1446.0105	0	-8
SLC35F2	1840	395.4588	-1444.5412	0.176902745870333	-2.218106462633
DHX36	1830.252	386.3728	-1443.8792	0.174306810967738	-2.2439768614952
SCAND1	1920.2	479.5039	-1440.6961	0.199817944205533	-2.00164212942471
NUDT2	1502.7835	62.4083	-1440.3752	0.0398726213618037	-4.58975545743997
FAM165B	1441.5819	4.5604	-1437.0215	0.00315349326273078	-8
CCT7	1469.2287	32.6235	-1436.6052	0.0217221774552782	-5.49300360357098
NCRNA00219	1436.0679	0	-1436.0679	0	-8
ZNF292	1573	137.4274	-1435.5726	0.080346818578795	-3.51677709115622
ALS2CR8	1514.0662	80.7112	-1433.355	0.0506096963751806	-4.22951559094925
UBN2	1474.4	42.5646	-1431.8354	0.0280590595192531	-5.11433009305791
LOC100131801	1466.5311	35.1536	-1431.3775	0.0234094414093718	-5.3825914157424
IBTK	1831	399.6718	-1431.3282	0.179171046139553	-2.19574410319522
EIF4G2	1640.7766	210.1376	-1430.639	0.113531788777675	-2.96497258983636
IWS1	1610	179.9341	-1430.0659	0.100525544487923	-3.16152016006783
CNOT4	1792.6215	362.7859	-1429.8356	0.16831430568532	-2.30488061455458
KIAA0528	1875.1656	448.2764	-1426.8892	0.192936341858329	-2.06455755456152
C11orf65	1615.6	189.1568	-1426.4432	0.104810132866655	-3.09441550526069
CALM3	1472.4	46.1448	-1426.2552	0.030387513098066	-4.99585776308483
TMEM184C	1474.8953	49.0319	-1425.8634	0.0321746996838169	-4.91074806617113
ITFG3	1802.2932	376.6472	-1425.646	0.172857963439477	-2.25854802075857
DROSHA	1481.91	60.2876	-1421.6224	0.0390920074055361	-4.61945272368854
VTI1A	1421.1846	0	-1421.1846	0	-8
ZDHHC6	1421.1846	0	-1421.1846	0	-8
WASH5P	1431.402	10.701	-1420.701	0.00742041310502787	-7.06353946868389
WDR12	1501.0422	80.7112	-1420.331	0.0510264115759132	-4.21705184199893
BCLAF1	2004.4	584.7373	-1419.6627	0.225842522912941	-1.7773099149666
SMEK2	1980.6	560.9492	-1419.6508	0.220711525080844	-1.81999551412762
SC5DL	1426.5737	8.0563	-1418.5174	0.00561559426472331	-7.46822115903823
EIF5B	1555.7661	139.2237	-1416.5424	0.0821383703901935	-3.48214844951648
C5orf22	1474.017	60.2876	-1413.7294	0.0392931103771702	-4.61174805505372
MAPRE2	2327.5997	913.8764	-1413.7233	0.281932172814725	-1.34877200335528
TLR5	1469.7184	56.848	-1412.8704	0.0372391269714832	-4.69228635524419
RNPS1	1610.033	199.2568	-1410.7762	0.110129842107107	-3.01438939404913
C2CD3	1407.4952	0	-1407.4952	0	-8
CCNT2	1490.512	85.1497	-1405.3623	0.0540405976739804	-4.12966273317999
DCTN4	1415.9209	10.857	-1405.0639	0.00760945344051096	-7.02697134817312
RBM22	1414.7838	10.857	-1403.9268	0.00761552278806835	-7.02581228087851
HSPC157	2822.504	1420.0874	-1402.4166	0.334721698629757	-0.990995901699054
RPL32	1401.662	0	-1401.662	0	-8
PREPL	1532.6232	132.354	-1400.2692	0.0794929804444169	-3.53352934799134
SNHG8	1795.5828	397.4231	-1398.1597	0.181222996253681	-2.17570454576984
M6PR	1562.2	166.6978	-1395.5022	0.096418539025268	-3.22827219618697
ACOT7	1396.6689	3.4523	-1393.2166	0.00246571511094897	-8
ORC4	1744.4028	352.2119	-1392.1909	0.167990761488031	-2.30821765256161
PIGN	1422.7908	34.6896	-1388.1012	0.023801074786323	-5.35807653536921
ATG12	1443.745	57.4768	-1386.2682	0.03828668088886	-4.65069239744051
FAM172B	1725.1104	339.6443	-1385.4661	0.16449619899158	-2.34459214360457
CHEK1	1789.7788	408.6841	-1381.0947	0.185895381723294	-2.13072327382856
POC5	1394.1735	13.6296	-1380.5439	0.00968146752908841	-6.67652307777974
SCN9A	1598.454	218.3918	-1380.0622	0.120203816966745	-2.871686633885
AP3S1	1436.143	57.4768	-1378.6662	0.0384815466425927	-4.64307585598177
SLC30A5	1510.4808	132.0282	-1378.4526	0.0803820253039709	-3.51608983191892
ZFYVE26	1403.4	25.475	-1377.925	0.0178287113988277	-5.78370031090777
USP1	1668.4848	290.871	-1377.6138	0.148452363782014	-2.5200871723137
ANGPTL5	1371.916	0	-1371.916	0	-8
GTPBP10	1371.055	0	-1371.055	0	-8
C11orf58	1401.4	33.2297	-1368.1703	0.0231625624368435	-5.39825172277945
ESCO1	1561.2	193.728	-1367.472	0.110390853641859	-3.01055097738616
CDCA2	1419.9088	53.2274	-1366.6814	0.0361320290683238	-4.73748536230455
SNORA13	1366.6535	0	-1366.6535	0	-8
MRRF	1530.7736	164.2262	-1366.5474	0.0968886250016077	-3.22050471288786
FBXO22	1386	20.7168	-1365.2832	0.0147270580688309	-6.06398227147749
WHSC2	1375.1837	14.3037	-1360.88	0.010294227928947	-6.58709215614456
PEX5L	1360.68	0	-1360.68	0	-8
MBD5	1712.6024	352.2119	-1360.3905	0.170578003067879	-2.28167469364808
TCERG1	1430.8378	71.41	-1359.4278	0.0475354332354489	-4.32459020873465
C12orf61	1724.6184	365.7943	-1358.8241	0.174986642589762	-2.23717267781328
GTF3C4	1374.7197	16.797	-1357.9227	0.0120710013756932	-6.35479009260465
LOC154761	2068.8	711.0893	-1357.7107	0.255797703886986	-1.54069152743107
UGGT2	1356.8653	0	-1356.8653	0	-8
TSG101	1374.516	18.408	-1356.108	0.0132153656624482	-6.22244700168417
ASB7	1491.3414	136.4254	-1354.916	0.0838113911648769	-3.45042638041651
TPRKB	1354.8864	0	-1354.8864	0	-8
CNOT2	1391.3168	36.856	-1354.4608	0.0258064010181401	-5.23840764272579
ENKUR	1378.7971	26.2872	-1352.5099	0.0187086283719774	-5.71290587875992
THNSL1	1378.7971	26.2872	-1352.5099	0.0187086283719774	-5.71290587875992
DDX31	1367.5827	16.797	-1350.7857	0.0121332319449642	-6.34728068171396
ARL4A	1732.568	383.4607	-1349.1073	0.181217154568839	-2.17576134457104
C19orf48	1395.4032	46.4814	-1348.9218	0.0322365604015744	-4.90788471422712
DNAJC19	1999.2762	652.0644	-1347.2118	0.245937621141546	-1.61639143230782
ZNF687	2625.4	1279.7584	-1345.6416	0.327709728752616	-1.03666576944119
LOC148189	1382	37.2695	-1344.7305	0.026259635678777	-5.21261834120631
CDK12	1774.1415	430.1625	-1343.979	0.19514663131764	-2.04416741263434
NCRNA00167	1790.518	449.5541	-1340.9639	0.200687335019261	-1.99381037474437
MIR632	1799.1288	460.6784	-1338.4504	0.203857391019906	-1.96546661266068
ZNF207	1799.1288	460.6784	-1338.4504	0.203857391019906	-1.96546661266068
CD2AP	1519.6248	181.6	-1338.0248	0.106746621610501	-3.06487905408657
C6orf170	1387.434	50.2112	-1337.2228	0.0349260026048152	-4.7882661296521
MORF4L2	1366.3782	30.3934	-1335.9848	0.0217597494107125	-5.49045497944876
ARMC5	1850.8	514.889	-1335.911	0.217648642742136	-1.84581564992722
FAM46A	1636.8	301.4136	-1335.3864	0.155511033458851	-2.44106163123344
EIF3F	1334.7132	0	-1334.7132	0	-8
CLCN3	1538.6	209.4926	-1329.1074	0.119840676632348	-2.87664702447671
BIRC6	1506	178.5824	-1327.4176	0.106009893015622	-3.07605996071965
PPME1	1326.9275	0	-1326.9275	0	-8
SMC2	1417.979	91.1375	-1326.8415	0.0603912951717114	-3.95964756004879
C18orf1	2505	1178.206	-1326.794	0.319885990628816	-1.08821879838132
KLHL12	1613.5532	286.9014	-1326.6518	0.150964616571214	-2.49161423210186
STAMBPL1	1476.8145	150.4682	-1326.3463	0.0924659249434656	-3.29495809850968
SBDS	1746.0452	421.6103	-1324.4349	0.194500602148266	-2.05010888883825
GALK2	2704.2162	1381.7726	-1322.4436	0.338173369442422	-0.968690289406715
GLUL	1368.9576	46.9566	-1322.001	0.0331634501582087	-4.86560600263555
TSGA14	1360.8204	39.354	-1321.4664	0.0281064987333006	-5.11182258254149
NME6	1351.7426	32.9009	-1318.8417	0.0237612786251479	-5.36054959906234
DEPDC1B	1329.535	12.5752	-1316.9598	0.00936972239686428	-6.72419660111123
PCSK5	1316.6091	0	-1316.6091	0	-8
CPPED1	1316.5411	0	-1316.5411	0	-8
ARFIP2	1344.9083	29.2383	-1315.67	0.0212774241118087	-5.52350456727478
FXC1	1344.9083	29.2383	-1315.67	0.0212774241118087	-5.52350456727478
C2orf34	1447.8665	132.354	-1315.5125	0.0837566656045786	-3.45145488367978
DLG1	1934.6	619.4492	-1315.1508	0.242536126555432	-1.64297742470191
TMEM106B	2153.8	840.4026	-1313.3974	0.280676598170077	-1.35773175821561
KIAA1468	1347.3536	34.6896	-1312.664	0.0251002284154359	-5.27948150646707
URGCP	1720.4632	408.3277	-1312.1355	0.191812028132965	-2.07499768868518
SEPT7P2	1318	6.2855	-1311.7145	0.00474633302259973	-7.71210714205221
MAPK1	1314.6	4.1553	-1310.4447	0.0031509257251895	-8
PARK7	1310.184	0	-1310.184	0	-8
PIGP	1341.8157	31.6754	-1310.1403	0.0230619623236001	-5.40467988104831
PCNP	1648.8	339.6443	-1309.1557	0.17080905912225	-2.27931986217547
RBM18	1473.2908	164.2262	-1309.0646	0.100289767984088	-3.16528600698651
MBTD1	1324.2572	15.3912	-1308.866	0.0114889847216628	-6.42693382425697
TXNL4B	1308.4519	0	-1308.4519	0	-8
TMEM30A	1746.8	439.0288	-1307.7712	0.200852326586602	-1.99232694840917
RPL37A	1371.6	64.0266	-1307.5734	0.0445983656195838	-4.42104459849594
TP53BP2	1588.6	283.1608	-1305.4392	0.151280441389733	-2.48806244677509
LARS	1329.2576	24.226	-1305.0316	0.0178989978157105	-5.77792068640898
SCLT1	1310.0462	7.2576	-1302.7886	0.00550943525707585	-7.49590942991417
DUT	1322.592	20.327	-1302.265	0.0151364304176201	-6.02382696208972
CUL4A	1379.5877	78.3608	-1301.2269	0.0537473031454815	-4.13796123467387
CEP120	1556.4	255.2414	-1301.1586	0.140889582231892	-2.60827862796918
PRDM10	1748.9236	449.5541	-1299.3695	0.204484266544982	-1.95990062059039
ZNF302	1419.775	122.5704	-1297.2046	0.0794701368448338	-3.53397979137498
C4orf33	1303.3902	7.2576	-1296.1326	0.00553741439920015	-7.48856079196434
RNF219	1298.4362	2.7456	-1295.6906	0.00211008177335404	-8
