#15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_ROSE/15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam
#Using cutoff of 26071.572 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	isSuperStretch
5_MACS_peak_10475_lociStitched	chr16	78768031	78804986	5	34547	40343.7735	3603.1125	20	1
9_MACS_peak_11207_lociStitched	chr17	34597841	34641215	9	32665	84974.0034	8570.7024	21	1
7_MACS_peak_11745_lociStitched	chr17	62150060	62186844	7	32836	76845.4544	6260.6368	22	1
5_MACS_peak_25347_lociStitched	chr7	102063427	102093327	5	23096	165134.71	5112.9	23	1
1_MACS_peak_6213_lociStitched	chr12	53581931	53604064	1	22134	167799.1262	4904.6728	24	1
5_MACS_peak_4039_lociStitched	chr10	125822037	125854765	5	29831	105721.2584	6084.1352	25	1
2_MACS_peak_17424_lociStitched	chr22	23268797	23285990	2	16919	183246.4326	3512.5299	26	1
3_MACS_peak_16494_lociStitched	chr20	32398629	32436209	3	29857	97933.48	6599.048	27	1
2_MACS_peak_4413_lociStitched	chr11	22676801	22704027	2	23090	151107.0226	4500.4578	28	1
3_MACS_peak_9102_lociStitched	chr15	68568647	68599590	3	29376	96467.8968	5532.6084	29	1
4_MACS_peak_6780_lociStitched	chr12	109009420	109036180	4	21231	160683.096	4985.388	30	1
5_MACS_peak_16422_lociStitched	chr20	25261527	25303060	5	24245	134454.7809	6562.214	31	1
2_MACS_peak_25814_lociStitched	chr7	150062789	150084796	2	21312	144696.025	5490.7465	32	1
5_MACS_peak_11150_lociStitched	chr17	32690623	32719762	5	23306	130455.303	5801.5749	33	1
2_MACS_peak_8458_lociStitched	chr14	106145057	106169494	2	22516	131888.9327	2932.44	34	1
4_MACS_peak_23441_lociStitched	chr6	52392662	52424751	4	26945	93019.5932	5554.6059	35	1
3_MACS_peak_6228_lociStitched	chr12	53845153	53874830	3	29404	47708.7452	5365.6016	36	1
2_MACS_peak_15724_lociStitched	chr2	201979723	201998220	2	16763	155742.8903	3952.8089	37	1
5_MACS_peak_22549_lociStitched	chr5	173310030	173344021	5	28002	57036.898	5622.1114	38	1
7_MACS_peak_5692_lociStitched	chr12	7045691	7085693	7	26261	86076.3036	6808.3404	39	1
1_MACS_peak_5796_lociStitched	chr12	12866236	12882020	1	15785	154994.1448	2910.5696	40	1
2_MACS_peak_16026_lociStitched	chr2	232686871	232714834	2	27941	49969.881	3540.1158	41	1
7_MACS_peak_10359_lociStitched	chr16	68278131	68320840	7	27578	60791.9906	7166.5702	42	1
3_MACS_peak_1740_lociStitched	chr1	156115447	156137138	3	21614	118356.9415	5739.4386	43	1
4_MACS_peak_24929_lociStitched	chr7	55616120	55643056	4	26228	67603.9728	4907.7392	44	1
5_MACS_peak_17667_lociStitched	chr22	37611068	37642222	5	24986	85617.4228	5648.2202	45	1
7_MACS_peak_19597_lociStitched	chr3	183224610	183261422	7	24157	98383.7512	9376.0164	46	1
3_MACS_peak_11657_lociStitched	chr17	56404980	56431081	3	19528	130948.717	5254.1313	47	1
2_MACS_peak_5527_lociStitched	chr11	128585153	128610102	2	24589	82708.4299	5019.7388	48	1
2_MACS_peak_2933_lociStitched	chr10	11278938	11304708	2	24468	76320.432	4664.37	49	1
4_MACS_peak_17995_lociStitched	chr3	5222373	5256346	4	24963	69111.2739	5625.9288	50	1
6_MACS_peak_10903_lociStitched	chr17	16849919	16883387	6	22513	97301.5164	6034.2804	51	1
4_MACS_peak_22100_lociStitched	chr5	131744829	131774388	4	22020	99749.8014	5175.7809	52	1
6_MACS_peak_11200_lociStitched	chr17	34509822	34539727	6	23544	83859.601	6573.119	53	1
6_MACS_peak_26832_lociStitched	chr8	120916686	120947713	6	24709	61995.0487	5051.1956	54	1
3_MACS_peak_16808_lociStitched	chr20	52191902	52215964	3	23393	79532.1286	4006.323	55	1
1_MACS_peak_20117_lociStitched	chr4	40191175	40209936	1	18762	117327.5418	3763.4566	56	1
2_MACS_peak_12770_lociStitched	chr19	2081571	2098407	2	15246	136819.4376	4771.3224	57	1
5_MACS_peak_2330_lociStitched	chr1	206282082	206310986	5	18870	119009.3296	7093.0416	58	1
4_MACS_peak_1385_lociStitched	chr1	118194854	118219216	4	19531	108162.4076	3064.7396	59	1
8_MACS_peak_8589_lociStitched	chr15	31628713	31660674	8	23624	66418.1541	5359.8597	60	1
1_MACS_peak_14002_lociStitched	chr2	20405266	20426412	1	21147	92818.2524	3634.9974	61	1
1_MACS_peak_482_lociStitched	chr1	31213566	31233193	1	19628	104335.1693	3911.6611	62	1
1_MACS_peak_17191_lociStitched	chr21	41324695	41344341	1	19647	105009.8346	6052.9326	63	1
5_MACS_peak_26153_lociStitched	chr8	27216439	27253005	5	22920	67164.4288	6519.7178	64	1
4_MACS_peak_17256_lociStitched	chr21	45552462	45580594	4	18291	111703.7324	6653.218	65	1
2_MACS_peak_1583_lociStitched	chr1	150532026	150553108	2	19061	102144.3982	6063.1832	66	1
3_MACS_peak_25912_lociStitched	chr8	2027511	2050846	3	17424	111233.278	4001.9525	67	1
4_MACS_peak_2338_lociStitched	chr1	206728016	206754642	4	21180	74989.4664	6502.0692	68	1
3_MACS_peak_12199_lociStitched	chr18	9054808	9074466	3	13864	124981.6324	3744.849	69	1
4_MACS_peak_21074_lociStitched	chr4	185317494	185350092	4	20268	83705.1444	5512.3218	70	1
8_MACS_peak_8352_lociStitched	chr14	95945726	95986054	8	22976	38069.632	3085.092	71	1
4_MACS_peak_1557_lociStitched	chr1	149802863	149834067	4	16870	110805.404	7710.5084	72	1
6_MACS_peak_13124_lociStitched	chr19	16243987	16273218	6	21612	60525.7086	5042.3475	73	1
4_MACS_peak_19468_lociStitched	chr3	171801771	171826969	4	19855	79998.6104	5994.6042	74	1
6_MACS_peak_9184_lociStitched	chr15	75065406	75092987	6	20812	66630.1798	5030.7744	75	1
1_MACS_peak_21783_lociStitched	chr5	88110567	88130912	1	20346	71004.05	4119.8625	76	1
3_MACS_peak_1753_lociStitched	chr1	156450295	156476000	3	20538	68490.9725	6313.148	77	1
3_MACS_peak_10236_lociStitched	chr16	56963361	56985908	3	20595	64520.4952	4389.9009	78	1
1_MACS_peak_22964_lociStitched	chr6	25402785	25415304	1	12520	121118.8212	2781.7218	79	1
4_MACS_peak_18064_lociStitched	chr3	13035665	13061630	4	17403	95629.095	4871.034	80	1
3_MACS_peak_1670_lociStitched	chr1	154370222	154394544	3	17772	90847.5344	6053.7458	81	1
3_MACS_peak_13420_lociStitched	chr19	39880702	39904080	3	17640	87197.6022	3932.1796	82	1
3_MACS_peak_27900_lociStitched	chr9	112904315	112925448	3	20095	56256.046	4023.7232	83	1
8_MACS_peak_1178_lociStitched	chr1	93408897	93442051	8	21007	36151.1216	2774.9898	84	1
2_MACS_peak_12012_lociStitched	chr17	76710942	76733754	2	19342	64865.922	4603.4616	85	1
3_MACS_peak_9808_lociStitched	chr16	12052433	12072416	3	13235	109694.6802	3948.6408	86	1
4_MACS_peak_4275_lociStitched	chr11	10323795	10345140	4	17469	78092.817	3955.2285	87	1
4_MACS_peak_8237_lociStitched	chr14	81930581	81956399	4	19469	50079.1746	2509.5096	88	1
5_MACS_peak_14826_lociStitched	chr2	97190792	97213010	5	16790	81413.4174	3925.9206	89	1
3_MACS_peak_11966_lociStitched	chr17	75131452	75147047	3	14759	94568.08	3025.43	90	1
4_MACS_peak_24768_lociStitched	chr7	38383547	38408549	4	19513	49861.4886	5242.9194	91	1
3_MACS_peak_6777_lociStitched	chr12	108952824	108970840	3	15930	85458.896	3832.0032	92	1
1_MACS_peak_21784_lociStitched	chr5	88170793	88187049	1	16257	81049.1648	3231.6928	93	1
2_MACS_peak_17450_lociStitched	chr22	24177316	24192182	2	12594	103016.9202	2717.5048	94	1
2_MACS_peak_11308_lociStitched	chr17	38465555	38484309	2	18128	61749.4204	3578.2632	95	1
1_MACS_peak_25133_lociStitched	chr7	78113649	78128345	1	14697	91182.8016	3072.9336	96	1
5_MACS_peak_15654_lociStitched	chr2	197024169	197048634	5	19270	42503.0445	4149.264	97	1
2_MACS_peak_16243_lociStitched	chr20	5570533	5592457	2	19243	39980.6064	3613.0752	98	1
4_MACS_peak_14502_lociStitched	chr2	65157221	65178670	4	13906	95205.6763	4467.8267	99	1
4_MACS_peak_8719_lociStitched	chr15	40834250	40862995	4	17839	62727.339	5013.128	100	1
1_MACS_peak_2269_lociStitched	chr1	203288277	203298137	1	9861	110735.688	3214.36	101	1
2_MACS_peak_18648_lociStitched	chr3	69128219	69146142	2	17794	54308.4823	3218.9708	102	1
2_MACS_peak_4392_lociStitched	chr11	19449969	19466075	2	13694	90631.6832	3536.8776	103	1
5_MACS_peak_9410_lociStitched	chr15	89646631	89675145	5	15924	75257.0002	4898.7052	104	1
2_MACS_peak_3917_lociStitched	chr10	112112782	112122475	2	8139	111851.4042	2217.7584	105	1
1_MACS_peak_4804_lociStitched	chr11	65263342	65278966	1	15625	74581.164	3484.152	106	1
3_MACS_peak_17417_lociStitched	chr22	23188680	23209796	3	17655	51440.6876	2508.5808	107	1
5_MACS_peak_11193_lociStitched	chr17	34408860	34432619	5	17839	48285.4157	4312.2585	108	1
3_MACS_peak_16603_lociStitched	chr20	37486816	37505952	3	11440	99273.7408	3048.3648	109	1
2_MACS_peak_23686_lociStitched	chr6	90054029	90071299	2	17210	55398.706	3200.131	110	1
5_MACS_peak_11869_lociStitched	chr17	72733569	72756908	5	18385	36063.4228	3759.9129	111	1
4_MACS_peak_324_lociStitched	chr1	24512131	24533882	4	14988	77572.7664	4006.5342	112	1
3_MACS_peak_8703_lociStitched	chr15	40387439	40408993	3	16180	66172.9354	3806.4364	113	1
1_MACS_peak_24927_lociStitched	chr7	55569337	55586195	1	16859	56700.1972	3000.724	114	1
1_MACS_peak_17514_lociStitched	chr22	29185608	29199667	1	14060	81692.6313	2745.7227	115	1
1_MACS_peak_21179_lociStitched	chr5	1311864	1321497	1	9634	103312.9617	1931.4165	116	1
2_MACS_peak_2267_lociStitched	chr1	203266869	203281701	2	14139	80255.952	4101.048	117	1
4_MACS_peak_22960_lociStitched	chr6	25365943	25390448	4	17203	48345.9145	4261.4195	118	1
4_MACS_peak_19138_lociStitched	chr3	133179388	133200412	4	15349	68901.9552	4032.4032	119	1
2_MACS_peak_1044_lociStitched	chr1	75595550	75612713	2	16584	53296.2639	2529.8262	120	1
5_MACS_peak_23151_lociStitched	chr6	31781591	31805665	5	17406	41171.3548	3931.2842	121	1
1_MACS_peak_12591_lociStitched	chr18	60822032	60831250	1	9219	101368.5024	2204.9456	122	1
3_MACS_peak_3938_lociStitched	chr10	112611901	112633226	3	16002	55105.9325	3911.005	123	1
5_MACS_peak_9931_lociStitched	chr16	22194940	22219188	5	16708	45777.7992	4337.9672	124	1
3_MACS_peak_18776_lociStitched	chr3	98479571	98495885	3	15417	60502.1004	2744.0148	125	1
4_MACS_peak_22104_lociStitched	chr5	131789656	131816339	4	16319	51410.1361	4947.0282	126	1
1_MACS_peak_11444_lociStitched	chr17	43297363	43308737	1	11375	88712.6504	2223.617	127	1
3_MACS_peak_22639_lociStitched	chr5	180227741	180249437	3	15640	57880.5888	3618.8928	128	1
4_MACS_peak_2293_lociStitched	chr1	204474580	204493866	4	14168	71794.0636	4597.7824	129	1
6_MACS_peak_10054_lociStitched	chr16	30193742	30223724	6	16645	43806.7002	5843.4918	131	1
2_MACS_peak_5906_lociStitched	chr12	26265899	26280404	2	14396	66891.258	2989.4805	132	1
7_MACS_peak_18381_lociStitched	chr3	46320118	46347130	7	16702	40518	4805.4348	133	1
1_MACS_peak_24928_lociStitched	chr7	55597633	55605993	1	8361	97184.164	1802.416	134	1
1_MACS_peak_13951_lociStitched	chr2	11883572	11898297	1	14726	59727.545	2819.8375	135	1
3_MACS_peak_5294_lociStitched	chr11	111232046	111251380	3	14581	61774.0634	3679.2602	136	1
6_MACS_peak_10034_lociStitched	chr16	29815290	29837375	6	15481	51347.625	3365.754	137	1
2_MACS_peak_21065_lociStitched	chr4	185201069	185211048	2	9223	93216.8327	2324.1091	138	1
2_MACS_peak_14575_lociStitched	chr2	70310096	70323302	2	8830	94276.3134	2480.0868	139	1
4_MACS_peak_21499_lociStitched	chr5	55437283	55453658	4	14919	54261.8375	2811.5875	140	1
1_MACS_peak_11110_lociStitched	chr17	29635034	29649588	1	14555	57740.0842	2560.0486	141	1
2_MACS_peak_9949_lociStitched	chr16	23343895	23354207	2	8088	95129.2312	2225.3296	142	1
1_MACS_peak_5837_lociStitched	chr12	15100750	15116310	1	15561	44125.048	3069.988	144	1
3_MACS_peak_19675_lociStitched	chr3	186703232	186720675	3	13298	68795.192	4625.8836	145	1
2_MACS_peak_10297_lociStitched	chr16	66549288	66560458	2	10488	83876.647	2469.687	146	1
2_MACS_peak_236_lociStitched	chr1	17221309	17233318	2	7518	97373.7756	4147.9086	147	1
1_MACS_peak_1730_lociStitched	chr1	155938136	155952061	1	13926	60345.38	3711.0125	149	1
3_MACS_peak_6109_lociStitched	chr12	48201035	48218845	3	13956	59423.065	3127.436	150	1
3_MACS_peak_2703_lociStitched	chr1	234734110	234749895	3	11816	76492.5315	4017.2825	151	1
4_MACS_peak_21487_lociStitched	chr5	55272669	55292079	4	15708	35830.86	3344.343	152	1
4_MACS_peak_22590_lociStitched	chr5	176717188	176740718	4	14636	51991.888	3901.274	153	1
1_MACS_peak_7657_lociStitched	chr13	114556493	114568074	1	11582	75925.036	2596.4602	154	1
6_MACS_peak_24117_lociStitched	chr6	138246983	138279664	6	15635	37096.2031	5513.2847	155	1
1_MACS_peak_14260_lociStitched	chr2	43444283	43456903	1	12621	67954.914	2319.556	156	1
4_MACS_peak_8203_lociStitched	chr14	77487873	77508014	4	14947	43331.3474	1579.0544	157	1
4_MACS_peak_22985_lociStitched	chr6	26183540	26207422	4	14061	56509.5884	4260.5488	158	1
2_MACS_peak_17704_lociStitched	chr22	38782042	38797230	2	15152	40444.1252	2524.2456	159	1
2_MACS_peak_2601_lociStitched	chr1	226840066	226852630	2	12260	69774.174	3467.664	160	1
3_MACS_peak_28677_lociStitched	chrX	48790304	48805706	3	12873	61976.1078	1688.0592	162	1
4_MACS_peak_16677_lociStitched	chr20	43583452	43609245	4	14877	41279.1172	4261.0036	164	1
3_MACS_peak_3563_lociStitched	chr10	81001250	81020541	3	14467	44814.9221	2895.5791	165	1
3_MACS_peak_24835_lociStitched	chr7	44661679	44680210	3	14595	42869.6154	3291.1056	166	1
4_MACS_peak_15901_lociStitched	chr2	219743211	219763279	4	14833	38701.138	3568.0904	167	1
5_MACS_peak_15731_lociStitched	chr2	202081199	202101919	5	15091	34140.344	3650.864	168	1
2_MACS_peak_15013_lociStitched	chr2	112455692	112465757	2	9630	80946.756	2159.949	169	1
2_MACS_peak_15736_lociStitched	chr2	202116123	202129129	2	11522	70091.9352	2715.6528	170	1
4_MACS_peak_13148_lociStitched	chr19	16693973	16717002	4	13623	53454.9148	4532.1072	171	1
7_MACS_peak_4750_lociStitched	chr11	63992547	64020268	7	14941	34177.2209	4244.0851	172	1
6_MACS_peak_14470_lociStitched	chr2	64430493	64456398	6	14246	44367.4935	4453.0695	173	1
5_MACS_peak_22354_lociStitched	chr5	150513115	150537960	5	14755	35406.6095	4154.084	174	1
5_MACS_peak_28197_lociStitched	chr9	134127135	134153397	5	14128	43713.099	3915.6642	175	1
4_MACS_peak_3579_lociStitched	chr10	81946459	81966511	4	13879	46185.7716	3382.7724	176	1
1_MACS_peak_8948_lociStitched	chr15	56656061	56666308	1	10248	74107.3287	1767.6075	177	1
3_MACS_peak_19091_lociStitched	chr3	129026616	129048543	3	14216	41281.9629	3547.7886	178	1
3_MACS_peak_11962_lociStitched	chr17	75078885	75092975	3	13652	46797.117	2834.908	179	1
3_MACS_peak_21996_lociStitched	chr5	118657833	118678684	3	13659	46064.0292	3744.8396	180	1
2_MACS_peak_23144_lociStitched	chr6	31694613	31709273	2	12101	60638.158	2902.68	181	1
1_MACS_peak_4626_lociStitched	chr11	58339916	58348668	1	8753	79582.8112	1841.4208	182	1
5_MACS_peak_29094_lociStitched	chrX	128902444	128921512	5	14266	34284.264	2013.5808	183	1
4_MACS_peak_19348_lociStitched	chr3	156804732	156824293	4	11851	64653.0172	5506.4215	184	1
4_MACS_peak_4957_lociStitched	chr11	71412101	71426809	4	12275	58436.3548	2885.7096	185	1
1_MACS_peak_11283_lociStitched	chr17	37924856	37938704	1	13849	40671.576	2265.5328	186	1
2_MACS_peak_25480_lociStitched	chr7	114561664	114573849	2	10275	72508.061	2885.408	187	1
4_MACS_peak_6296_lociStitched	chr12	57021839	57040837	4	14482	30961.0406	3571.624	188	1
4_MACS_peak_26169_lociStitched	chr8	27930041	27951651	4	14389	31870.428	3935.181	189	1
3_MACS_peak_12017_lociStitched	chr17	76763330	76779668	3	13883	38869.7358	2347.7706	190	1
1_MACS_peak_394_lociStitched	chr1	27018213	27030988	1	12776	52194.8175	2538.3925	191	1
3_MACS_peak_6988_lociStitched	chr12	123371225	123387076	3	14355	29845.8479	1830.7905	192	1
3_MACS_peak_28120_lociStitched	chr9	130828831	130845722	3	14045	35743.0451	2442.4386	193	1
1_MACS_peak_22815_lociStitched	chr6	11827713	11836703	1	8991	77102.735	1940.042	194	1
3_MACS_peak_18404_lociStitched	chr3	46578006	46589714	3	9074	76898.144	2170.6632	195	1
3_MACS_peak_20361_lociStitched	chr4	77608754	77624679	3	14301	31203.445	2958.865	196	1
4_MACS_peak_666_lociStitched	chr1	40838968	40858305	4	14046	34866.5447	3385.9087	197	1
1_MACS_peak_17702_lociStitched	chr22	38700781	38715019	1	14239	30274.2594	2437.5456	198	1
4_MACS_peak_23024_lociStitched	chr6	27094328	27116139	4	12880	50117.3158	3280.3744	199	1
2_MACS_peak_21345_lociStitched	chr5	32581067	32594473	2	13146	46249.3594	2430.5078	200	1
2_MACS_peak_21220_lociStitched	chr5	6475582	6486974	2	10321	69144.8832	2154.2272	201	1
1_MACS_peak_23180_lociStitched	chr6	32934703	32943029	1	8327	78685.6956	2109.8084	203	1
2_MACS_peak_18379_lociStitched	chr3	46245706	46257205	2	9373	73928.2209	2717.2137	205	1
2_MACS_peak_8586_lociStitched	chr15	31546717	31560780	2	9759	71499.1046	2673.3763	206	1
3_MACS_peak_27696_lociStitched	chr9	94180874	94195997	3	13495	37576.1181	2530.0779	207	1
3_MACS_peak_16993_lociStitched	chr21	19152045	19169216	3	13775	32667.8275	2609.992	208	1
4_MACS_peak_2912_lociStitched	chr10	7511740	7535605	4	12735	46722.897	3202.683	209	1
6_MACS_peak_26896_lociStitched	chr8	126285538	126308139	6	13738	31722.7636	3964.2154	210	1
5_MACS_peak_12776_lociStitched	chr19	2254564	2274510	5	13464	36967.9164	4428.012	211	1
2_MACS_peak_19680_lociStitched	chr3	186779676	186792547	2	9416	72044.1354	3935.9518	212	1
4_MACS_peak_5098_lociStitched	chr11	82765047	82790118	4	12778	45824.7738	4389.9321	213	1
5_MACS_peak_21775_lociStitched	chr5	87954643	87976757	5	11081	60313.7236	3264.0264	214	1
4_MACS_peak_19293_lociStitched	chr3	151985422	152001990	4	13496	32998.4856	2728.7496	215	1
3_MACS_peak_11850_lociStitched	chr17	70582378	70601721	3	13216	37711.1128	3104.5515	216	1
6_MACS_peak_8696_lociStitched	chr15	40329572	40358249	6	13594	32181.3294	4103.6787	217	1
1_MACS_peak_11752_lociStitched	chr17	62196752	62210267	1	13516	31931.8905	2801.6595	218	1
4_MACS_peak_24286_lociStitched	chr6	157976656	157999868	4	13262	35279.9188	1935.8808	219	1
2_MACS_peak_24896_lociStitched	chr7	50343649	50357806	2	12821	41995.3248	2548.26	220	1
2_MACS_peak_22269_lociStitched	chr5	142772528	142785920	2	12511	44899.3584	1963.2672	221	1
2_MACS_peak_17515_lociStitched	chr22	29206947	29221365	2	11340	56564.6976	2740.8618	223	1
3_MACS_peak_975_lociStitched	chr1	66736898	66750607	3	11250	56716.8748	2692.4476	224	1
6_MACS_peak_14577_lociStitched	chr2	70335018	70360906	6	11987	51214.2304	3911.6768	225	1
3_MACS_peak_20092_lociStitched	chr4	38307283	38322448	3	11779	51667.155	2417.301	226	1
3_MACS_peak_25816_lociStitched	chr7	150100820	150113906	3	8541	73053.9036	2799.0954	227	1
1_MACS_peak_298_lociStitched	chr1	23849905	23858847	1	8943	69822.7128	2046.8238	228	1
1_MACS_peak_15548_lociStitched	chr2	182168439	182179999	1	11561	52035.028	2145.536	229	1
4_MACS_peak_2146_lociStitched	chr1	192498462	192521092	4	11422	55101.787	4625.572	230	1
2_MACS_peak_3924_lociStitched	chr10	112215979	112226016	2	8499	71186.4188	2078.6627	231	1
4_MACS_peak_17493_lociStitched	chr22	26974711	26992181	4	12940	34905.06	3018.816	232	1
3_MACS_peak_1813_lociStitched	chr1	160640993	160656016	3	11242	54996.1984	4060.7169	233	1
4_MACS_peak_17760_lociStitched	chr22	39910832	39929676	4	12668	37725.688	3103.6068	235	1
2_MACS_peak_16499_lociStitched	chr20	32461941	32473433	2	8073	71841.0888	2035.2332	237	1
4_MACS_peak_15771_lociStitched	chr2	204552813	204574004	4	11852	47480.5546	3708.425	238	1
2_MACS_peak_5338_lociStitched	chr11	115090469	115102242	2	8586	68740.1924	1831.8788	239	1
2_MACS_peak_10754_lociStitched	chr17	4842132	4854642	2	11428	49819.824	2469.474	240	1
4_MACS_peak_21788_lociStitched	chr5	88595856	88617219	4	11002	51694.1874	3471.4875	242	1
2_MACS_peak_22108_lociStitched	chr5	131822520	131837772	2	12367	35773.566	2955.8376	243	1
4_MACS_peak_13652_lociStitched	chr19	48880363	48902368	4	12248	37327.0815	3071.898	244	1
4_MACS_peak_4915_lociStitched	chr11	67760524	67778364	4	12243	36434.632	2576.096	246	1
1_MACS_peak_11255_lociStitched	chr17	36856181	36863840	1	7660	69941.988	1495.8027	247	1
5_MACS_peak_5770_lociStitched	chr12	11901698	11920075	5	12307	35555.8196	3164.5194	248	1
1_MACS_peak_20571_lociStitched	chr4	105407336	105417587	1	10252	55260.0657	1836.9792	249	1
2_MACS_peak_23830_lociStitched	chr6	108986317	108998732	2	12001	37992.383	1862.25	250	1
2_MACS_peak_23549_lociStitched	chr6	74220311	74234445	2	11837	39910.1758	2682.6332	252	1
1_MACS_peak_16673_lociStitched	chr20	43270375	43282249	1	11875	38959.7814	2360.5512	253	1
2_MACS_peak_3206_lociStitched	chr10	43890498	43905899	2	11750	40225.8719	2200.8029	254	1
3_MACS_peak_23393_lociStitched	chr6	45386705	45402496	3	11390	44227.4328	2177.5789	255	1
3_MACS_peak_28103_lociStitched	chr9	130531960	130551754	3	12400	31854.4842	3323.4126	256	1
2_MACS_peak_2382_lociStitched	chr1	209275319	209284233	2	8694	63966.864	2181.2558	257	1
1_MACS_peak_22313_lociStitched	chr5	148204665	148215945	1	11281	44629.32	2416.176	258	1
2_MACS_peak_1763_lociStitched	chr1	156709212	156722800	2	11523	43014.1728	3460.8636	259	1
3_MACS_peak_28578_lociStitched	chrX	39953247	39969537	3	12382	27261.315	1181.025	262	1
1_MACS_peak_12316_lociStitched	chr18	22928945	22941199	1	12255	29673.061	1393.2798	263	1
2_MACS_peak_20273_lociStitched	chr4	69431903	69443244	2	9815	55895.2526	2009.6252	264	1
1_MACS_peak_15998_lociStitched	chr2	231729248	231739756	1	10509	49247.8436	854.3004	265	1
1_MACS_peak_19519_lociStitched	chr3	176911815	176920931	1	9117	61036.178	2701.0708	266	1
1_MACS_peak_15316_lociStitched	chr2	158293911	158302544	1	8634	63019.1734	2185.0123	268	1
1_MACS_peak_23000_lociStitched	chr6	26358033	26367692	1	9660	56336.1175	1885.4368	269	1
3_MACS_peak_21180_lociStitched	chr5	1329090	1346291	3	12037	33333.8179	3290.5513	270	1
4_MACS_peak_20308_lociStitched	chr4	74454088	74475605	4	11512	40583.2137	3371.7139	271	1
1_MACS_peak_4984_lociStitched	chr11	72862377	72869871	1	7495	67738.266	1620.9522	272	1
3_MACS_peak_9494_lociStitched	chr15	93346249	93364541	3	10661	48638.428	2626.7312	273	1
4_MACS_peak_8923_lociStitched	chr15	52959299	52977248	4	12231	29833.0329	3175.1781	274	1
1_MACS_peak_9301_lociStitched	chr15	81585139	81596126	1	10988	44865.4145	2558.8723	275	1
