REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25.bam	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
5_MACS_peak_25347_lociStitched	chr7	102063427	102093327	5	23096	165134.71	5112.900000000001
3_MACS_peak_6228_lociStitched	chr12	53845153	53874830	3	29404	47708.7452	5365.6016
4_MACS_peak_22100_lociStitched	chr5	131744829	131774388	4	22020	99749.8014	5175.7809
4_MACS_peak_14777_lociStitched	chr2	88899100	88928638	4	16383	31268.9268	5423.1768
6_MACS_peak_13124_lociStitched	chr19	16243987	16273218	6	21612	60525.708600000005	5042.3475
5_MACS_peak_11150_lociStitched	chr17	32690623	32719762	5	23306	130455.30300000001	5801.5749
5_MACS_peak_4794_lociStitched	chr11	65183322	65212294	5	24540	204956.6196	6443.372799999999
5_MACS_peak_2330_lociStitched	chr1	206282082	206310986	5	18870	119009.3296	7093.0416000000005
4_MACS_peak_8719_lociStitched	chr15	40834250	40862995	4	17839	62727.339	5013.128
6_MACS_peak_8696_lociStitched	chr15	40329572	40358249	6	13594	32181.329400000002	4103.6787
2_MACS_peak_1689_lociStitched	chr1	154907910	154936473	2	25681	183320.1903	8337.5397
5_MACS_peak_9410_lociStitched	chr15	89646631	89675145	5	15924	75257.0002	4898.7052
5_MACS_peak_4869_lociStitched	chr11	66861773	66890021	5	11423	21282.0432	3533.8248
3_MACS_peak_8451_lociStitched	chr14	106024643	106052811	3	26606	184706.0264	4658.9872
4_MACS_peak_17256_lociStitched	chr21	45552462	45580594	4	18291	111703.7324	6653.218
2_MACS_peak_16026_lociStitched	chr2	232686871	232714834	2	27941	49969.881	3540.1157999999996
5_MACS_peak_3748_lociStitched	chr10	99159293	99187227	5	9526	16210.1002	3810.1976
7_MACS_peak_4750_lociStitched	chr11	63992547	64020268	7	14941	34177.2209	4244.0851
6_MACS_peak_9184_lociStitched	chr15	75065406	75092987	6	20812	66630.1798	5030.7744
6_MACS_peak_10316_lociStitched	chr16	67191473	67218847	6	12701	29284.705200000004	4259.3944
2_MACS_peak_4413_lociStitched	chr11	22676801	22704027	2	23090	151107.0226	4500.4578
7_MACS_peak_18381_lociStitched	chr3	46320118	46347130	7	16702	40518.0	4805.4348
4_MACS_peak_24929_lociStitched	chr7	55616120	55643056	4	26228	67603.97279999999	4907.7392
4_MACS_peak_6780_lociStitched	chr12	109009420	109036180	4	21231	160683.096	4985.388
4_MACS_peak_22104_lociStitched	chr5	131789656	131816339	4	16319	51410.1361	4947.028200000001
4_MACS_peak_2338_lociStitched	chr1	206728016	206754642	4	21180	74989.46639999999	6502.0692
5_MACS_peak_6302_lociStitched	chr12	57093811	57120091	5	12701	23491.692	4012.956
5_MACS_peak_28197_lociStitched	chr9	134127135	134153397	5	14128	43713.099	3915.6642
1_MACS_peak_23787_lociStitched	chr6	106530435	106556568	1	26134	178485.77670000002	5124.6813
4_MACS_peak_17420_lociStitched	chr22	23217801	23243915	4	23360	180549.5846	3742.1362000000004
3_MACS_peak_11657_lociStitched	chr17	56404980	56431081	3	19528	130948.717	5254.1313
4_MACS_peak_18064_lociStitched	chr3	13035665	13061630	4	17403	95629.095	4871.034
6_MACS_peak_14470_lociStitched	chr2	64430493	64456398	6	14246	44367.4935	4453.0695
6_MACS_peak_14577_lociStitched	chr2	70335018	70360906	6	11987	51214.2304	3911.6768
6_MACS_peak_8483_lociStitched	chr15	20969938	20995767	6	13400	24780.3426	3492.0807999999997
5_MACS_peak_8493_lociStitched	chr15	21976572	22002397	5	14433	22865.454999999998	3896.9925000000003
4_MACS_peak_8237_lociStitched	chr14	81930581	81956399	4	19469	50079.1746	2509.5096
4_MACS_peak_16677_lociStitched	chr20	43583452	43609245	4	14877	41279.1172	4261.0036
2_MACS_peak_2933_lociStitched	chr10	11278938	11304708	2	24468	76320.432	4664.37
3_MACS_peak_1753_lociStitched	chr1	156450295	156476000	3	20538	68490.9725	6313.148
2_MACS_peak_20493_lociStitched	chr4	90204452	90230139	2	25651	199331.12	5430.2318000000005
4_MACS_peak_19468_lociStitched	chr3	171801771	171826969	4	19855	79998.61039999999	5994.6042
4_MACS_peak_5098_lociStitched	chr11	82765047	82790118	4	12778	45824.7738	4389.9321
4_MACS_peak_24768_lociStitched	chr7	38383547	38408549	4	19513	49861.4886	5242.9194
2_MACS_peak_5527_lociStitched	chr11	128585153	128610102	2	24589	82708.4299	5019.7388
5_MACS_peak_22354_lociStitched	chr5	150513115	150537960	5	14755	35406.6095	4154.084
4_MACS_peak_22960_lociStitched	chr6	25365943	25390448	4	17203	48345.9145	4261.4195
5_MACS_peak_15654_lociStitched	chr2	197024169	197048634	5	19270	42503.0445	4149.264
2_MACS_peak_8458_lociStitched	chr14	106145057	106169494	2	22516	131888.9327	2932.44
4_MACS_peak_1385_lociStitched	chr1	118194854	118219216	4	19531	108162.4076	3064.7396
3_MACS_peak_1670_lociStitched	chr1	154370222	154394544	3	17772	90847.53439999999	6053.745800000001
5_MACS_peak_9931_lociStitched	chr16	22194940	22219188	5	16708	45777.7992	4337.9672
5_MACS_peak_12883_lociStitched	chr19	6765414	6789507	5	11196	21322.305	5201.6787
5_MACS_peak_23151_lociStitched	chr6	31781591	31805665	5	17406	41171.3548	3931.2842
3_MACS_peak_16808_lociStitched	chr20	52191902	52215964	3	23393	79532.1286	4006.3230000000003
5_MACS_peak_10020_lociStitched	chr16	29464015	29487920	5	12523	21519.281	4716.4565
4_MACS_peak_22985_lociStitched	chr6	26183540	26207422	4	14061	56509.5884	4260.5488000000005
4_MACS_peak_2912_lociStitched	chr10	7511740	7535605	4	12735	46722.897	3202.6830000000004
5_MACS_peak_11193_lociStitched	chr17	34408860	34432619	5	17839	48285.415700000005	4312.2585
4_MACS_peak_22590_lociStitched	chr5	176717188	176740718	4	14636	51991.888	3901.274
3_MACS_peak_13420_lociStitched	chr19	39880702	39904080	3	17640	87197.60220000001	3932.1796
5_MACS_peak_11869_lociStitched	chr17	72733569	72756908	5	18385	36063.4228	3759.9129
3_MACS_peak_25912_lociStitched	chr8	2027511	2050846	3	17424	111233.27799999999	4001.9525000000003
5_MACS_peak_10419_lociStitched	chr16	70827039	70850339	5	9029	15634.300000000001	3369.1800000000003
4_MACS_peak_24286_lociStitched	chr6	157976656	157999868	4	13262	35279.9188	1935.8808000000001
4_MACS_peak_13148_lociStitched	chr19	16693973	16717002	4	13623	53454.914800000006	4532.1072
5_MACS_peak_1706_lociStitched	chr1	155210173	155233174	5	9104	21298.926	5340.8322
4_MACS_peak_4767_lociStitched	chr11	64611347	64634270	4	8851	22691.4777	3248.1891
2_MACS_peak_12012_lociStitched	chr17	76710942	76733754	2	19342	64865.922000000006	4603.4616000000005
4_MACS_peak_2146_lociStitched	chr1	192498462	192521092	4	11422	55101.787	4625.572
6_MACS_peak_26896_lociStitched	chr8	126285538	126308139	6	13738	31722.7636	3964.2154
3_MACS_peak_10236_lociStitched	chr16	56963361	56985908	3	20595	64520.495200000005	4389.900900000001
5_MACS_peak_6011_lociStitched	chr12	33037838	33060373	5	12181	19643.7595	3483.9109999999996
4_MACS_peak_13792_lociStitched	chr19	56145546	56167851	4	11222	32471.619	3033.48
4_MACS_peak_4146_lociStitched	chr11	788978	811231	4	10670	26311.9472	2754.9213999999997
5_MACS_peak_14826_lociStitched	chr2	97190792	97213010	5	16790	81413.41739999999	3925.9206
6_MACS_peak_9580_lociStitched	chr16	430720	452912	6	9254	14695.5424	2631.9712
1_MACS_peak_6213_lociStitched	chr12	53581931	53604064	1	22134	167799.1262	4904.672799999999
5_MACS_peak_21775_lociStitched	chr5	87954643	87976757	5	11081	60313.7236	3264.0264
6_MACS_peak_10034_lociStitched	chr16	29815290	29837375	6	15481	51347.62500000001	3365.7540000000004
2_MACS_peak_25814_lociStitched	chr7	150062789	150084796	2	21312	144696.025	5490.7465
4_MACS_peak_13652_lociStitched	chr19	48880363	48902368	4	12248	37327.0815	3071.898
5_MACS_peak_8805_lociStitched	chr15	44954492	44976483	5	8056	17775.3253	3270.0617
3_MACS_peak_19091_lociStitched	chr3	129026616	129048543	3	14216	41281.9629	3547.7886
2_MACS_peak_16243_lociStitched	chr20	5570533	5592457	2	19243	39980.606400000004	3613.0752
4_MACS_peak_23024_lociStitched	chr6	27094328	27116139	4	12880	50117.315800000004	3280.3744
4_MACS_peak_324_lociStitched	chr1	24512131	24533882	4	14988	77572.7664	4006.5342
3_MACS_peak_22639_lociStitched	chr5	180227741	180249437	3	15640	57880.588800000005	3618.8928
3_MACS_peak_1740_lociStitched	chr1	156115447	156137138	3	21614	118356.9415	5739.4386
4_MACS_peak_26169_lociStitched	chr8	27930041	27951651	4	14389	31870.428000000004	3935.181
3_MACS_peak_8703_lociStitched	chr15	40387439	40408993	3	16180	66172.9354	3806.4364
4_MACS_peak_20308_lociStitched	chr4	74454088	74475605	4	11512	40583.2137	3371.7139
4_MACS_peak_14502_lociStitched	chr2	65157221	65178670	4	13906	95205.67629999999	4467.8267000000005
4_MACS_peak_21788_lociStitched	chr5	88595856	88617219	4	11002	51694.1874	3471.4875
4_MACS_peak_4275_lociStitched	chr11	10323795	10345140	4	17469	78092.817	3955.2284999999997
3_MACS_peak_3938_lociStitched	chr10	112611901	112633226	3	16002	55105.932499999995	3911.005
1_MACS_peak_2928_lociStitched	chr10	11202486	11223770	1	21285	182239.9932	4935.7596
4_MACS_peak_15771_lociStitched	chr2	204552813	204574004	4	11852	47480.5546	3708.4249999999997
4_MACS_peak_24062_lociStitched	chr6	135322868	135344028	4	10740	30574.084000000003	3032.228
1_MACS_peak_14002_lociStitched	chr2	20405266	20426412	1	21147	92818.2524	3634.9973999999997
5_MACS_peak_11350_lociStitched	chr17	40330295	40351439	5	7925	12428.4432	3078.5664
3_MACS_peak_27900_lociStitched	chr9	112904315	112925448	3	20095	56256.045999999995	4023.7232000000004
5_MACS_peak_11485_lociStitched	chr17	45681623	45702747	5	9550	8827.7196	3001.7204
3_MACS_peak_17417_lociStitched	chr22	23188680	23209796	3	17655	51440.687600000005	2508.5808
2_MACS_peak_1583_lociStitched	chr1	150532026	150553108	2	19061	102144.39820000001	6063.1832
5_MACS_peak_5423_lociStitched	chr11	120195400	120216440	5	10177	18609.879999999997	3406.3759999999997
4_MACS_peak_19138_lociStitched	chr3	133179388	133200412	4	15349	68901.9552	4032.4031999999997
4_MACS_peak_23200_lociStitched	chr6	33537693	33558670	4	9367	28725.9038	2953.5616
3_MACS_peak_21996_lociStitched	chr5	118657833	118678684	3	13659	46064.029200000004	3744.8396000000002
5_MACS_peak_18205_lociStitched	chr3	30682741	30703584	5	14665	18156.3373	3082.6797
5_MACS_peak_15731_lociStitched	chr2	202081199	202101919	5	15091	34140.344	3650.864
4_MACS_peak_18495_lociStitched	chr3	50382794	50403480	4	6828	14705.677399999999	3125.6546000000003
5_MACS_peak_17943_lociStitched	chr22	50962417	50983068	5	9597	28054.3835	2690.8253
4_MACS_peak_27110_lociStitched	chr8	146010510	146031010	4	8467	14557.05	2970.45
5_MACS_peak_8318_lociStitched	chr14	93225581	93246029	5	6869	9960.2208	1776.9312
1_MACS_peak_21783_lociStitched	chr5	88110567	88130912	1	20346	71004.05	4119.8625
4_MACS_peak_8203_lociStitched	chr14	77487873	77508014	4	14947	43331.347400000006	1579.0544
5_MACS_peak_28210_lociStitched	chr9	134595170	134615298	5	10111	22291.76	3164.1216
5_MACS_peak_7743_lociStitched	chr14	23279810	23299921	5	6600	7795.0236	1510.3361
4_MACS_peak_15901_lociStitched	chr2	219743211	219763279	4	14833	38701.138	3568.0904000000005
4_MACS_peak_3579_lociStitched	chr10	81946459	81966511	4	13879	46185.7716	3382.7724
5_MACS_peak_400_lociStitched	chr1	27147074	27167113	5	10037	19826.5866	3009.8578
5_MACS_peak_21332_lociStitched	chr5	32276109	32296105	5	9718	14833.0328	3323.3351999999995
3_MACS_peak_9808_lociStitched	chr16	12052433	12072416	3	13235	109694.6802	3948.6408
3_MACS_peak_24671_lociStitched	chr7	29706357	29726315	3	10374	21720.291400000002	2492.7542
5_MACS_peak_12776_lociStitched	chr19	2254564	2274510	5	13464	36967.9164	4428.012
4_MACS_peak_12001_lociStitched	chr17	76163821	76183629	4	11802	29282.1664	2731.5232
3_MACS_peak_28103_lociStitched	chr9	130531960	130551754	3	12400	31854.4842	3323.4125999999997
3_MACS_peak_25048_lociStitched	chr7	74057039	74076824	3	10639	28723.863	2738.2439999999997
3_MACS_peak_15727_lociStitched	chr2	202040285	202060022	3	12321	21483.7245	3290.1578999999997
5_MACS_peak_4806_lociStitched	chr11	65306874	65326589	5	8073	11761.969000000001	2610.2659999999996
3_MACS_peak_12199_lociStitched	chr18	9054808	9074466	3	13864	124981.6324	3744.849
1_MACS_peak_17191_lociStitched	chr21	41324695	41344341	1	19647	105009.8346	6052.9326
1_MACS_peak_482_lociStitched	chr1	31213566	31233193	1	19628	104335.1693	3911.6611000000003
4_MACS_peak_19348_lociStitched	chr3	156804732	156824293	4	11851	64653.0172	5506.4214999999995
4_MACS_peak_4778_lociStitched	chr11	64845494	64865048	4	9750	28578.171000000002	3032.8253999999997
4_MACS_peak_14647_lociStitched	chr2	74681335	74700807	4	9226	28403.8064	2996.7408
4_MACS_peak_21487_lociStitched	chr5	55272669	55292079	4	15708	35830.86	3344.3430000000003
3_MACS_peak_11850_lociStitched	chr17	70582378	70601721	3	13216	37711.1128	3104.5515
4_MACS_peak_666_lociStitched	chr1	40838968	40858305	4	14046	34866.5447	3385.9087
3_MACS_peak_5294_lociStitched	chr11	111232046	111251380	3	14581	61774.0634	3679.2602
3_MACS_peak_3563_lociStitched	chr10	81001250	81020541	3	14467	44814.9221	2895.5791000000004
4_MACS_peak_2293_lociStitched	chr1	204474580	204493866	4	14168	71794.0636	4597.7824
3_MACS_peak_16603_lociStitched	chr20	37486816	37505952	3	11440	99273.7408	3048.3648
5_MACS_peak_29094_lociStitched	chrX	128902444	128921512	5	14266	34284.264	2013.5808
4_MACS_peak_6790_lociStitched	chr12	109161940	109180995	4	9062	32831.765	3041.178
4_MACS_peak_12730_lociStitched	chr19	1258352	1277358	4	10856	34556.7092	4449.3046
4_MACS_peak_6296_lociStitched	chr12	57021839	57040837	4	14482	30961.0406	3571.624
4_MACS_peak_17760_lociStitched	chr22	39910832	39929676	4	12668	37725.687999999995	3103.6068
3_MACS_peak_452_lociStitched	chr1	28827240	28846038	3	10767	29170.7364	3368.6016
1_MACS_peak_20117_lociStitched	chr4	40191175	40209936	1	18762	117327.5418	3763.4566
2_MACS_peak_11308_lociStitched	chr17	38465555	38484309	2	18128	61749.4204	3578.2632
4_MACS_peak_18633_lociStitched	chr3	66533135	66551775	4	9698	12503.712	2881.7439999999997
4_MACS_peak_10749_lociStitched	chr17	4692568	4711143	4	7082	11728.255	2477.9049999999997
3_MACS_peak_24835_lociStitched	chr7	44661679	44680210	3	14595	42869.6154	3291.1056000000003
4_MACS_peak_23918_lociStitched	chr6	117858977	117877490	4	10259	23517.0639	2578.8609
2_MACS_peak_15724_lociStitched	chr2	201979723	201998220	2	16763	155742.8903	3952.8089
3_MACS_peak_12072_lociStitched	chr17	79868177	79886607	3	8584	15694.988000000001	2091.8050000000003
5_MACS_peak_12752_lociStitched	chr19	1847172	1865563	5	10365	34604.5056	3303.0236
5_MACS_peak_5770_lociStitched	chr12	11901698	11920075	5	12307	35555.8196	3164.5193999999997
3_MACS_peak_9494_lociStitched	chr15	93346249	93364541	3	10661	48638.428	2626.7312
3_MACS_peak_12104_lociStitched	chr17	80405765	80424040	3	8809	38838.03	3331.5325
3_MACS_peak_27071_lociStitched	chr8	145009658	145027904	3	12181	28598.7804	2381.103
4_MACS_peak_603_lociStitched	chr1	38140852	38159085	4	9112	19166.529599999998	3021.2081
4_MACS_peak_3038_lociStitched	chr10	21805816	21823990	4	6844	13365.1596	2059.1142
4_MACS_peak_4700_lociStitched	chr11	62307985	62326133	4	10940	20329.389600000002	3197.6776
4_MACS_peak_16391_lociStitched	chr20	23329777	23347919	4	9449	27180.344399999998	2833.7804
4_MACS_peak_8811_lociStitched	chr15	45011408	45029493	4	10427	25485.382	2915.302
5_MACS_peak_27099_lociStitched	chr8	145686975	145705054	5	7680	8354.3059	2324.9593999999997
5_MACS_peak_3858_lociStitched	chr10	105250037	105268091	5	10295	20202.426	3033.072
4_MACS_peak_27075_lociStitched	chr8	145047454	145065482	4	8386	14339.4712	2527.5256
4_MACS_peak_14728_lociStitched	chr2	86290480	86308503	4	8179	12414.2424	3098.1537
3_MACS_peak_6777_lociStitched	chr12	108952824	108970840	3	15930	85458.89600000001	3832.0032
4_MACS_peak_6814_lociStitched	chr12	110431810	110449790	4	6624	8864.14	1445.592
3_MACS_peak_18146_lociStitched	chr3	20080186	20098157	3	11937	32160.9016	2727.9977999999996
3_MACS_peak_16915_lociStitched	chr20	61273031	61291001	3	10792	33156.447	2415.1679999999997
4_MACS_peak_8923_lociStitched	chr15	52959299	52977248	4	12231	29833.0329	3175.1781
3_MACS_peak_17502_lociStitched	chr22	27053177	27071102	3	8159	24021.2925	2900.265
2_MACS_peak_18648_lociStitched	chr3	69128219	69146142	2	17794	54308.4823	3218.9708
4_MACS_peak_4915_lociStitched	chr11	67760524	67778364	4	12243	36434.632	2576.096
3_MACS_peak_6109_lociStitched	chr12	48201035	48218845	3	13956	59423.065	3127.436
3_MACS_peak_23196_lociStitched	chr6	33376824	33394625	3	7930	15962.156700000001	2331.931
4_MACS_peak_21001_lociStitched	chr4	173897089	173914822	4	8282	24230.3712	2766.348
3_MACS_peak_18811_lociStitched	chr3	101495491	101513215	3	11225	31004.593200000003	2975.8596
3_MACS_peak_13119_lociStitched	chr19	16180510	16198103	3	9338	40166.5783	2684.6918
4_MACS_peak_4221_lociStitched	chr11	6623694	6641269	4	8897	15766.5325	2868.2400000000002
4_MACS_peak_28756_lociStitched	chrX	56788254	56805811	4	6713	9563.2979	1750.4329
4_MACS_peak_14085_lociStitched	chr2	27293254	27310790	4	11979	22298.7776	2653.1967999999997
4_MACS_peak_16863_lociStitched	chr20	55957941	55975454	4	13079	27005.046000000002	2737.2819
4_MACS_peak_17493_lociStitched	chr22	26974711	26992181	4	12940	34905.06	3018.8160000000003
3_MACS_peak_19675_lociStitched	chr3	186703232	186720675	3	13298	68795.192	4625.8836
4_MACS_peak_4645_lociStitched	chr11	59316948	59334374	4	7026	13947.7704	2490.1754
4_MACS_peak_4711_lociStitched	chr11	62431650	62449036	4	7386	16563.6422	2760.8968
3_MACS_peak_23639_lociStitched	chr6	86378834	86396210	3	7731	16236.1344	3085.9776
4_MACS_peak_3458_lociStitched	chr10	74006940	74024315	4	9085	31212.45	2896.4125
3_MACS_peak_20754_lociStitched	chr4	129724194	129741536	3	10104	32446.882	2507.6532
4_MACS_peak_15805_lociStitched	chr2	207997735	208015071	4	7964	26771.9848	2633.3384
2_MACS_peak_23686_lociStitched	chr6	90054029	90071299	2	17210	55398.706000000006	3200.131
4_MACS_peak_5798_lociStitched	chr12	12949984	12967240	4	7013	14948.8728	2636.7167999999997
3_MACS_peak_21180_lociStitched	chr5	1329090	1346291	3	12037	33333.8179	3290.5513
2_MACS_peak_17424_lociStitched	chr22	23268797	23285990	2	16919	183246.4326	3512.5299
5_MACS_peak_12970_lociStitched	chr19	10522125	10539300	5	9976	15428.3025	2796.09
3_MACS_peak_16993_lociStitched	chr21	19152045	19169216	3	13775	32667.827500000003	2609.9919999999997
2_MACS_peak_1044_lociStitched	chr1	75595550	75612713	2	16584	53296.263900000005	2529.8262
6_MACS_peak_18391_lociStitched	chr3	46421551	46438638	6	9976	13027.128799999999	2626.2719
4_MACS_peak_10200_lociStitched	chr16	53086099	53103183	4	6683	10091.5188	2236.2956
3_MACS_peak_23046_lociStitched	chr6	27790979	27808062	3	9433	47656.4451	2799.9037
3_MACS_peak_24175_lociStitched	chr6	143162909	143179971	3	10223	24492.501	1583.3536
4_MACS_peak_9552_lociStitched	chr15	101675297	101692350	4	8442	16503.8934	2578.4136
4_MACS_peak_27715_lociStitched	chr9	95468210	95485222	4	7028	9184.7788	2692.9996
5_MACS_peak_11517_lociStitched	chr17	46545095	46562104	5	7253	7181.1998	2338.7375
4_MACS_peak_347_lociStitched	chr1	25558137	25575123	4	8373	22114.0734	2760.225
4_MACS_peak_4058_lociStitched	chr10	126407293	126424273	4	9778	22766.784	2446.818
3_MACS_peak_14783_lociStitched	chr2	89049851	89066819	3	9309	50878.548	2821.7784
4_MACS_peak_4907_lociStitched	chr11	67644773	67661710	4	9532	41807.290799999995	2935.1821
3_MACS_peak_28120_lociStitched	chr9	130828831	130845722	3	14045	35743.045099999996	2442.4386
1_MACS_peak_24927_lociStitched	chr7	55569337	55586195	1	16859	56700.1972	3000.7239999999997
2_MACS_peak_12770_lociStitched	chr19	2081571	2098407	2	15246	136819.4376	4771.3224
3_MACS_peak_4878_lociStitched	chr11	67030097	67046894	3	8617	28462.516499999998	2837.0133
4_MACS_peak_14246_lociStitched	chr2	42344080	42360860	4	11182	25633.128	2850.922
3_MACS_peak_13698_lociStitched	chr19	50166203	50182954	3	9931	31664.4153	2802.4423
3_MACS_peak_5401_lociStitched	chr11	118963095	118979829	3	10748	31737.704400000002	2811.3120000000004
3_MACS_peak_6966_lociStitched	chr12	122227652	122244378	3	9888	39864.7484	1162.457
3_MACS_peak_22351_lociStitched	chr5	150459337	150476027	3	10150	28374.668999999998	2566.922
4_MACS_peak_7852_lociStitched	chr14	35754265	35770937	4	6712	9064.5664	1315.4207999999999
3_MACS_peak_16238_lociStitched	chr20	5092372	5109018	3	8753	26840.0104	2626.7388
4_MACS_peak_13423_lociStitched	chr19	39921052	39937664	4	8318	16641.9016	2450.27
4_MACS_peak_27941_lociStitched	chr9	116162772	116179346	4	8410	23896.3932	2842.4410000000003
4_MACS_peak_19293_lociStitched	chr3	151985422	152001990	4	13496	32998.4856	2728.7496
3_MACS_peak_8636_lociStitched	chr15	34619307	34635870	3	9856	34818.7386	2688.1749
4_MACS_peak_9559_lociStitched	chr15	101790131	101806672	4	7695	13838.2006	2691.2207000000003
3_MACS_peak_5499_lociStitched	chr11	126172992	126189509	3	9310	27581.738299999997	3019.3075999999996
3_MACS_peak_13482_lociStitched	chr19	42027254	42043731	3	9446	18515.204899999997	2637.9676999999997
3_MACS_peak_1727_lociStitched	chr1	155902629	155919077	3	10970	28068.512	3593.888
4_MACS_peak_21499_lociStitched	chr5	55437283	55453658	4	14919	54261.8375	2811.5874999999996
3_MACS_peak_12017_lociStitched	chr17	76763330	76779668	3	13883	38869.7358	2347.7706
3_MACS_peak_17100_lociStitched	chr21	34695963	34712300	3	8224	40360.5585	3976.4258
4_MACS_peak_918_lociStitched	chr1	59470702	59487018	4	6618	13591.228	2478.4004
3_MACS_peak_18776_lociStitched	chr3	98479571	98495885	3	15417	60502.1004	2744.0148
3_MACS_peak_6346_lociStitched	chr12	58224927	58241229	3	8645	18364.203	2688.1998
3_MACS_peak_10972_lociStitched	chr17	19084258	19100554	3	6781	19299.352799999997	2305.8839999999996
3_MACS_peak_28578_lociStitched	chrX	39953247	39969537	3	12382	27261.315	1181.0249999999999
1_MACS_peak_21784_lociStitched	chr5	88170793	88187049	1	16257	81049.1648	3231.6928000000003
4_MACS_peak_7732_lociStitched	chr14	23024024	23040213	4	9303	12858.922700000001	1316.1657
4_MACS_peak_13139_lociStitched	chr19	16545174	16561363	4	8607	18426.3198	2612.9046
4_MACS_peak_5964_lociStitched	chr12	31238483	31254633	4	8428	19691.695	2240.0049999999997
3_MACS_peak_5537_lociStitched	chr11	129233640	129249776	3	10860	34074.3912	2626.9408
4_MACS_peak_23138_lociStitched	chr6	31618835	31634966	4	9925	34128.3567	2966.4909000000002
2_MACS_peak_4392_lociStitched	chr11	19449969	19466075	2	13694	90631.6832	3536.8776
3_MACS_peak_16652_lociStitched	chr20	42569443	42585533	3	10462	32728.669	2669.3309999999997
