REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
7_MACS_peak_19597_lociStitched	chr3	183224610	183261422	7	24157	98383.7512	9376.0164	37	KLHL6		KLHL6	KLHL6	1.6289	37	1
8_MACS_peak_8589_lociStitched	chr15	31628713	31660674	8	23624	66418.1541	5359.8597	38	KLF13		KLF13	KLF13	1.2856999999999998	38	1
6_MACS_peak_11200_lociStitched	chr17	34509822	34539727	6	23544	83859.601	6573.119	39	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.0153	39	1
3_MACS_peak_16808_lociStitched	chr20	52191902	52215964	3	23393	79532.1286	4006.323	40	ZNF217		ZNF217	ZNF217	1.3126	40	1
4_MACS_peak_17420_lociStitched	chr22	23217801	23243915	4	23360	180549.5846	3742.1362	41	IGLL5		IGLL5	IGLL5	9.2417	41	1
5_MACS_peak_11150_lociStitched	chr17	32690623	32719762	5	23306	130455.303	5801.5749	42		CCL8,CCL13,CCL1	CCL1	CCL1	1.1107	42	1
5_MACS_peak_25347_lociStitched	chr7	102063427	102093327	5	23096	165134.71	5112.9	43	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.75	43	1
2_MACS_peak_4413_lociStitched	chr11	22676801	22704027	2	23090	151107.0226	4500.4578	44	GAS2	FANCF	GAS2	GAS2	0.9327999999999999	44	1
8_MACS_peak_8352_lociStitched	chr14	95945726	95986054	8	22976	38069.632	3085.092	45		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.3016	45	1
5_MACS_peak_26153_lociStitched	chr8	27216439	27253005	5	22920	67164.4288	6519.7178	46	PTK2B	TRIM35	PTK2B	PTK2B	0.5936	46	1
2_MACS_peak_8458_lociStitched	chr14	106145057	106169494	2	22516	131888.9327	2932.44	47			TMEM121	TMEM121	0.11270000000000001	47	1
6_MACS_peak_10903_lociStitched	chr17	16849919	16883387	6	22513	97301.5164	6034.2804	48	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.0821	48	1
1_MACS_peak_6213_lociStitched	chr12	53581931	53604064	1	22134	167799.1262	4904.6728	49	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	6.3079	49	1
4_MACS_peak_22100_lociStitched	chr5	131744829	131774388	4	22020	99749.8014	5175.7809	50	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.2279	50	1
3_MACS_peak_1740_lociStitched	chr1	156115447	156137138	3	21614	118356.9415	5739.4386	51	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	3.0105000000000004	51	1
6_MACS_peak_13124_lociStitched	chr19	16243987	16273218	6	21612	60525.7086	5042.3475	52	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.6089	52	1
2_MACS_peak_25814_lociStitched	chr7	150062789	150084796	2	21312	144696.025	5490.7465	53	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	4.204700000000001	53	1
1_MACS_peak_2928_lociStitched	chr10	11202486	11223770	1	21285	182239.9932	4935.7596	54	CELF2		CELF2	CELF2	1.4765000000000001	54	1
4_MACS_peak_6780_lociStitched	chr12	109009420	109036180	4	21231	160683.096	4985.388	55	SELPLG	TMEM119	SELPLG	SELPLG	6.6475	55	1
4_MACS_peak_2338_lociStitched	chr1	206728016	206754642	4	21180	74989.4664	6502.0692	56	RASSF5	LGTN	RASSF5	RASSF5	0.7529	56	1
1_MACS_peak_14002_lociStitched	chr2	20405266	20426412	1	21147	92818.2524	3634.9974	57	SDC1		SDC1	SDC1	2.5994	57	1
8_MACS_peak_1178_lociStitched	chr1	93408897	93442051	8	21007	36151.1216	2774.9898	58	FAM69A		FAM69A	FAM69A	0.2376	58	1
6_MACS_peak_9184_lociStitched	chr15	75065406	75092987	6	20812	66630.1798	5030.7744	59	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.8192000000000002	59	1
3_MACS_peak_10236_lociStitched	chr16	56963361	56985908	3	20595	64520.4952	4389.9009	60	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.6574	60	1
3_MACS_peak_1753_lociStitched	chr1	156450295	156476000	3	20538	68490.9725	6313.148	61	MEF2D		MEF2D	MEF2D	1.3159	61	1
1_MACS_peak_21783_lociStitched	chr5	88110567	88130912	1	20346	71004.05	4119.8625	62	MEF2C		MEF2C	MEF2C	0.7895	62	1
4_MACS_peak_21074_lociStitched	chr4	185317494	185350092	4	20268	83705.1444	5512.3218	63	IRF2		IRF2	IRF2	2.1147	63	1
3_MACS_peak_27900_lociStitched	chr9	112904315	112925448	3	20095	56256.046	4023.7232	64	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.5252	64	1
4_MACS_peak_19468_lociStitched	chr3	171801771	171826969	4	19855	79998.6104	5994.6042	65	FNDC3B		FNDC3B	FNDC3B	0.2048	65	1
1_MACS_peak_17191_lociStitched	chr21	41324695	41344341	1	19647	105009.8346	6052.9326	66			PCP4	PCP4	NONE	66	1
1_MACS_peak_482_lociStitched	chr1	31213566	31233193	1	19628	104335.1693	3911.6611	67	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.8526000000000002	67	1
4_MACS_peak_1385_lociStitched	chr1	118194854	118219216	4	19531	108162.4076	3064.7396	68		FAM46C	FAM46C	FAM46C	4.233	68	1
3_MACS_peak_11657_lociStitched	chr17	56404980	56431081	3	19528	130948.717	5254.1313	69	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	4.7296	69	1
4_MACS_peak_24768_lociStitched	chr7	38383547	38408549	4	19513	49861.4886	5242.9194	70			TARP	TARP	NONE	70	1
4_MACS_peak_8237_lociStitched	chr14	81930581	81956399	4	19469	50079.1746	2509.5096	71	SEL1L		SEL1L	SEL1L	0.7315	71	1
2_MACS_peak_12012_lociStitched	chr17	76710942	76733754	2	19342	64865.922	4603.4616	72	CYTH1		CYTH1	CYTH1	0.9618999999999999	72	1
5_MACS_peak_15654_lociStitched	chr2	197024169	197048634	5	19270	42503.0445	4149.264	73	STK17B		STK17B	STK17B	0.5121	73	1
2_MACS_peak_16243_lociStitched	chr20	5570533	5592457	2	19243	39980.6064	3613.0752	74	GPCPD1		GPCPD1	GPCPD1	0.45459999999999995	74	1
2_MACS_peak_1583_lociStitched	chr1	150532026	150553108	2	19061	102144.3982	6063.1832	75	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.1306	75	1
5_MACS_peak_2330_lociStitched	chr1	206282082	206310986	5	18870	119009.3296	7093.0416	76	C1orf186	CTSE	C1orf186	C1orf186	1.4961	76	1
1_MACS_peak_20117_lociStitched	chr4	40191175	40209936	1	18762	117327.5418	3763.4566	77	RHOH		RHOH	RHOH	1.8922999999999999	77	1
5_MACS_peak_11869_lociStitched	chr17	72733569	72756908	5	18385	36063.4228	3759.9129	78	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.8725	78	1
4_MACS_peak_17256_lociStitched	chr21	45552462	45580594	4	18291	111703.7324	6653.218	79	C21orf33	PWP2	C21orf33	C21orf33	1.3877	79	1
2_MACS_peak_11308_lociStitched	chr17	38465555	38484309	2	18128	61749.4204	3578.2632	80	RARA	CDC6,RARA,GJD3	RARA	RARA	1.0101	80	1
5_MACS_peak_11193_lociStitched	chr17	34408860	34432619	5	17839	48285.4157	4312.2585	81	CCL4,CCL3	CCL18	CCL3	CCL3	2.8099999999999996	81	1
4_MACS_peak_8719_lociStitched	chr15	40834250	40862995	4	17839	62727.339	5013.128	82	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.5304	82	1
2_MACS_peak_18648_lociStitched	chr3	69128219	69146142	2	17794	54308.4823	3218.9708	83	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.7598999999999998	83	1
3_MACS_peak_1670_lociStitched	chr1	154370222	154394544	3	17772	90847.5344	6053.7458	84	IL6R		IL6R	IL6R	1.1761000000000001	84	1
3_MACS_peak_17417_lociStitched	chr22	23188680	23209796	3	17655	51440.6876	2508.5808	85		MIR650,IGLL5	IGLL5	IGLL5	9.2417	85	1
3_MACS_peak_13420_lociStitched	chr19	39880702	39904080	3	17640	87197.6022	3932.1796	86	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	5.1076999999999995	86	1
4_MACS_peak_4275_lociStitched	chr11	10323795	10345140	4	17469	78092.817	3955.2285	87	ADM	SBF2	ADM	ADM	4.3659	87	1
3_MACS_peak_25912_lociStitched	chr8	2027511	2050846	3	17424	111233.278	4001.9525	88	MYOM2		MYOM2	MYOM2	1.2157	88	1
5_MACS_peak_23151_lociStitched	chr6	31781591	31805665	5	17406	41171.3548	3931.2842	89	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	HSPA1B	1.7086000000000001	89	1
4_MACS_peak_18064_lociStitched	chr3	13035665	13061630	4	17403	95629.095	4871.034	90	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.48109999999999997	90	1
2_MACS_peak_23686_lociStitched	chr6	90054029	90071299	2	17210	55398.706	3200.131	91	UBE2J1	GABRR2	UBE2J1	UBE2J1	1.2387	91	1
4_MACS_peak_22960_lociStitched	chr6	25365943	25390448	4	17203	48345.9145	4261.4195	92	LRRC16A		LRRC16A	LRRC16A	0.46629999999999994	92	1
2_MACS_peak_17424_lociStitched	chr22	23268797	23285990	2	16919	183246.4326	3512.5299	93		IGLL5	IGLL5	IGLL5	9.2417	93	1
4_MACS_peak_1557_lociStitched	chr1	149802863	149834067	4	16870	110805.404	7710.5084	94	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	3.9351999999999996	94	1
1_MACS_peak_24927_lociStitched	chr7	55569337	55586195	1	16859	56700.1972	3000.724	95	VOPP1		VOPP1	VOPP1	1.9106	95	1
5_MACS_peak_14826_lociStitched	chr2	97190792	97213010	5	16790	81413.4174	3925.9206	96	ARID5A	NEURL3	ARID5A	ARID5A	1.7802	96	1
2_MACS_peak_15724_lociStitched	chr2	201979723	201998220	2	16763	155742.8903	3952.8089	97	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	2.6805	97	1
5_MACS_peak_9931_lociStitched	chr16	22194940	22219188	5	16708	45777.7992	4337.9672	98	EEF2K		EEF2K	EEF2K	0.041200000000000014	98	1
7_MACS_peak_18381_lociStitched	chr3	46320118	46347130	7	16702	40518	4805.4348	99		CCR3,CCR2	CCR3	CCR2	0.7991	99	1
6_MACS_peak_10054_lociStitched	chr16	30193742	30223724	6	16645	43806.7002	5843.4918	100	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	1.6996	100	1
2_MACS_peak_1044_lociStitched	chr1	75595550	75612713	2	16584	53296.2639	2529.8262	101	LHX8		LHX8	LHX8	1.1635	101	1
4_MACS_peak_14777_lociStitched	chr2	88899100	88928638	4	16383	31268.9268	5423.1768	102	EIF2AK3		EIF2AK3	EIF2AK3	0.3075	102	1
4_MACS_peak_22104_lociStitched	chr5	131789656	131816339	4	16319	51410.1361	4947.0282	103	C5orf56	IRF1	IRF1	IRF1	0.6644000000000001	103	1
1_MACS_peak_21784_lociStitched	chr5	88170793	88187049	1	16257	81049.1648	3231.6928	104	MEF2C		MEF2C	MEF2C	0.7895	104	1
3_MACS_peak_8703_lociStitched	chr15	40387439	40408993	3	16180	66172.9354	3806.4364	105	BMF	BUB1B	BMF	BMF	2.151	105	1
3_MACS_peak_3938_lociStitched	chr10	112611901	112633226	3	16002	55105.9325	3911.005	106	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	2.1674	106	1
3_MACS_peak_6777_lociStitched	chr12	108952824	108970840	3	15930	85458.896	3832.0032	107	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	4.7453	107	1
5_MACS_peak_9410_lociStitched	chr15	89646631	89675145	5	15924	75257.0002	4898.7052	108	ABHD2		ABHD2	ABHD2	0.6102000000000001	108	1
1_MACS_peak_5796_lociStitched	chr12	12866236	12882020	1	15785	154994.1448	2910.5696	109	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	10.0707	109	1
4_MACS_peak_21487_lociStitched	chr5	55272669	55292079	4	15708	35830.86	3344.343	110	IL6ST		IL6ST	IL6ST	0.47309999999999997	110	1
3_MACS_peak_22639_lociStitched	chr5	180227741	180249437	3	15640	57880.5888	3618.8928	111	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.6232	111	1
6_MACS_peak_24117_lociStitched	chr6	138246983	138279664	6	15635	37096.2031	5513.2847	112			TNFAIP3	TNFAIP3	1.533	112	1
1_MACS_peak_4804_lociStitched	chr11	65263342	65278966	1	15625	74581.164	3484.152	113	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.8047000000000004	113	1
1_MACS_peak_5837_lociStitched	chr12	15100750	15116310	1	15561	44125.048	3069.988	114	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	1.3777	114	1
6_MACS_peak_10034_lociStitched	chr16	29815290	29837375	6	15481	51347.625	3365.754	115	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.3234	115	1
3_MACS_peak_18776_lociStitched	chr3	98479571	98495885	3	15417	60502.1004	2744.0148	116	ST3GAL6		ST3GAL6	ST3GAL6	1.2416	116	1
4_MACS_peak_19138_lociStitched	chr3	133179388	133200412	4	15349	68901.9552	4032.4032	117	BFSP2		BFSP2	BFSP2	0.82	117	1
2_MACS_peak_12770_lociStitched	chr19	2081571	2098407	2	15246	136819.4376	4771.3224	118	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	3.7702999999999998	118	1
2_MACS_peak_17704_lociStitched	chr22	38782042	38797230	2	15152	40444.1252	2524.2456	119	LOC400927	KCNJ4	LOC400927	LOC400927	0.6689	119	1
5_MACS_peak_15731_lociStitched	chr2	202081199	202101919	5	15091	34140.344	3650.864	120	CASP10,CASP8	CASP8	CASP8	CASP8	1.3231	120	1
4_MACS_peak_324_lociStitched	chr1	24512131	24533882	4	14988	77572.7664	4006.5342	121	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.4282	121	1
4_MACS_peak_8203_lociStitched	chr14	77487873	77508014	4	14947	43331.3474	1579.0544	122	C14orf4		C14orf4	C14orf4	1.9426	122	1
7_MACS_peak_4750_lociStitched	chr11	63992547	64020268	7	14941	34177.2209	4244.0851	123	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	1.4581	123	1
4_MACS_peak_21499_lociStitched	chr5	55437283	55453658	4	14919	54261.8375	2811.5875	124	ANKRD55		ANKRD55	ANKRD55	0.3571	124	1
4_MACS_peak_16677_lociStitched	chr20	43583452	43609245	4	14877	41279.1172	4261.0036	125	STK4,TOMM34	PABPC1L	STK4	STK4	0.4073	125	1
4_MACS_peak_15901_lociStitched	chr2	219743211	219763279	4	14833	38701.138	3568.0904	126	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.5	126	1
3_MACS_peak_11966_lociStitched	chr17	75131452	75147047	3	14759	94568.08	3025.43	127	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.0442	127	1
5_MACS_peak_22354_lociStitched	chr5	150513115	150537960	5	14755	35406.6095	4154.084	128	ANXA6		ANXA6	ANXA6	0.47339999999999993	128	1
1_MACS_peak_13951_lociStitched	chr2	11883572	11898297	1	14726	59727.545	2819.8375	129	LPIN1		LPIN1	LPIN1	0.6276	129	1
1_MACS_peak_25133_lociStitched	chr7	78113649	78128345	1	14697	91182.8016	3072.9336	130	MAGI2		RPL13AP17	RPL13AP17	NONE	130	1
5_MACS_peak_18205_lociStitched	chr3	30682741	30703584	5	14665	18156.3373	3082.6797	131	TGFBR2		TGFBR2	TGFBR2	0.17369999999999997	131	1
4_MACS_peak_22590_lociStitched	chr5	176717188	176740718	4	14636	51991.888	3901.274	132	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	2.5527	132	1
3_MACS_peak_24835_lociStitched	chr7	44661679	44680210	3	14595	42869.6154	3291.1056	133	OGDH	DDX56,TMED4	OGDH	TMED4	0.8158	133	1
3_MACS_peak_5294_lociStitched	chr11	111232046	111251380	3	14581	61774.0634	3679.2602	134	POU2AF1		POU2AF1	POU2AF1	1.5593000000000001	134	1
1_MACS_peak_11110_lociStitched	chr17	29635034	29649588	1	14555	57740.0842	2560.0486	135	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	2.0476	135	1
4_MACS_peak_6296_lociStitched	chr12	57021839	57040837	4	14482	30961.0406	3571.624	136	BAZ2A,ATP5B,SNORD59B,SNORD59A	PTGES3	BAZ2A	PTGES3	1.0055999999999998	136	1
3_MACS_peak_3563_lociStitched	chr10	81001250	81020541	3	14467	44814.9221	2895.5791	137	ZMIZ1		PPIF	PPIF	NONE	137	1
5_MACS_peak_8493_lociStitched	chr15	21976572	22002397	5	14433	22865.455	3896.9925	138		LOC646214,CXADRP2	CXADRP2	LOC646214	0.03589999999999999	138	1
2_MACS_peak_5906_lociStitched	chr12	26265899	26280404	2	14396	66891.258	2989.4805	139	BHLHE41		BHLHE41	BHLHE41	3.6289	139	1
4_MACS_peak_26169_lociStitched	chr8	27930041	27951651	4	14389	31870.428	3935.181	140	ELP3,C8orf80		C8orf80	C8orf80	0.45659999999999995	140	1
3_MACS_peak_6988_lociStitched	chr12	123371225	123387076	3	14355	29845.8479	1830.7905	141	VPS37B		VPS37B	VPS37B	0.9225	141	1
3_MACS_peak_20361_lociStitched	chr4	77608754	77624679	3	14301	31203.445	2958.865	142	SHROOM3		ANKRD56	ANKRD56	NONE	142	1
5_MACS_peak_29094_lociStitched	chrX	128902444	128921512	5	14266	34284.264	2013.5808	143	XPNPEP2,SASH3		SASH3	SASH3	0.8296	143	1
6_MACS_peak_14470_lociStitched	chr2	64430493	64456398	6	14246	44367.4935	4453.0695	144	LOC150992		LOC150992	LOC150992	0.25029999999999997	144	1
1_MACS_peak_17702_lociStitched	chr22	38700781	38715019	1	14239	30274.2594	2437.5456	145	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.7694	145	1
3_MACS_peak_19091_lociStitched	chr3	129026616	129048543	3	14216	41281.9629	3547.7886	146	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.7706	146	1
4_MACS_peak_2293_lociStitched	chr1	204474580	204493866	4	14168	71794.0636	4597.7824	147	MDM4	PIK3C2B	MDM4	MDM4	1.0189000000000001	147	1
2_MACS_peak_2267_lociStitched	chr1	203266869	203281701	2	14139	80255.952	4101.048	148	BTG2,LOC730227	FMOD	LOC730227	LOC730227	4.5132	148	1
5_MACS_peak_28197_lociStitched	chr9	134127135	134153397	5	14128	43713.099	3915.6642	149	FAM78A	PPAPDC3	FAM78A	FAM78A	1.1975	149	1
4_MACS_peak_22985_lociStitched	chr6	26183540	26207422	4	14061	56509.5884	4260.5488	150	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H2BH	2.534	150	1
1_MACS_peak_17514_lociStitched	chr22	29185608	29199667	1	14060	81692.6313	2745.7227	151	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.9301	151	1
4_MACS_peak_666_lociStitched	chr1	40838968	40858305	4	14046	34866.5447	3385.9087	152	SMAP2	SMAP2	SMAP2	SMAP2	0.51	152	1
3_MACS_peak_28120_lociStitched	chr9	130828831	130845722	3	14045	35743.0451	2442.4386	153	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.6535	153	1
3_MACS_peak_6109_lociStitched	chr12	48201035	48218845	3	13956	59423.065	3127.436	154	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.2099	154	1
1_MACS_peak_1730_lociStitched	chr1	155938136	155952061	1	13926	60345.38	3711.0125	155	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	1.7389	155	1
