REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
1_MACS_peak_23787_lociStitched	chr6	106530435	106556568	1	26134	178485.7767	5124.6813	16	PRDM1		PRDM1	PRDM1	5.164000000000001	16	1
2_MACS_peak_1689_lociStitched	chr1	154907910	154936473	2	25681	183320.1903	8337.5397	17	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	4.232	17	1
4_MACS_peak_17420_lociStitched	chr22	23217801	23243915	4	23360	180549.5846	3742.1362	18	IGLL5		IGLL5	IGLL5	9.2417	18	1
1_MACS_peak_2928_lociStitched	chr10	11202486	11223770	1	21285	182239.9932	4935.7596	19	CELF2		CELF2	CELF2	0.7885	19	1
5_MACS_peak_10475_lociStitched	chr16	78768031	78804986	5	34547	40343.7735	3603.1125	20	WWOX		WWOX	WWOX	0.023700000000000006	20	1
9_MACS_peak_11207_lociStitched	chr17	34597841	34641215	9	32665	84974.0034	8570.7024	21	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	21	1
7_MACS_peak_11745_lociStitched	chr17	62150060	62186844	7	32836	76845.4544	6260.6368	22	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.1178	22	1
5_MACS_peak_25347_lociStitched	chr7	102063427	102093327	5	23096	165134.71	5112.9	23	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.75	23	1
1_MACS_peak_6213_lociStitched	chr12	53581931	53604064	1	22134	167799.1262	4904.6728	24	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	6.3079	24	1
5_MACS_peak_4039_lociStitched	chr10	125822037	125854765	5	29831	105721.2584	6084.1352	25	CHST15		CHST15	CHST15	1.132	25	1
2_MACS_peak_17424_lociStitched	chr22	23268797	23285990	2	16919	183246.4326	3512.5299	26		IGLL5	IGLL5	IGLL5	9.2417	26	1
3_MACS_peak_16494_lociStitched	chr20	32398629	32436209	3	29857	97933.48	6599.048	27	CHMP4B		CHMP4B	CHMP4B	2.1534	27	1
2_MACS_peak_4413_lociStitched	chr11	22676801	22704027	2	23090	151107.0226	4500.4578	28	GAS2	FANCF	GAS2	GAS2	0.9327999999999999	28	1
3_MACS_peak_9102_lociStitched	chr15	68568647	68599590	3	29376	96467.8968	5532.6084	29	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	2.715	29	1
4_MACS_peak_6780_lociStitched	chr12	109009420	109036180	4	21231	160683.096	4985.388	30	SELPLG	TMEM119	SELPLG	SELPLG	6.6475	30	1
5_MACS_peak_16422_lociStitched	chr20	25261527	25303060	5	24245	134454.7809	6562.214	31	PYGB,ABHD12		PYGB	PYGB	1.1992	31	1
2_MACS_peak_25814_lociStitched	chr7	150062789	150084796	2	21312	144696.025	5490.7465	32	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	4.204700000000001	32	1
5_MACS_peak_11150_lociStitched	chr17	32690623	32719762	5	23306	130455.303	5801.5749	33		CCL8,CCL13,CCL1	CCL1	CCL1	1.1107	33	1
2_MACS_peak_8458_lociStitched	chr14	106145057	106169494	2	22516	131888.9327	2932.44	34			TMEM121	TMEM121	0.11270000000000001	34	1
4_MACS_peak_23441_lociStitched	chr6	52392662	52424751	4	26945	93019.5932	5554.6059	35	TRAM2		TRAM2	TRAM2	1.5027000000000001	35	1
3_MACS_peak_6228_lociStitched	chr12	53845153	53874830	3	29404	47708.7452	5365.6016	36	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	1.0986	36	1
2_MACS_peak_15724_lociStitched	chr2	201979723	201998220	2	16763	155742.8903	3952.8089	37	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	2.6805	37	1
5_MACS_peak_22549_lociStitched	chr5	173310030	173344021	5	28002	57036.898	5622.1114	38	CPEB4		CPEB4	CPEB4	0.7044	38	1
7_MACS_peak_5692_lociStitched	chr12	7045691	7085693	7	26261	86076.3036	6808.3404	39	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	2.4513000000000003	39	1
1_MACS_peak_5796_lociStitched	chr12	12866236	12882020	1	15785	154994.1448	2910.5696	40	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	10.0707	40	1
2_MACS_peak_16026_lociStitched	chr2	232686871	232714834	2	27941	49969.881	3540.1158	41		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.07850000000000001	41	1
7_MACS_peak_10359_lociStitched	chr16	68278131	68320840	7	27578	60791.9906	7166.5702	42	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	SLC7A6	0.5722	42	1
3_MACS_peak_1740_lociStitched	chr1	156115447	156137138	3	21614	118356.9415	5739.4386	43	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	3.0105000000000004	43	1
4_MACS_peak_24929_lociStitched	chr7	55616120	55643056	4	26228	67603.9728	4907.7392	44	VOPP1		VOPP1	VOPP1	1.9106	44	1
5_MACS_peak_17667_lociStitched	chr22	37611068	37642222	5	24986	85617.4228	5648.2202	45	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.6949999999999998	45	1
7_MACS_peak_19597_lociStitched	chr3	183224610	183261422	7	24157	98383.7512	9376.0164	46	KLHL6		KLHL6	KLHL6	1.6289	46	1
3_MACS_peak_11657_lociStitched	chr17	56404980	56431081	3	19528	130948.717	5254.1313	47	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	4.7296	47	1
2_MACS_peak_5527_lociStitched	chr11	128585153	128610102	2	24589	82708.4299	5019.7388	48	FLI1		FLI1	FLI1	0.8058	48	1
2_MACS_peak_2933_lociStitched	chr10	11278938	11304708	2	24468	76320.432	4664.37	49	CELF2		CELF2	CELF2	0.7885	49	1
4_MACS_peak_17995_lociStitched	chr3	5222373	5256346	4	24963	69111.2739	5625.9288	50	ARL8B,EDEM1		EDEM1	EDEM1	1.3925	50	1
6_MACS_peak_10903_lociStitched	chr17	16849919	16883387	6	22513	97301.5164	6034.2804	51	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.0821	51	1
4_MACS_peak_22100_lociStitched	chr5	131744829	131774388	4	22020	99749.8014	5175.7809	52	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.2279	52	1
6_MACS_peak_11200_lociStitched	chr17	34509822	34539727	6	23544	83859.601	6573.119	53	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.0153	53	1
6_MACS_peak_26832_lociStitched	chr8	120916686	120947713	6	24709	61995.0487	5051.1956	54	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.4415	54	1
3_MACS_peak_16808_lociStitched	chr20	52191902	52215964	3	23393	79532.1286	4006.323	55	ZNF217		ZNF217	ZNF217	1.3126	55	1
1_MACS_peak_20117_lociStitched	chr4	40191175	40209936	1	18762	117327.5418	3763.4566	56	RHOH		RHOH	RHOH	1.8922999999999999	56	1
2_MACS_peak_12770_lociStitched	chr19	2081571	2098407	2	15246	136819.4376	4771.3224	57	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	3.7702999999999998	57	1
5_MACS_peak_2330_lociStitched	chr1	206282082	206310986	5	18870	119009.3296	7093.0416	58	C1orf186	CTSE	C1orf186	C1orf186	1.4961	58	1
4_MACS_peak_1385_lociStitched	chr1	118194854	118219216	4	19531	108162.4076	3064.7396	59		FAM46C	FAM46C	FAM46C	4.233	59	1
8_MACS_peak_8589_lociStitched	chr15	31628713	31660674	8	23624	66418.1541	5359.8597	60	KLF13		KLF13	KLF13	1.2856999999999998	60	1
1_MACS_peak_14002_lociStitched	chr2	20405266	20426412	1	21147	92818.2524	3634.9974	61	SDC1		SDC1	SDC1	2.5994	61	1
1_MACS_peak_482_lociStitched	chr1	31213566	31233193	1	19628	104335.1693	3911.6611	62	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.8526000000000002	62	1
1_MACS_peak_17191_lociStitched	chr21	41324695	41344341	1	19647	105009.8346	6052.9326	63			PCP4	PCP4	NONE	63	1
5_MACS_peak_26153_lociStitched	chr8	27216439	27253005	5	22920	67164.4288	6519.7178	64	PTK2B	TRIM35	PTK2B	PTK2B	0.5936	64	1
4_MACS_peak_17256_lociStitched	chr21	45552462	45580594	4	18291	111703.7324	6653.218	65	C21orf33	PWP2	C21orf33	C21orf33	1.3877	65	1
2_MACS_peak_1583_lociStitched	chr1	150532026	150553108	2	19061	102144.3982	6063.1832	66	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.1306	66	1
3_MACS_peak_25912_lociStitched	chr8	2027511	2050846	3	17424	111233.278	4001.9525	67	MYOM2		MYOM2	MYOM2	1.2157	67	1
4_MACS_peak_2338_lociStitched	chr1	206728016	206754642	4	21180	74989.4664	6502.0692	68	RASSF5	LGTN	RASSF5	RASSF5	0.7529	68	1
3_MACS_peak_12199_lociStitched	chr18	9054808	9074466	3	13864	124981.6324	3744.849	69		NDUFV2	NDUFV2	NDUFV2	3.6739	69	1
4_MACS_peak_21074_lociStitched	chr4	185317494	185350092	4	20268	83705.1444	5512.3218	70	IRF2		IRF2	IRF2	2.1147	70	1
8_MACS_peak_8352_lociStitched	chr14	95945726	95986054	8	22976	38069.632	3085.092	71		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.3016	71	1
4_MACS_peak_1557_lociStitched	chr1	149802863	149834067	4	16870	110805.404	7710.5084	72	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	3.9351999999999996	72	1
6_MACS_peak_13124_lociStitched	chr19	16243987	16273218	6	21612	60525.7086	5042.3475	73	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.6089	73	1
4_MACS_peak_19468_lociStitched	chr3	171801771	171826969	4	19855	79998.6104	5994.6042	74	FNDC3B		FNDC3B	FNDC3B	0.2048	74	1
6_MACS_peak_9184_lociStitched	chr15	75065406	75092987	6	20812	66630.1798	5030.7744	75	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.8192000000000002	75	1
1_MACS_peak_21783_lociStitched	chr5	88110567	88130912	1	20346	71004.05	4119.8625	76	MEF2C		MEF2C	MEF2C	0.7895	76	1
3_MACS_peak_1753_lociStitched	chr1	156450295	156476000	3	20538	68490.9725	6313.148	77	MEF2D		MEF2D	MEF2D	1.3159	77	1
3_MACS_peak_10236_lociStitched	chr16	56963361	56985908	3	20595	64520.4952	4389.9009	78	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.6574	78	1
1_MACS_peak_22964_lociStitched	chr6	25402785	25415304	1	12520	121118.8212	2781.7218	79	LRRC16A		LRRC16A	LRRC16A	0.46629999999999994	79	1
4_MACS_peak_18064_lociStitched	chr3	13035665	13061630	4	17403	95629.095	4871.034	80	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.48109999999999997	80	1
3_MACS_peak_1670_lociStitched	chr1	154370222	154394544	3	17772	90847.5344	6053.7458	81	IL6R		IL6R	IL6R	1.1761000000000001	81	1
3_MACS_peak_13420_lociStitched	chr19	39880702	39904080	3	17640	87197.6022	3932.1796	82	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	5.1076999999999995	82	1
3_MACS_peak_27900_lociStitched	chr9	112904315	112925448	3	20095	56256.046	4023.7232	83	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.5252	83	1
8_MACS_peak_1178_lociStitched	chr1	93408897	93442051	8	21007	36151.1216	2774.9898	84	FAM69A		FAM69A	FAM69A	0.2376	84	1
2_MACS_peak_12012_lociStitched	chr17	76710942	76733754	2	19342	64865.922	4603.4616	85	CYTH1		CYTH1	CYTH1	0.9618999999999999	85	1
3_MACS_peak_9808_lociStitched	chr16	12052433	12072416	3	13235	109694.6802	3948.6408	86	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	7.7347	86	1
4_MACS_peak_4275_lociStitched	chr11	10323795	10345140	4	17469	78092.817	3955.2285	87	ADM	SBF2	ADM	ADM	4.3659	87	1
4_MACS_peak_8237_lociStitched	chr14	81930581	81956399	4	19469	50079.1746	2509.5096	88	SEL1L		SEL1L	SEL1L	0.7315	88	1
5_MACS_peak_14826_lociStitched	chr2	97190792	97213010	5	16790	81413.4174	3925.9206	89	ARID5A	NEURL3	ARID5A	ARID5A	1.7802	89	1
3_MACS_peak_11966_lociStitched	chr17	75131452	75147047	3	14759	94568.08	3025.43	90	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.0442	90	1
4_MACS_peak_24768_lociStitched	chr7	38383547	38408549	4	19513	49861.4886	5242.9194	91			TARP	TARP	NONE	91	1
3_MACS_peak_6777_lociStitched	chr12	108952824	108970840	3	15930	85458.896	3832.0032	92	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	4.7453	92	1
1_MACS_peak_21784_lociStitched	chr5	88170793	88187049	1	16257	81049.1648	3231.6928	93	MEF2C		MEF2C	MEF2C	0.7895	93	1
2_MACS_peak_17450_lociStitched	chr22	24177316	24192182	2	12594	103016.9202	2717.5048	94	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.0732000000000002	94	1
2_MACS_peak_11308_lociStitched	chr17	38465555	38484309	2	18128	61749.4204	3578.2632	95	RARA	CDC6,RARA,GJD3	RARA	RARA	1.0101	95	1
1_MACS_peak_25133_lociStitched	chr7	78113649	78128345	1	14697	91182.8016	3072.9336	96	MAGI2		RPL13AP17	RPL13AP17	NONE	96	1
5_MACS_peak_15654_lociStitched	chr2	197024169	197048634	5	19270	42503.0445	4149.264	97	STK17B		STK17B	STK17B	0.5121	97	1
2_MACS_peak_16243_lociStitched	chr20	5570533	5592457	2	19243	39980.6064	3613.0752	98	GPCPD1		GPCPD1	GPCPD1	0.45459999999999995	98	1
4_MACS_peak_14502_lociStitched	chr2	65157221	65178670	4	13906	95205.6763	4467.8267	99	LOC400958	SLC1A4	LOC400958	LOC400958	1.8847	99	1
4_MACS_peak_8719_lociStitched	chr15	40834250	40862995	4	17839	62727.339	5013.128	100	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.5304	100	1
1_MACS_peak_2269_lociStitched	chr1	203288277	203298137	1	9861	110735.688	3214.36	101		BTG2,LOC730227,FMOD	BTG2	LOC730227	4.5132	101	1
2_MACS_peak_18648_lociStitched	chr3	69128219	69146142	2	17794	54308.4823	3218.9708	102	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.7598999999999998	102	1
2_MACS_peak_4392_lociStitched	chr11	19449969	19466075	2	13694	90631.6832	3536.8776	103	NAV2		NAV2	NAV2	0.08290000000000002	103	1
5_MACS_peak_9410_lociStitched	chr15	89646631	89675145	5	15924	75257.0002	4898.7052	104	ABHD2		ABHD2	ABHD2	0.6102000000000001	104	1
2_MACS_peak_3917_lociStitched	chr10	112112782	112122475	2	8139	111851.4042	2217.7584	105		SMNDC1	SMNDC1	SMNDC1	0.2334	105	1
1_MACS_peak_4804_lociStitched	chr11	65263342	65278966	1	15625	74581.164	3484.152	106	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.8047000000000004	106	1
3_MACS_peak_17417_lociStitched	chr22	23188680	23209796	3	17655	51440.6876	2508.5808	107		MIR650,IGLL5	IGLL5	IGLL5	9.2417	107	1
5_MACS_peak_11193_lociStitched	chr17	34408860	34432619	5	17839	48285.4157	4312.2585	108	CCL4,CCL3	CCL18	CCL3	CCL3	2.8099999999999996	108	1
3_MACS_peak_16603_lociStitched	chr20	37486816	37505952	3	11440	99273.7408	3048.3648	109	PPP1R16B	FAM83D	FAM83D	FAM83D	0.05130000000000001	109	1
2_MACS_peak_23686_lociStitched	chr6	90054029	90071299	2	17210	55398.706	3200.131	110	UBE2J1	GABRR2	UBE2J1	UBE2J1	1.2387	110	1
5_MACS_peak_11869_lociStitched	chr17	72733569	72756908	5	18385	36063.4228	3759.9129	111	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.8725	111	1
4_MACS_peak_324_lociStitched	chr1	24512131	24533882	4	14988	77572.7664	4006.5342	112	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.4282	112	1
3_MACS_peak_8703_lociStitched	chr15	40387439	40408993	3	16180	66172.9354	3806.4364	113	BMF	BUB1B	BMF	BMF	2.151	113	1
1_MACS_peak_24927_lociStitched	chr7	55569337	55586195	1	16859	56700.1972	3000.724	114	VOPP1		VOPP1	VOPP1	1.9106	114	1
1_MACS_peak_17514_lociStitched	chr22	29185608	29199667	1	14060	81692.6313	2745.7227	115	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.9301	115	1
1_MACS_peak_21179_lociStitched	chr5	1311864	1321497	1	9634	103312.9617	1931.4165	116	CLPTM1L	TERT	TERT	NONE	NONE	116	1
2_MACS_peak_2267_lociStitched	chr1	203266869	203281701	2	14139	80255.952	4101.048	117	BTG2,LOC730227	FMOD	LOC730227	LOC730227	4.5132	117	1
4_MACS_peak_22960_lociStitched	chr6	25365943	25390448	4	17203	48345.9145	4261.4195	118	LRRC16A		LRRC16A	LRRC16A	0.46629999999999994	118	1
4_MACS_peak_19138_lociStitched	chr3	133179388	133200412	4	15349	68901.9552	4032.4032	119	BFSP2		BFSP2	BFSP2	0.82	119	1
2_MACS_peak_1044_lociStitched	chr1	75595550	75612713	2	16584	53296.2639	2529.8262	120	LHX8		LHX8	LHX8	1.1635	120	1
5_MACS_peak_23151_lociStitched	chr6	31781591	31805665	5	17406	41171.3548	3931.2842	121	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	HSPA1B	1.7086000000000001	121	1
1_MACS_peak_12591_lociStitched	chr18	60822032	60831250	1	9219	101368.5024	2204.9456	122	BCL2		BCL2	BCL2	0.6936	122	1
3_MACS_peak_3938_lociStitched	chr10	112611901	112633226	3	16002	55105.9325	3911.005	123	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	2.1674	123	1
5_MACS_peak_9931_lociStitched	chr16	22194940	22219188	5	16708	45777.7992	4337.9672	124	EEF2K		EEF2K	EEF2K	0.041200000000000014	124	1
3_MACS_peak_18776_lociStitched	chr3	98479571	98495885	3	15417	60502.1004	2744.0148	125	ST3GAL6		ST3GAL6	ST3GAL6	1.2416	125	1
4_MACS_peak_22104_lociStitched	chr5	131789656	131816339	4	16319	51410.1361	4947.0282	126	C5orf56	IRF1	IRF1	IRF1	0.6644000000000001	126	1
1_MACS_peak_11444_lociStitched	chr17	43297363	43308737	1	11375	88712.6504	2223.617	127	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.6458	127	1
3_MACS_peak_22639_lociStitched	chr5	180227741	180249437	3	15640	57880.5888	3618.8928	128	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.6232	128	1
4_MACS_peak_2293_lociStitched	chr1	204474580	204493866	4	14168	71794.0636	4597.7824	129	MDM4	PIK3C2B	MDM4	MDM4	1.0189000000000001	129	1
6_MACS_peak_10054_lociStitched	chr16	30193742	30223724	6	16645	43806.7002	5843.4918	131	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	1.6996	131	1
2_MACS_peak_5906_lociStitched	chr12	26265899	26280404	2	14396	66891.258	2989.4805	132	BHLHE41		BHLHE41	BHLHE41	3.6289	132	1
7_MACS_peak_18381_lociStitched	chr3	46320118	46347130	7	16702	40518	4805.4348	133		CCR3,CCR2	CCR3	CCR2	0.7991	133	1
1_MACS_peak_24928_lociStitched	chr7	55597633	55605993	1	8361	97184.164	1802.416	134	VOPP1		VOPP1	VOPP1	1.9106	134	1
1_MACS_peak_13951_lociStitched	chr2	11883572	11898297	1	14726	59727.545	2819.8375	135	LPIN1		LPIN1	LPIN1	0.6276	135	1
3_MACS_peak_5294_lociStitched	chr11	111232046	111251380	3	14581	61774.0634	3679.2602	136	POU2AF1		POU2AF1	POU2AF1	1.5593000000000001	136	1
6_MACS_peak_10034_lociStitched	chr16	29815290	29837375	6	15481	51347.625	3365.754	137	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.3234	137	1
2_MACS_peak_21065_lociStitched	chr4	185201069	185211048	2	9223	93216.8327	2324.1091	138			ENPP6	ENPP6	NONE	138	1
2_MACS_peak_14575_lociStitched	chr2	70310096	70323302	2	8830	94276.3134	2480.0868	139	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	7.6251	139	1
4_MACS_peak_21499_lociStitched	chr5	55437283	55453658	4	14919	54261.8375	2811.5875	140	ANKRD55		ANKRD55	ANKRD55	0.3571	140	1
1_MACS_peak_11110_lociStitched	chr17	29635034	29649588	1	14555	57740.0842	2560.0486	141	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	2.0476	141	1
2_MACS_peak_9949_lociStitched	chr16	23343895	23354207	2	8088	95129.2312	2225.3296	142	SCNN1B		SCNN1B	SCNN1B	1.3165999999999998	142	1
1_MACS_peak_5837_lociStitched	chr12	15100750	15116310	1	15561	44125.048	3069.988	144	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	1.3777	144	1
3_MACS_peak_19675_lociStitched	chr3	186703232	186720675	3	13298	68795.192	4625.8836	145	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.8932	145	1
2_MACS_peak_10297_lociStitched	chr16	66549288	66560458	2	10488	83876.647	2469.687	146	TK2	CKLF,CMTM1	TK2	TK2	1.9308999999999998	146	1
2_MACS_peak_236_lociStitched	chr1	17221309	17233318	2	7518	97373.7756	4147.9086	147		CROCC	CROCC	NONE	NONE	147	1
1_MACS_peak_1730_lociStitched	chr1	155938136	155952061	1	13926	60345.38	3711.0125	149	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	1.7389	149	1
3_MACS_peak_6109_lociStitched	chr12	48201035	48218845	3	13956	59423.065	3127.436	150	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.2099	150	1
3_MACS_peak_2703_lociStitched	chr1	234734110	234749895	3	11816	76492.5315	4017.2825	151	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	4.6892	151	1
4_MACS_peak_21487_lociStitched	chr5	55272669	55292079	4	15708	35830.86	3344.343	152	IL6ST		IL6ST	IL6ST	0.47309999999999997	152	1
4_MACS_peak_22590_lociStitched	chr5	176717188	176740718	4	14636	51991.888	3901.274	153	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	2.5527	153	1
1_MACS_peak_7657_lociStitched	chr13	114556493	114568074	1	11582	75925.036	2596.4602	154	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.4174	154	1
6_MACS_peak_24117_lociStitched	chr6	138246983	138279664	6	15635	37096.2031	5513.2847	155			TNFAIP3	TNFAIP3	1.533	155	1
1_MACS_peak_14260_lociStitched	chr2	43444283	43456903	1	12621	67954.914	2319.556	156	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	4.611599999999999	156	1
4_MACS_peak_8203_lociStitched	chr14	77487873	77508014	4	14947	43331.3474	1579.0544	157	C14orf4		C14orf4	C14orf4	1.9426	157	1
4_MACS_peak_22985_lociStitched	chr6	26183540	26207422	4	14061	56509.5884	4260.5488	158	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H2BH	2.534	158	1
2_MACS_peak_17704_lociStitched	chr22	38782042	38797230	2	15152	40444.1252	2524.2456	159	LOC400927	KCNJ4	LOC400927	LOC400927	0.6689	159	1
