REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
1_MACS_peak_2269_lociStitched	chr1	203288277	203298137	1	9861	110735.688	3214.36	38		BTG2,LOC730227,FMOD	BTG2	LOC730227	4.5132	38	1
3_MACS_peak_25912_lociStitched	chr8	2027511	2050846	3	17424	111233.278	4001.9525	39	MYOM2		MYOM2	MYOM2	1.2157	39	1
3_MACS_peak_9808_lociStitched	chr16	12052433	12072416	3	13235	109694.6802	3948.6408	40	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	7.7347	40	1
4_MACS_peak_1385_lociStitched	chr1	118194854	118219216	4	19531	108162.4076	3064.7396	41		FAM46C	FAM46C	FAM46C	4.233	41	1
4_MACS_peak_17256_lociStitched	chr21	45552462	45580594	4	18291	111703.7324	6653.218	42	C21orf33	PWP2	C21orf33	C21orf33	1.3877	42	1
1_MACS_peak_28475_lociStitched	chrX	19469932	19470630	1	699	104054.2104	164.03	43	MAP3K15		MAP3K15	MAP3K15	0.6117	43	1
1_MACS_peak_7663_lociStitched	chr13	114828841	114835209	1	6369	105234.384	1404.7808	44	RASA3		RASA3	RASA3	0.9867000000000001	44	1
4_MACS_peak_1557_lociStitched	chr1	149802863	149834067	4	16870	110805.404	7710.5084	45	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	3.9351999999999996	45	1
1_MACS_peak_21179_lociStitched	chr5	1311864	1321497	1	9634	103312.9617	1931.4165	46	CLPTM1L	TERT	TERT	NONE	NONE	46	1
1_MACS_peak_482_lociStitched	chr1	31213566	31233193	1	19628	104335.1693	3911.6611	47	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.8526000000000002	47	1
2_MACS_peak_17450_lociStitched	chr22	24177316	24192182	2	12594	103016.9202	2717.5048	48	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.0732000000000002	48	1
5_MACS_peak_4039_lociStitched	chr10	125822037	125854765	5	29831	105721.2584	6084.1352	49	CHST15		CHST15	CHST15	1.132	49	1
1_MACS_peak_12591_lociStitched	chr18	60822032	60831250	1	9219	101368.5024	2204.9456	50	BCL2		BCL2	BCL2	0.6936	50	1
1_MACS_peak_17191_lociStitched	chr21	41324695	41344341	1	19647	105009.8346	6052.9326	51			PCP4	PCP4	NONE	51	1
3_MACS_peak_16603_lociStitched	chr20	37486816	37505952	3	11440	99273.7408	3048.3648	52	PPP1R16B	FAM83D	FAM83D	FAM83D	0.05130000000000001	52	1
2_MACS_peak_1583_lociStitched	chr1	150532026	150553108	2	19061	102144.3982	6063.1832	53	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.1306	53	1
1_MACS_peak_24928_lociStitched	chr7	55597633	55605993	1	8361	97184.164	1802.416	54	VOPP1		VOPP1	VOPP1	1.9106	54	1
4_MACS_peak_22100_lociStitched	chr5	131744829	131774388	4	22020	99749.8014	5175.7809	55	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.2279	55	1
1_MACS_peak_5636_lociStitched	chr12	4224247	4229973	1	5727	95300.681	1705.7754	56			CCND2	CCND2	1.0354	56	1
1_MACS_peak_17210_lociStitched	chr21	43480393	43486526	1	6134	95369.3766	2096.2594	57	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	1.2368000000000001	57	1
2_MACS_peak_236_lociStitched	chr1	17221309	17233318	2	7518	97373.7756	4147.9086	58		CROCC	CROCC	NONE	NONE	58	1
2_MACS_peak_9949_lociStitched	chr16	23343895	23354207	2	8088	95129.2312	2225.3296	59	SCNN1B		SCNN1B	SCNN1B	1.3165999999999998	59	1
2_MACS_peak_14575_lociStitched	chr2	70310096	70323302	2	8830	94276.3134	2480.0868	60	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	7.6251	60	1
3_MACS_peak_11966_lociStitched	chr17	75131452	75147047	3	14759	94568.08	3025.43	61	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.0442	61	1
3_MACS_peak_16494_lociStitched	chr20	32398629	32436209	3	29857	97933.48	6599.048	62	CHMP4B		CHMP4B	CHMP4B	2.1534	62	1
6_MACS_peak_10903_lociStitched	chr17	16849919	16883387	6	22513	97301.5164	6034.2804	63	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.0821	63	1
3_MACS_peak_9102_lociStitched	chr15	68568647	68599590	3	29376	96467.8968	5532.6084	64	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	2.715	64	1
2_MACS_peak_21065_lociStitched	chr4	185201069	185211048	2	9223	93216.8327	2324.1091	65			ENPP6	NONE	NONE	65	1
4_MACS_peak_18064_lociStitched	chr3	13035665	13061630	4	17403	95629.095	4871.034	66	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.48109999999999997	66	1
4_MACS_peak_14502_lociStitched	chr2	65157221	65178670	4	13906	95205.6763	4467.8267	67	LOC400958	SLC1A4	LOC400958	LOC400958	1.8847	67	1
1_MACS_peak_14002_lociStitched	chr2	20405266	20426412	1	21147	92818.2524	3634.9974	68	SDC1		SDC1	SDC1	2.5994	68	1
7_MACS_peak_19597_lociStitched	chr3	183224610	183261422	7	24157	98383.7512	9376.0164	69	KLHL6		KLHL6	KLHL6	1.6289	69	1
1_MACS_peak_25133_lociStitched	chr7	78113649	78128345	1	14697	91182.8016	3072.9336	70	MAGI2		RPL13AP17	RPL13AP17	NONE	70	1
4_MACS_peak_23441_lociStitched	chr6	52392662	52424751	4	26945	93019.5932	5554.6059	71	TRAM2		TRAM2	TRAM2	1.5027000000000001	71	1
2_MACS_peak_4392_lociStitched	chr11	19449969	19466075	2	13694	90631.6832	3536.8776	72	NAV2		NAV2	NAV2	0.08290000000000002	72	1
1_MACS_peak_11444_lociStitched	chr17	43297363	43308737	1	11375	88712.6504	2223.617	73	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.6458	73	1
6_MACS_peak_12453_lociStitched	chr18	46440475	46482781	6	36427	92552.8362	7200.4812	74	SMAD7		SMAD7	SMAD7	2.0509	74	1
3_MACS_peak_1670_lociStitched	chr1	154370222	154394544	3	17772	90847.5344	6053.7458	75	IL6R		IL6R	IL6R	1.1761000000000001	75	1
3_MACS_peak_13420_lociStitched	chr19	39880702	39904080	3	17640	87197.6022	3932.1796	76	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	5.1076999999999995	76	1
3_MACS_peak_6777_lociStitched	chr12	108952824	108970840	3	15930	85458.896	3832.0032	77	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	4.7453	77	1
2_MACS_peak_10297_lociStitched	chr16	66549288	66560458	2	10488	83876.647	2469.687	78	TK2	CKLF,CMTM1	TK2	TK2	1.9308999999999998	78	1
5_MACS_peak_17667_lociStitched	chr22	37611068	37642222	5	24986	85617.4228	5648.2202	79	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.6949999999999998	79	1
7_MACS_peak_5692_lociStitched	chr12	7045691	7085693	7	26261	86076.3036	6808.3404	80	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	2.4513000000000003	80	1
1_MACS_peak_17514_lociStitched	chr22	29185608	29199667	1	14060	81692.6313	2745.7227	81	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.9301	81	1
2_MACS_peak_15013_lociStitched	chr2	112455692	112465757	2	9630	80946.756	2159.949	82			ANAPC1	ANAPC1	NONE	82	1
4_MACS_peak_21074_lociStitched	chr4	185317494	185350092	4	20268	83705.1444	5512.3218	83	IRF2		IRF2	IRF2	2.1147	83	1
1_MACS_peak_21784_lociStitched	chr5	88170793	88187049	1	16257	81049.1648	3231.6928	84	MEF2C		MEF2C	MEF2C	0.7895	84	1
1_MACS_peak_4626_lociStitched	chr11	58339916	58348668	1	8753	79582.8112	1841.4208	85	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	1.3439999999999999	85	1
2_MACS_peak_5527_lociStitched	chr11	128585153	128610102	2	24589	82708.4299	5019.7388	86	FLI1		FLI1	FLI1	0.8058	86	1
5_MACS_peak_14826_lociStitched	chr2	97190792	97213010	5	16790	81413.4174	3925.9206	87	ARID5A	NEURL3	ARID5A	ARID5A	1.7802	87	1
6_MACS_peak_11200_lociStitched	chr17	34509822	34539727	6	23544	83859.601	6573.119	88	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.0153	88	1
1_MACS_peak_21073_lociStitched	chr4	185301926	185308204	1	6279	78588.004	1633.5356	89			IRF2	IRF2	2.1147	89	1
1_MACS_peak_23180_lociStitched	chr6	32934703	32943029	1	8327	78685.6956	2109.8084	90	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	3.343	90	1
9_MACS_peak_11207_lociStitched	chr17	34597841	34641215	9	32665	84974.0034	8570.7024	91	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	91	1
2_MACS_peak_2267_lociStitched	chr1	203266869	203281701	2	14139	80255.952	4101.048	92	BTG2,LOC730227	FMOD	LOC730227	LOC730227	4.5132	92	1
3_MACS_peak_16808_lociStitched	chr20	52191902	52215964	3	23393	79532.1286	4006.323	93	ZNF217		ZNF217	ZNF217	1.3126	93	1
1_MACS_peak_22815_lociStitched	chr6	11827713	11836703	1	8991	77102.735	1940.042	94		C6orf105	C6orf105	C6orf105	0.3501	94	1
3_MACS_peak_18404_lociStitched	chr3	46578006	46589714	3	9074	76898.144	2170.6632	95	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	1.2579	95	1
4_MACS_peak_4275_lociStitched	chr11	10323795	10345140	4	17469	78092.817	3955.2285	96	ADM	SBF2	ADM	ADM	4.3659	96	1
4_MACS_peak_19468_lociStitched	chr3	171801771	171826969	4	19855	79998.6104	5994.6042	97	FNDC3B		FNDC3B	FNDC3B	0.2048	97	1
4_MACS_peak_324_lociStitched	chr1	24512131	24533882	4	14988	77572.7664	4006.5342	98	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.4282	98	1
1_MACS_peak_7657_lociStitched	chr13	114556493	114568074	1	11582	75925.036	2596.4602	99	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.4174	99	1
3_MACS_peak_2703_lociStitched	chr1	234734110	234749895	3	11816	76492.5315	4017.2825	100	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	4.6892	100	1
1_MACS_peak_8948_lociStitched	chr15	56656061	56666308	1	10248	74107.3287	1767.6075	101	TEX9		TEX9	TEX9	0.7688999999999999	101	1
2_MACS_peak_2933_lociStitched	chr10	11278938	11304708	2	24468	76320.432	4664.37	102	CELF2		CELF2	CELF2	0.7885	102	1
2_MACS_peak_18379_lociStitched	chr3	46245706	46257205	2	9373	73928.2209	2717.2137	103	CCR1	CCR3	CCR1	CCR1	3.6179	103	1
1_MACS_peak_4804_lociStitched	chr11	65263342	65278966	1	15625	74581.164	3484.152	104	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.8047000000000004	104	1
7_MACS_peak_11745_lociStitched	chr17	62150060	62186844	7	32836	76845.4544	6260.6368	105	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.1178	105	1
5_MACS_peak_9410_lociStitched	chr15	89646631	89675145	5	15924	75257.0002	4898.7052	106	ABHD2		ABHD2	ABHD2	0.6102000000000001	106	1
3_MACS_peak_25816_lociStitched	chr7	150100820	150113906	3	8541	73053.9036	2799.0954	107	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	REPIN1	5.5433	107	1
2_MACS_peak_16499_lociStitched	chr20	32461941	32473433	2	8073	71841.0888	2035.2332	108			CHMP4B	CHMP4B	2.1534	108	1
2_MACS_peak_25480_lociStitched	chr7	114561664	114573849	2	10275	72508.061	2885.408	109	MDFIC		MDFIC	MDFIC	2.4217	109	1
2_MACS_peak_3924_lociStitched	chr10	112215979	112226016	2	8499	71186.4188	2078.6627	110		DUSP5	DUSP5	DUSP5	1.4135	110	1
2_MACS_peak_8586_lociStitched	chr15	31546717	31560780	2	9759	71499.1046	2673.3763	111			KLF13	KLF13	1.2856999999999998	111	1
4_MACS_peak_2338_lociStitched	chr1	206728016	206754642	4	21180	74989.4664	6502.0692	112	RASSF5	LGTN	RASSF5	RASSF5	0.7529	112	1
1_MACS_peak_11255_lociStitched	chr17	36856181	36863840	1	7660	69941.988	1495.8027	113	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	2.0324	113	1
1_MACS_peak_19493_lociStitched	chr3	174865982	174871484	1	5503	69778.5648	1651.1502	114	NAALADL2		NAALADL2	NAALADL2	0.062	114	1
2_MACS_peak_19680_lociStitched	chr3	186779676	186792547	2	9416	72044.1354	3935.9518	115	ST6GAL1		ST6GAL1	ST6GAL1	0.8932	115	1
1_MACS_peak_298_lociStitched	chr1	23849905	23858847	1	8943	69822.7128	2046.8238	116	E2F2	ASAP3,ID3	E2F2	E2F2	1.9703	116	1
2_MACS_peak_15736_lociStitched	chr2	202116123	202129129	2	11522	70091.9352	2715.6528	117	CASP8		CASP8	CASP8	1.3231	117	1
4_MACS_peak_2293_lociStitched	chr1	204474580	204493866	4	14168	71794.0636	4597.7824	118	MDM4	PIK3C2B	MDM4	MDM4	1.0189000000000001	118	1
2_MACS_peak_21220_lociStitched	chr5	6475582	6486974	2	10321	69144.8832	2154.2272	119	UBE2QL1		UBE2QL1	UBE2QL1	1.3987	119	1
2_MACS_peak_5338_lociStitched	chr11	115090469	115102242	2	8586	68740.1924	1831.8788	120	CADM1		CADM1	CADM1	0.2804	120	1
1_MACS_peak_21783_lociStitched	chr5	88110567	88130912	1	20346	71004.05	4119.8625	121	MEF2C		MEF2C	MEF2C	0.7895	121	1
1_MACS_peak_9048_lociStitched	chr15	65183576	65189518	1	5943	68111.9576	1433.2104	122		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.11860000000000001	122	1
1_MACS_peak_10909_lociStitched	chr17	16889181	16895526	1	6346	68074.8705	1690.9425	123		TNFRSF13B	TNFRSF13B	TNFRSF13B	2.0821	123	1
2_MACS_peak_2601_lociStitched	chr1	226840066	226852630	2	12260	69774.174	3467.664	124	ITPKB		ITPKB	ITPKB	0.7722	124	1
1_MACS_peak_4984_lociStitched	chr11	72862377	72869871	1	7495	67738.266	1620.9522	125		FCHSD2	FCHSD2	FCHSD2	0.1078	125	1
1_MACS_peak_14260_lociStitched	chr2	43444283	43456903	1	12621	67954.914	2319.556	126	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	4.611599999999999	126	1
1_MACS_peak_2266_lociStitched	chr1	203255199	203261130	1	5932	67166.2026	1991.0367	127		BTG2,LOC730227	LOC730227	LOC730227	4.5132	127	1
4_MACS_peak_19138_lociStitched	chr3	133179388	133200412	4	15349	68901.9552	4032.4032	128	BFSP2		BFSP2	BFSP2	0.82	128	1
3_MACS_peak_19675_lociStitched	chr3	186703232	186720675	3	13298	68795.192	4625.8836	129	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.8932	129	1
2_MACS_peak_5906_lociStitched	chr12	26265899	26280404	2	14396	66891.258	2989.4805	130	BHLHE41		BHLHE41	BHLHE41	3.6289	130	1
1_MACS_peak_12796_lociStitched	chr19	2606643	2612022	1	5380	65350.0089	1463.6259	131	GNG7		GNG7	GNG7	0.7723	131	1
4_MACS_peak_17995_lociStitched	chr3	5222373	5256346	4	24963	69111.2739	5625.9288	132	ARL8B,EDEM1		EDEM1	EDEM1	1.3925	132	1
2_MACS_peak_5493_lociStitched	chr11	126056707	126069138	2	7337	65636.9231	2365.6193	133		FAM118B,RPUSD4	RPUSD4	RPUSD4	0.48500000000000004	133	1
4_MACS_peak_24929_lociStitched	chr7	55616120	55643056	4	26228	67603.9728	4907.7392	134	VOPP1		VOPP1	VOPP1	1.9106	134	1
1_MACS_peak_23790_lociStitched	chr6	106610131	106617277	1	7147	64191.0888	1532.1024	135			PRDM1	PRDM1	5.164000000000001	135	1
3_MACS_peak_8703_lociStitched	chr15	40387439	40408993	3	16180	66172.9354	3806.4364	136	BMF	BUB1B	BMF	BMF	2.151	136	1
3_MACS_peak_1753_lociStitched	chr1	156450295	156476000	3	20538	68490.9725	6313.148	137	MEF2D		MEF2D	MEF2D	1.3159	137	1
1_MACS_peak_14195_lociStitched	chr2	37600537	37606479	1	5943	63509.8786	1417.7612	138		QPCT	QPCT	QPCT	3.8457000000000003	138	1
2_MACS_peak_2382_lociStitched	chr1	209275319	209284233	2	8694	63966.864	2181.2558	139			LOC642587	LOC642587	NONE	139	1
6_MACS_peak_9184_lociStitched	chr15	75065406	75092987	6	20812	66630.1798	5030.7744	140	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.8192000000000002	140	1
8_MACS_peak_8589_lociStitched	chr15	31628713	31660674	8	23624	66418.1541	5359.8597	141	KLF13		KLF13	KLF13	1.2856999999999998	141	1
1_MACS_peak_15316_lociStitched	chr2	158293911	158302544	1	8634	63019.1734	2185.0123	142	CYTIP		CYTIP	CYTIP	1.5493999999999999	142	1
5_MACS_peak_26153_lociStitched	chr8	27216439	27253005	5	22920	67164.4288	6519.7178	143	PTK2B	TRIM35	PTK2B	PTK2B	0.5936	143	1
1_MACS_peak_233_lociStitched	chr1	16991670	16994716	1	3047	62179.8256	1646.363	144		MST1P2,CROCCP2	MST1P2	MST1P2	1.5065	144	1
3_MACS_peak_28677_lociStitched	chrX	48790304	48805706	3	12873	61976.1078	1688.0592	145	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.7594	145	1
2_MACS_peak_12012_lociStitched	chr17	76710942	76733754	2	19342	64865.922	4603.4616	146	CYTH1		CYTH1	CYTH1	0.9618999999999999	146	1
3_MACS_peak_10236_lociStitched	chr16	56963361	56985908	3	20595	64520.4952	4389.9009	147	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.6574	147	1
1_MACS_peak_25383_lociStitched	chr7	104651541	104657923	1	6383	61414.6242	1384.2558	148	MLL5,LOC100216545		MLL5	MLL5	0.5312	148	1
4_MACS_peak_19348_lociStitched	chr3	156804732	156824293	4	11851	64653.0172	5506.4215	149	LOC100498859,LOC339894		LOC100498859	LOC100498859	2.7689	149	1
1_MACS_peak_234_lociStitched	chr1	17065825	17068729	1	2905	60644.8128	1626.24	150		ESPNP,MST1P9	ESPNP	NONE	NONE	150	1
1_MACS_peak_6624_lociStitched	chr12	94596992	94603750	1	6759	59794.784	1273.883	151	PLXNC1		PLXNC1	PLXNC1	0.77	151	1
1_MACS_peak_19519_lociStitched	chr3	176911815	176920931	1	9117	61036.178	2701.0708	152	TBL1XR1		TBL1XR1	TBL1XR1	0.41159999999999997	152	1
2_MACS_peak_11308_lociStitched	chr17	38465555	38484309	2	18128	61749.4204	3578.2632	153	RARA	CDC6,RARA,GJD3	RARA	RARA	1.0101	153	1
3_MACS_peak_5294_lociStitched	chr11	111232046	111251380	3	14581	61774.0634	3679.2602	154	POU2AF1		POU2AF1	POU2AF1	1.5593000000000001	154	1
1_MACS_peak_26212_lociStitched	chr8	29629610	29634252	1	4643	59168.7888	1207.8484	155		C8orf75	C8orf75	C8orf75	0.2731	155	1
3_MACS_peak_18776_lociStitched	chr3	98479571	98495885	3	15417	60502.1004	2744.0148	156	ST3GAL6		ST3GAL6	ST3GAL6	1.2416	156	1
1_MACS_peak_3139_lociStitched	chr10	30989135	30996872	1	7738	59180.313	1433.6661	157			LYZL2	LYZL2	NONE	157	1
2_MACS_peak_23144_lociStitched	chr6	31694613	31709273	2	12101	60638.158	2902.68	158	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	3.6122	158	1
4_MACS_peak_8719_lociStitched	chr15	40834250	40862995	4	17839	62727.339	5013.128	159	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.5304	159	1
2_MACS_peak_10790_lociStitched	chr17	6914929	6926164	2	7324	59080.371	2022.3	160	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	MIR195	4.6085	160	1
5_MACS_peak_21775_lociStitched	chr5	87954643	87976757	5	11081	60313.7236	3264.0264	161	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.3087	161	1
