GENE_ID	locusLine	bin_1_02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam
NR_036212	chr1(.):154943168-154953259	1.6929
NM_006912	chr1(.):155862600-155886177	0.1677
NM_001162384	chr1(.):155911629-155953336	1.2878
NM_181885	chr1(.):155906479-155917625	1.8893
NM_004723	chr1(.):155911629-155952966	1.2843
NM_014949	chr1(.):155877835-155909188	0.3903
NR_002974	chr1(.):155884699-155894833	0.1143
NR_003005	chr1(.):155890748-155900877	0.146
NM_020131	chr1(.):156000091-156028516	0.2894
NM_001093725	chr1(.):156036803-156056789	0.1468
NM_020387	chr1(.):156025965-156045295	0.1385
NM_001145264	chr1(.):156019516-156033301	0.4397
NM_003145	chr1(.):155973838-155995758	0.4598
NM_014655	chr1(.):156158729-156187587	0.5746
NM_007221	chr1(.):156177783-156214833	0.7754
NM_022367	chr1(.):156118321-156152542	1.9942
NM_001193302	chr1(.):156118368-156152542	1.9951
NM_001193301	chr1(.):156114734-156152542	1.9652
NM_005920	chr1(.):156428518-156475529	1.5027
NM_004494	chr1(.):156706898-156726543	1.1161
NM_001126051	chr1(.):156706898-156727024	1.0904
NM_001126050	chr1(.):156706898-156727240	1.0794
NM_030980	chr1(.):156687412-156702705	0.4764
NM_001878	chr1(.):156664407-156680375	0.1487
NM_001142560	chr1(.):156693262-156711752	0.7278
NM_145729	chr1(.):156702093-156715923	0.5762
NR_001560	chr1(.):157093153-157103463	0.1047
NM_005240	chr1(.):157097975-157113177	0.8372
NM_001145312	chr1(.):157089458-157113383	0.5627
NM_001778	chr1(.):160643535-160686585	0.9351
NM_021181	chr1(.):160704076-160729601	0.6821
NM_152366	chr1(.):161063180-161075138	0.3585
NM_030916	chr1(.):161035780-161064385	0.7213
NM_007122	chr1(.):161004040-161020757	1.599
NM_001113205	chr1(.):161002421-161013774	0.3636
NR_033385	chr1(.):161063150-161075138	0.3588
NM_181720	chr1(.):161011731-161044760	1.4167
NM_016946	chr1(.):160960000-160996133	0.4407
NM_001077470	chr1(.):161194455-161213000	0.4573
NM_001039711	chr1(.):161085768-161107478	0.6348
NM_016406	chr1(.):161118533-161133646	1.117
NM_004550	chr1(.):161164104-161189184	0.8013
NM_000309	chr1(.):161131180-161146010	0.7326
NM_001643	chr1(.):161187082-161198418	1.1637
NM_001185094	chr1(.):161082907-161095984	0.4924
NM_003779	chr1(.):161136100-161152314	1.3565
NM_012475	chr1(.):161124253-161140516	0.7595
NM_001039712	chr1(.):161085768-161107256	0.6394
NM_005600	chr1(.):161082861-161095984	0.4908
NM_001185093	chr1(.):161082906-161095984	0.4924
NM_032174	chr1(.):161190832-161205407	0.6302
NM_001166159	chr1(.):161166936-161189184	0.8314
NM_005099	chr1(.):161154537-161173845	1.4279
NM_004106	chr1(.):161180086-161194038	0.7739
NM_002021	chr1(.):171212662-171260113	0.5051
NR_033186	chr1(.):178506930-178523024	0.2677
NM_022371	chr1(.):179046111-179070129	1.3308
NM_016545	chr1(.):181052637-181064979	0.6777
NM_002922	chr1(.):192539856-192554159	1.4412
NM_001195216	chr1(.):197698138-197749623	0.5516
NM_005298	chr1(.):200837165-200848251	0.3085
NM_018265	chr1(.):200855638-200889864	0.8396
NM_001142569	chr1(.):200858998-200889864	0.7059
NM_017596	chr1(.):200933519-200997828	0.5314
NR_034150	chr1(.):203262885-203279453	3.1023
NM_003465	chr1(.):203180206-203203860	0.2139
NM_006763	chr1(.):203269663-203283729	2.1024
NM_002023	chr1(.):203304751-203325289	0.2055
NR_003019	chr1(.):203693708-203703833	0.1975
NM_001136190	chr1(.):203729283-203750480	1.0856
NM_001174108	chr1(.):203761650-203774590	0.3481
NM_002646	chr1(.):204386757-204464474	0.2392
NM_002393	chr1(.):204480510-204532248	1.1856
NM_014858	chr1(.):205192037-205247471	0.6189
NM_030952	chr1(.):205266190-205295883	0.6582
NM_000707	chr1(.):206219282-206236482	0.1666
NM_001007544	chr1(.):206233871-206293647	0.759
NM_148964	chr1(.):206312458-206337104	0.1706
NM_006893	chr1(.):206759973-206790904	0.177
NM_182665	chr1(.):206725491-206767616	1.2485
NM_000572	chr1(.):206935947-206950839	0.8313
NM_013371	chr1(.):206997221-207021325	0.5435
NM_001185157	chr1(.):207065787-207082484	0.1333
NM_153758	chr1(.):206967214-207021324	0.8043
NM_018724	chr1(.):207034153-207047568	0.1651
NM_002644	chr1(.):207096866-207124811	0.4948
NM_001170631	chr1(.):207126311-207148970	0.1675
NR_026817	chr1(.):207986723-208000941	1.5331
NR_029832	chr1(.):207970196-207980284	0.5453
NR_029518	chr1(.):207970787-207980868	0.7587
NM_183059	chr1(.):211644863-211671259	0.1225
NM_021194	chr1(.):211743380-211757099	1.0984
NM_181441	chr1(.):228289379-228302013	1.1727
NR_037415	chr1(.):228279963-228290042	0.2043
NM_001024227	chr1(.):228265850-228291913	1.2517
NM_001024226	chr1(.):228265360-228291913	1.2289
NM_024319	chr1(.):228283427-228296022	0.5786
NM_001159390	chr1(.):228322928-228341655	0.4858
NM_005646	chr1(.):234522058-234619849	0.1704
NM_182972	chr1(.):234735014-234750271	3.432
NR_033927	chr1(.):234760056-234775526	0.1473
NM_030645	chr1(.):249099650-249125154	1.4017
NM_024836	chr1(.):249127529-249148714	0.8095
NM_001136036	chr1(.):249139202-249158125	0.6949
NM_001193328	chr1(.):249139202-249158315	0.6898
NR_036070	chr1(.):249115575-249125642	2.3382
NM_015535	chr2(.):201165603-201351986	0.4374
NM_001100422	chr2(.):201165984-201351986	0.438
NM_001100423	chr2(.):201166355-201351986	0.4388
NM_020458	chr2(.):47163312-47308275	0.4832
NR_033872	chr2(.):70184394-70319147	0.3324
NM_032827	chr2(.):85975908-86023506	0.1369
NR_015395	chr2(.):112119590-112257692	0.5104
NR_024373	chr2(.):112181885-112257692	0.8516
NM_001099289	chr2(.):109740996-110267207	0.2366
NM_020760	chr2(.):197058976-197462335	0.2153
NM_001012514	chr2(.):231724620-231748963	0.7664
NM_145693	chr2(.):11881739-11972533	0.681
NM_183360	chr2(.):25595111-25901503	0.3112
NM_170672	chr2(.):33656415-33794798	0.4565
NM_005813	chr2(.):37472645-37549222	0.8156
NM_019063	chr2(.):42391489-42564688	0.1056
NM_012249	chr2(.):46764866-46816827	0.6208
NM_014755	chr2(.):64853754-64886046	0.9544
NR_036586	chr2(.):65123973-65164581	0.7896
NM_004836	chr2(.):88851258-88932094	0.4255
NM_144563	chr2(.):88986175-89055452	0.5345
NM_004027	chr2(.):99056320-99212496	1.3993
NM_001566	chr2(.):99056320-99203284	1.4815
NM_001193483	chr2(.):109145856-109308702	0.3071
NM_001142807	chr2(.):111485149-111880799	0.3097
NM_001077269	chr2(.):175419301-175552627	0.398
NR_024415	chr2(.):192537797-192558248	1.1584
NM_001031716	chr2(.):192537860-192558248	1.1599
NM_004226	chr2(.):196993306-197041336	0.5848
NM_001228	chr2(.):202093165-202157434	0.8176
NM_003879	chr2(.):201975889-202034003	1.1096
NM_001127184	chr2(.):201975815-202011323	1.67
NM_173822	chr2(.):201833440-201941392	0.1381
NM_033358	chr2(.):202093165-202151638	0.891
NM_022730	chr2(.):232646161-232678434	0.1081
NM_001137551	chr2(.):238595806-238695290	0.2766
NM_001137550	chr2(.):238531223-238695290	0.2166
NM_002997	chr2(.):20395557-20429927	1.8202
NM_001006946	chr2(.):20395557-20430194	1.8072
NM_004040	chr2(.):20641834-20654201	0.8142
NM_015376	chr2(.):33733941-33794798	0.2051
NM_001139488	chr2(.):33696320-33794798	0.6066
NM_012413	chr2(.):37566752-37605465	1.9122
NM_138370	chr2(.):42270160-42290668	0.1298
NM_006887	chr2(.):43444540-43458745	2.4957
NR_027251	chr2(.):43449349-43460994	1.7284
NM_080653	chr2(.):46733985-46752096	0.0683
NM_173074	chr2(.):46803412-46849251	0.1534
NM_014171	chr2(.):46839324-46857881	0.2361
NM_001171508	chr2(.):47124008-47173994	0.3268
NM_002354	chr2(.):47591286-47619167	0.0584
NR_033837	chr2(.):64407212-64437619	0.4777
NR_034023	chr2(.):64829445-64848616	0.2786
NM_001193493	chr2(.):65210578-65256000	0.3748
NM_003038	chr2(.):65211494-65256000	0.3801
NM_181784	chr2(.):65532984-65664656	0.4358
NM_001128210	chr2(.):65532984-65598931	0.1611
NM_014882	chr2(.):68996932-69058957	0.2088
NM_001166277	chr2(.):68956912-69058957	0.3267
NM_006196	chr2(.):70309584-70321334	2.6896
NR_024444	chr2(.):70346167-70357448	1.042
NM_006433	chr2(.):85916413-85930875	0.359
NM_198843	chr2(.):85879439-85900864	0.1271
NR_026984	chr2(.):86242338-86255991	0.2077
NR_015424	chr2(.):89060418-89111109	0.1573
NR_026875	chr2(.):97158382-97178846	0.2635
NM_212481	chr2(.):97197463-97223371	1.446
NM_001193484	chr2(.):109232701-109308702	0.2055
NM_001193485	chr2(.):109266266-109308702	0.1797
NM_001193482	chr2(.):109218616-109308702	0.3442
NM_001193488	chr2(.):109199921-109308702	0.3852
NM_004987	chr2(.):109199766-109308702	0.3849
NM_006186	chr2(.):157175943-157194287	0.6255
NM_004288	chr2(.):158266130-158305604	0.7317
NM_003387	chr2(.):175419301-175504307	0.5716
NM_002491	chr2(.):201931461-201955473	0.2572
NM_001127183	chr2(.):201978386-202033841	1.1574
NM_033356	chr2(.):202120222-202157434	0.8873
NM_001080125	chr2(.):202117753-202157434	0.9131
NM_006139	chr2(.):204566197-204607557	0.9094
NM_017431	chr2(.):219682105-219701512	0.0716
NM_025216	chr2(.):219740254-219763651	2.3888
NM_006522	chr2(.):219719545-219743954	0.2101
NM_024795	chr2(.):228221873-228249022	0.0489
NM_002601	chr2(.):232592146-232650974	0.105
NR_031717	chr2(.):232751951-232762008	0.0398
NM_004735	chr2(.):238595806-238679558	0.3215
NM_014674	chr3(.):5224358-5266650	1.4223
NM_001683	chr3(.):10360706-10552268	0.217
NM_001195099	chr3(.):15703743-15803058	0.0741
NM_001195098	chr3(.):15703743-15844691	0.1828
NM_015199	chr3(.):15703743-15906053	0.2005
NM_016128	chr3(.):128963452-129001616	0.6815
NM_003571	chr3(.):133113789-133199056	0.7292
NM_001135095	chr3(.):171753343-172123492	0.3761
NM_022763	chr3(.):171752417-172123492	0.3769
NM_181361	chr3(.):178249223-178567217	0.1848
NM_001134382	chr3(.):12933718-13119617	0.4634
NM_024923	chr3(.):13352736-13466809	0.3262
NM_014869	chr3(.):12933718-13013960	0.0678
NM_001024847	chr3(.):30642993-30740633	0.4586
NM_001171172	chr3(.):39299984-39326930	0.4747
NM_001171171	chr3(.):39299984-39327764	0.4739
NM_001171174	chr3(.):39299984-39328226	0.4701
NM_001123396	chr3(.):46390234-46405868	1.0843
NM_001123041	chr3(.):46390234-46407413	1.0155
NM_002213	chr3(.):124476794-124611144	0.5306
NM_032343	chr3(.):126418117-126684244	0.1461
NM_001001487	chr3(.):130608433-130740555	0.1058
NM_001199181	chr3(.):130564368-130727046	0.1946
NM_001199180	chr3(.):130564368-130740555	0.1853
NM_001199179	chr3(.):130607834-130727046	0.1093
NM_001001485	chr3(.):130607858-130740555	0.1057
NM_001199184	chr3(.):130607904-130727046	0.1093
NM_014382	chr3(.):130608291-130727046	0.1094
NM_001080412	chr3(.):141038054-141173632	1.4738
NM_024665	chr3(.):176733541-176920048	0.4543
NM_005832	chr3(.):178271617-178567217	0.1643
NM_130446	chr3(.):183200318-183278499	1.3619
NM_173216	chr3(.):186643314-186801341	0.6937
NM_003032	chr3(.):186734664-186801341	0.7887
NM_005524	chr3(.):193848933-193861396	1.6566
NM_001647	chr3(.):195290572-195316076	0.2194
NM_018184	chr3(.):5158929-5227601	0.2566
NM_015931	chr3(.):8656319-8698737	0.1784
NR_030614	chr3(.):10431172-10441246	1.6488
NM_194293	chr3(.):39219706-39239077	0.4115
NM_001337	chr3(.):39299984-39326527	0.4763
NM_001198621	chr3(.):39219705-39239085	0.4114
NM_005201	chr3(.):39366196-39380171	0.0667
NM_014240	chr3(.):45631322-45727755	0.3771
NM_001295	chr3(.):46238199-46254832	1.7645
NM_001837	chr3(.):46278871-46313197	0.1979
NM_003965	chr3(.):46443720-46456014	0.4575
NM_001199149	chr3(.):46472495-46510161	0.2687
NM_002343	chr3(.):46472495-46511598	0.2642
NM_001100168	chr3(.):46406632-46422697	0.5351
NM_001130910	chr3(.):46444048-46456014	0.4625
NM_003212	chr3(.):46614075-46628952	0.0632
NM_001174136	chr3(.):46611044-46628952	0.0636
NM_024512	chr3(.):46551877-46613011	0.6532
NM_031440	chr3(.):46534484-46547439	0.4814
NM_006100	chr3(.):98446571-98518236	0.7527
NM_145037	chr3(.):101493028-101552075	0.5325
NM_001134456	chr3(.):101493285-101552075	0.534
NM_001005474	chr3(.):101541833-101584869	0.3165
NR_033434	chr3(.):124444212-124473119	0.1587
NR_031687	chr3(.):125504246-125514395	0.0935
NM_001127196	chr3(.):128881657-128907810	0.6237
NM_020701	chr3(.):128841258-128885073	0.2051
NM_020187	chr3(.):128992683-129029135	0.8797
NM_001006109	chr3(.):128992816-129029135	0.8825
NM_006026	chr3(.):129028613-129040120	2.777
NR_026991	chr3(.):129030113-129048412	1.4326
NR_027898	chr3(.):129926662-129997649	0.0599
NR_034008	chr3(.):156802669-156823924	2.4603
NR_034007	chr3(.):156794455-156845791	1.254
NM_020307	chr3(.):156860585-156883482	0.8628
NR_027622	chr3(.):169656771-169689522	1.2546
NM_182610	chr3(.):169624481-169661948	0.6082
NM_003262	chr3(.):169679579-169721161	0.3106
NR_024480	chr3(.):194013988-194035593	1.2991
NM_001080513	chr3(.):194055493-194077057	0.0921
NM_006241	chr3(.):195236220-195275224	0.5031
NM_198565	chr3(.):196361655-196393874	0.7172
NM_014687	chr3(.):197393258-197468773	0.621
NM_001145642	chr3(.):197393313-197481568	0.6362
NR_027840	chr3(.):197472260-197516317	0.2668
NM_032288	chr3(.):197471623-197516317	0.2639
NR_030627	chr3(.):197396366-197406447	0.1188
NM_001011537	chr3(.):197471423-197516317	0.2631
NM_003215	chr4(.):48132799-48276814	0.3839
NM_201431	chr4(.):74433861-74491340	0.4567
NM_177532	chr4(.):74433861-74491134	0.4582
NM_020859	chr4(.):77351252-77709405	0.2384
NM_144571	chr4(.):78629540-78745544	0.2259
NM_198281	chr4(.):90160428-90234161	1.0449
NM_004310	chr4(.):40193526-40251281	0.9213
NM_001136570	chr4(.):77167852-77209929	0.1242
NM_024900	chr4(.):129725778-129790787	0.3684
NM_199320	chr4(.):129725778-129801379	0.326
NM_002039	chr4(.):144252982-144400718	0.4644
NM_002199	chr4(.):185303875-185400726	1.0579
NM_031953	chr4(.):186126283-186290120	0.4111
NR_031688	chr4(.):9552788-9562937	0.1183
NM_017581	chr4(.):40332468-40361973	0.0574
NM_001076	chr4(.):69398132-69439240	0.2641
NM_001077	chr4(.):69397902-69439245	0.2627
NM_001076	chr4(.):69507314-69541374	0.1441
NM_031889	chr4(.):71489460-71517536	0.1135
NM_144646	chr4(.):71516257-71537348	0.6576
NM_020368	chr4(.):71549195-71561268	0.3912
NM_014961	chr4(.):71582695-71664274	0.0865
NM_001130709	chr4(.):71565653-71660614	0.1075
NM_017426	chr4(.):77030816-77074655	0.12
NM_005506	chr4(.):77074893-77140035	0.5304
NM_020236	chr4(.):78778804-78878944	0.1673
NM_152545	chr4(.):82343218-82398061	0.4359
NM_014395	chr4(.):100732980-100796346	0.7758
NM_021970	chr4(.):100794494-100820703	0.4005
NM_003998	chr4(.):103417485-103543459	0.3275
NM_018409	chr4(.):186280031-186305152	0.2247
NM_181726	chr4(.):186312839-186326390	0.7026
NM_001131005	chr5(.):88009057-88204922	0.4872
NM_002397	chr5(.):88009057-88184283	0.4956
NM_001193349	chr5(.):88009057-88124744	0.3839
NM_001131055	chr5(.):175080039-175118245	0.3645
NM_001040446	chr5(.):32222110-32318114	0.3813
NM_024669	chr5(.):55390506-55534186	0.4458
NR_015436	chr5(.):87831596-87985620	0.2355
NM_152624	chr5(.):112307432-112361667	0.1697
NM_001077654	chr5(.):118599417-118735294	0.3288
NM_003060	chr5(.):131700400-131736306	0.1939
NM_005990	chr5(.):171464073-171620346	0.2062
NM_022455	chr5(.):176555832-176732214	0.2057
NM_172349	chr5(.):176555079-176732214	0.2055
NM_002406	chr5(.):180212540-180235048	0.7047
NM_001114619	chr5(.):180212540-180235902	0.7052
NM_001114618	chr5(.):180212540-180241817	0.8559
NM_001114617	chr5(.):180212540-180242137	0.8483
NM_001193376	chr5(.):1248286-1300162	0.1293
NM_030782	chr5(.):1312999-1350002	1.8046
NM_001145161	chr5(.):6443735-6501834	0.9227
NM_006713	chr5(.):32580604-32609185	0.9257
NM_002184	chr5(.):55225924-55295821	0.3994
NR_036243	chr5(.):86405695-86415771	0.7378
NR_024384	chr5(.):87955262-87974146	1.4667
NR_024383	chr5(.):87955262-87979262	1.1907
NR_030741	chr5(.):87957670-87967757	0.435
NM_005669	chr5(.):112207080-112263031	0.3019
NM_014350	chr5(.):118686595-118735294	0.1525
NM_000588	chr5(.):131391346-131403896	0.269
NM_000758	chr5(.):131404484-131416859	0.3991
NR_037500	chr5(.):131696181-131706291	0.2362
NM_002198	chr5(.):131812300-131831465	0.6834
NM_001013717	chr5(.):131741672-131803059	1.8496
NM_000879	chr5(.):131872135-131884214	0.0981
NM_016480	chr5(.):138672518-138710409	0.1632
NM_194296	chr5(.):138727455-138744776	0.939
NM_152686	chr5(.):138740891-138780214	0.6415
NM_152685	chr5(.):138697884-138724039	0.404
NM_001033112	chr5(.):138673133-138710409	0.1647
NM_001161546	chr5(.):138722634-138735885	2.6616
NM_016459	chr5(.):138718256-138730605	3.1415
NM_000024	chr5(.):148201155-148213197	1.3561
NM_001025071	chr5(.):149818791-149834319	0.4964
NM_001543	chr5(.):149882673-149942773	0.0804
NM_006058	chr5(.):150404505-150465997	0.2881
NM_001155	chr5(.):150475266-150542443	0.4565
NM_001193544	chr5(.):150475266-150526216	0.3709
NM_001171183	chr5(.):171616175-171635458	0.063
NM_004417	chr5(.):172190092-172203203	1.7064
NM_030627	chr5(.):173310330-173392313	0.4648
NM_022304	chr5(.):175103463-175116558	0.0715
NM_001031677	chr5(.):176723198-176735744	1.4561
NM_006480	chr5(.):176779843-176804599	0.352
NM_006816	chr5(.):176753562-176783885	0.2307
NM_031300	chr5(.):176729205-176744292	1.1241
NM_001142935	chr5(.):176727500-176744292	1.2952
NM_013237	chr5(.):176725834-176738950	1.4282
NR_027183	chr5(.):180251958-180267726	0.7598
NM_152283	chr5(.):180269610-180293286	0.2433
NR_027908	chr6(.):33548882-33566115	0.3546
NR_028361	chr6(.):33546475-33561803	0.7048
NM_181356	chr6(.):44791469-45350670	0.0941
NM_003599	chr6(.):44792449-45350575	0.0941
NM_012288	chr6(.):52357199-52446862	1.0625
NM_033515	chr6(.):129893239-130036370	0.4623
NM_000876	chr6(.):160385130-160532583	0.2071
NM_001195286	chr6(.):386738-416443	0.9034
NM_001168344	chr6(.):7102829-7257213	0.3889
NM_001003699	chr6(.):7103085-7257213	0.3894
NR_037616	chr6(.):7876482-8069647	1.0506
NM_002114	chr6(.):12007723-12170232	0.4013
NM_001173977	chr6(.):25274655-25625758	0.3965
NM_172166	chr6(.):31702724-31735455	0.9655
NM_145316	chr6(.):37174953-37230413	0.202
NM_001162900	chr6(.):37180417-37230931	0.1992
NM_183078	chr6(.):37316747-37367514	0.0991
NM_004348	chr6(.):45384913-45523819	0.3295
NM_001024630	chr6(.):45291053-45523819	0.2431
NM_001172420	chr6(.):52280804-52365583	0.3196
NM_018100	chr6(.):52279993-52365583	0.3197
NM_001123226	chr6(.):74166453-74216179	0.226
NM_016021	chr6(.):90031343-90067619	0.9652
NM_001455	chr6(.):108877068-109010971	1.0906
NM_201559	chr6(.):108876025-109010971	1.0835
NM_032131	chr6(.):109164618-109300352	0.5563
NM_006734	chr6(.):143067603-143271338	0.2939
NM_024630	chr6(.):157797556-158099977	0.1702
NM_020185	chr6(.):287100-356355	2.0525
NR_027712	chr6(.):7981334-7995577	0.3942
NM_001145549	chr6(.):7876482-7915310	3.1314
NM_030810	chr6(.):7876482-7916047	3.1343
NM_032744	chr6(.):11708887-11784280	0.5285
NM_005319	chr6(.):26050967-26061699	1.1208
NM_003537	chr6(.):26026816-26037288	1.2989
NM_003544	chr6(.):26022123-26032480	1.1817
NM_021062	chr6(.):26038454-26048885	1.0908
NM_003531	chr6(.):26040638-26051097	1.0911
NM_005325	chr6(.):26012259-26023040	0.6942
NM_003538	chr6(.):26016906-26027278	1.262
NM_003513	chr6(.):26028319-26038796	0.9844
NM_003529	chr6(.):26015717-26026186	0.8922
NM_021065	chr6(.):26194011-26204471	1.9699
NM_003530	chr6(.):26192011-26204464	1.6895
NM_138720	chr6(.):26153348-26176576	0.8983
NM_003523	chr6(.):26179023-26189458	0.75
NM_003539	chr6(.):26183937-26194304	0.8689
NM_003545	chr6(.):26199872-26210249	1.2802
NM_005321	chr6(.):26151558-26162343	1.2175
NM_003522	chr6(.):26194786-26205216	2.227
NM_003518	chr6(.):26211427-26221872	0.7217
NM_021052	chr6(.):26212147-26222711	0.7079
NM_003532	chr6(.):26220382-26230844	0.4167
NM_003524	chr6(.):26246878-26257303	1.1682
NM_003547	chr6(.):26241838-26252205	1.0131
NM_003540	chr6(.):26235653-26246021	0.257
NM_021018	chr6(.):26245369-26255835	1.1581
NM_005320	chr6(.):26229439-26240216	0.6266
NM_001145008	chr6(.):26397464-26420444	0.2728
NM_001197240	chr6(.):26378328-26400100	0.4812
NM_001197247	chr6(.):26360397-26383540	1.0508
NM_001197238	chr6(.):26378323-26400100	0.4815
NM_007047	chr6(.):26360397-26383548	1.0517
NM_001197237	chr6(.):26378438-26400100	0.4772
NM_001197248	chr6(.):26360469-26383540	1.0398
NM_001197246	chr6(.):26363405-26383540	0.6443
NM_021064	chr6(.):27095816-27106314	1.0271
NM_080593	chr6(.):27101071-27119637	0.9022
NM_080596	chr6(.):27109907-27120346	0.8061
NR_036096	chr6(.):27110404-27120467	0.8303
NM_021058	chr6(.):27095094-27105575	1.0081
NM_003495	chr6(.):27102087-27112457	0.6023
NM_021066	chr6(.):27777079-27787518	1.1383
NM_003536	chr6(.):27772841-27783314	1.5384
NM_003509	chr6(.):27770976-27781445	1.0945
NM_003519	chr6(.):27770256-27780709	1.0435
NM_003521	chr6(.):27777821-27788267	1.1117
NM_003520	chr6(.):27801439-27811888	1.7266
NM_003511	chr6(.):27828106-27838576	0.7043
NM_003533	chr6(.):27834622-27845099	0.3426
NM_003510	chr6(.):27800657-27811117	1.7287
NM_003541	chr6(.):27793951-27804305	0.5874
NM_005322	chr6(.):27829569-27840359	0.7734
NM_021968	chr6(.):27786902-27797258	0.6137
NM_003546	chr6(.):27835925-27846289	0.2436
