REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM3.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
6_MACS_peak_9765_lociStitched	chr16	81803290	81910028	6	100806	180397.8938	14	1	PLCG2		PLCG2	PLCG2	0.9828	14	1
4_MACS_peak_21098_lociStitched	chr6	7858093	7922847	4	51214	177691.4514	15	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.5516	15	1
3_MACS_peak_20536_lociStitched	chr5	131741134	131837789	3	91698	177535.904	16	1	C5orf56,IRF1	SLC22A5,MIR3936,IL5	IRF1	IRF1	1.4299	16	1
4_MACS_peak_20992_lociStitched	chr6	285758	366858	4	76330	170796.6	17	1	DUSP22	IRF4	DUSP22	DUSP22	2.3568	17	1
9_MACS_peak_19553_lociStitched	chr4	185296438	185404021	9	98373	170691.1878	18	1	IRF2		IRF2	IRF2	1.6708	18	1
8_MACS_peak_17756_lociStitched	chr3	141078953	141171687	8	80940	168312.21	19	1	ZBTB38	RASA2	RASA2	RASA2	0.1412	19	1
4_MACS_peak_2484_lociStitched	chr1	230236663	230314048	4	71278	167228.985	20	1	GALNT2		GALNT2	GALNT2	1.3351	20	1
12_MACS_peak_20231_lociStitched	chr5	95168802	95299381	12	96680	165299.9561	21	1	C5orf27,ELL2	GLRX	C5orf27	C5orf27	1.7755	21	1
4_MACS_peak_22088_lociStitched	chr6	109182807	109242948	4	55163	150328.4436	22	1	ARMC2		ARMC2	ARMC2	1.2551	22	1
9_MACS_peak_11700_lociStitched	chr19	2606480	2712819	9	83012	143791.5958	23	1	GNG7	DIRAS1,SLC39A3	GNG7	GNG7	0.8706	23	1
9_MACS_peak_2438_lociStitched	chr1	226818536	226929066	9	75118	143368.463	24	1	ITPKB		ITPKB	ITPKB	1.2286	24	1
5_MACS_peak_22040_lociStitched	chr6	106528029	106596389	5	59816	143221.036	25	1	PRDM1		PRDM1	PRDM1	3.0527	25	1
12_MACS_peak_21276_lociStitched	chr6	25291563	25420931	12	100064	140325.4696	26	1	LRRC16A		LRRC16A	LRRC16A	0.538	26	1
5_MACS_peak_19374_lociStitched	chr4	153367161	153486131	5	102076	132746.726	27	1	DKFZP434I0714,FBXW7,MIR3140		MIR3140	MIR3140	1.1566	27	1
1_MACS_peak_6424_lociStitched	chr12	123343534	123390426	1	46893	131297.6	28	1	HIP1R,VPS37B		VPS37B	VPS37B	2.9598	28	1
6_MACS_peak_4819_lociStitched	chr11	111196895	111271731	6	58215	124691.7432	29	1	POU2AF1	C11orf93,C11orf92	POU2AF1	POU2AF1	2.8908	29	1
2_MACS_peak_8127_lociStitched	chr15	31614139	31671810	2	52157	123271.7625	30	1	KLF13		KLF13	KLF13	2.0282	30	1
3_MACS_peak_11536_lociStitched	chr18	60797601	60832701	3	33603	121049.37	31	1	BCL2		BCL2	BCL2	1.3052	31	1
10_MACS_peak_23187_lociStitched	chr7	47511061	47630244	10	89588	121042.2548	32	1	TNS3		TNS3	TNS3	0.4284	32	1
4_MACS_peak_13916_lociStitched	chr2	136863900	136900409	4	34157	116591.4915	33	1	CXCR4		CXCR4	CXCR4	2.4386	33	1
4_MACS_peak_5187_lociStitched	chr12	12843475	12880443	4	28247	114589.7096	34	1	CDKN1B,APOLD1,GPR19	MIR613	CDKN1B	CDKN1B	6.1134	34	1
2_MACS_peak_3771_lociStitched	chr10	125811415	125869733	2	56719	111527.3432	35	1	CHST15		CHST15	CHST15	1.2817	35	1
1_MACS_peak_1547_lociStitched	chr1	150531238	150554203	1	22966	110875.02	36	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	3.0666	36	1
5_MACS_peak_20622_lociStitched	chr5	139012372	139092615	5	62254	110631.0241	37	1	CXXC5		CXXC5	CXXC5	1.2241	37	1
9_MACS_peak_24302_lociStitched	chr8	29048971	29126129	9	58982	109749.5392	38	1	KIF13B		KIF13B	KIF13B	0.6143	38	1
7_MACS_peak_10097_lociStitched	chr17	16817827	16896050	7	60615	106735.2835	39	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.3848	39	1
6_MACS_peak_23261_lociStitched	chr7	55569415	55643268	6	61278	106532.9525	40	1	VOPP1		VOPP1	VOPP1	1.0003	40	1
4_MACS_peak_2217_lociStitched	chr1	205242049	205292073	4	48284	104495.1336	41	1	TMCC2,NUAK2	KLHDC8A	NUAK2	NUAK2	1.7629	41	1
1_MACS_peak_603_lociStitched	chr1	40838331	40871749	1	33419	103385.2666	42	1	SMAP2	ZNF643	SMAP2	SMAP2	1.7647	42	1
7_MACS_peak_9151_lociStitched	chr16	11760942	11838583	7	68462	103091.7198	43	1	SNN,TXNDC11		TXNDC11	TXNDC11	1.3128	43	1
6_MACS_peak_24266_lociStitched	chr8	27181299	27282468	6	83837	102342.5604	44	1	PTK2B	TRIM35	PTK2B	PTK2B	0.6993	44	1
3_MACS_peak_13624_lociStitched	chr2	99060224	99136963	3	72482	101487.3275	45	1	INPP4A		INPP4A	INPP4A	0.7172	45	1
3_MACS_peak_18582_lociStitched	chr4	40182120	40241750	3	48761	100899.923	46	1	RHOH		RHOH	RHOH	1.4075	46	1
1_MACS_peak_13561_lociStitched	chr2	88890032	88929590	1	39559	100845.2094	47	1	EIF2AK3		EIF2AK3	EIF2AK3	1.3257	47	1
8_MACS_peak_13379_lociStitched	chr2	70308646	70371942	8	39708	100165.92	48	1	PCBP1,LOC400960,LOC100133985	C2orf42	LOC100133985	LOC100133985	1.6641	48	1
6_MACS_peak_10802_lociStitched	chr17	62132431	62210845	6	72744	98597.7636	49	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	ERN1	1.0384	49	1
1_MACS_peak_1688_lociStitched	chr1	156448275	156480449	1	32175	98478.1792	50	1	MEF2D	C1orf61	MEF2D	MEF2D	1.997	50	1
5_MACS_peak_5110_lociStitched	chr12	7022277	7081424	5	45285	97793.6498	51	1	LRRC23,ENO2,ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	TPI1,RPL13P5,DSTNP2,SPSB2,LPCAT3	C12orf57	C12orf57	1.7351	51	1
5_MACS_peak_880_lociStitched	chr1	66794944	66850172	5	44317	97206.8028	52	1	PDE4B		PDE4B	PDE4B	0.2756	52	1
7_MACS_peak_24689_lociStitched	chr8	80986564	81085319	7	82513	97135.418	53	1	TPD52	MRPS28	TPD52	TPD52	0.7478	53	1
5_MACS_peak_17843_lociStitched	chr3	151958991	152029190	5	62378	96109.4509	54	1	MBNL1,LOC401093	TMEM14E	LOC401093	LOC401093	2.3089	54	1
3_MACS_peak_22983_lociStitched	chr7	25979246	26013001	3	27166	95141.843	55	1	MIR148A		MIR148A	MIR148A	3.4604	55	1
1_MACS_peak_2891_lociStitched	chr10	22593190	22616728	1	23539	94048.4328	56	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	4.773	56	1
3_MACS_peak_22649_lociStitched	chr6	159188584	159241905	3	49897	93631.676	57	1	EZR	MIR3918,OSTCL	EZR	EZR	1.5199	57	1
6_MACS_peak_8527_lociStitched	chr15	67356379	67431787	6	66708	93136.4208	58	1	SMAD3	SMAD3	SMAD3	SMAD3	0.758	58	1
5_MACS_peak_1628_lociStitched	chr1	154907122	154957474	5	40974	93020.2848	59	1	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	1.504	59	1
6_MACS_peak_19278_lociStitched	chr4	141627905	141700869	6	52197	92664.28	60	1	TBC1D9		TBC1D9	TBC1D9	0.8165	60	1
10_MACS_peak_23898_lociStitched	chr7	137636668	137727017	10	69009	92499.3062	61	1	CREB3L2	AKR1D1	CREB3L2	CREB3L2	0.6798	61	1
6_MACS_peak_22436_lociStitched	chr6	143222911	143270730	6	31928	91257.7796	62	1	HIVEP2		HIVEP2	HIVEP2	0.9998	62	1
8_MACS_peak_11669_lociStitched	chr19	2030800	2098915	8	55171	91212.7965	63	1	IZUMO4,MKNK2,MOBKL2A	BTBD2	MKNK2	MKNK2	1.2022	63	1
3_MACS_peak_25066_lociStitched	chr8	126429161	126453282	3	18295	89435.8438	64	1	TRIB1		TRIB1	TRIB1	4.7951	64	1
4_MACS_peak_3696_lociStitched	chr10	112599177	112645029	4	36409	89140.8732	65	1	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	3.2909	65	1
2_MACS_peak_17841_lociStitched	chr3	151909529	151944923	2	29824	88831.8612	66	1		MBNL1,LOC401093	MBNL1	LOC401093	2.3089	66	1
7_MACS_peak_17494_lociStitched	chr3	114122773	114189257	7	57176	88676.3592	67	1	ZBTB20	ZBTB20	ZBTB20	ZBTB20	0.4932	67	1
2_MACS_peak_2264_lociStitched	chr1	207970407	208008300	2	34638	88404.369	68	1	LOC148696,MIR29C,MIR29B2	CD46	LOC148696	LOC148696	5.0216	68	1
3_MACS_peak_12319_lociStitched	chr19	42431363	42464399	3	25555	87707.2764	69	1	RABAC1	ARHGEF1,ATP1A3	RABAC1	RABAC1	0.9533	69	1
3_MACS_peak_1668_lociStitched	chr1	155899851	155955896	3	48239	87054.6985	70	1	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4,SSR2	RXFP4	RXFP4	1.305	70	1
3_MACS_peak_4355_lociStitched	chr11	64610865	64648752	3	35952	86689.2447	71	1	CDC42BPG,EHD1	PPP2R5B,MAP4K2,MEN1,MIR192,MIR194-2,ATG2A	EHD1	EHD1	2.3638	71	1
6_MACS_peak_11539_lociStitched	chr18	60839345	60904591	6	59657	86653.2126	72	1	BCL2		BCL2	BCL2	1.3052	72	1
7_MACS_peak_1990_lociStitched	chr1	182990362	183077005	7	71799	86443.7211	73	1	LAMC1		LAMC1	LAMC1	0.7631	73	1
4_MACS_peak_12761_lociStitched	chr2	16794538	16849266	4	47445	86355.3112	74	1	FAM49A		FAM49A	FAM49A	0.729	74	1
2_MACS_peak_5298_lociStitched	chr12	26265074	26289452	2	21767	86261.553	75	1	BHLHE41		BHLHE41	BHLHE41	4.9434	75	1
2_MACS_peak_5133_lociStitched	chr12	9854153	9897373	2	41299	86249.832	76	1	CLECL1	CLEC2D,CD69	CLECL1	CLECL1	2.872	76	1
3_MACS_peak_16054_lociStitched	chr22	29182676	29228170	3	40798	86056.4504	77	1	CCDC117,XBP1	HSCB,CHEK2	XBP1	XBP1	3.3873	77	1
4_MACS_peak_2488_lociStitched	chr1	230326465	230370903	4	37906	86045.2994	78	1	GALNT2		GALNT2	GALNT2	1.3351	78	1
2_MACS_peak_15811_lociStitched	chr21	44769979	44806190	2	30001	85830.9333	79	1		SIK1	SIK1	SIK1	2.2421	79	1
3_MACS_peak_23585_lociStitched	chr7	101920248	101984218	3	59802	85438.332	80	1	CUX1,SH2B2,MIR4285	SPDYE6	MIR4285	MIR4285	0.997	80	1
2_MACS_peak_14539_lociStitched	chr2	201978600	202002431	2	23797	85229.1884	81	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.6761	81	1
5_MACS_peak_19297_lociStitched	chr4	144255971	144311444	5	45067	84879.2373	82	1	GAB1		GAB1	GAB1	0.762	82	1
6_MACS_peak_6460_lociStitched	chr12	124922437	124983747	6	43854	83430.648	83	1	NCOR2		NCOR2	NCOR2	0.6719	83	1
5_MACS_peak_14081_lociStitched	chr2	158268756	158311443	5	28599	83367.711	84	1	CYTIP		CYTIP	CYTIP	1.957	84	1
2_MACS_peak_16545_lociStitched	chr3	13033689	13063950	2	30202	82397.6769	85	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.543	85	1
1_MACS_peak_2526_lociStitched	chr1	234733483	234750466	1	16984	82007.5104	86	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	5.185	86	1
4_MACS_peak_9553_lociStitched	chr16	66546987	66590108	4	32495	81938.5242	87	1	CKLF,TK2	CMTM1,CMTM2,CMTM3	TK2	TK2	1.5896	87	1
3_MACS_peak_21142_lociStitched	chr6	13271370	13311104	3	28926	81558.0084	88	1	PHACTR1,TBC1D7		TBC1D7	TBC1D7	1.6995	88	1
5_MACS_peak_25209_lociStitched	chr8	141567768	141612363	5	34739	81359.118	89	1	EIF2C2	CHRAC1	EIF2C2	CHRAC1	0.9459	89	1
2_MACS_peak_4385_lociStitched	chr11	65254190	65279192	2	23391	81243.999	90	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	4.136	90	1
6_MACS_peak_1167_lociStitched	chr1	94127356	94184070	6	48867	80738.0504	91	1	BCAR3		BCAR3	BCAR3	0.3273	91	1
4_MACS_peak_16173_lociStitched	chr22	37593435	37645413	4	48114	79781.0322	92	1	SSTR3,RAC2	CYTH4,IL2RB,C1QTNF6	SSTR3	SSTR3	0.9118	92	1
1_MACS_peak_16021_lociStitched	chr22	24818720	24842743	1	24024	79069.3022	93	1	ADORA2A,C22orf45	UPB1	ADORA2A	ADORA2A	3.1936	93	1
3_MACS_peak_15451_lociStitched	chr20	52521902	52560745	3	34872	79022.1992	94	1	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	0.7061	94	1
3_MACS_peak_15248_lociStitched	chr20	35963359	36023061	3	52908	78955.895	95	1	SRC	MANBAL	SRC	MANBAL	1.8839	95	1
2_MACS_peak_10438_lociStitched	chr17	38249790	38281606	2	25739	78432.8032	96	1	THRA,MSL1,NR1D1	CASC3,MED24	NR1D1	NR1D1	3.0457	96	1
2_MACS_peak_11008_lociStitched	chr17	75428460	75477610	2	47638	78350.015	97	1	SEPT9	MIR4316	SEPT9	SEPT9	0.4332	97	1
3_MACS_peak_3162_lociStitched	chr10	63796017	63820370	3	23076	76090.9485	98	1	ARID5B		ARID5B	ARID5B	0.9573	98	1
1_MACS_peak_24363_lociStitched	chr8	37730131	37762889	1	32759	75215.6438	99	1	RAB11FIP1	BRF2,GOT1L1	RAB11FIP1	RAB11FIP1	1.5494	99	1
7_MACS_peak_17575_lociStitched	chr3	121687618	121756242	7	49353	74861.9216	100	1	ILDR1	CD86	ILDR1	ILDR1	1.4272	100	1
3_MACS_peak_13710_lociStitched	chr2	111787236	111830125	3	34371	74845.5939	101	1	ACOXL	BCL2L11	BCL2L11	BCL2L11	0.7615	101	1
2_MACS_peak_21698_lociStitched	chr6	45771956	45806156	2	29411	74463.66	102	1			CLIC5	CLIC5	NONE	102	1
3_MACS_peak_21550_lociStitched	chr6	36327635	36358206	3	24792	74461.7847	103	1	ETV7	C6orf222	ETV7	ETV7	2.3546	103	1
5_MACS_peak_1901_lociStitched	chr1	174124390	174176229	5	36991	74166.0573	104	1	RABGAP1L		RABGAP1L	RABGAP1L	0.2149	104	1
3_MACS_peak_21636_lociStitched	chr6	42736921	42759152	3	19796	73818.0355	105	1		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	TBCC	0.7317	105	1
3_MACS_peak_5003_lociStitched	chr11	128582270	128632704	3	46670	73754.6816	106	1	FLI1		FLI1	FLI1	0.8268	106	1
3_MACS_peak_18492_lociStitched	chr4	25841774	25893137	3	46041	73305.2736	107	1	SEL1L3	C4orf52	SEL1L3	C4orf52	0.437	107	1
6_MACS_peak_4388_lociStitched	chr11	65306494	65360322	6	43897	72866.9636	108	1	SSSCA1,FAM89B,EHBP1L1,LTBP3	MALAT1,SCYL1,PCNXL3,SIPA1,KCNK7,MAP3K11	SSSCA1	MALAT1	4.136	108	1
2_MACS_peak_6473_lociStitched	chr12	125394786	125413848	2	15804	72832.0896	109	1	UBC	SCARB1	UBC	UBC	4.0024	109	1
6_MACS_peak_13282_lociStitched	chr2	64415088	64463407	6	34897	72695.9355	110	1	LOC150992	PELI1	LOC150992	PELI1	0.8496	110	1
5_MACS_peak_8461_lociStitched	chr15	63762238	63803922	5	37748	72142.4988	111	1	USP3		USP3	USP3	0.5192	111	1
2_MACS_peak_24084_lociStitched	chr8	6262081	6291363	2	28657	72013.2226	112	1	MCPH1		MCPH1	MCPH1	0.3763	112	1
7_MACS_peak_9581_lociStitched	chr16	67546577	67603071	7	43575	71956.4078	113	1	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	FAM65A	1.3153	113	1
7_MACS_peak_3787_lociStitched	chr10	126365392	126434175	7	47901	70660.7759	114	1	FAM53B	METTL10	FAM53B	FAM53B	0.6174	114	1
3_MACS_peak_8291_lociStitched	chr15	45001502	45031143	3	26464	70607.8261	115	1	B2M,TRIM69	SPG11,PATL2	TRIM69	PATL2	0.6951	115	1
6_MACS_peak_14583_lociStitched	chr2	204537385	204607446	6	53442	70117.0488	116	1	CD28		CD28	CD28	1.0772	116	1
1_MACS_peak_15247_lociStitched	chr20	35916722	35947847	1	31126	70000.125	117	1	MANBAL	SRC,GHRH	MANBAL	MANBAL	1.8839	117	1
3_MACS_peak_22906_lociStitched	chr7	18533300	18579602	3	42486	69679.8798	118	1	HDAC9		HDAC9	HDAC9	0.209	118	1
2_MACS_peak_13046_lociStitched	chr2	43382297	43409573	2	22764	69000.0972	119	1		LOC100129726,ZFP36L2	ZFP36L2	ZFP36L2	3.8687	119	1
6_MACS_peak_4462_lociStitched	chr11	67157828	67215552	6	40541	68622.2912	120	1	LOC100130987,RAD9A,TBC1D10C,CARNS1,RPS6KB2,PPP1CA,PTPRCAP,CORO1B	CABP4,AIP,POLD4,CLCF1,GPR152,TMEM134	CARNS1	POLD4	1.4264	120	1
5_MACS_peak_26239_lociStitched	chr9	134516184	134562838	5	39544	68436.7526	121	1	RAPGEF1		RAPGEF1	RAPGEF1	0.6178	121	1
2_MACS_peak_1470_lociStitched	chr1	145426267	145458627	2	29923	68324.904	122	1	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	2.5877	122	1
4_MACS_peak_11028_lociStitched	chr17	76688071	76747144	4	52913	68063.9106	123	1	CYTH1		CYTH1	CYTH1	0.8258	123	1
1_MACS_peak_26156_lociStitched	chr9	130658172	130681913	1	23742	67417.3177	124	1	ST6GALNAC6,ST6GALNAC4	ENG,AK1,PIP5KL1,DPM2,FAM102A	ST6GALNAC6	ST6GALNAC6	0.6711	124	1
6_MACS_peak_17291_lociStitched	chr3	98447692	98508578	6	49213	67315.5616	125	1	ST3GAL6		ST3GAL6	ST3GAL6	0.9672	125	1
3_MACS_peak_15807_lociStitched	chr21	44722643	44747985	3	24345	67057.4662	126	1			SIK1	SIK1	2.2421	126	1
1_MACS_peak_11962_lociStitched	chr19	13943467	13963259	1	19793	66564.4544	127	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	2.2252	127	1
3_MACS_peak_13034_lociStitched	chr2	42322955	42361822	3	32864	66229.368	128	1		PKDCC,EML4	EML4	EML4	0.1286	128	1
4_MACS_peak_1761_lociStitched	chr1	161007098	161041678	4	27198	66193.036	129	1	TSTD1,USF1,ARHGAP30,PVRL4	KLHDC9,NIT1,F11R,PFDN2	USF1	USF1	2.6237	129	1
2_MACS_peak_6405_lociStitched	chr12	122218549	122250828	2	29684	65716.8161	130	1	TMEM120B,SETD1B,RHOF,LOC338799	HPD	RHOF	RHOF	0.9205	130	1
3_MACS_peak_10444_lociStitched	chr17	38464596	38510180	3	40887	65403.9232	131	1	RARA	CDC6,GJD3	RARA	RARA	1.143	131	1
4_MACS_peak_24549_lociStitched	chr8	61811577	61842904	4	28554	65229.0794	132	1		LOC100130298	LOC100130298	LOC100130298	0.1451	132	1
2_MACS_peak_12253_lociStitched	chr19	39879555	39905271	2	22288	64688.598	133	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.9009	133	1
2_MACS_peak_20903_lociStitched	chr5	173306800	173360800	2	52200	64616.4	134	1	CPEB4		CPEB4	CPEB4	0.8538	134	1
6_MACS_peak_2917_lociStitched	chr10	24728017	24793714	6	54866	64488.1752	135	1	KIAA1217		MIR603	MIR603	NONE	135	1
1_MACS_peak_14315_lociStitched	chr2	182164623	182181011	1	16389	64067.2472	136	1			ITGA4	ITGA4	0.5022	136	1
11_MACS_peak_9981_lociStitched	chr17	4234627	4312656	11	47141	63944.7655	137	1	UBE2G1	SPNS3	UBE2G1	UBE2G1	0.3111	137	1
9_MACS_peak_8577_lociStitched	chr15	70324211	70394704	9	59065	63944.2003	138	1	TLE3,MIR629		MIR629	MIR629	0.3451	138	1
2_MACS_peak_24802_lociStitched	chr8	95952419	95978449	2	23447	63835.972	139	1	TP53INP1	CCNE2	TP53INP1	TP53INP1	1.2757	139	1
4_MACS_peak_25507_lociStitched	chr9	33123369	33169802	4	42843	63334.612	140	1	B4GALT1	SMU1	B4GALT1	B4GALT1	1.0306	140	1
5_MACS_peak_16302_lociStitched	chr22	42305715	42343829	5	30717	63086.2928	141	1	TNFRSF13C,CENPM	MIR33A,LOC339674,SEPT3	TNFRSF13C	TNFRSF13C	1.728	141	1
8_MACS_peak_2245_lociStitched	chr1	206836422	206902565	8	51165	62935.0645	142	1	MAPKAPK2	DYRK3,IL10	MAPKAPK2	MAPKAPK2	0.9918	142	1
1_MACS_peak_25246_lociStitched	chr8	144593604	144614643	1	21040	62715.1551	143	1	ZC3H3	GSDMD,C8orf73,NAPRT1	ZC3H3	ZC3H3	0.6515	143	1
5_MACS_peak_14543_lociStitched	chr2	202039154	202102609	5	53684	62693.54	144	1	CASP10,CASP8	CASP8	CASP10	CASP10	1.0316	144	1
2_MACS_peak_523_lociStitched	chr1	36613136	36644751	2	31410	62664.0915	145	1	MAP7D1,TRAPPC3	THRAP3,COL8A2	MAP7D1	MAP7D1	1.4949	145	1
2_MACS_peak_15834_lociStitched	chr21	45551905	45582183	2	27312	62502.8754	146	1	C21orf33	PWP2	C21orf33	C21orf33	1.3764	146	1
2_MACS_peak_23623_lociStitched	chr7	104642843	104662405	2	14832	62457.5536	147	1	MLL5,LOC100216545		LOC100216545	LOC100216545	4.4151	147	1
6_MACS_peak_11639_lociStitched	chr19	1239066	1277648	6	29229	62321.5046	148	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf23	STK11,EFNA2,C19orf26	MIDN	MIDN	1.3905	148	1
2_MACS_peak_23730_lociStitched	chr7	115774625	115811315	2	35617	62244.585	149	1		TES	TES	TES	0.3304	149	1
6_MACS_peak_1145_lociStitched	chr1	93393977	93442536	6	35093	61791.3275	150	1	FAM69A		FAM69A	FAM69A	0.5943	150	1
5_MACS_peak_18121_lociStitched	chr3	183219761	183275150	5	48643	61094.067	151	1	KLHL6		KLHL6	KLHL6	0.8421	151	1
4_MACS_peak_1674_lociStitched	chr1	156065715	156101061	4	28603	60865.812	152	1	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	LMNA	1.0404	152	1
6_MACS_peak_25033_lociStitched	chr8	125604621	125656087	6	45342	60580.6286	153	1	MTSS1		NDUFB9	NDUFB9	NONE	153	1
12_MACS_peak_6257_lociStitched	chr12	111042074	111128406	12	54705	60432.4	154	1	TCTN1,HVCN1	PPTC7	TCTN1	TCTN1	0.5621	154	1
4_MACS_peak_16368_lociStitched	chr22	46422270	46469453	4	31747	60285.7191	155	1	LOC150381,LOC100271722,C22orf26	LOC730668,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,WNT7B	LOC150381	LOC150381	1.6323	155	1
3_MACS_peak_3346_lociStitched	chr10	80825470	80879554	3	46592	60168.45	156	1	ZMIZ1,LOC283050		ZMIZ1	ZMIZ1	0.5717	156	1
4_MACS_peak_20894_lociStitched	chr5	173138609	173179709	4	38024	59853.93	157	1			BOD1	BOD1	NONE	157	1
2_MACS_peak_12931_lociStitched	chr2	33699064	33726551	2	26938	59756.738	158	1	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.5302	158	1
3_MACS_peak_20973_lociStitched	chr5	180223592	180261835	3	32478	59670.5529	159	1	LOC729678,MGAT1	ZFP62	MGAT1	MGAT1	0.8698	159	1
4_MACS_peak_11682_lociStitched	chr19	2254389	2290690	4	24447	59631.6527	160	1	OAZ1,JSRP1,C19orf35,LINGO3	SF3A2,AMH,MIR4321,SPPL2B,MIR1227,PLEKHJ1,LSM7	OAZ1	OAZ1	1.9884	160	1
5_MACS_peak_11935_lociStitched	chr19	12885235	12918739	5	25254	59583.5136	161	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	JUNB	3.5248	161	1
1_MACS_peak_21482_lociStitched	chr6	32934107	32943230	1	9124	59516.6274	162	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.6634	162	1
6_MACS_peak_16201_lociStitched	chr22	38609152	38673738	6	48360	59244.7378	163	1	MAFF,TMEM184B	PLA2G6,CSNK1E	TMEM184B	TMEM184B	0.9239	163	1
4_MACS_peak_5089_lociStitched	chr12	6532348	6581218	4	35868	59113.152	164	1	CD27,TAPBPL,LOC678655,VAMP1	LTBR,NCAPD2,SCARNA10,SCNN1A,MRPL51	CD27	CD27	1.4912	164	1
2_MACS_peak_23879_lociStitched	chr7	134830474	134858973	2	24770	59021.429	165	1	TMEM140,C7orf49	WDR91	C7orf49	C7orf49	2.1261	165	1
4_MACS_peak_15564_lociStitched	chr21	15888336	15921827	4	31218	58733.1667	166	1	SAMSN1		SAMSN1	SAMSN1	0.9418	166	1
