GENE_ID	locusLine	bin_1_03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05.bam
NM_138300	chr1(.):154924501-154939258	1.4986
NR_036212	chr1(.):154943168-154953259	1.3413
NM_001162384	chr1(.):155911629-155953336	0.8638
NM_181885	chr1(.):155906479-155917625	0.8926
NM_004723	chr1(.):155911629-155952966	0.8639
NM_014949	chr1(.):155877835-155909188	0.3695
NR_002974	chr1(.):155884699-155894833	0.0973
NR_003005	chr1(.):155890748-155900877	0.0955
NM_020131	chr1(.):156000091-156028516	0.2972
NM_001093725	chr1(.):156036803-156056789	0.1565
NM_020387	chr1(.):156025965-156045295	0.1227
NM_001145264	chr1(.):156019516-156033301	0.4515
NM_003145	chr1(.):155973838-155995758	0.3619
NM_014655	chr1(.):156158729-156187587	0.5611
NM_007221	chr1(.):156177783-156214833	0.7027
NM_022367	chr1(.):156118321-156152542	2.3244
NM_001193302	chr1(.):156118368-156152542	2.3259
NM_001193301	chr1(.):156114734-156152542	2.2252
NM_005920	chr1(.):156428518-156475529	0.9715
NM_004494	chr1(.):156706898-156726543	0.9321
NM_001126051	chr1(.):156706898-156727024	0.9136
NM_001126050	chr1(.):156706898-156727240	0.9049
NM_030980	chr1(.):156687412-156702705	0.4251
NM_001878	chr1(.):156664407-156680375	0.1616
NM_001142560	chr1(.):156693262-156711752	0.6954
NM_145729	chr1(.):156702093-156715923	0.579
NM_001077470	chr1(.):161194455-161213000	0.3657
NM_001039711	chr1(.):161085768-161107478	0.6815
NM_016406	chr1(.):161118533-161133646	0.9868
NM_004550	chr1(.):161164104-161189184	0.5053
NM_000309	chr1(.):161131180-161146010	0.466
NM_001643	chr1(.):161187082-161198418	0.7598
NM_003779	chr1(.):161136100-161152314	0.8854
NM_012475	chr1(.):161124253-161140516	0.6105
NM_001039712	chr1(.):161085768-161107256	0.6874
NM_032174	chr1(.):161190832-161205407	0.4607
NM_001166159	chr1(.):161166936-161189184	0.5241
NM_005099	chr1(.):161154537-161173845	0.7872
NM_004106	chr1(.):161180086-161194038	0.4462
NM_002922	chr1(.):192539856-192554159	1.2595
NM_005298	chr1(.):200837165-200848251	0.1818
NM_018265	chr1(.):200855638-200889864	0.9408
NM_001142569	chr1(.):200858998-200889864	0.9196
NR_034150	chr1(.):203262885-203279453	2.3044
NM_003465	chr1(.):203180206-203203860	0.1854
NM_006763	chr1(.):203269663-203283729	1.362
NM_002023	chr1(.):203304751-203325289	0.2049
NM_002646	chr1(.):204386757-204464474	0.1851
NM_002393	chr1(.):204480510-204532248	0.6892
NM_030952	chr1(.):205266190-205295883	0.3552
NM_000707	chr1(.):206219282-206236482	0.2034
NM_001007544	chr1(.):206233871-206293647	1.0725
NM_148964	chr1(.):206312458-206337104	0.1442
NM_006893	chr1(.):206759973-206790904	0.175
NM_182665	chr1(.):206725491-206767616	0.6451
NM_000572	chr1(.):206935947-206950839	0.459
NM_013371	chr1(.):206997221-207021325	0.3297
NM_001185157	chr1(.):207065787-207082484	0.1511
NM_153758	chr1(.):206967214-207021324	0.5039
NM_002644	chr1(.):207096866-207124811	0.3185
NM_001170631	chr1(.):207126311-207148970	0.1551
NM_001172425	chr1(.):226119297-226134083	1.4816
NM_013328	chr1(.):226102579-226116965	0.613
NM_181441	chr1(.):228289379-228302013	0.8403
NR_037415	chr1(.):228279963-228290042	0.1885
NM_001024227	chr1(.):228265850-228291913	0.985
NM_001024226	chr1(.):228265360-228291913	0.9697
NM_024319	chr1(.):228283427-228296022	0.5291
NM_001159390	chr1(.):228322928-228341655	0.3873
NM_182972	chr1(.):234735014-234750271	3.9888
NR_033927	chr1(.):234760056-234775526	0.1648
NR_033872	chr2(.):70184394-70319147	0.5145
NR_015395	chr2(.):112119590-112257692	0.5529
NR_024373	chr2(.):112181885-112257692	0.914
NM_001099289	chr2(.):109740996-110267207	0.1924
NM_001012514	chr2(.):231724620-231748963	0.8288
NM_145693	chr2(.):11881739-11972533	0.7148
NM_183360	chr2(.):25595111-25901503	0.2234
NM_005813	chr2(.):37472645-37549222	0.5197
NM_019063	chr2(.):42391489-42564688	0.1003
NM_014755	chr2(.):64853754-64886046	0.5936
NR_036586	chr2(.):65123973-65164581	0.7827
NM_144563	chr2(.):88986175-89055452	0.4435
NM_004027	chr2(.):99056320-99212496	0.8171
NM_001566	chr2(.):99056320-99203284	0.8645
NM_004226	chr2(.):196993306-197041336	0.3347
NM_001228	chr2(.):202093165-202157434	0.5672
NM_003879	chr2(.):201975889-202034003	0.8387
NM_001127184	chr2(.):201975815-202011323	1.2824
NM_173822	chr2(.):201833440-201941392	0.1184
NM_033358	chr2(.):202093165-202151638	0.6138
NM_022730	chr2(.):232646161-232678434	0.0885
NM_002997	chr2(.):20395557-20429927	1.5403
NM_001006946	chr2(.):20395557-20430194	1.5296
NM_004040	chr2(.):20641834-20654201	0.6026
NM_012413	chr2(.):37566752-37605465	1.5795
NM_138370	chr2(.):42270160-42290668	0.1237
NM_006887	chr2(.):43444540-43458745	2.0241
NR_027251	chr2(.):43449349-43460994	1.6207
NM_002354	chr2(.):47591286-47619167	0.0694
NR_033837	chr2(.):64407212-64437619	0.2643
NR_034023	chr2(.):64829445-64848616	0.1984
NM_001193493	chr2(.):65210578-65256000	0.5468
NM_003038	chr2(.):65211494-65256000	0.557
NM_006196	chr2(.):70309584-70321334	4.9236
NR_024444	chr2(.):70346167-70357448	1.0253
NR_026984	chr2(.):86242338-86255991	0.1576
NR_015424	chr2(.):89060418-89111109	0.1221
NR_026875	chr2(.):97158382-97178846	0.2246
NM_212481	chr2(.):97197463-97223371	1.6068
NM_006186	chr2(.):157175943-157194287	0.8836
NM_004288	chr2(.):158266130-158305604	0.5273
NM_002491	chr2(.):201931461-201955473	0.2637
NM_001127183	chr2(.):201978386-202033841	0.8721
NM_033356	chr2(.):202120222-202157434	0.6441
NM_001080125	chr2(.):202117753-202157434	0.6477
NM_006139	chr2(.):204566197-204607557	0.6529
NM_017431	chr2(.):219682105-219701512	0.0802
NM_025216	chr2(.):219740254-219763651	1.2351
NM_006522	chr2(.):219719545-219743954	0.1185
NM_002601	chr2(.):232592146-232650974	0.0769
NR_031717	chr2(.):232751951-232762008	0.0411
NM_014674	chr3(.):5224358-5266650	0.7111
NM_003571	chr3(.):133113789-133199056	0.6559
NM_001135095	chr3(.):171753343-172123492	0.2452
NM_022763	chr3(.):171752417-172123492	0.2456
NM_181361	chr3(.):178249223-178567217	0.1616
NM_001134382	chr3(.):12933718-13119617	0.3852
NM_024923	chr3(.):13352736-13466809	0.374
NM_014869	chr3(.):12933718-13013960	0.0755
NM_144636	chr3(.):14148576-14171371	1.0094
NM_001123396	chr3(.):46390234-46405868	0.6568
NM_001195442	chr3(.):46648924-46673033	0.1152
NM_002213	chr3(.):124476794-124611144	0.5263
NM_001134422	chr3(.):133287433-133314118	0.6882
NM_001134423	chr3(.):133288300-133314118	0.7081
NM_001080412	chr3(.):141038054-141173632	1.7775
NM_001190242	chr3(.):159969773-160106554	0.1007
NM_001190241	chr3(.):159969773-160122320	0.2265
NM_024665	chr3(.):176733541-176920048	0.2697
NM_005832	chr3(.):178271617-178567217	0.1517
NM_130446	chr3(.):183200318-183278499	1.0051
NM_173216	chr3(.):186643314-186801341	0.5432
NM_003032	chr3(.):186734664-186801341	0.6183
NM_005524	chr3(.):193848933-193861396	2.2328
NM_003670	chr3(.):5016096-5031865	1.0743
NM_024334	chr3(.):14161439-14190180	0.8258
NM_001295	chr3(.):46238199-46254832	1.3541
NM_001837	chr3(.):46278871-46313197	0.1285
NM_003212	chr3(.):46614075-46628952	0.0644
NM_001174136	chr3(.):46611044-46628952	0.0645
NM_024512	chr3(.):46551877-46613011	1.1107
NM_031440	chr3(.):46534484-46547439	0.4845
NM_006100	chr3(.):98446571-98518236	0.657
NM_022135	chr3(.):119355907-119384404	0.7841
NM_005694	chr3(.):119383371-119401243	0.3756
NM_015900	chr3(.):119311721-119353658	0.1445
NR_033434	chr3(.):124444212-124473119	0.1533
NR_031687	chr3(.):125504246-125514395	0.0985
NM_020187	chr3(.):128992683-129029135	0.6489
NM_001006109	chr3(.):128992816-129029135	0.6511
NM_006026	chr3(.):129028613-129040120	2.2569
NR_026991	chr3(.):129030113-129048412	0.9848
NM_173084	chr3(.):160148290-160172626	0.2278
NR_029663	chr3(.):160117375-160127473	1.8108
NM_005496	chr3(.):160113346-160157741	0.5613
NM_001002800	chr3(.):160112429-160157741	0.5515
NR_029525	chr3(.):160117532-160127613	1.6582
NR_027622	chr3(.):169656771-169689522	0.8004
NM_182610	chr3(.):169624481-169661948	0.4238
NM_003262	chr3(.):169679579-169721161	0.2675
NM_014373	chr3(.):169750734-169808183	0.461
NR_024480	chr3(.):194013988-194035593	1.5424
NM_001080513	chr3(.):194055493-194077057	0.1245
NM_005781	chr3(.):195585235-195640880	0.6112
NM_001010938	chr3(.):195585235-195627432	0.1985
NM_198565	chr3(.):196361655-196393874	0.5063
NM_014687	chr3(.):197393258-197468773	0.5629
NM_001145642	chr3(.):197393313-197481568	0.5951
NR_027840	chr3(.):197472260-197516317	0.2908
NM_032288	chr3(.):197471623-197516317	0.2877
NR_030627	chr3(.):197396366-197406447	0.0912
NM_001011537	chr3(.):197471423-197516317	0.2868
NM_003215	chr4(.):48132799-48276814	0.246
NM_198281	chr4(.):90160428-90234161	0.8054
NM_006527	chr4(.):1689526-1719030	0.7755
NM_015173	chr4(.):37887719-38145794	0.2568
NM_004310	chr4(.):40193526-40251281	0.7367
NM_002039	chr4(.):144252982-144400718	0.2772
NM_002199	chr4(.):185303875-185400726	0.9171
NM_001013622	chr4(.):1636607-1690718	0.0745
NM_001174070	chr4(.):1636607-1690988	0.0743
NM_001127266	chr4(.):1712678-1728084	1.7331
NM_006342	chr4(.):1718265-1751897	0.2275
NM_031889	chr4(.):71489460-71517536	0.1002
NM_144646	chr4(.):71516257-71537348	0.6215
NM_020368	chr4(.):71549195-71561268	0.3338
NM_014961	chr4(.):71582695-71664274	0.0785
NM_001130709	chr4(.):71565653-71660614	0.112
NM_001131005	chr5(.):88009057-88204922	0.2687
NM_002397	chr5(.):88009057-88184283	0.2646
NM_024669	chr5(.):55390506-55534186	0.2983
NR_015436	chr5(.):87831596-87985620	0.2184
NM_003060	chr5(.):131700400-131736306	0.149
NM_001020825	chr5(.):142652495-142788254	0.2421
NM_001018076	chr5(.):142652495-142789045	0.2408
NM_001018075	chr5(.):142652495-142820077	0.2159
NM_005990	chr5(.):171464073-171620346	0.188
NM_022455	chr5(.):176555832-176732214	0.2095
NM_172349	chr5(.):176555079-176732214	0.209
NM_002406	chr5(.):180212540-180235048	0.4863
NM_001114619	chr5(.):180212540-180235902	0.4798
NM_001114618	chr5(.):180212540-180241817	0.704
NM_001114617	chr5(.):180212540-180242137	0.6992
NM_001193376	chr5(.):1248286-1300162	0.1131
NM_030782	chr5(.):1312999-1350002	4.1763
NM_001145161	chr5(.):6443735-6501834	1.3743
NM_006713	chr5(.):32580604-32609185	1.0227
NR_024384	chr5(.):87955262-87974146	1.273
NR_024383	chr5(.):87955262-87979262	1.0355
NR_030741	chr5(.):87957670-87967757	0.2357
NM_000588	chr5(.):131391346-131403896	0.2371
NM_000758	chr5(.):131404484-131416859	0.2637
NR_037500	chr5(.):131696181-131706291	0.2058
NM_002198	chr5(.):131812300-131831465	0.4515
NM_001013717	chr5(.):131741672-131803059	1.0891
NM_005732	chr5(.):131887615-131985313	0.1562
NM_000879	chr5(.):131872135-131884214	0.0656
NM_016480	chr5(.):138672518-138710409	0.1325
NM_194296	chr5(.):138727455-138744776	0.636
NM_152686	chr5(.):138740891-138780214	0.3893
NM_152685	chr5(.):138697884-138724039	0.2034
NM_001033112	chr5(.):138673133-138710409	0.1341
NM_001161546	chr5(.):138722634-138735885	1.8394
NM_016459	chr5(.):138718256-138730605	2.1027
NM_006058	chr5(.):150404505-150465997	0.2552
NM_001193544	chr5(.):150475266-150526216	0.2791
NM_001171183	chr5(.):171616175-171635458	0.0702
NM_030627	chr5(.):173310330-173392313	0.3709
NM_001031677	chr5(.):176723198-176735744	1.3685
NM_006480	chr5(.):176779843-176804599	0.2825
NM_006816	chr5(.):176753562-176783885	0.3114
NM_031300	chr5(.):176729205-176744292	1.107
NM_001142935	chr5(.):176727500-176744292	1.2977
NM_013237	chr5(.):176725834-176738950	1.3571
NR_027183	chr5(.):180251958-180267726	0.8978
NM_152283	chr5(.):180269610-180293286	0.2746
NR_027908	chr6(.):33548882-33566115	0.3293
NR_028361	chr6(.):33546475-33561803	0.6948
NM_181356	chr6(.):44791469-45350670	0.0914
NM_003599	chr6(.):44792449-45350575	0.0913
NM_012288	chr6(.):52357199-52446862	0.7616
NM_033515	chr6(.):129893239-130036370	0.2977
NM_001195286	chr6(.):386738-416443	0.5974
NR_037616	chr6(.):7876482-8069647	1.0583
NM_001173977	chr6(.):25274655-25625758	0.3581
NM_172166	chr6(.):31702724-31735455	0.7126
NM_004348	chr6(.):45384913-45523819	0.3084
NM_001024630	chr6(.):45291053-45523819	0.2322
NM_016021	chr6(.):90031343-90067619	0.748
NM_006734	chr6(.):143067603-143271338	0.2096
NM_024630	chr6(.):157797556-158099977	0.1822
NM_020185	chr6(.):287100-356355	1.7419
NM_001145549	chr6(.):7876482-7915310	3.5865
NM_030810	chr6(.):7876482-7916047	3.5605
NM_032744	chr6(.):11708887-11784280	0.4058
NM_021065	chr6(.):26194011-26204471	0.9602
NM_003530	chr6(.):26192011-26204464	0.8259
NM_138720	chr6(.):26153348-26176576	0.5377
NM_003523	chr6(.):26179023-26189458	0.3911
NM_003539	chr6(.):26183937-26194304	0.4155
NM_003545	chr6(.):26199872-26210249	0.5952
NM_005321	chr6(.):26151558-26162343	0.7345
NM_003522	chr6(.):26194786-26205216	1.1125
NM_003518	chr6(.):26211427-26221872	0.3604
NM_021052	chr6(.):26212147-26222711	0.3599
NM_003532	chr6(.):26220382-26230844	0.2705
NM_003524	chr6(.):26246878-26257303	0.6569
NM_003547	chr6(.):26241838-26252205	0.6021
NM_003540	chr6(.):26235653-26246021	0.139
NM_021018	chr6(.):26245369-26255835	0.6544
NM_005320	chr6(.):26229439-26240216	0.4688
NM_001145008	chr6(.):26397464-26420444	0.1523
NM_001197240	chr6(.):26378328-26400100	0.2771
NM_001197247	chr6(.):26360397-26383540	0.8199
NM_001197238	chr6(.):26378323-26400100	0.2771
NM_007047	chr6(.):26360397-26383548	0.8201
NM_001197237	chr6(.):26378438-26400100	0.2765
NM_001197248	chr6(.):26360469-26383540	0.8066
NM_001197246	chr6(.):26363405-26383540	0.3217
NM_021066	chr6(.):27777079-27787518	0.4308
NM_003536	chr6(.):27772841-27783314	0.6435
NM_003509	chr6(.):27770976-27781445	0.485
NM_003519	chr6(.):27770256-27780709	0.4786
NM_003521	chr6(.):27777821-27788267	0.421
NM_003520	chr6(.):27801439-27811888	1.0252
NM_003511	chr6(.):27828106-27838576	0.3836
NM_003533	chr6(.):27834622-27845099	0.1998
NM_003510	chr6(.):27800657-27811117	1.0306
NM_003541	chr6(.):27793951-27804305	0.3711
NM_005322	chr6(.):27829569-27840359	0.4067
NM_021968	chr6(.):27786902-27797258	0.3869
NM_003546	chr6(.):27835925-27846289	0.123
NM_004847	chr6(.):31577993-31589798	0.6715
NM_001623	chr6(.):31578032-31589798	0.6737
NM_032955	chr6(.):31578788-31589798	0.717
NM_080702	chr6(.):31601804-31625477	0.439
NM_001098534	chr6(.):31601804-31625170	0.4446
NM_021246	chr6(.):31678132-31690581	0.1347
NM_138275	chr6(.):31686160-31697851	0.5063
NR_033488	chr6(.):31649725-31675850	0.2783
NM_001320	chr6(.):31628656-31642843	0.5764
NM_013974	chr6(.):31689816-31703039	0.7057
NM_025262	chr6(.):31639460-31653150	0.1193
NM_001288	chr6(.):31693357-31709341	1.8393
NM_019101	chr6(.):31618670-31630987	0.9289
NM_021184	chr6(.):31621074-31633549	0.6065
NM_001003693	chr6(.):31669683-31683372	0.5152
NM_021221	chr6(.):31633727-31645227	0.1687
NM_021160	chr6(.):31649725-31676137	0.2767
NR_002971	chr6(.):31585855-31595987	0.6953
NR_024541	chr6(.):31674752-31686842	0.1382
NM_080686	chr6(.):31583449-31610554	0.2937
NM_025261	chr6(.):31681424-31694510	0.1203
NM_033177	chr6(.):31624005-31638179	0.6617
NM_001199240	chr6(.):31624005-31638407	0.652
NM_001199238	chr6(.):31624005-31638639	0.6433
NM_001199237	chr6(.):31624005-31639060	0.6281
NM_001039651	chr6(.):31725772-31737624	0.0879
NM_025258	chr6(.):31728370-31750108	0.378
NM_001188	chr6(.):33535322-33553070	0.9475
NM_002224	chr6(.):33584155-33669348	0.1652
NR_037152	chr6(.):36639236-36660116	1.0154
NM_078467	chr6(.):36639266-36660116	1.0169
NR_037150	chr6(.):36639313-36660116	1.0192
NM_000389	chr6(.):36641455-36660116	1.1193
NR_037151	chr6(.):36641486-36660116	1.1209
NM_020939	chr6(.):36703554-36812220	0.2533
NM_002648	chr6(.):37132921-37148204	0.7739
NM_000322	chr6(.):42659332-42695358	0.1093
NM_003192	chr6(.):42707233-42718884	0.5463
NR_037141	chr6(.):42690313-42700932	0.1589
NM_015349	chr6(.):42783793-42841296	0.0701
NM_002043	chr6(.):89962238-90029967	0.2638
NM_182907	chr6(.):106541814-106562811	1.9457
NM_001198	chr6(.):106529194-106562814	1.8891
NM_001145207	chr6(.):135351994-135381036	0.1893
NM_006620	chr6(.):135276516-135381036	0.2998
NR_037435	chr6(.):135295475-135305570	0.077
NR_037463	chr6(.):157945163-157955232	0.07
NM_030796	chr7(.):55533305-55645200	1.0671
NM_012301	chr7(.):77641373-79087890	0.0817
NM_001913	chr7(.):101454291-101932250	0.1314
NM_181500	chr7(.):101454302-101932250	0.1314
NM_001145354	chr7(.):130789854-131186398	0.2035
NM_001164458	chr7(.):149939300-150025758	0.2402
NM_182762	chr7(.):20169278-20262013	0.3583
NM_002541	chr7(.):44641120-44753669	0.3957
NM_001003941	chr7(.):44641120-44721195	0.5282
NM_017621	chr7(.):102091666-102110321	0.5013
NM_001098627	chr7(.):128575771-128595088	0.8992
NM_001098630	chr7(.):128572993-128595088	0.9404
NM_032643	chr7(.):128573270-128595088	0.9119
NR_015431	chr7(.):130623918-130798562	0.2707
NR_024153	chr7(.):130623918-130796789	0.2712
NM_014149	chr7(.):134863589-134901316	0.1802
NM_173680	chr7(.):150071405-150100719	1.5188
NR_029597	chr7(.):25984538-25994606	1.9073
NM_019082	chr7(.):44600402-44619137	0.2107
NM_182547	chr7(.):44613761-44626827	0.5292
NM_001163636	chr7(.):74067029-74180022	0.197
NM_020979	chr7(.):101923404-101967178	1.0341
NR_036245	chr7(.):101931368-101941453	0.7921
NM_032831	chr7(.):102068995-102102268	1.4184
NM_024653	chr7(.):102031803-102072129	1.0198
NM_006234	chr7(.):102108547-102124381	0.2611
NM_152892	chr7(.):102100389-102118612	0.3259
NR_027374	chr7(.):104530074-104572092	0.3382
NM_001166346	chr7(.):114557208-114568720	1.1612
NM_199072	chr7(.):114557208-114664970	0.4657
NM_001024613	chr7(.):121936447-121949565	0.5568
NR_036484	chr7(.):121938711-121955131	1.0081
NM_199349	chr7(.):128525000-128555773	0.1718
NM_018295	chr7(.):134827765-134855967	0.7671
NR_024185	chr7(.):134845531-134860532	1.0682
NM_013400	chr7(.):150060878-150076133	3.2736
NM_014374	chr7(.):150063257-150076133	3.7912
NM_001142928	chr7(.):150015295-150040245	0.5557
NM_002889	chr7(.):150030406-150043763	0.1262
NM_138434	chr7(.):150021937-150034811	0.1041
NR_027237	chr7(.):150097839-150114558	1.9613
NM_175571	chr7(.):150142961-150181483	0.1077
NR_034033	chr7(.):150125741-150150228	0.7527
NM_004103	chr8(.):27163998-27321903	0.3881
NM_173176	chr8(.):27178053-27321903	0.3878
NM_173175	chr8(.):27178080-27321903	0.3879
NM_001024678	chr8(.):145742760-145757416	0.5386
NM_001001795	chr8(.):145746602-145759458	0.4279
NM_001386	chr8(.):26430420-26520693	0.2898
NM_001197293	chr8(.):26366708-26520693	0.2532
NM_023034	chr8(.):38127560-38244790	0.296
NM_022783	chr8(.):120880899-121068157	0.3566
NM_173685	chr8(.):126099082-126384367	0.297
NM_003033	chr8(.):134462090-134589183	0.4118
NM_003970	chr8(.):1988157-2098380	1.4075
NM_171982	chr8(.):27137403-27173834	0.1974
NM_144652	chr8(.):38239019-38271061	0.6166
NM_017778	chr8(.):38168934-38244790	0.4134
NM_025195	chr8(.):126437562-126455644	0.9557
NM_014957	chr8(.):142133719-142210900	0.2141
NM_201378	chr8(.):144984320-145052697	0.4754
NM_032789	chr8(.):145046319-145065635	0.4994
NM_000445	chr8(.):144984320-145055913	0.4735
NM_201381	chr8(.):144984320-145023905	0.5823
NM_201382	chr8(.):144984320-145023110	0.5848
NM_201383	chr8(.):144984320-145021692	0.5907
NM_201379	chr8(.):144984320-145033088	0.5513
NM_001009184	chr8(.):145059225-145072583	0.3285
NM_201384	chr8(.):144984320-145018758	0.6341
NR_030383	chr8(.):145014358-145024447	0.8791
NM_201380	chr8(.):144984320-145030044	0.5833
NM_001129888	chr8(.):145684199-145696031	0.2877
NM_032687	chr8(.):145684199-145695849	0.2915
NM_003923	chr8(.):145694114-145706718	0.2914
NM_032902	chr8(.):145717108-145732504	0.0587
NM_138496	chr8(.):145670314-145695418	0.1882
NM_005309	chr8(.):145724464-145737555	0.7358
NM_145754	chr8(.):145686737-145704499	0.3657
NM_138431	chr8(.):145729551-145741589	0.7965
NM_004260	chr8(.):145731666-145748210	0.9279
NM_014665	chr8(.):145738362-145755559	0.503
NM_025251	chr8(.):145749562-145843888	0.0641
NM_001206	chr9(.):72994512-73034573	0.2842
NM_053016	chr9(.):112537576-112718756	0.2074
NM_001037293	chr9(.):112398067-112718756	0.1474
NM_007203	chr9(.):112537576-112939791	0.2164
NM_018249	chr9(.):123146146-123347437	0.1603
NM_015033	chr9(.):132644465-132810473	0.3169
NM_005384	chr9(.):94166326-94191144	0.7117
NM_173200	chr9(.):102584008-102634173	0.2165
NM_006981	chr9(.):102579136-102634173	0.4282
NM_173199	chr9(.):102579136-102601341	0.8476
NM_173689	chr9(.):126113447-126146032	0.1121
NM_001045476	chr9(.):127610754-127625160	0.6323
NM_030978	chr9(.):127626483-127644696	0.5657
NM_007209	chr9(.):127615157-127629240	0.6345
NM_001035254	chr9(.):130697860-130747812	0.4937
NM_003863	chr9(.):130692373-130705763	0.2615
NM_203305	chr9(.):130697860-130717993	0.2156
NM_001135219	chr9(.):130678807-130698076	0.5266
NM_173492	chr9(.):130678807-130694770	0.6202
NM_016520	chr9(.):132584563-132602572	0.3276
NM_006676	chr9(.):132592695-132649107	0.3097
NM_001008563	chr9(.):132592756-132649107	0.31
NM_032728	chr9(.):134160080-134189649	0.109
NM_033387	chr9(.):134128464-134156906	0.6157
NM_015691	chrX(.):9978794-10117518	0.2138
NM_001123384	chrX(.):39905498-40041582	0.3059
NM_144495	chrX(.):48750194-48765420	0.2779
NM_001167990	chrX(.):48750212-48765420	0.2782
NM_001032384	chrX(.):48750538-48765420	0.2832
NM_001167992	chrX(.):48750774-48765420	0.2878
NM_005334	chrX(.):153208007-153241819	0.6431
NM_001830	chrX(.):10119984-10210699	0.0449
NM_017745	chrX(.):39905498-39961719	0.2022
NM_001167947	chrX(.):48745729-48760426	0.3451
NM_001042498	chrX(.):48755888-48774235	0.2714
NM_001136158	chrX(.):48774302-48819893	0.7376
NM_001136159	chrX(.):48774302-48820648	0.7257
NM_006875	chrX(.):48765458-48781413	0.6115
NM_004979	chrX(.):48813638-48833251	0.2235
NM_005660	chrX(.):48755458-48773917	0.2768
