REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
2_MACS_peak_3354_lociStitched	chr1	228744052	228783700	2	39475	55352.5728	17	1	DUSP5P		DUSP5P	DUSP5P	0.6926	17	1
12_MACS_peak_32125_lociStitched	chr7	132170183	132222247	12	38036	52225.3984	18	1	PLXNA4		PLXNA4	PLXNA4	0.2568	18	1
4_MACS_peak_18454_lociStitched	chr2	20386769	20426585	4	37526	148720.7232	19	1	SDC1		SDC1	SDC1	4.104	19	1
7_MACS_peak_15263_lociStitched	chr17	76709915	76755679	7	37289	56843.4644	20	1	CYTH1		CYTH1	CYTH1	0.7035	20	1
16_MACS_peak_26966_lociStitched	chr5	24247865	24295982	16	37000	42463.2525	21	1			CDH10	CDH10	NONE	21	1
10_MACS_peak_10409_lociStitched	chr14	106143772	106188886	10	36710	80939.0274	22	1			TMEM121	TMEM121	0.203	22	1
4_MACS_peak_6623_lociStitched	chr11	115041532	115082212	4	36283	43824.564	23	1	CADM1		CADM1	CADM1	0.1945	23	1
2_MACS_peak_6015_lociStitched	chr11	65182823	65217324	2	34436	98700.4608	24	1	NEAT1,MIR612	FRMD8,MALAT1,SLC25A45	NEAT1	NEAT1	3.8338	24	1
9_MACS_peak_21405_lociStitched	chr20	37486906	37524260	9	34352	76161.0706	25	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.1898	25	1
6_MACS_peak_14893_lociStitched	chr17	62150990	62187059	6	33809	56996.2338	26	1	ERN1	SNORD104,SNORA76	ERN1	SNORA76	1.2625	26	1
10_MACS_peak_8384_lociStitched	chr12	123344670	123387093	10	33602	52625.7315	27	1	HIP1R,VPS37B		VPS37B	VPS37B	1.228	27	1
9_MACS_peak_29527_lociStitched	chr6	52376569	52423340	9	33345	49577.26	28	1	TRAM2		TRAM2	TRAM2	0.9323	28	1
7_MACS_peak_22567_lociStitched	chr22	23255724	23298741	7	32981	93695.3277	29	1		IGLL5	IGLL5	IGLL5	1.8048	29	1
9_MACS_peak_4308_lociStitched	chr10	74051530	74100286	9	32960	84021.2148	30	1	DNAJB12	DDIT4	DNAJB12	DDIT4	1.611	30	1
7_MACS_peak_2211_lociStitched	chr1	154373519	154418832	7	32692	115117.6765	31	1	IL6R		IL6R	IL6R	1.6672	31	1
1_MACS_peak_2338_lociStitched	chr1	156448793	156479679	1	30887	128970.6702	32	1	MEF2D	C1orf61	MEF2D	MEF2D	2.6248	32	1
4_MACS_peak_31276_lociStitched	chr7	55571658	55605839	4	30724	67278.4623	33	1	VOPP1		VOPP1	VOPP1	1.0508	33	1
8_MACS_peak_22902_lociStitched	chr22	37610001	37647002	8	29945	53547.8472	34	1	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.384	34	1
5_MACS_peak_24807_lociStitched	chr3	141079388	141113771	5	29685	58822.4364	35	1	ZBTB38		ZBTB38	ZBTB38	0.8304	35	1
7_MACS_peak_31777_lociStitched	chr7	101915326	101955601	7	29675	71415.63	36	1	CUX1,SH2B2,MIR4285	SPDYE6	MIR4285	MIR4285	2.0677	36	1
6_MACS_peak_2059_lociStitched	chr1	149800634	149834995	6	28717	66502.2794	37	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AA4	2.0187	37	1
7_MACS_peak_35103_lociStitched	chr9	130813119	130847391	7	28665	61549.0848	38	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	1.1304	38	1
7_MACS_peak_23837_lociStitched	chr3	45582219	45617877	7	28460	54670.8456	39	1	LARS2	LIMD1	LIMD1	LIMD1	0.764	39	1
6_MACS_peak_33656_lociStitched	chr8	126292349	126322548	6	28078	36528.7104	40	1	NSMCE2		TRIB1	TRIB1	1.5616	40	1
6_MACS_peak_22561_lociStitched	chr22	23219781	23250702	6	27941	55339.3137	41	1	IGLL5		IGLL5	IGLL5	1.8048	41	1
3_MACS_peak_18693_lociStitched	chr2	37524661	37553989	3	27786	61336.5792	42	1	PRKD3	QPCT	PRKD3	QPCT	3.1079	42	1
5_MACS_peak_12112_lociStitched	chr16	9029606	9058543	5	27588	45879.6135	43	1	USP7		USP7	USP7	0.6655	43	1
4_MACS_peak_23844_lociStitched	chr3	45633873	45661617	4	27154	45877.4784	44	1	LIMD1		LIMD1	LIMD1	0.764	44	1
6_MACS_peak_35093_lociStitched	chr9	130716309	130748849	6	27134	61028.77	45	1	FAM102A	ST6GALNAC4,PIP5KL1,DPM2,FAM102A	FAM102A	FAM102A	1.4305	45	1
5_MACS_peak_11232_lociStitched	chr15	70768948	70805993	5	27038	70237.32	46	1			UACA	UACA	NONE	46	1
8_MACS_peak_25086_lociStitched	chr3	171844605	171878544	8	26876	34811.2323	47	1	FNDC3B		FNDC3B	FNDC3B	0.4707	47	1
3_MACS_peak_29852_lociStitched	chr6	106532010	106559189	3	26862	31584.7159	48	1	PRDM1		PRDM1	PRDM1	0.9675	48	1
6_MACS_peak_11813_lociStitched	chr15	101456695	101489921	6	26850	76060.9592	49	1	ALDH1A3,LRRK1		LRRK1	LRRK1	0.6008	49	1
7_MACS_peak_4449_lociStitched	chr10	80999083	81028550	7	26538	59160.8959	50	1	ZMIZ1		PPIF	PPIF	NONE	50	1
8_MACS_peak_25187_lociStitched	chr3	183224388	183260290	8	26437	57590.3982	51	1	KLHL6		KLHL6	KLHL6	1.1147	51	1
10_MACS_peak_8036_lociStitched	chr12	109006646	109036250	10	26332	58681.0488	52	1	SELPLG	TMEM119	SELPLG	SELPLG	2.3716	52	1
5_MACS_peak_12217_lociStitched	chr16	12043202	12073865	5	25943	52838.4816	53	1	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	2.6201	53	1
8_MACS_peak_19359_lociStitched	chr2	88899036	88928601	8	25731	32663.412	54	1	EIF2AK3		EIF2AK3	EIF2AK3	0.4716	54	1
12_MACS_peak_13206_lociStitched	chr16	81741527	81786656	12	25604	38517.6015	55	1	CMIP	PLCG2	PLCG2	PLCG2	0.4201	55	1
8_MACS_peak_8133_lociStitched	chr12	111862081	111889936	8	25592	39158.559	56	1	SH2B3		SH2B3	SH2B3	1.0501	56	1
1_MACS_peak_6023_lociStitched	chr11	65253713	65279171	1	25459	76715.1372	57	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.8897	57	1
3_MACS_peak_25325_lociStitched	chr3	192593399	192619120	3	25274	60040.5303	58	1	C3orf59		C3orf59	C3orf59	0.7666	58	1
5_MACS_peak_23869_lociStitched	chr3	46317470	46345444	5	25269	38067.0192	59	1		CCR3,CCR2	CCR3	CCR2	2.0596	59	1
8_MACS_peak_16132_lociStitched	chr19	1237203	1277502	8	25253	65151.3933	60	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf26,C19orf23	STK11,EFNA2	MIDN	MIDN	1.4015	60	1
11_MACS_peak_19265_lociStitched	chr2	86108062	86152419	11	25247	43319.0462	61	1	ST3GAL5	ST3GAL5	ST3GAL5	ST3GAL5	0.9873	61	1
10_MACS_peak_35083_lociStitched	chr9	130667286	130707014	10	24585	44682.0816	62	1	ST6GALNAC4,PIP5KL1,DPM2,FAM102A	AK1,ST6GALNAC6	PIP5KL1	PIP5KL1	1.3003	62	1
5_MACS_peak_2460_lociStitched	chr1	161409224	161442579	5	24490	53231.2445	63	1		FCGR2A	FCGR2A	FCGR2A	0.1493	63	1
7_MACS_peak_35017_lociStitched	chr9	127609787	127643889	7	24317	63968.5316	64	1	WDR38,ARPC5L,RPL35,GOLGA1		RPL35	RPL35	1.0583	64	1
11_MACS_peak_28133_lociStitched	chr5	150502776	150538126	11	24267	40150.53	65	1	ANXA6	TNIP1	ANXA6	ANXA6	0.6712	65	1
6_MACS_peak_14639_lociStitched	chr17	47814307	47842569	6	24238	51889.032	66	1	FAM117A	MYST2,SLC35B1	FAM117A	FAM117A	0.9741	66	1
5_MACS_peak_25081_lociStitched	chr3	171803136	171828962	5	23726	51954.1642	67	1	FNDC3B		FNDC3B	FNDC3B	0.4707	67	1
5_MACS_peak_19370_lociStitched	chr2	89130630	89161462	5	23513	29376.7296	68	1			ANKRD36BP2	ANKRD36BP2	NONE	68	1
10_MACS_peak_16331_lociStitched	chr19	4367843	4407599	10	23455	47941.7604	69	1	CHAF1A,SH3GL1	MPND,STAP2,UBXN6	SH3GL1	SH3GL1	0.9756	69	1
4_MACS_peak_30888_lociStitched	chr7	25979977	26011252	4	23416	82118.7675	70	1	MIR148A		MIR148A	MIR148A	4.3494	70	1
5_MACS_peak_26137_lociStitched	chr4	90203768	90229579	5	23414	21990.972	71	1	GPRIN3		GPRIN3	GPRIN3	0.3355	71	1
7_MACS_peak_14091_lociStitched	chr17	32688721	32719456	7	23404	37656.522	72	1	CCL1	CCL8,CCL13	CCL1	CCL1	0.4139	72	1
8_MACS_peak_4909_lociStitched	chr10	112599965	112636424	8	23334	56617.1811	73	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.4592	73	1
8_MACS_peak_28124_lociStitched	chr5	150437387	150467423	8	23169	37301.7084	74	1	TNIP1	GPX3	TNIP1	TNIP1	0.6387	74	1
5_MACS_peak_10722_lociStitched	chr15	42064386	42093242	5	23145	36788.5144	75	1	MAPKBP1	JMJD7-PLA2G4B,PLA2G4B	MAPKBP1	MAPKBP1	0.7319	75	1
1_MACS_peak_2099_lociStitched	chr1	150531157	150554149	1	22993	88057.0608	76	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	2.1876	76	1
8_MACS_peak_31280_lociStitched	chr7	55611482	55642002	8	22943	40146.008	77	1	VOPP1		VOPP1	VOPP1	1.0508	77	1
7_MACS_peak_10641_lociStitched	chr15	40380263	40409363	7	22699	49138.26	78	1	BMF	BUB1B,SRP14	BMF	BMF	1.4463	78	1
4_MACS_peak_9272_lociStitched	chr14	23017118	23040543	4	22645	47676.9025	79	1	DAD1	ABHD4	DAD1	DAD1	0.7997	79	1
9_MACS_peak_3018_lociStitched	chr1	206852592	206894090	9	22385	36223.6042	80	1	MAPKAPK2	DYRK3	MAPKAPK2	MAPKAPK2	0.6609	80	1
4_MACS_peak_31793_lociStitched	chr7	102063382	102088703	4	22359	50930.6594	81	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.0631	81	1
2_MACS_peak_14773_lociStitched	chr17	56404300	56430719	2	22354	95536.3878	82	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.4566	82	1
4_MACS_peak_21707_lociStitched	chr20	52188756	52211972	4	22299	45326.9184	83	1	ZNF217		ZNF217	ZNF217	1.148	83	1
4_MACS_peak_14267_lociStitched	chr17	37909266	37935795	4	22273	59645.1507	84	1	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.4069	84	1
6_MACS_peak_11174_lociStitched	chr15	68476398	68504120	6	22255	41303.0078	85	1	PIAS1,CALML4,CLN6		CALML4	CALML4	1.5756	85	1
7_MACS_peak_9993_lociStitched	chr14	81929840	81955732	7	22138	38258.0192	86	1	SEL1L		SEL1L	SEL1L	0.668	86	1
4_MACS_peak_34892_lociStitched	chr9	117243194	117270552	4	22076	62288.6944	87	1	DFNB31		DFNB31	DFNB31	0.8105	87	1
7_MACS_peak_10806_lociStitched	chr15	45001743	45030091	7	22006	51239.01	88	1	B2M,TRIM69	SPG11,PATL2	B2M	B2M	1.3406	88	1
7_MACS_peak_23232_lociStitched	chr22	45093439	45118644	7	21985	34039.3525	89	1	PRR5,PRR5-ARHGAP8	ARHGAP8	PRR5-ARHGAP8	PRR5-ARHGAP8	0.2378	89	1
11_MACS_peak_22219_lociStitched	chr21	44758499	44790017	11	21956	60457.8276	90	1			SIK1	SIK1	1.0404	90	1
3_MACS_peak_13316_lociStitched	chr16	87883187	87906062	3	21943	50265.525	91	1	SLC7A5		SLC7A5	SLC7A5	1.1273	91	1
5_MACS_peak_15056_lociStitched	chr17	72732497	72758193	5	21872	44754.7232	92	1	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.275	92	1
6_MACS_peak_11088_lociStitched	chr15	65164222	65191013	6	21740	64226.0643	93	1		PLEKHO2,ANKDD1A,PIF1	ANKDD1A	PLEKHO2	0.8181	93	1
6_MACS_peak_22232_lociStitched	chr21	44843864	44877128	6	21580	54047.3472	94	1	C21orf125,SIK1	C21orf84	C21orf125	C21orf125	0.9245	94	1
2_MACS_peak_34805_lociStitched	chr9	112903921	112925286	2	21299	47374.751	95	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.6264	95	1
5_MACS_peak_22550_lociStitched	chr22	23141909	23165950	5	21221	41720.7514	96	1	MIR650		MIR650	MIR650	1.5613	96	1
6_MACS_peak_26869_lociStitched	chr5	6475501	6498309	6	21078	42587.0976	97	1	UBE2QL1		UBE2QL1	UBE2QL1	1.3535	97	1
4_MACS_peak_34000_lociStitched	chr9	700319	725879	4	20887	44783.676	98	1	KANK1		KANK1	KANK1	0.3889	98	1
4_MACS_peak_3752_lociStitched	chr10	7510768	7535641	4	20884	35399.2536	99	1			SFMBT2	SFMBT2	NONE	99	1
5_MACS_peak_24666_lociStitched	chr3	129019128	129048744	5	20853	44643.1584	100	1	C3orf37,C3orf47,H1FX		C3orf47	C3orf47	1.6625	100	1
6_MACS_peak_17792_lociStitched	chr19	48878723	48904466	6	20775	35352.8619	101	1	SYNGR4,GRIN2D,KDELR1	GRWD1,TMEM143	KDELR1	KDELR1	1.3652	101	1
7_MACS_peak_10633_lociStitched	chr15	40329988	40367804	7	20574	51429.76	102	1	SRP14	BMF	SRP14	BMF	1.4463	102	1
3_MACS_peak_21591_lociStitched	chr20	45963617	45990421	3	20573	46464.734	103	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.5376	103	1
5_MACS_peak_21725_lociStitched	chr20	52530703	52559907	5	20542	42299.0736	104	1		SUMO1P1	SUMO1P1	SUMO1P1	0.3639	104	1
5_MACS_peak_8488_lociStitched	chr12	129288276	129315942	5	20533	28711.7748	105	1	SLC15A4	GLT1D1	SLC15A4	SLC15A4	0.6892	105	1
5_MACS_peak_7337_lociStitched	chr12	48191674	48215019	5	20528	55386.0125	106	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.2677	106	1
3_MACS_peak_28557_lociStitched	chr6	388069	411357	3	20438	42596.0808	107	1	IRF4		IRF4	IRF4	1.473	107	1
9_MACS_peak_16721_lociStitched	chr19	12885319	12918338	9	20401	60543.6384	108	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	JUNB	2.9043	108	1
6_MACS_peak_2900_lociStitched	chr1	203254852	203281373	6	20388	49281.3222	109	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	1.8689	109	1
7_MACS_peak_23059_lociStitched	chr22	39823427	39848895	7	20339	35084.7168	110	1	TAB1	MGAT3,SMCR7L	MGAT3	SMCR7L	0.7915	110	1
6_MACS_peak_6017_lociStitched	chr11	65221869	65247664	6	20303	43438.78	111	1		NEAT1,MIR612,MALAT1,SCYL1	MIR612	NEAT1	3.8338	111	1
7_MACS_peak_16889_lociStitched	chr19	16244294	16272490	7	20186	24778.6448	112	1	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	0.7471	112	1
6_MACS_peak_22266_lociStitched	chr21	45552069	45580959	6	20074	37767.897	113	1	C21orf33	PWP2	C21orf33	C21orf33	1.1279	113	1
8_MACS_peak_5389_lociStitched	chr11	10314768	10344834	8	20035	43126.6704	114	1	ADM,SBF2		ADM	ADM	2.2414	114	1
6_MACS_peak_17050_lociStitched	chr19	19042064	19065042	6	20028	56197.2946	115	1	HOMER3	DDX49,GDF1,COPE	HOMER3	HOMER3	1.2849	115	1
4_MACS_peak_28911_lociStitched	chr6	27093788	27116100	4	20024	30277.384	116	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.0255	116	1
4_MACS_peak_33766_lociStitched	chr8	134068620	134089957	4	19914	25113.649	117	1	TG,SLA		SLA	SLA	0.5762	117	1
5_MACS_peak_15162_lociStitched	chr17	74475302	74503100	5	19884	47765.3034	118	1	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	1.2578	118	1
7_MACS_peak_25267_lociStitched	chr3	186775351	186797648	7	19735	31349.582	119	1	ST6GAL1		ST6GAL1	ST6GAL1	1.1098	119	1
1_MACS_peak_20390_lociStitched	chr2	201978795	201998510	1	19716	53323.1605	120	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.042	120	1
8_MACS_peak_543_lociStitched	chr1	24503132	24535055	8	19687	37263.7179	121	1	LOC284632,IL28RA	IL22RA1	IL28RA	IL28RA	0.7509	121	1
5_MACS_peak_9863_lociStitched	chr14	74219526	74244376	5	19615	31681.265	122	1	C14orf43	PNMA1	C14orf43	C14orf43	0.6959	122	1
5_MACS_peak_2443_lociStitched	chr1	161134806	161163453	5	19488	39615.9363	123	1	USP21,PPOX,B4GALT3,ADAMTS4	NIT1,UFC1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	1.5231	123	1
5_MACS_peak_15194_lociStitched	chr17	75131027	75151833	5	19412	35497.1166	124	1	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.541	124	1
2_MACS_peak_27150_lociStitched	chr5	53812499	53832082	2	19370	42422.6529	125	1	SNX18		SNX18	SNX18	1.2198	125	1
8_MACS_peak_6029_lociStitched	chr11	65332397	65363264	8	19337	48600.0915	126	1	SSSCA1,FAM89B,EHBP1L1,KCNK7	SCYL1,PCNXL3,SIPA1,LTBP3,MAP3K11	EHBP1L1	EHBP1L1	1.6183	126	1
5_MACS_peak_4877_lociStitched	chr10	112165650	112186328	5	19304	37065.315	127	1			DUSP5	DUSP5	0.9096	127	1
3_MACS_peak_14289_lociStitched	chr17	38251202	38270620	3	19268	39783.5984	128	1	NR1D1	THRA,MSL1,CASC3,MED24	NR1D1	NR1D1	1.4405	128	1
3_MACS_peak_14599_lociStitched	chr17	46123603	46142888	3	19231	53120.5325	129	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	NFE2L1	2.3277	129	1
6_MACS_peak_32898_lociStitched	chr8	37736078	37762471	6	19063	26952.5316	130	1	RAB11FIP1	BRF2,GOT1L1	RAB11FIP1	RAB11FIP1	0.7098	130	1
4_MACS_peak_18734_lociStitched	chr2	38814808	38839277	4	18949	40376.2969	131	1	HNRPLL		HNRPLL	HNRPLL	0.8645	131	1
8_MACS_peak_5040_lociStitched	chr10	125824466	125854991	8	18935	33586.6575	132	1	CHST15		CHST15	CHST15	0.4757	132	1
4_MACS_peak_28157_lociStitched	chr5	151119735	151139017	4	18745	33822.5562	133	1	ATOX1	G3BP1	ATOX1	ATOX1	1.3433	133	1
6_MACS_peak_12821_lociStitched	chr16	56964437	56985444	6	18741	25607.533	134	1	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.1132	134	1
6_MACS_peak_6567_lociStitched	chr11	111229676	111251197	6	18733	23763.4882	135	1	POU2AF1		POU2AF1	POU2AF1	0.6903	135	1
2_MACS_peak_10323_lociStitched	chr14	103796951	103815697	2	18712	30284.163	136	1	EIF5,SNORA28	MARK3	SNORA28	SNORA28	1.8978	136	1
2_MACS_peak_33781_lociStitched	chr8	134290300	134311030	2	18625	31559.352	137	1	NDRG1		NDRG1	NDRG1	0.6877	137	1
9_MACS_peak_20307_lociStitched	chr2	197023272	197048989	9	18601	27154.5803	138	1	STK17B		STK17B	STK17B	0.4197	138	1
1_MACS_peak_6216_lociStitched	chr11	69452901	69471410	1	18510	32625.8143	139	1	CCND1	ORAOV1,FGF19	CCND1	CCND1	1.427	139	1
10_MACS_peak_11321_lociStitched	chr15	75063533	75085968	10	18484	41217.582	140	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.3372	140	1
3_MACS_peak_25831_lociStitched	chr4	40193673	40212331	3	18444	40394.57	141	1	RHOH		RHOH	RHOH	0.8393	141	1
7_MACS_peak_9946_lociStitched	chr14	77487578	77510213	7	18442	36184.311	142	1	C14orf4		C14orf4	C14orf4	1.5804	142	1
5_MACS_peak_35074_lociStitched	chr9	130529014	130551217	5	18440	60505.3953	143	1	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	FPGS	0.545	143	1
6_MACS_peak_17538_lociStitched	chr19	42612802	42639831	6	18356	36040.4686	144	1	POU2F2,MIR4323	ZNF574,GRIK5	POU2F2	POU2F2	0.7218	144	1
5_MACS_peak_10095_lociStitched	chr14	91781672	91803269	5	18205	27153.9081	145	1	CCDC88C		GPR68	GPR68	0.4438	145	1
3_MACS_peak_18408_lociStitched	chr2	11882821	11904902	3	18202	52773.59	146	1	LPIN1		LPIN1	LPIN1	0.6868	146	1
4_MACS_peak_17409_lociStitched	chr19	39880597	39904446	4	18196	54020.3699	147	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.31	147	1
2_MACS_peak_14899_lociStitched	chr17	62192694	62210978	2	18158	36992.1888	148	1	ERN1	SNORD104,SNORA76	ERN1	SNORA76	1.2625	148	1
9_MACS_peak_32615_lociStitched	chr8	11271062	11303240	9	18116	27566.8926	149	1	C8orf12,FAM167A	BLK	FAM167A	FAM167A	1.0874	149	1
6_MACS_peak_31158_lociStitched	chr7	44656599	44680573	6	18113	28895.8622	150	1	OGDH	DDX56,TMED4	OGDH	TMED4	0.8754	150	1
7_MACS_peak_14501_lociStitched	chr17	43502285	43531790	7	18080	29106.6825	151	1	ARHGAP27,SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.9183	151	1
7_MACS_peak_14144_lociStitched	chr17	34408522	34432846	7	18004	29991.492	152	1	CCL4,CCL3	CCL18	CCL3	CCL3	1.7777	152	1
7_MACS_peak_8449_lociStitched	chr12	125389000	125413106	7	17989	38627.4544	153	1	UBC	SCARB1	UBC	UBC	1.7932	153	1
4_MACS_peak_15139_lociStitched	chr17	74167712	74190618	4	17946	28052.9782	154	1	RNF157	FOXJ1	FOXJ1	FOXJ1	0.2211	154	1
2_MACS_peak_27798_lociStitched	chr5	131745136	131766303	2	17939	49943.5365	155	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.173	155	1
10_MACS_peak_21459_lociStitched	chr20	42336740	42365593	10	17905	23414.2095	156	1	MYBL2,GTSF1L		GTSF1L	GTSF1L	0.5654	156	1
8_MACS_peak_27831_lociStitched	chr5	132575605	132603564	8	17846	27276.8004	157	1	FSTL4		MIR1289-2	MIR1289-2	NONE	157	1
4_MACS_peak_32184_lociStitched	chr7	137663244	137688092	4	17819	45402.2656	158	1	CREB3L2		CREB3L2	CREB3L2	0.4871	158	1
7_MACS_peak_6826_lociStitched	chr11	128585767	128609711	7	17630	20079.4384	159	1	FLI1		FLI1	FLI1	0.3022	159	1
8_MACS_peak_12987_lociStitched	chr16	68270473	68300095	8	17621	32960.3994	160	1	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	PLA2G15	PLA2G15	1.1244	160	1
10_MACS_peak_13771_lociStitched	chr17	17379857	17404849	10	17496	20203.5328	161	1	MED9,RASD1		RASD1	RASD1	0.8791	161	1
18_MACS_peak_26399_lociStitched	chr4	132645561	132685808	18	17422	19648.5854	162	1				NONE	NONE	162	1
5_MACS_peak_14659_lociStitched	chr17	48224675	48249956	5	17330	39931.3395	163	1	SGCA,PPP1R9B,HILS1	SAMD14,COL1A1	SGCA	SGCA	0.769	163	1
2_MACS_peak_13220_lociStitched	chr16	81840206	81858882	2	17320	35531.09	164	1	PLCG2		PLCG2	PLCG2	0.4201	164	1
3_MACS_peak_20447_lociStitched	chr2	204568683	204586600	3	17231	22215.2883	165	1	CD28		CD28	CD28	0.6256	165	1
5_MACS_peak_19260_lociStitched	chr2	86075355	86093890	5	17208	26729.3235	166	1	ST3GAL5		ST3GAL5	ST3GAL5	0.9873	166	1
7_MACS_peak_22062_lociStitched	chr21	36578145	36608065	7	17195	30174.32	167	1			RUNX1	RUNX1	0.3151	167	1
6_MACS_peak_12369_lociStitched	chr16	21512029	21532328	6	17154	31510.1377	168	1	LOC100271836,SLC7A5P2		LOC100271836	LOC100271836	0.2439	168	1
4_MACS_peak_24210_lociStitched	chr3	69128192	69145732	4	17026	26967.75	169	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	0.887	169	1
