REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam
8_MACS_peak_17066_lociStitched	chr19	19264556	19286651	8	15168	23049.503999999997
6_MACS_peak_21600_lociStitched	chr20	46115155	46137250	6	12775	20687.5485
3_MACS_peak_18408_lociStitched	chr2	11882821	11904902	3	18202	52773.590000000004
4_MACS_peak_12559_lociStitched	chr16	29815339	29837404	4	16087	37713.498
7_MACS_peak_15788_lociStitched	chr18	43622829	43644794	7	10889	12524.443000000001
5_MACS_peak_12608_lociStitched	chr16	30562407	30584356	5	11566	23134.246000000003
5_MACS_peak_27445_lociStitched	chr5	87954708	87976555	5	13486	28510.335
5_MACS_peak_15719_lociStitched	chr18	35009551	35031324	5	10871	18271.901599999997
9_MACS_peak_36028_lociStitched	chrX	64906039	64927765	9	12861	11901.502799999998
7_MACS_peak_23364_lociStitched	chr22	50963007	50984714	7	14290	23308.9766
5_MACS_peak_2303_lociStitched	chr1	155940207	155961857	5	15309	43271.854999999996
6_MACS_peak_27614_lociStitched	chr5	109023752	109045373	6	15287	27856.4964
4_MACS_peak_4815_lociStitched	chr10	105445120	105466738	4	14583	33419.2662
5_MACS_peak_3798_lociStitched	chr10	12390001	12411609	5	15678	32809.5872
5_MACS_peak_10095_lociStitched	chr14	91781672	91803269	5	18205	27153.9081
5_MACS_peak_18356_lociStitched	chr2	9888694	9910224	5	10378	16894.591
6_MACS_peak_6567_lociStitched	chr11	111229676	111251197	6	18733	23763.4882
2_MACS_peak_34805_lociStitched	chr9	112903921	112925286	2	21299	47374.751000000004
4_MACS_peak_33766_lociStitched	chr8	134068620	134089957	4	19914	25113.649
8_MACS_peak_4801_lociStitched	chr10	105224475	105245745	8	14750	22025.085000000003
6_MACS_peak_29110_lociStitched	chr6	31788659	31809926	6	12629	25665.015600000002
2_MACS_peak_27798_lociStitched	chr5	131745136	131766303	2	17939	49943.5365
4_MACS_peak_27943_lociStitched	chr5	139011970	139033023	4	16760	31371.0753
6_MACS_peak_12821_lociStitched	chr16	56964437	56985444	6	18741	25607.533000000003
6_MACS_peak_23557_lociStitched	chr3	13449806	13470805	6	15747	27928.670000000002
3_MACS_peak_29446_lociStitched	chr6	44213242	44234183	3	15150	32678.4305
6_MACS_peak_20384_lociStitched	chr2	201920273	201941210	6	12305	16014.7113
4_MACS_peak_11904_lociStitched	chr16	1341047	1361980	4	13007	24541.8492
4_MACS_peak_36526_lociStitched	chrX	152973708	152994638	4	13516	23847.642
4_MACS_peak_29190_lociStitched	chr6	33537923	33558839	4	9090	17780.6916
5_MACS_peak_15194_lociStitched	chr17	75131027	75151833	5	19412	35497.1166
7_MACS_peak_16206_lociStitched	chr19	2254050	2274853	7	14816	40686.5074
6_MACS_peak_18242_lociStitched	chr2	1644296	1665081	6	14703	26151.686999999998
5_MACS_peak_11351_lociStitched	chr15	75350037	75370805	5	13057	15011.1104
5_MACS_peak_11971_lociStitched	chr16	2551034	2571765	5	14085	32667.9098
2_MACS_peak_33781_lociStitched	chr8	134290300	134311030	2	18625	31559.352
4_MACS_peak_21637_lociStitched	chr20	48284391	48305092	4	14658	21659.4563
5_MACS_peak_4877_lociStitched	chr10	112165650	112186328	5	19304	37065.315
5_MACS_peak_20694_lociStitched	chr2	232526339	232546974	5	12141	28552.6495
8_MACS_peak_10421_lociStitched	chr14	106452740	106473342	8	14688	18125.639600000002
8_MACS_peak_28509_lociStitched	chr5	180228484	180248976	8	14521	28582.2416
5_MACS_peak_16445_lociStitched	chr19	7178754	7199214	5	11648	20531.61
10_MACS_peak_12538_lociStitched	chr16	29605186	29625567	10	11296	16398.5526
4_MACS_peak_5864_lociStitched	chr11	62306223	62326537	4	14780	21882.2408
6_MACS_peak_12369_lociStitched	chr16	21512029	21532328	6	17154	31510.1377
6_MACS_peak_15249_lociStitched	chr17	76337197	76357455	6	14707	27982.3754
5_MACS_peak_36545_lociStitched	chrX	153266733	153286943	5	10292	22081.446
5_MACS_peak_27526_lociStitched	chr5	95250221	95270425	5	14802	23436.64
6_MACS_peak_21926_lociStitched	chr21	19147286	19167488	6	11439	17107.0536
7_MACS_peak_5077_lociStitched	chr10	128109526	128129724	7	13493	16588.6174
6_MACS_peak_14363_lociStitched	chr17	40680947	40701131	6	13887	25498.447200000002
5_MACS_peak_733_lociStitched	chr1	28558302	28578401	5	13907	30019.8664
5_MACS_peak_25372_lociStitched	chr3	195258222	195278321	5	14279	25803.0962
8_MACS_peak_22972_lociStitched	chr22	38609645	38629648	8	13863	20047.0066
4_MACS_peak_2234_lociStitched	chr1	154817497	154837411	4	12315	30440.540399999998
4_MACS_peak_15903_lociStitched	chr18	55089370	55109212	4	13331	18274.482
7_MACS_peak_27860_lociStitched	chr5	133872306	133892129	7	11753	12668.8793
6_MACS_peak_23071_lociStitched	chr22	39911136	39930955	6	15906	33022.417799999996
1_MACS_peak_20390_lociStitched	chr2	201978795	201998510	1	19716	53323.1605
6_MACS_peak_26020_lociStitched	chr4	77116560	77136212	6	12963	16093.022799999999
2_MACS_peak_27150_lociStitched	chr5	53812499	53832082	2	19370	42422.6529
4_MACS_peak_5286_lociStitched	chr11	3874213	3893775	4	12894	21876.1846
5_MACS_peak_15989_lociStitched	chr18	60846238	60865791	5	9347	11833.4756
4_MACS_peak_745_lociStitched	chr1	28826860	28846304	4	15109	25745.8004
3_MACS_peak_14289_lociStitched	chr17	38251202	38270620	3	19268	39783.5984
3_MACS_peak_14599_lociStitched	chr17	46123603	46142888	3	19231	53120.5325
4_MACS_peak_28157_lociStitched	chr5	151119735	151139017	4	18745	33822.5562
3_MACS_peak_12582_lociStitched	chr16	30193885	30213154	3	15330	43655.8464
4_MACS_peak_17932_lociStitched	chr19	50422354	50441587	4	13216	37181.2356
4_MACS_peak_20001_lociStitched	chr2	159840059	159859235	4	12895	24359.2728
6_MACS_peak_5084_lociStitched	chr10	128147068	128166199	6	11322	13322.8284
5_MACS_peak_35316_lociStitched	chr9	138354871	138373998	5	10774	23019.3445
4_MACS_peak_14528_lociStitched	chr17	44253366	44272451	4	12449	23907.779499999997
5_MACS_peak_16152_lociStitched	chr19	1437620	1456703	5	8119	20611.548300000002
6_MACS_peak_14300_lociStitched	chr17	38465655	38484713	6	16015	20771.3142
7_MACS_peak_32274_lociStitched	chr7	142237297	142256293	7	11735	13354.188
6_MACS_peak_22717_lociStitched	chr22	29206532	29225519	6	15306	26207.756100000002
7_MACS_peak_35759_lociStitched	chrX	40229454	40248433	7	9810	8783.4812
5_MACS_peak_4059_lociStitched	chr10	43887253	43906206	5	16328	33181.0171
4_MACS_peak_19007_lociStitched	chr2	64863224	64882175	4	8939	16436.2023
4_MACS_peak_26832_lociStitched	chr5	1311444	1330382	4	14148	37857.062000000005
3_MACS_peak_29581_lociStitched	chr6	56619091	56637973	3	16114	26495.2224
6_MACS_peak_27515_lociStitched	chr5	95143216	95162073	6	13430	18877.742700000003
5_MACS_peak_505_lociStitched	chr1	23937136	23955979	5	11167	20968.4904
7_MACS_peak_24726_lociStitched	chr3	133181144	133199941	7	14047	18900.3835
4_MACS_peak_10264_lociStitched	chr14	102275506	102294295	4	12714	18676.266
6_MACS_peak_16225_lociStitched	chr19	2489256	2508021	6	6938	9759.6765
2_MACS_peak_10323_lociStitched	chr14	103796951	103815697	2	18712	30284.163
3_MACS_peak_14700_lociStitched	chr17	48979246	48997941	3	13865	42237.6135
2_MACS_peak_13220_lociStitched	chr16	81840206	81858882	2	17320	35531.090000000004
5_MACS_peak_17413_lociStitched	chr19	39920777	39939446	5	13397	20345.4762
3_MACS_peak_25831_lociStitched	chr4	40193673	40212331	3	18444	40394.57
4_MACS_peak_19069_lociStitched	chr2	68936458	68955112	4	6812	9991.0824
5_MACS_peak_35326_lociStitched	chr9	138467724	138486353	5	15703	28567.571500000002
4_MACS_peak_29855_lociStitched	chr6	106576727	106595351	4	12283	15701.8944
5_MACS_peak_19260_lociStitched	chr2	86075355	86093890	5	17208	26729.3235
1_MACS_peak_6216_lociStitched	chr11	69452901	69471410	1	18510	32625.8143
4_MACS_peak_19332_lociStitched	chr2	87550846	87569329	4	12837	15782.6337
5_MACS_peak_17519_lociStitched	chr19	42363134	42381593	5	12888	18726.6555
8_MACS_peak_13968_lociStitched	chr17	27262012	27280384	8	15510	26407.912800000002
2_MACS_peak_8034_lociStitched	chr12	108951883	108970218	2	14827	29506.515499999998
4_MACS_peak_11314_lociStitched	chr15	74906146	74924479	4	13149	27673.663500000002
4_MACS_peak_2296_lociStitched	chr1	155900520	155918841	4	14624	32908.1802
4_MACS_peak_28353_lociStitched	chr5	173159729	173178027	4	14531	36702.128399999994
2_MACS_peak_14899_lociStitched	chr17	62192694	62210978	2	18158	36992.1888
5_MACS_peak_11141_lociStitched	chr15	67366845	67385123	5	8779	11613.841199999999
4_MACS_peak_327_lociStitched	chr1	15726364	15744603	4	13329	23783.656000000003
4_MACS_peak_3596_lociStitched	chr1	246935457	246953668	4	10765	18822.889600000002
6_MACS_peak_22351_lociStitched	chr22	17081492	17099700	6	9949	16174.1664
6_MACS_peak_33583_lociStitched	chr8	120915273	120933473	6	13238	13395.199999999999
6_MACS_peak_34005_lociStitched	chr9	746624	764823	6	13347	18408.288500000002
8_MACS_peak_22577_lociStitched	chr22	23470289	23488441	8	11132	22544.784
4_MACS_peak_16789_lociStitched	chr19	13943760	13961855	4	14659	34123.551
6_MACS_peak_15295_lociStitched	chr17	77769913	77787956	6	9051	17685.7486
4_MACS_peak_18565_lociStitched	chr2	27292641	27310673	4	12235	22630.16
5_MACS_peak_30816_lociStitched	chr7	22474511	22492504	5	7145	11053.0999
3_MACS_peak_32624_lociStitched	chr8	11308140	11326120	3	14994	32277.696
3_MACS_peak_20447_lociStitched	chr2	204568683	204586600	3	17231	22215.2883
6_MACS_peak_24985_lociStitched	chr3	163103240	163121117	6	5128	5259.4134
7_MACS_peak_13266_lociStitched	chr16	85176295	85194161	7	4266	4975.6810000000005
6_MACS_peak_19376_lociStitched	chr2	89442070	89459891	6	14453	17703.3814
3_MACS_peak_7627_lociStitched	chr12	57622036	57639856	3	14120	34975.314
6_MACS_peak_6446_lociStitched	chr11	89973206	89990966	6	10445	9775.104
7_MACS_peak_26918_lociStitched	chr5	14211931	14229663	7	14193	15011.9112
7_MACS_peak_32324_lociStitched	chr7	147899011	147916736	7	13524	13706.7425
5_MACS_peak_22930_lociStitched	chr22	38019708	38037396	5	11871	17866.6488
4_MACS_peak_620_lociStitched	chr1	26436499	26454180	4	15774	27693.7503
4_MACS_peak_4302_lociStitched	chr10	74006965	74024634	4	11394	25137.6863
5_MACS_peak_28806_lociStitched	chr6	20400992	20418651	5	10790	20791.7066
3_MACS_peak_22209_lociStitched	chr21	44580435	44598092	3	12990	43784.0629
7_MACS_peak_4436_lociStitched	chr10	80851169	80868808	7	15433	17328.5536
4_MACS_peak_24210_lociStitched	chr3	69128192	69145732	4	17026	26967.75
5_MACS_peak_2257_lociStitched	chr1	155049677	155067182	5	8370	14536.152
6_MACS_peak_15754_lociStitched	chr18	42289175	42306647	6	7104	7488.499199999999
4_MACS_peak_4095_lociStitched	chr10	45913345	45930806	4	9948	22631.202100000002
7_MACS_peak_4422_lociStitched	chr10	80751143	80768587	7	8358	10032.044399999999
4_MACS_peak_10999_lociStitched	chr15	60798932	60816293	4	7257	9864.5202
4_MACS_peak_25682_lociStitched	chr4	10094675	10112034	4	13576	20268.3684
7_MACS_peak_35563_lociStitched	chrX	13670576	13687931	7	6042	6226.974
3_MACS_peak_9498_lociStitched	chr14	50085850	50103187	3	11798	24533.5887
8_MACS_peak_11396_lociStitched	chr15	77279628	77296923	8	12649	15003.4125
4_MACS_peak_33478_lociStitched	chr8	103793287	103810580	4	14739	30153.8041
5_MACS_peak_25714_lociStitched	chr4	14868887	14886167	5	11226	12545.279999999999
3_MACS_peak_24698_lociStitched	chr3	130557745	130574967	3	10503	15349.9686
3_MACS_peak_28959_lociStitched	chr6	27791024	27808238	3	10086	18491.2788
8_MACS_peak_36351_lociStitched	chrX	128902815	128920013	8	5979	6273.8304
5_MACS_peak_15014_lociStitched	chr17	70584027	70601210	5	6355	5582.756700000001
5_MACS_peak_1167_lociStitched	chr1	45803167	45820349	5	10069	16365.855
2_MACS_peak_1950_lociStitched	chr1	144921600	144938775	2	13640	40548.4575
