#U266_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/U266_H3K27ac_ROSE/U266_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by U266_jia.bam
#Using cutoff of 13745.6739 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam	enhancerRank	isSuper
4_MACS_peak_31276_lociStitched	chr7	55571658	55605839	4	30724	67278.4623	31	1
6_MACS_peak_2059_lociStitched	chr1	149800634	149834995	6	28717	66502.2794	32	1
4_MACS_peak_28361_lociStitched	chr5	173309979	173358125	4	46469	65233.0154	33	1
8_MACS_peak_16132_lociStitched	chr19	1237203	1277502	8	25253	65151.3933	34	1
6_MACS_peak_11088_lociStitched	chr15	65164222	65191013	6	21740	64226.0643	35	1
7_MACS_peak_35017_lociStitched	chr9	127609787	127643889	7	24317	63968.5316	36	1
4_MACS_peak_34892_lociStitched	chr9	117243194	117270552	4	22076	62288.6944	37	1
7_MACS_peak_35103_lociStitched	chr9	130813119	130847391	7	28665	61549.0848	38	1
3_MACS_peak_18693_lociStitched	chr2	37524661	37553989	3	27786	61336.5792	39	1
2_MACS_peak_3482_lociStitched	chr1	234733479	234749623	2	16024	61222.8912	40	1
6_MACS_peak_35093_lociStitched	chr9	130716309	130748849	6	27134	61028.77	41	1
9_MACS_peak_16721_lociStitched	chr19	12885319	12918338	9	20401	60543.6384	42	1
5_MACS_peak_35074_lociStitched	chr9	130529014	130551217	5	18440	60505.3953	43	1
11_MACS_peak_22219_lociStitched	chr21	44758499	44790017	11	21956	60457.8276	44	1
3_MACS_peak_25325_lociStitched	chr3	192593399	192619120	3	25274	60040.5303	45	1
4_MACS_peak_14267_lociStitched	chr17	37909266	37935795	4	22273	59645.1507	46	1
7_MACS_peak_4449_lociStitched	chr10	80999083	81028550	7	26538	59160.8959	47	1
5_MACS_peak_24807_lociStitched	chr3	141079388	141113771	5	29685	58822.4364	48	1
10_MACS_peak_8036_lociStitched	chr12	109006646	109036250	10	26332	58681.0488	49	1
8_MACS_peak_25187_lociStitched	chr3	183224388	183260290	8	26437	57590.3982	50	1
6_MACS_peak_14893_lociStitched	chr17	62150990	62187059	6	33809	56996.2338	51	1
7_MACS_peak_15263_lociStitched	chr17	76709915	76755679	7	37289	56843.4644	52	1
8_MACS_peak_4909_lociStitched	chr10	112599965	112636424	8	23334	56617.1811	53	1
6_MACS_peak_17050_lociStitched	chr19	19042064	19065042	6	20028	56197.2946	54	1
5_MACS_peak_7337_lociStitched	chr12	48191674	48215019	5	20528	55386.0125	55	1
2_MACS_peak_3354_lociStitched	chr1	228744052	228783700	2	39475	55352.5728	56	1
6_MACS_peak_22561_lociStitched	chr22	23219781	23250702	6	27941	55339.3137	57	1
7_MACS_peak_23837_lociStitched	chr3	45582219	45617877	7	28460	54670.8456	58	1
6_MACS_peak_22232_lociStitched	chr21	44843864	44877128	6	21580	54047.3472	59	1
4_MACS_peak_17409_lociStitched	chr19	39880597	39904446	4	18196	54020.3699	60	1
8_MACS_peak_22902_lociStitched	chr22	37610001	37647002	8	29945	53547.8472	61	1
1_MACS_peak_20390_lociStitched	chr2	201978795	201998510	1	19716	53323.1605	62	1
5_MACS_peak_2460_lociStitched	chr1	161409224	161442579	5	24490	53231.2445	63	1
3_MACS_peak_14599_lociStitched	chr17	46123603	46142888	3	19231	53120.5325	64	1
5_MACS_peak_12217_lociStitched	chr16	12043202	12073865	5	25943	52838.4816	65	1
3_MACS_peak_18408_lociStitched	chr2	11882821	11904902	3	18202	52773.59	66	1
10_MACS_peak_8384_lociStitched	chr12	123344670	123387093	10	33602	52625.7315	67	1
12_MACS_peak_32125_lociStitched	chr7	132170183	132222247	12	38036	52225.3984	68	1
5_MACS_peak_25081_lociStitched	chr3	171803136	171828962	5	23726	51954.1642	69	1
6_MACS_peak_14639_lociStitched	chr17	47814307	47842569	6	24238	51889.032	70	1
7_MACS_peak_10633_lociStitched	chr15	40329988	40367804	7	20574	51429.76	71	1
7_MACS_peak_10806_lociStitched	chr15	45001743	45030091	7	22006	51239.01	72	1
4_MACS_peak_31793_lociStitched	chr7	102063382	102088703	4	22359	50930.6594	73	1
3_MACS_peak_13316_lociStitched	chr16	87883187	87906062	3	21943	50265.525	74	1
2_MACS_peak_27798_lociStitched	chr5	131745136	131766303	2	17939	49943.5365	75	1
1_MACS_peak_22216_lociStitched	chr21	44725204	44736078	1	10875	49677.869	76	1
9_MACS_peak_29527_lociStitched	chr6	52376569	52423340	9	33345	49577.26	77	1
6_MACS_peak_2900_lociStitched	chr1	203254852	203281373	6	20388	49281.3222	78	1
7_MACS_peak_10641_lociStitched	chr15	40380263	40409363	7	22699	49138.26	79	1
1_MACS_peak_2250_lociStitched	chr1	154970314	154979994	1	9681	49035.976	80	1
1_MACS_peak_14488_lociStitched	chr17	43296479	43309626	1	13148	48764.8524	81	1
8_MACS_peak_6029_lociStitched	chr11	65332397	65363264	8	19337	48600.0915	82	1
10_MACS_peak_16331_lociStitched	chr19	4367843	4407599	10	23455	47941.7604	83	1
5_MACS_peak_15162_lociStitched	chr17	74475302	74503100	5	19884	47765.3034	84	1
4_MACS_peak_9272_lociStitched	chr14	23017118	23040543	4	22645	47676.9025	85	1
2_MACS_peak_34805_lociStitched	chr9	112903921	112925286	2	21299	47374.751	86	1
3_MACS_peak_21591_lociStitched	chr20	45963617	45990421	3	20573	46464.734	87	1
5_MACS_peak_12112_lociStitched	chr16	9029606	9058543	5	27588	45879.6135	88	1
4_MACS_peak_23844_lociStitched	chr3	45633873	45661617	4	27154	45877.4784	89	1
4_MACS_peak_32184_lociStitched	chr7	137663244	137688092	4	17819	45402.2656	90	1
4_MACS_peak_21707_lociStitched	chr20	52188756	52211972	4	22299	45326.9184	91	1
4_MACS_peak_34000_lociStitched	chr9	700319	725879	4	20887	44783.676	92	1
5_MACS_peak_15056_lociStitched	chr17	72732497	72758193	5	21872	44754.7232	93	1
10_MACS_peak_35083_lociStitched	chr9	130667286	130707014	10	24585	44682.0816	94	1
5_MACS_peak_24666_lociStitched	chr3	129019128	129048744	5	20853	44643.1584	95	1
1_MACS_peak_2355_lociStitched	chr1	156709366	156723132	1	13767	43843.3334	96	1
4_MACS_peak_6623_lociStitched	chr11	115041532	115082212	4	36283	43824.564	97	1
1_MACS_peak_2348_lociStitched	chr1	156626888	156638518	1	11631	43796.254	98	1
1_MACS_peak_11350_lociStitched	chr15	75334079	75343037	1	8959	43795.662	99	1
3_MACS_peak_22209_lociStitched	chr21	44580435	44598092	3	12990	43784.0629	100	1
3_MACS_peak_12582_lociStitched	chr16	30193885	30213154	3	15330	43655.8464	101	1
2_MACS_peak_16571_lociStitched	chr19	10328517	10342962	2	10548	43628.2335	102	1
4_MACS_peak_5968_lociStitched	chr11	64611367	64634713	4	16999	43589.3166	103	1
6_MACS_peak_6017_lociStitched	chr11	65221869	65247664	6	20303	43438.78	104	1
11_MACS_peak_19265_lociStitched	chr2	86108062	86152419	11	25247	43319.0462	105	1
5_MACS_peak_2303_lociStitched	chr1	155940207	155961857	5	15309	43271.855	106	1
8_MACS_peak_5389_lociStitched	chr11	10314768	10344834	8	20035	43126.6704	107	1
1_MACS_peak_2646_lociStitched	chr1	178540979	178552527	1	11549	43117.9224	108	1
3_MACS_peak_28557_lociStitched	chr6	388069	411357	3	20438	42596.0808	109	1
6_MACS_peak_26869_lociStitched	chr5	6475501	6498309	6	21078	42587.0976	110	1
16_MACS_peak_26966_lociStitched	chr5	24247865	24295982	16	37000	42463.2525	111	1
2_MACS_peak_27150_lociStitched	chr5	53812499	53832082	2	19370	42422.6529	112	1
5_MACS_peak_21725_lociStitched	chr20	52530703	52559907	5	20542	42299.0736	113	1
3_MACS_peak_14700_lociStitched	chr17	48979246	48997941	3	13865	42237.6135	114	1
5_MACS_peak_2191_lociStitched	chr1	153929015	153951461	5	16504	42185.0124	115	1
4_MACS_peak_16239_lociStitched	chr19	2606071	2622661	4	15554	41783.574	116	1
5_MACS_peak_22550_lociStitched	chr22	23141909	23165950	5	21221	41720.7514	117	1
5_MACS_peak_31849_lociStitched	chr7	104633489	104659306	5	14931	41697.0367	118	1
6_MACS_peak_11174_lociStitched	chr15	68476398	68504120	6	22255	41303.0078	119	1
10_MACS_peak_11321_lociStitched	chr15	75063533	75085968	10	18484	41217.582	120	1
1_MACS_peak_33482_lociStitched	chr8	103815143	103828738	1	13596	40765.967	121	1
7_MACS_peak_16206_lociStitched	chr19	2254050	2274853	7	14816	40686.5074	122	1
2_MACS_peak_1950_lociStitched	chr1	144921600	144938775	2	13640	40548.4575	123	1
3_MACS_peak_25831_lociStitched	chr4	40193673	40212331	3	18444	40394.57	124	1
4_MACS_peak_18734_lociStitched	chr2	38814808	38839277	4	18949	40376.2969	125	1
11_MACS_peak_28133_lociStitched	chr5	150502776	150538126	11	24267	40150.53	126	1
8_MACS_peak_31280_lociStitched	chr7	55611482	55642002	8	22943	40146.008	127	1
5_MACS_peak_14659_lociStitched	chr17	48224675	48249956	5	17330	39931.3395	128	1
3_MACS_peak_14289_lociStitched	chr17	38251202	38270620	3	19268	39783.5984	129	1
5_MACS_peak_2443_lociStitched	chr1	161134806	161163453	5	19488	39615.9363	130	1
8_MACS_peak_8133_lociStitched	chr12	111862081	111889936	8	25592	39158.559	131	1
1_MACS_peak_22161_lociStitched	chr21	43476609	43487106	1	10498	38636.3079	132	1
7_MACS_peak_8449_lociStitched	chr12	125389000	125413106	7	17989	38627.4544	133	1
12_MACS_peak_13206_lociStitched	chr16	81741527	81786656	12	25604	38517.6015	134	1
7_MACS_peak_9993_lociStitched	chr14	81929840	81955732	7	22138	38258.0192	135	1
5_MACS_peak_23869_lociStitched	chr3	46317470	46345444	5	25269	38067.0192	136	1
4_MACS_peak_26832_lociStitched	chr5	1311444	1330382	4	14148	37857.062	137	1
2_MACS_peak_16169_lociStitched	chr19	1646702	1655904	2	7739	37790.7736	138	1
6_MACS_peak_22266_lociStitched	chr21	45552069	45580959	6	20074	37767.897	139	1
3_MACS_peak_3348_lociStitched	chr1	228665931	228680047	3	11534	37723.5984	140	1
4_MACS_peak_12559_lociStitched	chr16	29815339	29837404	4	16087	37713.498	141	1
7_MACS_peak_14091_lociStitched	chr17	32688721	32719456	7	23404	37656.522	142	1
3_MACS_peak_1224_lociStitched	chr1	51432445	51447848	3	14888	37302.9854	143	1
8_MACS_peak_28124_lociStitched	chr5	150437387	150467423	8	23169	37301.7084	144	1
8_MACS_peak_543_lociStitched	chr1	24503132	24535055	8	19687	37263.7179	145	1
4_MACS_peak_17932_lociStitched	chr19	50422354	50441587	4	13216	37181.2356	146	1
5_MACS_peak_4877_lociStitched	chr10	112165650	112186328	5	19304	37065.315	147	1
2_MACS_peak_14899_lociStitched	chr17	62192694	62210978	2	18158	36992.1888	148	1
3_MACS_peak_8352_lociStitched	chr12	122227168	122243314	3	12729	36895.2246	149	1
5_MACS_peak_10722_lociStitched	chr15	42064386	42093242	5	23145	36788.5144	150	1
4_MACS_peak_28353_lociStitched	chr5	173159729	173178027	4	14531	36702.1284	151	1
6_MACS_peak_33656_lociStitched	chr8	126292349	126322548	6	28078	36528.7104	152	1
3_MACS_peak_2657_lociStitched	chr1	179048066	179063174	3	14927	36476.7552	153	1
9_MACS_peak_3018_lociStitched	chr1	206852592	206894090	9	22385	36223.6042	154	1
7_MACS_peak_9946_lociStitched	chr14	77487578	77510213	7	18442	36184.311	155	1
6_MACS_peak_17538_lociStitched	chr19	42612802	42639831	6	18356	36040.4686	156	1
1_MACS_peak_2241_lociStitched	chr1	154907726	154918490	1	10765	35903.322	157	1
4_MACS_peak_20570_lociStitched	chr2	219741506	219763669	4	16142	35884.1133	158	1
2_MACS_peak_15152_lociStitched	chr17	74257498	74270039	2	12401	35855.9731	159	1
1_MACS_peak_24812_lociStitched	chr3	141119122	141135802	1	16681	35708.544	160	1
2_MACS_peak_13220_lociStitched	chr16	81840206	81858882	2	17320	35531.09	161	1
2_MACS_peak_10865_lociStitched	chr15	51165426	51179117	2	12765	35526.7759	162	1
5_MACS_peak_15194_lociStitched	chr17	75131027	75151833	5	19412	35497.1166	163	1
4_MACS_peak_3752_lociStitched	chr10	7510768	7535641	4	20884	35399.2536	164	1
6_MACS_peak_17792_lociStitched	chr19	48878723	48904466	6	20775	35352.8619	165	1
7_MACS_peak_23059_lociStitched	chr22	39823427	39848895	7	20339	35084.7168	166	1
3_MACS_peak_7627_lociStitched	chr12	57622036	57639856	3	14120	34975.314	167	1
8_MACS_peak_25086_lociStitched	chr3	171844605	171878544	8	26876	34811.2323	168	1
3_MACS_peak_10315_lociStitched	chr14	103566099	103582255	3	13104	34753.1716	169	1
1_MACS_peak_19772_lociStitched	chr2	127412778	127426192	1	13415	34563.8538	170	1
2_MACS_peak_31229_lociStitched	chr7	47708130	47721311	2	12928	34521.039	171	1
1_MACS_peak_11190_lociStitched	chr15	69107801	69114775	1	6975	34207.47	172	1
4_MACS_peak_16789_lociStitched	chr19	13943760	13961855	4	14659	34123.551	173	1
7_MACS_peak_5870_lociStitched	chr11	62357493	62383092	7	16576	34059.4695	174	1
7_MACS_peak_23232_lociStitched	chr22	45093439	45118644	7	21985	34039.3525	175	1
4_MACS_peak_28157_lociStitched	chr5	151119735	151139017	4	18745	33822.5562	176	1
3_MACS_peak_653_lociStitched	chr1	27018521	27034803	3	14568	33666.2914	177	1
8_MACS_peak_5040_lociStitched	chr10	125824466	125854991	8	18935	33586.6575	178	1
9_MACS_peak_12124_lociStitched	chr16	9162216	9193906	9	15888	33569.217	179	1
4_MACS_peak_21999_lociStitched	chr21	34599775	34614529	4	13780	33436.9902	180	1
4_MACS_peak_4815_lociStitched	chr10	105445120	105466738	4	14583	33419.2662	181	1
3_MACS_peak_33470_lociStitched	chr8	103658921	103676049	3	16069	33231.7456	182	1
5_MACS_peak_4059_lociStitched	chr10	43887253	43906206	5	16328	33181.0171	183	1
6_MACS_peak_23071_lociStitched	chr22	39911136	39930955	6	15906	33022.4178	184	1
1_MACS_peak_10208_lociStitched	chr14	98633043	98645962	1	12920	33017.0883	185	1
8_MACS_peak_12987_lociStitched	chr16	68270473	68300095	8	17621	32960.3994	186	1
4_MACS_peak_2296_lociStitched	chr1	155900520	155918841	4	14624	32908.1802	187	1
5_MACS_peak_16220_lociStitched	chr19	2455365	2480287	5	12211	32889.5634	188	1
5_MACS_peak_3798_lociStitched	chr10	12390001	12411609	5	15678	32809.5872	189	1
3_MACS_peak_29446_lociStitched	chr6	44213242	44234183	3	15150	32678.4305	190	1
5_MACS_peak_11971_lociStitched	chr16	2551034	2571765	5	14085	32667.9098	191	1
8_MACS_peak_19359_lociStitched	chr2	88899036	88928601	8	25731	32663.412	192	1
1_MACS_peak_7636_lociStitched	chr12	57844993	57857500	1	12508	32653.2756	193	1
1_MACS_peak_6216_lociStitched	chr11	69452901	69471410	1	18510	32625.8143	194	1
2_MACS_peak_2647_lociStitched	chr1	178567769	178578999	2	10711	32306.464	195	1
3_MACS_peak_32624_lociStitched	chr8	11308140	11326120	3	14994	32277.696	196	1
2_MACS_peak_18802_lociStitched	chr2	43444526	43456599	2	9782	32269.9217	197	1
1_MACS_peak_23875_lociStitched	chr3	46389733	46404465	1	14733	32251.2944	198	1
3_MACS_peak_31212_lociStitched	chr7	47510682	47527208	3	12335	32042.2614	199	1
3_MACS_peak_26865_lociStitched	chr5	6445985	6460822	3	13226	32021.2134	200	1
5_MACS_peak_9863_lociStitched	chr14	74219526	74244376	5	19615	31681.265	201	1
2_MACS_peak_14383_lociStitched	chr17	40825560	40835032	2	9432	31670.5792	202	1
3_MACS_peak_9416_lociStitched	chr14	33402890	33415353	3	11957	31656.02	203	1
2_MACS_peak_28358_lociStitched	chr5	173209066	173223506	2	11795	31587.5	204	1
3_MACS_peak_29852_lociStitched	chr6	106532010	106559189	3	26862	31584.7159	205	1
2_MACS_peak_33781_lociStitched	chr8	134290300	134311030	2	18625	31559.352	206	1
6_MACS_peak_12369_lociStitched	chr16	21512029	21532328	6	17154	31510.1377	207	1
5_MACS_peak_28304_lociStitched	chr5	171595382	171620757	5	16510	31393.95	208	1
4_MACS_peak_27943_lociStitched	chr5	139011970	139033023	4	16760	31371.0753	209	1
7_MACS_peak_25267_lociStitched	chr3	186775351	186797648	7	19735	31349.582	210	1
2_MACS_peak_14226_lociStitched	chr17	36852048	36863497	2	8908	31335.913	211	1
3_MACS_peak_34191_lociStitched	chr9	33443755	33459825	3	12491	31291.504	212	1
1_MACS_peak_26482_lociStitched	chr4	144256517	144263698	1	7182	31264.6378	213	1
2_MACS_peak_31811_lociStitched	chr7	102246845	102257829	2	8100	31246.1848	214	1
3_MACS_peak_11262_lociStitched	chr15	72514565	72531270	3	10903	31161.507	215	1
3_MACS_peak_1720_lociStitched	chr1	111169208	111181337	3	11662	31124.2269	216	1
4_MACS_peak_2358_lociStitched	chr1	156761868	156787150	4	16363	31010.9012	217	1
1_MACS_peak_494_lociStitched	chr1	23849111	23861209	1	12099	30903.1312	218	1
4_MACS_peak_20725_lociStitched	chr2	233938760	233954027	4	14017	30708.0438	219	1
1_MACS_peak_31662_lociStitched	chr7	97909589	97921846	1	12258	30615.5346	220	1
2_MACS_peak_31803_lociStitched	chr7	102147800	102158801	2	8286	30548.6769	221	1
4_MACS_peak_2234_lociStitched	chr1	154817497	154837411	4	12315	30440.5404	222	1
2_MACS_peak_19660_lociStitched	chr2	112455591	112469143	2	12583	30399.8464	223	1
2_MACS_peak_10323_lociStitched	chr14	103796951	103815697	2	18712	30284.163	224	1
4_MACS_peak_28911_lociStitched	chr6	27093788	27116100	4	20024	30277.384	225	1
7_MACS_peak_22062_lociStitched	chr21	36578145	36608065	7	17195	30174.32	226	1
3_MACS_peak_22652_lociStitched	chr22	24819373	24834134	3	13599	30162.6274	227	1
4_MACS_peak_33478_lociStitched	chr8	103793287	103810580	4	14739	30153.8041	228	1
2_MACS_peak_23415_lociStitched	chr3	5014631	5029390	2	12289	30100.9805	229	1
8_MACS_peak_15221_lociStitched	chr17	76116284	76144300	8	16715	30083.5808	230	1
3_MACS_peak_2836_lociStitched	chr1	200984181	200996215	3	11474	30064.5422	231	1
5_MACS_peak_733_lociStitched	chr1	28558302	28578401	5	13907	30019.8664	232	1
7_MACS_peak_14144_lociStitched	chr17	34408522	34432846	7	18004	29991.492	233	1
4_MACS_peak_36534_lociStitched	chrX	153188415	153201773	4	10553	29913.9052	234	1
2_MACS_peak_2420_lociStitched	chr1	160674947	160687747	2	11514	29605.12	235	1
3_MACS_peak_30830_lociStitched	chr7	22757212	22771382	3	12464	29582.709	236	1
5_MACS_peak_22175_lociStitched	chr21	43804549	43821181	5	12498	29566.7064	237	1
2_MACS_peak_8034_lociStitched	chr12	108951883	108970218	2	14827	29506.5155	238	1
5_MACS_peak_19370_lociStitched	chr2	89130630	89161462	5	23513	29376.7296	239	1
4_MACS_peak_3006_lociStitched	chr1	206724941	206739981	4	12497	29364.096	240	1
2_MACS_peak_35140_lociStitched	chr9	131445329	131454005	2	8080	29355.246	241	1
3_MACS_peak_20807_lociStitched	chr2	241499001	241509373	3	10205	29330.9788	242	1
2_MACS_peak_11205_lociStitched	chr15	70387313	70396720	2	9386	29321.619	243	1
2_MACS_peak_32047_lociStitched	chr7	128572542	128582596	2	7419	29310.4262	244	1
1_MACS_peak_3292_lociStitched	chr1	226839255	226852784	1	13530	29265.9328	245	1
4_MACS_peak_4289_lociStitched	chr10	73619245	73635239	4	13475	29230.6344	246	1
9_MACS_peak_35414_lociStitched	chr9	140130596	140156868	9	12823	29209.2096	247	1
7_MACS_peak_14501_lociStitched	chr17	43502285	43531790	7	18080	29106.6825	248	1
6_MACS_peak_31158_lociStitched	chr7	44656599	44680573	6	18113	28895.8622	249	1
1_MACS_peak_25123_lociStitched	chr3	176911212	176920842	1	9631	28822.59	250	1
5_MACS_peak_8488_lociStitched	chr12	129288276	129315942	5	20533	28711.7748	251	1
1_MACS_peak_30905_lociStitched	chr7	26190927	26200367	1	9441	28612.64	252	1
8_MACS_peak_28509_lociStitched	chr5	180228484	180248976	8	14521	28582.2416	253	1
3_MACS_peak_32212_lociStitched	chr7	139462869	139478918	3	9944	28573.6396	254	1
5_MACS_peak_35326_lociStitched	chr9	138467724	138486353	5	15703	28567.5715	255	1
5_MACS_peak_20694_lociStitched	chr2	232526339	232546974	5	12141	28552.6495	256	1
5_MACS_peak_27445_lociStitched	chr5	87954708	87976555	5	13486	28510.335	257	1
4_MACS_peak_22614_lociStitched	chr22	24177367	24192240	4	11339	28410.4046	258	1
3_MACS_peak_16193_lociStitched	chr19	2049014	2062837	3	8697	28397.9712	259	1
1_MACS_peak_15988_lociStitched	chr18	60821347	60830711	1	9365	28393.5208	260	1
3_MACS_peak_139_lociStitched	chr1	6659319	6675538	3	10210	28371.8967	261	1
1_MACS_peak_31245_lociStitched	chr7	48123618	48130044	1	6427	28212.0678	262	1
6_MACS_peak_14370_lociStitched	chr17	40713220	40740323	6	14007	28195.2509	263	1
3_MACS_peak_35182_lociStitched	chr9	132244777	132260476	3	10203	28060.3926	264	1
4_MACS_peak_15139_lociStitched	chr17	74167712	74190618	4	17946	28052.9782	265	1
2_MACS_peak_29156_lociStitched	chr6	32934613	32943036	2	8322	28051.1169	266	1
1_MACS_peak_22716_lociStitched	chr22	29185965	29199229	1	13265	27993.672	267	1
6_MACS_peak_15249_lociStitched	chr17	76337197	76357455	6	14707	27982.3754	268	1
6_MACS_peak_23557_lociStitched	chr3	13449806	13470805	6	15747	27928.67	269	1
6_MACS_peak_27614_lociStitched	chr5	109023752	109045373	6	15287	27856.4964	270	1
1_MACS_peak_25349_lociStitched	chr3	194205641	194211757	1	6117	27838.8088	271	1
1_MACS_peak_32105_lociStitched	chr7	130788697	130796581	1	7885	27831.3084	272	1
4_MACS_peak_27057_lociStitched	chr5	32530376	32545589	4	14535	27810.8853	273	1
2_MACS_peak_20620_lociStitched	chr2	227653810	227666689	2	12220	27734.9265	274	1
4_MACS_peak_11738_lociStitched	chr15	93360682	93384277	4	11140	27700.53	275	1
4_MACS_peak_620_lociStitched	chr1	26436499	26454180	4	15774	27693.7503	276	1
4_MACS_peak_11314_lociStitched	chr15	74906146	74924479	4	13149	27673.6635	277	1
3_MACS_peak_21864_lociStitched	chr20	62357765	62372964	3	11575	27589.2248	278	1
9_MACS_peak_32615_lociStitched	chr8	11271062	11303240	9	18116	27566.8926	279	1
2_MACS_peak_21215_lociStitched	chr20	31251313	31262984	2	11652	27488.7063	280	1
3_MACS_peak_11703_lociStitched	chr15	91464834	91479598	3	10828	27458.0872	281	1
2_MACS_peak_30951_lociStitched	chr7	29712665	29726523	2	13845	27454.0838	282	1
4_MACS_peak_13281_lociStitched	chr16	85631766	85648276	4	15855	27406.6	283	1
3_MACS_peak_33673_lociStitched	chr8	126438601	126450994	3	10661	27382.3335	284	1
1_MACS_peak_10322_lociStitched	chr14	103780098	103788310	1	8213	27381.2716	285	1
6_MACS_peak_5940_lociStitched	chr11	63992689	64019603	6	13746	27360.7724	286	1
3_MACS_peak_25050_lociStitched	chr3	169755012	169766202	3	10390	27327.099	287	1
8_MACS_peak_27831_lociStitched	chr5	132575605	132603564	8	17846	27276.8004	288	1
9_MACS_peak_20307_lociStitched	chr2	197023272	197048989	9	18601	27154.5803	289	1
5_MACS_peak_10095_lociStitched	chr14	91781672	91803269	5	18205	27153.9081	290	1
2_MACS_peak_30998_lociStitched	chr7	32766487	32780157	2	13029	27096.674	291	1
4_MACS_peak_24210_lociStitched	chr3	69128192	69145732	4	17026	26967.75	292	1
6_MACS_peak_32898_lociStitched	chr8	37736078	37762471	6	19063	26952.5316	293	1
2_MACS_peak_24893_lociStitched	chr3	150473508	150485329	2	8628	26883.3182	294	1
6_MACS_peak_19614_lociStitched	chr2	111612125	111634261	6	14975	26875.3176	295	1
5_MACS_peak_18746_lociStitched	chr2	38946084	38969096	5	15819	26831.992	296	1
7_MACS_peak_17368_lociStitched	chr19	39159852	39187066	7	14327	26762.2476	297	1
5_MACS_peak_19260_lociStitched	chr2	86075355	86093890	5	17208	26729.3235	298	1
1_MACS_peak_19278_lociStitched	chr2	86219532	86229078	1	9547	26527.3794	299	1
3_MACS_peak_29581_lociStitched	chr6	56619091	56637973	3	16114	26495.2224	300	1
5_MACS_peak_23861_lociStitched	chr3	46130475	46154064	5	15389	26457.4224	301	1
8_MACS_peak_13968_lociStitched	chr17	27262012	27280384	8	15510	26407.9128	302	1
1_MACS_peak_18290_lociStitched	chr2	5835288	5842176	1	6889	26285.2968	303	1
