REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
7_MACS_peak_4449_lociStitched	chr10	80999083	81028550	7	26538	59160.8959	47	1	ZMIZ1		PPIF	PPIF	NONE	47	1
5_MACS_peak_24807_lociStitched	chr3	141079388	141113771	5	29685	58822.4364	48	1	ZBTB38		ZBTB38	ZBTB38	0.8304	48	1
10_MACS_peak_8036_lociStitched	chr12	109006646	109036250	10	26332	58681.0488	49	1	SELPLG	TMEM119	SELPLG	SELPLG	2.3716	49	1
8_MACS_peak_25187_lociStitched	chr3	183224388	183260290	8	26437	57590.3982	50	1	KLHL6		KLHL6	KLHL6	1.1147	50	1
6_MACS_peak_14893_lociStitched	chr17	62150990	62187059	6	33809	56996.2338	51	1	ERN1	SNORD104,SNORA76	ERN1	SNORA76	1.2625	51	1
7_MACS_peak_15263_lociStitched	chr17	76709915	76755679	7	37289	56843.4644	52	1	CYTH1		CYTH1	CYTH1	0.7035	52	1
8_MACS_peak_4909_lociStitched	chr10	112599965	112636424	8	23334	56617.1811	53	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.4592	53	1
6_MACS_peak_17050_lociStitched	chr19	19042064	19065042	6	20028	56197.2946	54	1	HOMER3	DDX49,GDF1,COPE	HOMER3	HOMER3	1.2849	54	1
5_MACS_peak_7337_lociStitched	chr12	48191674	48215019	5	20528	55386.0125	55	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.2677	55	1
2_MACS_peak_3354_lociStitched	chr1	228744052	228783700	2	39475	55352.5728	56	1	DUSP5P		DUSP5P	DUSP5P	0.6926	56	1
6_MACS_peak_22561_lociStitched	chr22	23219781	23250702	6	27941	55339.3137	57	1	IGLL5		IGLL5	IGLL5	1.8048	57	1
7_MACS_peak_23837_lociStitched	chr3	45582219	45617877	7	28460	54670.8456	58	1	LARS2	LIMD1	LIMD1	LIMD1	0.764	58	1
6_MACS_peak_22232_lociStitched	chr21	44843864	44877128	6	21580	54047.3472	59	1	C21orf125,SIK1	C21orf84	C21orf125	C21orf125	0.9245	59	1
4_MACS_peak_17409_lociStitched	chr19	39880597	39904446	4	18196	54020.3699	60	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.31	60	1
8_MACS_peak_22902_lociStitched	chr22	37610001	37647002	8	29945	53547.8472	61	1	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.384	61	1
1_MACS_peak_20390_lociStitched	chr2	201978795	201998510	1	19716	53323.1605	62	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.042	62	1
5_MACS_peak_2460_lociStitched	chr1	161409224	161442579	5	24490	53231.2445	63	1		FCGR2A	FCGR2A	FCGR2A	0.1493	63	1
3_MACS_peak_14599_lociStitched	chr17	46123603	46142888	3	19231	53120.5325	64	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	NFE2L1	2.3277	64	1
5_MACS_peak_12217_lociStitched	chr16	12043202	12073865	5	25943	52838.4816	65	1	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	2.6201	65	1
3_MACS_peak_18408_lociStitched	chr2	11882821	11904902	3	18202	52773.59	66	1	LPIN1		LPIN1	LPIN1	0.6868	66	1
10_MACS_peak_8384_lociStitched	chr12	123344670	123387093	10	33602	52625.7315	67	1	HIP1R,VPS37B		VPS37B	VPS37B	1.228	67	1
12_MACS_peak_32125_lociStitched	chr7	132170183	132222247	12	38036	52225.3984	68	1	PLXNA4		PLXNA4	PLXNA4	0.2568	68	1
5_MACS_peak_25081_lociStitched	chr3	171803136	171828962	5	23726	51954.1642	69	1	FNDC3B		FNDC3B	FNDC3B	0.4707	69	1
6_MACS_peak_14639_lociStitched	chr17	47814307	47842569	6	24238	51889.032	70	1	FAM117A	MYST2,SLC35B1	FAM117A	FAM117A	0.9741	70	1
7_MACS_peak_10633_lociStitched	chr15	40329988	40367804	7	20574	51429.76	71	1	SRP14	BMF	SRP14	BMF	1.4463	71	1
7_MACS_peak_10806_lociStitched	chr15	45001743	45030091	7	22006	51239.01	72	1	B2M,TRIM69	SPG11,PATL2	B2M	B2M	1.3406	72	1
4_MACS_peak_31793_lociStitched	chr7	102063382	102088703	4	22359	50930.6594	73	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.0631	73	1
3_MACS_peak_13316_lociStitched	chr16	87883187	87906062	3	21943	50265.525	74	1	SLC7A5		SLC7A5	SLC7A5	1.1273	74	1
2_MACS_peak_27798_lociStitched	chr5	131745136	131766303	2	17939	49943.5365	75	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.173	75	1
1_MACS_peak_22216_lociStitched	chr21	44725204	44736078	1	10875	49677.869	76	1			SIK1	SIK1	1.0404	76	1
9_MACS_peak_29527_lociStitched	chr6	52376569	52423340	9	33345	49577.26	77	1	TRAM2		TRAM2	TRAM2	0.9323	77	1
6_MACS_peak_2900_lociStitched	chr1	203254852	203281373	6	20388	49281.3222	78	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	1.8689	78	1
7_MACS_peak_10641_lociStitched	chr15	40380263	40409363	7	22699	49138.26	79	1	BMF	BUB1B,SRP14	BMF	BMF	1.4463	79	1
1_MACS_peak_2250_lociStitched	chr1	154970314	154979994	1	9681	49035.976	80	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	ZBTB7B	2.246	80	1
1_MACS_peak_14488_lociStitched	chr17	43296479	43309626	1	13148	48764.8524	81	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.6148	81	1
8_MACS_peak_6029_lociStitched	chr11	65332397	65363264	8	19337	48600.0915	82	1	SSSCA1,FAM89B,EHBP1L1,KCNK7	SCYL1,PCNXL3,SIPA1,LTBP3,MAP3K11	EHBP1L1	EHBP1L1	1.6183	82	1
10_MACS_peak_16331_lociStitched	chr19	4367843	4407599	10	23455	47941.7604	83	1	CHAF1A,SH3GL1	MPND,STAP2,UBXN6	SH3GL1	SH3GL1	0.9756	83	1
5_MACS_peak_15162_lociStitched	chr17	74475302	74503100	5	19884	47765.3034	84	1	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	1.2578	84	1
4_MACS_peak_9272_lociStitched	chr14	23017118	23040543	4	22645	47676.9025	85	1	DAD1	ABHD4	DAD1	DAD1	0.7997	85	1
2_MACS_peak_34805_lociStitched	chr9	112903921	112925286	2	21299	47374.751	86	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.6264	86	1
3_MACS_peak_21591_lociStitched	chr20	45963617	45990421	3	20573	46464.734	87	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.5376	87	1
5_MACS_peak_12112_lociStitched	chr16	9029606	9058543	5	27588	45879.6135	88	1	USP7		USP7	USP7	0.6655	88	1
4_MACS_peak_23844_lociStitched	chr3	45633873	45661617	4	27154	45877.4784	89	1	LIMD1		LIMD1	LIMD1	0.764	89	1
4_MACS_peak_32184_lociStitched	chr7	137663244	137688092	4	17819	45402.2656	90	1	CREB3L2		CREB3L2	CREB3L2	0.4871	90	1
4_MACS_peak_21707_lociStitched	chr20	52188756	52211972	4	22299	45326.9184	91	1	ZNF217		ZNF217	ZNF217	1.148	91	1
4_MACS_peak_34000_lociStitched	chr9	700319	725879	4	20887	44783.676	92	1	KANK1		KANK1	KANK1	0.3889	92	1
5_MACS_peak_15056_lociStitched	chr17	72732497	72758193	5	21872	44754.7232	93	1	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.275	93	1
10_MACS_peak_35083_lociStitched	chr9	130667286	130707014	10	24585	44682.0816	94	1	ST6GALNAC4,PIP5KL1,DPM2,FAM102A	AK1,ST6GALNAC6	PIP5KL1	PIP5KL1	1.3003	94	1
5_MACS_peak_24666_lociStitched	chr3	129019128	129048744	5	20853	44643.1584	95	1	C3orf37,C3orf47,H1FX		C3orf47	C3orf47	1.6625	95	1
1_MACS_peak_2355_lociStitched	chr1	156709366	156723132	1	13767	43843.3334	96	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	HDGF	HDGF	2.2825	96	1
4_MACS_peak_6623_lociStitched	chr11	115041532	115082212	4	36283	43824.564	97	1	CADM1		CADM1	CADM1	0.1945	97	1
1_MACS_peak_2348_lociStitched	chr1	156626888	156638518	1	11631	43796.254	98	1	BCAN	HAPLN2,BCAN,NES,CRABP2	NES	BCAN	1.3505	98	1
1_MACS_peak_11350_lociStitched	chr15	75334079	75343037	1	8959	43795.662	99	1	PPCDC	SCAMP5	PPCDC	PPCDC	1.4497	99	1
3_MACS_peak_22209_lociStitched	chr21	44580435	44598092	3	12990	43784.0629	100	1	CRYAA		CRYAA	CRYAA	1.7777	100	1
3_MACS_peak_12582_lociStitched	chr16	30193885	30213154	3	15330	43655.8464	101	1	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B	LOC613037	CORO1A	CORO1A	1.9877	101	1
2_MACS_peak_16571_lociStitched	chr19	10328517	10342962	2	10548	43628.2335	102	1	MIR4322,S1PR2	MRPL4,ICAM1,DNMT1	MIR4322	MIR4322	1.3344	102	1
4_MACS_peak_5968_lociStitched	chr11	64611367	64634713	4	16999	43589.3166	103	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2	CDC42BPG	MEN1	0.3599	103	1
6_MACS_peak_6017_lociStitched	chr11	65221869	65247664	6	20303	43438.78	104	1		NEAT1,MIR612,MALAT1,SCYL1	MIR612	NEAT1	3.8338	104	1
11_MACS_peak_19265_lociStitched	chr2	86108062	86152419	11	25247	43319.0462	105	1	ST3GAL5	ST3GAL5	ST3GAL5	ST3GAL5	0.9873	105	1
5_MACS_peak_2303_lociStitched	chr1	155940207	155961857	5	15309	43271.855	106	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	2.1767	106	1
8_MACS_peak_5389_lociStitched	chr11	10314768	10344834	8	20035	43126.6704	107	1	ADM,SBF2		ADM	ADM	2.2414	107	1
1_MACS_peak_2646_lociStitched	chr1	178540979	178552527	1	11549	43117.9224	108	1		C1orf220	C1orf220	C1orf220	0.8402	108	1
3_MACS_peak_28557_lociStitched	chr6	388069	411357	3	20438	42596.0808	109	1	IRF4		IRF4	IRF4	1.473	109	1
6_MACS_peak_26869_lociStitched	chr5	6475501	6498309	6	21078	42587.0976	110	1	UBE2QL1		UBE2QL1	UBE2QL1	1.3535	110	1
16_MACS_peak_26966_lociStitched	chr5	24247865	24295982	16	37000	42463.2525	111	1			CDH10	CDH10	NONE	111	1
2_MACS_peak_27150_lociStitched	chr5	53812499	53832082	2	19370	42422.6529	112	1	SNX18		SNX18	SNX18	1.2198	112	1
5_MACS_peak_21725_lociStitched	chr20	52530703	52559907	5	20542	42299.0736	113	1		SUMO1P1	SUMO1P1	SUMO1P1	0.3639	113	1
3_MACS_peak_14700_lociStitched	chr17	48979246	48997941	3	13865	42237.6135	114	1		TOB1	TOB1	TOB1	1.8026	114	1
5_MACS_peak_2191_lociStitched	chr1	153929015	153951461	5	16504	42185.0124	115	1	CREB3L4,CRTC2,SLC39A1,JTB	RPS27,GATAD2B,DENND4B,RAB13	SLC39A1	SLC39A1	1.7681	115	1
4_MACS_peak_16239_lociStitched	chr19	2606071	2622661	4	15554	41783.574	116	1	GNG7		GNG7	GNG7	0.6345	116	1
5_MACS_peak_22550_lociStitched	chr22	23141909	23165950	5	21221	41720.7514	117	1	MIR650		MIR650	MIR650	1.5613	117	1
5_MACS_peak_31849_lociStitched	chr7	104633489	104659306	5	14931	41697.0367	118	1	MLL5,LOC100216545		LOC100216545	LOC100216545	2.6552	118	1
6_MACS_peak_11174_lociStitched	chr15	68476398	68504120	6	22255	41303.0078	119	1	PIAS1,CALML4,CLN6		CALML4	CALML4	1.5756	119	1
10_MACS_peak_11321_lociStitched	chr15	75063533	75085968	10	18484	41217.582	120	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.3372	120	1
1_MACS_peak_33482_lociStitched	chr8	103815143	103828738	1	13596	40765.967	121	1		AZIN1	AZIN1	AZIN1	0.3389	121	1
7_MACS_peak_16206_lociStitched	chr19	2254050	2274853	7	14816	40686.5074	122	1	OAZ1,JSRP1,C19orf35	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,LINGO3	OAZ1	OAZ1	1.6487	122	1
2_MACS_peak_1950_lociStitched	chr1	144921600	144938775	2	13640	40548.4575	123	1	PDE4DIP		PDE4DIP	PDE4DIP	0.5664	123	1
3_MACS_peak_25831_lociStitched	chr4	40193673	40212331	3	18444	40394.57	124	1	RHOH		RHOH	RHOH	0.8393	124	1
4_MACS_peak_18734_lociStitched	chr2	38814808	38839277	4	18949	40376.2969	125	1	HNRPLL		HNRPLL	HNRPLL	0.8645	125	1
11_MACS_peak_28133_lociStitched	chr5	150502776	150538126	11	24267	40150.53	126	1	ANXA6	TNIP1	ANXA6	ANXA6	0.6712	126	1
8_MACS_peak_31280_lociStitched	chr7	55611482	55642002	8	22943	40146.008	127	1	VOPP1		VOPP1	VOPP1	1.0508	127	1
5_MACS_peak_14659_lociStitched	chr17	48224675	48249956	5	17330	39931.3395	128	1	SGCA,PPP1R9B,HILS1	SAMD14,COL1A1	SGCA	SGCA	0.769	128	1
3_MACS_peak_14289_lociStitched	chr17	38251202	38270620	3	19268	39783.5984	129	1	NR1D1	THRA,MSL1,CASC3,MED24	NR1D1	NR1D1	1.4405	129	1
5_MACS_peak_2443_lociStitched	chr1	161134806	161163453	5	19488	39615.9363	130	1	USP21,PPOX,B4GALT3,ADAMTS4	NIT1,UFC1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	1.5231	130	1
8_MACS_peak_8133_lociStitched	chr12	111862081	111889936	8	25592	39158.559	131	1	SH2B3		SH2B3	SH2B3	1.0501	131	1
1_MACS_peak_22161_lociStitched	chr21	43476609	43487106	1	10498	38636.3079	132	1	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	0.8416	132	1
7_MACS_peak_8449_lociStitched	chr12	125389000	125413106	7	17989	38627.4544	133	1	UBC	SCARB1	UBC	UBC	1.7932	133	1
12_MACS_peak_13206_lociStitched	chr16	81741527	81786656	12	25604	38517.6015	134	1	CMIP	PLCG2	PLCG2	PLCG2	0.4201	134	1
7_MACS_peak_9993_lociStitched	chr14	81929840	81955732	7	22138	38258.0192	135	1	SEL1L		SEL1L	SEL1L	0.668	135	1
5_MACS_peak_23869_lociStitched	chr3	46317470	46345444	5	25269	38067.0192	136	1		CCR3,CCR2	CCR3	CCR2	2.0596	136	1
4_MACS_peak_26832_lociStitched	chr5	1311444	1330382	4	14148	37857.062	137	1	CLPTM1L	TERT	CLPTM1L	CLPTM1L	1.3971	137	1
2_MACS_peak_16169_lociStitched	chr19	1646702	1655904	2	7739	37790.7736	138	1	TCF3	UQCR11	TCF3	UQCR11	1.1063	138	1
6_MACS_peak_22266_lociStitched	chr21	45552069	45580959	6	20074	37767.897	139	1	C21orf33	PWP2	C21orf33	C21orf33	1.1279	139	1
3_MACS_peak_3348_lociStitched	chr1	228665931	228680047	3	11534	37723.5984	140	1	RNF187	HIST3H2BB,HIST3H2A	RNF187	RNF187	1.8193	140	1
4_MACS_peak_12559_lociStitched	chr16	29815339	29837404	4	16087	37713.498	141	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.0534	141	1
7_MACS_peak_14091_lociStitched	chr17	32688721	32719456	7	23404	37656.522	142	1	CCL1	CCL8,CCL13	CCL1	CCL1	0.4139	142	1
3_MACS_peak_1224_lociStitched	chr1	51432445	51447848	3	14888	37302.9854	143	1	CDKN2C	FAF1	CDKN2C	CDKN2C	2.2625	143	1
8_MACS_peak_28124_lociStitched	chr5	150437387	150467423	8	23169	37301.7084	144	1	TNIP1	GPX3	TNIP1	TNIP1	0.6387	144	1
8_MACS_peak_543_lociStitched	chr1	24503132	24535055	8	19687	37263.7179	145	1	LOC284632,IL28RA	IL22RA1	IL28RA	IL28RA	0.7509	145	1
4_MACS_peak_17932_lociStitched	chr19	50422354	50441587	4	13216	37181.2356	146	1	ATF5,NUP62,IL4I1	TBC1D17,SIGLEC16,AKT1S1,IL4I1,SIGLEC11	ATF5	ATF5	1.6916	146	1
5_MACS_peak_4877_lociStitched	chr10	112165650	112186328	5	19304	37065.315	147	1			DUSP5	DUSP5	0.9096	147	1
2_MACS_peak_14899_lociStitched	chr17	62192694	62210978	2	18158	36992.1888	148	1	ERN1	SNORD104,SNORA76	ERN1	SNORA76	1.2625	148	1
3_MACS_peak_8352_lociStitched	chr12	122227168	122243314	3	12729	36895.2246	149	1	SETD1B,RHOF,LOC338799		RHOF	RHOF	0.4552	149	1
5_MACS_peak_10722_lociStitched	chr15	42064386	42093242	5	23145	36788.5144	150	1	MAPKBP1	JMJD7-PLA2G4B,PLA2G4B	MAPKBP1	MAPKBP1	0.7319	150	1
4_MACS_peak_28353_lociStitched	chr5	173159729	173178027	4	14531	36702.1284	151	1			BOD1	BOD1	NONE	151	1
6_MACS_peak_33656_lociStitched	chr8	126292349	126322548	6	28078	36528.7104	152	1	NSMCE2		TRIB1	TRIB1	1.5616	152	1
3_MACS_peak_2657_lociStitched	chr1	179048066	179063174	3	14927	36476.7552	153	1	TOR3A	ABL2	TOR3A	TOR3A	1.5844	153	1
9_MACS_peak_3018_lociStitched	chr1	206852592	206894090	9	22385	36223.6042	154	1	MAPKAPK2	DYRK3	MAPKAPK2	MAPKAPK2	0.6609	154	1
7_MACS_peak_9946_lociStitched	chr14	77487578	77510213	7	18442	36184.311	155	1	C14orf4		C14orf4	C14orf4	1.5804	155	1
6_MACS_peak_17538_lociStitched	chr19	42612802	42639831	6	18356	36040.4686	156	1	POU2F2,MIR4323	ZNF574,GRIK5	POU2F2	POU2F2	0.7218	156	1
1_MACS_peak_2241_lociStitched	chr1	154907726	154918490	1	10765	35903.322	157	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	MIR4258	2.0044	157	1
4_MACS_peak_20570_lociStitched	chr2	219741506	219763669	4	16142	35884.1133	158	1	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.5392	158	1
2_MACS_peak_15152_lociStitched	chr17	74257498	74270039	2	12401	35855.9731	159	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	2.287	159	1
1_MACS_peak_24812_lociStitched	chr3	141119122	141135802	1	16681	35708.544	160	1	ZBTB38		RASA2	RASA2	NONE	160	1
2_MACS_peak_13220_lociStitched	chr16	81840206	81858882	2	17320	35531.09	161	1	PLCG2		PLCG2	PLCG2	0.4201	161	1
2_MACS_peak_10865_lociStitched	chr15	51165426	51179117	2	12765	35526.7759	162	1		AP4E1	AP4E1	AP4E1	0.2092	162	1
5_MACS_peak_15194_lociStitched	chr17	75131027	75151833	5	19412	35497.1166	163	1	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.541	163	1
4_MACS_peak_3752_lociStitched	chr10	7510768	7535641	4	20884	35399.2536	164	1			SFMBT2	SFMBT2	NONE	164	1
6_MACS_peak_17792_lociStitched	chr19	48878723	48904466	6	20775	35352.8619	165	1	SYNGR4,GRIN2D,KDELR1	GRWD1,TMEM143	KDELR1	KDELR1	1.3652	165	1
