#U266_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/U266_H3K27ac_ROSE/U266_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by U266_jia.bam
#Using cutoff of 13745.6739 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam	enhancerRank	isStretch
1_MACS_peak_6023_lociStitched	chr11	65253713	65279171	1	25459	76715.1372	57	1
3_MACS_peak_25325_lociStitched	chr3	192593399	192619120	3	25274	60040.5303	58	1
5_MACS_peak_23869_lociStitched	chr3	46317470	46345444	5	25269	38067.0192	59	1
8_MACS_peak_16132_lociStitched	chr19	1237203	1277502	8	25253	65151.3933	60	1
11_MACS_peak_19265_lociStitched	chr2	86108062	86152419	11	25247	43319.0462	61	1
10_MACS_peak_35083_lociStitched	chr9	130667286	130707014	10	24585	44682.0816	62	1
5_MACS_peak_2460_lociStitched	chr1	161409224	161442579	5	24490	53231.2445	63	1
7_MACS_peak_35017_lociStitched	chr9	127609787	127643889	7	24317	63968.5316	64	1
11_MACS_peak_28133_lociStitched	chr5	150502776	150538126	11	24267	40150.53	65	1
6_MACS_peak_14639_lociStitched	chr17	47814307	47842569	6	24238	51889.032	66	1
5_MACS_peak_25081_lociStitched	chr3	171803136	171828962	5	23726	51954.1642	67	1
5_MACS_peak_19370_lociStitched	chr2	89130630	89161462	5	23513	29376.7296	68	1
10_MACS_peak_16331_lociStitched	chr19	4367843	4407599	10	23455	47941.7604	69	1
4_MACS_peak_30888_lociStitched	chr7	25979977	26011252	4	23416	82118.7675	70	1
5_MACS_peak_26137_lociStitched	chr4	90203768	90229579	5	23414	21990.972	71	1
7_MACS_peak_14091_lociStitched	chr17	32688721	32719456	7	23404	37656.522	72	1
8_MACS_peak_4909_lociStitched	chr10	112599965	112636424	8	23334	56617.1811	73	1
8_MACS_peak_28124_lociStitched	chr5	150437387	150467423	8	23169	37301.7084	74	1
5_MACS_peak_10722_lociStitched	chr15	42064386	42093242	5	23145	36788.5144	75	1
1_MACS_peak_2099_lociStitched	chr1	150531157	150554149	1	22993	88057.0608	76	1
8_MACS_peak_31280_lociStitched	chr7	55611482	55642002	8	22943	40146.008	77	1
7_MACS_peak_10641_lociStitched	chr15	40380263	40409363	7	22699	49138.26	78	1
4_MACS_peak_9272_lociStitched	chr14	23017118	23040543	4	22645	47676.9025	79	1
9_MACS_peak_3018_lociStitched	chr1	206852592	206894090	9	22385	36223.6042	80	1
4_MACS_peak_31793_lociStitched	chr7	102063382	102088703	4	22359	50930.6594	81	1
2_MACS_peak_14773_lociStitched	chr17	56404300	56430719	2	22354	95536.3878	82	1
4_MACS_peak_21707_lociStitched	chr20	52188756	52211972	4	22299	45326.9184	83	1
4_MACS_peak_14267_lociStitched	chr17	37909266	37935795	4	22273	59645.1507	84	1
6_MACS_peak_11174_lociStitched	chr15	68476398	68504120	6	22255	41303.0078	85	1
7_MACS_peak_9993_lociStitched	chr14	81929840	81955732	7	22138	38258.0192	86	1
4_MACS_peak_34892_lociStitched	chr9	117243194	117270552	4	22076	62288.6944	87	1
7_MACS_peak_10806_lociStitched	chr15	45001743	45030091	7	22006	51239.01	88	1
7_MACS_peak_23232_lociStitched	chr22	45093439	45118644	7	21985	34039.3525	89	1
11_MACS_peak_22219_lociStitched	chr21	44758499	44790017	11	21956	60457.8276	90	1
3_MACS_peak_13316_lociStitched	chr16	87883187	87906062	3	21943	50265.525	91	1
5_MACS_peak_15056_lociStitched	chr17	72732497	72758193	5	21872	44754.7232	92	1
6_MACS_peak_11088_lociStitched	chr15	65164222	65191013	6	21740	64226.0643	93	1
6_MACS_peak_22232_lociStitched	chr21	44843864	44877128	6	21580	54047.3472	94	1
2_MACS_peak_34805_lociStitched	chr9	112903921	112925286	2	21299	47374.751	95	1
5_MACS_peak_22550_lociStitched	chr22	23141909	23165950	5	21221	41720.7514	96	1
6_MACS_peak_26869_lociStitched	chr5	6475501	6498309	6	21078	42587.0976	97	1
4_MACS_peak_34000_lociStitched	chr9	700319	725879	4	20887	44783.676	98	1
4_MACS_peak_3752_lociStitched	chr10	7510768	7535641	4	20884	35399.2536	99	1
5_MACS_peak_24666_lociStitched	chr3	129019128	129048744	5	20853	44643.1584	100	1
6_MACS_peak_17792_lociStitched	chr19	48878723	48904466	6	20775	35352.8619	101	1
7_MACS_peak_10633_lociStitched	chr15	40329988	40367804	7	20574	51429.76	102	1
3_MACS_peak_21591_lociStitched	chr20	45963617	45990421	3	20573	46464.734	103	1
5_MACS_peak_21725_lociStitched	chr20	52530703	52559907	5	20542	42299.0736	104	1
5_MACS_peak_8488_lociStitched	chr12	129288276	129315942	5	20533	28711.7748	105	1
5_MACS_peak_7337_lociStitched	chr12	48191674	48215019	5	20528	55386.0125	106	1
3_MACS_peak_28557_lociStitched	chr6	388069	411357	3	20438	42596.0808	107	1
9_MACS_peak_16721_lociStitched	chr19	12885319	12918338	9	20401	60543.6384	108	1
6_MACS_peak_2900_lociStitched	chr1	203254852	203281373	6	20388	49281.3222	109	1
7_MACS_peak_23059_lociStitched	chr22	39823427	39848895	7	20339	35084.7168	110	1
6_MACS_peak_6017_lociStitched	chr11	65221869	65247664	6	20303	43438.78	111	1
7_MACS_peak_16889_lociStitched	chr19	16244294	16272490	7	20186	24778.6448	112	1
6_MACS_peak_22266_lociStitched	chr21	45552069	45580959	6	20074	37767.897	113	1
8_MACS_peak_5389_lociStitched	chr11	10314768	10344834	8	20035	43126.6704	114	1
6_MACS_peak_17050_lociStitched	chr19	19042064	19065042	6	20028	56197.2946	115	1
4_MACS_peak_28911_lociStitched	chr6	27093788	27116100	4	20024	30277.384	116	1
4_MACS_peak_33766_lociStitched	chr8	134068620	134089957	4	19914	25113.649	117	1
5_MACS_peak_15162_lociStitched	chr17	74475302	74503100	5	19884	47765.3034	118	1
7_MACS_peak_25267_lociStitched	chr3	186775351	186797648	7	19735	31349.582	119	1
1_MACS_peak_20390_lociStitched	chr2	201978795	201998510	1	19716	53323.1605	120	1
8_MACS_peak_543_lociStitched	chr1	24503132	24535055	8	19687	37263.7179	121	1
5_MACS_peak_9863_lociStitched	chr14	74219526	74244376	5	19615	31681.265	122	1
5_MACS_peak_2443_lociStitched	chr1	161134806	161163453	5	19488	39615.9363	123	1
5_MACS_peak_15194_lociStitched	chr17	75131027	75151833	5	19412	35497.1166	124	1
2_MACS_peak_27150_lociStitched	chr5	53812499	53832082	2	19370	42422.6529	125	1
8_MACS_peak_6029_lociStitched	chr11	65332397	65363264	8	19337	48600.0915	126	1
5_MACS_peak_4877_lociStitched	chr10	112165650	112186328	5	19304	37065.315	127	1
3_MACS_peak_14289_lociStitched	chr17	38251202	38270620	3	19268	39783.5984	128	1
3_MACS_peak_14599_lociStitched	chr17	46123603	46142888	3	19231	53120.5325	129	1
6_MACS_peak_32898_lociStitched	chr8	37736078	37762471	6	19063	26952.5316	130	1
4_MACS_peak_18734_lociStitched	chr2	38814808	38839277	4	18949	40376.2969	131	1
8_MACS_peak_5040_lociStitched	chr10	125824466	125854991	8	18935	33586.6575	132	1
4_MACS_peak_28157_lociStitched	chr5	151119735	151139017	4	18745	33822.5562	133	1
6_MACS_peak_12821_lociStitched	chr16	56964437	56985444	6	18741	25607.533	134	1
6_MACS_peak_6567_lociStitched	chr11	111229676	111251197	6	18733	23763.4882	135	1
2_MACS_peak_10323_lociStitched	chr14	103796951	103815697	2	18712	30284.163	136	1
2_MACS_peak_33781_lociStitched	chr8	134290300	134311030	2	18625	31559.352	137	1
9_MACS_peak_20307_lociStitched	chr2	197023272	197048989	9	18601	27154.5803	138	1
1_MACS_peak_6216_lociStitched	chr11	69452901	69471410	1	18510	32625.8143	139	1
10_MACS_peak_11321_lociStitched	chr15	75063533	75085968	10	18484	41217.582	140	1
3_MACS_peak_25831_lociStitched	chr4	40193673	40212331	3	18444	40394.57	141	1
7_MACS_peak_9946_lociStitched	chr14	77487578	77510213	7	18442	36184.311	142	1
5_MACS_peak_35074_lociStitched	chr9	130529014	130551217	5	18440	60505.3953	143	1
6_MACS_peak_17538_lociStitched	chr19	42612802	42639831	6	18356	36040.4686	144	1
5_MACS_peak_10095_lociStitched	chr14	91781672	91803269	5	18205	27153.9081	145	1
3_MACS_peak_18408_lociStitched	chr2	11882821	11904902	3	18202	52773.59	146	1
4_MACS_peak_17409_lociStitched	chr19	39880597	39904446	4	18196	54020.3699	147	1
2_MACS_peak_14899_lociStitched	chr17	62192694	62210978	2	18158	36992.1888	148	1
9_MACS_peak_32615_lociStitched	chr8	11271062	11303240	9	18116	27566.8926	149	1
6_MACS_peak_31158_lociStitched	chr7	44656599	44680573	6	18113	28895.8622	150	1
7_MACS_peak_14501_lociStitched	chr17	43502285	43531790	7	18080	29106.6825	151	1
7_MACS_peak_14144_lociStitched	chr17	34408522	34432846	7	18004	29991.492	152	1
7_MACS_peak_8449_lociStitched	chr12	125389000	125413106	7	17989	38627.4544	153	1
4_MACS_peak_15139_lociStitched	chr17	74167712	74190618	4	17946	28052.9782	154	1
2_MACS_peak_27798_lociStitched	chr5	131745136	131766303	2	17939	49943.5365	155	1
10_MACS_peak_21459_lociStitched	chr20	42336740	42365593	10	17905	23414.2095	156	1
8_MACS_peak_27831_lociStitched	chr5	132575605	132603564	8	17846	27276.8004	157	1
4_MACS_peak_32184_lociStitched	chr7	137663244	137688092	4	17819	45402.2656	158	1
7_MACS_peak_6826_lociStitched	chr11	128585767	128609711	7	17630	20079.4384	159	1
8_MACS_peak_12987_lociStitched	chr16	68270473	68300095	8	17621	32960.3994	160	1
10_MACS_peak_13771_lociStitched	chr17	17379857	17404849	10	17496	20203.5328	161	1
18_MACS_peak_26399_lociStitched	chr4	132645561	132685808	18	17422	19648.5854	162	1
5_MACS_peak_14659_lociStitched	chr17	48224675	48249956	5	17330	39931.3395	163	1
2_MACS_peak_13220_lociStitched	chr16	81840206	81858882	2	17320	35531.09	164	1
3_MACS_peak_20447_lociStitched	chr2	204568683	204586600	3	17231	22215.2883	165	1
5_MACS_peak_19260_lociStitched	chr2	86075355	86093890	5	17208	26729.3235	166	1
7_MACS_peak_22062_lociStitched	chr21	36578145	36608065	7	17195	30174.32	167	1
6_MACS_peak_12369_lociStitched	chr16	21512029	21532328	6	17154	31510.1377	168	1
4_MACS_peak_24210_lociStitched	chr3	69128192	69145732	4	17026	26967.75	169	1
4_MACS_peak_5968_lociStitched	chr11	64611367	64634713	4	16999	43589.3166	170	1
4_MACS_peak_27943_lociStitched	chr5	139011970	139033023	4	16760	31371.0753	171	1
8_MACS_peak_15221_lociStitched	chr17	76116284	76144300	8	16715	30083.5808	172	1
1_MACS_peak_24812_lociStitched	chr3	141119122	141135802	1	16681	35708.544	173	1
7_MACS_peak_5870_lociStitched	chr11	62357493	62383092	7	16576	34059.4695	174	1
5_MACS_peak_28304_lociStitched	chr5	171595382	171620757	5	16510	31393.95	175	1
5_MACS_peak_2191_lociStitched	chr1	153929015	153951461	5	16504	42185.0124	176	1
4_MACS_peak_2358_lociStitched	chr1	156761868	156787150	4	16363	31010.9012	177	1
5_MACS_peak_4059_lociStitched	chr10	43887253	43906206	5	16328	33181.0171	178	1
3_MACS_peak_35890_lociStitched	chrX	48767914	48784315	3	16326	25518.3159	179	1
10_MACS_peak_14154_lociStitched	chr17	34516276	34540004	10	16281	16139.7856	180	1
4_MACS_peak_20570_lociStitched	chr2	219741506	219763669	4	16142	35884.1133	181	1
3_MACS_peak_29581_lociStitched	chr6	56619091	56637973	3	16114	26495.2224	182	1
4_MACS_peak_12559_lociStitched	chr16	29815339	29837404	4	16087	37713.498	183	1
3_MACS_peak_33470_lociStitched	chr8	103658921	103676049	3	16069	33231.7456	184	1
2_MACS_peak_3482_lociStitched	chr1	234733479	234749623	2	16024	61222.8912	185	1
6_MACS_peak_14300_lociStitched	chr17	38465655	38484713	6	16015	20771.3142	186	1
6_MACS_peak_23071_lociStitched	chr22	39911136	39930955	6	15906	33022.4178	187	1
9_MACS_peak_12124_lociStitched	chr16	9162216	9193906	9	15888	33569.217	188	1
4_MACS_peak_13281_lociStitched	chr16	85631766	85648276	4	15855	27406.6	189	1
5_MACS_peak_18746_lociStitched	chr2	38946084	38969096	5	15819	26831.992	190	1
4_MACS_peak_620_lociStitched	chr1	26436499	26454180	4	15774	27693.7503	191	1
6_MACS_peak_23557_lociStitched	chr3	13449806	13470805	6	15747	27928.67	192	1
5_MACS_peak_35326_lociStitched	chr9	138467724	138486353	5	15703	28567.5715	193	1
5_MACS_peak_3798_lociStitched	chr10	12390001	12411609	5	15678	32809.5872	194	1
5_MACS_peak_27802_lociStitched	chr5	131791043	131815940	5	15599	21227.1822	195	1
4_MACS_peak_16239_lociStitched	chr19	2606071	2622661	4	15554	41783.574	196	1
6_MACS_peak_11424_lociStitched	chr15	78336379	78362640	6	15513	18167.3598	197	1
8_MACS_peak_13968_lociStitched	chr17	27262012	27280384	8	15510	26407.9128	198	1
3_MACS_peak_35893_lociStitched	chrX	48790698	48806369	3	15434	18728.4121	199	1
7_MACS_peak_4436_lociStitched	chr10	80851169	80868808	7	15433	17328.5536	200	1
5_MACS_peak_23861_lociStitched	chr3	46130475	46154064	5	15389	26457.4224	201	1
3_MACS_peak_29753_lociStitched	chr6	90054385	90070070	3	15353	25731.2425	202	1
3_MACS_peak_12582_lociStitched	chr16	30193885	30213154	3	15330	43655.8464	203	1
4_MACS_peak_18711_lociStitched	chr2	37869277	37885391	4	15318	25447.2288	204	1
13_MACS_peak_6998_lociStitched	chr12	7046110	7088407	13	15315	19917.6573	205	1
5_MACS_peak_2303_lociStitched	chr1	155940207	155961857	5	15309	43271.855	206	1
6_MACS_peak_22717_lociStitched	chr22	29206532	29225519	6	15306	26207.7561	207	1
6_MACS_peak_27614_lociStitched	chr5	109023752	109045373	6	15287	27856.4964	208	1
8_MACS_peak_984_lociStitched	chr1	40023991	40049752	8	15237	18766.8885	209	1
5_MACS_peak_30454_lociStitched	chr6	160388841	160410942	5	15182	24828.2634	210	1
8_MACS_peak_17066_lociStitched	chr19	19264556	19286651	8	15168	23049.504	211	1
3_MACS_peak_29446_lociStitched	chr6	44213242	44234183	3	15150	32678.4305	212	1
4_MACS_peak_745_lociStitched	chr1	28826860	28846304	4	15109	25745.8004	213	1
3_MACS_peak_32624_lociStitched	chr8	11308140	11326120	3	14994	32277.696	214	1
6_MACS_peak_19614_lociStitched	chr2	111612125	111634261	6	14975	26875.3176	215	1
1_MACS_peak_7607_lociStitched	chr12	57105145	57120091	1	14947	24565.2456	216	1
5_MACS_peak_31849_lociStitched	chr7	104633489	104659306	5	14931	41697.0367	217	1
3_MACS_peak_2657_lociStitched	chr1	179048066	179063174	3	14927	36476.7552	218	1
3_MACS_peak_1224_lociStitched	chr1	51432445	51447848	3	14888	37302.9854	219	1
2_MACS_peak_8034_lociStitched	chr12	108951883	108970218	2	14827	29506.5155	220	1
7_MACS_peak_16206_lociStitched	chr19	2254050	2274853	7	14816	40686.5074	221	1
5_MACS_peak_27526_lociStitched	chr5	95250221	95270425	5	14802	23436.64	222	1
4_MACS_peak_5864_lociStitched	chr11	62306223	62326537	4	14780	21882.2408	223	1
8_MACS_peak_4801_lociStitched	chr10	105224475	105245745	8	14750	22025.085	224	1
4_MACS_peak_33478_lociStitched	chr8	103793287	103810580	4	14739	30153.8041	225	1
1_MACS_peak_23875_lociStitched	chr3	46389733	46404465	1	14733	32251.2944	226	1
6_MACS_peak_15249_lociStitched	chr17	76337197	76357455	6	14707	27982.3754	227	1
6_MACS_peak_18242_lociStitched	chr2	1644296	1665081	6	14703	26151.687	228	1
8_MACS_peak_10421_lociStitched	chr14	106452740	106473342	8	14688	18125.6396	229	1
4_MACS_peak_16789_lociStitched	chr19	13943760	13961855	4	14659	34123.551	230	1
4_MACS_peak_21637_lociStitched	chr20	48284391	48305092	4	14658	21659.4563	231	1
4_MACS_peak_2296_lociStitched	chr1	155900520	155918841	4	14624	32908.1802	232	1
3_MACS_peak_31575_lociStitched	chr7	87548887	87565039	3	14616	23139.3552	233	1
10_MACS_peak_11947_lociStitched	chr16	2178204	2207097	10	14607	24743.9652	234	1
4_MACS_peak_4815_lociStitched	chr10	105445120	105466738	4	14583	33419.2662	235	1
3_MACS_peak_653_lociStitched	chr1	27018521	27034803	3	14568	33666.2914	236	1
4_MACS_peak_27057_lociStitched	chr5	32530376	32545589	4	14535	27810.8853	237	1
4_MACS_peak_28353_lociStitched	chr5	173159729	173178027	4	14531	36702.1284	238	1
8_MACS_peak_28509_lociStitched	chr5	180228484	180248976	8	14521	28582.2416	239	1
2_MACS_peak_7084_lociStitched	chr12	12866182	12881589	2	14516	24873.0608	240	1
6_MACS_peak_19376_lociStitched	chr2	89442070	89459891	6	14453	17703.3814	241	1
8_MACS_peak_30169_lociStitched	chr6	137071866	137097002	8	14395	15765.2992	242	1
7_MACS_peak_17368_lociStitched	chr19	39159852	39187066	7	14327	26762.2476	243	1
7_MACS_peak_23364_lociStitched	chr22	50963007	50984714	7	14290	23308.9766	244	1
5_MACS_peak_25372_lociStitched	chr3	195258222	195278321	5	14279	25803.0962	245	1
8_MACS_peak_32953_lociStitched	chr8	39963752	39979088	8	14259	9959.1984	246	1
8_MACS_peak_12400_lociStitched	chr16	22195213	22218978	8	14241	21324.3345	247	1
7_MACS_peak_26918_lociStitched	chr5	14211931	14229663	7	14193	15011.9112	248	1
4_MACS_peak_26832_lociStitched	chr5	1311444	1330382	4	14148	37857.062	249	1
3_MACS_peak_7627_lociStitched	chr12	57622036	57639856	3	14120	34975.314	250	1
5_MACS_peak_11971_lociStitched	chr16	2551034	2571765	5	14085	32667.9098	251	1
7_MACS_peak_24726_lociStitched	chr3	133181144	133199941	7	14047	18900.3835	252	1
4_MACS_peak_20725_lociStitched	chr2	233938760	233954027	4	14017	30708.0438	253	1
6_MACS_peak_14370_lociStitched	chr17	40713220	40740323	6	14007	28195.2509	254	1
13_MACS_peak_14169_lociStitched	chr17	34616957	34641467	13	13939	12725.592	255	1
5_MACS_peak_733_lociStitched	chr1	28558302	28578401	5	13907	30019.8664	256	1
6_MACS_peak_14363_lociStitched	chr17	40680947	40701131	6	13887	25498.4472	257	1
3_MACS_peak_33265_lociStitched	chr8	81045954	81061362	3	13873	18509.6304	258	1
8_MACS_peak_195_lociStitched	chr1	9460131	9489830	8	13873	23863.1465	259	1
3_MACS_peak_14700_lociStitched	chr17	48979246	48997941	3	13865	42237.6135	260	1
8_MACS_peak_22972_lociStitched	chr22	38609645	38629648	8	13863	20047.0066	261	1
2_MACS_peak_30951_lociStitched	chr7	29712665	29726523	2	13845	27454.0838	262	1
4_MACS_peak_21999_lociStitched	chr21	34599775	34614529	4	13780	33436.9902	263	1
8_MACS_peak_35632_lociStitched	chrX	19864895	19887436	8	13780	15156.5684	264	1
1_MACS_peak_2355_lociStitched	chr1	156709366	156723132	1	13767	43843.3334	265	1
6_MACS_peak_5940_lociStitched	chr11	63992689	64019603	6	13746	27360.7724	266	1
4_MACS_peak_7155_lociStitched	chr12	26266048	26280177	4	13740	17261.3993	267	1
3_MACS_peak_633_lociStitched	chr1	26632248	26649006	3	13725	23493.0402	268	1
5_MACS_peak_33663_lociStitched	chr8	126340171	126356023	5	13708	20631.378	269	1
4_MACS_peak_12242_lociStitched	chr16	14486577	14502457	4	13690	24537.776	270	1
3_MACS_peak_33788_lociStitched	chr8	134508424	134522531	3	13649	21239.4992	271	1
2_MACS_peak_1950_lociStitched	chr1	144921600	144938775	2	13640	40548.4575	272	1
3_MACS_peak_22652_lociStitched	chr22	24819373	24834134	3	13599	30162.6274	273	1
1_MACS_peak_33482_lociStitched	chr8	103815143	103828738	1	13596	40765.967	274	1
4_MACS_peak_25682_lociStitched	chr4	10094675	10112034	4	13576	20268.3684	275	1
2_MACS_peak_18317_lociStitched	chr2	8651694	8667176	2	13558	24747.977	276	1
6_MACS_peak_19106_lociStitched	chr2	70330304	70353779	6	13557	25148.7675	277	1
3_MACS_peak_15542_lociStitched	chr18	9060443	9074678	3	13531	26277.81	278	1
1_MACS_peak_3292_lociStitched	chr1	226839255	226852784	1	13530	29265.9328	279	1
7_MACS_peak_32324_lociStitched	chr7	147899011	147916736	7	13524	13706.7425	280	1
4_MACS_peak_36526_lociStitched	chrX	152973708	152994638	4	13516	23847.642	281	1
7_MACS_peak_5077_lociStitched	chr10	128109526	128129724	7	13493	16588.6174	282	1
1_MACS_peak_23187_lociStitched	chr22	43057511	43071000	1	13490	24826.5045	283	1
5_MACS_peak_27445_lociStitched	chr5	87954708	87976555	5	13486	28510.335	284	1
4_MACS_peak_4289_lociStitched	chr10	73619245	73635239	4	13475	29230.6344	285	1
3_MACS_peak_12183_lociStitched	chr16	11665630	11682148	3	13437	22452.9174	286	1
6_MACS_peak_27515_lociStitched	chr5	95143216	95162073	6	13430	18877.7427	287	1
2_MACS_peak_3403_lociStitched	chr1	230256025	230270534	2	13426	20594.0746	288	1
1_MACS_peak_19772_lociStitched	chr2	127412778	127426192	1	13415	34563.8538	289	1
5_MACS_peak_17413_lociStitched	chr19	39920777	39939446	5	13397	20345.4762	290	1
6_MACS_peak_34005_lociStitched	chr9	746624	764823	6	13347	18408.2885	291	1
4_MACS_peak_25881_lociStitched	chr4	48191834	48207578	4	13340	20868.672	292	1
7_MACS_peak_12921_lociStitched	chr16	67189053	67218674	7	13336	25420.7422	293	1
4_MACS_peak_15903_lociStitched	chr18	55089370	55109212	4	13331	18274.482	294	1
4_MACS_peak_327_lociStitched	chr1	15726364	15744603	4	13329	23783.656	295	1
6_MACS_peak_16431_lociStitched	chr19	6765941	6789335	6	13301	25445.6538	296	1
1_MACS_peak_22716_lociStitched	chr22	29185965	29199229	1	13265	27993.672	297	1
4_MACS_peak_23423_lociStitched	chr3	5227204	5242093	4	13255	22716.1473	298	1
6_MACS_peak_33583_lociStitched	chr8	120915273	120933473	6	13238	13395.2	299	1
3_MACS_peak_26865_lociStitched	chr5	6445985	6460822	3	13226	32021.2134	300	1
4_MACS_peak_17932_lociStitched	chr19	50422354	50441587	4	13216	37181.2356	301	1
5_MACS_peak_27685_lociStitched	chr5	118668296	118683975	5	13165	20241.589	302	1
4_MACS_peak_11314_lociStitched	chr15	74906146	74924479	4	13149	27673.6635	303	1
