GENE_ID	locusLine	bin_1_NCI-H929.jin.bam
NM_001040217	chr1(.):150964300-150984385	1.5776
NM_138278	chr1(.):151004028-151025076	0.2485
NM_017860	chr1(.):151015258-151028871	0.4032
NM_005620	chr1(.):151999981-152014511	0.9815
NM_002966	chr1(.):151950385-151971714	0.2803
NM_001008536	chr1(.):152051619-152066540	0.1001
NM_005988	chr1(.):153023595-153034988	0.2175
NM_005416	chr1(.):152969222-152981332	0.1112
NM_003125	chr1(.):152998678-153010376	0.1347
NM_006945	chr1(.):153007200-153018594	0.2724
NM_001017418	chr1(.):153037717-153049084	0.0866
NM_001024209	chr1(.):153060610-153072001	0.095
NM_002960	chr1(.):153514808-153526734	0.8185
NM_005978	chr1(.):153528584-153543306	1.3487
NM_014624	chr1(.):153502075-153513717	1.0435
NM_002962	chr1(.):153504622-153519241	1.3825
NM_019554	chr1(.):153511094-153523282	0.975
NM_002961	chr1(.):153511097-153523282	0.9752
NM_024330	chr1(.):153742767-153757633	1.4401
NM_014437	chr1(.):153926587-153945188	2.1744
NM_130898	chr1(.):153935396-153951832	2.8759
NM_181715	chr1(.):153915151-153936043	2.3578
NM_006694	chr1(.):153941744-153955451	1.0689
NM_002870	chr1(.):153949127-153963806	1.7589
NM_014856	chr1(.):153896976-153924154	1.4889
NM_001030	chr1(.):153958238-153969631	1.3296
NM_006556	chr1(.):154892207-154914484	3.1808
NM_001130041	chr1(.):154929773-154951959	3.3841
NM_001130040	chr1(.):154929773-154948223	3.9574
NM_201398	chr1(.):154950769-154970587	0.4402
NM_015872	chr1(.):154970111-154995999	2.1149
NM_207196	chr1(.):155018761-155040252	0.6946
NM_018655	chr1(.):154961061-154971791	0.5579
NM_001143687	chr1(.):155001281-155028406	0.4222
NR_024163	chr1(.):154942117-154956725	2.9052
NM_144622	chr1(.):154986002-155011257	0.2574
NM_138300	chr1(.):154924501-154939258	3.8875
NR_036212	chr1(.):154943168-154953259	3.2915
NM_001018017	chr1(.):155153299-155167700	2.0901
NM_198883	chr1(.):155173489-155188624	1.8313
NM_018973	chr1(.):155107366-155117883	2.5274
NM_153741	chr1(.):155107366-155117996	2.5015
NM_173852	chr1(.):155136883-155150804	1.0633
NM_007112	chr1(.):155160378-155182690	2.3669
NM_001122837	chr1(.):155103287-155116334	2.1209
NM_025058	chr1(.):155141359-155162445	0.9606
NR_030281	chr1(.):155159967-155170063	2.533
NM_001005742	chr1(.):155199238-155219653	0.969
NM_001171812	chr1(.):155199238-155216066	1.1392
NM_000157	chr1(.):155199238-155216069	1.139
NM_006912	chr1(.):155862600-155886177	0.2451
NM_001162384	chr1(.):155911629-155953336	1.759
NM_181885	chr1(.):155906479-155917625	1.9944
NM_004723	chr1(.):155911629-155952966	1.768
NM_014949	chr1(.):155877835-155909188	0.557
NR_002974	chr1(.):155884699-155894833	0.0883
NR_003005	chr1(.):155890748-155900877	0.1155
NM_001093725	chr1(.):156036803-156056789	0.2376
NM_003145	chr1(.):155973838-155995758	0.803
NM_198406	chr1(.):156208208-156222792	0.9108
NM_014655	chr1(.):156158729-156187587	1.3548
NM_007221	chr1(.):156177783-156214833	1.605
NM_022367	chr1(.):156118321-156152542	1.1014
NM_001193302	chr1(.):156118368-156152542	1.0961
NM_199173	chr1(.):156206950-156218112	1.133
NM_024897	chr1(.):156208206-156222843	0.908
NM_001193301	chr1(.):156114734-156152542	1.1538
NM_005920	chr1(.):156428518-156475529	2.4822
NM_198427	chr1(.):156606739-156628264	0.348
NM_021817	chr1(.):156584085-156600517	0.1814
NM_021948	chr1(.):156606739-156634320	2.9116
NM_004494	chr1(.):156706898-156726543	3.2138
NM_001126051	chr1(.):156706898-156727024	3.1397
NM_001126050	chr1(.):156706898-156727240	3.1075
NM_030980	chr1(.):156687412-156702705	1.7479
NM_001878	chr1(.):156664407-156680375	0.1712
NM_001142560	chr1(.):156693262-156711752	2.2177
NM_145729	chr1(.):156702093-156715923	1.2438
NM_006617	chr1(.):156633555-156652189	3.2981
NR_001560	chr1(.):157093153-157103463	0.1845
NM_005240	chr1(.):157097975-157113177	1.3925
NM_001145312	chr1(.):157089458-157113383	0.9268
NM_031281	chr1(.):157478166-157527310	0.8253
NM_052938	chr1(.):157759193-157794940	0.4989
NM_030764	chr1(.):157710522-157751922	0.4701
NM_003564	chr1(.):159882902-159900284	2.7941
NM_001013661	chr1(.):159819105-159837447	0.8369
NM_012337	chr1(.):159837153-159874906	0.4891
NM_001146172	chr1(.):159916281-159929044	0.0945
NM_001778	chr1(.):160643535-160686585	0.5462
NM_021181	chr1(.):160704076-160729601	0.3068
NM_030916	chr1(.):161035780-161064385	0.6911
NM_007122	chr1(.):161004040-161020757	1.8653
NM_001113205	chr1(.):161002421-161013774	0.5613
NR_033385	chr1(.):161063150-161075138	0.2636
NM_181720	chr1(.):161011731-161044760	1.3921
NM_016946	chr1(.):160960000-160996133	0.6125
NM_001077470	chr1(.):161194455-161213000	0.9025
NM_001039711	chr1(.):161085768-161107478	1.3986
NM_016406	chr1(.):161118533-161133646	1.9967
NM_004550	chr1(.):161164104-161189184	0.8279
NM_000309	chr1(.):161131180-161146010	1.0258
NM_001643	chr1(.):161187082-161198418	1.5832
NM_001185094	chr1(.):161082907-161095984	1.1246
NM_003779	chr1(.):161136100-161152314	2.8719
NM_012475	chr1(.):161124253-161140516	1.3584
NM_001039712	chr1(.):161085768-161107256	1.4126
NM_005600	chr1(.):161082861-161095984	1.1207
NM_001185093	chr1(.):161082906-161095984	1.1245
NM_032174	chr1(.):161190832-161205407	1.1539
NM_001166159	chr1(.):161166936-161189184	0.8818
NM_005099	chr1(.):161154537-161173845	2.6136
NM_004106	chr1(.):161180086-161194038	0.362
NM_001184872	chr1(.):161671761-161689142	0.3166
NM_001002901	chr1(.):161687456-161702933	1.7104
NM_007240	chr1(.):161714580-161731952	0.9965
NM_003115	chr1(.):162526295-162574633	1.6149
NM_198053	chr1(.):167394876-167492847	0.3855
NM_181093	chr1(.):169816803-169868076	0.679
NM_001127181	chr1(.):173763687-173798777	0.6279
NM_001171182	chr1(.):173763687-173798270	0.6366
NM_001122770	chr1(.):173832492-173860774	1.097
NR_003943	chr1(.):173830448-173840509	3.0495
NR_003942	chr1(.):173830772-173840853	3.0458
NR_003941	chr1(.):173831016-173841076	3.0321
NR_003940	chr1(.):173828970-173839041	3.0168
NR_003939	chr1(.):173829487-173839568	3.0189
NR_002579	chr1(.):173831811-173841883	2.9884
NR_003938	chr1(.):173828312-173838355	2.9966
NR_002750	chr1(.):173830105-173840166	3.0444
NR_002746	chr1(.):173828506-173838583	3.0094
NM_000488	chr1(.):173867941-173891516	0.1009
NR_003944	chr1(.):173829770-173839824	3.0346
NM_032522	chr1(.):173832492-173847778	1.9505
NR_037605	chr1(.):173827385-173838079	2.7241
NR_002578	chr1(.):173828038-173842125	2.2168
NM_022371	chr1(.):179046111-179070129	1.3389
NM_001195216	chr1(.):197698138-197749623	0.4447
NM_005298	chr1(.):200837165-200848251	0.4041
NM_018265	chr1(.):200855638-200889864	0.6093
NM_001142569	chr1(.):200858998-200889864	0.5281
NM_017596	chr1(.):200933519-200997828	0.3222
NR_034150	chr1(.):203262885-203279453	1.8115
NM_006763	chr1(.):203269663-203283729	1.6008
NM_002023	chr1(.):203304751-203325289	0.0585
NM_002646	chr1(.):204386757-204464474	0.1545
NM_002393	chr1(.):204480510-204532248	0.5263
NM_030952	chr1(.):205266190-205295883	0.2392
NM_001004023	chr1(.):206803880-206827542	0.1193
NM_006893	chr1(.):206759973-206790904	0.1859
NM_182665	chr1(.):206725491-206767616	0.7317
NM_032960	chr1(.):206853288-206912626	0.7939
NM_000572	chr1(.):206935947-206950839	0.5493
NM_013371	chr1(.):206997221-207021325	0.1542
NM_153758	chr1(.):206967214-207021324	0.5286
NR_026817	chr1(.):207986723-208000941	1.1034
NR_029832	chr1(.):207970196-207980284	0.1006
NR_029518	chr1(.):207970787-207980868	0.0992
NM_001748	chr1(.):223895118-223968720	0.2597
NM_001146068	chr1(.):223884294-223968720	0.2378
NM_001172425	chr1(.):226119297-226134083	1.7659
NM_013328	chr1(.):226102579-226116965	0.9412
NM_033445	chr1(.):228640064-228650560	0.8073
NM_001010858	chr1(.):228670067-228688889	1.1552
NM_175055	chr1(.):228640807-228651259	0.7852
NR_002834	chr1(.):228775656-228793159	0.2689
NM_182972	chr1(.):234735014-234750271	3.5395
NR_033927	chr1(.):234760056-234775526	0.0369
NM_001012970	chr1(.):244510936-244557393	0.0661
NM_001083590	chr2(.):27250773-27269565	0.2987
NM_138394	chr2(.):38785327-38835178	1.3763
NM_020458	chr2(.):47163312-47308275	0.3148
NR_033872	chr2(.):70184394-70319147	0.4347
NM_032827	chr2(.):85975908-86023506	0.0821
NR_015395	chr2(.):112119590-112257692	0.6191
NR_024373	chr2(.):112181885-112257692	1.064
NM_001099289	chr2(.):109740996-110267207	0.2027
NM_015488	chr2(.):219130114-219216516	0.1894
NM_022152	chr2(.):219133916-219162280	0.4208
NM_001012514	chr2(.):231724620-231748963	0.3706
NM_001037131	chr2(.):236397735-237039120	0.1001
NM_004850	chr2(.):11316777-11489711	0.0754
NM_145693	chr2(.):11881739-11972533	0.4152
NM_183360	chr2(.):25595111-25901503	0.1712
NM_175630	chr2(.):25499320-25570459	0.2476
NM_022552	chr2(.):25450844-25569774	0.1734
NM_170672	chr2(.):33656415-33794798	0.2185
NM_019024	chr2(.):37203152-37316485	0.071
NM_006449	chr2(.):37865742-37904326	0.615
NM_138801	chr2(.):38888051-38966909	0.5437
NR_024204	chr2(.):87749973-87826030	1.1906
NM_004836	chr2(.):88851258-88932094	0.4949
NM_004027	chr2(.):99056320-99212496	1.15
NM_001566	chr2(.):99056320-99203284	1.2177
NM_003581	chr2(.):106356519-106515730	0.2163
NM_004336	chr2(.):111390408-111440684	0.4024
NM_005721	chr2(.):114642536-114721167	0.3338
NR_027020	chr2(.):132900163-133020542	0.2156
NM_001040142	chr2(.):166090911-166253820	0.0402
NM_001077269	chr2(.):175419301-175552627	0.3024
NM_017694	chr2(.):191268080-191372041	0.2298
NR_024415	chr2(.):192537797-192558248	0.9911
NM_001031716	chr2(.):192537860-192558248	0.9941
NM_004226	chr2(.):196993306-197041336	1.0525
NM_001228	chr2(.):202093165-202157434	0.7094
NM_003879	chr2(.):201975889-202034003	0.8618
NM_001127184	chr2(.):201975815-202011323	1.365
NM_173822	chr2(.):201833440-201941392	0.1109
NM_033358	chr2(.):202093165-202151638	0.774
NM_015934	chr2(.):203125514-203173384	0.4497
NM_001167608	chr2(.):227695670-227868923	0.1295
NM_001017915	chr2(.):233920035-234121549	0.1426
NM_005737	chr2(.):235396685-235410693	0.7266
NM_017844	chr2(.):241413838-241502405	0.2548
NM_001195381	chr2(.):241539824-241575676	0.2988
NM_005301	chr2(.):241559661-241575676	0.5506
NM_003108	chr2(.):5827798-5846517	1.4569
NM_198256	chr2(.):11579500-11611297	0.272
NM_033090	chr2(.):11677850-11737272	0.1425
NM_014668	chr2(.):11669241-11787912	0.0953
NM_148903	chr2(.):11675079-11733355	0.1448
NR_027303	chr2(.):12851997-12887858	0.5465
NR_036072	chr2(.):12872492-12882570	0.067
NM_002997	chr2(.):20395557-20429927	2.761
NM_001006946	chr2(.):20395557-20430194	2.7405
NM_004040	chr2(.):20641834-20654201	0.675
NR_031570	chr2(.):25546508-25556590	0.0565
NM_007046	chr2(.):27296434-27314265	0.698
NM_001166239	chr2(.):27318461-27346773	0.1738
NM_001166240	chr2(.):27317220-27346995	0.1777
NM_013388	chr2(.):27348624-27362542	0.7746
NM_006488	chr2(.):27304610-27328619	0.3984
NM_001035507	chr2(.):27269490-27287403	0.2788
NM_001166241	chr2(.):27317220-27338970	0.0758
NM_032604	chr2(.):27341656-27358680	0.7813
NM_001134693	chr2(.):27288341-27299567	0.5571
NM_015376	chr2(.):33733941-33794798	0.0612
NM_001139488	chr2(.):33696320-33794798	0.2857
NM_174931	chr2(.):37306593-37328738	0.4109
NM_006887	chr2(.):43444540-43458745	3.8064
NR_027251	chr2(.):43449349-43460994	3.4576
NM_001171508	chr2(.):47124008-47173994	0.2531
NM_022055	chr2(.):47742914-47802470	0.8837
NM_014482	chr2(.):69087612-69103649	0.0451
NM_006196	chr2(.):70309584-70321334	4.3532
NR_024444	chr2(.):70346167-70357448	1.4127
NM_006433	chr2(.):85916413-85930875	0.345
NM_198843	chr2(.):85879439-85900864	0.0656
NR_026984	chr2(.):86242338-86255991	0.1109
NR_026875	chr2(.):97158382-97178846	0.0875
NM_212481	chr2(.):97197463-97223371	0.8503
NR_029193	chr2(.):109738783-109751575	1.3312
NR_036223	chr2(.):109752945-109763044	0.2472
NM_002101	chr2(.):127408683-127459246	0.4651
NR_031608	chr2(.):133009538-133019653	0.7341
NM_004288	chr2(.):158266130-158305604	0.7279
NM_006922	chr2(.):165939029-166065577	0.1874
NM_002610	chr2(.):173415778-173468862	0.7284
NM_003387	chr2(.):175419301-175504307	0.4425
NM_000885	chr2(.):182316618-182407468	0.4407
NM_002491	chr2(.):201931461-201955473	0.1979
NM_001127183	chr2(.):201978386-202033841	0.898
NM_032974	chr2(.):202042620-202099110	0.5398
NM_001230	chr2(.):202042620-202091383	0.4878
NM_033356	chr2(.):202120222-202157434	0.8026
NM_001080125	chr2(.):202117753-202157434	0.8318
NM_003352	chr2(.):203065902-203108322	0.2205
NR_003031	chr2(.):203152773-203162857	0.0431
NR_003694	chr2(.):203151039-203161151	0.0384
NR_003058	chr2(.):203136153-203146241	0.1842
NM_001077194	chr2(.):219120737-219133582	0.2224
NM_001087	chr2(.):219123851-219139893	0.2411
NM_182642	chr2(.):219259813-219274148	1.6836
NM_198559	chr2(.):219216578-219237817	0.1847
NM_022572	chr2(.):219182901-219216516	0.0767
NM_021198	chr2(.):219259477-219275664	1.5017
NM_000578	chr2(.):219241751-219266617	0.8739
NR_029500	chr2(.):219262368-219272445	1.6279
NM_007127	chr2(.):219278837-219319248	0.0679
NM_006000	chr2(.):220110000-220123638	0.9982
NM_001042410	chr2(.):220089609-220106391	0.5041
NR_026909	chr2(.):220105200-220120059	0.9583
NM_018089	chr2(.):220089478-220106391	0.5002
NR_003063	chr2(.):220112964-220141910	0.372
NM_005689	chr2(.):220069493-220088672	0.5047
NM_024085	chr2(.):220079101-220099361	0.6551
NM_006736	chr2(.):220139039-220156622	0.4149
NM_138802	chr2(.):220066537-220079370	0.3683
NM_024506	chr2(.):220096502-220115131	0.3974
NM_001008910	chr2(.):220105191-220120059	0.9578
NR_029688	chr2(.):220153832-220163922	0.2851
NM_005544	chr2(.):227591032-227668506	0.6194
NM_001099285	chr2(.):232568234-232583250	5.0731
NR_036052	chr2(.):232573023-232583105	2.9548
NM_005383	chr2(.):233892381-233904767	0.048
NM_023083	chr2(.):241521132-241543526	0.8215
NM_001033575	chr2(.):241494470-241508431	2.9086
NM_018226	chr2(.):241503103-241523143	1.564
NM_014674	chr3(.):5224358-5266650	0.8984
NM_001195099	chr3(.):15703743-15803058	0.0455
NM_001195098	chr3(.):15703743-15844691	0.1934
NM_015199	chr3(.):15703743-15906053	0.2514
NM_002841	chr3(.):61542242-62285573	0.1155
NM_003571	chr3(.):133113789-133199056	0.2486
NM_001135095	chr3(.):171753343-172123492	0.238
NM_022763	chr3(.):171752417-172123492	0.2378
NM_181361	chr3(.):178249223-178567217	0.0774
NM_001570	chr3(.):10201562-10290427	0.6627
NM_001134382	chr3(.):12933718-13119617	0.262
NM_024923	chr3(.):13352736-13466809	0.5032
NM_014869	chr3(.):12933718-13013960	0.0859
NM_003884	chr3(.):20076523-20200896	0.198
NM_001145293	chr3(.):25755434-25829989	0.1598
NM_001145294	chr3(.):25755434-25836530	0.2002
NM_033027	chr3(.):39178341-39200102	0.9533
NM_130384	chr3(.):48483217-48512054	0.4023
NM_006321	chr3(.):48951280-49027971	0.3851
NM_001166435	chr3(.):52808936-52831077	0.0798
NM_006254	chr3(.):53190222-53231733	0.6781
NM_181042	chr3(.):52574367-52718739	0.0441
NM_001166434	chr3(.):52807522-52831077	0.0786
NM_018313	chr3(.):52574367-52724866	0.1091
NM_002215	chr3(.):52806607-52831077	0.0775
NM_000097	chr3(.):98293289-98317455	0.1558
NM_024548	chr3(.):101438493-101491181	0.2971
NM_001004196	chr3(.):112046915-112086658	0.0475
NM_183061	chr3(.):111854751-112018074	0.1686
NM_199420	chr3(.):121145272-121269853	0.1054
NM_053026	chr3(.):123326142-123608149	0.1302
NM_002213	chr3(.):124476794-124611144	0.7458
NM_024628	chr3(.):124796479-124936609	0.1658
NM_001195483	chr3(.):124796481-124935243	0.1672
NM_032343	chr3(.):126418117-126684244	0.2327
NM_001134422	chr3(.):133287433-133314118	0.8228
NM_001134423	chr3(.):133288300-133314118	0.8472
NM_001080412	chr3(.):141038054-141173632	1.3783
NM_016275	chr3(.):150316065-150353234	0.5732
NM_005067	chr3(.):150453909-150486263	0.646
NM_024665	chr3(.):176733541-176920048	0.2273
NM_005832	chr3(.):178271617-178567217	0.0761
NM_005524	chr3(.):193848933-193861396	2.1065
NM_001647	chr3(.):195290572-195316076	0.0731
NM_003670	chr3(.):5016096-5031865	1.1737
NM_015931	chr3(.):8656319-8698737	0.2383
NM_000551	chr3(.):10178318-10198746	0.4754
NM_014760	chr3(.):10285176-10327906	0.2665
NM_002880	chr3(.):12620099-12710700	0.4183
NR_027694	chr3(.):20016452-20058765	0.0343
NR_026937	chr3(.):25826562-25841025	0.3937
NM_181472	chr3(.):32428162-32501333	0.3415
NM_031899	chr3(.):39133090-39154130	0.2652
NM_145755	chr3(.):39144151-39185394	0.1765
NM_194293	chr3(.):39219706-39239077	0.2684
NM_001198621	chr3(.):39219705-39239085	0.2684
NM_014240	chr3(.):45631322-45727755	0.4034
NM_001295	chr3(.):46238199-46254832	1.1075
NM_001837	chr3(.):46278871-46313197	0.051
NM_024661	chr3(.):48468579-48486529	0.3427
NM_015933	chr3(.):48476685-48490537	0.5502
NM_002673	chr3(.):48440260-48475872	0.1004
NM_001130082	chr3(.):48440260-48476460	0.1001
NM_016381	chr3(.):48502228-48514044	0.7821
NM_016479	chr3(.):48504196-48546661	0.5897
NM_001123040	chr3(.):48950220-48961818	1.6521
NM_000387	chr3(.):48889355-48941402	0.246
NM_001010983	chr3(.):52723503-52745048	0.9982
