GENE_ID	locusLine	bin_1_37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
NM_024011	chr1(.):1629169-1660791	0.1057
NM_001198995	chr1(.):1677670-1695081	0.097
NM_002521	chr1(.):11912520-11923992	0.1013
NM_000302	chr1(.):11989745-12040594	0.1035
NM_138346	chr1(.):11975122-11991480	0.1026
NM_001089591	chr1(.):16128656-16139194	0.1062
NR_024279	chr1(.):16155709-16179642	0.1487
NR_026752	chr1(.):16939750-16962401	0.5164
NR_027504	chr1(.):16967068-16981915	0.4431
NR_002729	chr1(.):17076400-17095975	0.285
NM_014675	chr1(.):17243444-17304474	0.1322
NM_001397	chr1(.):21538739-21621982	0.1139
NM_001113347	chr1(.):21538739-21611183	0.103
NM_001113349	chr1(.):21538739-21621766	0.114
NM_001032730	chr1(.):22049338-22114688	0.11
NM_017707	chr1(.):23750055-23815750	0.1062
NM_002167	chr1(.):23879408-23891322	0.1289
NM_021258	chr1(.):24441260-24474611	0.1287
NR_027087	chr1(.):24521729-24543180	0.1511
NM_015627	chr1(.):25865075-25900377	0.1529
NM_006015	chr1(.):27017521-27113601	0.1372
NM_152304	chr1(.):28913711-28926088	0.1251
NM_001193532	chr1(.):28914006-28926088	0.125
NR_003109	chr1(.):28874528-28910057	0.1309
NM_001269	chr1(.):28839744-28870708	0.1259
NM_024482	chr1(.):28990243-29046387	0.1068
NR_004407	chr1(.):28970111-28980246	0.1347
NM_006762	chr1(.):31200314-31235683	0.1745
NM_005202	chr1(.):36555843-36570850	0.1162
NM_018067	chr1(.):36616802-36651441	0.1218
NM_014408	chr1(.):36597172-36620067	0.132
NR_003929	chr1(.):39982951-40030370	0.1219
NM_001198979	chr1(.):40854016-40893998	0.1173
NM_001198978	chr1(.):40835304-40893998	0.1345
NM_001198980	chr1(.):40857471-40893998	0.1122
NM_022733	chr1(.):40834377-40893998	0.1346
NM_005727	chr1(.):46635748-46656634	0.1377
NM_006004	chr1(.):46764379-46787447	0.1239
NM_006369	chr1(.):46739071-46774038	0.1305
NM_199044	chr1(.):46801389-46835690	0.1134
NM_015696	chr1(.):53063042-53079723	0.1301
NM_001042693	chr1(.):53094065-53127737	0.1243
NM_001037339	chr1(.):66792792-66845262	0.1285
NM_001001933	chr1(.):75589118-75632218	0.1089
NM_004974	chr1(.):111140775-111153345	0.0707
NM_002232	chr1(.):111209309-111222655	0.075
NM_017709	chr1(.):118143603-118176011	0.1225
NM_001123068	chr1(.):143762143-143772881	0.1657
NR_027469	chr1(.):143713512-143749587	0.1578
NR_027468	chr1(.):143713512-143749457	0.1575
NM_032305	chr1(.):145451235-145475387	0.2276
NM_202004	chr1(.):145408190-145422545	0.1727
NM_006472	chr1(.):145433461-145447628	0.2166
NM_001039888	chr1(.):145465507-145480647	0.2375
NM_003846	chr1(.):145511164-145528732	0.2108
NM_005105	chr1(.):145502637-145516444	0.2447
NM_001184795	chr1(.):145511559-145528732	0.2108
NM_003637	chr1(.):145519989-145548868	0.1734
NM_144698	chr1(.):145544208-145573526	0.1707
NR_002328	chr1(.):145504819-145521076	0.2493
NR_003377	chr1(.):145919387-145947619	0.1005
NR_003377	chr1(.):147461093-147489331	0.1134
NR_027468	chr1(.):147901021-147936980	0.1452
NM_001161334	chr1(.):149749244-149788928	0.1678
NM_001034077	chr1(.):149799220-149809616	0.2108
NM_001005464	chr1(.):149807258-149817765	0.2495
NM_001040874	chr1(.):149808784-149819318	0.2535
NM_001123375	chr1(.):149779779-149790236	0.2312
NM_000566	chr1(.):149749249-149769074	0.1516
NM_005850	chr1(.):149890210-149904702	0.2218
NM_016074	chr1(.):149866154-149877348	0.1749
NM_003528	chr1(.):149851009-149863232	0.2854
NM_003517	chr1(.):149853524-149863961	0.3086
NM_175065	chr1(.):149854018-149864466	0.3029
NM_014849	chr1(.):149869871-149894434	0.1677
NM_181873	chr1(.):149895542-149913266	0.2218
NM_001145862	chr1(.):149895542-149913791	0.2185
NR_036461	chr1(.):149816758-149827340	0.2729
NM_001040874	chr1(.):149817627-149828161	0.2703
NM_001005464	chr1(.):149819180-149829687	0.2583
NM_001034077	chr1(.):149827329-149837725	0.2365
NM_004698	chr1(.):150288927-150330704	0.1704
NM_019032	chr1(.):150516897-150538412	0.2047
NM_207046	chr1(.):150589598-150606609	0.2314
NR_036211	chr1(.):150519404-150529490	0.1463
NM_001197320	chr1(.):150542026-150557214	0.2364
NM_020239	chr1(.):151018446-151037125	0.2208
NM_138278	chr1(.):151004028-151025076	0.1663
NM_006818	chr1(.):151027150-151045973	0.2113
NM_017860	chr1(.):151015258-151028871	0.1868
NM_144618	chr1(.):151038079-151096007	0.1446
NM_001024213	chr1(.):153586275-153604524	0.1855
NM_005979	chr1(.):153586275-153605715	0.1866
NM_001024211	chr1(.):153586275-153605117	0.1851
NM_001024212	chr1(.):153586275-153604744	0.1857
NM_001024210	chr1(.):153586275-153611568	0.197
NM_020672	chr1(.):153581731-153593790	0.1863
NM_080388	chr1(.):153574366-153590514	0.1643
NM_006271	chr1(.):153595872-153609513	0.1971
NM_004515	chr1(.):153629513-153648479	0.2083
NM_000906	chr1(.):153646163-153671468	0.1505
NM_012437	chr1(.):153626144-153639326	0.197
NM_020452	chr1(.):154295275-154328780	0.1946
NM_001005855	chr1(.):154293035-154315322	0.2052
NM_080429	chr1(.):154288591-154302801	0.2285
NM_006556	chr1(.):154892207-154914484	0.208
NM_001130041	chr1(.):154929773-154951959	0.2613
NM_001130040	chr1(.):154929773-154948223	0.2723
NM_201398	chr1(.):154950769-154970587	0.1791
NM_015872	chr1(.):154970111-154995999	0.1941
NM_001184892	chr1(.):154950769-154966488	0.1784
NM_018655	chr1(.):154961061-154971791	0.177
NM_001143687	chr1(.):155001281-155028406	0.1936
NR_024163	chr1(.):154942117-154956725	0.284
NM_144622	chr1(.):154986002-155011257	0.1616
NM_138300	chr1(.):154924501-154939258	0.2431
NR_036212	chr1(.):154943168-154953259	0.2989
NR_027023	chr1(.):155526771-155538735	0.2099
NM_001198905	chr1(.):155624232-155663568	0.1594
NM_001198899	chr1(.):155624232-155654620	0.1575
NM_139118	chr1(.):155624232-155663823	0.1583
NM_139121	chr1(.):155624232-155663764	0.1586
NM_001198901	chr1(.):155624232-155663819	0.1583
NM_139119	chr1(.):155624232-155663565	0.1594
NM_001198904	chr1(.):155624232-155663447	0.1598
NM_004632	chr1(.):155653873-155713319	0.1607
NM_001198902	chr1(.):155624232-155663515	0.1596
NM_033657	chr1(.):155653873-155713317	0.1607
NM_006912	chr1(.):155862600-155886177	0.1658
NM_001162384	chr1(.):155911629-155953336	0.2086
NM_181885	chr1(.):155906479-155917625	0.2182
NM_004723	chr1(.):155911629-155952966	0.2088
NM_014949	chr1(.):155877835-155909188	0.2196
NR_002974	chr1(.):155884699-155894833	0.1915
NR_003005	chr1(.):155890748-155900877	0.2064
NM_003145	chr1(.):155973838-155995758	0.1924
NM_014655	chr1(.):156158729-156187587	0.2315
NM_007221	chr1(.):156177783-156214833	0.2216
NM_022367	chr1(.):156118321-156152542	0.2407
NM_001193302	chr1(.):156118368-156152542	0.2406
NM_001193301	chr1(.):156114734-156152542	0.2402
NM_005920	chr1(.):156428518-156475529	0.2182
NM_004494	chr1(.):156706898-156726543	0.2303
NM_001126051	chr1(.):156706898-156727024	0.2298
NM_001126050	chr1(.):156706898-156727240	0.2278
NM_030980	chr1(.):156687412-156702705	0.2339
NM_001878	chr1(.):156664407-156680375	0.1633
NM_001142560	chr1(.):156693262-156711752	0.2494
NM_145729	chr1(.):156702093-156715923	0.1873
NM_030916	chr1(.):161035780-161064385	0.1961
NM_007122	chr1(.):161004040-161020757	0.2425
NM_001113205	chr1(.):161002421-161013774	0.2024
NR_033385	chr1(.):161063150-161075138	0.2029
NM_181720	chr1(.):161011731-161044760	0.2285
NM_016946	chr1(.):160960000-160996133	0.1889
NM_001039711	chr1(.):161085768-161107478	0.2268
NM_016406	chr1(.):161118533-161133646	0.2304
NM_004550	chr1(.):161164104-161189184	0.2287
NM_000309	chr1(.):161131180-161146010	0.2005
NM_001643	chr1(.):161187082-161198418	0.2351
NM_001185094	chr1(.):161082907-161095984	0.2211
NM_003779	chr1(.):161136100-161152314	0.2207
NM_012475	chr1(.):161124253-161140516	0.2369
NM_001039712	chr1(.):161085768-161107256	0.2269
NM_005600	chr1(.):161082861-161095984	0.2208
NM_001185093	chr1(.):161082906-161095984	0.2211
NM_032174	chr1(.):161190832-161205407	0.2008
NM_001166159	chr1(.):161166936-161189184	0.2293
NM_005099	chr1(.):161154537-161173845	0.244
NM_004106	chr1(.):161180086-161194038	0.2055
NM_181093	chr1(.):169816803-169868076	0.1647
NM_022100	chr1(.):174977093-174997591	0.1683
NR_033186	chr1(.):178506930-178523024	0.1751
NM_022371	chr1(.):179046111-179070129	0.2291
NM_015602	chr1(.):179846419-179894211	0.1667
NM_002922	chr1(.):192539856-192554159	0.2321
NM_001195216	chr1(.):197698138-197749623	0.177
NM_005298	chr1(.):200837165-200848251	0.1455
NM_018265	chr1(.):200855638-200889864	0.1599
NM_001142569	chr1(.):200858998-200889864	0.1517
NR_034150	chr1(.):203262885-203279453	0.2666
NM_006763	chr1(.):203269663-203283729	0.2293
NM_002023	chr1(.):203304751-203325289	0.1955
NR_003019	chr1(.):203693708-203703833	0.1666
NM_001136190	chr1(.):203729283-203750480	0.1832
NM_001174108	chr1(.):203761650-203774590	0.1795
NM_002646	chr1(.):204386757-204464474	0.1632
NM_002393	chr1(.):204480510-204532248	0.2012
NM_030952	chr1(.):205266190-205295883	0.1943
NM_001007544	chr1(.):206233871-206293647	0.1919
NM_148964	chr1(.):206312458-206337104	0.1283
NM_006893	chr1(.):206759973-206790904	0.1786
NM_182665	chr1(.):206725491-206767616	0.2135
NM_001136224	chr1(.):211427707-211494725	0.1683
NM_018254	chr1(.):211428288-211494725	0.1685
NM_001136225	chr1(.):211427707-211491655	0.1676
NM_001172425	chr1(.):226119297-226134083	0.203
NM_013328	chr1(.):226102579-226116965	0.1757
NM_181441	chr1(.):228289379-228302013	0.2276
NR_037415	chr1(.):228279963-228290042	0.2106
NM_001024227	chr1(.):228265850-228291913	0.2298
NM_001024226	chr1(.):228265360-228291913	0.2277
NM_024319	chr1(.):228283427-228296022	0.2106
NM_001159390	chr1(.):228322928-228341655	0.1483
NM_033445	chr1(.):228640064-228650560	0.1485
NM_001010858	chr1(.):228670067-228688889	0.1732
NM_175055	chr1(.):228640807-228651259	0.1511
NM_001012985	chr1(.):234504428-234524791	0.1815
NM_182972	chr1(.):234735014-234750271	0.2673
NR_033927	chr1(.):234760056-234775526	0.1506
NR_002956	chr1(.):235286117-235296252	0.1999
NM_031844	chr1(.):245008601-245032827	0.1945
NM_198076	chr1(.):244993638-245013359	0.2056
NR_026778	chr1(.):244998939-245015243	0.1982
NM_030645	chr1(.):249099650-249125154	0.2167
NM_024836	chr1(.):249127529-249148714	0.1945
NM_001136036	chr1(.):249139202-249158125	0.1973
NM_001193328	chr1(.):249139202-249158315	0.1988
NR_036070	chr1(.):249115575-249125642	0.258
NM_020458	chr2(.):47163312-47308275	0.13
NR_033872	chr2(.):70184394-70319147	0.1146
NR_015395	chr2(.):112119590-112257692	0.1351
NR_024373	chr2(.):112181885-112257692	0.1498
NM_001099289	chr2(.):109740996-110267207	0.0983
NM_001012514	chr2(.):231724620-231748963	0.0857
NM_145693	chr2(.):11881739-11972533	0.1339
NM_000183	chr2(.):26462615-26518333	0.115
NM_170672	chr2(.):33656415-33794798	0.1214
NM_005813	chr2(.):37472645-37549222	0.1437
NM_003400	chr2(.):61700068-61770418	0.1112
NR_036586	chr2(.):65123973-65164581	0.1699
NM_144563	chr2(.):88986175-89055452	0.1257
NM_004027	chr2(.):99056320-99212496	0.1571
NM_001566	chr2(.):99056320-99203284	0.1583
NM_015282	chr2(.):122090351-122412052	0.1005
NM_152522	chr2(.):153569422-153622767	0.1164
NM_001077269	chr2(.):175419301-175552627	0.1167
NM_006164	chr2(.):178090032-178134859	0.1222
NM_001145413	chr2(.):178090032-178133617	0.1233
NM_004226	chr2(.):196993306-197041336	0.1368
NM_001228	chr2(.):202093165-202157434	0.1417
NM_003879	chr2(.):201975889-202034003	0.1409
NM_001127184	chr2(.):201975815-202011323	0.157
NM_173822	chr2(.):201833440-201941392	0.1164
NM_033358	chr2(.):202093165-202151638	0.1446
NM_020935	chr2(.):219309973-219438084	0.1105
NM_005687	chr2(.):223431161-223525827	0.1141
NM_022730	chr2(.):232646161-232678434	0.0715
NM_001037160	chr2(.):10191925-10225538	0.0966
NM_182626	chr2(.):10276508-10356856	0.0981
NM_001165931	chr2(.):10257694-10276546	0.1697
NM_001034	chr2(.):10257862-10276546	0.1697
NM_002997	chr2(.):20395557-20429927	0.1615
NM_001006946	chr2(.):20395557-20430194	0.1616
NM_000182	chr2(.):26408503-26472594	0.1199
NM_005253	chr2(.):28610778-28642516	0.1342
NM_015376	chr2(.):33733941-33794798	0.116
NM_001139488	chr2(.):33696320-33794798	0.1307
NM_012413	chr2(.):37566752-37605465	0.1642
NM_138370	chr2(.):42270160-42290668	0.1057
NM_006887	chr2(.):43444540-43458745	0.2039
NR_027251	chr2(.):43449349-43460994	0.1694
NM_001171508	chr2(.):47124008-47173994	0.1317
NM_001193493	chr2(.):65210578-65256000	0.1313
NM_003038	chr2(.):65211494-65256000	0.131
NM_015147	chr2(.):65278494-65319142	0.1531
NM_006196	chr2(.):70309584-70321334	0.1735
NR_024444	chr2(.):70346167-70357448	0.1321
NM_003761	chr2(.):85799613-85814156	0.1042
NM_005911	chr2(.):85761287-85777403	0.1664
NM_000821	chr2(.):85771192-85793657	0.122
NM_006634	chr2(.):85806530-85825511	0.1265
NM_015425	chr2(.):86248450-86338278	0.1394
NR_026984	chr2(.):86242338-86255991	0.1291
NR_015424	chr2(.):89060418-89111109	0.1433
NR_026875	chr2(.):97158382-97178846	0.1148
NM_212481	chr2(.):97197463-97223371	0.1634
NR_023343	chr2(.):122283455-122293585	0.1454
NM_001161403	chr2(.):128390995-128437764	0.0938
NM_001161404	chr2(.):128390995-128444360	0.0943
NM_017980	chr2(.):128390995-128427167	0.0932
NM_032740	chr2(.):128453596-128466407	0.1457
NM_017892	chr2(.):153503106-153578975	0.12
NM_006186	chr2(.):157175943-157194287	0.0983
NM_004288	chr2(.):158266130-158305604	0.1482
NM_001172712	chr2(.):174766186-174835430	0.1171
NM_001017371	chr2(.):174766186-174833947	0.1175
NM_003387	chr2(.):175419301-175504307	0.1223
NR_036075	chr2(.):178115672-178125738	0.1244
NM_194247	chr2(.):178072421-178093685	0.1485
NM_002491	chr2(.):201931461-201955473	0.129
NM_001127183	chr2(.):201978386-202033841	0.143
NM_033356	chr2(.):202120222-202157434	0.1306
NM_001080125	chr2(.):202117753-202157434	0.132
NM_006139	chr2(.):204566197-204607557	0.1585
NM_005444	chr2(.):219428677-219463999	0.1258
NM_032726	chr2(.):219467631-219506904	0.0941
NM_017431	chr2(.):219682105-219701512	0.0996
NM_025216	chr2(.):219740254-219763651	0.1724
NM_006522	chr2(.):219719545-219743954	0.1023
NM_058165	chr2(.):223531456-223579649	0.0915
NM_001099285	chr2(.):232568234-232583250	0.0906
NM_002601	chr2(.):232592146-232650974	0.0636
NR_036052	chr2(.):232573023-232583105	0.0828
NR_031717	chr2(.):232751951-232762008	0.0532
NM_003549	chr3(.):50325261-50341899	0.1578
NM_014674	chr3(.):5224358-5266650	0.1496
NR_027007	chr3(.):9425536-9444174	0.1577
NM_003571	chr3(.):133113789-133199056	0.1304
NM_207015	chr3(.):174572110-175528428	0.1352
NM_024947	chr3(.):169800367-169904537	0.1794
NM_001135095	chr3(.):171753343-172123492	0.176
NM_022763	chr3(.):171752417-172123492	0.1762
NM_181361	chr3(.):178249223-178567217	0.1454
NM_006354	chr3(.):9816653-9839420	0.1273
NM_133480	chr3(.):9819811-9839420	0.1332
NM_001134382	chr3(.):12933718-13119617	0.1173
NM_024923	chr3(.):13352736-13466809	0.1155
NM_014869	chr3(.):12933718-13013960	0.1052
NM_144636	chr3(.):14148576-14171371	0.1502
NM_181042	chr3(.):52574367-52718739	0.1061
NM_018313	chr3(.):52574367-52724866	0.1091
NM_007114	chr3(.):69063977-69106484	0.1108
NM_014429	chr3(.):108672086-108841993	0.1108
NM_020754	chr3(.):119008219-119143323	0.1147
NM_002093	chr3(.):119535801-119818264	0.1128
NM_002213	chr3(.):124476794-124611144	0.1215
NM_001134422	chr3(.):133287433-133314118	0.1694
NM_001134423	chr3(.):133288300-133314118	0.1706
NM_001080412	chr3(.):141038054-141173632	0.1553
NM_001190242	chr3(.):159969773-160106554	0.1424
NM_001190241	chr3(.):159969773-160122320	0.1511
NM_002740	chr3(.):169935219-170028770	0.1531
NM_024665	chr3(.):176733541-176920048	0.1841
NM_005832	chr3(.):178271617-178567217	0.145
NM_130446	chr3(.):183200318-183278499	0.2244
NM_181573	chr3(.):186502681-186529484	0.2023
NM_002916	chr3(.):186502681-186529290	0.2034
NM_173216	chr3(.):186643314-186801341	0.187
NM_003032	chr3(.):186734664-186801341	0.202
NM_005524	chr3(.):193848933-193861396	0.2107
NM_015453	chr3(.):9399716-9433475	0.1117
NM_001080517	chr3(.):9434402-9524838	0.1201
NM_002542	chr3(.):9786627-9804089	0.1232
NM_003656	chr3(.):9794030-9816661	0.1056
NM_001142547	chr3(.):9874532-9890702	0.1195
NM_001024959	chr3(.):9829178-9853789	0.1286
NM_005718	chr3(.):9829231-9853789	0.1287
NM_001198793	chr3(.):9829231-9883040	0.1146
NM_001198780	chr3(.):9829800-9853789	0.1295
NM_001025930	chr3(.):9846643-9883040	0.1076
NM_024334	chr3(.):14161439-14190180	0.1418
NM_001295	chr3(.):46238199-46254832	0.1583
NM_001837	chr3(.):46278871-46313197	0.1148
NM_003212	chr3(.):46614075-46628952	0.0913
NM_001174136	chr3(.):46611044-46628952	0.0942
NM_024512	chr3(.):46551877-46613011	0.1295
NM_031440	chr3(.):46534484-46547439	0.1325
NM_199074	chr3(.):49052907-49065926	0.1692
NM_199073	chr3(.):49053617-49065926	0.1707
NM_017730	chr3(.):49062141-49136504	0.1182
NM_177939	chr3(.):49022340-49049581	0.1246
NM_018031	chr3(.):49039636-49058386	0.1384
NM_000884	chr3(.):49056761-49071875	0.1792
NM_018114	chr3(.):49047434-49063467	0.1554
NM_199070	chr3(.):49054073-49065926	0.1716
NM_001009996	chr3(.):49047434-49061017	0.1576
NR_029690	chr3(.):49053050-49063142	0.1689
NR_029948	chr3(.):49052580-49062667	0.1682
NM_153215	chr3(.):50311517-50330545	0.1299
NM_006764	chr3(.):50320162-50335026	0.1343
NM_153282	chr3(.):50332319-50346004	0.131
NM_153281	chr3(.):50332319-50354812	0.1121
NM_007275	chr3(.):50357340-50370668	0.1645
NM_012191	chr3(.):50328832-50341712	0.1672
NM_003773	chr3(.):50350220-50365281	0.1404
NM_006545	chr3(.):50379918-50393486	0.1398
NM_007182	chr3(.):50362216-50383367	0.162
NM_007022	chr3(.):50383296-50396496	0.1385
NM_007024	chr3(.):50387179-50401939	0.1356
NM_015896	chr3(.):50373536-50388156	0.1686
NM_170712	chr3(.):50362216-50380664	0.1638
NM_170713	chr3(.):50362216-50379895	0.1649
NM_001010983	chr3(.):52723503-52745048	0.1592
NM_206825	chr3(.):52714935-52733510	0.1609
NR_003687	chr3(.):52719753-52729846	0.1802
NM_014041	chr3(.):52734856-52747197	0.1721
NR_003057	chr3(.):52721751-52731828	0.1621
NM_152932	chr3(.):52723503-52742622	0.1594
NR_003047	chr3(.):52718255-52728331	0.162
NM_001193533	chr3(.):52739795-52809965	0.1208
NM_198195	chr3(.):69098880-69134524	0.1316
NM_006407	chr3(.):69129089-69160239	0.1509
NM_198271	chr3(.):69151038-69176746	0.1228
NR_036087	chr3(.):69093108-69103186	0.1402
NM_006100	chr3(.):98446571-98518236	0.1497
NM_145037	chr3(.):101493028-101552075	0.1376
NM_001134456	chr3(.):101493285-101552075	0.1375
NM_001005474	chr3(.):101541833-101584869	0.1338
NM_022135	chr3(.):119355907-119384404	0.1438
NM_005694	chr3(.):119383371-119401243	0.1322
NM_015900	chr3(.):119311721-119353658	0.1124
NR_031687	chr3(.):125504246-125514395	0.1099
NM_001127196	chr3(.):128881657-128907810	0.1265
NM_020701	chr3(.):128841258-128885073	0.1073
NM_020187	chr3(.):128992683-129029135	0.1289
NM_001006109	chr3(.):128992816-129029135	0.1287
NM_006026	chr3(.):129028613-129040120	0.1961
NR_026991	chr3(.):129030113-129048412	0.1599
NR_027898	chr3(.):129926662-129997649	0.0966
NM_001145417	chr3(.):135862759-135918310	0.1213
NM_018133	chr3(.):135862759-135919688	0.1212
NR_034008	chr3(.):156802669-156823924	0.2647
NR_034007	chr3(.):156794455-156845791	0.2152
NM_020307	chr3(.):156860585-156883482	0.207
NM_173084	chr3(.):160148290-160172626	0.1655
NR_029663	chr3(.):160117375-160127473	0.2034
NM_005496	chr3(.):160113346-160157741	0.1931
NM_001002800	chr3(.):160112429-160157741	0.1944
NR_029525	chr3(.):160117532-160127613	0.2011
NM_018657	chr3(.):169485852-169512504	0.16
NM_032487	chr3(.):169479710-169492683	0.1995
NM_001172780	chr3(.):169508428-169535574	0.1771
NM_001080460	chr3(.):169534709-169560560	0.1478
NR_001566	chr3(.):169477397-169487848	0.1844
NM_001185119	chr3(.):169487052-169512504	0.1638
NR_027622	chr3(.):169656771-169689522	0.2078
NM_182610	chr3(.):169624481-169661948	0.1756
NM_003262	chr3(.):169679579-169721161	0.1758
NM_001145098	chr3(.):170070472-170115950	0.1446
NM_001145097	chr3(.):170072410-170115950	0.144
NR_002989	chr3(.):186499463-186509641	0.2728
NM_001967	chr3(.):186496360-186512685	0.229
NR_031650	chr3(.):186499460-186509566	0.2728
NR_002588	chr3(.):186500401-186510538	0.2698
NR_002587	chr3(.):186497584-186507654	0.2528
NR_002586	chr3(.):186500087-186510222	0.2677
NR_024480	chr3(.):194013988-194035593	0.1958
NM_001080513	chr3(.):194055493-194077057	0.1261
NM_005781	chr3(.):195585235-195640880	0.1571
NM_001010938	chr3(.):195585235-195627432	0.1272
NM_198565	chr3(.):196361655-196393874	0.187
NM_014687	chr3(.):197393258-197468773	0.1941
NM_001145642	chr3(.):197393313-197481568	0.1935
NR_027840	chr3(.):197472260-197516317	0.176
NM_032288	chr3(.):197471623-197516317	0.1745
NR_030627	chr3(.):197396366-197406447	0.2131
NM_001011537	chr3(.):197471423-197516317	0.1742
NM_198281	chr4(.):90160428-90234161	0.1532
NM_001008388	chr4(.):103785134-103818963	0.1171
NM_021069	chr4(.):186501597-186882870	0.1071
NM_001145670	chr4(.):186501597-186738410	0.1097
NM_001145671	chr4(.):186501597-186737225	0.1095
NM_001145672	chr4(.):186501597-186737048	0.1096
NM_003603	chr4(.):186501597-186738392	0.1097
NM_001145673	chr4(.):186501597-186702066	0.1109
NM_006527	chr4(.):1689526-1719030	0.1267
NM_002938	chr4(.):2465794-2522586	0.1299
NM_020972	chr4(.):2266323-2425370	0.103
NM_001172657	chr4(.):2326979-2425370	0.1035
NM_001172660	chr4(.):2325305-2371604	0.0855
NM_001185009	chr4(.):2466179-2522586	0.1301
NM_001172658	chr4(.):2325305-2425370	0.1028
NM_015173	chr4(.):37887719-38145794	0.1115
NM_004310	chr4(.):40193526-40251281	0.1469
NM_001105529	chr4(.):42405391-42664122	0.1037
NM_024900	chr4(.):129725778-129790787	0.1187
NM_199320	chr4(.):129725778-129801379	0.1196
NM_002039	chr4(.):144252982-144400718	0.1312
NM_002199	chr4(.):185303875-185400726	0.1454
NM_001145674	chr4(.):186501597-186583123	0.1135
NM_152775	chr4(.):186361337-186397913	0.105
NM_001013622	chr4(.):1636607-1690718	0.0841
NM_001174070	chr4(.):1636607-1690988	0.0841
NM_001127266	chr4(.):1712678-1728084	0.1547
NM_006342	chr4(.):1718265-1751897	0.1117
NM_001193282	chr4(.):2415700-2469690	0.1175
NR_031688	chr4(.):9552788-9562937	0.1011
NM_001076	chr4(.):69398132-69439240	0.1054
NM_001077	chr4(.):69397902-69439245	0.1053
NM_001076	chr4(.):69507314-69541374	0.0909
NM_031889	chr4(.):71489460-71517536	0.1018
NM_144646	chr4(.):71516257-71537348	0.1525
NM_020368	chr4(.):71549195-71561268	0.1251
NM_014961	chr4(.):71582695-71664274	0.1038
NM_001130709	chr4(.):71565653-71660614	0.1048
NM_181891	chr4(.):103712132-103753708	0.1407
NM_181890	chr4(.):103712132-103795032	0.1292
NM_181892	chr4(.):103712132-103753340	0.1412
NM_003340	chr4(.):103712132-103754105	0.1398
NM_181893	chr4(.):103712132-103795003	0.1292
NM_181889	chr4(.):103712132-103754307	0.1395
