#MM Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM.1S.H3K27ac_ROSE/MM_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM.1S.jin.bam
#Using cutoff of 6466.383 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM.1S.jin.bam	enhancerRank	isSuper
1_MACS_peak_25290_lociStitched	chr5	138723050	138730403	1	7354	18908.2395	85	1
6_MACS_peak_9261_lociStitched	chr14	106145425	106155331	6	9283	18831.306	86	1
2_MACS_peak_19739_lociStitched	chr21	45562258	45568058	2	5742	18633.08	87	1
5_MACS_peak_16065_lociStitched	chr2	37540792	37553230	5	11998	18597.2976	88	1
1_MACS_peak_6918_lociStitched	chr12	48200854	48209035	1	8182	18460.4265	89	1
2_MACS_peak_2689_lociStitched	chr1	205252547	205258278	2	5641	18358.1123	90	1
5_MACS_peak_26248_lociStitched	chr6	26357595	26367273	5	9017	18352.3914	91	1
5_MACS_peak_11357_lociStitched	chr16	56944102	56953159	5	8293	18307.8198	92	1
2_MACS_peak_23346_lociStitched	chr4	78736215	78743041	2	6450	18151.0166	93	1
1_MACS_peak_13457_lociStitched	chr17	75435102	75442959	1	7858	18149.67	94	1
2_MACS_peak_16735_lociStitched	chr2	89049021	89056077	2	6998	18147.3264	95	1
2_MACS_peak_24240_lociStitched	chr5	6480022	6486951	2	6900	18142.2007	96	1
5_MACS_peak_19255_lociStitched	chr20	55966098	55975319	5	8862	18132.1744	97	1
10_MACS_peak_13293_lociStitched	chr17	72744063	72757192	10	11777	18127.2103	98	1
2_MACS_peak_15791_lociStitched	chr2	11883616	11892052	2	8353	18117.1536	99	1
1_MACS_peak_24022_lociStitched	chr4	185201280	185206922	1	5643	18097.2792	100	1
2_MACS_peak_26705_lociStitched	chr6	45386941	45394971	2	7874	17934.202	101	1
1_MACS_peak_29438_lociStitched	chr7	150064010	150068135	1	4126	17865.375	102	1
1_MACS_peak_1996_lociStitched	chr1	155946162	155952062	1	5901	17796.76	103	1
1_MACS_peak_29201_lociStitched	chr7	129588773	129592925	1	4153	17723.6424	104	1
3_MACS_peak_4846_lociStitched	chr11	10323799	10332929	3	9088	17718.591	105	1
3_MACS_peak_18310_lociStitched	chr2	239166818	239176766	3	9929	17682.57	106	1
4_MACS_peak_12625_lociStitched	chr17	38473593	38483797	4	9929	17642.716	107	1
2_MACS_peak_2633_lociStitched	chr1	203264098	203271944	2	7800	17589.9474	108	1
2_MACS_peak_27166_lociStitched	chr6	108878419	108884467	2	5995	17570.0448	109	1
1_MACS_peak_22551_lociStitched	chr3	186780867	186785839	1	4973	17532.7636	110	1
5_MACS_peak_31449_lociStitched	chr9	93681163	93690145	5	8768	17528.373	111	1
4_MACS_peak_18169_lociStitched	chr2	232687268	232703050	4	15538	17475.4086	112	1
3_MACS_peak_12008_lociStitched	chr17	6062770	6071223	3	8081	17404.727	113	1
1_MACS_peak_29444_lociStitched	chr7	150101282	150105869	1	4588	17347.5753	114	1
3_MACS_peak_16831_lociStitched	chr2	99075172	99083338	3	8002	17288.2386	115	1
1_MACS_peak_2574_lociStitched	chr1	200859423	200865112	1	5690	17242.2212	116	1
2_MACS_peak_19613_lociStitched	chr21	38737799	38740823	2	2963	17212.0032	117	1
3_MACS_peak_14388_lociStitched	chr19	1647722	1653578	3	5730	17172.1344	118	1
3_MACS_peak_4740_lociStitched	chr11	2793066	2801186	3	7911	17168.928	119	1
1_MACS_peak_4419_lociStitched	chr10	112113599	112119406	1	5808	17152.1359	120	1
1_MACS_peak_398_lociStitched	chr1	23850740	23857910	1	7171	17036.637	121	1
2_MACS_peak_28405_lociStitched	chr7	55598389	55604753	2	6126	17011.6084	122	1
5_MACS_peak_3095_lociStitched	chr1	230238646	230248929	5	9712	16944.3274	123	1
1_MACS_peak_18978_lociStitched	chr20	42695430	42700669	1	5240	16884.2492	124	1
3_MACS_peak_27201_lociStitched	chr6	108987781	108997167	3	9076	16753.0714	125	1
3_MACS_peak_18126_lociStitched	chr2	231729551	231739437	3	9599	16597.6054	126	1
1_MACS_peak_19079_lociStitched	chr20	46386238	46392722	1	6485	16503.7252	127	1
2_MACS_peak_14455_lociStitched	chr19	2607119	2611805	2	4578	16491.4398	128	1
1_MACS_peak_25200_lociStitched	chr5	131829848	131837088	1	7241	16488.376	129	1
2_MACS_peak_18786_lociStitched	chr20	32468011	32473665	2	5653	16469.5366	130	1
1_MACS_peak_2430_lociStitched	chr1	183809123	183815236	1	6114	16336.9925	131	1
3_MACS_peak_5237_lociStitched	chr11	58340357	58347600	3	6824	16309.0631	132	1
2_MACS_peak_25303_lociStitched	chr5	139046842	139051798	2	4849	16264.1052	133	1
4_MACS_peak_12471_lociStitched	chr17	34415847	34423957	4	7580	16138.089	134	1
2_MACS_peak_22364_lociStitched	chr3	176859301	176866795	2	7326	16017.6756	135	1
1_MACS_peak_29222_lociStitched	chr7	130790792	130795903	1	5112	16012.2519	136	1
3_MACS_peak_14426_lociStitched	chr19	2254851	2261821	3	6820	15978.028	137	1
6_MACS_peak_9549_lociStitched	chr15	40834038	40843891	6	9132	15938.2128	138	1
1_MACS_peak_29033_lociStitched	chr7	113724303	113728093	1	3791	15922.927	139	1
1_MACS_peak_22222_lociStitched	chr3	160116628	160120630	1	4003	15898.7454	140	1
3_MACS_peak_4973_lociStitched	chr11	19451466	19459096	3	7500	15864.296	141	1
4_MACS_peak_21967_lociStitched	chr3	133192061	133199699	4	7133	15841.212	142	1
5_MACS_peak_20255_lociStitched	chr22	37610784	37621227	5	9169	15837.8538	143	1
2_MACS_peak_11430_lociStitched	chr16	66553426	66559856	2	6232	15829.374	144	1
2_MACS_peak_16073_lociStitched	chr2	37570748	37578401	2	7400	15802.6797	145	1
2_MACS_peak_22633_lociStitched	chr3	195631945	195637188	2	5199	15787.1973	146	1
2_MACS_peak_12549_lociStitched	chr17	36856351	36862715	2	6305	15783.3564	147	1
2_MACS_peak_20038_lociStitched	chr22	26984597	26992260	2	7643	15763.5573	148	1
1_MACS_peak_6418_lociStitched	chr12	4378085	4385300	1	7216	15763.332	149	1
1_MACS_peak_2762_lociStitched	chr1	207094106	207098127	1	4022	15714.8722	150	1
2_MACS_peak_25178_lociStitched	chr5	131435892	131441654	2	5722	15706.6358	151	1
3_MACS_peak_27181_lociStitched	chr6	108911650	108921421	3	9701	15695.1573	152	1
3_MACS_peak_1720_lociStitched	chr1	145449112	145457332	3	8068	15692.802	153	1
1_MACS_peak_13026_lociStitched	chr17	56411709	56417701	1	5993	15652.3024	154	1
1_MACS_peak_25848_lociStitched	chr6	291100	294496	1	3397	15552.6612	155	1
1_MACS_peak_28933_lociStitched	chr7	104652026	104656836	1	4811	15511.769	156	1
2_MACS_peak_11022_lociStitched	chr16	23343818	23350253	2	6385	15390.5895	157	1
2_MACS_peak_26027_lociStitched	chr6	11829265	11837745	2	8100	15345.408	158	1
1_MACS_peak_24035_lociStitched	chr4	185302339	185307859	1	5521	15289.296	159	1
3_MACS_peak_19640_lociStitched	chr21	41325040	41334192	3	8703	15249.9776	160	1
2_MACS_peak_27134_lociStitched	chr6	106610604	106617176	2	6553	15095.2268	161	1
3_MACS_peak_27393_lociStitched	chr6	130003433	130010814	3	6925	15091.1926	162	1
5_MACS_peak_32553_lociStitched	chrX	48791301	48799401	5	7471	14963.94	163	1
3_MACS_peak_9532_lociStitched	chr15	40387041	40394506	3	7365	14944.93	164	1
2_MACS_peak_30698_lociStitched	chr8	134579712	134585653	2	5931	14901.8103	165	1
3_MACS_peak_19722_lociStitched	chr21	45136183	45140678	3	4443	14872.6065	166	1
4_MACS_peak_10094_lociStitched	chr15	75072726	75083139	4	10069	14869.764	167	1
3_MACS_peak_29558_lociStitched	chr8	2028828	2035872	3	6704	14848.752	168	1
2_MACS_peak_15263_lociStitched	chr19	42054949	42062539	2	7579	14833.896	169	1
1_MACS_peak_2362_lociStitched	chr1	178546885	178551737	1	4853	14801.026	170	1
2_MACS_peak_6410_lociStitched	chr12	4224666	4230033	2	5093	14758.1766	171	1
2_MACS_peak_10504_lociStitched	chr15	101738080	101743853	2	5674	14746.5512	172	1
1_MACS_peak_16515_lociStitched	chr2	70311921	70315918	1	3998	14699.3672	173	1
7_MACS_peak_27124_lociStitched	chr6	106544997	106555565	7	10010	14673.668	174	1
2_MACS_peak_14887_lociStitched	chr19	16694123	16700587	2	6442	14664.8768	175	1
2_MACS_peak_18991_lociStitched	chr20	43270804	43278135	2	7176	14648.0711	176	1
3_MACS_peak_28876_lociStitched	chr7	101946489	101952768	3	6061	14642.628	177	1
2_MACS_peak_27132_lociStitched	chr6	106588730	106595836	2	7104	14538.1654	178	1
1_MACS_peak_16799_lociStitched	chr2	97201416	97205757	1	4342	14511.0948	179	1
3_MACS_peak_23240_lociStitched	chr4	71541681	71549477	3	7545	14504.458	180	1
6_MACS_peak_2488_lociStitched	chr1	192506356	192515523	6	8177	14494.8604	181	1
1_MACS_peak_19278_lociStitched	chr20	56253207	56258685	1	5479	14452.6074	182	1
1_MACS_peak_1924_lociStitched	chr1	154755867	154760918	1	5052	14427.6764	183	1
1_MACS_peak_3100_lociStitched	chr1	230256773	230262319	1	5547	14400.7436	184	1
7_MACS_peak_28395_lociStitched	chr7	55569331	55580740	7	10079	14393.5944	185	1
1_MACS_peak_20387_lociStitched	chr22	39840584	39845329	1	4746	14384.942	186	1
4_MACS_peak_4930_lociStitched	chr11	16979276	16986334	4	6886	14379.9692	187	1
2_MACS_peak_24851_lociStitched	chr5	88177473	88186007	2	8355	14375.523	188	1
2_MACS_peak_10829_lociStitched	chr16	11773675	11783220	2	9473	14367.134	189	1
5_MACS_peak_28064_lociStitched	chr7	26002362	26009473	5	6644	14361.3756	190	1
1_MACS_peak_426_lociStitched	chr1	24512887	24518947	1	6061	14359.17	191	1
1_MACS_peak_16140_lociStitched	chr2	42328318	42334131	1	5814	14292.4231	192	1
3_MACS_peak_832_lociStitched	chr1	40846914	40856490	3	9529	14264.4096	193	1
6_MACS_peak_1606_lociStitched	chr1	118195816	118204492	6	8239	14253.8004	194	1
1_MACS_peak_18173_lociStitched	chr2	232703596	232714823	1	11228	14216.7501	195	1
2_MACS_peak_2534_lociStitched	chr1	197743047	197748727	2	5509	14144.336	196	1
1_MACS_peak_19647_lociStitched	chr21	41383973	41389930	1	5958	14131.1954	197	1
2_MACS_peak_29896_lociStitched	chr8	29629681	29634340	2	4613	14069.2482	198	1
1_MACS_peak_9989_lociStitched	chr15	69109118	69114061	1	4944	14038.6143	199	1
2_MACS_peak_12993_lociStitched	chr17	55431534	55436661	2	5096	14019.7815	200	1
2_MACS_peak_16165_lociStitched	chr2	43451240	43455759	2	4428	14018.3899	201	1
2_MACS_peak_19336_lociStitched	chr20	61277257	61285118	2	7771	13997.2966	202	1
1_MACS_peak_6044_lociStitched	chr11	115090125	115096502	1	6378	13936.2958	203	1
2_MACS_peak_17824_lociStitched	chr2	202120587	202127078	2	6454	13790.1295	204	1
2_MACS_peak_18012_lociStitched	chr2	219756896	219763029	2	5988	13772.2648	205	1
5_MACS_peak_9768_lociStitched	chr15	52969785	52976972	5	6496	13729.3261	206	1
3_MACS_peak_32637_lociStitched	chrX	58124264	58135315	3	10678	13718.7114	207	1
4_MACS_peak_4996_lociStitched	chr11	22686112	22694573	4	8240	13705.1278	208	1
4_MACS_peak_16825_lociStitched	chr2	99060739	99069499	4	8333	13688.376	209	1
1_MACS_peak_16667_lociStitched	chr2	86262204	86267222	1	5019	13681.577	210	1
4_MACS_peak_11473_lociStitched	chr16	67595292	67601310	4	5331	13677.7104	211	1
1_MACS_peak_2367_lociStitched	chr1	179049559	179053500	1	3942	13581.4742	212	1
5_MACS_peak_16438_lociStitched	chr2	65615337	65623671	5	7485	13576.9194	213	1
2_MACS_peak_10340_lociStitched	chr15	89654500	89661045	2	6544	13539.6415	214	1
4_MACS_peak_10857_lociStitched	chr16	12056687	12065035	4	8258	13538.7864	215	1
5_MACS_peak_8520_lociStitched	chr13	115042086	115048249	5	5937	13521.0057	216	1
2_MACS_peak_32019_lociStitched	chr9	132646830	132652121	2	5219	13487.8172	217	1
1_MACS_peak_15399_lociStitched	chr19	47614174	47617630	1	3457	13440.0384	218	1
1_MACS_peak_8495_lociStitched	chr13	114562507	114567915	1	5409	13432.3904	219	1
5_MACS_peak_23794_lociStitched	chr4	144273296	144282065	5	8247	13413.9393	220	1
3_MACS_peak_23282_lociStitched	chr4	76023359	76029371	3	5581	13384.5156	221	1
1_MACS_peak_22601_lociStitched	chr3	194022634	194026694	1	4061	13358.618	222	1
6_MACS_peak_23082_lociStitched	chr4	40302506	40312310	6	9049	13316.7732	223	1
2_MACS_peak_16230_lociStitched	chr2	47208583	47214354	2	5737	13274.4542	224	1
2_MACS_peak_16242_lociStitched	chr2	47535494	47540170	2	4639	13255.0572	225	1
1_MACS_peak_3218_lociStitched	chr1	244996729	244999754	1	3026	13247.685	226	1
2_MACS_peak_16038_lociStitched	chr2	33717481	33724397	2	6777	13246.2148	227	1
3_MACS_peak_3042_lociStitched	chr1	228269211	228274045	3	4669	13224.8572	228	1
2_MACS_peak_1796_lociStitched	chr1	149856079	149860960	2	4667	13218.2361	229	1
1_MACS_peak_32066_lociStitched	chr9	134549781	134555458	1	5678	13153.0413	230	1
1_MACS_peak_2906_lociStitched	chr1	218336050	218339538	1	3489	13141.3888	231	1
2_MACS_peak_25300_lociStitched	chr5	139013583	139019214	2	5546	13112.3466	232	1
3_MACS_peak_17291_lociStitched	chr2	135162881	135170616	3	7636	13109.278	233	1
2_MACS_peak_9614_lociStitched	chr15	42894976	42901996	2	6925	13091.598	234	1
3_MACS_peak_20334_lociStitched	chr22	39377430	39384406	3	6398	13059.072	235	1
2_MACS_peak_1935_lociStitched	chr1	154923355	154929758	2	6332	13046.1125	236	1
1_MACS_peak_28884_lociStitched	chr7	102064056	102068509	1	4454	13032.1498	237	1
1_MACS_peak_19670_lociStitched	chr21	43428969	43431548	1	2580	13026.529	238	1
3_MACS_peak_19726_lociStitched	chr21	45198194	45204477	3	5993	12986.961	239	1
3_MACS_peak_16795_lociStitched	chr2	97190382	97196260	3	5448	12975.685	240	1
2_MACS_peak_31456_lociStitched	chr9	93702323	93708262	2	5840	12952.3651	241	1
5_MACS_peak_9802_lociStitched	chr15	56657025	56665596	5	8114	12828.2157	242	1
4_MACS_peak_11943_lociStitched	chr17	4273998	4281620	4	7257	12797.338	243	1
5_MACS_peak_12780_lociStitched	chr17	43298394	43307156	5	7773	12767.1102	244	1
3_MACS_peak_14330_lociStitched	chr19	659907	663876	3	3763	12744.459	245	1
4_MACS_peak_19958_lociStitched	chr22	23478087	23485101	4	6674	12710.0694	246	1
2_MACS_peak_3826_lociStitched	chr10	63804789	63811747	2	6812	12686.5214	247	1
2_MACS_peak_4567_lociStitched	chr10	125848778	125854509	2	5510	12684.9954	248	1
4_MACS_peak_28712_lociStitched	chr7	92438151	92445495	4	7080	12682.3536	249	1
4_MACS_peak_7123_lociStitched	chr12	57076649	57083415	4	6526	12657.8328	250	1
2_MACS_peak_1993_lociStitched	chr1	155912834	155918867	2	6025	12650.5977	251	1
1_MACS_peak_19639_lociStitched	chr21	41303068	41309149	1	6082	12642.399	252	1
1_MACS_peak_18778_lociStitched	chr20	32424053	32432149	1	8097	12632.9984	253	1
4_MACS_peak_27449_lociStitched	chr6	135190239	135196565	4	5933	12619.1048	254	1
1_MACS_peak_1910_lociStitched	chr1	154297232	154301840	1	4609	12618.5472	255	1
2_MACS_peak_12417_lociStitched	chr17	32713379	32719486	2	6062	12609.1229	256	1
1_MACS_peak_22458_lociStitched	chr3	183241751	183246566	1	4816	12596.04	257	1
3_MACS_peak_17966_lociStitched	chr2	217080682	217088744	3	7940	12593.6502	258	1
4_MACS_peak_3596_lociStitched	chr10	30989987	30996679	4	6109	12577.614	259	1
2_MACS_peak_4431_lociStitched	chr10	112216489	112223197	2	6351	12521.1528	260	1
2_MACS_peak_12134_lociStitched	chr17	16889799	16895335	2	5500	12518.5568	261	1
2_MACS_peak_14036_lociStitched	chr18	46453946	46462779	2	8497	12499.5783	262	1
2_MACS_peak_508_lociStitched	chr1	27021413	27025422	2	3795	12484.4269	263	1
1_MACS_peak_2652_lociStitched	chr1	203732014	203735676	1	3663	12481.927	264	1
6_MACS_peak_208_lociStitched	chr1	11623230	11631491	6	7329	12478.2405	265	1
3_MACS_peak_7545_lociStitched	chr12	102871205	102878979	3	7637	12450.061	266	1
5_MACS_peak_22109_lociStitched	chr3	150315502	150322952	5	6758	12438.52	267	1
6_MACS_peak_22887_lociStitched	chr4	12697314	12705360	6	7587	12409.3458	268	1
2_MACS_peak_1943_lociStitched	chr1	154971093	154976710	2	5497	12405.7062	269	1
1_MACS_peak_31461_lociStitched	chr9	93795500	93799533	1	4034	12386.9562	270	1
4_MACS_peak_20858_lociStitched	chr3	23847008	23853532	4	5690	12357.1084	271	1
3_MACS_peak_19188_lociStitched	chr20	52205475	52211932	3	6232	12351.5953	272	1
5_MACS_peak_18738_lociStitched	chr20	31255745	31263179	5	6650	12346.3872	273	1
4_MACS_peak_30693_lociStitched	chr8	134508814	134515264	4	6155	12337.56	274	1
2_MACS_peak_20764_lociStitched	chr3	14162046	14167299	2	5243	12331.4175	275	1
2_MACS_peak_13386_lociStitched	chr17	74257649	74262769	2	4667	12330.496	276	1
3_MACS_peak_10015_lociStitched	chr15	70387731	70393794	3	5548	12329.1105	277	1
4_MACS_peak_23136_lociStitched	chr4	48195288	48201509	4	5892	12316.3358	278	1
3_MACS_peak_25191_lociStitched	chr5	131790001	131795823	3	5761	12313.53	279	1
1_MACS_peak_25850_lociStitched	chr6	303929	308329	1	4401	12296.24	280	1
3_MACS_peak_24366_lociStitched	chr5	32581123	32587193	3	5958	12295.999	281	1
3_MACS_peak_9271_lociStitched	chr14	106323746	106329491	3	5584	12292.002	282	1
6_MACS_peak_28417_lociStitched	chr7	55636289	55642645	6	6064	12249.2832	283	1
4_MACS_peak_19061_lociStitched	chr20	45980320	45986987	4	6578	12249.2791	284	1
2_MACS_peak_15239_lociStitched	chr19	41768318	41772131	2	3411	12245.0682	285	1
1_MACS_peak_19264_lociStitched	chr20	56047973	56053124	1	5152	12224.3532	286	1
2_MACS_peak_4446_lociStitched	chr10	112600307	112605862	2	5155	12180.4485	287	1
1_MACS_peak_7462_lociStitched	chr12	94597590	94603358	1	5769	12179.7088	288	1
1_MACS_peak_4415_lociStitched	chr10	111967198	111972424	1	5227	12178.6704	289	1
3_MACS_peak_1792_lociStitched	chr1	149821500	149825466	3	3936	12164.9118	290	1
2_MACS_peak_5995_lociStitched	chr11	111306882	111312440	2	5130	12145.8974	291	1
2_MACS_peak_31598_lociStitched	chr9	100744755	100747906	2	3125	12140.803	292	1
2_MACS_peak_5272_lociStitched	chr11	60604163	60610865	2	6601	12131.9604	293	1
3_MACS_peak_30258_lociStitched	chr8	80634684	80641214	3	6364	12090.948	294	1
1_MACS_peak_17536_lociStitched	chr2	174827888	174831013	1	3126	12078.75	295	1
3_MACS_peak_9535_lociStitched	chr15	40395110	40402066	3	6593	12063.0952	296	1
1_MACS_peak_24142_lociStitched	chr5	9952	11916	1	1965	12028.7144	297	1
2_MACS_peak_7490_lociStitched	chr12	96587463	96590864	2	3339	12028.3167	298	1
3_MACS_peak_13960_lociStitched	chr18	42259012	42264177	3	4974	11990.5475	299	1
3_MACS_peak_20308_lociStitched	chr22	38708550	38714797	3	5813	11961.7556	300	1
1_MACS_peak_1791_lociStitched	chr1	149811522	149815637	1	4116	11952.8405	301	1
3_MACS_peak_3703_lociStitched	chr10	45389590	45395477	3	5555	11941.7795	302	1
4_MACS_peak_27185_lociStitched	chr6	108925678	108934817	4	7818	11940.1035	303	1
5_MACS_peak_14843_lociStitched	chr19	16251559	16258487	5	6400	11908.5392	304	1
