REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM.1S.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper.1
5_MACS_peak_12129_lociStitched	chr17	16869394	16882822	5	12375	21153.1284	67	1	TNFRSF13B		TNFRSF13B	67	1
6_MACS_peak_7623_lociStitched	chr12	108954120	108966332	6	11668	20976.5524	68	1	ISCU,SART3	FICD,TMEM119	ISCU	68	1
4_MACS_peak_16663_lociStitched	chr2	86219781	86228882	4	8612	20769.3921	69	1		LOC90784	LOC90784	69	1
2_MACS_peak_12581_lociStitched	chr17	37909625	37915791	2	6077	20733.175	70	1		GRB7,C17orf37	GRB7	70	1
3_MACS_peak_31473_lociStitched	chr9	94182539	94192465	3	9627	20685.784	71	1	NFIL3		NFIL3	71	1
4_MACS_peak_20742_lociStitched	chr3	13049272	13060825	4	11028	20653.2981	72	1	IQSEC1	IQSEC1	IQSEC1	72	1
5_MACS_peak_12408_lociStitched	chr17	32688789	32699949	5	10870	20504.268	73	1	CCL1	CCL8,CCL13	CCL1	73	1
1_MACS_peak_17250_lociStitched	chr2	133022192	133027648	1	5457	20259.2192	74	1		MIR663B,ANKRD30BL	ANKRD30BL	74	1
3_MACS_peak_13729_lociStitched	chr18	9060503	9070992	3	10250	19962.6648	75	1		NDUFV2	NDUFV2	75	1
4_MACS_peak_21822_lociStitched	chr3	124502155	124512681	4	10034	19927.8232	76	1	ITGB5		UMPS	76	1
2_MACS_peak_26439_lociStitched	chr6	32935684	32941001	2	5124	19708.5239	77	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	77	1
1_MACS_peak_15186_lociStitched	chr19	39891285	39899281	1	7997	19622.9836	78	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	78	1
5_MACS_peak_28632_lociStitched	chr7	78115086	78127922	5	12082	19282.2392	79	1	MAGI2		RPL13AP17	79	1
2_MACS_peak_18716_lociStitched	chr20	30292054	30301516	2	9448	19179.474	80	1	BCL2L1	TPX2	BCL2L1	80	1
1_MACS_peak_1916_lociStitched	chr1	154386688	154394445	1	7758	19152.8087	81	1	IL6R		IL6R	81	1
3_MACS_peak_20068_lociStitched	chr22	29191011	29199658	3	7927	19130.6228	82	1	XBP1	CCDC117	XBP1	82	1
4_MACS_peak_18158_lociStitched	chr2	232570664	232576139	4	5268	19005.915	83	1	PTMA	MIR1244-1	PTMA	83	1
1_MACS_peak_9416_lociStitched	chr15	31553979	31560827	1	6849	19001.1456	84	1			KLF13	84	1
1_MACS_peak_25290_lociStitched	chr5	138723050	138730403	1	7354	18908.2395	85	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	85	1
6_MACS_peak_9261_lociStitched	chr14	106145425	106155331	6	9283	18831.306	86	1			TMEM121	86	1
2_MACS_peak_19739_lociStitched	chr21	45562258	45568058	2	5742	18633.08	87	1	C21orf33	PWP2	C21orf33	87	1
5_MACS_peak_16065_lociStitched	chr2	37540792	37553230	5	11998	18597.2976	88	1	PRKD3	QPCT	PRKD3	88	1
1_MACS_peak_6918_lociStitched	chr12	48200854	48209035	1	8182	18460.4265	89	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	89	1
2_MACS_peak_2689_lociStitched	chr1	205252547	205258278	2	5641	18358.1123	90	1		NUAK2	NUAK2	90	1
5_MACS_peak_26248_lociStitched	chr6	26357595	26367273	5	9017	18352.3914	91	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	91	1
5_MACS_peak_11357_lociStitched	chr16	56944102	56953159	5	8293	18307.8198	92	1	SLC12A3	HERPUD1,CETP	HERPUD1	92	1
2_MACS_peak_23346_lociStitched	chr4	78736215	78743041	2	6450	18151.0166	93	1	CNOT6L	MRPL1	CNOT6L	93	1
1_MACS_peak_13457_lociStitched	chr17	75435102	75442959	1	7858	18149.67	94	1	SEPT9	SEPT9,MIR4316	SEPT9	94	1
2_MACS_peak_16735_lociStitched	chr2	89049021	89056077	2	6998	18147.3264	95	1	RPIA	ANKRD36BP2	ANKRD36BP2	95	1
2_MACS_peak_24240_lociStitched	chr5	6480022	6486951	2	6900	18142.2007	96	1	UBE2QL1		UBE2QL1	96	1
5_MACS_peak_19255_lociStitched	chr20	55966098	55975319	5	8862	18132.1744	97	1	RBM38	RAE1,MTRNR2L3	RBM38	97	1
10_MACS_peak_13293_lociStitched	chr17	72744063	72757192	10	11777	18127.2103	98	1	SLC9A3R1,MIR3615	RAB37,TMEM104,CD300LF,NAT9	SLC9A3R1	98	1
2_MACS_peak_15791_lociStitched	chr2	11883616	11892052	2	8353	18117.1536	99	1	LPIN1		LPIN1	99	1
1_MACS_peak_24022_lociStitched	chr4	185201280	185206922	1	5643	18097.2792	100	1			ENPP6	100	1
2_MACS_peak_26705_lociStitched	chr6	45386941	45394971	2	7874	17934.202	101	1	RUNX2	SUPT3H	RUNX2	101	1
1_MACS_peak_29438_lociStitched	chr7	150064010	150068135	1	4126	17865.375	102	1	REPIN1	LRRC61,C7orf29,REPIN1,ZNF775,LOC728743,ACTR3C,RARRES2	REPIN1	102	1
1_MACS_peak_1996_lociStitched	chr1	155946162	155952062	1	5901	17796.76	103	1	ARHGEF2	RXFP4,KIAA0907,SSR2	ARHGEF2	103	1
1_MACS_peak_29201_lociStitched	chr7	129588773	129592925	1	4153	17723.6424	104	1	UBE2H		UBE2H	104	1
3_MACS_peak_4846_lociStitched	chr11	10323799	10332929	3	9088	17718.591	105	1	ADM	SBF2	ADM	105	1
3_MACS_peak_18310_lociStitched	chr2	239166818	239176766	3	9929	17682.57	106	1	PER2	LOC643387,LOC151174,HES6	HES6	106	1
4_MACS_peak_12625_lociStitched	chr17	38473593	38483797	4	9929	17642.716	107	1	RARA	CDC6,RARA,GJD3	RARA	107	1
2_MACS_peak_2633_lociStitched	chr1	203264098	203271944	2	7800	17589.9474	108	1	LOC730227	BTG2,FMOD	LOC730227	108	1
2_MACS_peak_27166_lociStitched	chr6	108878419	108884467	2	5995	17570.0448	109	1	FOXO3		FOXO3	109	1
1_MACS_peak_22551_lociStitched	chr3	186780867	186785839	1	4973	17532.7636	110	1	ST6GAL1		ST6GAL1	110	1
5_MACS_peak_31449_lociStitched	chr9	93681163	93690145	5	8768	17528.373	111	1			SYK	111	1
4_MACS_peak_18169_lociStitched	chr2	232687268	232703050	4	15538	17475.4086	112	1		COPS7B,PDE6D	COPS7B	112	1
3_MACS_peak_12008_lociStitched	chr17	6062770	6071223	3	8081	17404.727	113	1			WSCD1	113	1
1_MACS_peak_29444_lociStitched	chr7	150101282	150105869	1	4588	17347.5753	114	1	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	114	1
3_MACS_peak_16831_lociStitched	chr2	99075172	99083338	3	8002	17288.2386	115	1	INPP4A		INPP4A	115	1
1_MACS_peak_2574_lociStitched	chr1	200859423	200865112	1	5690	17242.2212	116	1	C1orf106	GPR25	C1orf106	116	1
2_MACS_peak_19613_lociStitched	chr21	38737799	38740823	2	2963	17212.0032	117	1	DYRK1A		DYRK1A	117	1
3_MACS_peak_14388_lociStitched	chr19	1647722	1653578	3	5730	17172.1344	118	1	TCF3	UQCR11	TCF3	118	1
3_MACS_peak_4740_lociStitched	chr11	2793066	2801186	3	7911	17168.928	119	1	KCNQ1		KCNQ1OT1	119	1
1_MACS_peak_4419_lociStitched	chr10	112113599	112119406	1	5808	17152.1359	120	1		SMNDC1	SMNDC1	120	1
1_MACS_peak_398_lociStitched	chr1	23850740	23857910	1	7171	17036.637	121	1	E2F2	ASAP3,ID3	E2F2	121	1
2_MACS_peak_28405_lociStitched	chr7	55598389	55604753	2	6126	17011.6084	122	1	VOPP1		VOPP1	122	1
5_MACS_peak_3095_lociStitched	chr1	230238646	230248929	5	9712	16944.3274	123	1	GALNT2		GALNT2	123	1
1_MACS_peak_18978_lociStitched	chr20	42695430	42700669	1	5240	16884.2492	124	1	TOX2		JPH2	124	1
3_MACS_peak_27201_lociStitched	chr6	108987781	108997167	3	9076	16753.0714	125	1	FOXO3		NCRNA00222	125	1
3_MACS_peak_18126_lociStitched	chr2	231729551	231739437	3	9599	16597.6054	126	1	ITM2C		ITM2C	126	1
1_MACS_peak_19079_lociStitched	chr20	46386238	46392722	1	6485	16503.7252	127	1	SULF2		SULF2	127	1
2_MACS_peak_14455_lociStitched	chr19	2607119	2611805	2	4578	16491.4398	128	1	GNG7		GNG7	128	1
1_MACS_peak_25200_lociStitched	chr5	131829848	131837088	1	7241	16488.376	129	1		IRF1,IL5	IRF1	129	1
2_MACS_peak_18786_lociStitched	chr20	32468011	32473665	2	5653	16469.5366	130	1			CHMP4B	130	1
1_MACS_peak_2430_lociStitched	chr1	183809123	183815236	1	6114	16336.9925	131	1	RGL1		APOBEC4	131	1
3_MACS_peak_5237_lociStitched	chr11	58340357	58347600	3	6824	16309.0631	132	1	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	132	1
2_MACS_peak_25303_lociStitched	chr5	139046842	139051798	2	4849	16264.1052	133	1	CXXC5		CXXC5	133	1
4_MACS_peak_12471_lociStitched	chr17	34415847	34423957	4	7580	16138.089	134	1	CCL3	CCL18,CCL4	CCL3	134	1
2_MACS_peak_22364_lociStitched	chr3	176859301	176866795	2	7326	16017.6756	135	1	TBL1XR1		TBL1XR1	135	1
1_MACS_peak_29222_lociStitched	chr7	130790792	130795903	1	5112	16012.2519	136	1	MKLN1,FLJ43663		FLJ43663	136	1
3_MACS_peak_14426_lociStitched	chr19	2254851	2261821	3	6820	15978.028	137	1	JSRP1	SF3A2,AMH,MIR4321,OAZ1,MIR1227,PLEKHJ1,C19orf35,LINGO3	JSRP1	137	1
6_MACS_peak_9549_lociStitched	chr15	40834038	40843891	6	9132	15938.2128	138	1		RPUSD2,CASC5,MRPL42P5,C15orf57	MRPL42P5	138	1
1_MACS_peak_29033_lociStitched	chr7	113724303	113728093	1	3791	15922.927	139	1	FOXP2		FOXP2	139	1
1_MACS_peak_22222_lociStitched	chr3	160116628	160120630	1	4003	15898.7454	140	1	SMC4,IFT80	MIR15B,MIR16-2,IFT80,TRIM59	SMC4	140	1
3_MACS_peak_4973_lociStitched	chr11	19451466	19459096	3	7500	15864.296	141	1	NAV2		NAV2	141	1
4_MACS_peak_21967_lociStitched	chr3	133192061	133199699	4	7133	15841.212	142	1	BFSP2		BFSP2	142	1
5_MACS_peak_20255_lociStitched	chr22	37610784	37621227	5	9169	15837.8538	143	1		C1QTNF6,SSTR3,RAC2	SSTR3	143	1
2_MACS_peak_11430_lociStitched	chr16	66553426	66559856	2	6232	15829.374	144	1	TK2	CKLF,CMTM1	TK2	144	1
2_MACS_peak_16073_lociStitched	chr2	37570748	37578401	2	7400	15802.6797	145	1	QPCT	PRKD3	QPCT	145	1
2_MACS_peak_22633_lociStitched	chr3	195631945	195637188	2	5199	15787.1973	146	1	TNK2	TNK2	TNK2	146	1
2_MACS_peak_12549_lociStitched	chr17	36856351	36862715	2	6305	15783.3564	147	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	147	1
2_MACS_peak_20038_lociStitched	chr22	26984597	26992260	2	7643	15763.5573	148	1	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	148	1
1_MACS_peak_6418_lociStitched	chr12	4378085	4385300	1	7216	15763.332	149	1	CCND2	C12orf5	CCND2	149	1
1_MACS_peak_2762_lociStitched	chr1	207094106	207098127	1	4022	15714.8722	150	1	FAIM3	IL24,PIGR,FCAMR	FAIM3	150	1
2_MACS_peak_25178_lociStitched	chr5	131435892	131441654	2	5722	15706.6358	151	1		IL3,CSF2	CSF2	151	1
3_MACS_peak_27181_lociStitched	chr6	108911650	108921421	3	9701	15695.1573	152	1	FOXO3		FOXO3	152	1
3_MACS_peak_1720_lociStitched	chr1	145449112	145457332	3	8068	15692.802	153	1	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L	TXNIP	153	1
1_MACS_peak_13026_lociStitched	chr17	56411709	56417701	1	5993	15652.3024	154	1		BZRAP1,MIR142,SUPT4H1	MIR142	154	1
1_MACS_peak_25848_lociStitched	chr6	291100	294496	1	3397	15552.6612	155	1	DUSP22		DUSP22	155	1
1_MACS_peak_28933_lociStitched	chr7	104652026	104656836	1	4811	15511.769	156	1	MLL5,LOC100216545		LOC100216545	156	1
2_MACS_peak_11022_lociStitched	chr16	23343818	23350253	2	6385	15390.5895	157	1	SCNN1B		SCNN1B	157	1
2_MACS_peak_26027_lociStitched	chr6	11829265	11837745	2	8100	15345.408	158	1		C6orf105	C6orf105	158	1
1_MACS_peak_24035_lociStitched	chr4	185302339	185307859	1	5521	15289.296	159	1			IRF2	159	1
3_MACS_peak_19640_lociStitched	chr21	41325040	41334192	3	8703	15249.9776	160	1			PCP4	160	1
2_MACS_peak_27134_lociStitched	chr6	106610604	106617176	2	6553	15095.2268	161	1			PRDM1	161	1
3_MACS_peak_27393_lociStitched	chr6	130003433	130010814	3	6925	15091.1926	162	1	ARHGAP18		ARHGAP18	162	1
5_MACS_peak_32553_lociStitched	chrX	48791301	48799401	5	7471	14963.94	163	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	PIM2	163	1
3_MACS_peak_9532_lociStitched	chr15	40387041	40394506	3	7365	14944.93	164	1	BMF		BMF	164	1
2_MACS_peak_30698_lociStitched	chr8	134579712	134585653	2	5931	14901.8103	165	1	ST3GAL1		ST3GAL1	165	1
3_MACS_peak_19722_lociStitched	chr21	45136183	45140678	3	4443	14872.6065	166	1	PDXK		PDXK	166	1
4_MACS_peak_10094_lociStitched	chr15	75072726	75083139	4	10069	14869.764	167	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	167	1
3_MACS_peak_29558_lociStitched	chr8	2028828	2035872	3	6704	14848.752	168	1	MYOM2		MYOM2	168	1
2_MACS_peak_15263_lociStitched	chr19	42054949	42062539	2	7579	14833.896	169	1		CEACAM21	CEACAM21	169	1
1_MACS_peak_2362_lociStitched	chr1	178546885	178551737	1	4853	14801.026	170	1		C1orf220	C1orf220	170	1
2_MACS_peak_6410_lociStitched	chr12	4224666	4230033	2	5093	14758.1766	171	1			CCND2	171	1
2_MACS_peak_10504_lociStitched	chr15	101738080	101743853	2	5674	14746.5512	172	1	CHSY1		CHSY1	172	1
1_MACS_peak_16515_lociStitched	chr2	70311921	70315918	1	3998	14699.3672	173	1	PCBP1,LOC400960	LOC100133985	LOC400960	173	1
7_MACS_peak_27124_lociStitched	chr6	106544997	106555565	7	10010	14673.668	174	1	PRDM1		PRDM1	174	1
2_MACS_peak_14887_lociStitched	chr19	16694123	16700587	2	6442	14664.8768	175	1	MED26	CHERP,SLC35E1	SLC35E1	175	1
2_MACS_peak_18991_lociStitched	chr20	43270804	43278135	2	7176	14648.0711	176	1	ADA	LOC79015	ADA	176	1
3_MACS_peak_28876_lociStitched	chr7	101946489	101952768	3	6061	14642.628	177	1	SH2B2	MIR4285,SPDYE6	MIR4285	177	1
2_MACS_peak_27132_lociStitched	chr6	106588730	106595836	2	7104	14538.1654	178	1		PRDM1	PRDM1	178	1
1_MACS_peak_16799_lociStitched	chr2	97201416	97205757	1	4342	14511.0948	179	1	ARID5A	NEURL3	ARID5A	179	1
3_MACS_peak_23240_lociStitched	chr4	71541681	71549477	3	7545	14504.458	180	1		ENAM,UTP3,RUFY3,IGJ	UTP3	180	1
6_MACS_peak_2488_lociStitched	chr1	192506356	192515523	6	8177	14494.8604	181	1		RGS1	RGS1	181	1
1_MACS_peak_19278_lociStitched	chr20	56253207	56258685	1	5479	14452.6074	182	1	PMEPA1		PMEPA1	182	1
1_MACS_peak_1924_lociStitched	chr1	154755867	154760918	1	5052	14427.6764	183	1	KCNN3		KCNN3	183	1
1_MACS_peak_3100_lociStitched	chr1	230256773	230262319	1	5547	14400.7436	184	1	GALNT2		GALNT2	184	1
7_MACS_peak_28395_lociStitched	chr7	55569331	55580740	7	10079	14393.5944	185	1	VOPP1		VOPP1	185	1
1_MACS_peak_20387_lociStitched	chr22	39840584	39845329	1	4746	14384.942	186	1		TAB1,MGAT3	MGAT3	186	1
4_MACS_peak_4930_lociStitched	chr11	16979276	16986334	4	6886	14379.9692	187	1	PLEKHA7		PLEKHA7	187	1
2_MACS_peak_24851_lociStitched	chr5	88177473	88186007	2	8355	14375.523	188	1	MEF2C		MEF2C	188	1
2_MACS_peak_10829_lociStitched	chr16	11773675	11783220	2	9473	14367.134	189	1	TXNDC11	SNN	SNN	189	1
5_MACS_peak_28064_lociStitched	chr7	26002362	26009473	5	6644	14361.3756	190	1		MIR148A	MIR148A	190	1
1_MACS_peak_426_lociStitched	chr1	24512887	24518947	1	6061	14359.17	191	1	IL28RA	LOC284632,IL22RA1	IL28RA	191	1
1_MACS_peak_16140_lociStitched	chr2	42328318	42334131	1	5814	14292.4231	192	1			PKDCC	192	1
3_MACS_peak_832_lociStitched	chr1	40846914	40856490	3	9529	14264.4096	193	1	SMAP2	SMAP2	SMAP2	193	1
6_MACS_peak_1606_lociStitched	chr1	118195816	118204492	6	8239	14253.8004	194	1		FAM46C	FAM46C	194	1
1_MACS_peak_18173_lociStitched	chr2	232703596	232714823	1	11228	14216.7501	195	1		MIR1471	MIR1471	195	1
2_MACS_peak_2534_lociStitched	chr1	197743047	197748727	2	5509	14144.336	196	1	DENND1B		DENND1B	196	1
1_MACS_peak_19647_lociStitched	chr21	41383973	41389930	1	5958	14131.1954	197	1	DSCAM		PCP4	197	1
2_MACS_peak_29896_lociStitched	chr8	29629681	29634340	2	4613	14069.2482	198	1		C8orf75	C8orf75	198	1
1_MACS_peak_9989_lociStitched	chr15	69109118	69114061	1	4944	14038.6143	199	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	199	1
2_MACS_peak_12993_lociStitched	chr17	55431534	55436661	2	5096	14019.7815	200	1	MSI2		MSI2	200	1
2_MACS_peak_16165_lociStitched	chr2	43451240	43455759	2	4428	14018.3899	201	1	LOC100129726,ZFP36L2		ZFP36L2	201	1
2_MACS_peak_19336_lociStitched	chr20	61277257	61285118	2	7771	13997.2966	202	1	SLCO4A1	LOC100127888	SLCO4A1	202	1
1_MACS_peak_6044_lociStitched	chr11	115090125	115096502	1	6378	13936.2958	203	1	CADM1		CADM1	203	1
2_MACS_peak_17824_lociStitched	chr2	202120587	202127078	2	6454	13790.1295	204	1	CASP8		CASP8	204	1
2_MACS_peak_18012_lociStitched	chr2	219756896	219763029	2	5988	13772.2648	205	1	WNT10A	WNT6	WNT10A	205	1
