REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM.1S.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
4_MACS_peak_18169_lociStitched	chr2	232687268	232703050	4	15538	17475.4086	27	1		COPS7B,PDE6D	COPS7B	COPS7B	0.2112	27	1
4_MACS_peak_25187_lociStitched	chr5	131753798	131767712	4	13243	28021.4046	28	1	C5orf56	SLC22A5	C5orf56	C5orf56	1.1159	28	1
3_MACS_peak_4561_lociStitched	chr10	125823089	125836307	3	12881	27887.3364	29	1	CHST15		CHST15	CHST15	0.7391	29	1
4_MACS_peak_17803_lociStitched	chr2	201980360	201992722	4	11973	28951.804	30	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.6339	30	1
5_MACS_peak_27008_lociStitched	chr6	90058550	90070965	5	12113	28240.4005	31	1	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.7299	31	1
4_MACS_peak_20313_lociStitched	chr22	38782147	38795584	4	12996	24974.0082	32	1	LOC400927	KCNJ4	LOC400927	LOC400927	0.5379	32	1
2_MACS_peak_3018_lociStitched	chr1	226839383	226852263	2	12859	25135.32	33	1	ITPKB		ITPKB	ITPKB	0.569	33	1
2_MACS_peak_19941_lociStitched	chr22	23228637	23241257	2	12584	26170.094	34	1	IGLL5		IGLL5	IGLL5	1.647	34	1
1_MACS_peak_5412_lociStitched	chr11	65183878	65192645	1	8768	34045.7678	35	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.5886	35	1
2_MACS_peak_26194_lociStitched	chr6	25403329	25415276	2	11923	25635.8726	36	1	LRRC16A		LRRC16A	LRRC16A	0.2434	36	1
2_MACS_peak_9267_lociStitched	chr14	106157435	106168957	2	11140	28127.5064	37	1			TMEM121	TMEM121	0.1848	37	1
3_MACS_peak_22455_lociStitched	chr3	183228023	183239468	3	11343	26989.599	38	1	KLHL6		KLHL6	KLHL6	1.0482	38	1
2_MACS_peak_2638_lociStitched	chr1	203288256	203297486	2	9157	31426.304	39	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	1.7146	39	1
5_MACS_peak_12129_lociStitched	chr17	16869394	16882822	5	12375	21153.1284	40	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.7306	40	1
1_MACS_peak_19742_lociStitched	chr21	45572804	45580853	1	8050	33336.5433	41	1		PWP2,C21orf33	C21orf33	C21orf33	1.3019	41	1
2_MACS_peak_1817_lociStitched	chr1	150532554	150542749	2	9944	28796.797	42	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	0.6624	42	1
3_MACS_peak_13431_lociStitched	chr17	75135740	75146541	3	10648	26412.7654	43	1	SEC14L1	SEC14L1	SEC14L1	SEC14L1	0.7207	43	1
2_MACS_peak_22384_lociStitched	chr3	178230184	178241314	2	11099	23843.799	44	1		KCNMB2	KCNMB2	KCNMB2	0.1482	44	1
2_MACS_peak_7636_lociStitched	chr12	109021027	109031682	2	10636	25215.0575	45	1	SELPLG	TMEM119	SELPLG	SELPLG	1.4915	45	1
5_MACS_peak_28632_lociStitched	chr7	78115086	78127922	5	12082	19282.2392	46	1	MAGI2		RPL13AP17	RPL13AP17	NONE	46	1
6_MACS_peak_7623_lociStitched	chr12	108954120	108966332	6	11668	20976.5524	47	1	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	1.3366	47	1
2_MACS_peak_14415_lociStitched	chr19	2082173	2091358	2	9124	28650.7705	48	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	MOBKL2A	1.176	48	1
1_MACS_peak_7032_lociStitched	chr12	53590696	53601183	1	10488	24833.216	49	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	1.1844	49	1
5_MACS_peak_16065_lociStitched	chr2	37540792	37553230	5	11998	18597.2976	50	1	PRKD3	QPCT	PRKD3	QPCT	0.9479	50	1
2_MACS_peak_1933_lociStitched	chr1	154908534	154918950	2	10199	24436.9776	51	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PYGO2	1.4069	51	1
1_MACS_peak_19981_lociStitched	chr22	24183011	24191883	1	8873	28074.5568	52	1		SLC2A11,MIF,DERL3	DERL3	DERL3	1.1016	52	1
10_MACS_peak_13293_lociStitched	chr17	72744063	72757192	10	11777	18127.2103	53	1	SLC9A3R1,MIR3615	RAB37,TMEM104,CD300LF,NAT9	SLC9A3R1	RAB37	0.7658	53	1
4_MACS_peak_20742_lociStitched	chr3	13049272	13060825	4	11028	20653.2981	54	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.2533	54	1
5_MACS_peak_12408_lociStitched	chr17	32688789	32699949	5	10870	20504.268	55	1	CCL1	CCL8,CCL13	CCL1	CCL1	0.9699	55	1
2_MACS_peak_10376_lociStitched	chr15	90637116	90646423	2	9256	25506.7642	56	1	IDH2		IDH2	IDH2	1.0803	56	1
1_MACS_peak_22367_lociStitched	chr3	176912674	176921062	1	8389	26623.512	57	1	TBL1XR1		TBL1XR1	TBL1XR1	0.5444	57	1
5_MACS_peak_17059_lociStitched	chr2	112455596	112465688	5	9901	21773.49	58	1			ANAPC1	ANAPC1	NONE	58	1
1_MACS_peak_1914_lociStitched	chr1	154374149	154383535	1	9387	23032.3054	59	1	IL6R		IL6R	IL6R	0.7478	59	1
3_MACS_peak_13729_lociStitched	chr18	9060503	9070992	3	10250	19962.6648	60	1		NDUFV2	NDUFV2	NDUFV2	0.7611	60	1
2_MACS_peak_24188_lociStitched	chr5	1311517	1320346	2	8775	24676.1721	61	1	CLPTM1L	TERT	TERT	TERT	0.1106	61	1
4_MACS_peak_21822_lociStitched	chr3	124502155	124512681	4	10034	19927.8232	62	1	ITGB5		UMPS	UMPS	0.1347	62	1
1_MACS_peak_18173_lociStitched	chr2	232703596	232714823	1	11228	14216.7501	63	1		MIR1471	MIR1471	MIR1471	0.1227	63	1
1_MACS_peak_20075_lociStitched	chr22	29212130	29221390	1	9261	22335.12	64	1		CCDC117,XBP1	XBP1	XBP1	1.7647	64	1
3_MACS_peak_31473_lociStitched	chr9	94182539	94192465	3	9627	20685.784	65	1	NFIL3		NFIL3	NFIL3	0.816	65	1
1_MACS_peak_14195_lociStitched	chr18	60822294	60830719	1	8426	23735.7525	66	1	BCL2		BCL2	BCL2	0.3813	66	1
3_MACS_peak_18310_lociStitched	chr2	239166818	239176766	3	9929	17682.57	67	1	PER2	LOC643387,LOC151174,HES6	HES6	HES6	0.4352	67	1
4_MACS_peak_12625_lociStitched	chr17	38473593	38483797	4	9929	17642.716	68	1	RARA	CDC6,RARA,GJD3	RARA	RARA	0.4934	68	1
3_MACS_peak_32637_lociStitched	chrX	58124264	58135315	3	10678	13718.7114	69	1			ZXDA	ZXDA	NONE	69	1
2_MACS_peak_18716_lociStitched	chr20	30292054	30301516	2	9448	19179.474	70	1	BCL2L1	TPX2	BCL2L1	BCL2L1	0.8685	70	1
2_MACS_peak_22548_lociStitched	chr3	186711511	186719690	2	8180	22915.9222	71	1	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.5297	71	1
5_MACS_peak_2799_lociStitched	chr1	209275199	209284092	5	8434	21828.7578	72	1			LOC642587	LOC642587	NONE	72	1
6_MACS_peak_9261_lociStitched	chr14	106145425	106155331	6	9283	18831.306	73	1			TMEM121	TMEM121	0.1848	73	1
5_MACS_peak_3095_lociStitched	chr1	230238646	230248929	5	9712	16944.3274	74	1	GALNT2		GALNT2	GALNT2	0.391	74	1
1_MACS_peak_18909_lociStitched	chr20	37498452	37506097	1	7646	23591.7055	75	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.1376	75	1
4_MACS_peak_16663_lociStitched	chr2	86219781	86228882	4	8612	20769.3921	76	1		LOC90784	LOC90784	LOC90784	0.1674	76	1
4_MACS_peak_10094_lociStitched	chr15	75072726	75083139	4	10069	14869.764	77	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	CSK	0.7319	77	1
7_MACS_peak_28395_lociStitched	chr7	55569331	55580740	7	10079	14393.5944	78	1	VOPP1		VOPP1	VOPP1	0.6847	78	1
7_MACS_peak_27124_lociStitched	chr6	106544997	106555565	7	10010	14673.668	79	1	PRDM1		PRDM1	PRDM1	0.9432	79	1
3_MACS_peak_18126_lociStitched	chr2	231729551	231739437	3	9599	16597.6054	80	1	ITM2C		ITM2C	ITM2C	0.7969	80	1
3_MACS_peak_27181_lociStitched	chr6	108911650	108921421	3	9701	15695.1573	81	1	FOXO3		FOXO3	FOXO3	0.8419	81	1
1_MACS_peak_19748_lociStitched	chr21	45660072	45665671	1	5600	26763.22	82	1	ICOSLG	AIRE,DNMT3L	ICOSLG	ICOSLG	1.281	82	1
5_MACS_peak_26248_lociStitched	chr6	26357595	26367273	5	9017	18352.3914	83	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	0.7782	83	1
1_MACS_peak_2632_lociStitched	chr1	203254979	203261357	1	6379	25159.2966	84	1		BTG2,LOC730227	LOC730227	LOC730227	1.7146	84	1
3_MACS_peak_4846_lociStitched	chr11	10323799	10332929	3	9088	17718.591	85	1	ADM	SBF2	ADM	ADM	1.5048	85	1
5_MACS_peak_19255_lociStitched	chr20	55966098	55975319	5	8862	18132.1744	86	1	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.8676	86	1
1_MACS_peak_22377_lociStitched	chr3	177073666	177079911	1	6246	24720.8325	87	1			TBL1XR1	TBL1XR1	0.5444	87	1
3_MACS_peak_27201_lociStitched	chr6	108987781	108997167	3	9076	16753.0714	88	1	FOXO3		NCRNA00222	NCRNA00222	NONE	88	1
3_MACS_peak_832_lociStitched	chr1	40846914	40856490	3	9529	14264.4096	89	1	SMAP2	SMAP2	SMAP2	SMAP2	0.4226	89	1
5_MACS_peak_31449_lociStitched	chr9	93681163	93690145	5	8768	17528.373	90	1			SYK	SYK	NONE	90	1
5_MACS_peak_20255_lociStitched	chr22	37610784	37621227	5	9169	15837.8538	91	1		C1QTNF6,SSTR3,RAC2	SSTR3	RAC2	0.8894	91	1
2_MACS_peak_10829_lociStitched	chr16	11773675	11783220	2	9473	14367.134	92	1	TXNDC11	SNN	SNN	SNN	0.6284	92	1
6_MACS_peak_9549_lociStitched	chr15	40834038	40843891	6	9132	15938.2128	93	1		RPUSD2,CASC5,MRPL42P5,C15orf57	MRPL42P5	C15orf57	0.6861	93	1
1_MACS_peak_19699_lociStitched	chr21	44580515	44587243	1	6729	23229.0928	94	1		CRYAA	CRYAA	CRYAA	1.2599	94	1
1_MACS_peak_15186_lociStitched	chr19	39891285	39899281	1	7997	19622.9836	95	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	1.7884	95	1
2_MACS_peak_15791_lociStitched	chr2	11883616	11892052	2	8353	18117.1536	96	1	LPIN1		LPIN1	LPIN1	0.3913	96	1
3_MACS_peak_3148_lociStitched	chr1	234741902	234749271	3	7128	21728.2334	97	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	1.8488	97	1
5_MACS_peak_11357_lociStitched	chr16	56944102	56953159	5	8293	18307.8198	98	1	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	0.9009	98	1
1_MACS_peak_2990_lociStitched	chr1	226127454	226133546	1	6093	23923.8932	99	1	LEFTY2	PYCR2	LEFTY2	LEFTY2	1.7729	99	1
1_MACS_peak_6918_lociStitched	chr12	48200854	48209035	1	8182	18460.4265	100	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.6936	100	1
3_MACS_peak_20068_lociStitched	chr22	29191011	29199658	3	7927	19130.6228	101	1	XBP1	CCDC117	XBP1	XBP1	1.7647	101	1
1_MACS_peak_1916_lociStitched	chr1	154386688	154394445	1	7758	19152.8087	102	1	IL6R		IL6R	IL6R	0.7478	102	1
3_MACS_peak_19640_lociStitched	chr21	41325040	41334192	3	8703	15249.9776	103	1			PCP4	PCP4	NONE	103	1
6_MACS_peak_23082_lociStitched	chr4	40302506	40312310	6	9049	13316.7732	104	1		CHRNA9	CHRNA9	CHRNA9	0.0599	104	1
3_MACS_peak_12008_lociStitched	chr17	6062770	6071223	3	8081	17404.727	105	1			WSCD1	WSCD1	NONE	105	1
1_MACS_peak_13457_lociStitched	chr17	75435102	75442959	1	7858	18149.67	106	1	SEPT9	SEPT9,MIR4316	SEPT9	SEPT9	0.3536	106	1
2_MACS_peak_26705_lociStitched	chr6	45386941	45394971	2	7874	17934.202	107	1	RUNX2	SUPT3H	RUNX2	RUNX2	0.198	107	1
1_MACS_peak_8505_lociStitched	chr13	114829470	114835046	1	5577	23537.4112	108	1	RASA3		RASA3	RASA3	0.4045	108	1
3_MACS_peak_16831_lociStitched	chr2	99075172	99083338	3	8002	17288.2386	109	1	INPP4A		INPP4A	INPP4A	0.7446	109	1
2_MACS_peak_2633_lociStitched	chr1	203264098	203271944	2	7800	17589.9474	110	1	LOC730227	BTG2,FMOD	LOC730227	LOC730227	1.7146	110	1
3_MACS_peak_4740_lociStitched	chr11	2793066	2801186	3	7911	17168.928	111	1	KCNQ1		KCNQ1OT1	KCNQ1OT1	NONE	111	1
1_MACS_peak_25290_lociStitched	chr5	138723050	138730403	1	7354	18908.2395	112	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	1.8376	112	1
1_MACS_peak_19672_lociStitched	chr21	43480281	43486121	1	5841	22502.688	113	1	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	0.6057	113	1
3_MACS_peak_1720_lociStitched	chr1	145449112	145457332	3	8068	15692.802	114	1	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L	TXNIP	TXNIP	0.9443	114	1
2_MACS_peak_24851_lociStitched	chr5	88177473	88186007	2	8355	14375.523	115	1	MEF2C		MEF2C	MEF2C	0.2781	115	1
2_MACS_peak_26027_lociStitched	chr6	11829265	11837745	2	8100	15345.408	116	1		C6orf105	C6orf105	C6orf105	0.2321	116	1
2_MACS_peak_22592_lociStitched	chr3	193817616	193822904	2	5256	22845.7464	117	1		HES1	HES1	HES1	1.47	117	1
6_MACS_peak_1606_lociStitched	chr1	118195816	118204492	6	8239	14253.8004	118	1		FAM46C	FAM46C	FAM46C	0.724	118	1
6_MACS_peak_2488_lociStitched	chr1	192506356	192515523	6	8177	14494.8604	119	1		RGS1	RGS1	RGS1	0.6394	119	1
1_MACS_peak_9416_lociStitched	chr15	31553979	31560827	1	6849	19001.1456	120	1			KLF13	KLF13	0.7484	120	1
4_MACS_peak_16825_lociStitched	chr2	99060739	99069499	4	8333	13688.376	121	1	INPP4A		INPP4A	INPP4A	0.7446	121	1
2_MACS_peak_12581_lociStitched	chr17	37909625	37915791	2	6077	20733.175	122	1		GRB7,C17orf37	GRB7	GRB7	0.2544	122	1
2_MACS_peak_14036_lociStitched	chr18	46453946	46462779	2	8497	12499.5783	123	1	SMAD7		SMAD7	SMAD7	1.1677	123	1
4_MACS_peak_4996_lociStitched	chr11	22686112	22694573	4	8240	13705.1278	124	1	GAS2	GAS2,FANCF	GAS2	FANCF	0.3088	124	1
2_MACS_peak_16735_lociStitched	chr2	89049021	89056077	2	6998	18147.3264	125	1	RPIA	ANKRD36BP2	ANKRD36BP2	ANKRD36BP2	0.1546	125	1
4_MACS_peak_10857_lociStitched	chr16	12056687	12065035	4	8258	13538.7864	126	1	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	TNFRSF17	1.1553	126	1
4_MACS_peak_12471_lociStitched	chr17	34415847	34423957	4	7580	16138.089	127	1	CCL3	CCL18,CCL4	CCL3	CCL3	1.4931	127	1
5_MACS_peak_23794_lociStitched	chr4	144273296	144282065	5	8247	13413.9393	128	1	GAB1		GAB1	GAB1	0.377	128	1
2_MACS_peak_20038_lociStitched	chr22	26984597	26992260	2	7643	15763.5573	129	1	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	0.8365	129	1
2_MACS_peak_24240_lociStitched	chr5	6480022	6486951	2	6900	18142.2007	130	1	UBE2QL1		UBE2QL1	UBE2QL1	0.5396	130	1
1_MACS_peak_398_lociStitched	chr1	23850740	23857910	1	7171	17036.637	131	1	E2F2	ASAP3,ID3	E2F2	E2F2	0.631	131	1
3_MACS_peak_4973_lociStitched	chr11	19451466	19459096	3	7500	15864.296	132	1	NAV2		NAV2	NAV2	0.1099	132	1
1_MACS_peak_25200_lociStitched	chr5	131829848	131837088	1	7241	16488.376	133	1		IRF1,IL5	IRF1	IRF1	0.5927	133	1
2_MACS_peak_16073_lociStitched	chr2	37570748	37578401	2	7400	15802.6797	134	1	QPCT	PRKD3	QPCT	QPCT	0.9479	134	1
5_MACS_peak_9802_lociStitched	chr15	56657025	56665596	5	8114	12828.2157	135	1	TEX9		TEX9	TEX9	0.23	135	1
2_MACS_peak_22364_lociStitched	chr3	176859301	176866795	2	7326	16017.6756	136	1	TBL1XR1		TBL1XR1	TBL1XR1	0.5444	136	1
1_MACS_peak_18778_lociStitched	chr20	32424053	32432149	1	8097	12632.9984	137	1	CHMP4B		CHMP4B	CHMP4B	0.8667	137	1
2_MACS_peak_15263_lociStitched	chr19	42054949	42062539	2	7579	14833.896	138	1		CEACAM21	CEACAM21	CEACAM21	0.0657	138	1
2_MACS_peak_19336_lociStitched	chr20	61277257	61285118	2	7771	13997.2966	139	1	SLCO4A1	LOC100127888	SLCO4A1	SLCO4A1	0.558	139	1
5_MACS_peak_32553_lociStitched	chrX	48791301	48799401	5	7471	14963.94	140	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	PIM2	PIM2	0.5341	140	1
2_MACS_peak_23346_lociStitched	chr4	78736215	78743041	2	6450	18151.0166	141	1	CNOT6L	MRPL1	CNOT6L	CNOT6L	0.246	141	1
1_MACS_peak_6418_lociStitched	chr12	4378085	4385300	1	7216	15763.332	142	1	CCND2	C12orf5	CCND2	CCND2	0.5095	142	1
3_MACS_peak_23240_lociStitched	chr4	71541681	71549477	3	7545	14504.458	143	1		ENAM,UTP3,RUFY3,IGJ	UTP3	IGJ	0.6587	143	1
4_MACS_peak_21967_lociStitched	chr3	133192061	133199699	4	7133	15841.212	144	1	BFSP2		BFSP2	BFSP2	0.4423	144	1
3_MACS_peak_17966_lociStitched	chr2	217080682	217088744	3	7940	12593.6502	145	1			XRCC5	XRCC5	NONE	145	1
1_MACS_peak_17250_lociStitched	chr2	133022192	133027648	1	5457	20259.2192	146	1		MIR663B,ANKRD30BL	ANKRD30BL	MIR663B	0.6016	146	1
3_MACS_peak_9532_lociStitched	chr15	40387041	40394506	3	7365	14944.93	147	1	BMF		BMF	BMF	1.0554	147	1
5_MACS_peak_12780_lociStitched	chr17	43298394	43307156	5	7773	12767.1102	148	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	0.5378	148	1
3_MACS_peak_5237_lociStitched	chr11	58340357	58347600	3	6824	16309.0631	149	1	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.4209	149	1
3_MACS_peak_17291_lociStitched	chr2	135162881	135170616	3	7636	13109.278	150	1	MGAT5	LOC151162	LOC151162	LOC151162	0.0856	150	1
5_MACS_peak_16438_lociStitched	chr2	65615337	65623671	5	7485	13576.9194	151	1	SPRED2	SPRED2	SPRED2	SPRED2	0.3315	151	1
3_MACS_peak_14426_lociStitched	chr19	2254851	2261821	3	6820	15978.028	152	1	JSRP1	SF3A2,AMH,MIR4321,OAZ1,MIR1227,PLEKHJ1,C19orf35,LINGO3	JSRP1	JSRP1	1.2001	152	1
4_MACS_peak_27185_lociStitched	chr6	108925678	108934817	4	7818	11940.1035	153	1	FOXO3		FOXO3	FOXO3	0.8419	153	1
2_MACS_peak_18991_lociStitched	chr20	43270804	43278135	2	7176	14648.0711	154	1	ADA	LOC79015	ADA	ADA	0.5759	154	1
3_MACS_peak_7545_lociStitched	chr12	102871205	102878979	3	7637	12450.061	155	1	IGF1		IGF1	IGF1	0.2298	155	1
2_MACS_peak_19739_lociStitched	chr21	45562258	45568058	2	5742	18633.08	156	1	C21orf33	PWP2	C21orf33	C21orf33	1.3019	156	1
6_MACS_peak_24844_lociStitched	chr5	88118257	88127249	6	8117	9821.9616	157	1	MEF2C		MEF2C	MEF2C	0.2781	157	1
2_MACS_peak_27132_lociStitched	chr6	106588730	106595836	2	7104	14538.1654	158	1		PRDM1	PRDM1	PRDM1	0.9432	158	1
5_MACS_peak_27116_lociStitched	chr6	106531250	106539436	5	8007	10346.2854	159	1	PRDM1	PRDM1	PRDM1	PRDM1	0.9432	159	1
3_MACS_peak_27393_lociStitched	chr6	130003433	130010814	3	6925	15091.1926	160	1	ARHGAP18		ARHGAP18	ARHGAP18	0.26	160	1
1_MACS_peak_19079_lociStitched	chr20	46386238	46392722	1	6485	16503.7252	161	1	SULF2		SULF2	SULF2	0.3054	161	1
6_MACS_peak_22887_lociStitched	chr4	12697314	12705360	6	7587	12409.3458	162	1			HSP90AB2P	HSP90AB2P	NONE	162	1
2_MACS_peak_26439_lociStitched	chr6	32935684	32941001	2	5124	19708.5239	163	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	0.9726	163	1
2_MACS_peak_27166_lociStitched	chr6	108878419	108884467	2	5995	17570.0448	164	1	FOXO3		FOXO3	FOXO3	0.8419	164	1
1_MACS_peak_1996_lociStitched	chr1	155946162	155952062	1	5901	17796.76	165	1	ARHGEF2	RXFP4,KIAA0907,SSR2	ARHGEF2	RXFP4	1.2854	165	1
2_MACS_peak_2689_lociStitched	chr1	205252547	205258278	2	5641	18358.1123	166	1		NUAK2	NUAK2	NUAK2	0.447	166	1
2_MACS_peak_28405_lociStitched	chr7	55598389	55604753	2	6126	17011.6084	167	1	VOPP1		VOPP1	VOPP1	0.6847	167	1
4_MACS_peak_18158_lociStitched	chr2	232570664	232576139	4	5268	19005.915	168	1	PTMA	MIR1244-1	PTMA	PTMA	1.4397	168	1
1_MACS_peak_24022_lociStitched	chr4	185201280	185206922	1	5643	18097.2792	169	1			ENPP6	ENPP6	0.0698	169	1
5_MACS_peak_24038_lociStitched	chr4	185324256	185332330	5	7595	11409.3694	170	1	IRF2		IRF2	IRF2	0.8605	170	1
4_MACS_peak_4930_lociStitched	chr11	16979276	16986334	4	6886	14379.9692	171	1	PLEKHA7		PLEKHA7	PLEKHA7	0.294	171	1
5_MACS_peak_4434_lociStitched	chr10	112256471	112264679	5	7609	11185.8624	172	1	DUSP5		DUSP5	DUSP5	0.5998	172	1
4_MACS_peak_11943_lociStitched	chr17	4273998	4281620	4	7257	12797.338	173	1		UBE2G1	UBE2G1	UBE2G1	0.1621	173	1
6_MACS_peak_208_lociStitched	chr1	11623230	11631491	6	7329	12478.2405	174	1			FBXO44	FBXO44	NONE	174	1
3_MACS_peak_29558_lociStitched	chr8	2028828	2035872	3	6704	14848.752	175	1	MYOM2		MYOM2	MYOM2	0.4802	175	1
4_MACS_peak_17276_lociStitched	chr2	134935271	134942926	4	7486	11577.422	176	1			MIR3679	MIR3679	NONE	176	1
5_MACS_peak_32649_lociStitched	chrX	58216820	58225229	5	7861	9342.399	177	1			ZXDA	ZXDA	NONE	177	1
