GENE_ID	locusLine	bin_1_31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45.bam
NM_198264	chr1(.):155211995-155230274	0.7422
NM_052837	chr1(.):155220771-155237195	0.4969
NM_020897	chr1(.):155242373-155264638	0.476
NM_001171812	chr1(.):155199238-155216066	0.6127
NM_000157	chr1(.):155199238-155216069	0.6126
NM_001135821	chr1(.):155273704-155295457	0.7067
NM_002004	chr1(.):155273538-155295457	0.7037
NM_005698	chr1(.):155220769-155237195	0.497
NM_000298	chr1(.):155254083-155276225	0.2975
NM_006912	chr1(.):155862600-155886177	0.2868
NM_001162384	chr1(.):155911629-155953336	0.7904
NM_181885	chr1(.):155906479-155917625	1.083
NM_004723	chr1(.):155911629-155952966	0.7925
NM_014949	chr1(.):155877835-155909188	0.4057
NR_002974	chr1(.):155884699-155894833	0.1874
NR_003005	chr1(.):155890748-155900877	0.2032
NM_020131	chr1(.):156000091-156028516	0.4317
NM_001093725	chr1(.):156036803-156056789	0.3463
NM_020387	chr1(.):156025965-156045295	0.3001
NM_001145264	chr1(.):156019516-156033301	0.5943
NM_003145	chr1(.):155973838-155995758	0.4354
NM_198406	chr1(.):156208208-156222792	0.3724
NM_014655	chr1(.):156158729-156187587	0.6934
NM_007221	chr1(.):156177783-156214833	0.7222
NM_022367	chr1(.):156118321-156152542	0.8625
NM_001193302	chr1(.):156118368-156152542	0.8625
NM_199173	chr1(.):156206950-156218112	0.3954
NM_024897	chr1(.):156208206-156222843	0.3731
NM_001193301	chr1(.):156114734-156152542	0.8432
NM_005920	chr1(.):156428518-156475529	0.8114
NM_198427	chr1(.):156606739-156628264	0.3688
NM_021817	chr1(.):156584085-156600517	0.3448
NM_021948	chr1(.):156606739-156634320	0.5747
NM_004494	chr1(.):156706898-156726543	0.7513
NM_001126051	chr1(.):156706898-156727024	0.7364
NM_001126050	chr1(.):156706898-156727240	0.7299
NM_030980	chr1(.):156687412-156702705	0.5429
NM_001878	chr1(.):156664407-156680375	0.3817
NM_001142560	chr1(.):156693262-156711752	0.6563
NM_145729	chr1(.):156702093-156715923	0.5207
NM_006617	chr1(.):156633555-156652189	0.359
NR_001560	chr1(.):157093153-157103463	0.1635
NM_005240	chr1(.):157097975-157113177	0.4768
NM_001145312	chr1(.):157089458-157113383	0.3567
NM_003564	chr1(.):159882902-159900284	0.6788
NM_012337	chr1(.):159837153-159874906	0.3264
NM_001146172	chr1(.):159916281-159929044	0.1733
NM_030916	chr1(.):161035780-161064385	0.4766
NM_007122	chr1(.):161004040-161020757	0.6967
NM_001113205	chr1(.):161002421-161013774	0.4945
NM_181720	chr1(.):161011731-161044760	0.6774
NM_016946	chr1(.):160960000-160996133	0.4314
NM_001039711	chr1(.):161085768-161107478	0.5073
NM_016406	chr1(.):161118533-161133646	0.586
NM_004550	chr1(.):161164104-161189184	0.4835
NM_000309	chr1(.):161131180-161146010	0.82
NM_001643	chr1(.):161187082-161198418	0.6627
NM_001185094	chr1(.):161082907-161095984	0.4043
NM_003779	chr1(.):161136100-161152314	0.8502
NM_012475	chr1(.):161124253-161140516	0.8496
NM_001039712	chr1(.):161085768-161107256	0.5112
NM_005600	chr1(.):161082861-161095984	0.4029
NM_001185093	chr1(.):161082906-161095984	0.4042
NM_032174	chr1(.):161190832-161205407	0.4457
NM_001166159	chr1(.):161166936-161189184	0.5027
NM_005099	chr1(.):161154537-161173845	0.5763
NM_004106	chr1(.):161180086-161194038	0.4153
NM_001127593	chr1(.):161506550-161525413	0.2867
NM_001127592	chr1(.):161506550-161524818	0.2916
NM_201563	chr1(.):161546128-161575032	0.1255
NM_002155	chr1(.):161489035-161501687	0.6722
NM_001146191	chr1(.):167686186-167766156	0.1776
NM_022371	chr1(.):179046111-179070129	0.8192
NM_016545	chr1(.):181052637-181064979	0.6501
NM_005298	chr1(.):200837165-200848251	0.2339
NM_018265	chr1(.):200855638-200889864	0.512
NM_001142569	chr1(.):200858998-200889864	0.4478
NM_017596	chr1(.):200933519-200997828	0.3896
NR_034150	chr1(.):203262885-203279453	0.967
NM_003465	chr1(.):203180206-203203860	0.2617
NM_006763	chr1(.):203269663-203283729	0.9725
NM_002023	chr1(.):203304751-203325289	0.2862
NM_002646	chr1(.):204386757-204464474	0.2741
NM_002393	chr1(.):204480510-204532248	0.4607
NM_014858	chr1(.):205192037-205247471	0.4292
NM_030952	chr1(.):205266190-205295883	0.4275
NM_001123168	chr1(.):206133910-206160074	0.5082
NM_001007544	chr1(.):206233871-206293647	0.3413
NM_148964	chr1(.):206312458-206337104	0.1478
NM_006893	chr1(.):206759973-206790904	0.2826
NM_182665	chr1(.):206725491-206767616	0.5383
NR_026817	chr1(.):207986723-208000941	0.699
NR_029832	chr1(.):207970196-207980284	0.3177
NR_029518	chr1(.):207970787-207980868	0.4303
NM_153606	chr1(.):212792788-212805120	0.2681
NM_001030287	chr1(.):212733696-212799116	0.4109
NM_001674	chr1(.):212776993-212799116	0.7809
NM_001136018	chr1(.):225992796-226038262	0.343
NM_000120	chr1(.):226008001-226038262	0.3311
NM_020997	chr1(.):226068981-226081836	0.6122
NM_014698	chr1(.):226028232-226075420	0.5596
NM_001172425	chr1(.):226119297-226134083	0.8061
NM_013328	chr1(.):226102579-226116965	0.5706
NR_024485	chr1(.):227911239-227927055	0.5697
NM_023007	chr1(.):227913889-227928112	0.6359
NR_036753	chr1(.):227879732-227890408	0.1018
NM_181441	chr1(.):228289379-228302013	0.9038
NR_037415	chr1(.):228279963-228290042	0.4046
NM_001024227	chr1(.):228265850-228291913	0.8008
NM_001024226	chr1(.):228265360-228291913	0.7886
NM_024319	chr1(.):228283427-228296022	0.6879
NM_001159391	chr1(.):228327403-228341655	0.6746
NM_001159390	chr1(.):228322928-228341655	0.5876
NM_020435	chr1(.):228332552-228352527	0.2544
NM_182972	chr1(.):234735014-234750271	1.2296
NR_033927	chr1(.):234760056-234775526	0.1383
NR_002956	chr1(.):235286117-235296252	0.5005
NM_030645	chr1(.):249099650-249125154	0.5504
NM_024836	chr1(.):249127529-249148714	0.4664
NM_001136036	chr1(.):249139202-249158125	0.5879
NM_001193328	chr1(.):249139202-249158315	0.5829
NR_036070	chr1(.):249115575-249125642	0.7691
NM_001083590	chr2(.):27250773-27269565	0.2081
NM_020458	chr2(.):47163312-47308275	0.3289
NR_033872	chr2(.):70184394-70319147	0.1774
NM_015488	chr2(.):219130114-219216516	0.2879
NM_022152	chr2(.):219133916-219162280	0.5362
NM_001012514	chr2(.):231724620-231748963	0.3628
NM_145693	chr2(.):11881739-11972533	0.3303
NM_005813	chr2(.):37472645-37549222	0.1846
NM_005633	chr2(.):39203689-39352604	0.1234
NM_022893	chr2(.):60679328-60785633	0.1998
NM_018014	chr2(.):60673301-60785633	0.1992
NR_036586	chr2(.):65123973-65164581	0.3414
NR_027749	chr2(.):74705199-74726691	0.3671
NM_004027	chr2(.):99056320-99212496	0.4198
NM_001566	chr2(.):99056320-99203284	0.438
NM_001142807	chr2(.):111485149-111880799	0.1634
NR_027020	chr2(.):132900163-133020542	0.2065
NM_004226	chr2(.):196993306-197041336	0.2882
NM_001228	chr2(.):202093165-202157434	0.3378
NM_003879	chr2(.):201975889-202034003	0.3722
NM_001127184	chr2(.):201975815-202011323	0.4859
NM_173822	chr2(.):201833440-201941392	0.1285
NM_033358	chr2(.):202093165-202151638	0.358
NM_001167608	chr2(.):227695670-227868923	0.1174
NM_022730	chr2(.):232646161-232678434	0.1283
NM_001137551	chr2(.):238595806-238695290	0.1422
NM_001137550	chr2(.):238531223-238695290	0.1263
NM_002166	chr2(.):8817112-8829583	0.5792
NM_002539	chr2(.):10575507-10593453	0.544
NR_028374	chr2(.):10581839-10591975	0.6867
NM_002997	chr2(.):20395557-20429927	0.7162
NM_001006946	chr2(.):20395557-20430194	0.7127
NM_007046	chr2(.):27296434-27314265	0.538
NM_001166239	chr2(.):27318461-27346773	0.1993
NM_001166240	chr2(.):27317220-27346995	0.2047
NM_013388	chr2(.):27348624-27362542	0.3329
NM_006488	chr2(.):27304610-27328619	0.3237
NM_001035507	chr2(.):27269490-27287403	0.3817
NM_001166241	chr2(.):27317220-27338970	0.1773
NM_032604	chr2(.):27341656-27358680	0.3386
NM_001134693	chr2(.):27288341-27299567	0.4192
NM_012413	chr2(.):37566752-37605465	0.4013
NM_138370	chr2(.):42270160-42290668	0.1742
NM_006887	chr2(.):43444540-43458745	1.1821
NR_027251	chr2(.):43449349-43460994	0.9026
NM_001171508	chr2(.):47124008-47173994	0.2693
NM_001193493	chr2(.):65210578-65256000	0.2724
NM_003038	chr2(.):65211494-65256000	0.2769
NM_181784	chr2(.):65532984-65664656	0.2418
NM_006196	chr2(.):70309584-70321334	0.7155
NR_024444	chr2(.):70346167-70357448	0.4389
NM_053050	chr2(.):74694108-74704927	0.4815
NM_032779	chr2(.):74694958-74715357	0.5176
NM_001146158	chr2(.):74683183-74697537	0.536
NM_001015056	chr2(.):74647987-74672710	0.2807
NM_012477	chr2(.):74680576-74693010	0.6741
NM_001145054	chr2(.):74636302-74649844	0.3612
NM_001015055	chr2(.):74647987-74674060	0.2751
NM_031288	chr2(.):74677198-74690087	0.5379
NM_032118	chr2(.):74643884-74657882	0.284
NM_001197260	chr2(.):74771146-74789678	0.3941
NM_016170	chr2(.):74736595-74749275	0.2459
NM_001009812	chr2(.):74719643-74735443	0.4505
NM_032673	chr2(.):74727169-74739821	0.4883
NM_133637	chr2(.):74740257-74758408	0.4642
NM_013247	chr2(.):74751531-74765683	0.4854
NM_032603	chr2(.):74754945-74786062	0.4364
NM_181575	chr2(.):74748774-74761974	0.5172
NM_001381	chr2(.):74776511-74789678	0.4931
NR_024606	chr2(.):74724743-74737192	0.5405
NR_026875	chr2(.):97158382-97178846	0.2876
NM_212481	chr2(.):97197463-97223371	0.7913
NM_006538	chr2(.):111873490-111931022	0.3351
NM_207002	chr2(.):111873490-111891423	0.6868
NR_031608	chr2(.):133009538-133019653	0.9809
NM_002491	chr2(.):201931461-201955473	0.251
NM_001127183	chr2(.):201978386-202033841	0.3822
NM_033356	chr2(.):202120222-202157434	0.3523
NM_001080125	chr2(.):202117753-202157434	0.3513
NM_001077194	chr2(.):219120737-219133582	0.3547
NM_001087	chr2(.):219123851-219139893	0.4343
NM_182642	chr2(.):219259813-219274148	0.7644
NM_198559	chr2(.):219216578-219237817	0.2325
NM_022572	chr2(.):219182901-219216516	0.1608
NM_021198	chr2(.):219259477-219275664	0.6945
NM_000578	chr2(.):219241751-219266617	0.4155
NR_029500	chr2(.):219262368-219272445	0.5968
NM_007127	chr2(.):219278837-219319248	0.152
NM_017431	chr2(.):219682105-219701512	0.146
NM_025216	chr2(.):219740254-219763651	0.8913
NM_006522	chr2(.):219719545-219743954	0.2045
NM_005544	chr2(.):227591032-227668506	0.1934
NM_001099285	chr2(.):232568234-232583250	0.6151
NM_002601	chr2(.):232592146-232650974	0.0898
NR_036052	chr2(.):232573023-232583105	0.5112
NR_031717	chr2(.):232751951-232762008	0.0681
NM_004735	chr2(.):238595806-238679558	0.1553
NM_003549	chr3(.):50325261-50341899	0.4631
NM_004991	chr3(.):168796286-169386563	0.1033
NR_004053	chr3(.):181323150-181464005	0.1764
NM_001134382	chr3(.):12933718-13119617	0.276
NM_024923	chr3(.):13352736-13466809	0.2455
NM_014869	chr3(.):12933718-13013960	0.1743
NM_003884	chr3(.):20076523-20200896	0.1569
NM_130384	chr3(.):48483217-48512054	0.2912
NM_007114	chr3(.):69063977-69106484	0.1207
NM_024548	chr3(.):101438493-101491181	0.1835
NM_001080412	chr3(.):141038054-141173632	0.3159
NM_024665	chr3(.):176733541-176920048	0.2147
NM_130446	chr3(.):183200318-183278499	0.5187
NM_173216	chr3(.):186643314-186801341	0.3325
NM_003032	chr3(.):186734664-186801341	0.3223
NR_034062	chr3(.):187415153-187455203	0.145
NM_005524	chr3(.):193848933-193861396	1.3452
NM_152531	chr3(.):194784012-194996895	0.2633
NM_001647	chr3(.):195290572-195316076	0.2403
NM_004051	chr3(.):197231653-197287858	0.3531
NM_203315	chr3(.):197231653-197305194	0.3034
NM_003670	chr3(.):5016096-5031865	0.6048
NR_027694	chr3(.):20016452-20058765	0.0991
NM_014240	chr3(.):45631322-45727755	0.2799
NM_024661	chr3(.):48468579-48486529	0.3589
NM_015933	chr3(.):48476685-48490537	0.4135
NM_002673	chr3(.):48440260-48475872	0.2301
NM_001130082	chr3(.):48440260-48476460	0.2309
NM_016381	chr3(.):48502228-48514044	0.4833
NM_016479	chr3(.):48504196-48546661	0.3567
NM_001008269	chr3(.):48653274-48664189	0.1541
NM_022911	chr3(.):48658155-48677926	0.327
NM_016453	chr3(.):48706277-48728334	0.231
NM_001040454	chr3(.):48658155-48676279	0.3413
NM_001407	chr3(.):48668895-48705348	0.4391
NM_003365	chr3(.):48631431-48652098	0.2442
NM_199074	chr3(.):49052907-49065926	0.8507
NM_199073	chr3(.):49053617-49065926	0.8914
NM_017730	chr3(.):49062141-49136504	0.2118
NM_177939	chr3(.):49022340-49049581	0.3187
NM_018031	chr3(.):49039636-49058386	0.5126
NM_000884	chr3(.):49056761-49071875	0.675
NM_018114	chr3(.):49047434-49063467	0.7279
NM_199070	chr3(.):49054073-49065926	0.9189
NM_001009996	chr3(.):49047434-49061017	0.7853
NR_029690	chr3(.):49053050-49063142	1.0
NR_029948	chr3(.):49052580-49062667	0.9704
NM_006764	chr3(.):50320162-50335026	0.3484
NM_153282	chr3(.):50332319-50346004	0.3624
NM_153281	chr3(.):50332319-50354812	0.2913
NM_007275	chr3(.):50357340-50370668	0.6631
NM_012191	chr3(.):50328832-50341712	0.5244
NM_003773	chr3(.):50350220-50365281	0.4571
NM_006545	chr3(.):50379918-50393486	0.4264
NM_007182	chr3(.):50362216-50383367	0.541
NM_007022	chr3(.):50383296-50396496	0.4213
NM_007024	chr3(.):50387179-50401939	0.4779
NM_015896	chr3(.):50373536-50388156	0.5936
NM_170712	chr3(.):50362216-50380664	0.5722
NM_170713	chr3(.):50362216-50379895	0.5907
NM_198195	chr3(.):69098880-69134524	0.2118
NM_006407	chr3(.):69129089-69160239	0.3322
NM_198271	chr3(.):69151038-69176746	0.1137
NR_036087	chr3(.):69093108-69103186	0.2805
NM_014415	chr3(.):101363282-101400988	0.2121
NR_002941	chr3(.):101426277-101437260	0.1423
NM_000986	chr3(.):101394933-101410563	0.5773
NR_024407	chr3(.):101390273-101403057	0.4435
NM_001127196	chr3(.):128881657-128907810	0.3727
NM_020701	chr3(.):128841258-128885073	0.2384
NM_020187	chr3(.):128992683-129029135	0.3288
NM_001006109	chr3(.):128992816-129029135	0.3297
NM_006026	chr3(.):129028613-129040120	1.058
NR_026991	chr3(.):129030113-129048412	0.8213
NM_018657	chr3(.):169485852-169512504	0.3116
NM_032487	chr3(.):169479710-169492683	0.9847
NM_001172780	chr3(.):169508428-169535574	0.2739
NM_001080460	chr3(.):169534709-169560560	0.1763
NR_001566	chr3(.):169477397-169487848	0.7566
NM_001185119	chr3(.):169487052-169512504	0.3139
NM_014373	chr3(.):169750734-169808183	0.3672
NM_003106	chr3(.):181424721-181437223	0.5177
NM_001004312	chr3(.):187411046-187425345	0.1584
NM_001706	chr3(.):187434164-187468513	0.3787
NM_001134738	chr3(.):187434164-187457695	0.2556
NM_001130845	chr3(.):187434164-187459285	0.3338
NR_003265	chr3(.):195379909-195420735	0.3361
NM_005781	chr3(.):195585235-195640880	0.4511
NM_001010938	chr3(.):195585235-195627432	0.3612
NM_198565	chr3(.):196361655-196393874	0.4847
NR_003266	chr3(.):197335897-197359752	0.3136
NR_030627	chr3(.):197396366-197406447	0.2265
NM_001130713	chr4(.):108963700-109095112	0.1515
NM_001166119	chr4(.):108963700-109092953	0.1359
NM_002111	chr4(.):3071407-3250687	0.1291
NM_006527	chr4(.):1689526-1719030	0.3573
NM_001004056	chr4(.):2960342-3047474	0.2112
NM_002938	chr4(.):2465794-2522586	0.2314
NM_020972	chr4(.):2266323-2425370	0.2074
NM_001172657	chr4(.):2326979-2425370	0.2296
NM_001172660	chr4(.):2325305-2371604	0.1437
NM_001185009	chr4(.):2466179-2522586	0.2314
NM_001172658	chr4(.):2325305-2425370	0.227
NM_004310	chr4(.):40193526-40251281	0.3336
NM_024900	chr4(.):129725778-129790787	0.2373
NM_199320	chr4(.):129725778-129801379	0.2123
NM_002199	chr4(.):185303875-185400726	0.3912
NM_001013622	chr4(.):1636607-1690718	0.1557
NM_001174070	chr4(.):1636607-1690988	0.1554
NM_001127266	chr4(.):1712678-1728084	0.7559
NM_006342	chr4(.):1718265-1751897	0.3519
NM_001193282	chr4(.):2415700-2469690	0.2597
NM_017581	chr4(.):40332468-40361973	0.1075
NM_000938	chr4(.):57840108-57902334	0.2064
NM_032313	chr4(.):57824515-57848826	0.4105
NR_029374	chr4(.):109083680-109102586	0.4479
NR_029373	chr4(.):109088275-109102586	0.4873
NM_024019	chr4(.):113429671-113442328	0.37
NM_001005217	chr4(.):190940522-190953412	0.1703
NM_001127388	chr4(.):191006865-191018476	0.2815
NM_001127389	chr4(.):191003565-191015176	0.3442
NM_001127389	chr4(.):191000272-191011883	0.3773
NM_001127388	chr4(.):190987092-190998703	0.3357
NM_001127389	chr4(.):190993678-191005289	0.3608
NM_001127389	chr4(.):190990385-191001996	0.3541
NM_033178	chr4(.):191000266-191011883	0.3772
NM_033178	chr4(.):191006859-191018476	0.2814
NM_001177376	chr4(.):190996978-191008583	0.3796
NM_012147	chr4(.):191006936-191018476	0.2811
NM_012147	chr4(.):191003636-191015176	0.3418
NM_012147	chr4(.):191000343-191011883	0.3765
NM_012147	chr4(.):190993749-191005289	0.3584
NM_012147	chr4(.):190990456-191001996	0.3535
NM_012147	chr4(.):190983866-190995406	0.2621
NM_022913	chr5(.):56464774-56565506	0.1792
NM_001127235	chr5(.):56466274-56565506	0.179
NM_003060	chr5(.):131700400-131736306	0.2013
NM_005990	chr5(.):171464073-171620346	0.2346
NM_001167579	chr5(.):176806431-176822514	0.2466
NM_022455	chr5(.):176555832-176732214	0.1717
NM_172349	chr5(.):176555079-176732214	0.1719
NM_002406	chr5(.):180212540-180235048	0.4764
NM_001114619	chr5(.):180212540-180235902	0.4734
NM_001114618	chr5(.):180212540-180241817	0.5504
NM_001114617	chr5(.):180212540-180242137	0.5475
NM_001193376	chr5(.):1248286-1300162	0.1796
NM_030782	chr5(.):1312999-1350002	0.9051
NM_006713	chr5(.):32580604-32609185	0.4121
NR_034127	chr5(.):43060288-43072073	0.5883
NM_001014279	chr5(.):43034181-43045447	0.8911
NR_034085	chr5(.):43011149-43023913	0.4787
NR_015447	chr5(.):43037235-43050370	0.7706
NM_001127236	chr5(.):56504900-56565506	0.0957
NR_036052	chr5(.):118305280-118315362	0.1043
NM_002198	chr5(.):131812300-131831465	0.5223
