GENE_ID	locusLine	bin_1_04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam
NM_002232	chr1(.):111209309-111222655	0.3822
NM_017709	chr1(.):118143603-118176011	2.2399
NM_032305	chr1(.):145451235-145475387	0.682
NM_202004	chr1(.):145408190-145422545	0.1306
NM_006472	chr1(.):145433461-145447628	0.63
NM_001039888	chr1(.):145465507-145480647	0.2708
NM_005105	chr1(.):145502637-145516444	0.9206
NM_001161334	chr1(.):149749244-149788928	0.2408
NM_001034077	chr1(.):149799220-149809616	0.7131
NM_001005464	chr1(.):149807258-149817765	1.3178
NM_001040874	chr1(.):149808784-149819318	1.3214
NM_001123375	chr1(.):149779779-149790236	0.471
NM_000566	chr1(.):149749249-149769074	0.1899
NM_016074	chr1(.):149866154-149877348	0.364
NM_003528	chr1(.):149851009-149863232	1.1448
NM_003517	chr1(.):149853524-149863961	1.3132
NM_175065	chr1(.):149854018-149864466	1.3093
NR_036461	chr1(.):149816758-149827340	1.2724
NM_001040874	chr1(.):149817627-149828161	1.2792
NM_001005464	chr1(.):149819180-149829687	1.2759
NM_001034077	chr1(.):149827329-149837725	0.7695
NM_019032	chr1(.):150516897-150538412	1.3958
NM_207046	chr1(.):150589598-150606609	0.5588
NR_036211	chr1(.):150519404-150529490	0.1912
NM_001197320	chr1(.):150542026-150557214	0.7537
NM_005620	chr1(.):151999981-152014511	1.1096
NM_002966	chr1(.):151950385-151971714	0.2446
NM_001008536	chr1(.):152051619-152066540	0.1074
NM_006556	chr1(.):154892207-154914484	1.744
NM_001130041	chr1(.):154929773-154951959	1.1395
NM_001130040	chr1(.):154929773-154948223	1.2874
NM_201398	chr1(.):154950769-154970587	0.2579
NM_015872	chr1(.):154970111-154995999	0.6481
NM_001184892	chr1(.):154950769-154966488	0.2783
NM_018655	chr1(.):154961061-154971791	0.179
NM_001143687	chr1(.):155001281-155028406	0.341
NR_024163	chr1(.):154942117-154956725	1.1183
NM_144622	chr1(.):154986002-155011257	0.2785
NM_138300	chr1(.):154924501-154939258	1.4105
NR_036212	chr1(.):154943168-154953259	1.2371
NM_001162384	chr1(.):155911629-155953336	0.8651
NM_181885	chr1(.):155906479-155917625	0.8895
NM_004723	chr1(.):155911629-155952966	0.867
NM_014949	chr1(.):155877835-155909188	0.3518
NR_002974	chr1(.):155884699-155894833	0.1048
NR_003005	chr1(.):155890748-155900877	0.1016
NM_020131	chr1(.):156000091-156028516	0.2637
NM_001093725	chr1(.):156036803-156056789	0.1596
NM_020387	chr1(.):156025965-156045295	0.1162
NM_001145264	chr1(.):156019516-156033301	0.397
NM_003145	chr1(.):155973838-155995758	0.3361
NM_014655	chr1(.):156158729-156187587	0.4942
NM_007221	chr1(.):156177783-156214833	0.6662
NM_022367	chr1(.):156118321-156152542	2.2132
NM_001193302	chr1(.):156118368-156152542	2.2152
NM_001193301	chr1(.):156114734-156152542	2.1165
NM_005920	chr1(.):156428518-156475529	0.9326
NM_001039711	chr1(.):161085768-161107478	0.6289
NM_016406	chr1(.):161118533-161133646	0.9626
NM_004550	chr1(.):161164104-161189184	0.5533
NM_000309	chr1(.):161131180-161146010	0.4323
NM_001643	chr1(.):161187082-161198418	0.7566
NM_001185094	chr1(.):161082907-161095984	0.389
NM_003779	chr1(.):161136100-161152314	0.8163
NM_012475	chr1(.):161124253-161140516	0.6031
NM_001039712	chr1(.):161085768-161107256	0.6339
NM_005600	chr1(.):161082861-161095984	0.3878
NM_001185093	chr1(.):161082906-161095984	0.389
NM_032174	chr1(.):161190832-161205407	0.4148
NM_001166159	chr1(.):161166936-161189184	0.5808
NM_005099	chr1(.):161154537-161173845	0.788
NM_004106	chr1(.):161180086-161194038	0.4963
NM_002922	chr1(.):192539856-192554159	1.0987
NM_005298	chr1(.):200837165-200848251	0.2157
NM_018265	chr1(.):200855638-200889864	0.8881
NM_001142569	chr1(.):200858998-200889864	0.8629
NR_034150	chr1(.):203262885-203279453	2.1987
NM_003465	chr1(.):203180206-203203860	0.1973
NM_006763	chr1(.):203269663-203283729	1.2749
NM_002023	chr1(.):203304751-203325289	0.1861
NR_003019	chr1(.):203693708-203703833	0.1637
NM_001136190	chr1(.):203729283-203750480	0.7617
NM_001174108	chr1(.):203761650-203774590	0.3355
NM_002646	chr1(.):204386757-204464474	0.1761
NM_002393	chr1(.):204480510-204532248	0.6293
NM_014858	chr1(.):205192037-205247471	0.3401
NM_030952	chr1(.):205266190-205295883	0.3491
NM_000707	chr1(.):206219282-206236482	0.1873
NM_001007544	chr1(.):206233871-206293647	1.0375
NM_148964	chr1(.):206312458-206337104	0.1613
NM_006893	chr1(.):206759973-206790904	0.1733
NM_182665	chr1(.):206725491-206767616	0.6351
NM_000572	chr1(.):206935947-206950839	0.4936
NM_013371	chr1(.):206997221-207021325	0.3017
NM_001185157	chr1(.):207065787-207082484	0.1496
NM_153758	chr1(.):206967214-207021324	0.4847
NM_002644	chr1(.):207096866-207124811	0.3445
NM_001170631	chr1(.):207126311-207148970	0.1788
NR_002315	chr1(.):226245427-226264703	0.6146
NM_002107	chr1(.):226245420-226264703	0.6144
NM_181441	chr1(.):228289379-228302013	0.8139
NR_037415	chr1(.):228279963-228290042	0.174
NM_001024227	chr1(.):228265850-228291913	0.9521
NM_001024226	chr1(.):228265360-228291913	0.9358
NM_024319	chr1(.):228283427-228296022	0.5367
NM_001159390	chr1(.):228322928-228341655	0.3648
NM_182972	chr1(.):234735014-234750271	3.7594
NR_033927	chr1(.):234760056-234775526	0.1483
NR_033872	chr2(.):70184394-70319147	0.4825
NR_015395	chr2(.):112119590-112257692	0.5425
NR_024373	chr2(.):112181885-112257692	0.8882
NM_001099289	chr2(.):109740996-110267207	0.1921
NM_001012514	chr2(.):231724620-231748963	0.7788
NM_145693	chr2(.):11881739-11972533	0.7002
NM_183360	chr2(.):25595111-25901503	0.2177
NM_005813	chr2(.):37472645-37549222	0.4912
NR_036586	chr2(.):65123973-65164581	0.7719
NM_017880	chr2(.):70372016-70423151	0.1857
NR_024204	chr2(.):87749973-87826030	0.6145
NM_144563	chr2(.):88986175-89055452	0.4268
NM_004027	chr2(.):99056320-99212496	0.7914
NM_001566	chr2(.):99056320-99203284	0.8369
NM_004226	chr2(.):196993306-197041336	0.3207
NM_001228	chr2(.):202093165-202157434	0.547
NM_003879	chr2(.):201975889-202034003	0.7621
NM_001127184	chr2(.):201975815-202011323	1.1626
NM_173822	chr2(.):201833440-201941392	0.1101
NM_033358	chr2(.):202093165-202151638	0.5934
NM_022730	chr2(.):232646161-232678434	0.093
NM_002997	chr2(.):20395557-20429927	1.4467
NM_001006946	chr2(.):20395557-20430194	1.4359
NM_012413	chr2(.):37566752-37605465	1.4769
NM_138370	chr2(.):42270160-42290668	0.1031
NM_006887	chr2(.):43444540-43458745	1.7968
NR_027251	chr2(.):43449349-43460994	1.4325
NM_002354	chr2(.):47591286-47619167	0.0743
NR_033837	chr2(.):64407212-64437619	0.2443
NM_001193493	chr2(.):65210578-65256000	0.5011
NM_003038	chr2(.):65211494-65256000	0.5094
NM_006196	chr2(.):70309584-70321334	4.526
NR_024444	chr2(.):70346167-70357448	0.9067
NR_026984	chr2(.):86242338-86255991	0.1643
NR_015424	chr2(.):89060418-89111109	0.1199
NR_026875	chr2(.):97158382-97178846	0.2153
NM_212481	chr2(.):97197463-97223371	1.4633
NR_037627	chr2(.):110700266-110731149	0.0808
NR_027244	chr2(.):111127685-111147113	0.9802
NR_037627	chr2(.):111155495-111186393	0.0772
NM_006186	chr2(.):157175943-157194287	0.804
NM_004288	chr2(.):158266130-158305604	0.4992
NM_002491	chr2(.):201931461-201955473	0.2327
NM_001127183	chr2(.):201978386-202033841	0.7942
NM_033356	chr2(.):202120222-202157434	0.6236
NM_001080125	chr2(.):202117753-202157434	0.6224
NM_006139	chr2(.):204566197-204607557	0.6022
NM_017431	chr2(.):219682105-219701512	0.0849
NM_025216	chr2(.):219740254-219763651	1.1615
NM_006522	chr2(.):219719545-219743954	0.1346
NM_002601	chr2(.):232592146-232650974	0.0754
NR_031717	chr2(.):232751951-232762008	0.0408
NM_003549	chr3(.):50325261-50341899	0.4703
NM_014674	chr3(.):5224358-5266650	0.6858
NM_003571	chr3(.):133113789-133199056	0.6316
NM_001135095	chr3(.):171753343-172123492	0.2371
NM_022763	chr3(.):171752417-172123492	0.2374
NM_181361	chr3(.):178249223-178567217	0.1606
NM_001134382	chr3(.):12933718-13119617	0.371
NM_024923	chr3(.):13352736-13466809	0.3745
NM_014869	chr3(.):12933718-13013960	0.085
NM_144636	chr3(.):14148576-14171371	0.9569
NM_001123396	chr3(.):46390234-46405868	0.6316
NM_001174051	chr3(.):50395230-50545892	0.1187
NM_002213	chr3(.):124476794-124611144	0.4998
NM_001080412	chr3(.):141038054-141173632	1.6935
NM_001190242	chr3(.):159969773-160106554	0.0937
NM_001190241	chr3(.):159969773-160122320	0.2159
NM_005832	chr3(.):178271617-178567217	0.1497
NM_130446	chr3(.):183200318-183278499	0.9273
NM_173216	chr3(.):186643314-186801341	0.5151
NM_003032	chr3(.):186734664-186801341	0.5978
NM_005524	chr3(.):193848933-193861396	2.1367
NM_024334	chr3(.):14161439-14190180	0.782
NM_001295	chr3(.):46238199-46254832	1.2546
NM_001837	chr3(.):46278871-46313197	0.1396
NM_003212	chr3(.):46614075-46628952	0.063
NM_001174136	chr3(.):46611044-46628952	0.065
NM_024512	chr3(.):46551877-46613011	1.0472
NM_031440	chr3(.):46534484-46547439	0.4772
NM_153215	chr3(.):50311517-50330545	0.2726
NM_006764	chr3(.):50320162-50335026	0.3321
NM_153282	chr3(.):50332319-50346004	0.2895
NM_153281	chr3(.):50332319-50354812	0.2143
NM_007275	chr3(.):50357340-50370668	1.1044
NM_012191	chr3(.):50328832-50341712	0.5827
NM_003773	chr3(.):50350220-50365281	0.9223
NM_006545	chr3(.):50379918-50393486	0.3554
NM_007182	chr3(.):50362216-50383367	0.5446
NM_007022	chr3(.):50383296-50396496	0.3695
NM_007024	chr3(.):50387179-50401939	0.4518
NM_015896	chr3(.):50373536-50388156	0.7287
NM_170712	chr3(.):50362216-50380664	0.593
NM_170713	chr3(.):50362216-50379895	0.6157
NM_006100	chr3(.):98446571-98518236	0.5714
NM_022135	chr3(.):119355907-119384404	0.733
NM_005694	chr3(.):119383371-119401243	0.375
NM_015900	chr3(.):119311721-119353658	0.1394
NR_033434	chr3(.):124444212-124473119	0.1573
NR_031687	chr3(.):125504246-125514395	0.1099
NM_020187	chr3(.):128992683-129029135	0.5819
NM_001006109	chr3(.):128992816-129029135	0.584
NM_006026	chr3(.):129028613-129040120	2.2061
NR_026991	chr3(.):129030113-129048412	1.009
NR_027898	chr3(.):129926662-129997649	0.0747
NM_173084	chr3(.):160148290-160172626	0.2256
NR_029663	chr3(.):160117375-160127473	1.6928
NM_005496	chr3(.):160113346-160157741	0.5416
NM_001002800	chr3(.):160112429-160157741	0.5315
NR_029525	chr3(.):160117532-160127613	1.5603
NR_027622	chr3(.):169656771-169689522	0.7728
NM_182610	chr3(.):169624481-169661948	0.4001
NM_003262	chr3(.):169679579-169721161	0.2512
NM_014373	chr3(.):169750734-169808183	0.4522
NM_005781	chr3(.):195585235-195640880	0.5619
NM_001010938	chr3(.):195585235-195627432	0.1757
NM_198565	chr3(.):196361655-196393874	0.5383
NM_198281	chr4(.):90160428-90234161	0.77
NM_015173	chr4(.):37887719-38145794	0.2513
NM_004310	chr4(.):40193526-40251281	0.6933
NM_002039	chr4(.):144252982-144400718	0.2632
NM_002199	chr4(.):185303875-185400726	0.8909
NM_031889	chr4(.):71489460-71517536	0.0788
NM_144646	chr4(.):71516257-71537348	0.6088
NM_020368	chr4(.):71549195-71561268	0.3413
NM_014961	chr4(.):71582695-71664274	0.0832
NM_001130709	chr4(.):71565653-71660614	0.1125
NM_001131005	chr5(.):88009057-88204922	0.2584
NM_002397	chr5(.):88009057-88184283	0.2568
NM_024669	chr5(.):55390506-55534186	0.2903
NR_015436	chr5(.):87831596-87985620	0.2089
NM_003060	chr5(.):131700400-131736306	0.1737
NM_001020825	chr5(.):142652495-142788254	0.2283
NM_001018076	chr5(.):142652495-142789045	0.2271
NM_001018075	chr5(.):142652495-142820077	0.2027
NM_022455	chr5(.):176555832-176732214	0.2012
NM_172349	chr5(.):176555079-176732214	0.2009
NM_002406	chr5(.):180212540-180235048	0.501
NM_001114619	chr5(.):180212540-180235902	0.4945
NM_001114618	chr5(.):180212540-180241817	0.6824
NM_001114617	chr5(.):180212540-180242137	0.6769
NM_001193376	chr5(.):1248286-1300162	0.1278
NM_030782	chr5(.):1312999-1350002	3.9558
NM_001145161	chr5(.):6443735-6501834	1.3227
NM_006713	chr5(.):32580604-32609185	0.9477
NR_024384	chr5(.):87955262-87974146	1.1749
NR_024383	chr5(.):87955262-87979262	0.9623
NR_030741	chr5(.):87957670-87967757	0.2386
NM_000588	chr5(.):131391346-131403896	0.201
NM_000758	chr5(.):131404484-131416859	0.2671
NR_037500	chr5(.):131696181-131706291	0.2753
NM_002198	chr5(.):131812300-131831465	0.4112
NM_001013717	chr5(.):131741672-131803059	1.0619
NM_016480	chr5(.):138672518-138710409	0.1155
NM_194296	chr5(.):138727455-138744776	0.6403
NM_152686	chr5(.):138740891-138780214	0.3605
NM_152685	chr5(.):138697884-138724039	0.2202
NM_001033112	chr5(.):138673133-138710409	0.1166
NM_001161546	chr5(.):138722634-138735885	1.9397
NM_016459	chr5(.):138718256-138730605	2.2267
NM_006058	chr5(.):150404505-150465997	0.2512
NM_001193544	chr5(.):150475266-150526216	0.2626
NM_030627	chr5(.):173310330-173392313	0.3291
NM_001031677	chr5(.):176723198-176735744	1.2904
NM_006480	chr5(.):176779843-176804599	0.2693
NM_006816	chr5(.):176753562-176783885	0.2737
NM_031300	chr5(.):176729205-176744292	1.0197
NM_001142935	chr5(.):176727500-176744292	1.1918
NM_013237	chr5(.):176725834-176738950	1.2777
NR_027183	chr5(.):180251958-180267726	0.8239
NM_152283	chr5(.):180269610-180293286	0.2684
NR_027908	chr6(.):33548882-33566115	0.3494
NR_028361	chr6(.):33546475-33561803	0.6892
NM_181356	chr6(.):44791469-45350670	0.0914
NM_003599	chr6(.):44792449-45350575	0.0914
NM_012288	chr6(.):52357199-52446862	0.7291
NM_033515	chr6(.):129893239-130036370	0.2806
NR_037616	chr6(.):7876482-8069647	1.0208
NM_001173977	chr6(.):25274655-25625758	0.3445
NM_172166	chr6(.):31702724-31735455	0.6889
NM_004348	chr6(.):45384913-45523819	0.2985
NM_001024630	chr6(.):45291053-45523819	0.2281
NM_016021	chr6(.):90031343-90067619	0.6766
NM_032131	chr6(.):109164618-109300352	0.3068
NM_006734	chr6(.):143067603-143271338	0.1985
NM_024630	chr6(.):157797556-158099977	0.1754
NM_020185	chr6(.):287100-356355	1.6575
NR_027712	chr6(.):7981334-7995577	0.2219
NM_001145549	chr6(.):7876482-7915310	3.4315
NM_030810	chr6(.):7876482-7916047	3.3982
NM_032744	chr6(.):11708887-11784280	0.3915
NM_001145008	chr6(.):26397464-26420444	0.161
NM_001197240	chr6(.):26378328-26400100	0.2943
NM_001197247	chr6(.):26360397-26383540	0.8261
NM_001197238	chr6(.):26378323-26400100	0.2944
NM_007047	chr6(.):26360397-26383548	0.8262
NM_001197237	chr6(.):26378438-26400100	0.2935
NM_001197248	chr6(.):26360469-26383540	0.8128
NM_001197246	chr6(.):26363405-26383540	0.369
NM_021066	chr6(.):27777079-27787518	0.4144
NM_003536	chr6(.):27772841-27783314	0.5992
NM_003509	chr6(.):27770976-27781445	0.4449
NM_003519	chr6(.):27770256-27780709	0.4389
NM_003521	chr6(.):27777821-27788267	0.3999
NM_003520	chr6(.):27801439-27811888	0.995
NM_003511	chr6(.):27828106-27838576	0.2906
NM_003533	chr6(.):27834622-27845099	0.1587
NM_003510	chr6(.):27800657-27811117	0.9894
NM_003541	chr6(.):27793951-27804305	0.3505
NM_005322	chr6(.):27829569-27840359	0.3239
NM_021968	chr6(.):27786902-27797258	0.2913
NM_003546	chr6(.):27835925-27846289	0.1156
NM_021246	chr6(.):31678132-31690581	0.1259
NM_138275	chr6(.):31686160-31697851	0.5101
NR_033488	chr6(.):31649725-31675850	0.2691
NM_013974	chr6(.):31689816-31703039	0.7282
NM_025262	chr6(.):31639460-31653150	0.1572
NM_001288	chr6(.):31693357-31709341	1.7828
NM_001003693	chr6(.):31669683-31683372	0.4779
NM_021160	chr6(.):31649725-31676137	0.2666
NR_024541	chr6(.):31674752-31686842	0.1118
NM_025261	chr6(.):31681424-31694510	0.1042
NM_001039651	chr6(.):31725772-31737624	0.1143
NM_025258	chr6(.):31728370-31750108	0.3912
NR_002742	chr6(.):31799852-31809916	0.9043
NM_000434	chr6(.):31821828-31835709	0.2981
NM_021177	chr6(.):31760173-31779743	0.7138
NR_002745	chr6(.):31798039-31808103	0.9144
NM_001178045	chr6(.):31825969-31850448	0.2152
NM_001040438	chr6(.):31797692-31812541	0.66
NM_005345	chr6(.):31778290-31790719	0.395
NM_005527	chr6(.):31772395-31787835	0.2731
NM_001178044	chr6(.):31825969-31851823	0.2079
NM_006295	chr6(.):31740296-31768712	0.8108
NM_005346	chr6(.):31790511-31803031	0.8832
NM_006120	chr6(.):32911390-32925899	0.2477
NM_002119	chr6(.):32966959-32982389	0.084
NM_002118	chr6(.):32897405-32913847	0.216
NM_005104	chr6(.):32931436-32954282	1.7732
NM_001113182	chr6(.):32933664-32954282	1.9544
NM_001199455	chr6(.):32934371-32954282	2.0219
NM_001199456	chr6(.):32935860-32954282	2.1381
NM_001188	chr6(.):33535322-33553070	0.8508
NM_002224	chr6(.):33584155-33669348	0.1731
NR_037152	chr6(.):36639236-36660116	0.9236
NM_078467	chr6(.):36639266-36660116	0.9248
NR_037150	chr6(.):36639313-36660116	0.9267
NM_000389	chr6(.):36641455-36660116	1.0092
NR_037151	chr6(.):36641486-36660116	1.0106
NR_037491	chr6(.):36585212-36595289	0.1706
NM_002648	chr6(.):37132921-37148204	0.7449
NM_000322	chr6(.):42659332-42695358	0.1189
NM_003192	chr6(.):42707233-42718884	0.5555
NR_037141	chr6(.):42690313-42700932	0.1778
NM_015349	chr6(.):42783793-42841296	0.0605
NM_002043	chr6(.):89962238-90029967	0.2682
NM_182907	chr6(.):106541814-106562811	1.9374
NM_001198	chr6(.):106529194-106562814	1.8882
NM_001145207	chr6(.):135351994-135381036	0.1865
NM_006620	chr6(.):135276516-135381036	0.2905
NR_037435	chr6(.):135295475-135305570	0.0639
NR_037463	chr6(.):157945163-157955232	0.0822
NM_030796	chr7(.):55533305-55645200	1.0531
NM_012301	chr7(.):77641373-79087890	0.0811
NM_001913	chr7(.):101454291-101932250	0.1332
NM_181500	chr7(.):101454302-101932250	0.1332
NM_001145354	chr7(.):130789854-131186398	0.1984
NM_001164458	chr7(.):149939300-150025758	0.2305
NM_182762	chr7(.):20169278-20262013	0.3444
NM_002541	chr7(.):44641120-44753669	0.3804
NM_001003941	chr7(.):44641120-44721195	0.5078
NM_017621	chr7(.):102091666-102110321	0.4548
NM_182931	chr7(.):104649636-104759532	0.4817
NM_001098627	chr7(.):128575771-128595088	0.9081
NM_001098630	chr7(.):128572993-128595088	0.9185
NM_032643	chr7(.):128573270-128595088	0.8874
NR_015431	chr7(.):130623918-130798562	0.2668
NR_024153	chr7(.):130623918-130796789	0.2675
NM_014149	chr7(.):134863589-134901316	0.1693
NM_173680	chr7(.):150071405-150100719	1.4074
NR_029597	chr7(.):25984538-25994606	1.695
NM_019082	chr7(.):44600402-44619137	0.2048
NM_182547	chr7(.):44613761-44626827	0.4972
NM_001163636	chr7(.):74067029-74180022	0.1838
NM_020979	chr7(.):101923404-101967178	1.0169
NR_036245	chr7(.):101931368-101941453	0.7902
NM_032831	chr7(.):102068995-102102268	1.3812
NM_024653	chr7(.):102031803-102072129	0.9436
NM_006234	chr7(.):102108547-102124381	0.2249
NM_152892	chr7(.):102100389-102118612	0.3021
NR_027374	chr7(.):104530074-104572092	0.3482
NR_024586	chr7(.):104645988-104659588	3.2825
NM_001166346	chr7(.):114557208-114568720	1.1335
NM_199072	chr7(.):114557208-114664970	0.4435
NM_199349	chr7(.):128525000-128555773	0.1824
NM_018295	chr7(.):134827765-134855967	0.7752
NR_024185	chr7(.):134845531-134860532	1.0407
NM_013400	chr7(.):150060878-150076133	3.0427
NM_014374	chr7(.):150063257-150076133	3.5206
NM_001142928	chr7(.):150015295-150040245	0.4984
NM_002889	chr7(.):150030406-150043763	0.1169
NM_138434	chr7(.):150021937-150034811	0.0931
NR_027237	chr7(.):150097839-150114558	1.9387
NM_175571	chr7(.):150142961-150181483	0.1313
NR_034033	chr7(.):150125741-150150228	0.7283
NM_004103	chr8(.):27163998-27321903	0.3746
NM_173176	chr8(.):27178053-27321903	0.3722
NM_173175	chr8(.):27178080-27321903	0.3723
NM_001024678	chr8(.):145742760-145757416	0.5285
NM_001001795	chr8(.):145746602-145759458	0.4204
NM_001386	chr8(.):26430420-26520693	0.2782
NM_001197293	chr8(.):26366708-26520693	0.2423
NM_024787	chr8(.):33400272-33429643	1.0027
NM_023034	chr8(.):38127560-38244790	0.2773
NM_022783	chr8(.):120880899-121068157	0.3344
NM_173685	chr8(.):126099082-126384367	0.2867
NM_003033	chr8(.):134462090-134589183	0.405
NM_003970	chr8(.):1988157-2098380	1.3495
NM_171982	chr8(.):27137403-27173834	0.1978
NM_025115	chr8(.):33351235-33375656	0.3776
NM_001102401	chr8(.):33351235-33375703	0.377
NM_024025	chr8(.):33443853-33462439	0.1497
NM_144652	chr8(.):38239019-38271061	0.5735
NM_017778	chr8(.):38168934-38244790	0.3844
NM_014957	chr8(.):142133719-142210900	0.2058
NM_201378	chr8(.):144984320-145052697	0.4481
NM_032789	chr8(.):145046319-145065635	0.4417
NM_000445	chr8(.):144984320-145055913	0.4411
NM_201381	chr8(.):144984320-145023905	0.5514
NM_201382	chr8(.):144984320-145023110	0.5532
NM_201383	chr8(.):144984320-145021692	0.5596
NM_201379	chr8(.):144984320-145033088	0.5201
NM_001009184	chr8(.):145059225-145072583	0.2976
NM_201384	chr8(.):144984320-145018758	0.5975
NR_030383	chr8(.):145014358-145024447	0.8132
NM_201380	chr8(.):144984320-145030044	0.5485
NM_001129888	chr8(.):145684199-145696031	0.2861
NM_032687	chr8(.):145684199-145695849	0.2901
NM_003923	chr8(.):145694114-145706718	0.3033
NM_032902	chr8(.):145717108-145732504	0.065
NM_138496	chr8(.):145670314-145695418	0.1823
NM_005309	chr8(.):145724464-145737555	0.6944
NM_145754	chr8(.):145686737-145704499	0.3556
NM_138431	chr8(.):145729551-145741589	0.759
NM_004260	chr8(.):145731666-145748210	0.888
NM_014665	chr8(.):145738362-145755559	0.4887
NM_025251	chr8(.):145749562-145843888	0.0644
NM_001206	chr9(.):72994512-73034573	0.2661
NM_080546	chr9(.):108001928-108158682	0.2412
NM_053016	chr9(.):112537576-112718756	0.2085
NM_001037293	chr9(.):112398067-112718756	0.1488
NM_007203	chr9(.):112537576-112939791	0.221
NM_175039	chr9(.):130665164-130684305	0.8564
NM_015033	chr9(.):132644465-132810473	0.3126
NM_005384	chr9(.):94166326-94191144	0.6484
NM_173200	chr9(.):102584008-102634173	0.2112
NM_006981	chr9(.):102579136-102634173	0.4032
NM_173199	chr9(.):102579136-102601341	0.7658
NM_001045476	chr9(.):127610754-127625160	0.6124
NM_030978	chr9(.):127626483-127644696	0.5556
NM_007209	chr9(.):127615157-127629240	0.6262
NM_013443	chr9(.):130642600-130666871	0.1134
NM_000476	chr9(.):130623758-130645022	0.1071
NM_001035254	chr9(.):130697860-130747812	0.4648
NM_003863	chr9(.):130692373-130705763	0.262
NM_203305	chr9(.):130697860-130717993	0.1949
NM_001135219	chr9(.):130678807-130698076	0.4923
NM_173492	chr9(.):130678807-130694770	0.5726
NM_016520	chr9(.):132584563-132602572	0.3
NM_006676	chr9(.):132592695-132649107	0.2959
NM_001008563	chr9(.):132592756-132649107	0.2961
NM_032728	chr9(.):134160080-134189649	0.1098
NM_033387	chr9(.):134128464-134156906	0.6167
NM_015691	chrX(.):9978794-10117518	0.2141
NM_001123384	chrX(.):39905498-40041582	0.2864
NM_144495	chrX(.):48750194-48765420	0.2735
NM_001167990	chrX(.):48750212-48765420	0.2737
NM_001032384	chrX(.):48750538-48765420	0.2791
NM_001167992	chrX(.):48750774-48765420	0.2836
NM_005334	chrX(.):153208007-153241819	0.5977
NM_001830	chrX(.):10119984-10210699	0.0452
NM_017745	chrX(.):39905498-39961719	0.1967
NM_001167947	chrX(.):48745729-48760426	0.3242
NM_001042498	chrX(.):48755888-48774235	0.2416
NM_001136158	chrX(.):48774302-48819893	0.708
NM_001136159	chrX(.):48774302-48820648	0.6968
NM_006875	chrX(.):48765458-48781413	0.5617
NM_004979	chrX(.):48813638-48833251	0.2016
NM_005660	chrX(.):48755458-48773917	0.247
NM_001032289	chrX(.):48755889-48773933	0.2266
NM_003399	chrX(.):128867945-128908525	0.2621
NM_018990	chrX(.):128908891-128934176	0.3892
NM_003491	chrX(.):153190376-153205468	0.8809
