REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04.bam	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
7_MACS_peak_14206_lociStitched	chr17	79400019	79451556	7	50859	77305.5	3514.8233999999998
13_MACS_peak_1978_lociStitched	chr1	16432825	16484097	13	46240	60295.871999999996	4511.936
25_MACS_peak_6051_lociStitched	chr11	1787218	1838483	25	45424	58370.329000000005	4839.416
5_MACS_peak_20733_lociStitched	chr20	61850270	61900944	5	50202	75276.227	4053.92
12_MACS_peak_30112_lociStitched	chr9	132469940	132519968	12	46091	61024.1544	5002.8
15_MACS_peak_20647_lociStitched	chr20	61590623	61640579	15	48570	68669.5176	4436.0928
17_MACS_peak_20614_lociStitched	chr20	61375065	61424879	17	45451	69973.7258	4772.1812
10_MACS_peak_14828_lociStitched	chr19	3385266	3435079	10	47453	62076.9606	6156.8868
2_MACS_peak_15647_lociStitched	chr19	8851022	8900834	2	49486	149440.9812	20129.0292
12_MACS_peak_30452_lociStitched	chr9	135020763	135070551	12	47504	61742.0988	4217.0436
14_MACS_peak_15198_lociStitched	chr19	5840828	5890571	14	46489	61243.581600000005	7053.557400000001
19_MACS_peak_1633_lociStitched	chr1	10853663	10903325	19	45786	56182.6206	4315.6278
7_MACS_peak_24_lociStitched	chr1	829177	878744	7	47471	89884.7978	4649.384599999999
1_MACS_peak_18313_lociStitched	chr19	50594137	50643079	1	48943	88178.8014	13919.1048
11_MACS_peak_290_lociStitched	chr1	2244697	2293409	11	46610	66603.9176	3331.9008000000003
12_MACS_peak_31649_lociStitched	chr9	139477245	139524492	12	46099	66405.6585	3666.3672
20_MACS_peak_189_lociStitched	chr1	1934586	1981815	20	41617	49222.0638	3405.2109
34_MACS_peak_3339_lociStitched	chr1	23167679	23214525	34	38267	44082.085999999996	4024.0714000000003
23_MACS_peak_3875_lociStitched	chr1	32123507	32169855	23	41336	47400.099599999994	4606.9912
9_MACS_peak_25415_lociStitched	chr4	9324615	9370915	9	45677	111703.37999999999	11996.33
6_MACS_peak_29921_lociStitched	chr9	129371341	129417527	6	45424	68128.96860000001	4202.9259999999995
13_MACS_peak_12839_lociStitched	chr17	48032629	48078701	13	43232	62671.7416	4860.596
21_MACS_peak_11354_lociStitched	chr17	1110253	1156100	21	41683	50816.8148	4864.3667
12_MACS_peak_18887_lociStitched	chr2	26776438	26822269	12	42680	59878.2015	5325.5622
16_MACS_peak_6772_lociStitched	chr11	64474875	64519616	16	38921	59246.0322	4773.8647
23_MACS_peak_11283_lociStitched	chr17	782334	826940	23	38012	41965.3248	3608.6254
14_MACS_peak_14561_lociStitched	chr19	1508442	1552726	14	40366	68184.0748	5619.6396
26_MACS_peak_18335_lociStitched	chr19	50931026	50974821	26	32535	38815.508499999996	4077.3145
27_MACS_peak_24050_lociStitched	chr3	50445270	50488543	27	35421	40075.1253	3725.8053
12_MACS_peak_13333_lociStitched	chr17	72909181	72952427	12	42101	53862.893000000004	4091.0716
6_MACS_peak_24448_lociStitched	chr4	1751809	1794701	6	41141	69073.2768	3847.4124
7_MACS_peak_8489_lociStitched	chr12	57577119	57619793	7	40772	62833.1976	5120.88
12_MACS_peak_17420_lociStitched	chr19	42468144	42510748	12	39818	53514.8844	4115.5464
7_MACS_peak_27722_lociStitched	chr7	150862719	150905319	7	41445	62362.14	6385.74
13_MACS_peak_21745_lociStitched	chr22	19719323	19761776	13	40670	50939.354699999996	3655.2032999999997
12_MACS_peak_20945_lociStitched	chr20	62823758	62865939	12	39470	51954.337700000004	3749.8909000000003
11_MACS_peak_26156_lociStitched	chr6	30408597	30450752	11	40643	62414.693	6260.0175
7_MACS_peak_1954_lociStitched	chr1	16338962	16380725	7	40944	61450.0782	3967.485
23_MACS_peak_20051_lociStitched	chr20	56126935	56168306	23	34321	40626.322	3578.5914999999995
3_MACS_peak_26208_lociStitched	chr6	31991229	32032510	3	40536	76068.4987	5007.3853
5_MACS_peak_21136_lociStitched	chr21	43762890	43804121	5	40340	59834.4272	6052.710800000001
6_MACS_peak_21779_lociStitched	chr22	20151877	20192753	6	39691	56641.873199999995	3290.518
13_MACS_peak_31600_lociStitched	chr9	139013450	139054237	13	37861	50645.2179	3307.8257000000003
15_MACS_peak_24013_lociStitched	chr3	50219480	50259509	15	37494	51149.0562	4611.3408
6_MACS_peak_20803_lociStitched	chr20	62082394	62122396	6	38070	53538.6768	2572.1286
8_MACS_peak_24493_lociStitched	chr4	3458732	3498663	8	38397	57628.419200000004	3422.0867
12_MACS_peak_5859_lociStitched	chr11	1026328	1065998	12	37249	51654.307	3300.544
9_MACS_peak_21298_lociStitched	chr21	45761397	45801021	9	38076	50207.5704	4861.8648
16_MACS_peak_20777_lociStitched	chr20	62023381	62062735	16	36700	44159.123400000004	2802.0048
6_MACS_peak_4369_lociStitched	chr1	156639774	156678682	6	37236	62474.5756	7092.9284
15_MACS_peak_26211_lociStitched	chr6	32034431	32073187	15	35129	46092.510800000004	4212.7772
18_MACS_peak_22537_lociStitched	chr22	40068011	40106746	18	35248	42945.4945	3180.1435
10_MACS_peak_21785_lociStitched	chr22	20197737	20236420	10	36023	48489.1405	3280.3184
15_MACS_peak_6184_lociStitched	chr11	2305544	2344096	15	33828	41601.4632	2976.2144000000003
7_MACS_peak_22661_lociStitched	chr22	42918762	42957308	7	36878	60197.2882	7369.9952
11_MACS_peak_77_lociStitched	chr1	1093830	1132285	11	35334	56113.536	3257.1385
13_MACS_peak_5287_lociStitched	chr10	102482737	102520853	13	34869	49920.525200000004	3830.6580000000004
12_MACS_peak_26881_lociStitched	chr7	2531967	2569773	12	33595	46157.345400000006	3202.1682
18_MACS_peak_8663_lociStitched	chr13	113627601	113665369	18	34871	44770.1872	3516.2008
18_MACS_peak_27278_lociStitched	chr7	100213046	100250688	18	34699	41259.3962	3783.021
9_MACS_peak_30755_lociStitched	chr9	136287020	136324421	9	34775	46698.8886	3504.4737
12_MACS_peak_31614_lociStitched	chr9	139058917	139096225	12	34186	46269.3816	2492.1744
17_MACS_peak_30849_lociStitched	chr9	136534730	136571977	17	32606	38822.5481	2547.6948
9_MACS_peak_14519_lociStitched	chr19	819366	856448	9	34914	56286.7678	4820.66
22_MACS_peak_9853_lociStitched	chr16	1084885	1121911	22	31814	40528.6596	2225.2626
8_MACS_peak_15212_lociStitched	chr19	5991298	6028176	8	35190	47937.7122	5185.0468
12_MACS_peak_12787_lociStitched	chr17	47555217	47592028	12	34272	45093.475000000006	3901.966
12_MACS_peak_19573_lociStitched	chr20	30426155	30462888	12	31916	45989.716	4609.9915
17_MACS_peak_1786_lociStitched	chr1	11487183	11523827	17	32225	37281.6056	3037.7876
8_MACS_peak_6155_lociStitched	chr11	2190089	2226426	8	34119	42681.440200000005	2979.634
15_MACS_peak_18093_lociStitched	chr19	49173885	49210058	15	33237	38346.9973	3635.3865
17_MACS_peak_11263_lociStitched	chr17	739730	775778	17	32257	37547.5968	2941.5168000000003
17_MACS_peak_21797_lociStitched	chr22	20245220	20281111	17	30853	40212.2764	3097.3933
13_MACS_peak_31714_lociStitched	chr9	139918467	139954173	13	33578	52359.278399999996	3706.2828
22_MACS_peak_30230_lociStitched	chr9	133249565	133285205	22	28808	34374.78	2640.924
18_MACS_peak_11937_lociStitched	chr17	18969773	19005201	18	30966	31608.8616	4074.2200000000003
15_MACS_peak_22624_lociStitched	chr22	42795670	42831076	15	31344	39658.2606	3200.7023999999997
2_MACS_peak_31630_lociStitched	chr9	139216976	139252368	2	34710	59670.912	3061.408
13_MACS_peak_22392_lociStitched	chr22	37888382	37923724	13	31971	40954.3096	3279.7376
17_MACS_peak_13624_lociStitched	chr17	76476547	76511879	17	28665	37540.25	2939.6223999999997
14_MACS_peak_16459_lociStitched	chr19	18134160	18169424	14	33498	39714.3168	4002.464
11_MACS_peak_9899_lociStitched	chr16	1204400	1239447	11	33196	42533.0392	2120.3435
9_MACS_peak_21346_lociStitched	chr21	45907822	45942865	9	33029	47665.488600000004	3700.5407999999998
3_MACS_peak_14956_lociStitched	chr19	4275548	4310364	3	33591	48958.25919999999	4439.04
17_MACS_peak_16819_lociStitched	chr19	35988036	36022588	17	30290	38553.1216	3216.7912
6_MACS_peak_14165_lociStitched	chr17	79112497	79147044	6	33246	49139.6528	3053.9548000000004
8_MACS_peak_14987_lociStitched	chr19	4733501	4767685	8	33465	47642.2408	4744.7392
6_MACS_peak_19296_lociStitched	chr2	220328653	220362823	6	33202	50827.875	3618.6029999999996
19_MACS_peak_21325_lociStitched	chr21	45865294	45899454	19	27083	33674.928	3528.728
9_MACS_peak_35_lociStitched	chr1	913717	947831	9	32670	48261.0758	3544.4446000000003
7_MACS_peak_14945_lociStitched	chr19	4183589	4217513	7	32488	48881.0916	5451.5868
13_MACS_peak_12712_lociStitched	chr17	46799718	46833218	13	28624	41593.6	4003.25
8_MACS_peak_14008_lociStitched	chr17	77900211	77933544	8	32206	40462.9287	2893.3044
10_MACS_peak_30628_lociStitched	chr9	135848336	135881503	10	31990	40082.3195	2935.2794999999996
15_MACS_peak_15741_lociStitched	chr19	11357024	11390183	15	26704	34269.8265	3193.2117
4_MACS_peak_767_lociStitched	chr1	3502843	3535869	4	32083	43914.6722	2493.4629999999997
18_MACS_peak_11966_lociStitched	chr17	19056350	19089283	18	28159	29204.9844	3708.2558000000004
22_MACS_peak_5910_lociStitched	chr11	1238022	1270902	22	26840	29756.4	2110.8959999999997
2_MACS_peak_27705_lociStitched	chr7	149498762	149531623	2	32706	62232.161799999994	4577.5373
12_MACS_peak_13581_lociStitched	chr17	76306161	76338973	12	29579	37382.7116	3622.4447999999998
12_MACS_peak_6140_lociStitched	chr11	2149337	2182138	12	28686	36415.6702	2601.1193
14_MACS_peak_12771_lociStitched	chr17	47507656	47540111	14	30035	35872.5115	3625.2234999999996
22_MACS_peak_24650_lociStitched	chr4	3854789	3887172	22	27933	31534.5654	3001.9041
5_MACS_peak_24288_lociStitched	chr3	184274021	184306225	5	31613	49085.3368	5403.8312000000005
9_MACS_peak_13433_lociStitched	chr17	74871896	74903948	9	30676	38529.7092	3275.7144
4_MACS_peak_14941_lociStitched	chr19	4141345	4173350	4	31778	52123.343	4096.64
12_MACS_peak_29623_lociStitched	chr8	144938242	144970221	12	27894	39590.002	3156.3273
13_MACS_peak_14126_lociStitched	chr17	78478326	78509954	13	27471	33822.983199999995	2618.7984
9_MACS_peak_31674_lociStitched	chr9	139627256	139658861	9	29736	46576.2885	2866.5735
10_MACS_peak_18655_lociStitched	chr19	55996554	56028086	10	28757	40401.9516	2828.4204
12_MACS_peak_18587_lociStitched	chr19	55631084	55662575	12	28967	35383.287599999996	3284.5113
16_MACS_peak_2091_lociStitched	chr1	17408788	17440112	16	26829	33053.0848	2559.1708
6_MACS_peak_1604_lociStitched	chr1	10722288	10753599	6	30675	44583.732899999995	2752.2369000000003
7_MACS_peak_14111_lociStitched	chr17	78430454	78461508	7	29620	41146.549999999996	2577.482
9_MACS_peak_13957_lociStitched	chr17	77735006	77766050	9	28435	42002.532	2800.1688
22_MACS_peak_22910_lociStitched	chr22	44732115	44763088	22	24468	28557.106	2168.11
21_MACS_peak_17361_lociStitched	chr19	42278848	42309743	21	24039	29291.5495	3481.8664999999996
8_MACS_peak_17794_lociStitched	chr19	47115007	47145813	8	29695	40013.9134	3875.3948
16_MACS_peak_20759_lociStitched	chr20	61986192	62016983	16	25876	30941.875899999995	1936.7539
16_MACS_peak_8101_lociStitched	chr12	3378369	3408889	16	27595	32631.983999999997	2490.4320000000002
7_MACS_peak_25937_lociStitched	chr5	176267140	176297593	7	29633	39305.687099999996	2271.7938
5_MACS_peak_14969_lociStitched	chr19	4512326	4542752	5	29610	51708.987	4411.7699999999995
14_MACS_peak_30934_lociStitched	chr9	137104548	137134910	14	25376	33185.666	1979.6023999999998
16_MACS_peak_3084_lociStitched	chr1	22567834	22598040	16	26908	31118.2212	2322.8414
14_MACS_peak_3181_lociStitched	chr1	22872173	22902315	14	25870	30184.198800000002	2215.437
10_MACS_peak_18073_lociStitched	chr19	49080593	49110686	10	26959	34363.1967	3400.509
9_MACS_peak_18240_lociStitched	chr19	49916023	49946104	9	28754	38241.975300000006	2947.938
4_MACS_peak_13758_lociStitched	chr17	77241404	77271445	4	29674	36887.3439	2436.3251
11_MACS_peak_10080_lociStitched	chr16	3078464	3108451	11	28063	42140.7311	3334.5544
9_MACS_peak_30154_lociStitched	chr9	132929301	132959276	9	28074	36011.965000000004	2889.59
7_MACS_peak_6099_lociStitched	chr11	1938274	1968100	7	27838	39772.971	2436.7842
9_MACS_peak_17838_lociStitched	chr19	47900910	47930707	9	28642	40535.838800000005	3164.4414
12_MACS_peak_4753_lociStitched	chr1	228754616	228784411	12	26106	28501.897	12254.6835
10_MACS_peak_15397_lociStitched	chr19	7634251	7664034	10	27486	35319.6597	3856.8985000000002
12_MACS_peak_23730_lociStitched	chr3	12903804	12933347	12	25674	31368.757400000002	3524.4799000000003
11_MACS_peak_6448_lociStitched	chr11	61281959	61311358	11	26571	36960.4228	2734.107
9_MACS_peak_11423_lociStitched	chr17	1828905	1858205	9	28394	38087.07	2549.1
16_MACS_peak_730_lociStitched	chr1	3400442	3429635	16	25641	29756.4249	1795.3695
15_MACS_peak_6215_lociStitched	chr11	2378862	2408009	15	24892	29295.6497	2608.6565
27_MACS_peak_1305_lociStitched	chr1	7509283	7538104	27	20392	23085.621000000003	1622.6223
9_MACS_peak_10031_lociStitched	chr16	2855107	2883867	9	27214	35921.240000000005	2924.892
4_MACS_peak_31626_lociStitched	chr9	139138269	139167026	4	27875	50629.574199999995	3002.2308000000003
4_MACS_peak_14929_lociStitched	chr19	3924508	3953187	4	28423	41573.0784	3424.2726000000002
6_MACS_peak_31594_lociStitched	chr9	138970209	138998876	6	26905	39336.8574	2118.4912999999997
7_MACS_peak_14175_lociStitched	chr17	79272238	79300880	7	27273	41585.3198	2446.0268
7_MACS_peak_13323_lociStitched	chr17	72873477	72902074	7	27334	32386.1025	2868.2791
9_MACS_peak_11445_lociStitched	chr17	1904761	1933350	9	26385	37983.3454	2833.1699
16_MACS_peak_6675_lociStitched	chr11	64285717	64314270	16	22691	27262.4044	2338.4907
15_MACS_peak_11986_lociStitched	chr17	19100073	19128617	15	25039	25013.1072	3034.2272000000003
17_MACS_peak_7274_lociStitched	chr11	69970761	69999188	17	23073	25356.884000000002	1896.0809
8_MACS_peak_22476_lociStitched	chr22	39221427	39249793	8	26851	35477.356199999995	2802.5607999999997
19_MACS_peak_26367_lociStitched	chr6	33980957	34009240	19	22773	26464.4031	2452.1361
14_MACS_peak_15554_lociStitched	chr19	8266127	8294224	14	24603	26961.8812	3009.1887
11_MACS_peak_11530_lociStitched	chr17	4478082	4506134	11	24217	35008.896	2586.3944
17_MACS_peak_13910_lociStitched	chr17	77644688	77672605	17	23058	27344.701500000003	2124.4837
10_MACS_peak_17408_lociStitched	chr19	42414852	42442724	10	25187	41228.2624	3169.0463999999997
17_MACS_peak_27325_lociStitched	chr7	100350720	100378547	17	23242	27512.5549	2256.7697000000003
10_MACS_peak_24000_lociStitched	chr3	50183931	50211657	10	26163	32566.959600000002	2805.8712
10_MACS_peak_12824_lociStitched	chr17	47938130	47965851	10	25955	30778.626300000004	3121.3846000000003
4_MACS_peak_27729_lociStitched	chr7	150940724	150968442	4	26677	50682.363	4809.072999999999
6_MACS_peak_8455_lociStitched	chr12	54585768	54613389	6	26072	33797.0556	3949.803
11_MACS_peak_13657_lociStitched	chr17	76551480	76579081	11	25040	29221.1787	2699.3777999999998
10_MACS_peak_18601_lociStitched	chr19	55673118	55700706	10	24965	30887.5248	3161.5847999999996
5_MACS_peak_1062_lociStitched	chr1	6180964	6208514	5	25922	35528.48	2333.485
21_MACS_peak_2147_lociStitched	chr1	17534873	17562357	21	22569	25518.894	2311.4044
12_MACS_peak_18249_lociStitched	chr19	50011016	50038368	12	25387	27409.4392	2850.0784
16_MACS_peak_2230_lociStitched	chr1	17685738	17713020	16	22423	25134.9066	2174.3754
13_MACS_peak_25280_lociStitched	chr4	8611622	8638882	13	21478	22781.182	1324.836
2_MACS_peak_26206_lociStitched	chr6	31958057	31985300	2	27153	53665.9857	3367.2348
16_MACS_peak_27988_lociStitched	chr7	155591997	155619195	16	22711	27100.087199999998	2523.9743999999996
12_MACS_peak_8683_lociStitched	chr13	113676879	113704069	12	24023	30319.569	2390.001
11_MACS_peak_20810_lociStitched	chr20	62124908	62151900	11	24265	28830.1552	2475.1664
10_MACS_peak_13398_lociStitched	chr17	74515288	74542278	10	26009	34055.982	3400.7400000000002
7_MACS_peak_4351_lociStitched	chr1	156355568	156382547	7	24377	33931.488300000005	3952.4235
7_MACS_peak_21124_lociStitched	chr21	43717445	43744348	7	26139	39003.9694	3930.5283000000004
16_MACS_peak_31483_lociStitched	chr9	138572243	138599066	16	21461	24626.1963	1644.2499
2_MACS_peak_4359_lociStitched	chr1	156389241	156415981	2	26740	49161.49	5794.558
17_MACS_peak_22517_lociStitched	chr22	40036545	40063260	17	21803	25988.352	2161.2435
5_MACS_peak_29936_lociStitched	chr9	129442569	129469284	5	24974	35912.974500000004	2922.621
14_MACS_peak_16918_lociStitched	chr19	36343823	36370481	14	23168	26769.9636	1999.35
12_MACS_peak_9841_lociStitched	chr16	1055485	1082141	12	24060	31059.571200000002	1692.656
14_MACS_peak_25889_lociStitched	chr5	176148704	176175348	14	23729	27493.943600000002	1891.724
11_MACS_peak_27421_lociStitched	chr7	100745492	100772136	11	24791	29668.093999999997	3005.4431999999997
16_MACS_peak_19926_lociStitched	chr20	48889906	48916488	16	21508	25287.4566	2227.5715999999998
21_MACS_peak_1842_lociStitched	chr1	11666364	11692821	21	20419	23237.1831	2243.5536
15_MACS_peak_6028_lociStitched	chr11	1725519	1751881	15	22778	27213.4926	2562.3864
13_MACS_peak_5788_lociStitched	chr11	314146	340424	13	23630	29725.6736	3000.9476
9_MACS_peak_14025_lociStitched	chr17	77969453	77995673	9	24133	29639.088000000003	2344.0679999999998
20_MACS_peak_24103_lociStitched	chr3	50536020	50562230	20	21474	25051.518	2621.0
9_MACS_peak_31529_lociStitched	chr9	138661102	138687308	9	25282	32532.1284	1614.2896
6_MACS_peak_14284_lociStitched	chr17	81011022	81037210	6	24474	31957.216399999998	2286.2124
10_MACS_peak_14812_lociStitched	chr19	3333283	3359402	10	23853	27908.1515	2925.328
5_MACS_peak_19245_lociStitched	chr2	219845449	219871522	5	25723	42475.5243	2873.2446
2_MACS_peak_27703_lociStitched	chr7	149470108	149496144	2	25728	52306.324	3579.9500000000003
7_MACS_peak_15415_lociStitched	chr19	7718976	7744905	7	25179	35507.1726	3523.7511
8_MACS_peak_30358_lociStitched	chr9	133935380	133961305	8	23881	30684.829999999998	2563.9825
14_MACS_peak_18059_lociStitched	chr19	49048568	49074490	14	21886	26336.752	2283.7282
16_MACS_peak_14717_lociStitched	chr19	3094593	3120503	16	20791	23995.251	2489.951
13_MACS_peak_9783_lociStitched	chr16	917082	942920	13	22176	26088.6286	1767.3192000000001
9_MACS_peak_27312_lociStitched	chr7	100312045	100337804	9	23862	29612.5464	2725.3022
11_MACS_peak_30961_lociStitched	chr9	137166133	137191878	11	21825	26141.473	1912.8535000000002
10_MACS_peak_50_lociStitched	chr1	977938	1003658	10	23831	33019.336	1934.144
10_MACS_peak_11719_lociStitched	chr17	7308238	7333953	10	22528	33149.2065	2180.632
14_MACS_peak_31559_lociStitched	chr9	138899241	138924930	14	20224	24977.4147	1764.8343
19_MACS_peak_699_lociStitched	chr1	3336646	3362277	19	22295	25133.7586	1514.7921
6_MACS_peak_15835_lociStitched	chr19	13103335	13128918	6	24658	38305.4259	2627.3741
18_MACS_peak_22868_lociStitched	chr22	44662365	44687932	18	19528	22833.8877	1418.9685
16_MACS_peak_22893_lociStitched	chr22	44700325	44725890	16	20346	22589.234	2017.0784999999998
5_MACS_peak_14020_lociStitched	chr17	77942860	77968421	5	24966	34103.4862	2315.8266
18_MACS_peak_22192_lociStitched	chr22	36969520	36995005	18	20278	23390.132999999998	2303.844
4_MACS_peak_3011_lociStitched	chr1	21908346	21933822	4	24693	36438.322799999994	2402.3867999999998
5_MACS_peak_31698_lociStitched	chr9	139862204	139887653	5	23080	35816.9226	2438.0142
8_MACS_peak_15169_lociStitched	chr19	5731762	5757194	8	22915	26751.9208	3056.9264
14_MACS_peak_18128_lociStitched	chr19	49252758	49278001	14	20104	24379.6894	2875.1777
13_MACS_peak_13943_lociStitched	chr17	77707236	77732448	13	22544	28118.9436	2175.7956
6_MACS_peak_2049_lociStitched	chr1	17083794	17108955	6	23924	33431.4207	4956.717000000001
14_MACS_peak_18006_lociStitched	chr19	48777910	48803056	14	19271	23677.4736	2509.5708
10_MACS_peak_3195_lociStitched	chr1	22906904	22932029	10	23373	28052.0625	1763.7749999999999
9_MACS_peak_15384_lociStitched	chr19	7543195	7568298	9	22599	26194.9805	3609.8114000000005
10_MACS_peak_1892_lociStitched	chr1	11925300	11950380	10	23287	29659.608000000004	2402.6639999999998
18_MACS_peak_544_lociStitched	chr1	3035575	3060587	18	23365	25522.2448	1468.2044
11_MACS_peak_278_lociStitched	chr1	2131576	2156567	11	22142	27120.2332	2311.6675
15_MACS_peak_9331_lociStitched	chr15	74466780	74491693	15	19984	22822.799300000002	2015.4617
9_MACS_peak_24199_lociStitched	chr3	128169038	128193924	9	22348	28890.1574	2389.056
5_MACS_peak_26484_lociStitched	chr6	41603680	41628450	5	23355	30313.526	2179.7599999999998
13_MACS_peak_23355_lociStitched	chr22	46309670	46334402	13	21481	25439.335199999998	1506.1788000000001
5_MACS_peak_4524_lociStitched	chr1	201321619	201346310	5	23265	32436.566700000003	3632.0461
7_MACS_peak_26386_lociStitched	chr6	34013414	34038055	7	22606	29216.8337	2353.2155000000002
17_MACS_peak_19957_lociStitched	chr20	48956594	48981234	17	20511	23270.016	2491.104
8_MACS_peak_22599_lociStitched	chr22	42740500	42765101	8	21683	26305.849299999998	2150.1274000000003
13_MACS_peak_354_lociStitched	chr1	2520059	2544554	13	19484	23610.730499999998	1709.751
7_MACS_peak_7014_lociStitched	chr11	68758683	68783159	7	23704	32029.2936	1750.0339999999999
17_MACS_peak_10254_lociStitched	chr16	5049162	5073598	17	19746	21449.9208	2211.458
2_MACS_peak_19302_lociStitched	chr2	220374402	220398587	2	24180	36444.3765	2491.055
14_MACS_peak_13498_lociStitched	chr17	75779572	75803555	14	20836	24462.66	2412.6898
17_MACS_peak_22747_lociStitched	chr22	43813411	43837307	17	18209	21377.3616	1710.9535999999998
18_MACS_peak_1716_lociStitched	chr1	11368081	11391974	18	19792	21773.6909	2011.7906
