#22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04_ROSE/22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X22_0F28_0229Kronos_MM1S.No.Treatment.2_H3K27me3_hs.dm_i04.bam
#Using cutoff of 13237.2108 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X22_0F28_0229Kronos_MM1S.No.Treatment.2_H3K27me3_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
8_MACS_peak_30317_lociStitched	chr9	133770784	133825585	8	53290	75433.5765	4131.9954	45	1
7_MACS_peak_14206_lociStitched	chr17	79400019	79451556	7	50859	77305.5	3514.8234	46	1
10_MACS_peak_20602_lociStitched	chr20	61315543	61369187	10	51991	75278.6252	4736.7652	47	1
13_MACS_peak_22355_lociStitched	chr22	37710799	37768741	13	54126	71181.747	5492.9016	48	1
17_MACS_peak_9882_lociStitched	chr16	1144320	1201808	17	53618	70790.7232	4179.3776	49	1
1_MACS_peak_18313_lociStitched	chr19	50594137	50643079	1	48943	88178.8014	13919.1048	50	1
37_MACS_peak_585_lociStitched	chr1	3100806	3165805	37	55502	64498.5077	3704.943	51	1
5_MACS_peak_20733_lociStitched	chr20	61850270	61900944	5	50202	75276.227	4053.92	52	1
13_MACS_peak_18155_lociStitched	chr19	49519972	49574946	13	51859	68382.1586	5497.4	53	1
15_MACS_peak_20647_lociStitched	chr20	61590623	61640579	15	48570	68669.5176	4436.0928	54	1
22_MACS_peak_30769_lociStitched	chr9	136369197	136425615	22	49182	63222.0108	4293.4098	55	1
11_MACS_peak_290_lociStitched	chr1	2244697	2293409	11	46610	66603.9176	3331.9008	56	1
17_MACS_peak_20614_lociStitched	chr20	61375065	61424879	17	45451	69973.7258	4772.1812	57	1
12_MACS_peak_31649_lociStitched	chr9	139477245	139524492	12	46099	66405.6585	3666.3672	58	1
6_MACS_peak_29921_lociStitched	chr9	129371341	129417527	6	45424	68128.9686	4202.926	59	1
3_MACS_peak_26208_lociStitched	chr6	31991229	32032510	3	40536	76068.4987	5007.3853	60	1
12_MACS_peak_30452_lociStitched	chr9	135020763	135070551	12	47504	61742.0988	4217.0436	61	1
10_MACS_peak_14828_lociStitched	chr19	3385266	3435079	10	47453	62076.9606	6156.8868	62	1
21_MACS_peak_16478_lociStitched	chr19	18317197	18371456	21	46665	61659.9276	5805.713	63	1
13_MACS_peak_1978_lociStitched	chr1	16432825	16484097	13	46240	60295.872	4511.936	64	1
12_MACS_peak_30112_lociStitched	chr9	132469940	132519968	12	46091	61024.1544	5002.8	65	1
6_MACS_peak_24448_lociStitched	chr4	1751809	1794701	6	41141	69073.2768	3847.4124	66	1
14_MACS_peak_15198_lociStitched	chr19	5840828	5890571	14	46489	61243.5816	7053.5574	67	1
25_MACS_peak_6051_lociStitched	chr11	1787218	1838483	25	45424	58370.329	4839.416	68	1
13_MACS_peak_12839_lociStitched	chr17	48032629	48078701	13	43232	62671.7416	4860.596	69	1
14_MACS_peak_14561_lociStitched	chr19	1508442	1552726	14	40366	68184.0748	5619.6396	70	1
19_MACS_peak_1633_lociStitched	chr1	10853663	10903325	19	45786	56182.6206	4315.6278	71	1
25_MACS_peak_29020_lociStitched	chr8	142358983	142411290	25	46342	54519.5861	4451.3257	72	1
12_MACS_peak_18887_lociStitched	chr2	26776438	26822269	12	42680	59878.2015	5325.5622	74	1
7_MACS_peak_1954_lociStitched	chr1	16338962	16380725	7	40944	61450.0782	3967.485	75	1
7_MACS_peak_8489_lociStitched	chr12	57577119	57619793	7	40772	62833.1976	5120.88	76	1
7_MACS_peak_27722_lociStitched	chr7	150862719	150905319	7	41445	62362.14	6385.74	77	1
11_MACS_peak_26156_lociStitched	chr6	30408597	30450752	11	40643	62414.693	6260.0175	78	1
5_MACS_peak_21136_lociStitched	chr21	43762890	43804121	5	40340	59834.4272	6052.7108	79	1
12_MACS_peak_13333_lociStitched	chr17	72909181	72952427	12	42101	53862.893	4091.0716	80	1
6_MACS_peak_21779_lociStitched	chr22	20151877	20192753	6	39691	56641.8732	3290.518	81	1
16_MACS_peak_6772_lociStitched	chr11	64474875	64519616	16	38921	59246.0322	4773.8647	82	1
8_MACS_peak_24493_lociStitched	chr4	3458732	3498663	8	38397	57628.4192	3422.0867	83	1
6_MACS_peak_4369_lociStitched	chr1	156639774	156678682	6	37236	62474.5756	7092.9284	84	1
21_MACS_peak_11354_lociStitched	chr17	1110253	1156100	21	41683	50816.8148	4864.3667	85	1
20_MACS_peak_189_lociStitched	chr1	1934586	1981815	20	41617	49222.0638	3405.2109	86	1
12_MACS_peak_17420_lociStitched	chr19	42468144	42510748	12	39818	53514.8844	4115.5464	87	1
13_MACS_peak_21745_lociStitched	chr22	19719323	19761776	13	40670	50939.3547	3655.2033	88	1
12_MACS_peak_20945_lociStitched	chr20	62823758	62865939	12	39470	51954.3377	3749.8909	89	1
6_MACS_peak_20803_lociStitched	chr20	62082394	62122396	6	38070	53538.6768	2572.1286	90	1
2_MACS_peak_31630_lociStitched	chr9	139216976	139252368	2	34710	59670.912	3061.408	91	1
7_MACS_peak_22661_lociStitched	chr22	42918762	42957308	7	36878	60197.2882	7369.9952	92	1
23_MACS_peak_3875_lociStitched	chr1	32123507	32169855	23	41336	47400.0996	4606.9912	93	1
2_MACS_peak_27705_lociStitched	chr7	149498762	149531623	2	32706	62232.1618	4577.5373	94	1
11_MACS_peak_77_lociStitched	chr1	1093830	1132285	11	35334	56113.536	3257.1385	95	1
13_MACS_peak_31600_lociStitched	chr9	139013450	139054237	13	37861	50645.2179	3307.8257	96	1
12_MACS_peak_5859_lociStitched	chr11	1026328	1065998	12	37249	51654.307	3300.544	97	1
9_MACS_peak_21298_lociStitched	chr21	45761397	45801021	9	38076	50207.5704	4861.8648	98	1
15_MACS_peak_24013_lociStitched	chr3	50219480	50259509	15	37494	51149.0562	4611.3408	99	1
9_MACS_peak_14519_lociStitched	chr19	819366	856448	9	34914	56286.7678	4820.66	100	1
10_MACS_peak_21785_lociStitched	chr22	20197737	20236420	10	36023	48489.1405	3280.3184	101	1
34_MACS_peak_3339_lociStitched	chr1	23167679	23214525	34	38267	44082.086	4024.0714	102	1
13_MACS_peak_31714_lociStitched	chr9	139918467	139954173	13	33578	52359.2784	3706.2828	103	1
13_MACS_peak_5287_lociStitched	chr10	102482737	102520853	13	34869	49920.5252	3830.658	104	1
23_MACS_peak_11283_lociStitched	chr17	782334	826940	23	38012	41965.3248	3608.6254	105	1
16_MACS_peak_20777_lociStitched	chr20	62023381	62062735	16	36700	44159.1234	2802.0048	106	1
6_MACS_peak_19296_lociStitched	chr2	220328653	220362823	6	33202	50827.875	3618.603	107	1
8_MACS_peak_15212_lociStitched	chr19	5991298	6028176	8	35190	47937.7122	5185.0468	108	1
9_MACS_peak_30755_lociStitched	chr9	136287020	136324421	9	34775	46698.8886	3504.4737	109	1
6_MACS_peak_14165_lociStitched	chr17	79112497	79147044	6	33246	49139.6528	3053.9548	110	1
15_MACS_peak_26211_lociStitched	chr6	32034431	32073187	15	35129	46092.5108	4212.7772	111	1
12_MACS_peak_31614_lociStitched	chr9	139058917	139096225	12	34186	46269.3816	2492.1744	112	1
4_MACS_peak_14941_lociStitched	chr19	4141345	4173350	4	31778	52123.343	4096.64	113	1
3_MACS_peak_14956_lociStitched	chr19	4275548	4310364	3	33591	48958.2592	4439.04	114	1
18_MACS_peak_8663_lociStitched	chr13	113627601	113665369	18	34871	44770.1872	3516.2008	115	1
18_MACS_peak_22537_lociStitched	chr22	40068011	40106746	18	35248	42945.4945	3180.1435	116	1
12_MACS_peak_26881_lociStitched	chr7	2531967	2569773	12	33595	46157.3454	3202.1682	117	1
9_MACS_peak_35_lociStitched	chr1	913717	947831	9	32670	48261.0758	3544.4446	118	1
9_MACS_peak_21346_lociStitched	chr21	45907822	45942865	9	33029	47665.4886	3700.5408	119	1
8_MACS_peak_14987_lociStitched	chr19	4733501	4767685	8	33465	47642.2408	4744.7392	120	1
12_MACS_peak_12787_lociStitched	chr17	47555217	47592028	12	34272	45093.475	3901.966	121	1
7_MACS_peak_14945_lociStitched	chr19	4183589	4217513	7	32488	48881.0916	5451.5868	123	1
8_MACS_peak_6155_lociStitched	chr11	2190089	2226426	8	34119	42681.4402	2979.634	124	1
27_MACS_peak_24050_lociStitched	chr3	50445270	50488543	27	35421	40075.1253	3725.8053	125	1
18_MACS_peak_27278_lociStitched	chr7	100213046	100250688	18	34699	41259.3962	3783.021	126	1
5_MACS_peak_14969_lociStitched	chr19	4512326	4542752	5	29610	51708.987	4411.77	127	1
5_MACS_peak_24288_lociStitched	chr3	184274021	184306225	5	31613	49085.3368	5403.8312	128	1
11_MACS_peak_9899_lociStitched	chr16	1204400	1239447	11	33196	42533.0392	2120.3435	129	1
15_MACS_peak_6184_lociStitched	chr11	2305544	2344096	15	33828	41601.4632	2976.2144	130	1
2_MACS_peak_26206_lociStitched	chr6	31958057	31985300	2	27153	53665.9857	3367.2348	131	1
23_MACS_peak_20051_lociStitched	chr20	56126935	56168306	23	34321	40626.322	3578.5915	132	1
4_MACS_peak_767_lociStitched	chr1	3502843	3535869	4	32083	43914.6722	2493.463	133	1
12_MACS_peak_19573_lociStitched	chr20	30426155	30462888	12	31916	45989.716	4609.9915	134	1
4_MACS_peak_31626_lociStitched	chr9	139138269	139167026	4	27875	50629.5742	3002.2308	135	1
9_MACS_peak_31674_lociStitched	chr9	139627256	139658861	9	29736	46576.2885	2866.5735	136	1
14_MACS_peak_16459_lociStitched	chr19	18134160	18169424	14	33498	39714.3168	4002.464	137	1
6_MACS_peak_1604_lociStitched	chr1	10722288	10753599	6	30675	44583.7329	2752.2369	138	1
8_MACS_peak_14008_lociStitched	chr17	77900211	77933544	8	32206	40462.9287	2893.3044	139	1
22_MACS_peak_9853_lociStitched	chr16	1084885	1121911	22	31814	40528.6596	2225.2626	140	1
2_MACS_peak_27703_lociStitched	chr7	149470108	149496144	2	25728	52306.324	3579.95	141	1
17_MACS_peak_30849_lociStitched	chr9	136534730	136571977	17	32606	38822.5481	2547.6948	142	1
15_MACS_peak_18093_lociStitched	chr19	49173885	49210058	15	33237	38346.9973	3635.3865	143	1
13_MACS_peak_22392_lociStitched	chr22	37888382	37923724	13	31971	40954.3096	3279.7376	144	1
10_MACS_peak_30628_lociStitched	chr9	135848336	135881503	10	31990	40082.3195	2935.2795	145	1
26_MACS_peak_18335_lociStitched	chr19	50931026	50974821	26	32535	38815.5085	4077.3145	146	1
4_MACS_peak_27729_lociStitched	chr7	150940724	150968442	4	26677	50682.363	4809.073	147	1
17_MACS_peak_11263_lociStitched	chr17	739730	775778	17	32257	37547.5968	2941.5168	148	1
15_MACS_peak_22624_lociStitched	chr22	42795670	42831076	15	31344	39658.2606	3200.7024	149	1
17_MACS_peak_1786_lociStitched	chr1	11487183	11523827	17	32225	37281.6056	3037.7876	150	1
17_MACS_peak_21797_lociStitched	chr22	20245220	20281111	17	30853	40212.2764	3097.3933	151	1
7_MACS_peak_14111_lociStitched	chr17	78430454	78461508	7	29620	41146.55	2577.482	152	1
2_MACS_peak_4359_lociStitched	chr1	156389241	156415981	2	26740	49161.49	5794.558	153	1
9_MACS_peak_13433_lociStitched	chr17	74871896	74903948	9	30676	38529.7092	3275.7144	154	1
7_MACS_peak_25937_lociStitched	chr5	176267140	176297593	7	29633	39305.6871	2271.7938	155	1
9_MACS_peak_13957_lociStitched	chr17	77735006	77766050	9	28435	42002.532	2800.1688	156	1
17_MACS_peak_16819_lociStitched	chr19	35988036	36022588	17	30290	38553.1216	3216.7912	157	1
8_MACS_peak_17794_lociStitched	chr19	47115007	47145813	8	29695	40013.9134	3875.3948	158	1
10_MACS_peak_18655_lociStitched	chr19	55996554	56028086	10	28757	40401.9516	2828.4204	159	1
4_MACS_peak_14929_lociStitched	chr19	3924508	3953187	4	28423	41573.0784	3424.2726	160	1
11_MACS_peak_10080_lociStitched	chr16	3078464	3108451	11	28063	42140.7311	3334.5544	161	1
13_MACS_peak_12712_lociStitched	chr17	46799718	46833218	13	28624	41593.6	4003.25	162	1
9_MACS_peak_17838_lociStitched	chr19	47900910	47930707	9	28642	40535.8388	3164.4414	163	1
4_MACS_peak_13758_lociStitched	chr17	77241404	77271445	4	29674	36887.3439	2436.3251	164	1
7_MACS_peak_14175_lociStitched	chr17	79272238	79300880	7	27273	41585.3198	2446.0268	165	1
12_MACS_peak_13581_lociStitched	chr17	76306161	76338973	12	29579	37382.7116	3622.4448	166	1
7_MACS_peak_6099_lociStitched	chr11	1938274	1968100	7	27838	39772.971	2436.7842	167	1
9_MACS_peak_18240_lociStitched	chr19	49916023	49946104	9	28754	38241.9753	2947.938	168	1
14_MACS_peak_12771_lociStitched	chr17	47507656	47540111	14	30035	35872.5115	3625.2235	169	1
9_MACS_peak_11423_lociStitched	chr17	1828905	1858205	9	28394	38087.07	2549.1	170	1
12_MACS_peak_29623_lociStitched	chr8	144938242	144970221	12	27894	39590.002	3156.3273	171	1
17_MACS_peak_13624_lociStitched	chr17	76476547	76511879	17	28665	37540.25	2939.6224	172	1
5_MACS_peak_19245_lociStitched	chr2	219845449	219871522	5	25723	42475.5243	2873.2446	173	1
12_MACS_peak_6140_lociStitched	chr11	2149337	2182138	12	28686	36415.6702	2601.1193	174	1
6_MACS_peak_31594_lociStitched	chr9	138970209	138998876	6	26905	39336.8574	2118.4913	175	1
18_MACS_peak_11937_lociStitched	chr17	18969773	19005201	18	30966	31608.8616	4074.22	176	1
12_MACS_peak_18587_lociStitched	chr19	55631084	55662575	12	28967	35383.2876	3284.5113	177	1
22_MACS_peak_30230_lociStitched	chr9	133249565	133285205	22	28808	34374.78	2640.924	178	1
9_MACS_peak_30154_lociStitched	chr9	132929301	132959276	9	28074	36011.965	2889.59	179	1
10_MACS_peak_17408_lociStitched	chr19	42414852	42442724	10	25187	41228.2624	3169.0464	180	1
2_MACS_peak_2042_lociStitched	chr1	17011929	17029339	2	17253	51805.196	3602.129	181	1
9_MACS_peak_11445_lociStitched	chr17	1904761	1933350	9	26385	37983.3454	2833.1699	182	1
9_MACS_peak_10031_lociStitched	chr16	2855107	2883867	9	27214	35921.24	2924.892	183	1
11_MACS_peak_6448_lociStitched	chr11	61281959	61311358	11	26571	36960.4228	2734.107	184	1
7_MACS_peak_21124_lociStitched	chr21	43717445	43744348	7	26139	39003.9694	3930.5283	185	1
10_MACS_peak_15397_lociStitched	chr19	7634251	7664034	10	27486	35319.6597	3856.8985	186	1
8_MACS_peak_22476_lociStitched	chr22	39221427	39249793	8	26851	35477.3562	2802.5608	187	1
13_MACS_peak_14126_lociStitched	chr17	78478326	78509954	13	27471	33822.9832	2618.7984	188	1
16_MACS_peak_8101_lociStitched	chr12	3378369	3408889	16	27595	32631.984	2490.432	189	1
6_MACS_peak_15835_lociStitched	chr19	13103335	13128918	6	24658	38305.4259	2627.3741	190	1
10_MACS_peak_18073_lociStitched	chr19	49080593	49110686	10	26959	34363.1967	3400.509	191	1
5_MACS_peak_1062_lociStitched	chr1	6180964	6208514	5	25922	35528.48	2333.485	192	1
22_MACS_peak_24650_lociStitched	chr4	3854789	3887172	22	27933	31534.5654	3001.9041	193	1
15_MACS_peak_15741_lociStitched	chr19	11357024	11390183	15	26704	34269.8265	3193.2117	194	1
19_MACS_peak_21325_lociStitched	chr21	45865294	45899454	19	27083	33674.928	3528.728	195	1
7_MACS_peak_13323_lociStitched	chr17	72873477	72902074	7	27334	32386.1025	2868.2791	196	1
16_MACS_peak_2091_lociStitched	chr1	17408788	17440112	16	26829	33053.0848	2559.1708	197	1
2_MACS_peak_6233_lociStitched	chr11	2426304	2449031	2	21787	41138.1427	1995.4306	198	1
4_MACS_peak_3011_lociStitched	chr1	21908346	21933822	4	24693	36438.3228	2402.3868	199	1
18_MACS_peak_11966_lociStitched	chr17	19056350	19089283	18	28159	29204.9844	3708.2558	200	1
16_MACS_peak_3084_lociStitched	chr1	22567834	22598040	16	26908	31118.2212	2322.8414	201	1
5_MACS_peak_29936_lociStitched	chr9	129442569	129469284	5	24974	35912.9745	2922.621	202	1
10_MACS_peak_13398_lociStitched	chr17	74515288	74542278	10	26009	34055.982	3400.74	203	1
4_MACS_peak_12244_lociStitched	chr17	36716212	36739684	4	23253	38160.7776	2441.088	204	1
2_MACS_peak_19302_lociStitched	chr2	220374402	220398587	2	24180	36444.3765	2491.055	205	1
7_MACS_peak_15415_lociStitched	chr19	7718976	7744905	7	25179	35507.1726	3523.7511	206	1
10_MACS_peak_24000_lociStitched	chr3	50183931	50211657	10	26163	32566.9596	2805.8712	207	1
6_MACS_peak_8455_lociStitched	chr12	54585768	54613389	6	26072	33797.0556	3949.803	208	1
14_MACS_peak_30934_lociStitched	chr9	137104548	137134910	14	25376	33185.666	1979.6024	209	1
22_MACS_peak_5910_lociStitched	chr11	1238022	1270902	22	26840	29756.4	2110.896	210	1
5_MACS_peak_14020_lociStitched	chr17	77942860	77968421	5	24966	34103.4862	2315.8266	211	1
9_MACS_peak_31529_lociStitched	chr9	138661102	138687308	9	25282	32532.1284	1614.2896	212	1
16_MACS_peak_20759_lociStitched	chr20	61986192	62016983	16	25876	30941.8759	1936.7539	213	1
11_MACS_peak_11530_lociStitched	chr17	4478082	4506134	11	24217	35008.896	2586.3944	214	1
14_MACS_peak_3181_lociStitched	chr1	22872173	22902315	14	25870	30184.1988	2215.437	215	1
10_MACS_peak_12824_lociStitched	chr17	47938130	47965851	10	25955	30778.6263	3121.3846	216	1
5_MACS_peak_31698_lociStitched	chr9	139862204	139887653	5	23080	35816.9226	2438.0142	217	1
16_MACS_peak_730_lociStitched	chr1	3400442	3429635	16	25641	29756.4249	1795.3695	218	1
12_MACS_peak_23730_lociStitched	chr3	12903804	12933347	12	25674	31368.7574	3524.4799	219	1
7_MACS_peak_4351_lociStitched	chr1	156355568	156382547	7	24377	33931.4883	3952.4235	220	1
10_MACS_peak_50_lociStitched	chr1	977938	1003658	10	23831	33019.336	1934.144	221	1
6_MACS_peak_14284_lociStitched	chr17	81011022	81037210	6	24474	31957.2164	2286.2124	222	1
10_MACS_peak_18601_lociStitched	chr19	55673118	55700706	10	24965	30887.5248	3161.5848	223	1
7_MACS_peak_7014_lociStitched	chr11	68758683	68783159	7	23704	32029.2936	1750.034	224	1
12_MACS_peak_9841_lociStitched	chr16	1055485	1082141	12	24060	31059.5712	1692.656	225	1
11_MACS_peak_13657_lociStitched	chr17	76551480	76579081	11	25040	29221.1787	2699.3778	226	1
15_MACS_peak_6215_lociStitched	chr11	2378862	2408009	15	24892	29295.6497	2608.6565	227	1
11_MACS_peak_27421_lociStitched	chr7	100745492	100772136	11	24791	29668.094	3005.4432	228	1
6_MACS_peak_2049_lociStitched	chr1	17083794	17108955	6	23924	33431.4207	4956.717	229	1
7_MACS_peak_27079_lociStitched	chr7	44257035	44280792	7	22296	33468.8616	2002.7151	230	1
12_MACS_peak_8683_lociStitched	chr13	113676879	113704069	12	24023	30319.569	2390.001	231	1
12_MACS_peak_18249_lociStitched	chr19	50011016	50038368	12	25387	27409.4392	2850.0784	232	1
10_MACS_peak_11719_lociStitched	chr17	7308238	7333953	10	22528	33149.2065	2180.632	233	1
8_MACS_peak_30358_lociStitched	chr9	133935380	133961305	8	23881	30684.83	2563.9825	234	1
9_MACS_peak_14025_lociStitched	chr17	77969453	77995673	9	24133	29639.088	2344.068	235	1
22_MACS_peak_22910_lociStitched	chr22	44732115	44763088	22	24468	28557.106	2168.11	236	1
5_MACS_peak_4524_lociStitched	chr1	201321619	201346310	5	23265	32436.5667	3632.0461	237	1
11_MACS_peak_20810_lociStitched	chr20	62124908	62151900	11	24265	28830.1552	2475.1664	238	1
5_MACS_peak_26484_lociStitched	chr6	41603680	41628450	5	23355	30313.526	2179.76	239	1
9_MACS_peak_27312_lociStitched	chr7	100312045	100337804	9	23862	29612.5464	2725.3022	240	1
3_MACS_peak_24208_lociStitched	chr3	128195174	128216794	3	20804	34873.06	2058.224	241	1
21_MACS_peak_17361_lociStitched	chr19	42278848	42309743	21	24039	29291.5495	3481.8665	242	1
13_MACS_peak_5788_lociStitched	chr11	314146	340424	13	23630	29725.6736	3000.9476	243	1
10_MACS_peak_1892_lociStitched	chr1	11925300	11950380	10	23287	29659.608	2402.664	244	1
14_MACS_peak_15554_lociStitched	chr19	8266127	8294224	14	24603	26961.8812	3009.1887	245	1
14_MACS_peak_25889_lociStitched	chr5	176148704	176175348	14	23729	27493.9436	1891.724	246	1
15_MACS_peak_11986_lociStitched	chr17	19100073	19128617	15	25039	25013.1072	3034.2272	247	1
10_MACS_peak_3195_lociStitched	chr1	22906904	22932029	10	23373	28052.0625	1763.775	248	1
10_MACS_peak_14812_lociStitched	chr19	3333283	3359402	10	23853	27908.1515	2925.328	249	1
4_MACS_peak_11821_lociStitched	chr17	7958136	7981470	4	22513	31146.2232	3122.0892	250	1
2_MACS_peak_16529_lociStitched	chr19	18708569	18729427	2	20355	33437.4598	1952.3088	251	1
6_MACS_peak_1067_lociStitched	chr1	6210891	6234387	6	22768	28820.1936	2171.0304	252	1
7_MACS_peak_26386_lociStitched	chr6	34013414	34038055	7	22606	29216.8337	2353.2155	253	1
6_MACS_peak_9942_lociStitched	chr16	1567564	1590671	6	21623	30505.8614	1693.7431	254	1
17_MACS_peak_27325_lociStitched	chr7	100350720	100378547	17	23242	27512.5549	2256.7697	255	1
12_MACS_peak_4753_lociStitched	chr1	228754616	228784411	12	26106	28501.897	12254.6835	256	1
6_MACS_peak_14822_lociStitched	chr19	3360447	3383824	6	22720	28676.5659	2531.7291	257	1
17_MACS_peak_13910_lociStitched	chr17	77644688	77672605	17	23058	27344.7015	2124.4837	258	1
8_MACS_peak_29012_lociStitched	chr8	142333097	142356660	8	22635	28131.8657	2092.3944	259	1
14_MACS_peak_16918_lociStitched	chr19	36343823	36370481	14	23168	26769.9636	1999.35	260	1
9_MACS_peak_24199_lociStitched	chr3	128169038	128193924	9	22348	28890.1574	2389.056	261	1
18_MACS_peak_544_lociStitched	chr1	3035575	3060587	18	23365	25522.2448	1468.2044	262	1
