REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X22_0F28_0229Kronos_MM1S.No.Treatment.2_H3K27me3_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
5_MACS_peak_12834_lociStitched	chr17	47967231	48031511	5	64102	95622.928	5984.468	28		DLX4,TAC4,DLX3	DLX4	28	1
25_MACS_peak_16434_lociStitched	chr19	18059346	18130978	25	65993	92054.2832	6926.8144	29	KCNN1,ARRDC2	CCDC124	ARRDC2	29	1
9_MACS_peak_11344_lociStitched	chr17	1041182	1106205	9	63279	97124.8551	7152.53	30	ABR	ABR	ABR	30	1
21_MACS_peak_28973_lociStitched	chr8	141990594	142060052	21	64903	92622.243	8571.1172	31	PTK2		PTK2	31	1
6_MACS_peak_21188_lociStitched	chr21	44055793	44120310	6	62076	93872.235	8045.2699	32	PDE9A		PDE9A	32	1
29_MACS_peak_1653_lociStitched	chr1	10906895	10980795	29	65813	80565.78	6710.12	33			CASZ1	33	1
15_MACS_peak_4378_lociStitched	chr1	156821890	156885756	15	60919	94362.015	10352.6786	34	NTRK1,PEAR1,INSRR	C1orf92,SH2D2A,MIR765	PEAR1	34	1
13_MACS_peak_21512_lociStitched	chr21	46796615	46856376	13	57698	91517.9954	5521.9164	35	COL18A1,NCRNA00175	COL18A1	COL18A1	35	1
11_MACS_peak_21525_lociStitched	chr21	46858182	46919974	11	58519	89079.3472	6605.5648	36	COL18A1	NCRNA00175,SLC19A1	COL18A1	36	1
9_MACS_peak_25415_lociStitched	chr4	9324615	9370915	9	45677	111703.38	11996.33	37	USP17,USP17L6P		USP17L6P	37	1
11_MACS_peak_22368_lociStitched	chr22	37771468	37832156	11	58905	78111.5248	5728.9472	38	ELFN2		ELFN2	38	1
9_MACS_peak_1093_lociStitched	chr1	6474985	6530084	9	53845	83419.886	5366.6426	39	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	39	1
24_MACS_peak_6528_lociStitched	chr11	61433856	61499432	24	59209	73123.7976	6039.5496	40	DAGLA	C11orf9,DKFZP434K028	DAGLA	40	1
7_MACS_peak_24_lociStitched	chr1	829177	878744	7	47471	89884.7978	4649.3846	41	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	41	1
20_MACS_peak_30092_lociStitched	chr9	132405361	132468643	20	56488	72894.5358	5613.1134	42	PRRX2	METTL11A,C9orf50,ASB6,PTGES	PRRX2	42	1
21_MACS_peak_304_lociStitched	chr1	2348719	2411265	21	55845	72153.0656	4115.5268	43	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	43	1
14_MACS_peak_746_lociStitched	chr1	3430638	3488225	14	55496	71200.5668	3812.2594	44	MEGF6,MIR551A		MIR551A	44	1
8_MACS_peak_30317_lociStitched	chr9	133770784	133825585	8	53290	75433.5765	4131.9954	45	FIBCD1	QRFP	FIBCD1	45	1
7_MACS_peak_14206_lociStitched	chr17	79400019	79451556	7	50859	77305.5	3514.8234	46	BAHCC1,MIR3186	FSCN2,ACTG1	MIR3186	46	1
10_MACS_peak_20602_lociStitched	chr20	61315543	61369187	10	51991	75278.6252	4736.7652	47	NTSR1	SLCO4A1,LOC100127888	NTSR1	47	1
13_MACS_peak_22355_lociStitched	chr22	37710799	37768741	13	54126	71181.747	5492.9016	48	CYTH4,ELFN2		CYTH4	48	1
17_MACS_peak_9882_lociStitched	chr16	1144320	1201808	17	53618	70790.7232	4179.3776	49	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	49	1
1_MACS_peak_18313_lociStitched	chr19	50594137	50643079	1	48943	88178.8014	13919.1048	50	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	50	1
37_MACS_peak_585_lociStitched	chr1	3100806	3165805	37	55502	64498.5077	3704.943	51	PRDM16		MIR4251	51	1
5_MACS_peak_20733_lociStitched	chr20	61850270	61900944	5	50202	75276.227	4053.92	52	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	52	1
13_MACS_peak_18155_lociStitched	chr19	49519972	49574946	13	51859	68382.1586	5497.4	53	CGB2,SNAR-G1,CGB5,LHB,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,C19orf73	CGB5	53	1
15_MACS_peak_20647_lociStitched	chr20	61590623	61640579	15	48570	68669.5176	4436.0928	54	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	54	1
22_MACS_peak_30769_lociStitched	chr9	136369197	136425615	22	49182	63222.0108	4293.4098	55	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	55	1
11_MACS_peak_290_lociStitched	chr1	2244697	2293409	11	46610	66603.9176	3331.9008	56	MORN1,LOC100129534	RER1	LOC100129534	56	1
17_MACS_peak_20614_lociStitched	chr20	61375065	61424879	17	45451	69973.7258	4772.1812	57	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	57	1
12_MACS_peak_31649_lociStitched	chr9	139477245	139524492	12	46099	66405.6585	3666.3672	58		EGFL7,MIR126,NOTCH1	EGFL7	58	1
6_MACS_peak_29921_lociStitched	chr9	129371341	129417527	6	45424	68128.9686	4202.926	59	LMX1B		LMX1B	59	1
3_MACS_peak_26208_lociStitched	chr6	31991229	32032510	3	40536	76068.4987	5007.3853	60	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	60	1
12_MACS_peak_30452_lociStitched	chr9	135020763	135070551	12	47504	61742.0988	4217.0436	61	NTNG2		NTNG2	61	1
10_MACS_peak_14828_lociStitched	chr19	3385266	3435079	10	47453	62076.9606	6156.8868	62	NFIC	C19orf77	NFIC	62	1
21_MACS_peak_16478_lociStitched	chr19	18317197	18371456	21	46665	61659.9276	5805.713	63	PDE4C,LOC729966,KIAA1683	IFI30,MPV17L2,MIR3188,RAB3A,JUND	PDE4C	63	1
13_MACS_peak_1978_lociStitched	chr1	16432825	16484097	13	46240	60295.872	4511.936	64	EPHA2	FAM131C	EPHA2	64	1
12_MACS_peak_30112_lociStitched	chr9	132469940	132519968	12	46091	61024.1544	5002.8	65	PRRX2,PTGES	TOR1B	PTGES	65	1
6_MACS_peak_24448_lociStitched	chr4	1751809	1794701	6	41141	69073.2768	3847.4124	66		TACC3,FGFR3,SLBP,TMEM129	FGFR3	66	1
14_MACS_peak_15198_lociStitched	chr19	5840828	5890571	14	46489	61243.5816	7053.5574	67	FUT3,FUT5	NRTN,VMAC,CAPS,DUS3L,FUT6,NDUFA11	FUT5	67	1
25_MACS_peak_6051_lociStitched	chr11	1787218	1838483	25	45424	58370.329	4839.416	68		SYT8,TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	MOB2	68	1
13_MACS_peak_12839_lociStitched	chr17	48032629	48078701	13	43232	62671.7416	4860.596	69	DLX4,DLX3		DLX4	69	1
14_MACS_peak_14561_lociStitched	chr19	1508442	1552726	14	40366	68184.0748	5619.6396	70	PLK5P,ADAMTSL5	REEP6,C19orf25,PCSK4,MEX3D,MBD3	PLK5P	70	1
19_MACS_peak_1633_lociStitched	chr1	10853663	10903325	19	45786	56182.6206	4315.6278	71	CASZ1		CASZ1	71	1
25_MACS_peak_29020_lociStitched	chr8	142358983	142411290	25	46342	54519.5861	4451.3257	72	GPR20	LOC731779,PTP4A3	GPR20	72	1
12_MACS_peak_18887_lociStitched	chr2	26776438	26822269	12	42680	59878.2015	5325.5622	74	C2orf70,OTOF,CIB4		C2orf70	74	1
7_MACS_peak_1954_lociStitched	chr1	16338962	16380725	7	40944	61450.0782	3967.485	75	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	75	1
7_MACS_peak_8489_lociStitched	chr12	57577119	57619793	7	40772	62833.1976	5120.88	76	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	76	1
7_MACS_peak_27722_lociStitched	chr7	150862719	150905319	7	41445	62362.14	6385.74	77	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	77	1
11_MACS_peak_26156_lociStitched	chr6	30408597	30450752	11	40643	62414.693	6260.0175	78		HLA-E	HLA-E	78	1
5_MACS_peak_21136_lociStitched	chr21	43762890	43804121	5	40340	59834.4272	6052.7108	79	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	79	1
12_MACS_peak_13333_lociStitched	chr17	72909181	72952427	12	42101	53862.893	4091.0716	80	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	80	1
6_MACS_peak_21779_lociStitched	chr22	20151877	20192753	6	39691	56641.8732	3290.518	81		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	81	1
16_MACS_peak_6772_lociStitched	chr11	64474875	64519616	16	38921	59246.0322	4773.8647	82	NRXN2,RASGRP2,PYGM	SF1	NRXN2	82	1
8_MACS_peak_24493_lociStitched	chr4	3458732	3498663	8	38397	57628.4192	3422.0867	83	DOK7	HGFAC,LRPAP1	DOK7	83	1
6_MACS_peak_4369_lociStitched	chr1	156639774	156678682	6	37236	62474.5756	7092.9284	84	NES,CRABP2	BCAN,C1orf66,ISG20L2,MRPL24,HDGF	NES	84	1
21_MACS_peak_11354_lociStitched	chr17	1110253	1156100	21	41683	50816.8148	4864.3667	85		BHLHA9,TUSC5,ABR	BHLHA9	85	1
20_MACS_peak_189_lociStitched	chr1	1934586	1981815	20	41617	49222.0638	3405.2109	86	GABRD,KIAA1751	PRKCZ	GABRD	86	1
12_MACS_peak_17420_lociStitched	chr19	42468144	42510748	12	39818	53514.8844	4115.5464	87	ATP1A3,GRIK5	RABAC1	ATP1A3	87	1
13_MACS_peak_21745_lociStitched	chr22	19719323	19761776	13	40670	50939.3547	3655.2033	88	TBX1	SEPT5,SEPT5-GP1BB,GP1BB	TBX1	88	1
12_MACS_peak_20945_lociStitched	chr20	62823758	62865939	12	39470	51954.3377	3749.8909	89	MYT1	PCMTD2	PCMTD2	89	1
6_MACS_peak_20803_lociStitched	chr20	62082394	62122396	6	38070	53538.6768	2572.1286	90	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	90	1
2_MACS_peak_31630_lociStitched	chr9	139216976	139252368	2	34710	59670.912	3061.408	91	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	91	1
7_MACS_peak_22661_lociStitched	chr22	42918762	42957308	7	36878	60197.2882	7369.9952	92	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	92	1
23_MACS_peak_3875_lociStitched	chr1	32123507	32169855	23	41336	47400.0996	4606.9912	93	COL16A1	HCRTR1,PEF1	COL16A1	93	1
2_MACS_peak_27705_lociStitched	chr7	149498762	149531623	2	32706	62232.1618	4577.5373	94	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	94	1
11_MACS_peak_77_lociStitched	chr1	1093830	1132285	11	35334	56113.536	3257.1385	95	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4,FAM132A	TTLL10	95	1
13_MACS_peak_31600_lociStitched	chr9	139013450	139054237	13	37861	50645.2179	3307.8257	96		NACC2,C9orf69,LHX3	C9orf69	96	1
12_MACS_peak_5859_lociStitched	chr11	1026328	1065998	12	37249	51654.307	3300.544	97	MUC6	MUC2	MUC6	97	1
9_MACS_peak_21298_lociStitched	chr21	45761397	45801021	9	38076	50207.5704	4861.8648	98	TRPM2	PFKL,C21orf2	TRPM2	98	1
15_MACS_peak_24013_lociStitched	chr3	50219480	50259509	15	37494	51149.0562	4611.3408	99	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	99	1
9_MACS_peak_14519_lociStitched	chr19	819366	856448	9	34914	56286.7678	4820.66	100	AZU1,PRTN3,ELANE,LPPR3	PTBP1,MIR3187,CFD,MED16	PRTN3	100	1
10_MACS_peak_21785_lociStitched	chr22	20197737	20236420	10	36023	48489.1405	3280.3184	101	RTN4R	LOC150197,MIR1286	MIR1286	101	1
34_MACS_peak_3339_lociStitched	chr1	23167679	23214525	34	38267	44082.086	4024.0714	102	EPHB2,MIR4253		MIR4253	102	1
13_MACS_peak_31714_lociStitched	chr9	139918467	139954173	13	33578	52359.2784	3706.2828	103	C9orf139,ABCA2,FUT7,NPDC1,ENTPD2	PTGDS,LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,C9orf140,LOC100289341	NPDC1	103	1
13_MACS_peak_5287_lociStitched	chr10	102482737	102520853	13	34869	49920.5252	3830.658	104	PAX2		PAX2	104	1
23_MACS_peak_11283_lociStitched	chr17	782334	826940	23	38012	41965.3248	3608.6254	105	NXN		NXN	105	1
16_MACS_peak_20777_lociStitched	chr20	62023381	62062735	16	36700	44159.1234	2802.0048	106	KCNQ2	CHRNA4,KCNQ2	CHRNA4	106	1
6_MACS_peak_19296_lociStitched	chr2	220328653	220362823	6	33202	50827.875	3618.603	107	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	107	1
8_MACS_peak_15212_lociStitched	chr19	5991298	6028176	8	35190	47937.7122	5185.0468	108	RFX2	RANBP3	RANBP3	108	1
9_MACS_peak_30755_lociStitched	chr9	136287020	136324421	9	34775	46698.8886	3504.4737	109	ADAMTS13	C9orf96,C9orf7,SURF4,REXO4,SLC2A6	ADAMTS13	109	1
6_MACS_peak_14165_lociStitched	chr17	79112497	79147044	6	33246	49139.6528	3053.9548	110	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	110	1
15_MACS_peak_26211_lociStitched	chr6	32034431	32073187	15	35129	46092.5108	4212.7772	111	TNXB	PPT2,ATF6B,FKBPL,PRRT1,LOC100507547	TNXB	111	1
12_MACS_peak_31614_lociStitched	chr9	139058917	139096225	12	34186	46269.3816	2492.1744	112	LHX3	C9orf69,QSOX2	LHX3	112	1
4_MACS_peak_14941_lociStitched	chr19	4141345	4173350	4	31778	52123.343	4096.64	113	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	113	1
3_MACS_peak_14956_lociStitched	chr19	4275548	4310364	3	33591	48958.2592	4439.04	114	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	114	1
18_MACS_peak_8663_lociStitched	chr13	113627601	113665369	18	34871	44770.1872	3516.2008	115	MCF2L	LOC100289410	MCF2L	115	1
18_MACS_peak_22537_lociStitched	chr22	40068011	40106746	18	35248	42945.4945	3180.1435	116	CACNA1I		CACNA1I	116	1
12_MACS_peak_26881_lociStitched	chr7	2531967	2569773	12	33595	46157.3454	3202.1682	117	LFNG	IQCE,C7orf27	LFNG	117	1
9_MACS_peak_35_lociStitched	chr1	913717	947831	9	32670	48261.0758	3544.4446	118	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	118	1
9_MACS_peak_21346_lociStitched	chr21	45907822	45942865	9	33029	47665.4886	3700.5408	119	C21orf90,C21orf29	LRRC3,KRTAP10-1,KRTAP10-2,KRTAP10-3	C21orf90	119	1
8_MACS_peak_14987_lociStitched	chr19	4733501	4767685	8	33465	47642.2408	4744.7392	120		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	120	1
12_MACS_peak_12787_lociStitched	chr17	47555217	47592028	12	34272	45093.475	3901.966	121	NGFR		NGFR	121	1
7_MACS_peak_14945_lociStitched	chr19	4183589	4217513	7	32488	48881.0916	5451.5868	123	ANKRD24	CREB3L3,EBI3,CCDC94,SIRT6	ANKRD24	123	1
8_MACS_peak_6155_lociStitched	chr11	2190089	2226426	8	34119	42681.4402	2979.634	124	TH	IGF2AS,MIR483,IGF2,INS	TH	124	1
27_MACS_peak_24050_lociStitched	chr3	50445270	50488543	27	35421	40075.1253	3725.8053	125	CACNA2D2	TMEM115	TMEM115	125	1
18_MACS_peak_27278_lociStitched	chr7	100213046	100250688	18	34699	41259.3962	3783.021	126	TFR2,ACTL6B	FBXO24,PCOLCE,MOSPD3,GNB2,SAP25,LRCH4,GIGYF1	TFR2	126	1
5_MACS_peak_14969_lociStitched	chr19	4512326	4542752	5	29610	51708.987	4411.77	127	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN5	127	1
5_MACS_peak_24288_lociStitched	chr3	184274021	184306225	5	31613	49085.3368	5403.8312	128	EPHB3		EPHB3	128	1
11_MACS_peak_9899_lociStitched	chr16	1204400	1239447	11	33196	42533.0392	2120.3435	129	CACNA1H	TPSG1,TPSB2	CACNA1H	129	1
15_MACS_peak_6184_lociStitched	chr11	2305544	2344096	15	33828	41601.4632	2976.2144	130	TSPAN32,C11orf21	ASCL2	TSPAN32	130	1
2_MACS_peak_26206_lociStitched	chr6	31958057	31985300	2	27153	53665.9857	3367.2348	131	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	131	1
23_MACS_peak_20051_lociStitched	chr20	56126935	56168306	23	34321	40626.322	3578.5915	132	PCK1	CTCFL,ZBP1	PCK1	132	1
4_MACS_peak_767_lociStitched	chr1	3502843	3535869	4	32083	43914.6722	2493.463	133	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	133	1
12_MACS_peak_19573_lociStitched	chr20	30426155	30462888	12	31916	45989.716	4609.9915	134	TTLL9,FOXS1,DUSP15	MYLK2	FOXS1	134	1
4_MACS_peak_31626_lociStitched	chr9	139138269	139167026	4	27875	50629.5742	3002.2308	135		LHX3,QSOX2	QSOX2	135	1
9_MACS_peak_31674_lociStitched	chr9	139627256	139658861	9	29736	46576.2885	2866.5735	136	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	136	1
14_MACS_peak_16459_lociStitched	chr19	18134160	18169424	14	33498	39714.3168	4002.464	137		ARRDC2,MAST3,IL12RB1	ARRDC2	137	1
6_MACS_peak_1604_lociStitched	chr1	10722288	10753599	6	30675	44583.7329	2752.2369	138	CASZ1		CASZ1	138	1
8_MACS_peak_14008_lociStitched	chr17	77900211	77933544	8	32206	40462.9287	2893.3044	139	TBC1D16		TBC1D16	139	1
22_MACS_peak_9853_lociStitched	chr16	1084885	1121911	22	31814	40528.6596	2225.2626	140	LOC146336	SSTR5,C1QTNF8	SSTR5	140	1
2_MACS_peak_27703_lociStitched	chr7	149470108	149496144	2	25728	52306.324	3579.95	141	SSPO,ZNF467	ZNF862	SSPO	141	1
17_MACS_peak_30849_lociStitched	chr9	136534730	136571977	17	32606	38822.5481	2547.6948	142	SARDH	DBH	SARDH	142	1
15_MACS_peak_18093_lociStitched	chr19	49173885	49210058	15	33237	38346.9973	3635.3865	143	SEC1,FUT2,NTN5	FGF21,DBP,CA11,MAMSTR,RASIP1,IZUMO1,FUT1	FUT2	143	1
13_MACS_peak_22392_lociStitched	chr22	37888382	37923724	13	31971	40954.3096	3279.7376	144	CARD10	CDC42EP1,MFNG	CARD10	144	1
10_MACS_peak_30628_lociStitched	chr9	135848336	135881503	10	31990	40082.3195	2935.2795	145	GFI1B	GTF3C5,TSC1	GFI1B	145	1
26_MACS_peak_18335_lociStitched	chr19	50931026	50974821	26	32535	38815.5085	4077.3145	146	SPIB,MYBPC2,FAM71E1	POLD1,C19orf63,JOSD2,ASPDH	MYBPC2	146	1
4_MACS_peak_27729_lociStitched	chr7	150940724	150968442	4	26677	50682.363	4809.073	147	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	147	1
17_MACS_peak_11263_lociStitched	chr17	739730	775778	17	32257	37547.5968	2941.5168	148	NXN		GLOD4	148	1
15_MACS_peak_22624_lociStitched	chr22	42795670	42831076	15	31344	39658.2606	3200.7024	149	NFAM1		NFAM1	149	1
17_MACS_peak_1786_lociStitched	chr1	11487183	11523827	17	32225	37281.6056	3037.7876	150		PTCHD2	PTCHD2	150	1
17_MACS_peak_21797_lociStitched	chr22	20245220	20281111	17	30853	40212.2764	3097.3933	151	RTN4R	MIR1286,DGCR6L	RTN4R	151	1
7_MACS_peak_14111_lociStitched	chr17	78430454	78461508	7	29620	41146.55	2577.482	152	NPTX1	FLJ35220,LOC100294362	NPTX1	152	1
2_MACS_peak_4359_lociStitched	chr1	156389241	156415981	2	26740	49161.49	5794.558	153	C1orf61,MIR9-1		C1orf61	153	1
9_MACS_peak_13433_lociStitched	chr17	74871896	74903948	9	30676	38529.7092	3275.7144	154	MGAT5B		MGAT5B	154	1
7_MACS_peak_25937_lociStitched	chr5	176267140	176297593	7	29633	39305.6871	2271.7938	155	UNC5A	HK3	HK3	155	1
9_MACS_peak_13957_lociStitched	chr17	77735006	77766050	9	28435	42002.532	2800.1688	156	CBX2	ENPP7,CBX8,CBX4	CBX2	156	1
17_MACS_peak_16819_lociStitched	chr19	35988036	36022588	17	30290	38553.1216	3216.7912	157	DMKN,SBSN	FFAR2,GAPDHS,TMEM147,KRTDAP,ATP4A	DMKN	157	1
8_MACS_peak_17794_lociStitched	chr19	47115007	47145813	8	29695	40013.9134	3875.3948	158	PTGIR,GNG8	CALM3,DACT3	PTGIR	158	1
10_MACS_peak_18655_lociStitched	chr19	55996554	56028086	10	28757	40401.9516	2828.4204	159	NAT14,SSC5D	ZNF628,SHISA7,ISOC2,SBK2	SSC5D	159	1
4_MACS_peak_14929_lociStitched	chr19	3924508	3953187	4	28423	41573.0784	3424.2726	160	ATCAY,ITGB1BP3	MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	160	1
11_MACS_peak_10080_lociStitched	chr16	3078464	3108451	11	28063	42140.7311	3334.5544	161	MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,THOC6,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	161	1
