REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X22_0F28_0229Kronos_MM1S.No.Treatment.2_H3K27me3_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
24_MACS_peak_6528_lociStitched	chr11	61433856	61499432	24	59209	73123.7976	6039.5496	52	DAGLA	C11orf9,DKFZP434K028	DAGLA	DKFZP434K028	1.1539000000000001	52	1
17_MACS_peak_9882_lociStitched	chr16	1144320	1201808	17	53618	70790.7232	4179.3776	53	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	1.1522000000000001	53	1
13_MACS_peak_22355_lociStitched	chr22	37710799	37768741	13	54126	71181.747	5492.9016	54	CYTH4,ELFN2		CYTH4	CYTH4	0.13740000000000002	54	1
6_MACS_peak_24448_lociStitched	chr4	1751809	1794701	6	41141	69073.2768	3847.4124	55		TACC3,FGFR3,SLBP,TMEM129	FGFR3	FGFR3	0.8261	55	1
17_MACS_peak_20614_lociStitched	chr20	61375065	61424879	17	45451	69973.7258	4772.1812	56	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	COL9A3	0.824	56	1
15_MACS_peak_20647_lociStitched	chr20	61590623	61640579	15	48570	68669.5176	4436.0928	57	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	BHLHE23	1.0737999999999999	57	1
6_MACS_peak_29921_lociStitched	chr9	129371341	129417527	6	45424	68128.9686	4202.926	58	LMX1B		LMX1B	LMX1B	1.187	58	1
11_MACS_peak_290_lociStitched	chr1	2244697	2293409	11	46610	66603.9176	3331.9008	59	MORN1,LOC100129534	RER1	LOC100129534	LOC100129534	1.2975999999999999	59	1
13_MACS_peak_18155_lociStitched	chr19	49519972	49574946	13	51859	68382.1586	5497.4	60	CGB2,SNAR-G1,CGB5,LHB,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,C19orf73	CGB5	CGB5	1.2535	60	1
12_MACS_peak_31649_lociStitched	chr9	139477245	139524492	12	46099	66405.6585	3666.3672	61		EGFL7,MIR126,NOTCH1	EGFL7	EGFL7	1.5049	61	1
14_MACS_peak_14561_lociStitched	chr19	1508442	1552726	14	40366	68184.0748	5619.6396	62	PLK5P,ADAMTSL5	REEP6,C19orf25,PCSK4,MEX3D,MBD3	PLK5P	PLK5P	1.7355	62	1
37_MACS_peak_585_lociStitched	chr1	3100806	3165805	37	55502	64498.5077	3704.943	63	PRDM16		MIR4251	MIR4251	0.9072	63	1
22_MACS_peak_30769_lociStitched	chr9	136369197	136425615	22	49182	63222.0108	4293.4098	64	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	FAM163B	1.0641999999999998	64	1
13_MACS_peak_12839_lociStitched	chr17	48032629	48078701	13	43232	62671.7416	4860.596	65	DLX4,DLX3		DLX4	DLX4	1.5135	65	1
7_MACS_peak_8489_lociStitched	chr12	57577119	57619793	7	40772	62833.1976	5120.88	66	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	MIR1228	1.1672	66	1
2_MACS_peak_27705_lociStitched	chr7	149498762	149531623	2	32706	62232.1618	4577.5373	67	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	0.7072999999999999	67	1
12_MACS_peak_30452_lociStitched	chr9	135020763	135070551	12	47504	61742.0988	4217.0436	68	NTNG2		NTNG2	NTNG2	1.0408000000000002	68	1
7_MACS_peak_1954_lociStitched	chr1	16338962	16380725	7	40944	61450.0782	3967.485	69	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	CLCNKB	1.4033	69	1
2_MACS_peak_31630_lociStitched	chr9	139216976	139252368	2	34710	59670.912	3061.408	70	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	1.365	70	1
11_MACS_peak_26156_lociStitched	chr6	30408597	30450752	11	40643	62414.693	6260.0175	71		HLA-E	HLA-E	HLA-E	0.0499	71	1
12_MACS_peak_30112_lociStitched	chr9	132469940	132519968	12	46091	61024.1544	5002.8	72	PRRX2,PTGES	TOR1B	PTGES	PTGES	1.137	72	1
7_MACS_peak_27722_lociStitched	chr7	150862719	150905319	7	41445	62362.14	6385.74	73	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	SMARCD3	1.1782	73	1
10_MACS_peak_14828_lociStitched	chr19	3385266	3435079	10	47453	62076.9606	6156.8868	74	NFIC	C19orf77	NFIC	NFIC	1.102	74	1
21_MACS_peak_16478_lociStitched	chr19	18317197	18371456	21	46665	61659.9276	5805.713	75	PDE4C,LOC729966,KIAA1683	IFI30,MPV17L2,MIR3188,RAB3A,JUND	PDE4C	PDE4C	0.9847999999999999	75	1
13_MACS_peak_1978_lociStitched	chr1	16432825	16484097	13	46240	60295.872	4511.936	76	EPHA2	FAM131C	EPHA2	EPHA2	1.0689	76	1
6_MACS_peak_4369_lociStitched	chr1	156639774	156678682	6	37236	62474.5756	7092.9284	77	NES,CRABP2	BCAN,C1orf66,ISG20L2,MRPL24,HDGF	NES	NES	0.9136	77	1
12_MACS_peak_18887_lociStitched	chr2	26776438	26822269	12	42680	59878.2015	5325.5622	78	C2orf70,OTOF,CIB4		C2orf70	C2orf70	1.2258	78	1
16_MACS_peak_6772_lociStitched	chr11	64474875	64519616	16	38921	59246.0322	4773.8647	79	NRXN2,RASGRP2,PYGM	SF1	NRXN2	NRXN2	0.8759	79	1
8_MACS_peak_24493_lociStitched	chr4	3458732	3498663	8	38397	57628.4192	3422.0867	80	DOK7	HGFAC,LRPAP1	DOK7	DOK7	1.3110000000000002	80	1
14_MACS_peak_15198_lociStitched	chr19	5840828	5890571	14	46489	61243.5816	7053.5574	81	FUT3,FUT5	NRTN,VMAC,CAPS,DUS3L,FUT6,NDUFA11	FUT5	FUT5	1.0079	81	1
5_MACS_peak_21136_lociStitched	chr21	43762890	43804121	5	40340	59834.4272	6052.7108	82	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	TFF3	1.5947	82	1
25_MACS_peak_6051_lociStitched	chr11	1787218	1838483	25	45424	58370.329	4839.416	83		SYT8,TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	MOB2	SYT8	1.1126999999999998	83	1
6_MACS_peak_21779_lociStitched	chr22	20151877	20192753	6	39691	56641.8732	3290.518	84		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	LOC150197	0.7923	84	1
11_MACS_peak_77_lociStitched	chr1	1093830	1132285	11	35334	56113.536	3257.1385	85	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4,FAM132A	TTLL10	TNFRSF18	1.3287	85	1
7_MACS_peak_22661_lociStitched	chr22	42918762	42957308	7	36878	60197.2882	7369.9952	86	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	SERHL	0.6852	86	1
19_MACS_peak_1633_lociStitched	chr1	10853663	10903325	19	45786	56182.6206	4315.6278	87	CASZ1		CASZ1	CASZ1	1.1432	87	1
9_MACS_peak_14519_lociStitched	chr19	819366	856448	9	34914	56286.7678	4820.66	88	AZU1,PRTN3,ELANE,LPPR3	PTBP1,MIR3187,CFD,MED16	PRTN3	PRTN3	1.575	88	1
6_MACS_peak_20803_lociStitched	chr20	62082394	62122396	6	38070	53538.6768	2572.1286	89	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	KCNQ2	1.0687	89	1
2_MACS_peak_26206_lociStitched	chr6	31958057	31985300	2	27153	53665.9857	3367.2348	90	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	CYP21A2	2.1891	90	1
25_MACS_peak_29020_lociStitched	chr8	142358983	142411290	25	46342	54519.5861	4451.3257	91	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.1304	91	1
12_MACS_peak_13333_lociStitched	chr17	72909181	72952427	12	42101	53862.893	4091.0716	92	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	OTOP3	1.1176	92	1
12_MACS_peak_17420_lociStitched	chr19	42468144	42510748	12	39818	53514.8844	4115.5464	93	ATP1A3,GRIK5	RABAC1	ATP1A3	ATP1A3	1.0748	93	1
2_MACS_peak_27703_lociStitched	chr7	149470108	149496144	2	25728	52306.324	3579.95	94	SSPO,ZNF467	ZNF862	SSPO	SSPO	1.5967	94	1
13_MACS_peak_31714_lociStitched	chr9	139918467	139954173	13	33578	52359.2784	3706.2828	95	C9orf139,ABCA2,FUT7,NPDC1,ENTPD2	PTGDS,LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,C9orf140,LOC100289341	NPDC1	NPDC1	1.5543	95	1
12_MACS_peak_5859_lociStitched	chr11	1026328	1065998	12	37249	51654.307	3300.544	96	MUC6	MUC2	MUC6	MUC2	0.8159	96	1
12_MACS_peak_20945_lociStitched	chr20	62823758	62865939	12	39470	51954.3377	3749.8909	97	MYT1	PCMTD2	PCMTD2	NONE	NONE	97	1
2_MACS_peak_2042_lociStitched	chr1	17011929	17029339	2	17253	51805.196	3602.129	98	ESPNP	MST1P2	ESPNP	ESPNP	2.4652	98	1
4_MACS_peak_14941_lociStitched	chr19	4141345	4173350	4	31778	52123.343	4096.64	99	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.3091	99	1
4_MACS_peak_31626_lociStitched	chr9	139138269	139167026	4	27875	50629.5742	3002.2308	100		LHX3,QSOX2	QSOX2	LHX3	0.9201	100	1
13_MACS_peak_31600_lociStitched	chr9	139013450	139054237	13	37861	50645.2179	3307.8257	101		NACC2,C9orf69,LHX3	C9orf69	LHX3	0.9201	101	1
5_MACS_peak_14969_lociStitched	chr19	4512326	4542752	5	29610	51708.987	4411.77	102	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN5	PLIN5	1.6239999999999999	102	1
13_MACS_peak_21745_lociStitched	chr22	19719323	19761776	13	40670	50939.3547	3655.2033	103	TBX1	SEPT5,SEPT5-GP1BB,GP1BB	TBX1	GP1BB	1.2989	103	1
6_MACS_peak_19296_lociStitched	chr2	220328653	220362823	6	33202	50827.875	3618.603	104	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	ACCN4	1.0374	104	1
15_MACS_peak_24013_lociStitched	chr3	50219480	50259509	15	37494	51149.0562	4611.3408	105	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	SLC38A3	1.1817	105	1
13_MACS_peak_5287_lociStitched	chr10	102482737	102520853	13	34869	49920.5252	3830.658	106	PAX2		PAX2	PAX2	0.7066	106	1
6_MACS_peak_14165_lociStitched	chr17	79112497	79147044	6	33246	49139.6528	3053.9548	107	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	MIR1250	1.2586	107	1
21_MACS_peak_11354_lociStitched	chr17	1110253	1156100	21	41683	50816.8148	4864.3667	108		BHLHA9,TUSC5,ABR	BHLHA9	TUSC5	0.9779	108	1
4_MACS_peak_27729_lociStitched	chr7	150940724	150968442	4	26677	50682.363	4809.073	109	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	1.1782	109	1
20_MACS_peak_189_lociStitched	chr1	1934586	1981815	20	41617	49222.0638	3405.2109	110	GABRD,KIAA1751	PRKCZ	GABRD	GABRD	1.0388	110	1
9_MACS_peak_21298_lociStitched	chr21	45761397	45801021	9	38076	50207.5704	4861.8648	111	TRPM2	PFKL,C21orf2	TRPM2	TRPM2	0.7612	111	1
10_MACS_peak_21785_lociStitched	chr22	20197737	20236420	10	36023	48489.1405	3280.3184	112	RTN4R	LOC150197,MIR1286	MIR1286	LOC150197	0.7923	112	1
9_MACS_peak_35_lociStitched	chr1	913717	947831	9	32670	48261.0758	3544.4446	113	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	HES4	1.3624999999999998	113	1
3_MACS_peak_14956_lociStitched	chr19	4275548	4310364	3	33591	48958.2592	4439.04	114	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	TMIGD2	1.2665	114	1
9_MACS_peak_21346_lociStitched	chr21	45907822	45942865	9	33029	47665.4886	3700.5408	115	C21orf90,C21orf29	LRRC3,KRTAP10-1,KRTAP10-2,KRTAP10-3	C21orf90	C21orf90	0.9681000000000001	115	1
12_MACS_peak_31614_lociStitched	chr9	139058917	139096225	12	34186	46269.3816	2492.1744	116	LHX3	C9orf69,QSOX2	LHX3	LHX3	0.9201	116	1
9_MACS_peak_31674_lociStitched	chr9	139627256	139658861	9	29736	46576.2885	2866.5735	117	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	LCN6	1.6043	117	1
5_MACS_peak_24288_lociStitched	chr3	184274021	184306225	5	31613	49085.3368	5403.8312	118	EPHB3		EPHB3	EPHB3	1.3880000000000001	118	1
7_MACS_peak_14945_lociStitched	chr19	4183589	4217513	7	32488	48881.0916	5451.5868	119	ANKRD24	CREB3L3,EBI3,CCDC94,SIRT6	ANKRD24	CREB3L3	1.3091	119	1
2_MACS_peak_4359_lociStitched	chr1	156389241	156415981	2	26740	49161.49	5794.558	120	C1orf61,MIR9-1		C1orf61	C1orf61	1.0777	120	1
9_MACS_peak_30755_lociStitched	chr9	136287020	136324421	9	34775	46698.8886	3504.4737	121	ADAMTS13	C9orf96,C9orf7,SURF4,REXO4,SLC2A6	ADAMTS13	ADAMTS13	0.9481	121	1
12_MACS_peak_26881_lociStitched	chr7	2531967	2569773	12	33595	46157.3454	3202.1682	122	LFNG	IQCE,C7orf27	LFNG	LFNG	0.977	122	1
8_MACS_peak_14987_lociStitched	chr19	4733501	4767685	8	33465	47642.2408	4744.7392	123		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	C19orf30	0.6971	123	1
23_MACS_peak_3875_lociStitched	chr1	32123507	32169855	23	41336	47400.0996	4606.9912	124	COL16A1	HCRTR1,PEF1	COL16A1	COL16A1	0.7792	124	1
8_MACS_peak_15212_lociStitched	chr19	5991298	6028176	8	35190	47937.7122	5185.0468	125	RFX2	RANBP3	RANBP3	NONE	NONE	125	1
15_MACS_peak_26211_lociStitched	chr6	32034431	32073187	15	35129	46092.5108	4212.7772	126	TNXB	PPT2,ATF6B,FKBPL,PRRT1,LOC100507547	TNXB	TNXB	1.1858	126	1
6_MACS_peak_1604_lociStitched	chr1	10722288	10753599	6	30675	44583.7329	2752.2369	127	CASZ1		CASZ1	CASZ1	1.1432	127	1
4_MACS_peak_767_lociStitched	chr1	3502843	3535869	4	32083	43914.6722	2493.463	128	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MEGF6	1.0859	128	1
12_MACS_peak_19573_lociStitched	chr20	30426155	30462888	12	31916	45989.716	4609.9915	129	TTLL9,FOXS1,DUSP15	MYLK2	FOXS1	FOXS1	1.1716	129	1
16_MACS_peak_20777_lociStitched	chr20	62023381	62062735	16	36700	44159.1234	2802.0048	130	KCNQ2	CHRNA4,KCNQ2	CHRNA4	KCNQ2	1.0687	130	1
18_MACS_peak_8663_lociStitched	chr13	113627601	113665369	18	34871	44770.1872	3516.2008	131	MCF2L	LOC100289410	MCF2L	MCF2L	0.9082	131	1
12_MACS_peak_12787_lociStitched	chr17	47555217	47592028	12	34272	45093.475	3901.966	132	NGFR		NGFR	NGFR	1.0724	132	1
11_MACS_peak_9899_lociStitched	chr16	1204400	1239447	11	33196	42533.0392	2120.3435	133	CACNA1H	TPSG1,TPSB2	CACNA1H	TPSG1	1.6099999999999999	133	1
34_MACS_peak_3339_lociStitched	chr1	23167679	23214525	34	38267	44082.086	4024.0714	134	EPHB2,MIR4253		MIR4253	MIR4253	0.7462000000000001	134	1
18_MACS_peak_22537_lociStitched	chr22	40068011	40106746	18	35248	42945.4945	3180.1435	135	CACNA1I		CACNA1I	CACNA1I	0.7874	135	1
8_MACS_peak_6155_lociStitched	chr11	2190089	2226426	8	34119	42681.4402	2979.634	136	TH	IGF2AS,MIR483,IGF2,INS	TH	MIR483	1.0830000000000002	136	1
5_MACS_peak_19245_lociStitched	chr2	219845449	219871522	5	25723	42475.5243	2873.2446	137	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108	CRYBA2	CRYBA2	1.4205	137	1
9_MACS_peak_13957_lociStitched	chr17	77735006	77766050	9	28435	42002.532	2800.1688	138	CBX2	ENPP7,CBX8,CBX4	CBX2	CBX2	1.4022	138	1
2_MACS_peak_6233_lociStitched	chr11	2426304	2449031	2	21787	41138.1427	1995.4306	139	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	TRPM5	1.3964	139	1
