REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_8707_lociStitched	chr14	106143826	106173455	4	27614	106990.319	3522.8881	13			TMEM121	TMEM121	0.2197	13	1
5_MACS_peak_13107_lociStitched	chr19	2594364	2629109	5	22128	110725.366	7730.7625	14	GNG7		GNG7	GNG7	0.5756	14	1
9_MACS_peak_8534_lociStitched	chr14	91813045	91885879	9	52364	109527.7692	7414.5012	15	CCDC88C		CCDC88C	CCDC88C	0.7287	15	1
3_MACS_peak_16840_lociStitched	chr20	30271747	30312318	3	36847	110259.8067	8244.0272	16	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.5811	16	1
3_MACS_peak_11164_lociStitched	chr17	16863364	16895583	3	23374	106986.4114	6356.8087	17	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.352	17	1
1_MACS_peak_24410_lociStitched	chr6	106531130	106556651	1	25522	104832.6117	5068.4706	18	PRDM1		PRDM1	PRDM1	2.9951000000000003	18	1
1_MACS_peak_3090_lociStitched	chr10	11202615	11223608	1	20994	102563.4008	4868.2767	19	CELF2		CELF2	CELF2	0.4479000000000001	19	1
4_MACS_peak_26001_lociStitched	chr7	102063696	102093231	4	22488	102657.753	5068.206	20	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.7127000000000001	20	1
3_MACS_peak_1747_lociStitched	chr1	154907819	154935560	3	20205	104847.1095	8133.6612	21	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	2.3592	21	1
4_MACS_peak_26512_lociStitched	chr7	150053120	150084853	4	24535	101050.5652	7225.6041	22	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	3.5581	22	1
5_MACS_peak_11398_lociStitched	chr17	32688414	32726806	5	34857	98337.2688	7309.8368	23	CCL1	CCL8,CCL13	CCL1	CCL1	1.0695	23	1
4_MACS_peak_12475_lociStitched	chr18	9054294	9085040	4	22226	94230.3408	5445.1166	24		NDUFV2	NDUFV2	NDUFV2	1.8974999999999997	24	1
1_MACS_peak_6475_lociStitched	chr12	53587985	53604091	1	16107	92003.9144	3918.5898	25	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	3.4648000000000003	25	1
5_MACS_peak_2447_lociStitched	chr1	206271698	206311966	5	26340	95515.696	9346.2028	26	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.078	26	1
1_MACS_peak_16105_lociStitched	chr2	201979788	201995039	1	15252	88326.1665	3501.6296	27	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.506	27	1
6_MACS_peak_24444_lociStitched	chr6	108878301	108952013	6	61872	95250.6464	10931.4896	28	FOXO3		FOXO3	FOXO3	0.832	28	1
2_MACS_peak_6054_lociStitched	chr12	12866145	12881739	2	15447	86527.9872	2877.093	29	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	5.5364	29	1
2_MACS_peak_4622_lociStitched	chr11	22676619	22703786	2	22737	87015.901	4528.7389	30	GAS2	FANCF	GAS2	GAS2	0.5212	30	1
2_MACS_peak_13083_lociStitched	chr19	2081521	2098400	2	15091	85871.9125	4771.6933	31	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.3098	31	1
5_MACS_peak_4088_lociStitched	chr10	112103850	112128980	5	15046	84793.646	4420.367	32		SMNDC1	SMNDC1	SMNDC1	0.12680000000000002	32	1
6_MACS_peak_16884_lociStitched	chr20	32398673	32452633	6	36661	88586.132	9130.032	33	CHMP4B		CHMP4B	CHMP4B	1.2924	33	1
1_MACS_peak_23570_lociStitched	chr6	25402810	25415926	1	13117	80332.8768	2833.056	34	LRRC16A		LRRC16A	LRRC16A	0.3386	34	1
3_MACS_peak_11910_lociStitched	chr17	56404788	56431099	3	19391	82185.0396	5288.511	35	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	3.0547999999999997	35	1
5_MACS_peak_16816_lociStitched	chr20	25261675	25301552	5	21420	81341.1046	6288.6029	36	PYGB,ABHD12		PYGB	PYGB	0.7402	36	1
2_MACS_peak_7073_lociStitched	chr12	109020364	109035887	2	13644	78231.2631	3213.261	37	SELPLG	TMEM119	SELPLG	SELPLG	3.9582000000000006	37	1
3_MACS_peak_5208_lociStitched	chr11	72850932	72869979	3	16928	78370.7862	3630.3582	38	FCHSD2		FCHSD2	FCHSD2	0.048500000000000015	38	1
2_MACS_peak_1804_lociStitched	chr1	156115168	156136713	2	19461	78768.52	5735.279	39	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.9360000000000002	39	1
1_MACS_peak_29217_lociStitched	chrX	19469942	19470868	1	927	73154.7408	183.5332	40	MAP3K15		MAP3K15	MAP3K15	0.4203	40	1
1_MACS_peak_12900_lociStitched	chr18	60821834	60831684	1	9851	73809.005	2303.915	41	BCL2		BCL2	BCL2	0.5521	41	1
4_MACS_peak_17707_lociStitched	chr21	45552590	45581226	4	18675	77655.1048	6729.46	42	C21orf33	PWP2	C21orf33	C21orf33	0.8551	42	1
1_MACS_peak_2376_lociStitched	chr1	203288024	203298305	1	10282	72884.0652	3297.1167	43		BTG2,LOC730227,FMOD	BTG2	LOC730227	2.8171999999999997	43	1
3_MACS_peak_17897_lociStitched	chr22	24178852	24200867	3	15562	72708.9405	3405.7205	44	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	0.9246000000000001	44	1
9_MACS_peak_24054_lociStitched	chr6	52392366	52443062	9	33780	75815.868	8937.7048	45	TRAM2		TRAM2	TRAM2	0.9113999999999999	45	1
4_MACS_peak_4223_lociStitched	chr10	125821843	125854784	4	26849	72160.5546	6120.4378	46	CHST15		CHST15	CHST15	0.7535999999999999	46	1
1_MACS_peak_20676_lociStitched	chr4	40191051	40209314	1	18264	69152.8495	3721.9994	47	RHOH		RHOH	RHOH	1.089	47	1
7_MACS_peak_11450_lociStitched	chr17	34597787	34641905	7	33150	73447.6464	8735.364	48	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	48	1
3_MACS_peak_5874_lociStitched	chr12	4216221	4231172	3	10276	67496.2895	2987.2098	49			CCND2	CCND2	0.7084	49	1
3_MACS_peak_26620_lociStitched	chr8	2027712	2051009	3	17131	67892.1174	3995.4355	50	MYOM2		MYOM2	MYOM2	0.7464999999999999	50	1
5_MACS_peak_26516_lociStitched	chr7	150100840	150134155	5	17272	70654.452	7059.4485	51	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	REPIN1	3.5581	51	1
4_MACS_peak_17000_lociStitched	chr20	37486724	37511328	4	12275	66425.8792	3700.4416	52	PPP1R16B	FAM83D	FAM83D	FAM83D	0.00990000000000002	52	1
2_MACS_peak_10063_lociStitched	chr16	12055945	12072062	2	12068	66049.0777	3452.2614	53	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	4.6522	53	1
2_MACS_peak_12479_lociStitched	chr18	9094887	9123273	2	23122	67209.5322	5027.1606	54	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.8974999999999997	54	1
1_MACS_peak_21730_lociStitched	chr5	1311433	1320546	1	9114	63893.9769	1844.4712	55	CLPTM1L	TERT	TERT	NONE	NONE	55	1
1_MACS_peak_7947_lociStitched	chr13	114828913	114835103	1	6191	63346.603	1403.892	56	RASA3		RASA3	RASA3	0.6193	56	1
4_MACS_peak_10191_lociStitched	chr16	23343229	23365498	4	13661	65272.6659	3939.3861	57	SCNN1B		SCNN1B	SCNN1B	0.9197000000000001	57	1
1_MACS_peak_23422_lociStitched	chr6	11826992	11838479	1	11488	62934.9756	2227.3293	58		C6orf105	C6orf105	C6orf105	0.4401	58	1
4_MACS_peak_11445_lociStitched	chr17	34509815	34540220	4	26026	67222.4145	6728.6265	59	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	2.2241	59	1
2_MACS_peak_14936_lociStitched	chr2	70310224	70323466	2	8789	62641.281	2484.1992	60	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	4.9216	60	1
4_MACS_peak_253_lociStitched	chr1	17221336	17241677	4	9045	65542.7702	5736.162	61		CROCC	CROCC	NONE	NONE	61	1
1_MACS_peak_15379_lociStitched	chr2	112455349	112466629	1	11281	61809.888	2386.848	62			ANAPC1	ANAPC1	NONE	62	1
4_MACS_peak_10053_lociStitched	chr16	11808454	11843185	4	26427	65704.1058	6345.3537	63	TXNDC11	SNN,ZC3H7A	TXNDC11	TXNDC11	1.5070000000000001	63	1
1_MACS_peak_25576_lociStitched	chr7	55597317	55605495	1	8179	61042.2276	1747.6386	64	VOPP1		VOPP1	VOPP1	1.2513999999999998	64	1
2_MACS_peak_4596_lociStitched	chr11	19449590	19466349	2	15921	62333.4246	3623.2958	65	NAV2		NAV2	NAV2	0.07460000000000001	65	1
4_MACS_peak_1603_lociStitched	chr1	149802918	149834086	4	15909	66403.424	7707.8464	66	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	2.0443	66	1
5_MACS_peak_15188_lociStitched	chr2	97190297	97220458	5	17555	63570.3397	5085.1446	67	ARID5A	NEURL3	ARID5A	ARID5A	1.2318	67	1
4_MACS_peak_14858_lociStitched	chr2	65156420	65178753	4	16759	62979.06	4629.6309	68	LOC400958	SLC1A4	LOC400958	LOC400958	1.1797	68	1
5_MACS_peak_20121_lociStitched	chr3	183228277	183260906	5	25349	66396.7521	8571.6383	69	KLHL6		KLHL6	KLHL6	1.0525	69	1
5_MACS_peak_4112_lociStitched	chr10	112597069	112633197	5	23725	63252.9024	6015.312	70	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.4398	70	1
3_MACS_peak_14345_lociStitched	chr2	20397820	20426304	3	20986	61810.28	4591.6208	71	SDC1		SDC1	SDC1	1.6587999999999998	71	1
2_MACS_peak_1630_lociStitched	chr1	150532193	150553305	2	16361	63236.7736	6052.8104	72	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.7721	72	1
1_MACS_peak_498_lociStitched	chr1	31214210	31233610	1	19401	60958.68	3876.12	73	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.6294	73	1
2_MACS_peak_21619_lociStitched	chr4	185200847	185210976	2	10018	58706.6711	2338.7861	74			ENPP6	NONE	NONE	74	1
1_MACS_peak_25787_lociStitched	chr7	78113699	78128450	1	14752	59015.8008	3075.5835	75	MAGI2		RPL13AP17	RPL13AP17	NONE	75	1
6_MACS_peak_18863_lociStitched	chr3	46574118	46608414	6	18106	60628.4688	5288.4432	76	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	LRRC2	0.9033	76	1
1_MACS_peak_17651_lociStitched	chr21	43480420	43486906	1	6487	57344.6718	2150.109	77	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	0.8325	77	1
2_MACS_peak_17624_lociStitched	chr21	41324289	41344453	2	16805	61248.15	6131.8724	78			PCP4	PCP4	0.1909	78	1
3_MACS_peak_22663_lociStitched	chr5	131744956	131774347	3	21330	59807.7459	5172.816	79	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.3245	79	1
2_MACS_peak_1726_lociStitched	chr1	154374337	154394662	2	17021	59649.81	5361.735	80	IL6R		IL6R	IL6R	0.7381	80	1
4_MACS_peak_12222_lociStitched	chr17	75128683	75146224	4	15494	57506.4144	3262.626	81	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.9144	81	1
2_MACS_peak_10554_lociStitched	chr16	66549294	66561568	2	11842	56837.2118	2610.6798	82	TK2	CKLF,CMTM1	TK2	TK2	1.3703999999999998	82	1
1_MACS_peak_11698_lociStitched	chr17	43298055	43308735	1	10681	54726.456	2153.088	83	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.5987	83	1
3_MACS_peak_341_lociStitched	chr1	24511971	24533891	3	17106	56444	4061.776	84	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.4142	84	1
4_MACS_peak_21627_lociStitched	chr4	185317560	185350078	4	20818	57150.385	5511.801	85	IRF2		IRF2	IRF2	1.3247	85	1
2_MACS_peak_19975_lociStitched	chr3	171801878	171827189	2	21602	56608.0515	6016.4247	86	FNDC3B		FNDC3B	FNDC3B	0.1685	86	1
2_MACS_peak_8840_lociStitched	chr15	31546272	31560817	2	11342	53317.6065	2746.096	87			KLF13	KLF13	0.8011999999999999	87	1
2_MACS_peak_7070_lociStitched	chr12	108952831	108970761	2	16765	53816.895	3824.469	88	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	2.8641	88	1
4_MACS_peak_18209_lociStitched	chr22	39823148	39846165	4	13772	53818.3494	3984.2427	89	TAB1	MGAT3	MGAT3	MGAT3	0.2353	89	1
2_MACS_peak_13751_lociStitched	chr19	39880916	39904073	2	18091	53286.5727	3881.1132	90	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	2.9025	90	1
1_MACS_peak_4100_lociStitched	chr10	112214932	112226153	1	11222	51665.9724	2261.0315	91		DUSP5	DUSP5	DUSP5	0.8985000000000001	91	1
1_MACS_peak_18529_lociStitched	chr3	13049703	13061634	1	11932	52032.2841	2646.2958	92	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.31079999999999997	92	1
6_MACS_peak_9662_lociStitched	chr15	89646665	89676910	6	18613	54374.461	5190.042	93	ABHD2		ABHD2	ABHD2	0.4354	93	1
4_MACS_peak_9346_lociStitched	chr15	68568582	68599491	4	26459	54075.2955	5548.1655	94	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.3992	94	1
7_MACS_peak_8842_lociStitched	chr15	31616636	31657548	7	26262	54482.5104	6173.6208	95	KLF13		KLF13	KLF13	0.8011999999999999	95	1
4_MACS_peak_10048_lociStitched	chr16	11762505	11786186	4	19387	52285.2799	4511.2305	96	SNN,TXNDC11		SNN	SNN	1.1519	96	1
5_MACS_peak_4474_lociStitched	chr11	10314571	10345028	5	19299	52632.7417	5305.6094	97	ADM,SBF2		ADM	ADM	2.4086	97	1
1_MACS_peak_23786_lociStitched	chr6	32934768	32941772	1	7005	48675.6988	1814.7364	98	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.0238	98	1
7_MACS_peak_12743_lociStitched	chr18	46439346	46480151	7	35749	53768.7485	7010.299	99	SMAD7		SMAD7	SMAD7	1.0978999999999999	99	1
4_MACS_peak_16890_lociStitched	chr20	32461572	32477528	4	11296	48960.986	2477.9668	100			CHMP4B	CHMP4B	1.2924	100	1
2_MACS_peak_17958_lociStitched	chr22	29185846	29199851	2	12951	49213.57	2730.975	101	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	2.9061999999999997	101	1
3_MACS_peak_2856_lociStitched	chr1	234734119	234749834	3	11451	49370.244	4013.611	102	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	2.9455	102	1
2_MACS_peak_18839_lociStitched	chr3	46245628	46257535	2	11487	47831.6097	2774.331	103	CCR1	CCR3	CCR1	CCR1	2.3192000000000004	103	1
4_MACS_peak_19628_lociStitched	chr3	133178833	133200914	4	16960	49017.6119	4268.2573	104	BFSP2		BFSP2	BFSP2	0.6248	104	1
1_MACS_peak_2516_lociStitched	chr1	209274499	209285254	1	10756	47185.4115	2634.975	105			LOC642587	LOC642587	NONE	105	1
4_MACS_peak_2241_lociStitched	chr1	192497930	192521368	4	18039	49240.8942	4774.3206	106		RGS1	RGS1	RGS1	1.3447	106	1
1_MACS_peak_10484_lociStitched	chr16	56943356	56953187	1	9832	46188.9873	1958.3352	107	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	1.5463	107	1
2_MACS_peak_21770_lociStitched	chr5	6475930	6487725	2	10457	46367.3245	2237.5115	108	UBE2QL1		UBE2QL1	UBE2QL1	0.9541	108	1
1_MACS_peak_4848_lociStitched	chr11	58340157	58348018	1	7862	45789.5389	1664.1737	109	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.7281	109	1
5_MACS_peak_3093_lociStitched	chr10	11278696	11304734	5	20260	48787.4006	4699.859	110	CELF2		CELF2	CELF2	0.4479000000000001	110	1
7_MACS_peak_16150_lociStitched	chr2	204548117	204585712	7	22719	50505.123	6500.1755	111	CD28		CD28	CD28	0.9814	111	1
1_MACS_peak_1024_lociStitched	chr1	66736145	66751640	1	15496	46777.8555	2899.1145	112	PDE4B	PDE4B	PDE4B	PDE4B	0.12580000000000002	112	1
1_MACS_peak_21626_lociStitched	chr4	185301456	185307750	1	6295	45402.3984	1650.2868	113			IRF2	IRF2	1.3247	113	1
2_MACS_peak_5570_lociStitched	chr11	115089774	115102523	2	9910	45693.6909	1988.844	114	CADM1		CADM1	CADM1	0.20579999999999998	114	1
7_MACS_peak_9746_lociStitched	chr15	93346133	93389263	7	16933	49426.98	5891.558	115		ASB9P1,LOC100507217	ASB9P1	LOC100507217	0.5037999999999999	115	1
6_MACS_peak_5942_lociStitched	chr12	7045833	7085599	6	22381	50196.6218	6776.1264	116	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	1.3846	116	1
3_MACS_peak_5764_lociStitched	chr11	128585354	128609979	3	23943	48304.4	4976.7125	117	FLI1		FLI1	FLI1	0.47809999999999997	117	1
1_MACS_peak_20003_lociStitched	chr3	174865664	174871850	1	6187	45084.1866	1782.8052	118	NAALADL2		NAALADL2	NAALADL2	0.0958	118	1
6_MACS_peak_11995_lociStitched	chr17	62150070	62186695	6	25840	49480.375	6229.9125	119	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.6543	119	1
4_MACS_peak_25577_lociStitched	chr7	55616047	55643228	4	24776	47805.9428	4949.6601	120	VOPP1		VOPP1	VOPP1	1.2513999999999998	120	1
2_MACS_peak_26145_lociStitched	chr7	114561536	114574119	2	10619	45462.379	3007.337	121	MDFIC		MDFIC	MDFIC	1.7658	121	1
1_MACS_peak_22345_lociStitched	chr5	88171185	88187009	1	15825	45620.592	3179.0416	122	MEF2C		MEF2C	MEF2C	0.4028999999999999	122	1
2_MACS_peak_5025_lociStitched	chr11	65263331	65278737	2	14808	45626.4096	3444.7816	123	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	2.2685	123	1
3_MACS_peak_317_lociStitched	chr1	23850189	23866831	3	10614	44825.227	2982.2464	124	E2F2	ASAP3,ID3	E2F2	E2F2	1.1736	124	1
4_MACS_peak_17678_lociStitched	chr21	44725328	44747520	4	14034	45917.4672	4145.4656	125			SIK1	SIK1	NONE	125	1
2_MACS_peak_17224_lociStitched	chr20	52194699	52215748	2	20396	45042.7551	3443.6164	126	ZNF217		ZNF217	ZNF217	0.6798	126	1
1_MACS_peak_24413_lociStitched	chr6	106609655	106618234	1	8580	42969.6373	1756.1213	127			PRDM1	PRDM1	2.9951000000000003	127	1
3_MACS_peak_14681_lociStitched	chr2	47526797	47551094	3	15298	45163.2636	4057.599	128		EPCAM	EPCAM	NONE	NONE	128	1
2_MACS_peak_9193_lociStitched	chr15	56648155	56666319	2	11779	43802.486	2860.83	129	TEX9		TEX9	TEX9	0.4225	129	1
2_MACS_peak_12481_lociStitched	chr18	9132830	9157685	2	23804	44659.464	4198.0095	130	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2397	130	1
2_MACS_peak_20209_lociStitched	chr3	186779626	186792502	2	9293	44328.2052	3931.0428	131	ST6GAL1		ST6GAL1	ST6GAL1	0.5459	131	1
1_MACS_peak_7939_lociStitched	chr13	114556507	114568333	1	11827	42708.4164	2632.4676	132	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.7626000000000001	132	1
5_MACS_peak_3394_lociStitched	chr10	45913578	45934050	5	13404	43077.1824	3025.7616	133	ALOX5		ALOX5	ALOX5	0.5244	133	1
3_MACS_peak_9289_lociStitched	chr15	65169183	65189700	3	10920	43202.6469	3249.8928	134		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.05729999999999999	134	1
2_MACS_peak_11557_lociStitched	chr17	38465906	38484503	2	18034	43433.2935	3565.0449	135	RARA	CDC6,RARA,GJD3	RARA	RARA	0.6797000000000001	135	1
2_MACS_peak_20205_lociStitched	chr3	186703109	186719968	2	13463	44342.5418	4494.6094	136	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.5459	136	1
4_MACS_peak_5523_lociStitched	chr11	111230436	111251654	4	16136	43624.208	3938.0608	137	POU2AF1		POU2AF1	POU2AF1	1.0606	137	1
2_MACS_peak_20649_lociStitched	chr4	38307067	38322680	2	13777	41961.4988	2488.7122	138			KLF3	KLF3	NONE	138	1
3_MACS_peak_1816_lociStitched	chr1	156450437	156476148	3	20410	45657.5938	6304.3372	139	MEF2D		MEF2D	MEF2D	0.8000999999999999	139	1
6_MACS_peak_27533_lociStitched	chr8	120918272	120947737	6	19353	44212.2325	4870.5645	140	DEPDC6		DEPDC6	DEPDC6	0.28969999999999996	140	1
4_MACS_peak_8969_lociStitched	chr15	40833449	40862658	4	18431	44406.4427	5070.6824	141	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.9719	141	1
3_MACS_peak_8953_lociStitched	chr15	40386972	40408959	3	15604	43087.9239	3852.1224	142	BMF	BUB1B	BMF	BMF	1.3386999999999998	142	1
1_MACS_peak_11499_lociStitched	chr17	36856073	36863707	1	7635	40446.4588	1484.813	143	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	1.1429	143	1
2_MACS_peak_2748_lociStitched	chr1	226838419	226852593	2	13126	42665.1574	3749.023	144	ITPKB		ITPKB	ITPKB	0.5448	144	1
2_MACS_peak_16116_lociStitched	chr2	202116037	202129014	2	12712	41462.8127	2687.5367	145	CASP8		CASP8	CASP8	0.7632	145	1
5_MACS_peak_13452_lociStitched	chr19	16244131	16273088	5	20748	42720.2621	4983.4997	146	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.0913	146	1
1_MACS_peak_248_lociStitched	chr1	16992069	16994738	1	2670	39204.941	1509.0526	147		MST1P2,CROCCP2	MST1P2	MST1P2	0.8706	147	1
1_MACS_peak_6161_lociStitched	chr12	26265722	26280417	1	14696	40525.871	3013.9445	148	BHLHE41		BHLHE41	BHLHE41	2.0451	148	1
2_MACS_peak_18115_lociStitched	chr22	37610696	37628395	2	14611	40750.1776	3300.8635	149	RAC2	C1QTNF6,SSTR3	SSTR3	SSTR3	0.2501	149	1
2_MACS_peak_251_lociStitched	chr1	17065678	17075470	2	3704	40673.0304	3269.5488	150		ESPNP,MST1P9	MST1P9	NONE	NONE	150	1
1_MACS_peak_26034_lociStitched	chr7	104651617	104657223	1	5607	38594.507	1217.6232	151	MLL5,LOC100216545		LOC100216545	LOC100216545	2.7781	151	1
4_MACS_peak_6361_lociStitched	chr12	48196282	48219001	4	15375	41091.8553	3746.3631	152	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.7717	152	1
5_MACS_peak_20007_lociStitched	chr3	175051771	175074655	5	16257	42225.5568	4958.9628	153	NAALADL2		NAALADL2	NAALADL2	0.0958	153	1
2_MACS_peak_5730_lociStitched	chr11	126056485	126068944	2	7994	39604.6692	2353.5051	154		FAM118B,RPUSD4	RPUSD4	RPUSD4	0.2237	154	1
2_MACS_peak_26925_lociStitched	chr8	29622103	29634721	2	7666	39445.1298	2402.4672	155		C8orf75	C8orf75	C8orf75	0.3914	155	1
3_MACS_peak_8771_lociStitched	chr15	23658666	23682801	3	18196	40532.319	3564.7395	156			MKRN3	MKRN3	NONE	156	1
4_MACS_peak_11053_lociStitched	chr17	6914999	6940196	4	10632	40509.2169	3850.1016	157	RNASEK,C17orf49,BCL6B,SLC16A13,MIR195,MIR497	ALOX12,SLC16A11,CLEC10A	BCL6B	ALOX12	0.9615999999999999	157	1
2_MACS_peak_17960_lociStitched	chr22	29207020	29221442	2	11824	39301.3922	2722.8736	158		CCDC117,XBP1	XBP1	XBP1	2.9061999999999997	158	1
2_MACS_peak_21893_lociStitched	chr5	32570721	32589793	2	13694	39515.2768	3000.0256	159	SUB1		SUB1	SUB1	0.9631000000000001	159	1
2_MACS_peak_20645_lociStitched	chr4	38123670	38136842	2	11608	38732.266	2285.342	160	TBC1D1		PTTG2	PTTG2	NONE	160	1
2_MACS_peak_29407_lociStitched	chrX	48790707	48805036	2	11677	37913.1011	1610.5796	161	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.0496	161	1
