REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
3_MACS_peak_19115_lociStitched	chr3	69128259	69145998	3	15557	30574.9404	3207.2112	151	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	151	1
5_MACS_peak_10176_lociStitched	chr16	22194966	22219233	5	15695	29977.0251	4341.3663	152	EEF2K		EEF2K	152	1
2_MACS_peak_17958_lociStitched	chr22	29185846	29199851	2	12951	49213.57	2730.975	153	XBP1	HSCB,CCDC117,CHEK2	XBP1	153	1
2_MACS_peak_20649_lociStitched	chr4	38307067	38322680	2	13777	41961.4988	2488.7122	155			KLF3	155	1
4_MACS_peak_3073_lociStitched	chr10	7511539	7535977	4	15047	32135.97	3257.5854	156			SFMBT2	156	1
3_MACS_peak_19843_lociStitched	chr3	156804657	156824534	3	14277	41085.759	5581.4616	157	LOC100498859,LOC339894		LOC100498859	157	1
1_MACS_peak_18529_lociStitched	chr3	13049703	13061634	1	11932	52032.2841	2646.2958	158	IQSEC1	IQSEC1	IQSEC1	158	1
4_MACS_peak_253_lociStitched	chr1	17221336	17241677	4	9045	65542.7702	5736.162	159		CROCC	CROCC	159	1
6_MACS_peak_21556_lociStitched	chr4	173896103	173920816	6	15682	23432.8666	3674.8231	160	GALNTL6		GALNT7	160	1
2_MACS_peak_21619_lociStitched	chr4	185200847	185210976	2	10018	58706.6711	2338.7861	161			ENPP6	161	1
2_MACS_peak_14936_lociStitched	chr2	70310224	70323466	2	8789	62641.281	2484.1992	162	PCBP1,LOC400960	LOC100133985	PCBP1	162	1
2_MACS_peak_20205_lociStitched	chr3	186703109	186719968	2	13463	44342.5418	4494.6094	163	ST6GAL1	ST6GAL1	ST6GAL1	163	1
5_MACS_peak_3394_lociStitched	chr10	45913578	45934050	5	13404	43077.1824	3025.7616	164	ALOX5		ALOX5	164	1
2_MACS_peak_8840_lociStitched	chr15	31546272	31560817	2	11342	53317.6065	2746.096	165			KLF13	165	1
5_MACS_peak_10304_lociStitched	chr16	30193834	30223861	5	15307	28552.6743	5855.265	166	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	166	1
5_MACS_peak_22927_lociStitched	chr5	150512932	150538161	5	15473	24605.8437	4235.9491	167	ANXA6		ANXA6	167	1
1_MACS_peak_11698_lociStitched	chr17	43298055	43308735	1	10681	54726.456	2153.088	168	FMNL1	LOC100133991,C17orf46	FMNL1	168	1
2_MACS_peak_21893_lociStitched	chr5	32570721	32589793	2	13694	39515.2768	3000.0256	169	SUB1		SUB1	169	1
2_MACS_peak_20922_lociStitched	chr4	77608745	77625176	2	15350	21922.2402	3010.1592	170	SHROOM3		ANKRD56	170	1
4_MACS_peak_19574_lociStitched	chr3	129026563	129054585	4	14757	30602.8262	4267.7506	171	C3orf47,H1FX	C3orf37	H1FX	171	1
1_MACS_peak_24306_lociStitched	chr6	90057007	90071434	1	14428	32253.0012	2755.557	172	UBE2J1	GABRR2	UBE2J1	172	1
1_MACS_peak_4100_lociStitched	chr10	112214932	112226153	1	11222	51665.9724	2261.0315	173		DUSP5	DUSP5	173	1
6_MACS_peak_23754_lociStitched	chr6	31773745	31804710	6	15059	27147.0155	4951.3035	174	HSPA1A,HSPA1B,C6orf48,SNORD48,LSM2,HSPA1L	C6orf26,SNORD52,C6orf27,VARS,NEU1,SLC44A4	HSPA1A	174	1
5_MACS_peak_11703_lociStitched	chr17	43504975	43531532	5	15070	25871.8294	3959.6487	175	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	175	1
2_MACS_peak_2748_lociStitched	chr1	226838419	226852593	2	13126	42665.1574	3749.023	177	ITPKB		ITPKB	177	1
1_MACS_peak_11361_lociStitched	chr17	29635090	29649445	1	14356	31497.741	2530.7865	178	NF1,EVI2B,EVI2A	OMG	EVI2B	178	1
4_MACS_peak_24913_lociStitched	chr6	157976439	157999841	4	14732	26996.5472	1947.0464	179	ZDHHC14	MIR3692	MIR3692	179	1
1_MACS_peak_25576_lociStitched	chr7	55597317	55605495	1	8179	61042.2276	1747.6386	180	VOPP1		VOPP1	180	1
4_MACS_peak_5179_lociStitched	chr11	71412145	71427045	4	13729	36510.96	2950.2	181			FAM86C	181	1
3_MACS_peak_6092_lociStitched	chr12	15101004	15116240	3	14975	23010.9308	3024.346	182	ARHGDIB	PDE6H,ERP27	ARHGDIB	182	1
4_MACS_peak_23416_lociStitched	chr6	11713784	11735971	4	14014	33728.6774	3239.302	183	C6orf105		C6orf105	183	1
5_MACS_peak_20869_lociStitched	chr4	74453968	74475132	5	14090	32660.2848	3320.6316	184	RASSF6		RASSF6	184	1
5_MACS_peak_27777_lociStitched	chr8	145002137	145027954	5	14603	26712.8499	3193.5629	185	PLEC,MIR661	GRINA,PARP10	PLEC	185	1
4_MACS_peak_14301_lociStitched	chr2	13680616	13702546	4	14554	27359.868	3280.728	186			MIR3125	186	1
4_MACS_peak_17032_lociStitched	chr20	40709725	40727312	4	13374	36948.5283	2571.2194	187	PTPRT		CHD6	187	1
4_MACS_peak_16890_lociStitched	chr20	32461572	32477528	4	11296	48960.986	2477.9668	188			CHMP4B	188	1
2_MACS_peak_16116_lociStitched	chr2	202116037	202129014	2	12712	41462.8127	2687.5367	189	CASP8		CASP8	189	1
4_MACS_peak_5332_lociStitched	chr11	82763881	82790315	4	13770	35545.7998	4612.733	190	RAB30	SNORA70E	RAB30	190	1
5_MACS_peak_6027_lociStitched	chr12	11901632	11920371	5	14272	29350.8957	3219.3602	191	ETV6		ETV6	191	1
