REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
7_MACS_peak_16150_lociStitched	chr2	204548117	204585712	7	22719	50505.123	6500.1755
6_MACS_peak_11995_lociStitched	chr17	62150070	62186695	6	25840	49480.375	6229.9125
9_MACS_peak_10735_lociStitched	chr16	78768609	78804938	9	21756	22516.714200000002	3523.913
5_MACS_peak_4112_lociStitched	chr10	112597069	112633197	5	23725	63252.9024	6015.312
7_MACS_peak_10572_lociStitched	chr16	67184027	67218842	7	14152	26212.2135	4922.841
5_MACS_peak_13107_lociStitched	chr19	2594364	2629109	5	22128	110725.366	7730.7625
4_MACS_peak_10053_lociStitched	chr16	11808454	11843185	4	26427	65704.10579999999	6345.3537
3_MACS_peak_23374_lociStitched	chr6	7886838	7921261	3	32721	136359.8299	7056.714999999999
6_MACS_peak_18863_lociStitched	chr3	46574118	46608414	6	18106	60628.4688	5288.4432
5_MACS_peak_2145_lociStitched	chr1	181095442	181129585	5	18357	36116.4654	7398.7881
5_MACS_peak_18458_lociStitched	chr3	5222463	5256329	5	22033	38265.1934	5614.9828
5_MACS_peak_23137_lociStitched	chr5	173310137	173343972	5	24020	35025.992	5613.2265
5_MACS_peak_26516_lociStitched	chr7	150100840	150134155	5	17272	70654.452	7059.4485
4_MACS_peak_4223_lociStitched	chr10	125821843	125854784	4	26849	72160.5546	6120.4378
6_MACS_peak_13369_lociStitched	chr19	12885665	12918416	6	13663	23092.730099999997	4634.2665
5_MACS_peak_20121_lociStitched	chr3	183228277	183260906	5	25349	66396.7521	8571.6383
4_MACS_peak_21627_lociStitched	chr4	185317560	185350078	4	20818	57150.385	5511.801
3_MACS_peak_11164_lociStitched	chr17	16863364	16895583	3	23374	106986.41140000001	6356.8087000000005
3_MACS_peak_8701_lociStitched	chr14	106024588	106056510	3	30296	155757.0146	5024.522800000001
4_MACS_peak_26512_lociStitched	chr7	150053120	150084853	4	24535	101050.5652	7225.6041000000005
4_MACS_peak_1603_lociStitched	chr1	149802918	149834086	4	15909	66403.424	7707.846399999999
6_MACS_peak_9804_lociStitched	chr15	101661413	101692415	6	17984	34511.4264	4644.0996
6_MACS_peak_23754_lociStitched	chr6	31773745	31804710	6	15059	27147.0155	4951.3035
4_MACS_peak_9346_lociStitched	chr15	68568582	68599491	4	26459	54075.2955	5548.1655
4_MACS_peak_26865_lociStitched	chr8	27208654	27239415	4	18915	35492.0418	5647.7196
4_MACS_peak_12475_lociStitched	chr18	9054294	9085040	4	22226	94230.3408	5445.1166
8_MACS_peak_27597_lociStitched	chr8	126285365	126315963	8	19016	29750.435400000002	5112.9258
5_MACS_peak_4474_lociStitched	chr11	10314571	10345028	5	19299	52632.7417	5305.609399999999
4_MACS_peak_11445_lociStitched	chr17	34509815	34540220	4	26026	67222.4145	6728.6265
6_MACS_peak_9662_lociStitched	chr15	89646665	89676910	6	18613	54374.461	5190.042
5_MACS_peak_15188_lociStitched	chr2	97190297	97220458	5	17555	63570.3397	5085.1446
5_MACS_peak_10304_lociStitched	chr16	30193834	30223861	5	15307	28552.6743	5855.265
4_MACS_peak_17870_lociStitched	chr22	23217705	23247429	4	25521	117353.3244	4283.2284
4_MACS_peak_8707_lociStitched	chr14	106143826	106173455	4	27614	106990.319	3522.8881
4_MACS_peak_26001_lociStitched	chr7	102063696	102093231	4	22488	102657.753	5068.206
5_MACS_peak_18842_lociStitched	chr3	46317808	46347316	5	21801	34323.7056	5281.932
6_MACS_peak_27533_lociStitched	chr8	120918272	120947737	6	19353	44212.2325	4870.5645
3_MACS_peak_22663_lociStitched	chr5	131744956	131774347	3	21330	59807.745899999994	5172.816
7_MACS_peak_14904_lociStitched	chr2	68936359	68965675	7	14221	27152.4792	4529.322
4_MACS_peak_8969_lociStitched	chr15	40833449	40862658	4	18431	44406.4427	5070.6824
5_MACS_peak_13452_lociStitched	chr19	16244131	16273088	5	20748	42720.2621	4983.4997
7_MACS_peak_6490_lociStitched	chr12	53845922	53874674	7	24661	25250.0064	5244.3648
4_MACS_peak_17707_lociStitched	chr21	45552590	45581226	4	18675	77655.1048	6729.46
3_MACS_peak_14345_lociStitched	chr2	20397820	20426304	3	20986	61810.28	4591.620800000001
2_MACS_peak_12479_lociStitched	chr18	9094887	9123273	2	23122	67209.5322	5027.1606
5_MACS_peak_18851_lociStitched	chr3	46421191	46449424	5	15543	17913.838499999998	3890.5074
6_MACS_peak_8946_lociStitched	chr15	40330234	40358322	6	14063	26231.3832	3991.3048000000003
4_MACS_peak_19574_lociStitched	chr3	129026563	129054585	4	14757	30602.826200000003	4267.750599999999
3_MACS_peak_1747_lociStitched	chr1	154907819	154935560	3	20205	104847.1095	8133.6612000000005
5_MACS_peak_23394_lociStitched	chr6	10403364	10430964	5	10136	22665.120000000003	3066.36
7_MACS_peak_4974_lociStitched	chr11	63992827	64020261	7	13916	24674.1396	4205.6322
5_MACS_peak_9058_lociStitched	chr15	45001882	45029234	5	13415	28380.435200000004	4606.0768
5_MACS_peak_5091_lociStitched	chr11	66861787	66889047	5	9714	13471.892	3412.952
3_MACS_peak_16415_lociStitched	chr2	232687328	232714548	3	25818	26896.082	3492.326
4_MACS_peak_25577_lociStitched	chr7	55616047	55643228	4	24776	47805.9428	4949.6601
2_MACS_peak_4622_lociStitched	chr11	22676619	22703786	2	22737	87015.901	4528.738899999999
5_MACS_peak_4241_lociStitched	chr10	126407220	126433894	5	12981	17682.194600000003	3560.9790000000003
4_MACS_peak_17559_lociStitched	chr21	36236218	36262852	4	13275	38536.7346	5715.656400000001
5_MACS_peak_11703_lociStitched	chr17	43504975	43531532	5	15070	25871.8294	3959.6487
5_MACS_peak_8732_lociStitched	chr15	20969632	20996151	5	10151	19419.863699999998	3598.6283
4_MACS_peak_5332_lociStitched	chr11	82763881	82790315	4	13770	35545.7998	4612.732999999999
4_MACS_peak_21684_lociStitched	chr4	187749089	187775407	4	11409	27731.2766	3321.3316
5_MACS_peak_8742_lociStitched	chr15	21976162	22002476	5	13301	18182.974	3939.2058
3_MACS_peak_11910_lociStitched	chr17	56404788	56431099	3	19391	82185.0396	5288.511
4_MACS_peak_21775_lociStitched	chr5	6711578	6737872	4	9452	15573.936200000002	3731.1186
5_MACS_peak_28932_lociStitched	chr9	134127110	134153357	5	13728	28525.2396	3918.6771
5_MACS_peak_14822_lociStitched	chr2	64430348	64456514	5	16955	36056.748	4474.386
6_MACS_peak_13288_lociStitched	chr19	10513567	10539655	6	12687	15201.4776	4043.64
5_MACS_peak_3093_lociStitched	chr10	11278696	11304734	5	20260	48787.4006	4699.8589999999995
6_MACS_peak_14938_lociStitched	chr2	70334941	70360787	6	12202	37680.8834	3900.1614
5_MACS_peak_27777_lociStitched	chr8	145002137	145027954	5	14603	26712.849899999997	3193.5629
3_MACS_peak_1816_lociStitched	chr1	156450437	156476148	3	20410	45657.5938	6304.3372
1_MACS_peak_24410_lociStitched	chr6	106531130	106556651	1	25522	104832.61170000001	5068.4706
5_MACS_peak_12276_lociStitched	chr17	76754366	76779779	5	15989	26942.8626	3656.9307
4_MACS_peak_11086_lociStitched	chr17	7736841	7762210	4	12512	19214.4806	3358.8556
2_MACS_peak_19975_lociStitched	chr3	171801878	171827189	2	21602	56608.0515	6016.4247
5_MACS_peak_13056_lociStitched	chr19	1647575	1672863	5	12348	32629.1064	4427.928800000001
5_MACS_peak_22927_lociStitched	chr5	150512932	150538161	5	15473	24605.843699999998	4235.9491
5_MACS_peak_12174_lociStitched	chr17	73850654	73875852	5	12112	33745.1616	3930.888
4_MACS_peak_11053_lociStitched	chr17	6914999	6940196	4	10632	40509.2169	3850.1016
2_MACS_peak_21047_lociStitched	chr4	90205018	90230204	2	24302	117056.9722	5319.2832
5_MACS_peak_4088_lociStitched	chr10	112103850	112128980	5	15046	84793.64600000001	4420.367
4_MACS_peak_13098_lociStitched	chr19	2455446	2480350	4	12437	25875.255999999998	4876.2032
6_MACS_peak_25403_lociStitched	chr7	38383690	38408547	6	16454	28061.0673	5224.9414
2_MACS_peak_12481_lociStitched	chr18	9132830	9157685	2	23804	44659.464	4198.0095
5_MACS_peak_16961_lociStitched	chr20	35447902	35472685	5	7389	9236.624099999999	3514.2294
6_MACS_peak_21556_lociStitched	chr4	173896103	173920816	6	15682	23432.8666	3674.8231
4_MACS_peak_16038_lociStitched	chr2	197023849	197048510	4	18600	28710.336199999998	4192.37
3_MACS_peak_5764_lociStitched	chr11	128585354	128609979	3	23943	48304.4	4976.7125
4_MACS_peak_17000_lociStitched	chr20	37486724	37511328	4	12275	66425.87920000001	3700.4416
3_MACS_peak_23567_lociStitched	chr6	25365924	25390507	3	18721	37727.530099999996	4274.9837
6_MACS_peak_5275_lociStitched	chr11	77147013	77171473	6	9534	12736.322000000002	3815.76
4_MACS_peak_3073_lociStitched	chr10	7511539	7535977	4	15047	32135.969999999998	3257.5854
3_MACS_peak_14681_lociStitched	chr2	47526797	47551094	3	15298	45163.2636	4057.599
5_MACS_peak_10176_lociStitched	chr16	22194966	22219233	5	15695	29977.025100000003	4341.3663
3_MACS_peak_8771_lociStitched	chr15	23658666	23682801	3	18196	40532.319	3564.7395
4_MACS_peak_7469_lociStitched	chr13	30982665	31006511	4	5944	4747.7386	1247.1458
4_MACS_peak_11439_lociStitched	chr17	34408917	34432734	4	19691	38188.1778	4325.1672
5_MACS_peak_23808_lociStitched	chr6	33537769	33561578	5	10963	22163.7981	3257.0712000000003
6_MACS_peak_4032_lociStitched	chr10	105244578	105268331	6	17060	24919.272299999997	3933.4968
4_MACS_peak_10048_lociStitched	chr16	11762505	11786186	4	19387	52285.2799	4511.2305
5_MACS_peak_6942_lociStitched	chr12	96878445	96902080	5	11528	21228.957	3157.636
5_MACS_peak_711_lociStitched	chr1	42126944	42150564	5	9357	12072.182	3261.922
5_MACS_peak_12127_lociStitched	chr17	72733239	72756808	5	18443	23076.4079	3763.9693
4_MACS_peak_23587_lociStitched	chr6	26183645	26207201	4	13380	30542.7096	4218.8796
5_MACS_peak_4318_lociStitched	chr11	554156	577692	5	7286	13728.5488	2490.1088
4_MACS_peak_19250_lociStitched	chr3	98472532	98496032	4	16732	37313.3	3788.2000000000003
4_MACS_peak_2241_lociStitched	chr1	192497930	192521368	4	18039	49240.8942	4774.3206
4_MACS_peak_24913_lociStitched	chr6	157976439	157999841	4	14732	26996.547199999997	1947.0464
5_MACS_peak_10679_lociStitched	chr16	70827025	70850397	5	9473	11751.4416	3386.6028
5_MACS_peak_10272_lociStitched	chr16	29464432	29487729	5	10632	15005.5977	4575.5307999999995
3_MACS_peak_26620_lociStitched	chr8	2027712	2051009	3	17131	67892.1174	3995.4355000000005
4_MACS_peak_23182_lociStitched	chr5	176717494	176740748	4	13128	33483.4346	3850.8624
2_MACS_peak_13751_lociStitched	chr19	39880916	39904073	2	18091	53286.5727	3881.1132
4_MACS_peak_18209_lociStitched	chr22	39823148	39846165	4	13772	53818.3494	3984.2427000000002
4_MACS_peak_4992_lociStitched	chr11	64611215	64634142	4	9124	17607.936	3237.2924
5_MACS_peak_20007_lociStitched	chr3	175051771	175074655	5	16257	42225.5568	4958.9628
4_MACS_peak_6361_lociStitched	chr12	48196282	48219001	4	15375	41091.8553	3746.3630999999996
5_MACS_peak_1767_lociStitched	chr1	155210227	155232853	5	8379	15872.139000000001	5262.8076
5_MACS_peak_6261_lociStitched	chr12	33037854	33060474	5	10910	14680.380000000001	3501.576
3_MACS_peak_1888_lociStitched	chr1	160633521	160656127	3	12272	37152.960999999996	5466.1308
4_MACS_peak_21657_lociStitched	chr4	186252630	186275224	4	10711	17431.271	3230.9419999999996
3_MACS_peak_8482_lociStitched	chr14	81930666	81953222	3	15872	28984.46	2275.9004
2_MACS_peak_12272_lociStitched	chr17	76711249	76733706	2	18565	38731.5879	4556.5253
4_MACS_peak_11315_lociStitched	chr17	27464708	27487089	4	8420	14634.9359	3549.6265999999996
4_MACS_peak_14858_lociStitched	chr2	65156420	65178753	4	16759	62979.06	4629.6309
4_MACS_peak_10191_lociStitched	chr16	23343229	23365498	4	13661	65272.66589999999	3939.3861
4_MACS_peak_14123_lociStitched	chr19	56145530	56167785	4	10627	22773.541500000003	3024.4545
4_MACS_peak_13981_lociStitched	chr19	48880216	48902453	4	10363	27193.627300000004	3124.2985000000003
3_MACS_peak_5217_lociStitched	chr11	72979558	73001784	3	11259	29525.0184	3465.0334000000003
4_MACS_peak_17678_lociStitched	chr21	44725328	44747520	4	14034	45917.46720000001	4145.4655999999995
4_MACS_peak_23416_lociStitched	chr6	11713784	11735971	4	14014	33728.6774	3239.3019999999997
6_MACS_peak_9052_lociStitched	chr15	44954409	44976587	6	9601	16389.542	3293.433
4_MACS_peak_4331_lociStitched	chr11	788901	811052	4	9879	18427.4169	2733.4334
4_MACS_peak_19628_lociStitched	chr3	133178833	133200914	4	16960	49017.611899999996	4268.2573
3_MACS_peak_17897_lociStitched	chr22	24178852	24200867	3	15562	72708.9405	3405.7205
4_MACS_peak_16640_lociStitched	chr20	5570502	5592514	4	17469	22837.45	3640.7848
4_MACS_peak_17091_lociStitched	chr20	43976140	43998152	4	6043	10347.8412	3160.9232
5_MACS_peak_25978_lociStitched	chr7	101376429	101398441	5	9082	9788.7364	2471.9476
3_MACS_peak_8953_lociStitched	chr15	40386972	40408959	3	15604	43087.9239	3852.1223999999997
5_MACS_peak_22337_lociStitched	chr5	87954719	87976678	5	10343	34945.552599999995	3243.3442999999997
4_MACS_peak_27810_lociStitched	chr8	145732787	145754727	4	8351	16849.920000000002	2902.662
4_MACS_peak_14301_lociStitched	chr2	13680616	13702546	4	14554	27359.868000000002	3280.728
3_MACS_peak_341_lociStitched	chr1	24511971	24533891	3	17106	56444.00000000001	4061.776
4_MACS_peak_22350_lociStitched	chr5	88595642	88617501	4	12143	39381.1744	3541.158
4_MACS_peak_7181_lociStitched	chr12	117536064	117557922	4	6180	5582.533200000001	1521.3167999999998
6_MACS_peak_10284_lociStitched	chr16	29815641	29837463	6	13117	30413.321399999997	3295.122
4_MACS_peak_13079_lociStitched	chr19	2040986	2062756	4	9579	24785.145	4515.098
4_MACS_peak_9849_lociStitched	chr16	770004	791767	4	6983	9575.72	2435.2797
4_MACS_peak_2415_lociStitched	chr1	205196279	205217908	4	11352	21062.3202	4994.1361
4_MACS_peak_23626_lociStitched	chr6	27094383	27115989	4	11276	27519.5622	3234.4182
2_MACS_peak_1804_lociStitched	chr1	156115168	156136713	2	19461	78768.52	5735.2789999999995
3_MACS_peak_17082_lociStitched	chr20	43587395	43608938	3	12432	23921.3472	3638.6126999999997
5_MACS_peak_12497_lociStitched	chr18	10608908	10630350	5	5885	5662.8322	2375.7736
5_MACS_peak_11604_lociStitched	chr17	40329941	40351378	5	8253	10409.8072	3104.0776
3_MACS_peak_14394_lociStitched	chr2	25624148	25645573	3	9401	20857.2375	3475.135
4_MACS_peak_14874_lociStitched	chr2	65601155	65622554	4	10032	13958.5677	3124.254
3_MACS_peak_28635_lociStitched	chr9	112904151	112925532	3	20165	33236.7645	4032.4566
4_MACS_peak_17244_lociStitched	chr20	52545705	52566990	4	13218	20103.6825	3390.7005
5_MACS_peak_5650_lociStitched	chr11	120195463	120216701	5	10212	13779.2144	3415.0704
4_MACS_peak_5523_lociStitched	chr11	111230436	111251654	4	16136	43624.208	3938.0607999999997
3_MACS_peak_3384_lociStitched	chr10	45454016	45475202	3	13093	22904.1846	3160.9512
5_MACS_peak_26121_lociStitched	chr7	111711583	111732751	5	10972	17630.8272	4606.1568
5_MACS_peak_20869_lociStitched	chr4	74453968	74475132	5	14090	32660.284799999998	3320.6316
3_MACS_peak_23233_lociStitched	chr5	180228543	180249684	3	15127	36565.4736	3443.8689
2_MACS_peak_1630_lociStitched	chr1	150532193	150553305	2	16361	63236.7736	6052.8104
2_MACS_peak_17224_lociStitched	chr20	52194699	52215748	2	20396	45042.755099999995	3443.6164
4_MACS_peak_24694_lociStitched	chr6	135323017	135344031	4	11045	18645.7222	3017.6104
1_MACS_peak_3090_lociStitched	chr10	11202615	11223608	1	20994	102563.4008	4868.2767
4_MACS_peak_2548_lociStitched	chr1	210850496	210871454	4	8461	10261.0368	4420.0422
4_MACS_peak_9435_lociStitched	chr15	75063079	75083986	4	18522	37298.088	3936.7880999999998
4_MACS_peak_20533_lociStitched	chr4	15766958	15787845	4	8145	10637.749099999999	3377.4279
5_MACS_peak_2475_lociStitched	chr1	206986922	207007747	5	9707	11307.975	4146.2575
3_MACS_peak_1892_lociStitched	chr1	160694671	160715484	3	12385	36443.562999999995	5111.6728
4_MACS_peak_9650_lociStitched	chr15	89163691	89184438	4	13802	29093.5181	3649.3973
3_MACS_peak_1798_lociStitched	chr1	156065382	156086109	3	8640	16392.9843	4170.2724
4_MACS_peak_18656_lociStitched	chr3	30682879	30703576	4	14157	14206.4208	3075.5742
3_MACS_peak_14843_lociStitched	chr2	64862792	64883410	3	11665	24500.3694	3533.9252
3_MACS_peak_9289_lociStitched	chr15	65169183	65189700	3	10920	43202.6469	3249.8928
5_MACS_peak_3394_lociStitched	chr10	45913578	45934050	5	13404	43077.1824	3025.7616
4_MACS_peak_2180_lociStitched	chr1	183865314	183885722	4	11296	30089.5552	4277.5168
4_MACS_peak_3363_lociStitched	chr10	43931469	43951858	4	6850	13821.703099999999	2526.1971
2_MACS_peak_17868_lociStitched	chr22	23189769	23210156	2	16012	31069.788	2432.1691
4_MACS_peak_253_lociStitched	chr1	17221336	17241677	4	9045	65542.7702	5736.161999999999
2_MACS_peak_1726_lociStitched	chr1	154374337	154394662	2	17021	59649.810000000005	5361.735
5_MACS_peak_18407_lociStitched	chr22	50962873	50983173	5	10562	21235.83	2661.33
4_MACS_peak_16107_lociStitched	chr2	202040111	202060352	4	11628	16113.8601	3388.3433999999997
4_MACS_peak_11619_lociStitched	chr17	40700046	40720245	4	6751	12590.036699999999	2930.8749000000003
4_MACS_peak_17054_lociStitched	chr20	42565312	42585505	4	13217	24556.7073	3257.1309
1_MACS_peak_17874_lociStitched	chr22	23265984	23286150	1	20167	151626.1374	3855.7392
2_MACS_peak_17624_lociStitched	chr21	41324289	41344453	2	16805	61248.15	6131.872399999999
4_MACS_peak_23028_lociStitched	chr5	158757958	158778117	4	7471	12095.4	2753.7194
4_MACS_peak_3751_lociStitched	chr10	81946292	81966445	4	13868	30499.5502	3399.8111
6_MACS_peak_29557_lociStitched	chrX	70837354	70857502	6	8473	10525.3152	1545.3516000000002
5_MACS_peak_8016_lociStitched	chr14	23279789	23299933	5	6608	7507.6687999999995	1510.8
5_MACS_peak_16407_lociStitched	chr2	232526272	232546350	5	7558	10111.2808	1652.4194
5_MACS_peak_8454_lociStitched	chr14	77487769	77507845	5	13653	25639.059599999997	1567.9356
4_MACS_peak_5910_lociStitched	chr12	6551937	6571985	4	9296	28686.6832	3265.8192
4_MACS_peak_12431_lociStitched	chr18	3585567	3605601	4	8451	8081.7155999999995	2492.2296
4_MACS_peak_16288_lociStitched	chr2	219743183	219763215	4	14055	26832.863999999998	3573.7088
5_MACS_peak_422_lociStitched	chr1	27147142	27167135	5	9330	13417.302300000001	3000.9493
4_MACS_peak_6865_lociStitched	chr12	92931027	92950998	4	12584	18860.6124	3027.6036000000004
4_MACS_peak_15058_lociStitched	chr2	85150962	85170898	4	9466	13026.1824	2902.6816000000003
1_MACS_peak_22344_lociStitched	chr5	88110661	88130586	1	19926	37678.175	4070.6775000000002
3_MACS_peak_19843_lociStitched	chr3	156804657	156824534	3	14277	41085.759000000005	5581.4616
4_MACS_peak_25307_lociStitched	chr7	29706320	29726184	4	9092	14083.576	2484.9864
5_MACS_peak_5028_lociStitched	chr11	65306917	65326738	5	7631	9042.3402	2632.2288
4_MACS_peak_5901_lociStitched	chr12	6432237	6452043	4	7964	16678.6326	3004.5702
4_MACS_peak_13951_lociStitched	chr19	47728640	47748384	4	12190	25459.888000000003	2843.136
4_MACS_peak_25700_lociStitched	chr7	74057122	74076864	4	10790	21275.953400000002	2740.1896
2_MACS_peak_9557_lociStitched	chr15	81576228	81595949	2	13308	33170.722	3699.6596
4_MACS_peak_16246_lociStitched	chr2	216764767	216784475	4	9151	11393.1948	2857.66
3_MACS_peak_11251_lociStitched	chr17	20204883	20224576	3	12293	20342.869	2760.9586
4_MACS_peak_23803_lociStitched	chr6	33377098	33396768	4	8869	13021.54	2641.681
3_MACS_peak_12106_lociStitched	chr17	70582418	70602044	3	14293	27284.0652	3151.9356
3_MACS_peak_3733_lociStitched	chr10	81001140	81020584	3	16639	34487.8228	2926.322
5_MACS_peak_689_lociStitched	chr1	40839056	40858461	5	12096	18533.7155	3386.1724999999997
1_MACS_peak_498_lociStitched	chr1	31214210	31233610	1	19401	60958.68	3876.12
3_MACS_peak_1509_lociStitched	chr1	145126649	145145978	3	10741	22808.219999999998	6498.4098
2_MACS_peak_23263_lociStitched	chr6	381438	400757	2	12884	18412.938899999997	3046.6063
4_MACS_peak_7079_lociStitched	chr12	109161772	109181054	4	11085	24127.566600000002	3081.2635999999998
6_MACS_peak_1227_lociStitched	chr1	93409171	93428448	6	12360	14744.9773	1669.3881999999999
3_MACS_peak_28410_lociStitched	chr9	93671022	93690239	3	11936	29767.132999999998	3278.4202
3_MACS_peak_22669_lociStitched	chr5	131823096	131842312	3	12728	25353.590399999997	3378.1728000000003
4_MACS_peak_15008_lociStitched	chr2	74681522	74700688	4	7703	13904.933	2928.5647999999997
4_MACS_peak_17120_lociStitched	chr20	45172393	45191555	4	10824	15434.991	2755.4956
3_MACS_peak_15675_lociStitched	chr2	157188637	157207781	3	7604	19657.0592	2530.8368
4_MACS_peak_17656_lociStitched	chr21	43638711	43657808	4	11375	25041.896099999998	4220.437
4_MACS_peak_10433_lociStitched	chr16	50297848	50316922	4	8248	15329.773799999999	2645.5638
2_MACS_peak_21893_lociStitched	chr5	32570721	32589793	2	13694	39515.2768	3000.0256
3_MACS_peak_25201_lociStitched	chr7	20471577	20490632	3	11484	24607.627	2656.267
3_MACS_peak_5208_lociStitched	chr11	72850932	72869979	3	16928	78370.7862	3630.3581999999997
3_MACS_peak_23888_lociStitched	chr6	37121765	37140802	3	10052	25126.9363	2975.4831
4_MACS_peak_1058_lociStitched	chr1	68213651	68232687	4	7654	14128.519199999999	2931.544
5_MACS_peak_2401_lociStitched	chr1	204474906	204493936	5	12992	40400.69	4531.043
3_MACS_peak_3068_lociStitched	chr10	6953768	6972785	3	9278	29139.7491	3025.6047
4_MACS_peak_11187_lociStitched	chr17	17725738	17744746	4	7467	14229.3888	2366.496
5_MACS_peak_11545_lociStitched	chr17	38251525	38270465	5	11722	16919.102	3503.9
4_MACS_peak_5221_lociStitched	chr11	73069957	73088894	4	6653	9619.996000000001	2613.306
5_MACS_peak_29794_lociStitched	chrX	128902351	128921281	5	12621	22589.169	2002.794
4_MACS_peak_10442_lociStitched	chr16	50714071	50732816	4	11958	17828.3695	3182.9010000000003
5_MACS_peak_6027_lociStitched	chr12	11901632	11920371	5	14272	29350.8957	3219.3602
4_MACS_peak_13039_lociStitched	chr19	1258501	1277226	4	10189	24793.772500000003	4394.7575
3_MACS_peak_13279_lociStitched	chr19	10329342	10348035	3	9616	23841.052200000002	2693.6613
4_MACS_peak_11011_lociStitched	chr17	4692516	4711197	4	6950	9661.8132	2484.5730000000003
4_MACS_peak_27364_lociStitched	chr8	95987361	96005960	4	10735	9935.5858	1519.5383
2_MACS_peak_11557_lociStitched	chr17	38465906	38484503	2	18034	43433.2935	3565.0449000000003
4_MACS_peak_18216_lociStitched	chr22	39910844	39929416	4	8894	20405.0564	3069.9516
3_MACS_peak_1912_lociStitched	chr1	161144899	161163454	3	11659	37238.0295	4378.98
4_MACS_peak_20756_lociStitched	chr4	54553544	54572094	4	6863	10146.85	2478.2799999999997
3_MACS_peak_6694_lociStitched	chr12	68752091	68770604	3	10313	28663.6779	3156.4665000000005
3_MACS_peak_25385_lociStitched	chr7	37375187	37393658	3	8765	15288.4467	3169.6236
3_MACS_peak_25475_lociStitched	chr7	44661749	44680203	3	14157	28247.5378	3277.4304
4_MACS_peak_19098_lociStitched	chr3	66533268	66551705	4	9487	10186.4425	2844.8291
3_MACS_peak_20427_lociStitched	chr4	6168625	6187053	3	9775	11119.4552	2843.4404
4_MACS_peak_27150_lociStitched	chr8	61811797	61830200	4	10162	13434.19	2673.9559000000004
5_MACS_peak_16111_lociStitched	chr2	202083712	202102096	5	12654	20161.7328	3082.9968
3_MACS_peak_22022_lociStitched	chr5	54031698	54050037	3	6974	12435.6759	2530.782
3_MACS_peak_17336_lociStitched	chr20	61272854	61291151	3	11332	23193.2772	2451.7980000000002
1_MACS_peak_20676_lociStitched	chr4	40191051	40209314	1	18264	69152.8495	3721.9994
3_MACS_peak_4096_lociStitched	chr10	112168372	112186622	3	16632	33844.625	3126.2250000000004
3_MACS_peak_9457_lociStitched	chr15	75352742	75370977	3	11691	31355.0825	2738.897
5_MACS_peak_13063_lociStitched	chr19	1847417	1865652	5	9499	23577.855	3229.4185
3_MACS_peak_17136_lociStitched	chr20	46114264	46132490	3	8373	14458.6858	2921.6277999999998
3_MACS_peak_23779_lociStitched	chr6	32805107	32823312	3	7839	18268.717500000002	3273.2589999999996
