REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
4_MACS_peak_8707_lociStitched	chr14	106143826	106173455	4	27614	106990.319	3522.8881	13			TMEM121	13	1
5_MACS_peak_13107_lociStitched	chr19	2594364	2629109	5	22128	110725.366	7730.7625	14	GNG7		GNG7	14	1
9_MACS_peak_8534_lociStitched	chr14	91813045	91885879	9	52364	109527.7692	7414.5012	15	CCDC88C		CCDC88C	15	1
3_MACS_peak_16840_lociStitched	chr20	30271747	30312318	3	36847	110259.8067	8244.0272	16	BCL2L1	COX4I2,TPX2	BCL2L1	16	1
3_MACS_peak_11164_lociStitched	chr17	16863364	16895583	3	23374	106986.4114	6356.8087	17	TNFRSF13B		TNFRSF13B	17	1
1_MACS_peak_24410_lociStitched	chr6	106531130	106556651	1	25522	104832.6117	5068.4706	18	PRDM1		PRDM1	18	1
1_MACS_peak_3090_lociStitched	chr10	11202615	11223608	1	20994	102563.4008	4868.2767	19	CELF2		CELF2	19	1
4_MACS_peak_26001_lociStitched	chr7	102063696	102093231	4	22488	102657.753	5068.206	20	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	20	1
3_MACS_peak_1747_lociStitched	chr1	154907819	154935560	3	20205	104847.1095	8133.6612	21	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	21	1
4_MACS_peak_26512_lociStitched	chr7	150053120	150084853	4	24535	101050.5652	7225.6041	22	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	22	1
5_MACS_peak_11398_lociStitched	chr17	32688414	32726806	5	34857	98337.2688	7309.8368	23	CCL1	CCL8,CCL13	CCL1	23	1
4_MACS_peak_12475_lociStitched	chr18	9054294	9085040	4	22226	94230.3408	5445.1166	24		NDUFV2	NDUFV2	24	1
1_MACS_peak_6475_lociStitched	chr12	53587985	53604091	1	16107	92003.9144	3918.5898	25	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	25	1
5_MACS_peak_2447_lociStitched	chr1	206271698	206311966	5	26340	95515.696	9346.2028	26	C1orf186	AVPR1B,CTSE	C1orf186	26	1
1_MACS_peak_16105_lociStitched	chr2	201979788	201995039	1	15252	88326.1665	3501.6296	27	CFLAR	NDUFB3,FAM126B	CFLAR	27	1
6_MACS_peak_24444_lociStitched	chr6	108878301	108952013	6	61872	95250.6464	10931.4896	28	FOXO3		FOXO3	28	1
2_MACS_peak_6054_lociStitched	chr12	12866145	12881739	2	15447	86527.9872	2877.093	29	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	29	1
2_MACS_peak_4622_lociStitched	chr11	22676619	22703786	2	22737	87015.901	4528.7389	30	GAS2	FANCF	GAS2	30	1
2_MACS_peak_13083_lociStitched	chr19	2081521	2098400	2	15091	85871.9125	4771.6933	31	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	31	1
5_MACS_peak_4088_lociStitched	chr10	112103850	112128980	5	15046	84793.646	4420.367	32		SMNDC1	SMNDC1	32	1
6_MACS_peak_16884_lociStitched	chr20	32398673	32452633	6	36661	88586.132	9130.032	33	CHMP4B		CHMP4B	33	1
1_MACS_peak_23570_lociStitched	chr6	25402810	25415926	1	13117	80332.8768	2833.056	34	LRRC16A		LRRC16A	34	1
3_MACS_peak_11910_lociStitched	chr17	56404788	56431099	3	19391	82185.0396	5288.511	35	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	35	1
5_MACS_peak_16816_lociStitched	chr20	25261675	25301552	5	21420	81341.1046	6288.6029	36	PYGB,ABHD12		PYGB	36	1
2_MACS_peak_7073_lociStitched	chr12	109020364	109035887	2	13644	78231.2631	3213.261	37	SELPLG	TMEM119	SELPLG	37	1
3_MACS_peak_5208_lociStitched	chr11	72850932	72869979	3	16928	78370.7862	3630.3582	38	FCHSD2		FCHSD2	38	1
2_MACS_peak_1804_lociStitched	chr1	156115168	156136713	2	19461	78768.52	5735.279	39	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	39	1
1_MACS_peak_29217_lociStitched	chrX	19469942	19470868	1	927	73154.7408	183.5332	40	MAP3K15		MAP3K15	40	1
1_MACS_peak_12900_lociStitched	chr18	60821834	60831684	1	9851	73809.005	2303.915	41	BCL2		BCL2	41	1
4_MACS_peak_17707_lociStitched	chr21	45552590	45581226	4	18675	77655.1048	6729.46	42	C21orf33	PWP2	C21orf33	42	1
1_MACS_peak_2376_lociStitched	chr1	203288024	203298305	1	10282	72884.0652	3297.1167	43		BTG2,LOC730227,FMOD	BTG2	43	1
3_MACS_peak_17897_lociStitched	chr22	24178852	24200867	3	15562	72708.9405	3405.7205	44	SLC2A11,DERL3	SMARCB1,MIF	DERL3	44	1
9_MACS_peak_24054_lociStitched	chr6	52392366	52443062	9	33780	75815.868	8937.7048	45	TRAM2		TRAM2	45	1
4_MACS_peak_4223_lociStitched	chr10	125821843	125854784	4	26849	72160.5546	6120.4378	46	CHST15		CHST15	46	1
1_MACS_peak_20676_lociStitched	chr4	40191051	40209314	1	18264	69152.8495	3721.9994	47	RHOH		RHOH	47	1
7_MACS_peak_11450_lociStitched	chr17	34597787	34641905	7	33150	73447.6464	8735.364	48	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	48	1
3_MACS_peak_5874_lociStitched	chr12	4216221	4231172	3	10276	67496.2895	2987.2098	49			CCND2	49	1
3_MACS_peak_26620_lociStitched	chr8	2027712	2051009	3	17131	67892.1174	3995.4355	50	MYOM2		MYOM2	50	1
5_MACS_peak_26516_lociStitched	chr7	150100840	150134155	5	17272	70654.452	7059.4485	51	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	51	1
4_MACS_peak_17000_lociStitched	chr20	37486724	37511328	4	12275	66425.8792	3700.4416	52	PPP1R16B	FAM83D	FAM83D	52	1
2_MACS_peak_10063_lociStitched	chr16	12055945	12072062	2	12068	66049.0777	3452.2614	53	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	53	1
2_MACS_peak_12479_lociStitched	chr18	9094887	9123273	2	23122	67209.5322	5027.1606	54	NDUFV2	ANKRD12	NDUFV2	54	1
1_MACS_peak_21730_lociStitched	chr5	1311433	1320546	1	9114	63893.9769	1844.4712	55	CLPTM1L	TERT	TERT	55	1
1_MACS_peak_7947_lociStitched	chr13	114828913	114835103	1	6191	63346.603	1403.892	56	RASA3		RASA3	56	1
4_MACS_peak_10191_lociStitched	chr16	23343229	23365498	4	13661	65272.6659	3939.3861	57	SCNN1B		SCNN1B	57	1
1_MACS_peak_23422_lociStitched	chr6	11826992	11838479	1	11488	62934.9756	2227.3293	58		C6orf105	C6orf105	58	1
4_MACS_peak_11445_lociStitched	chr17	34509815	34540220	4	26026	67222.4145	6728.6265	59	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	59	1
2_MACS_peak_14936_lociStitched	chr2	70310224	70323466	2	8789	62641.281	2484.1992	60	PCBP1,LOC400960	LOC100133985	PCBP1	60	1
4_MACS_peak_253_lociStitched	chr1	17221336	17241677	4	9045	65542.7702	5736.162	61		CROCC	CROCC	61	1
1_MACS_peak_15379_lociStitched	chr2	112455349	112466629	1	11281	61809.888	2386.848	62			ANAPC1	62	1
4_MACS_peak_10053_lociStitched	chr16	11808454	11843185	4	26427	65704.1058	6345.3537	63	TXNDC11	SNN,ZC3H7A	TXNDC11	63	1
1_MACS_peak_25576_lociStitched	chr7	55597317	55605495	1	8179	61042.2276	1747.6386	64	VOPP1		VOPP1	64	1
2_MACS_peak_4596_lociStitched	chr11	19449590	19466349	2	15921	62333.4246	3623.2958	65	NAV2		NAV2	65	1
4_MACS_peak_1603_lociStitched	chr1	149802918	149834086	4	15909	66403.424	7707.8464	66	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	66	1
5_MACS_peak_15188_lociStitched	chr2	97190297	97220458	5	17555	63570.3397	5085.1446	67	ARID5A	NEURL3	ARID5A	67	1
4_MACS_peak_14858_lociStitched	chr2	65156420	65178753	4	16759	62979.06	4629.6309	68	LOC400958	SLC1A4	LOC400958	68	1
5_MACS_peak_20121_lociStitched	chr3	183228277	183260906	5	25349	66396.7521	8571.6383	69	KLHL6		KLHL6	69	1
5_MACS_peak_4112_lociStitched	chr10	112597069	112633197	5	23725	63252.9024	6015.312	70	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	70	1
3_MACS_peak_14345_lociStitched	chr2	20397820	20426304	3	20986	61810.28	4591.6208	71	SDC1		SDC1	71	1
2_MACS_peak_1630_lociStitched	chr1	150532193	150553305	2	16361	63236.7736	6052.8104	72	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	72	1
1_MACS_peak_498_lociStitched	chr1	31214210	31233610	1	19401	60958.68	3876.12	73	LAPTM5	LOC100129196,MATN1	LAPTM5	73	1
2_MACS_peak_21619_lociStitched	chr4	185200847	185210976	2	10018	58706.6711	2338.7861	74			ENPP6	74	1
1_MACS_peak_25787_lociStitched	chr7	78113699	78128450	1	14752	59015.8008	3075.5835	75	MAGI2		RPL13AP17	75	1
6_MACS_peak_18863_lociStitched	chr3	46574118	46608414	6	18106	60628.4688	5288.4432	76	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	76	1
1_MACS_peak_17651_lociStitched	chr21	43480420	43486906	1	6487	57344.6718	2150.109	77	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	77	1
2_MACS_peak_17624_lociStitched	chr21	41324289	41344453	2	16805	61248.15	6131.8724	78			PCP4	78	1
3_MACS_peak_22663_lociStitched	chr5	131744956	131774347	3	21330	59807.7459	5172.816	79	C5orf56	SLC22A5,MIR3936	C5orf56	79	1
2_MACS_peak_1726_lociStitched	chr1	154374337	154394662	2	17021	59649.81	5361.735	80	IL6R		IL6R	80	1
4_MACS_peak_12222_lociStitched	chr17	75128683	75146224	4	15494	57506.4144	3262.626	81	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	81	1
2_MACS_peak_10554_lociStitched	chr16	66549294	66561568	2	11842	56837.2118	2610.6798	82	TK2	CKLF,CMTM1	TK2	82	1
1_MACS_peak_11698_lociStitched	chr17	43298055	43308735	1	10681	54726.456	2153.088	83	FMNL1	LOC100133991,C17orf46	FMNL1	83	1
3_MACS_peak_341_lociStitched	chr1	24511971	24533891	3	17106	56444.0	4061.776	84	LOC284632,IL28RA	IL22RA1	LOC284632	84	1
4_MACS_peak_21627_lociStitched	chr4	185317560	185350078	4	20818	57150.385	5511.801	85	IRF2		IRF2	85	1
2_MACS_peak_19975_lociStitched	chr3	171801878	171827189	2	21602	56608.0515	6016.4247	86	FNDC3B		FNDC3B	86	1
2_MACS_peak_8840_lociStitched	chr15	31546272	31560817	2	11342	53317.6065	2746.096	87			KLF13	87	1
2_MACS_peak_7070_lociStitched	chr12	108952831	108970761	2	16765	53816.895	3824.469	88	ISCU,SART3	FICD,TMEM119	ISCU	88	1
4_MACS_peak_18209_lociStitched	chr22	39823148	39846165	4	13772	53818.3494	3984.2427	89	TAB1	MGAT3	MGAT3	89	1
2_MACS_peak_13751_lociStitched	chr19	39880916	39904073	2	18091	53286.5727	3881.1132	90	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	90	1
1_MACS_peak_4100_lociStitched	chr10	112214932	112226153	1	11222	51665.9724	2261.0315	91		DUSP5	DUSP5	91	1
1_MACS_peak_18529_lociStitched	chr3	13049703	13061634	1	11932	52032.2841	2646.2958	92	IQSEC1	IQSEC1	IQSEC1	92	1
6_MACS_peak_9662_lociStitched	chr15	89646665	89676910	6	18613	54374.461	5190.042	93	ABHD2		ABHD2	93	1
4_MACS_peak_9346_lociStitched	chr15	68568582	68599491	4	26459	54075.2955	5548.1655	94	FEM1B,ITGA11	CLN6	FEM1B	94	1
7_MACS_peak_8842_lociStitched	chr15	31616636	31657548	7	26262	54482.5104	6173.6208	95	KLF13		KLF13	95	1
4_MACS_peak_10048_lociStitched	chr16	11762505	11786186	4	19387	52285.2799	4511.2305	96	SNN,TXNDC11		SNN	96	1
5_MACS_peak_4474_lociStitched	chr11	10314571	10345028	5	19299	52632.7417	5305.6094	97	ADM,SBF2		ADM	97	1
1_MACS_peak_23786_lociStitched	chr6	32934768	32941772	1	7005	48675.6988	1814.7364	98	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	98	1
7_MACS_peak_12743_lociStitched	chr18	46439346	46480151	7	35749	53768.7485	7010.299	99	SMAD7		SMAD7	99	1
4_MACS_peak_16890_lociStitched	chr20	32461572	32477528	4	11296	48960.986	2477.9668	100			CHMP4B	100	1
2_MACS_peak_17958_lociStitched	chr22	29185846	29199851	2	12951	49213.57	2730.975	101	XBP1	HSCB,CCDC117,CHEK2	XBP1	101	1
3_MACS_peak_2856_lociStitched	chr1	234734119	234749834	3	11451	49370.244	4013.611	102	IRF2BP2	NCRNA00184	IRF2BP2	102	1
2_MACS_peak_18839_lociStitched	chr3	46245628	46257535	2	11487	47831.6097	2774.331	103	CCR1	CCR3	CCR1	103	1
4_MACS_peak_19628_lociStitched	chr3	133178833	133200914	4	16960	49017.6119	4268.2573	104	BFSP2		BFSP2	104	1
1_MACS_peak_2516_lociStitched	chr1	209274499	209285254	1	10756	47185.4115	2634.975	105			LOC642587	105	1
4_MACS_peak_2241_lociStitched	chr1	192497930	192521368	4	18039	49240.8942	4774.3206	106		RGS1	RGS1	106	1
1_MACS_peak_10484_lociStitched	chr16	56943356	56953187	1	9832	46188.9873	1958.3352	107	SLC12A3	HERPUD1,CETP	HERPUD1	107	1
2_MACS_peak_21770_lociStitched	chr5	6475930	6487725	2	10457	46367.3245	2237.5115	108	UBE2QL1		UBE2QL1	108	1
1_MACS_peak_4848_lociStitched	chr11	58340157	58348018	1	7862	45789.5389	1664.1737	109	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	109	1
5_MACS_peak_3093_lociStitched	chr10	11278696	11304734	5	20260	48787.4006	4699.859	110	CELF2		CELF2	110	1
7_MACS_peak_16150_lociStitched	chr2	204548117	204585712	7	22719	50505.123	6500.1755	111	CD28		CD28	111	1
1_MACS_peak_1024_lociStitched	chr1	66736145	66751640	1	15496	46777.8555	2899.1145	112	PDE4B	PDE4B	PDE4B	112	1
1_MACS_peak_21626_lociStitched	chr4	185301456	185307750	1	6295	45402.3984	1650.2868	113			IRF2	113	1
2_MACS_peak_5570_lociStitched	chr11	115089774	115102523	2	9910	45693.6909	1988.844	114	CADM1		CADM1	114	1
7_MACS_peak_9746_lociStitched	chr15	93346133	93389263	7	16933	49426.98	5891.558	115		ASB9P1,LOC100507217	ASB9P1	115	1
6_MACS_peak_5942_lociStitched	chr12	7045833	7085599	6	22381	50196.6218	6776.1264	116	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	116	1
3_MACS_peak_5764_lociStitched	chr11	128585354	128609979	3	23943	48304.4	4976.7125	117	FLI1		FLI1	117	1
1_MACS_peak_20003_lociStitched	chr3	174865664	174871850	1	6187	45084.1866	1782.8052	118	NAALADL2		NAALADL2	118	1
6_MACS_peak_11995_lociStitched	chr17	62150070	62186695	6	25840	49480.375	6229.9125	119	ERN1	SNORD104,SNORA76	ERN1	119	1
4_MACS_peak_25577_lociStitched	chr7	55616047	55643228	4	24776	47805.9428	4949.6601	120	VOPP1		VOPP1	120	1
2_MACS_peak_26145_lociStitched	chr7	114561536	114574119	2	10619	45462.379	3007.337	121	MDFIC		MDFIC	121	1
1_MACS_peak_22345_lociStitched	chr5	88171185	88187009	1	15825	45620.592	3179.0416	122	MEF2C		MEF2C	122	1
2_MACS_peak_5025_lociStitched	chr11	65263331	65278737	2	14808	45626.4096	3444.7816	123	MALAT1	SCYL1,LTBP3	MALAT1	123	1
3_MACS_peak_317_lociStitched	chr1	23850189	23866831	3	10614	44825.227	2982.2464	124	E2F2	ASAP3,ID3	E2F2	124	1
4_MACS_peak_17678_lociStitched	chr21	44725328	44747520	4	14034	45917.4672	4145.4656	125			SIK1	125	1
2_MACS_peak_17224_lociStitched	chr20	52194699	52215748	2	20396	45042.7551	3443.6164	126	ZNF217		ZNF217	126	1
1_MACS_peak_24413_lociStitched	chr6	106609655	106618234	1	8580	42969.6373	1756.1213	127			PRDM1	127	1
3_MACS_peak_14681_lociStitched	chr2	47526797	47551094	3	15298	45163.2636	4057.599	128		EPCAM	EPCAM	128	1
2_MACS_peak_9193_lociStitched	chr15	56648155	56666319	2	11779	43802.486	2860.83	129	TEX9		TEX9	129	1
2_MACS_peak_12481_lociStitched	chr18	9132830	9157685	2	23804	44659.464	4198.0095	130	NDUFV2,ANKRD12		ANKRD12	130	1
2_MACS_peak_20209_lociStitched	chr3	186779626	186792502	2	9293	44328.2052	3931.0428	131	ST6GAL1		ST6GAL1	131	1
1_MACS_peak_7939_lociStitched	chr13	114556507	114568333	1	11827	42708.4164	2632.4676	132	GAS6	FLJ44054,GAS6	GAS6	132	1
5_MACS_peak_3394_lociStitched	chr10	45913578	45934050	5	13404	43077.1824	3025.7616	133	ALOX5		ALOX5	133	1
3_MACS_peak_9289_lociStitched	chr15	65169183	65189700	3	10920	43202.6469	3249.8928	134		PLEKHO2,ANKDD1A	ANKDD1A	134	1
2_MACS_peak_11557_lociStitched	chr17	38465906	38484503	2	18034	43433.2935	3565.0449	135	RARA	CDC6,RARA,GJD3	RARA	135	1
2_MACS_peak_20205_lociStitched	chr3	186703109	186719968	2	13463	44342.5418	4494.6094	136	ST6GAL1	ST6GAL1	ST6GAL1	136	1
4_MACS_peak_5523_lociStitched	chr11	111230436	111251654	4	16136	43624.208	3938.0608	137	POU2AF1		POU2AF1	137	1
2_MACS_peak_20649_lociStitched	chr4	38307067	38322680	2	13777	41961.4988	2488.7122	138			KLF3	138	1
3_MACS_peak_1816_lociStitched	chr1	156450437	156476148	3	20410	45657.5938	6304.3372	139	MEF2D		MEF2D	139	1
6_MACS_peak_27533_lociStitched	chr8	120918272	120947737	6	19353	44212.2325	4870.5645	140	DEPDC6		DEPDC6	140	1
4_MACS_peak_8969_lociStitched	chr15	40833449	40862658	4	18431	44406.4427	5070.6824	141	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	141	1
3_MACS_peak_8953_lociStitched	chr15	40386972	40408959	3	15604	43087.9239	3852.1224	142	BMF	BUB1B	BMF	142	1
1_MACS_peak_11499_lociStitched	chr17	36856073	36863707	1	7635	40446.4588	1484.813	143	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	143	1
2_MACS_peak_2748_lociStitched	chr1	226838419	226852593	2	13126	42665.1574	3749.023	144	ITPKB		ITPKB	144	1
2_MACS_peak_16116_lociStitched	chr2	202116037	202129014	2	12712	41462.8127	2687.5367	145	CASP8		CASP8	145	1
5_MACS_peak_13452_lociStitched	chr19	16244131	16273088	5	20748	42720.2621	4983.4997	146	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	146	1
1_MACS_peak_248_lociStitched	chr1	16992069	16994738	1	2670	39204.941	1509.0526	147		MST1P2,CROCCP2	MST1P2	147	1
1_MACS_peak_6161_lociStitched	chr12	26265722	26280417	1	14696	40525.871	3013.9445	148	BHLHE41		BHLHE41	148	1
2_MACS_peak_18115_lociStitched	chr22	37610696	37628395	2	14611	40750.1776	3300.8635	149	RAC2	C1QTNF6,SSTR3	SSTR3	149	1
2_MACS_peak_251_lociStitched	chr1	17065678	17075470	2	3704	40673.0304	3269.5488	150		ESPNP,MST1P9	MST1P9	150	1
1_MACS_peak_26034_lociStitched	chr7	104651617	104657223	1	5607	38594.507	1217.6232	151	MLL5,LOC100216545		LOC100216545	151	1
4_MACS_peak_6361_lociStitched	chr12	48196282	48219001	4	15375	41091.8553	3746.3631	152	HDAC7	SLC48A1,RAPGEF3	HDAC7	152	1
5_MACS_peak_20007_lociStitched	chr3	175051771	175074655	5	16257	42225.5568	4958.9628	153	NAALADL2		NAALADL2	153	1
2_MACS_peak_5730_lociStitched	chr11	126056485	126068944	2	7994	39604.6692	2353.5051	154		FAM118B,RPUSD4	RPUSD4	154	1
2_MACS_peak_26925_lociStitched	chr8	29622103	29634721	2	7666	39445.1298	2402.4672	155		C8orf75	C8orf75	155	1
3_MACS_peak_8771_lociStitched	chr15	23658666	23682801	3	18196	40532.319	3564.7395	156			MKRN3	156	1
4_MACS_peak_11053_lociStitched	chr17	6914999	6940196	4	10632	40509.2169	3850.1016	157	RNASEK,C17orf49,BCL6B,SLC16A13,MIR195,MIR497	ALOX12,SLC16A11,CLEC10A	BCL6B	157	1
2_MACS_peak_17960_lociStitched	chr22	29207020	29221442	2	11824	39301.3922	2722.8736	158		CCDC117,XBP1	XBP1	158	1
2_MACS_peak_21893_lociStitched	chr5	32570721	32589793	2	13694	39515.2768	3000.0256	159	SUB1		SUB1	159	1
2_MACS_peak_20645_lociStitched	chr4	38123670	38136842	2	11608	38732.266	2285.342	160	TBC1D1		PTTG2	160	1
2_MACS_peak_29407_lociStitched	chrX	48790707	48805036	2	11677	37913.1011	1610.5796	161	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	161	1
2_MACS_peak_14593_lociStitched	chr2	42323088	42334846	2	11653	38534.4934	2458.5978	162		PKDCC	PKDCC	162	1
5_MACS_peak_2401_lociStitched	chr1	204474906	204493936	5	12992	40400.69	4531.043	163	MDM4	PIK3C2B	MDM4	163	1
4_MACS_peak_22350_lociStitched	chr5	88595642	88617501	4	12143	39381.1744	3541.158	164			MEF2C	164	1
3_MACS_peak_19843_lociStitched	chr3	156804657	156824534	3	14277	41085.759	5581.4616	165	LOC100498859,LOC339894		LOC100498859	165	1
1_MACS_peak_17129_lociStitched	chr20	45978429	45987349	1	8921	37318.604	1824.14	166	ZMYND8	LOC100131496	ZMYND8	166	1
2_MACS_peak_23749_lociStitched	chr6	31694406	31709345	2	12006	38426.0958	2960.9098	167	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	167	1
2_MACS_peak_23602_lociStitched	chr6	26355138	26367919	2	12629	37753.7959	2322.3077	168	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	168	1
2_MACS_peak_1588_lociStitched	chr1	149214034	149225829	2	6214	39019.0395	3867.5805	169			LOC388692	169	1
2_MACS_peak_25574_lociStitched	chr7	55569105	55585893	2	16715	38115.4752	2993.3004	170	VOPP1		VOPP1	170	1
1_MACS_peak_11527_lociStitched	chr17	37909246	37916380	1	7135	36546.0552	1462.47	171		GRB7,C17orf37	GRB7	171	1
1_MACS_peak_20033_lociStitched	chr3	176911699	176920848	1	9150	37811.9021	2731.8914	172	TBL1XR1		TBL1XR1	172	1
3_MACS_peak_20041_lociStitched	chr3	177062557	177080114	3	10557	39338.2142	4375.2044	173			TBL1XR1	173	1
3_MACS_peak_15146_lociStitched	chr2	89049124	89066775	3	11547	37789.0259	2898.2942	174	RPIA,ANKRD36BP2		ANKRD36BP2	174	1
1_MACS_peak_15687_lociStitched	chr2	158295087	158302451	1	7365	36399.5156	1922.004	175	CYTIP		CYTIP	175	1
2_MACS_peak_2459_lociStitched	chr1	206727730	206738666	2	10811	37641.712	3243.6176	176	RASSF5	LGTN	RASSF5	176	1
4_MACS_peak_17032_lociStitched	chr20	40709725	40727312	4	13374	36948.5283	2571.2194	177	PTPRT		CHD6	177	1
7_MACS_peak_10616_lociStitched	chr16	68269855	68320002	7	24342	42454.4502	8183.9904	178	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	178	1
1_MACS_peak_26446_lociStitched	chr7	142503413	142509334	1	5922	35877.1153	1615.2488	179		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	179	1
2_MACS_peak_12272_lociStitched	chr17	76711249	76733706	2	18565	38731.5879	4556.5253	180	CYTH1		CYTH1	180	1
1_MACS_peak_9456_lociStitched	chr15	75334199	75341536	1	7338	35717.9834	1762.3474	181	PPCDC	SCAMP5	PPCDC	181	1
1_MACS_peak_14612_lociStitched	chr2	43444248	43457016	1	12769	36290.4864	2339.0976	182	LOC100129726,ZFP36L2		ZFP36L2	182	1
4_MACS_peak_11439_lociStitched	chr17	34408917	34432734	4	19691	38188.1778	4325.1672	183	CCL4,CCL3	CCL18	CCL3	183	1
6_MACS_peak_14938_lociStitched	chr2	70334941	70360787	6	12202	37680.8834	3900.1614	184	LOC100133985	PCBP1,LOC400960	LOC100133985	184	1
3_MACS_peak_1789_lociStitched	chr1	155939566	155954060	3	12789	37649.6144	3929.3234	185	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	185	1
2_MACS_peak_2388_lociStitched	chr1	203722160	203736548	2	8486	37007.3748	3359.598	186	LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	186	1
1_MACS_peak_22344_lociStitched	chr5	88110661	88130586	1	19926	37678.175	4070.6775	187	MEF2C		MEF2C	187	1
4_MACS_peak_5179_lociStitched	chr11	71412145	71427045	4	13729	36510.96	2950.2	188			FAM86C	188	1
