#05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_ROSE/05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam
#Using cutoff of 15067.1378 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	isSuperStretch
9_MACS_peak_24751_lociStitched	chr6	138246796	138297452	9	20904	34076.2912	8064.4352	82	1
6_MACS_peak_9662_lociStitched	chr15	89646665	89676910	6	18613	54374.461	5190.042	83	1
4_MACS_peak_14858_lociStitched	chr2	65156420	65178753	4	16759	62979.06	4629.6309	84	1
1_MACS_peak_22344_lociStitched	chr5	88110661	88130586	1	19926	37678.175	4070.6775	85	1
6_MACS_peak_27533_lociStitched	chr8	120918272	120947737	6	19353	44212.2325	4870.5645	86	1
2_MACS_peak_13751_lociStitched	chr19	39880916	39904073	2	18091	53286.5727	3881.1132	87	1
3_MACS_peak_28635_lociStitched	chr9	112904151	112925532	3	20165	33236.7645	4032.4566	88	1
4_MACS_peak_11439_lociStitched	chr17	34408917	34432734	4	19691	38188.1778	4325.1672	89	1
2_MACS_peak_1726_lociStitched	chr1	154374337	154394662	2	17021	59649.81	5361.735	90	1
2_MACS_peak_17624_lociStitched	chr21	41324289	41344453	2	16805	61248.15	6131.8724	91	1
2_MACS_peak_1630_lociStitched	chr1	150532193	150553305	2	16361	63236.7736	6052.8104	92	1
3_MACS_peak_341_lociStitched	chr1	24511971	24533891	3	17106	56444	4061.776	93	1
2_MACS_peak_4596_lociStitched	chr11	19449590	19466349	2	15921	62333.4246	3623.2958	94	1
4_MACS_peak_1603_lociStitched	chr1	149802918	149834086	4	15909	66403.424	7707.8464	95	1
4_MACS_peak_2241_lociStitched	chr1	192497930	192521368	4	18039	49240.8942	4774.3206	96	1
4_MACS_peak_8969_lociStitched	chr15	40833449	40862658	4	18431	44406.4427	5070.6824	97	1
2_MACS_peak_7070_lociStitched	chr12	108952831	108970761	2	16765	53816.895	3824.469	98	1
3_MACS_peak_23567_lociStitched	chr6	25365924	25390507	3	18721	37727.5301	4274.9837	99	1
2_MACS_peak_11557_lociStitched	chr17	38465906	38484503	2	18034	43433.2935	3565.0449	100	1
2_MACS_peak_12272_lociStitched	chr17	76711249	76733706	2	18565	38731.5879	4556.5253	101	1
4_MACS_peak_26865_lociStitched	chr8	27208654	27239415	4	18915	35492.0418	5647.7196	102	1
3_MACS_peak_8771_lociStitched	chr15	23658666	23682801	3	18196	40532.319	3564.7395	103	1
4_MACS_peak_9435_lociStitched	chr15	75063079	75083986	4	18522	37298.088	3936.7881	104	1
8_MACS_peak_27597_lociStitched	chr8	126285365	126315963	8	19016	29750.4354	5112.9258	105	1
4_MACS_peak_12222_lociStitched	chr17	75128683	75146224	4	15494	57506.4144	3262.626	106	1
4_MACS_peak_19628_lociStitched	chr3	133178833	133200914	4	16960	49017.6119	4268.2573	107	1
7_MACS_peak_9746_lociStitched	chr15	93346133	93389263	7	16933	49426.98	5891.558	108	1
4_MACS_peak_10191_lociStitched	chr16	23343229	23365498	4	13661	65272.6659	3939.3861	109	1
1_MACS_peak_25787_lociStitched	chr7	78113699	78128450	1	14752	59015.8008	3075.5835	110	1
5_MACS_peak_2145_lociStitched	chr1	181095442	181129585	5	18357	36116.4654	7398.7881	111	1
4_MACS_peak_16038_lociStitched	chr2	197023849	197048510	4	18600	28710.3362	4192.37	112	1
6_MACS_peak_9804_lociStitched	chr15	101661413	101692415	6	17984	34511.4264	4644.0996	113	1
1_MACS_peak_12900_lociStitched	chr18	60821834	60831684	1	9851	73809.005	2303.915	114	1
5_MACS_peak_12127_lociStitched	chr17	72733239	72756808	5	18443	23076.4079	3763.9693	115	1
1_MACS_peak_2376_lociStitched	chr1	203288024	203298305	1	10282	72884.0652	3297.1167	116	1
4_MACS_peak_17000_lociStitched	chr20	37486724	37511328	4	12275	66425.8792	3700.4416	117	1
2_MACS_peak_10063_lociStitched	chr16	12055945	12072062	2	12068	66049.0777	3452.2614	118	1
2_MACS_peak_22052_lociStitched	chr5	55436289	55453664	2	17094	35858.525	2960.7	119	1
1_MACS_peak_22345_lociStitched	chr5	88171185	88187009	1	15825	45620.592	3179.0416	120	1
2_MACS_peak_25574_lociStitched	chr7	55569105	55585893	2	16715	38115.4752	2993.3004	121	1
4_MACS_peak_5523_lociStitched	chr11	111230436	111251654	4	16136	43624.208	3938.0608	122	1
1_MACS_peak_1024_lociStitched	chr1	66736145	66751640	1	15496	46777.8555	2899.1145	123	1
5_MACS_peak_14822_lociStitched	chr2	64430348	64456514	5	16955	36056.748	4474.386	124	1
4_MACS_peak_19250_lociStitched	chr3	98472532	98496032	4	16732	37313.3	3788.2	125	1
5_MACS_peak_20007_lociStitched	chr3	175051771	175074655	5	16257	42225.5568	4958.9628	126	1
7_MACS_peak_8590_lociStitched	chr14	95946313	95985826	7	17561	24162.1995	3054.3549	127	1
3_MACS_peak_3733_lociStitched	chr10	81001140	81020584	3	16639	34487.8228	2926.322	128	1
3_MACS_peak_4096_lociStitched	chr10	112168372	112186622	3	16632	33844.625	3126.225	129	1
4_MACS_peak_16640_lociStitched	chr20	5570502	5592514	4	17469	22837.45	3640.7848	130	1
3_MACS_peak_8953_lociStitched	chr15	40386972	40408959	3	15604	43087.9239	3852.1224	131	1
1_MACS_peak_23422_lociStitched	chr6	11826992	11838479	1	11488	62934.9756	2227.3293	132	1
3_MACS_peak_14681_lociStitched	chr2	47526797	47551094	3	15298	45163.2636	4057.599	133	1
3_MACS_peak_5874_lociStitched	chr12	4216221	4231172	3	10276	67496.2895	2987.2098	134	1
4_MACS_peak_18209_lociStitched	chr22	39823148	39846165	4	13772	53818.3494	3984.2427	135	1
6_MACS_peak_4032_lociStitched	chr10	105244578	105268331	6	17060	24919.2723	3933.4968	136	1
2_MACS_peak_5025_lociStitched	chr11	65263331	65278737	2	14808	45626.4096	3444.7816	137	1
1_MACS_peak_15379_lociStitched	chr2	112455349	112466629	1	11281	61809.888	2386.848	138	1
4_MACS_peak_6361_lociStitched	chr12	48196282	48219001	4	15375	41091.8553	3746.3631	139	1
2_MACS_peak_17868_lociStitched	chr22	23189769	23210156	2	16012	31069.788	2432.1691	140	1
6_MACS_peak_25403_lociStitched	chr7	38383690	38408547	6	16454	28061.0673	5224.9414	141	1
2_MACS_peak_10554_lociStitched	chr16	66549294	66561568	2	11842	56837.2118	2610.6798	142	1
1_MACS_peak_6161_lociStitched	chr12	26265722	26280417	1	14696	40525.871	3013.9445	143	1
3_MACS_peak_8482_lociStitched	chr14	81930666	81953222	3	15872	28984.46	2275.9004	144	1
4_MACS_peak_17678_lociStitched	chr21	44725328	44747520	4	14034	45917.4672	4145.4656	145	1
2_MACS_peak_18115_lociStitched	chr22	37610696	37628395	2	14611	40750.1776	3300.8635	146	1
3_MACS_peak_23233_lociStitched	chr5	180228543	180249684	3	15127	36565.4736	3443.8689	147	1
5_MACS_peak_12276_lociStitched	chr17	76754366	76779779	5	15989	26942.8626	3656.9307	148	1
1_MACS_peak_21730_lociStitched	chr5	1311433	1320546	1	9114	63893.9769	1844.4712	149	1
3_MACS_peak_1092_lociStitched	chr1	75595509	75612511	3	15493	30765.119	2516.296	150	1
3_MACS_peak_19115_lociStitched	chr3	69128259	69145998	3	15557	30574.9404	3207.2112	151	1
5_MACS_peak_10176_lociStitched	chr16	22194966	22219233	5	15695	29977.0251	4341.3663	152	1
2_MACS_peak_17958_lociStitched	chr22	29185846	29199851	2	12951	49213.57	2730.975	153	1
2_MACS_peak_20649_lociStitched	chr4	38307067	38322680	2	13777	41961.4988	2488.7122	155	1
4_MACS_peak_3073_lociStitched	chr10	7511539	7535977	4	15047	32135.97	3257.5854	156	1
3_MACS_peak_19843_lociStitched	chr3	156804657	156824534	3	14277	41085.759	5581.4616	157	1
1_MACS_peak_18529_lociStitched	chr3	13049703	13061634	1	11932	52032.2841	2646.2958	158	1
4_MACS_peak_253_lociStitched	chr1	17221336	17241677	4	9045	65542.7702	5736.162	159	1
6_MACS_peak_21556_lociStitched	chr4	173896103	173920816	6	15682	23432.8666	3674.8231	160	1
2_MACS_peak_21619_lociStitched	chr4	185200847	185210976	2	10018	58706.6711	2338.7861	161	1
2_MACS_peak_14936_lociStitched	chr2	70310224	70323466	2	8789	62641.281	2484.1992	162	1
2_MACS_peak_20205_lociStitched	chr3	186703109	186719968	2	13463	44342.5418	4494.6094	163	1
5_MACS_peak_3394_lociStitched	chr10	45913578	45934050	5	13404	43077.1824	3025.7616	164	1
2_MACS_peak_8840_lociStitched	chr15	31546272	31560817	2	11342	53317.6065	2746.096	165	1
5_MACS_peak_10304_lociStitched	chr16	30193834	30223861	5	15307	28552.6743	5855.265	166	1
5_MACS_peak_22927_lociStitched	chr5	150512932	150538161	5	15473	24605.8437	4235.9491	167	1
1_MACS_peak_11698_lociStitched	chr17	43298055	43308735	1	10681	54726.456	2153.088	168	1
2_MACS_peak_21893_lociStitched	chr5	32570721	32589793	2	13694	39515.2768	3000.0256	169	1
2_MACS_peak_20922_lociStitched	chr4	77608745	77625176	2	15350	21922.2402	3010.1592	170	1
4_MACS_peak_19574_lociStitched	chr3	129026563	129054585	4	14757	30602.8262	4267.7506	171	1
1_MACS_peak_24306_lociStitched	chr6	90057007	90071434	1	14428	32253.0012	2755.557	172	1
1_MACS_peak_4100_lociStitched	chr10	112214932	112226153	1	11222	51665.9724	2261.0315	173	1
6_MACS_peak_23754_lociStitched	chr6	31773745	31804710	6	15059	27147.0155	4951.3035	174	1
5_MACS_peak_11703_lociStitched	chr17	43504975	43531532	5	15070	25871.8294	3959.6487	175	1
2_MACS_peak_2748_lociStitched	chr1	226838419	226852593	2	13126	42665.1574	3749.023	177	1
1_MACS_peak_11361_lociStitched	chr17	29635090	29649445	1	14356	31497.741	2530.7865	178	1
4_MACS_peak_24913_lociStitched	chr6	157976439	157999841	4	14732	26996.5472	1947.0464	179	1
1_MACS_peak_25576_lociStitched	chr7	55597317	55605495	1	8179	61042.2276	1747.6386	180	1
4_MACS_peak_5179_lociStitched	chr11	71412145	71427045	4	13729	36510.96	2950.2	181	1
3_MACS_peak_6092_lociStitched	chr12	15101004	15116240	3	14975	23010.9308	3024.346	182	1
4_MACS_peak_23416_lociStitched	chr6	11713784	11735971	4	14014	33728.6774	3239.302	183	1
5_MACS_peak_20869_lociStitched	chr4	74453968	74475132	5	14090	32660.2848	3320.6316	184	1
5_MACS_peak_27777_lociStitched	chr8	145002137	145027954	5	14603	26712.8499	3193.5629	185	1
4_MACS_peak_14301_lociStitched	chr2	13680616	13702546	4	14554	27359.868	3280.728	186	1
4_MACS_peak_17032_lociStitched	chr20	40709725	40727312	4	13374	36948.5283	2571.2194	187	1
4_MACS_peak_16890_lociStitched	chr20	32461572	32477528	4	11296	48960.986	2477.9668	188	1
2_MACS_peak_16116_lociStitched	chr2	202116037	202129014	2	12712	41462.8127	2687.5367	189	1
4_MACS_peak_5332_lociStitched	chr11	82763881	82790315	4	13770	35545.7998	4612.733	190	1
5_MACS_peak_6027_lociStitched	chr12	11901632	11920371	5	14272	29350.8957	3219.3602	191	1
2_MACS_peak_18156_lociStitched	chr22	38782232	38797113	2	14783	21958.4036	2474.7103	192	1
3_MACS_peak_2856_lociStitched	chr1	234734119	234749834	3	11451	49370.244	4013.611	193	1
1_MACS_peak_7947_lociStitched	chr13	114828913	114835103	1	6191	63346.603	1403.892	194	1
2_MACS_peak_18839_lociStitched	chr3	46245628	46257535	2	11487	47831.6097	2774.331	195	1
5_MACS_peak_2401_lociStitched	chr1	204474906	204493936	5	12992	40400.69	4531.043	196	1
3_MACS_peak_12106_lociStitched	chr17	70582418	70602044	3	14293	27284.0652	3151.9356	197	1
3_MACS_peak_25475_lociStitched	chr7	44661749	44680203	3	14157	28247.5378	3277.4304	198	1
4_MACS_peak_17559_lociStitched	chr21	36236218	36262852	4	13275	38536.7346	5715.6564	199	1
4_MACS_peak_3751_lociStitched	chr10	81946292	81966445	4	13868	30499.5502	3399.8111	200	1
7_MACS_peak_14904_lociStitched	chr2	68936359	68965675	7	14221	27152.4792	4529.322	201	1
3_MACS_peak_7277_lociStitched	chr12	123371199	123387326	3	14441	20260.3501	1843.3161	202	1
2_MACS_peak_9193_lociStitched	chr15	56648155	56666319	2	11779	43802.486	2860.83	203	1
4_MACS_peak_16288_lociStitched	chr2	219743183	219763215	4	14055	26832.864	3573.7088	204	1
2_MACS_peak_23602_lociStitched	chr6	26355138	26367919	2	12629	37753.7959	2322.3077	205	1
4_MACS_peak_9650_lociStitched	chr15	89163691	89184438	4	13802	29093.5181	3649.3973	206	1
7_MACS_peak_10572_lociStitched	chr16	67184027	67218842	7	14152	26212.2135	4922.841	207	1
6_MACS_peak_8946_lociStitched	chr15	40330234	40358322	6	14063	26231.3832	3991.3048	208	1
1_MACS_peak_7939_lociStitched	chr13	114556507	114568333	1	11827	42708.4164	2632.4676	209	1
2_MACS_peak_14289_lociStitched	chr2	11883357	11896693	2	12935	35359.0704	2556.5112	210	1
1_MACS_peak_14612_lociStitched	chr2	43444248	43457016	1	12769	36290.4864	2339.0976	211	1
3_MACS_peak_1789_lociStitched	chr1	155939566	155954060	3	12789	37649.6144	3929.3234	212	1
2_MACS_peak_9557_lociStitched	chr15	81576228	81595949	2	13308	33170.722	3699.6596	213	1
5_MACS_peak_28932_lociStitched	chr9	134127110	134153357	5	13728	28525.2396	3918.6771	214	1
1_MACS_peak_2516_lociStitched	chr1	209274499	209285254	1	10756	47185.4115	2634.975	215	1
4_MACS_peak_23182_lociStitched	chr5	176717494	176740748	4	13128	33483.4346	3850.8624	216	1
5_MACS_peak_8454_lociStitched	chr14	77487769	77507845	5	13653	25639.0596	1567.9356	217	1
8_MACS_peak_10588_lociStitched	chr16	67547927	67587211	8	14057	24796.0608	5912.242	218	1
7_MACS_peak_4974_lociStitched	chr11	63992827	64020261	7	13916	24674.1396	4205.6322	219	1
4_MACS_peak_23587_lociStitched	chr6	26183645	26207201	4	13380	30542.7096	4218.8796	220	1
3_MACS_peak_17419_lociStitched	chr21	19151782	19169225	3	13864	23579.4474	2644.3588	221	1
4_MACS_peak_22350_lociStitched	chr5	88595642	88617501	4	12143	39381.1744	3541.158	222	1
2_MACS_peak_21770_lociStitched	chr5	6475930	6487725	2	10457	46367.3245	2237.5115	223	1
6_MACS_peak_10284_lociStitched	chr16	29815641	29837463	6	13117	30413.3214	3295.122	224	1
4_MACS_peak_12217_lociStitched	chr17	75078939	75093191	4	13057	30372.4372	2877.4788	225	1
2_MACS_peak_23749_lociStitched	chr6	31694406	31709345	2	12006	38426.0958	2960.9098	226	1
5_MACS_peak_9058_lociStitched	chr15	45001882	45029234	5	13415	28380.4352	4606.0768	227	1
2_MACS_peak_17960_lociStitched	chr22	29207020	29221442	2	11824	39301.3922	2722.8736	228	1
6_MACS_peak_14938_lociStitched	chr2	70334941	70360787	6	12202	37680.8834	3900.1614	229	1
2_MACS_peak_26145_lociStitched	chr7	114561536	114574119	2	10619	45462.379	3007.337	231	1
1_MACS_peak_10485_lociStitched	chr16	56963243	56975518	1	12276	35126.14	2545.835	232	1
2_MACS_peak_29407_lociStitched	chrX	48790707	48805036	2	11677	37913.1011	1610.5796	233	1
1_MACS_peak_415_lociStitched	chr1	27018306	27030866	1	12561	32580.64	2508.232	234	1
6_MACS_peak_13369_lociStitched	chr19	12885665	12918416	6	13663	23092.7301	4634.2665	235	1
3_MACS_peak_1892_lociStitched	chr1	160694671	160715484	3	12385	36443.563	5111.6728	236	1
2_MACS_peak_20645_lociStitched	chr4	38123670	38136842	2	11608	38732.266	2285.342	237	1
3_MACS_peak_317_lociStitched	chr1	23850189	23866831	3	10614	44825.227	2982.2464	238	1
2_MACS_peak_14593_lociStitched	chr2	42323088	42334846	2	11653	38534.4934	2458.5978	239	1
3_MACS_peak_1888_lociStitched	chr1	160633521	160656127	3	12272	37152.961	5466.1308	240	1
3_MACS_peak_9289_lociStitched	chr15	65169183	65189700	3	10920	43202.6469	3249.8928	241	1
2_MACS_peak_25542_lociStitched	chr7	50343340	50357900	2	13143	26100.256	2578.576	242	1
1_MACS_peak_17651_lociStitched	chr21	43480420	43486906	1	6487	57344.6718	2150.109	243	1
3_MACS_peak_12256_lociStitched	chr17	76136796	76152843	3	12625	30184.407	2493.7038	244	1
4_MACS_peak_17054_lociStitched	chr20	42565312	42585505	4	13217	24556.7073	3257.1309	245	1
1_MACS_peak_10484_lociStitched	chr16	56943356	56953187	1	9832	46188.9873	1958.3352	246	1
2_MACS_peak_5570_lociStitched	chr11	115089774	115102523	2	9910	45693.6909	1988.844	247	1
3_MACS_peak_15146_lociStitched	chr2	89049124	89066775	3	11547	37789.0259	2898.2942	248	1
3_MACS_peak_2420_lociStitched	chr1	205242280	205258827	3	11852	37192.6919	4452.7977	249	1
2_MACS_peak_24285_lociStitched	chr6	88625618	88640212	2	13257	22123.0446	2510.168	250	1
5_MACS_peak_13056_lociStitched	chr19	1647575	1672863	5	12348	32629.1064	4427.9288	251	1
5_MACS_peak_12174_lociStitched	chr17	73850654	73875852	5	12112	33745.1616	3930.888	252	1
3_MACS_peak_1912_lociStitched	chr1	161144899	161163454	3	11659	37238.0295	4378.98	253	1
3_MACS_peak_3384_lociStitched	chr10	45454016	45475202	3	13093	22904.1846	3160.9512	254	1
2_MACS_peak_27718_lociStitched	chr8	137188950	137201389	2	12419	29124.6746	2491.5317	255	1
4_MACS_peak_17244_lociStitched	chr20	52545705	52566990	4	13218	20103.6825	3390.7005	256	1
3_MACS_peak_22669_lociStitched	chr5	131823096	131842312	3	12728	25353.5904	3378.1728	258	1
4_MACS_peak_11053_lociStitched	chr17	6914999	6940196	4	10632	40509.2169	3850.1016	259	1
3_MACS_peak_15311_lociStitched	chr2	109829175	109843996	3	12434	25782.6116	2549.212	260	1
2_MACS_peak_22666_lociStitched	chr5	131790462	131804301	2	11940	30923.2455	3170.5149	261	1
5_MACS_peak_29794_lociStitched	chrX	128902351	128921281	5	12621	22589.169	2002.794	263	1
1_MACS_peak_15920_lociStitched	chr2	182168549	182180123	1	11575	32128.2666	2159.7084	264	1
