REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
7_MACS_peak_16150_lociStitched	chr2	204548117	204585712	7	22719	50505.123	6500.1755	41	CD28		CD28	CD28	0.9814	41	1
4_MACS_peak_26001_lociStitched	chr7	102063696	102093231	4	22488	102657.753	5068.206	42	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.7127000000000001	42	1
6_MACS_peak_5942_lociStitched	chr12	7045833	7085599	6	22381	50196.6218	6776.1264	43	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	1.3846	43	1
4_MACS_peak_12475_lociStitched	chr18	9054294	9085040	4	22226	94230.3408	5445.1166	44		NDUFV2	NDUFV2	NDUFV2	1.8974999999999997	44	1
5_MACS_peak_13107_lociStitched	chr19	2594364	2629109	5	22128	110725.366	7730.7625	45	GNG7		GNG7	GNG7	0.5756	45	1
5_MACS_peak_18458_lociStitched	chr3	5222463	5256329	5	22033	38265.1934	5614.9828	46	ARL8B,EDEM1		EDEM1	EDEM1	0.7119	46	1
5_MACS_peak_18842_lociStitched	chr3	46317808	46347316	5	21801	34323.7056	5281.932	47		CCR3,CCR2	CCR3	CCR2	0.5683	47	1
9_MACS_peak_10735_lociStitched	chr16	78768609	78804938	9	21756	22516.7142	3523.913	48	WWOX		WWOX	WWOX	0.0143	48	1
2_MACS_peak_19975_lociStitched	chr3	171801878	171827189	2	21602	56608.0515	6016.4247	49	FNDC3B		FNDC3B	FNDC3B	0.1685	49	1
5_MACS_peak_16816_lociStitched	chr20	25261675	25301552	5	21420	81341.1046	6288.6029	50	PYGB,ABHD12		PYGB	PYGB	0.7402	50	1
3_MACS_peak_22663_lociStitched	chr5	131744956	131774347	3	21330	59807.7459	5172.816	51	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.3245	51	1
1_MACS_peak_3090_lociStitched	chr10	11202615	11223608	1	20994	102563.4008	4868.2767	52	CELF2		CELF2	CELF2	0.4479000000000001	52	1
3_MACS_peak_14345_lociStitched	chr2	20397820	20426304	3	20986	61810.28	4591.6208	53	SDC1		SDC1	SDC1	1.6587999999999998	53	1
9_MACS_peak_24751_lociStitched	chr6	138246796	138297452	9	20904	34076.2912	8064.4352	54			TNFAIP3	TNFAIP3	0.8074	54	1
4_MACS_peak_21627_lociStitched	chr4	185317560	185350078	4	20818	57150.385	5511.801	55	IRF2		IRF2	IRF2	1.3247	55	1
5_MACS_peak_13452_lociStitched	chr19	16244131	16273088	5	20748	42720.2621	4983.4997	56	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.0913	56	1
3_MACS_peak_1816_lociStitched	chr1	156450437	156476148	3	20410	45657.5938	6304.3372	57	MEF2D		MEF2D	MEF2D	0.8000999999999999	57	1
2_MACS_peak_17224_lociStitched	chr20	52194699	52215748	2	20396	45042.7551	3443.6164	58	ZNF217		ZNF217	ZNF217	0.6798	58	1
5_MACS_peak_3093_lociStitched	chr10	11278696	11304734	5	20260	48787.4006	4699.859	59	CELF2		CELF2	CELF2	0.4479000000000001	59	1
3_MACS_peak_1747_lociStitched	chr1	154907819	154935560	3	20205	104847.1095	8133.6612	60	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	2.3592	60	1
1_MACS_peak_17874_lociStitched	chr22	23265984	23286150	1	20167	151626.1374	3855.7392	61		IGLL5	IGLL5	IGLL5	5.7659	61	1
3_MACS_peak_28635_lociStitched	chr9	112904151	112925532	3	20165	33236.7645	4032.4566	62	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.3166	62	1
1_MACS_peak_22344_lociStitched	chr5	88110661	88130586	1	19926	37678.175	4070.6775	63	MEF2C		MEF2C	MEF2C	0.4028999999999999	63	1
4_MACS_peak_11439_lociStitched	chr17	34408917	34432734	4	19691	38188.1778	4325.1672	64	CCL4,CCL3	CCL18	CCL3	CCL3	1.8934	64	1
2_MACS_peak_1804_lociStitched	chr1	156115168	156136713	2	19461	78768.52	5735.279	65	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.9360000000000002	65	1
1_MACS_peak_498_lociStitched	chr1	31214210	31233610	1	19401	60958.68	3876.12	66	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.6294	66	1
3_MACS_peak_11910_lociStitched	chr17	56404788	56431099	3	19391	82185.0396	5288.511	67	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	3.0547999999999997	67	1
4_MACS_peak_10048_lociStitched	chr16	11762505	11786186	4	19387	52285.2799	4511.2305	68	SNN,TXNDC11		SNN	SNN	1.1519	68	1
6_MACS_peak_27533_lociStitched	chr8	120918272	120947737	6	19353	44212.2325	4870.5645	69	DEPDC6		DEPDC6	DEPDC6	0.28969999999999996	69	1
5_MACS_peak_4474_lociStitched	chr11	10314571	10345028	5	19299	52632.7417	5305.6094	70	ADM,SBF2		ADM	ADM	2.4086	70	1
8_MACS_peak_27597_lociStitched	chr8	126285365	126315963	8	19016	29750.4354	5112.9258	71	NSMCE2		TRIB1	TRIB1	0.6647	71	1
4_MACS_peak_26865_lociStitched	chr8	27208654	27239415	4	18915	35492.0418	5647.7196	72	PTK2B	TRIM35	PTK2B	PTK2B	0.34719999999999995	72	1
3_MACS_peak_23567_lociStitched	chr6	25365924	25390507	3	18721	37727.5301	4274.9837	73	LRRC16A		LRRC16A	LRRC16A	0.3386	73	1
4_MACS_peak_17707_lociStitched	chr21	45552590	45581226	4	18675	77655.1048	6729.46	74	C21orf33	PWP2	C21orf33	C21orf33	0.8551	74	1
6_MACS_peak_9662_lociStitched	chr15	89646665	89676910	6	18613	54374.461	5190.042	75	ABHD2		ABHD2	ABHD2	0.4354	75	1
4_MACS_peak_16038_lociStitched	chr2	197023849	197048510	4	18600	28710.3362	4192.37	76	STK17B		STK17B	STK17B	0.31189999999999996	76	1
2_MACS_peak_12272_lociStitched	chr17	76711249	76733706	2	18565	38731.5879	4556.5253	77	CYTH1		CYTH1	CYTH1	0.5524	77	1
4_MACS_peak_9435_lociStitched	chr15	75063079	75083986	4	18522	37298.088	3936.7881	78	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	0.9874999999999999	78	1
5_MACS_peak_12127_lociStitched	chr17	72733239	72756808	5	18443	23076.4079	3763.9693	79	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.4199	79	1
4_MACS_peak_8969_lociStitched	chr15	40833449	40862658	4	18431	44406.4427	5070.6824	80	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.9719	80	1
5_MACS_peak_2145_lociStitched	chr1	181095442	181129585	5	18357	36116.4654	7398.7881	81		IER5	IER5	IER5	0.5649	81	1
1_MACS_peak_20676_lociStitched	chr4	40191051	40209314	1	18264	69152.8495	3721.9994	82	RHOH		RHOH	RHOH	1.089	82	1
3_MACS_peak_8771_lociStitched	chr15	23658666	23682801	3	18196	40532.319	3564.7395	83			MKRN3	MKRN3	NONE	83	1
6_MACS_peak_18863_lociStitched	chr3	46574118	46608414	6	18106	60628.4688	5288.4432	84	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	LRRC2	0.9033	84	1
2_MACS_peak_13751_lociStitched	chr19	39880916	39904073	2	18091	53286.5727	3881.1132	85	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	2.9025	85	1
4_MACS_peak_2241_lociStitched	chr1	192497930	192521368	4	18039	49240.8942	4774.3206	86		RGS1	RGS1	RGS1	1.3447	86	1
2_MACS_peak_11557_lociStitched	chr17	38465906	38484503	2	18034	43433.2935	3565.0449	87	RARA	CDC6,RARA,GJD3	RARA	RARA	0.6797000000000001	87	1
6_MACS_peak_9804_lociStitched	chr15	101661413	101692415	6	17984	34511.4264	4644.0996	88			CHSY1	CHSY1	0.22110000000000002	88	1
7_MACS_peak_8590_lociStitched	chr14	95946313	95985826	7	17561	24162.1995	3054.3549	89		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.13979999999999998	89	1
5_MACS_peak_15188_lociStitched	chr2	97190297	97220458	5	17555	63570.3397	5085.1446	90	ARID5A	NEURL3	ARID5A	ARID5A	1.2318	90	1
4_MACS_peak_16640_lociStitched	chr20	5570502	5592514	4	17469	22837.45	3640.7848	91	GPCPD1		GPCPD1	GPCPD1	0.22549999999999998	91	1
5_MACS_peak_26516_lociStitched	chr7	150100840	150134155	5	17272	70654.452	7059.4485	92	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	REPIN1	3.5581	92	1
3_MACS_peak_26620_lociStitched	chr8	2027712	2051009	3	17131	67892.1174	3995.4355	93	MYOM2		MYOM2	MYOM2	0.7464999999999999	93	1
3_MACS_peak_341_lociStitched	chr1	24511971	24533891	3	17106	56444	4061.776	94	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.4142	94	1
2_MACS_peak_22052_lociStitched	chr5	55436289	55453664	2	17094	35858.525	2960.7	95	ANKRD55		ANKRD55	ANKRD55	0.27880000000000005	95	1
6_MACS_peak_4032_lociStitched	chr10	105244578	105268331	6	17060	24919.2723	3933.4968	96	NEURL	CALHM2,CALHM1,CALHM3	NEURL	CALHM3	1.0026	96	1
2_MACS_peak_1726_lociStitched	chr1	154374337	154394662	2	17021	59649.81	5361.735	97	IL6R		IL6R	IL6R	0.7381	97	1
4_MACS_peak_19628_lociStitched	chr3	133178833	133200914	4	16960	49017.6119	4268.2573	98	BFSP2		BFSP2	BFSP2	0.6248	98	1
5_MACS_peak_14822_lociStitched	chr2	64430348	64456514	5	16955	36056.748	4474.386	99	LOC150992		LOC150992	LOC150992	0.33209999999999995	99	1
7_MACS_peak_9746_lociStitched	chr15	93346133	93389263	7	16933	49426.98	5891.558	100		ASB9P1,LOC100507217	ASB9P1	LOC100507217	0.5037999999999999	100	1
3_MACS_peak_5208_lociStitched	chr11	72850932	72869979	3	16928	78370.7862	3630.3582	101	FCHSD2		FCHSD2	FCHSD2	0.048500000000000015	101	1
2_MACS_peak_17624_lociStitched	chr21	41324289	41344453	2	16805	61248.15	6131.8724	102			PCP4	PCP4	0.1909	102	1
2_MACS_peak_7070_lociStitched	chr12	108952831	108970761	2	16765	53816.895	3824.469	103	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	2.8641	103	1
4_MACS_peak_14858_lociStitched	chr2	65156420	65178753	4	16759	62979.06	4629.6309	104	LOC400958	SLC1A4	LOC400958	LOC400958	1.1797	104	1
4_MACS_peak_19250_lociStitched	chr3	98472532	98496032	4	16732	37313.3	3788.2	105	ST3GAL6		ST3GAL6	ST3GAL6	0.7861	105	1
2_MACS_peak_25574_lociStitched	chr7	55569105	55585893	2	16715	38115.4752	2993.3004	106	VOPP1		VOPP1	VOPP1	1.2513999999999998	106	1
1_MACS_peak_5018_lociStitched	chr11	65183400	65200051	1	16652	116736.8308	4302.6184	107	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.3893	107	1
3_MACS_peak_3733_lociStitched	chr10	81001140	81020584	3	16639	34487.8228	2926.322	108	ZMIZ1		PPIF	PPIF	NONE	108	1
3_MACS_peak_4096_lociStitched	chr10	112168372	112186622	3	16632	33844.625	3126.225	109			DUSP5	DUSP5	0.8985000000000001	109	1
6_MACS_peak_25403_lociStitched	chr7	38383690	38408547	6	16454	28061.0673	5224.9414	110			TARP	TARP	NONE	110	1
2_MACS_peak_1630_lociStitched	chr1	150532193	150553305	2	16361	63236.7736	6052.8104	111	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.7721	111	1
5_MACS_peak_20007_lociStitched	chr3	175051771	175074655	5	16257	42225.5568	4958.9628	112	NAALADL2		NAALADL2	NAALADL2	0.0958	112	1
4_MACS_peak_5523_lociStitched	chr11	111230436	111251654	4	16136	43624.208	3938.0608	113	POU2AF1		POU2AF1	POU2AF1	1.0606	113	1
1_MACS_peak_6475_lociStitched	chr12	53587985	53604091	1	16107	92003.9144	3918.5898	114	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	3.4648000000000003	114	1
2_MACS_peak_17868_lociStitched	chr22	23189769	23210156	2	16012	31069.788	2432.1691	115		MIR650,IGLL5	IGLL5	IGLL5	5.7659	115	1
5_MACS_peak_12276_lociStitched	chr17	76754366	76779779	5	15989	26942.8626	3656.9307	116	CYTH1		CYTH1	CYTH1	0.5524	116	1
2_MACS_peak_4596_lociStitched	chr11	19449590	19466349	2	15921	62333.4246	3623.2958	117	NAV2		NAV2	NAV2	0.07460000000000001	117	1
4_MACS_peak_1603_lociStitched	chr1	149802918	149834086	4	15909	66403.424	7707.8464	118	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	2.0443	118	1
3_MACS_peak_8482_lociStitched	chr14	81930666	81953222	3	15872	28984.46	2275.9004	119	SEL1L		SEL1L	SEL1L	0.41669999999999996	119	1
1_MACS_peak_22345_lociStitched	chr5	88171185	88187009	1	15825	45620.592	3179.0416	120	MEF2C		MEF2C	MEF2C	0.4028999999999999	120	1
5_MACS_peak_10176_lociStitched	chr16	22194966	22219233	5	15695	29977.0251	4341.3663	121	EEF2K		EEF2K	EEF2K	0.013800000000000007	121	1
6_MACS_peak_21556_lociStitched	chr4	173896103	173920816	6	15682	23432.8666	3674.8231	122	GALNTL6		GALNT7	GALNT7	NONE	122	1
3_MACS_peak_8953_lociStitched	chr15	40386972	40408959	3	15604	43087.9239	3852.1224	123	BMF	BUB1B	BMF	BMF	1.3386999999999998	123	1
3_MACS_peak_17897_lociStitched	chr22	24178852	24200867	3	15562	72708.9405	3405.7205	124	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	0.9246000000000001	124	1
3_MACS_peak_19115_lociStitched	chr3	69128259	69145998	3	15557	30574.9404	3207.2112	125	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	0.9233000000000001	125	1
5_MACS_peak_18851_lociStitched	chr3	46421191	46449424	5	15543	17913.8385	3890.5074	126	CCRL2	CCR2,CCR5	CCRL2	CCR2	0.5683	126	1
1_MACS_peak_1024_lociStitched	chr1	66736145	66751640	1	15496	46777.8555	2899.1145	127	PDE4B	PDE4B	PDE4B	PDE4B	0.12580000000000002	127	1
4_MACS_peak_12222_lociStitched	chr17	75128683	75146224	4	15494	57506.4144	3262.626	128	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.9144	128	1
3_MACS_peak_1092_lociStitched	chr1	75595509	75612511	3	15493	30765.119	2516.296	129	LHX8		LHX8	LHX8	0.6512	129	1
5_MACS_peak_22927_lociStitched	chr5	150512932	150538161	5	15473	24605.8437	4235.9491	130	ANXA6		ANXA6	ANXA6	0.2979	130	1
2_MACS_peak_6054_lociStitched	chr12	12866145	12881739	2	15447	86527.9872	2877.093	131	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	5.5364	131	1
4_MACS_peak_6361_lociStitched	chr12	48196282	48219001	4	15375	41091.8553	3746.3631	132	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.7717	132	1
2_MACS_peak_20922_lociStitched	chr4	77608745	77625176	2	15350	21922.2402	3010.1592	133	SHROOM3		ANKRD56	ANKRD56	NONE	133	1
5_MACS_peak_10304_lociStitched	chr16	30193834	30223861	5	15307	28552.6743	5855.265	134	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	0.9323	134	1
3_MACS_peak_14681_lociStitched	chr2	47526797	47551094	3	15298	45163.2636	4057.599	135		EPCAM	EPCAM	NONE	NONE	135	1
1_MACS_peak_16105_lociStitched	chr2	201979788	201995039	1	15252	88326.1665	3501.6296	136	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.506	136	1
3_MACS_peak_23233_lociStitched	chr5	180228543	180249684	3	15127	36565.4736	3443.8689	137	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.0565	137	1
2_MACS_peak_13083_lociStitched	chr19	2081521	2098400	2	15091	85871.9125	4771.6933	138	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.3098	138	1
5_MACS_peak_11703_lociStitched	chr17	43504975	43531532	5	15070	25871.8294	3959.6487	139	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.5051	139	1
6_MACS_peak_23754_lociStitched	chr6	31773745	31804710	6	15059	27147.0155	4951.3035	140	HSPA1A,HSPA1B,C6orf48,SNORD48,LSM2,HSPA1L	C6orf26,SNORD52,C6orf27,VARS,NEU1,SLC44A4	HSPA1A	SNORD52	0.8442999999999999	140	1
4_MACS_peak_3073_lociStitched	chr10	7511539	7535977	4	15047	32135.97	3257.5854	141			SFMBT2	SFMBT2	NONE	141	1
5_MACS_peak_4088_lociStitched	chr10	112103850	112128980	5	15046	84793.646	4420.367	142		SMNDC1	SMNDC1	SMNDC1	0.12680000000000002	142	1
3_MACS_peak_6092_lociStitched	chr12	15101004	15116240	3	14975	23010.9308	3024.346	143	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	0.6756	143	1
2_MACS_peak_5025_lociStitched	chr11	65263331	65278737	2	14808	45626.4096	3444.7816	144	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	2.2685	144	1
2_MACS_peak_18156_lociStitched	chr22	38782232	38797113	2	14783	21958.4036	2474.7103	145	LOC400927	KCNJ4	LOC400927	LOC400927	0.34650000000000003	145	1
4_MACS_peak_19574_lociStitched	chr3	129026563	129054585	4	14757	30602.8262	4267.7506	146	C3orf47,H1FX	C3orf37	H1FX	H1FX	1.8503999999999998	146	1
1_MACS_peak_25787_lociStitched	chr7	78113699	78128450	1	14752	59015.8008	3075.5835	147	MAGI2		RPL13AP17	RPL13AP17	NONE	147	1
4_MACS_peak_24913_lociStitched	chr6	157976439	157999841	4	14732	26996.5472	1947.0464	148	ZDHHC14	MIR3692	MIR3692	NONE	NONE	148	1
1_MACS_peak_6161_lociStitched	chr12	26265722	26280417	1	14696	40525.871	3013.9445	149	BHLHE41		BHLHE41	BHLHE41	2.0451	149	1
2_MACS_peak_18115_lociStitched	chr22	37610696	37628395	2	14611	40750.1776	3300.8635	150	RAC2	C1QTNF6,SSTR3	SSTR3	SSTR3	0.2501	150	1
5_MACS_peak_27777_lociStitched	chr8	145002137	145027954	5	14603	26712.8499	3193.5629	151	PLEC,MIR661	GRINA,PARP10	PLEC	PLEC	0.3854	151	1
4_MACS_peak_14301_lociStitched	chr2	13680616	13702546	4	14554	27359.868	3280.728	152			MIR3125	MIR3125	NONE	152	1
3_MACS_peak_7277_lociStitched	chr12	123371199	123387326	3	14441	20260.3501	1843.3161	153	VPS37B		VPS37B	VPS37B	0.5975	153	1
1_MACS_peak_24306_lociStitched	chr6	90057007	90071434	1	14428	32253.0012	2755.557	154	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.7005	154	1
1_MACS_peak_11361_lociStitched	chr17	29635090	29649445	1	14356	31497.741	2530.7865	155	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	1.1005	155	1
3_MACS_peak_12106_lociStitched	chr17	70582418	70602044	3	14293	27284.0652	3151.9356	156	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.15839999999999999	156	1
3_MACS_peak_19843_lociStitched	chr3	156804657	156824534	3	14277	41085.759	5581.4616	157	LOC100498859,LOC339894		LOC100498859	LOC100498859	1.6578	157	1
5_MACS_peak_6027_lociStitched	chr12	11901632	11920371	5	14272	29350.8957	3219.3602	158	ETV6		ETV6	ETV6	0.2272	158	1
7_MACS_peak_14904_lociStitched	chr2	68936359	68965675	7	14221	27152.4792	4529.322	159	ARHGAP25	ARHGAP25	ARHGAP25	ARHGAP25	0.25179999999999997	159	1
