REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
4_MACS_peak_5007_lociStitched	chr19	16253552	16267368	4	6043	11896.9576	2942.808	27	HSH2D	RAB8A,FAM32A,AP1M1,CIB3	HSH2D	27	1
1_MACS_peak_1205_lociStitched	chr10	11216338	11223001	1	6664	10041.141	1930.9374	28	CELF2		CELF2	28	1
4_MACS_peak_9209_lociStitched	chr6	25404418	25414326	4	7183	10380.6116	3038.7836	29	LRRC16A		LRRC16A	29	1
4_MACS_peak_2554_lociStitched	chr12	53591152	53600340	4	7693	9170.5428	2518.4308	30	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	30	1
3_MACS_peak_5253_lociStitched	chr2	11883911	11895221	3	7472	9595.404	2750.592	31	LPIN1		LPIN1	31	1
1_MACS_peak_8384_lociStitched	chr5	1312418	1317274	1	4857	11063.4248	1867.132	32		TERT,CLPTM1L	TERT	32	1
2_MACS_peak_7869_lociStitched	chr4	40197102	40208001	2	8043	8761.7061	2899.134	33	RHOH		RHOH	33	1
2_MACS_peak_885_lociStitched	chr1	203288799	203297610	2	7356	10408.4343	3563.1684	34		BTG2,LOC730227,FMOD	BTG2	34	1
1_MACS_peak_4826_lociStitched	chr18	60824226	60830243	1	6018	9857.0494	1619.7764	35	BCL2		BCL2	35	1
3_MACS_peak_915_lociStitched	chr1	206287248	206294501	3	6440	10306.513	2578.4415	36	C1orf186	CTSE	C1orf186	36	1
3_MACS_peak_433_lociStitched	chr1	118196703	118207743	3	6413	9602.592	1951.872	37		FAM46C	FAM46C	37	1
1_MACS_peak_1632_lociStitched	chr10	112112980	112118763	1	5784	10237.0666	2104.4337	38		SMNDC1	SMNDC1	38	1
3_MACS_peak_4508_lociStitched	chr17	75135754	75144273	3	7594	7844.2952	2099.9335	39	SEC14L1	SEC14L1	SEC14L1	39	1
2_MACS_peak_6772_lociStitched	chr22	29187595	29198834	2	6850	8943.9962	2374.8007	40	XBP1	HSCB,CCDC117,CHEK2	XBP1	40	1
2_MACS_peak_9231_lociStitched	chr6	26358138	26366055	2	4963	10338.8103	2025.9603	41	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	41	1
2_MACS_peak_9121_lociStitched	chr6	7960827	7964678	2	3104	10258.2938	961.5947	42	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	42	1
2_MACS_peak_6347_lociStitched	chr20	37498927	37505365	2	6255	8928.2184	2006.0808	43	PPP1R16B	FAM83D	FAM83D	43	1
1_MACS_peak_462_lociStitched	chr1	143461870	143468912	1	7043	9731.3398	3861.1286	44			LOC100130000	44	1
4_MACS_peak_8021_lociStitched	chr4	84133155	84143683	4	5662	9697.3408	2239.3056	45			COQ2	45	1
3_MACS_peak_1618_lociStitched	chr10	105258024	105267957	3	5451	9725.4003	2118.7089	46	NEURL	CALHM2,CALHM1,CALHM3	NEURL	46	1
2_MACS_peak_4890_lociStitched	chr19	2084340	2090843	2	6430	9424.7979	2887.9823	47	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	47	1
1_MACS_peak_2287_lociStitched	chr12	4225022	4229223	1	4202	10000.4805	1568.6534	48			CCND2	48	1
4_MACS_peak_2783_lociStitched	chr12	108953917	108963358	4	7280	7928.5518	2643.48	49	ISCU,SART3	FICD,TMEM119	ISCU	49	1
2_MACS_peak_1085_lociStitched	chr1	234741552	234749467	2	7050	8380.402	2756.7945	50	IRF2BP2	NCRNA00184	IRF2BP2	50	1
2_MACS_peak_3988_lociStitched	chr16	66550007	66559759	2	5893	9488.696	2516.016	51	TK2	CKLF,CMTM1	TK2	51	1
4_MACS_peak_8851_lociStitched	chr5	131791938	131803899	4	7185	8571.2526	3288.0789	52	C5orf56	IRF1	IRF1	52	1
5_MACS_peak_2237_lociStitched	chr11	128588324	128604946	5	6720	9680.6528	3718.3414	53	FLI1		FLI1	53	1
3_MACS_peak_5065_lociStitched	chr19	35695712	35705934	3	5861	9400.1512	2488.0348	54		FXYD5,LSR,FAM187B	FAM187B	54	1
3_MACS_peak_10331_lociStitched	chr7	136037509	136046987	3	4719	10215.3884	2500.2964	55			LUZP6	55	1
4_MACS_peak_5349_lociStitched	chr2	37571544	37586086	4	6121	9423.216	3061.091	56	QPCT	PRKD3	QPCT	56	1
1_MACS_peak_6508_lociStitched	chr21	9963025	9969826	1	6802	8908.6299	3562.3638	57	LOC100132288		LOC100132288	57	1
3_MACS_peak_6021_lociStitched	chr2	202116645	202126805	3	6487	7747	2130.552	58	CASP8		CASP8	58	1
1_MACS_peak_905_lociStitched	chr1	205252527	205258273	1	5747	9002.2582	2497.2116	59		NUAK2	NUAK2	59	1
3_MACS_peak_6966_lociStitched	chr3	13050467	13059019	3	6153	8538.3168	2660.5272	60	IQSEC1	IQSEC1	IQSEC1	60	1
3_MACS_peak_8848_lociStitched	chr5	131755023	131764022	3	6299	8325.8748	2673.6029	61	C5orf56	SLC22A5	C5orf56	61	1
6_MACS_peak_10719_lociStitched	chr8	81046663	81060038	6	6589	7920.675	2723.15	62	TPD52		TPD52	62	1
5_MACS_peak_4240_lociStitched	chr17	32703815	32719053	5	6136	9718.7964	3903.9756	63		CCL13,CCL1	CCL1	63	1
2_MACS_peak_4903_lociStitched	chr19	2595093	2600157	2	4419	9016.452	1674.1584	64	GNG7		GNG7	64	1
5_MACS_peak_3230_lociStitched	chr14	91829969	91842669	5	6094	7599.68	1889.76	65	CCDC88C		CCDC88C	65	1
3_MACS_peak_8471_lociStitched	chr5	32531022	32543616	3	5789	8853.582	2785.7928	66		SUB1	SUB1	66	1
3_MACS_peak_4406_lociStitched	chr17	56412940	56422745	3	5480	8711.7425	2446.3475	67	SUPT4H1	BZRAP1,MIR142	MIR142	67	1
2_MACS_peak_587_lociStitched	chr1	154908278	154917401	2	5790	9487.0077	3590.8128	68	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	68	1
3_MACS_peak_6616_lociStitched	chr21	36589601	36600843	3	3953	10398.85	3173.6166	69			RUNX1	69	1
2_MACS_peak_545_lociStitched	chr1	150533177	150540912	2	5817	8660.106	3219.307	70	ADAMTSL4	MIR4257,MCL1	MIR4257	70	1
3_MACS_peak_2788_lociStitched	chr12	109024328	109030639	3	5911	7178.1314	1972.1875	72	SELPLG	TMEM119	SELPLG	72	1
1_MACS_peak_7701_lociStitched	chr3	193818426	193822448	1	4023	8978.7128	1976.0086	73		HES1	HES1	73	1
2_MACS_peak_4619_lociStitched	chr18	9061115	9067690	2	4891	8213.49	2009.32	74		NDUFV2	NDUFV2	74	1
2_MACS_peak_5505_lociStitched	chr2	67690165	67693417	2	3221	8184.9588	798.6912	75			ETAA1	75	1
2_MACS_peak_484_lociStitched	chr1	145188660	145197001	2	6007	9359.4361	4622.5822	76		NOTCH2NL	NOTCH2NL	76	1
3_MACS_peak_5609_lociStitched	chr2	97191665	97205147	3	5520	8466.696	3079.2888	77	ARID5A	NEURL3	ARID5A	77	1
2_MACS_peak_8317_lociStitched	chr4	185201396	185210391	2	6211	6696.7775	2314.4135	78			ENPP6	78	1
3_MACS_peak_5929_lociStitched	chr2	182169585	182179501	3	5734	7133.5704	2064.5112	79			ITGA4	79	1
2_MACS_peak_4430_lociStitched	chr17	62151058	62160397	2	5428	8064.2265	2650.4082	80	ERN1		ERN1	80	1
3_MACS_peak_7676_lociStitched	chr3	186711502	186719230	3	6345	7124.4432	3095.8368	81	ST6GAL1	ST6GAL1	ST6GAL1	81	1
2_MACS_peak_10804_lociStitched	chr8	118450864	118456278	2	3230	8593.6422	1486.143	82			MED30	82	1
5_MACS_peak_9215_lociStitched	chr6	26020488	26034306	5	6229	6364.5708	2499.6762	83	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	83	1
1_MACS_peak_7615_lociStitched	chr3	177075056	177079030	1	3975	7949.5896	1459.2528	84			TBL1XR1	84	1
3_MACS_peak_7621_lociStitched	chr3	178231107	178240748	3	5172	8056.9837	2686.9467	85		KCNMB2	KCNMB2	85	1
1_MACS_peak_3062_lociStitched	chr13	114829410	114834233	1	4824	7082.0932	1348.5108	86	RASA3		RASA3	86	1
2_MACS_peak_779_lociStitched	chr1	183809849	183815049	2	4394	7980.96	1852.24	87	RGL1		APOBEC4	87	1
4_MACS_peak_11577_lociStitched	chrX	58150650	58159546	4	4668	6707.584	834.4448	88			ZXDA	88	1
2_MACS_peak_881_lociStitched	chr1	203255860	203260753	2	4180	8357.7333	2157.813	89		BTG2,LOC730227	LOC730227	89	1
1_MACS_peak_2156_lociStitched	chr11	115091959	115095788	1	3830	7614.3494	1200.3915	92	CADM1		CADM1	92	1
3_MACS_peak_2138_lociStitched	chr11	111241517	111250922	3	5543	6950.295	2291.058	93	POU2AF1		POU2AF1	93	1
2_MACS_peak_4303_lociStitched	chr17	38477137	38483389	2	4106	7887.5232	1724.9268	94	RARA	CDC6,RARA,GJD3	RARA	94	1
1_MACS_peak_4905_lociStitched	chr19	2607510	2611842	1	4333	7635.15	1666.0872	95	GNG7		GNG7	95	1
3_MACS_peak_8051_lociStitched	chr4	90211581	90221110	3	5257	7436.4316	2446.0943	96	GPRIN3		GPRIN3	96	1
3_MACS_peak_2020_lociStitched	chr11	71414505	71426498	3	5724	7493.2264	3180.5436	97			FAM86C	97	1
2_MACS_peak_4288_lociStitched	chr17	37909767	37914924	2	4779	6856.2315	1344.4299	98		GRB7,C17orf37	GRB7	98	1
2_MACS_peak_9878_lociStitched	chr7	26003038	26009081	2	4375	7806.3474	1920.4654	99		MIR148A	MIR148A	99	1
4_MACS_peak_4537_lociStitched	chr17	76713591	76725667	4	5916	6458.2448	2522.6764	100	CYTH1		CYTH1	100	1
3_MACS_peak_7387_lociStitched	chr3	124502846	124511534	3	4794	7394.3568	1937.424	101	ITGB5		UMPS	101	1
1_MACS_peak_3872_lociStitched	chr16	23345096	23349013	1	3918	7647.9425	1416.3872	102	SCNN1B		SCNN1B	102	1
2_MACS_peak_6305_lociStitched	chr20	30293053	30297642	2	4524	7130.8471	1460.6787	103	BCL2L1	TPX2	BCL2L1	103	1
1_MACS_peak_5019_lociStitched	chr19	16694711	16700115	1	5405	6369.6948	1729.8204	104	MED26	CHERP,SLC35E1	SLC35E1	104	1
3_MACS_peak_4899_lociStitched	chr19	2468852	2479766	3	5797	6366.1362	2479.6608	105	GADD45B	TIMM13,LMNB2	GADD45B	105	1
1_MACS_peak_1061_lociStitched	chr1	230257710	230260816	1	3107	8210.0898	1602.696	106	GALNT2		GALNT2	106	1
4_MACS_peak_300_lociStitched	chr1	66736691	66749025	4	4930	7767.9532	2693.7456	107	PDE4B	PDE4B	PDE4B	107	1
2_MACS_peak_883_lociStitched	chr1	203267605	203276486	2	5456	7195.3862	2828.5985	108	BTG2,LOC730227	FMOD	LOC730227	108	1
2_MACS_peak_3964_lociStitched	chr16	56944210	56951992	2	4870	7055.1612	1965.7332	109	SLC12A3	HERPUD1,CETP	HERPUD1	109	1
2_MACS_peak_3612_lociStitched	chr15	75334714	75340282	2	3945	7495.0848	1640.3328	110	PPCDC	SCAMP5	PPCDC	110	1
3_MACS_peak_4906_lociStitched	chr19	2620229	2632090	3	5436	7620.6925	3534.578	111	GNG7		GNG7	111	1
2_MACS_peak_5488_lociStitched	chr2	65159033	65167360	2	5290	6520.041	2371.5296	113	LOC400958	SLC1A4	LOC400958	113	1
2_MACS_peak_7611_lociStitched	chr3	176914536	176920241	2	5683	5155.038	1709.218	114	TBL1XR1		TBL1XR1	114	1
1_MACS_peak_6752_lociStitched	chr22	24185755	24190961	1	5207	6030.1098	1774.2048	115		SLC2A11,MIF,DERL3	DERL3	115	1
3_MACS_peak_1610_lociStitched	chr10	104531777	104542302	3	4487	7749.5575	2604.9375	116	C10orf26		C10orf26	116	1
3_MACS_peak_4123_lociStitched	chr17	4275476	4281056	3	4929	6079.968	1536.174	117		UBE2G1	UBE2G1	117	1
2_MACS_peak_5279_lociStitched	chr2	20406444	20414528	2	4912	6435.6724	1991.8976	118	SDC1		SDC1	118	1
3_MACS_peak_2752_lociStitched	chr12	102872111	102878693	3	5221	5492.0208	1504.6452	119	IGF1		IGF1	119	1
4_MACS_peak_8673_lociStitched	chr5	88121096	88129717	4	4861	6563.1673	2062.1432	120	MEF2C	MEF2C	MEF2C	120	1
1_MACS_peak_4659_lociStitched	chr18	13610420	13614217	1	3798	6419.9676	843.6934	121	C18orf1	C18orf1	C18orf1	121	1
2_MACS_peak_6654_lociStitched	chr21	41325408	41332454	2	5644	5559.294	2541.4922	122			PCP4	122	1
2_MACS_peak_3372_lociStitched	chr15	31555009	31559552	2	3932	6708.6481	1350.1796	123			KLF13	123	1
2_MACS_peak_4238_lociStitched	chr17	32691621	32699102	2	3972	6930.3984	1636.0947	124		CCL8,CCL13,CCL1	CCL1	124	1
2_MACS_peak_6762_lociStitched	chr22	27005567	27011854	2	3117	7546.2861	1617.6451	126	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	126	1
1_MACS_peak_11561_lociStitched	chrX	48794002	48798159	1	4158	5956.981	857.1734	127	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	127	1
2_MACS_peak_620_lociStitched	chr1	156469880	156476042	2	4377	6945.1902	2079.675	128	MEF2D		MEF2D	128	1
3_MACS_peak_920_lociStitched	chr1	206729899	206737461	3	5229	6429.9686	2722.32	129	RASSF5	LGTN	RASSF5	129	1
2_MACS_peak_1408_lociStitched	chr10	63804672	63811579	2	4634	6118.2206	1560.2913	130	ARID5B		ARID5B	130	1
3_MACS_peak_10850_lociStitched	chr8	126296445	126307814	3	4496	7385.3024	2722.8755	131	NSMCE2		TRIB1	131	1
1_MACS_peak_11207_lociStitched	chr9	93953302	93957001	1	3700	6323.8104	934.3674	132			LOC100129316	132	1
3_MACS_peak_6754_lociStitched	chr22	24823008	24831340	3	4195	6649.7692	1785.5476	134	ADORA2A,C22orf45		ADORA2A	134	1
1_MACS_peak_6682_lociStitched	chr21	44581907	44586511	1	4605	6376.54	2022.0768	135		CRYAA	CRYAA	135	1
2_MACS_peak_10401_lociStitched	chr7	150074895	150081411	2	5610	4621.1472	2074.6944	136	ZNF775	C7orf29,REPIN1,LOC728743,LOC285972,RARRES2	ZNF775	136	1
1_MACS_peak_8323_lociStitched	chr4	185303111	185306880	1	3770	6295.3607	1079.4416	137			IRF2	137	1
2_MACS_peak_6673_lociStitched	chr21	43647766	43655831	2	4706	6808.473	2627.577	138	ABCG1		ABCG1	138	1
3_MACS_peak_7432_lociStitched	chr3	133193611	133199932	3	4696	6065.6316	1943.7075	139	BFSP2		BFSP2	139	1
3_MACS_peak_8927_lociStitched	chr5	148205375	148214859	3	4963	5909.4804	2233.482	140	ADRB2		ADRB2	140	1
3_MACS_peak_7702_lociStitched	chr3	193848368	193855752	3	3528	7161.0032	1852.6456	141	HES1		HES1	141	1
2_MACS_peak_3283_lociStitched	chr14	106161709	106168051	2	3859	5873.9604	882.8064	143			TMEM121	143	1
4_MACS_peak_4178_lociStitched	chr17	16872538	16883061	4	5019	5741.3488	2225.6145	144	TNFRSF13B		TNFRSF13B	144	1
2_MACS_peak_940_lociStitched	chr1	209276115	209282091	2	3624	7075.584	1894.392	145			LOC642587	145	1
2_MACS_peak_8406_lociStitched	chr5	6480322	6486154	2	4628	5728.7736	1637.6256	146	UBE2QL1		UBE2QL1	146	1
2_MACS_peak_9622_lociStitched	chr6	130004414	130009101	2	3106	6663.9766	1191.4354	148	ARHGAP18		ARHGAP18	148	1
2_MACS_peak_820_lociStitched	chr1	192544148	192550318	2	3766	7257.771	2322.388	149	RGS1		RGS1	149	1
1_MACS_peak_6036_lociStitched	chr2	204569545	204572916	1	3372	5989.5928	733.5296	150	CD28		CD28	150	1
2_MACS_peak_5082_lociStitched	chr19	39888171	39895568	2	4502	5770.3997	1666.5441	151	MED29	ZFP36,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	151	1
1_MACS_peak_8207_lociStitched	chr4	144277366	144281025	1	3660	5915.5053	939.6312	152	GAB1		GAB1	152	1
2_MACS_peak_7729_lociStitched	chr3	197456612	197464682	2	4731	6272.811	2549.313	153	KIAA0226	FYTTD1	KIAA0226	153	1
2_MACS_peak_6945_lociStitched	chr3	5235984	5241782	2	4790	4971.2052	1435.005	154	EDEM1		EDEM1	154	1
2_MACS_peak_150_lociStitched	chr1	31215996	31221503	2	5010	4609.9097	1499.0054	155	LAPTM5	LOC100129196,MATN1	LAPTM5	155	1
3_MACS_peak_1167_lociStitched	chr10	3847073	3854262	3	3766	6200.5125	1446.4268	156		KLF6	KLF6	156	1
2_MACS_peak_431_lociStitched	chr1	118172089	118177019	2	4919	4097.323	899.725	157		FAM46C	FAM46C	157	1
2_MACS_peak_6489_lociStitched	chr20	60911936	60915998	2	3569	5675.4264	779.4978	158	LAMA5	ADRM1,RPS21	LAMA5	158	1
2_MACS_peak_3695_lociStitched	chr15	90639453	90645725	2	4623	5540.0576	1942.4384	160	IDH2		IDH2	160	1
1_MACS_peak_4182_lociStitched	chr17	16890600	16893944	1	3345	6278.6944	1271.7232	161		TNFRSF13B	TNFRSF13B	161	1
2_MACS_peak_8630_lociStitched	chr5	76032552	76035730	2	2949	5981.3138	722.0416	163		NCRUPAR,F2R	F2R	163	1
3_MACS_peak_6465_lociStitched	chr20	56048016	56056954	3	4564	5706.0192	2106.6866	164		CTCFL	CTCFL	164	1
2_MACS_peak_1637_lociStitched	chr10	112217543	112221918	2	4250	5184.375	1176.875	166		DUSP5	DUSP5	166	1
3_MACS_peak_7413_lociStitched	chr3	129027298	129033642	3	4252	6033.144	2060.5312	167	H1FX	C3orf37,C3orf47	C3orf47	167	1
1_MACS_peak_6670_lociStitched	chr21	43480988	43485274	1	4287	6144.8382	2243.721	168	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	168	1
3_MACS_peak_6832_lociStitched	chr22	38782656	38791803	3	4341	5531.1909	1730.6124	169	LOC400927	KCNJ4	LOC400927	169	1
1_MACS_peak_782_lociStitched	chr1	183879467	183882443	1	2977	6264.7776	1121.0592	170	RGL1		GLT25D2	170	1
2_MACS_peak_11128_lociStitched	chr9	73028414	73036403	2	4548	5002.7118	1515.5133	171	KLF9		KLF9	171	1
3_MACS_peak_11210_lociStitched	chr9	94181308	94192336	3	4503	5935.2696	2455.9356	172	NFIL3		NFIL3	172	1
1_MACS_peak_6744_lociStitched	chr22	23235510	23240178	1	4669	4349.1756	1181.4708	173	IGLL5		IGLL5	173	1
3_MACS_peak_3650_lociStitched	chr15	81585806	81595524	3	4420	6166.071	2598.5932	174	IL16	STARD5	IL16	174	1
3_MACS_peak_9374_lociStitched	chr6	52254372	52263283	3	3596	6421.2666	1917.6472	176	PAQR8	EFHC1	EFHC1	176	1
1_MACS_peak_6512_lociStitched	chr21	11167699	11172494	1	4796	5508.0165	2671.774	177			BAGE	177	1
2_MACS_peak_10277_lociStitched	chr7	122824035	122832263	2	3773	6416.1944	2111.3048	178	SLC13A1		SLC13A1	178	1
2_MACS_peak_817_lociStitched	chr1	192507245	192514993	2	3716	6698.9208	2342.9952	179		RGS1	RGS1	179	1
4_MACS_peak_1498_lociStitched	chr10	81003351	81015638	4	4389	5986.2264	2515.1489	180	ZMIZ1		PPIF	180	1
2_MACS_peak_6525_lociStitched	chr21	19152289	19157810	2	3711	5778.2786	1460.3045	182		C21orf91	C21orf91	182	1
1_MACS_peak_1000_lociStitched	chr1	221949312	221952404	1	3093	5907.8844	1069.832	183		DUSP10	DUSP10	183	1
2_MACS_peak_582_lociStitched	chr1	154757114	154765501	2	4006	6639.9879	2702.2914	184	KCNN3		KCNN3	184	1
3_MACS_peak_3575_lociStitched	chr15	70047398	70053959	3	3853	5772.3678	1706.5161	186			C15orf50	186	1
3_MACS_peak_1830_lociStitched	chr11	22689380	22697170	3	3673	5664.109	1410.769	187	GAS2	FANCF	GAS2	187	1
3_MACS_peak_10183_lociStitched	chr7	104596725	104603987	3	3603	6015.8408	1700.0342	188		LOC723809	LOC723809	188	1
1_MACS_peak_534_lociStitched	chr1	149855922	149860626	1	4705	5095.3728	2360.4672	190	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	190	1
2_MACS_peak_4894_lociStitched	chr19	2255274	2261077	2	4748	4726.5435	2083.277	191	JSRP1	SF3A2,AMH,MIR4321,OAZ1,MIR1227,PLEKHJ1,C19orf35,LINGO3	JSRP1	191	1
1_MACS_peak_6363_lociStitched	chr20	42378938	42382197	1	3260	5879.5619	1263.8402	192		GTSF1L	GTSF1L	192	1
2_MACS_peak_3822_lociStitched	chr16	12057547	12064757	2	4368	5408.942	2082.248	193	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	193	1
1_MACS_peak_5571_lociStitched	chr2	86262721	86266382	1	3662	5494.4288	1272.1975	194	POLR1A	LOC90784	LOC90784	194	1
3_MACS_peak_2700_lociStitched	chr12	92855351	92865881	3	3876	6137.937	2195.505	196		CLLU1,CLLU1OS	CLLU1OS	196	1
1_MACS_peak_10306_lociStitched	chr7	129588448	129593081	1	4634	4450.4598	1670.1965	197	UBE2H		UBE2H	197	1
2_MACS_peak_2173_lociStitched	chr11	117878417	117883157	2	3092	5902.248	1208.7	198		IL10RA	IL10RA	198	1
2_MACS_peak_4138_lociStitched	chr17	6064099	6070628	2	3485	5865.6536	1544.1085	199			WSCD1	199	1
4_MACS_peak_1735_lociStitched	chr11	2793556	2805236	4	4346	5386.816	2143.28	200	KCNQ1		KCNQ1OT1	200	1
2_MACS_peak_10310_lociStitched	chr7	130790775	130795491	2	4348	4847.1048	1621.3608	202	MKLN1,FLJ43663		FLJ43663	202	1
2_MACS_peak_488_lociStitched	chr1	145395042	145399913	2	4697	4312.7834	1748.2019	203		HFE2,TXNIP	HFE2	203	1
2_MACS_peak_6102_lociStitched	chr2	219757122	219762403	2	2993	5862.9662	1133.8307	204	WNT10A	WNT6	WNT10A	204	1
1_MACS_peak_464_lociStitched	chr1	143742537	143746041	1	3505	5428.0464	1200.12	207	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	207	1
2_MACS_peak_825_lociStitched	chr1	192774815	192780413	2	4347	5035.401	1941.3864	208	RGS2		RGS2	208	1
1_MACS_peak_10187_lociStitched	chr7	104651820	104655724	1	3905	4926.848	1193.4528	209	MLL5,LOC100216545		LOC100216545	209	1
2_MACS_peak_88_lociStitched	chr1	21616931	21622193	2	3967	4794.2082	1152.9042	211	ECE1	ECE1	ECE1	211	1
2_MACS_peak_4117_lociStitched	chr17	3814103	3820212	2	4449	4469.9553	1624.3831	213	P2RX1	CAMKK1,ATP2A3	P2RX1	213	1
2_MACS_peak_6491_lociStitched	chr20	61277971	61284085	2	3163	5841.927	1407.4428	214	SLCO4A1	LOC100127888	SLCO4A1	214	1
2_MACS_peak_5966_lociStitched	chr2	192540143	192544559	2	4101	4353.7344	1001.1072	217	OBFC2A		OBFC2A	217	1
2_MACS_peak_11320_lociStitched	chr9	117210619	117215819	2	3195	5814.12	1436.24	218	DFNB31		DFNB31	218	1
3_MACS_peak_4502_lociStitched	chr17	75079137	75086261	3	4341	4609.9404	1664.1664	219	C17orf86,SCARNA16		C17orf86	219	1
2_MACS_peak_6657_lociStitched	chr21	41385074	41389369	2	4094	5074.972	1734.321	220	DSCAM		PCP4	220	1
2_MACS_peak_9538_lociStitched	chr6	106610762	106616085	2	4018	5244.7519	1796.5125	221			PRDM1	221	1
3_MACS_peak_6872_lociStitched	chr22	42928898	42936047	3	3638	6251.8005	2342.0124	222		SERHL,SERHL2,RRP7A,RRP7B	RRP7A	222	1
