#33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49_ROSE/33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam
#Using cutoff of 2411.212 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuper
2_MACS_peak_885_lociStitched	chr1	203288799	203297610	2	7356	10408.4343	3563.1684	50	1
3_MACS_peak_5253_lociStitched	chr2	11883911	11895221	3	7472	9595.404	2750.592	51	1
1_MACS_peak_10842_lociStitched	chr8	125769170	125770524	1	1355	7086.4298	401.0548	52	1
4_MACS_peak_2554_lociStitched	chr12	53591152	53600340	4	7693	9170.5428	2518.4308	53	1
1_MACS_peak_1061_lociStitched	chr1	230257710	230260816	1	3107	8210.0898	1602.696	54	1
2_MACS_peak_6772_lociStitched	chr22	29187595	29198834	2	6850	8943.9962	2374.8007	55	1
2_MACS_peak_4890_lociStitched	chr19	2084340	2090843	2	6430	9424.7979	2887.9823	56	1
1_MACS_peak_900_lociStitched	chr1	204532667	204535378	1	2712	7622.7898	1107.1724	57	1
1_MACS_peak_905_lociStitched	chr1	205252527	205258273	1	5747	9002.2582	2497.2116	58	1
1_MACS_peak_7615_lociStitched	chr3	177075056	177079030	1	3975	7949.5896	1459.2528	59	1
1_MACS_peak_2156_lociStitched	chr11	115091959	115095788	1	3830	7614.3494	1200.3915	60	1
4_MACS_peak_610_lociStitched	chr1	156119064	156132117	4	9116	11396.5743	5003.2149	61	1
4_MACS_peak_5349_lociStitched	chr2	37571544	37586086	4	6121	9423.216	3061.091	62	1
3_MACS_peak_4406_lociStitched	chr17	56412940	56422745	3	5480	8711.7425	2446.3475	63	1
1_MACS_peak_3872_lociStitched	chr16	23345096	23349013	1	3918	7647.9425	1416.3872	64	1
2_MACS_peak_4619_lociStitched	chr18	9061115	9067690	2	4891	8213.49	2009.32	65	1
2_MACS_peak_881_lociStitched	chr1	203255860	203260753	2	4180	8357.7333	2157.813	66	1
2_MACS_peak_4303_lociStitched	chr17	38477137	38483389	2	4106	7887.5232	1724.9268	67	1
2_MACS_peak_779_lociStitched	chr1	183809849	183815049	2	4394	7980.96	1852.24	68	1
3_MACS_peak_8471_lociStitched	chr5	32531022	32543616	3	5789	8853.582	2785.7928	69	1
2_MACS_peak_1093_lociStitched	chr1	235146931	235152083	2	2754	7292.1408	1273.0592	70	1
1_MACS_peak_4905_lociStitched	chr19	2607510	2611842	1	4333	7635.15	1666.0872	71	1
1_MACS_peak_7421_lociStitched	chr3	130567576	130570054	1	2479	6666.8112	700.5306	72	1
5_MACS_peak_2237_lociStitched	chr11	128588324	128604946	5	6720	9680.6528	3718.3414	73	1
2_MACS_peak_6762_lociStitched	chr22	27005567	27011854	2	3117	7546.2861	1617.6451	74	1
2_MACS_peak_587_lociStitched	chr1	154908278	154917401	2	5790	9487.0077	3590.8128	75	1
2_MACS_peak_9878_lociStitched	chr7	26003038	26009081	2	4375	7806.3474	1920.4654	76	1
3_MACS_peak_6966_lociStitched	chr3	13050467	13059019	3	6153	8538.3168	2660.5272	77	1
4_MACS_peak_11577_lociStitched	chrX	58150650	58159546	4	4668	6707.584	834.4448	78	1
1_MACS_peak_462_lociStitched	chr1	143461870	143468912	1	7043	9731.3398	3861.1286	79	1
2_MACS_peak_7869_lociStitched	chr4	40197102	40208001	2	8043	8761.7061	2899.134	80	1
2_MACS_peak_3612_lociStitched	chr15	75334714	75340282	2	3945	7495.0848	1640.3328	81	1
1_MACS_peak_9356_lociStitched	chr6	45677163	45679005	1	1843	6291.7194	462.5262	82	1
5_MACS_peak_4240_lociStitched	chr17	32703815	32719053	5	6136	9718.7964	3903.9756	83	1
3_MACS_peak_4508_lociStitched	chr17	75135754	75144273	3	7594	7844.2952	2099.9335	84	1
1_MACS_peak_3062_lociStitched	chr13	114829410	114834233	1	4824	7082.0932	1348.5108	85	1
5_MACS_peak_3230_lociStitched	chr14	91829969	91842669	5	6094	7599.68	1889.76	86	1
2_MACS_peak_6305_lociStitched	chr20	30293053	30297642	2	4524	7130.8471	1460.6787	87	1
3_MACS_peak_8848_lociStitched	chr5	131755023	131764022	3	6299	8325.8748	2673.6029	88	1
2_MACS_peak_1085_lociStitched	chr1	234741552	234749467	2	7050	8380.402	2756.7945	89	1
3_MACS_peak_6021_lociStitched	chr2	202116645	202126805	3	6487	7747	2130.552	90	1
1_MACS_peak_1243_lociStitched	chr10	15828699	15831252	1	2554	6346.5027	738.0723	91	1
1_MACS_peak_4659_lociStitched	chr18	13610420	13614217	1	3798	6419.9676	843.6934	92	1
2_MACS_peak_4288_lociStitched	chr17	37909767	37914924	2	4779	6856.2315	1344.4299	93	1
2_MACS_peak_9622_lociStitched	chr6	130004414	130009101	2	3106	6663.9766	1191.4354	94	1
1_MACS_peak_11225_lociStitched	chr9	97622284	97624279	1	1996	6071.7825	601.692	95	1
3_MACS_peak_7387_lociStitched	chr3	124502846	124511534	3	4794	7394.3568	1937.424	96	1
2_MACS_peak_545_lociStitched	chr1	150533177	150540912	2	5817	8660.106	3219.307	97	1
2_MACS_peak_4430_lociStitched	chr17	62151058	62160397	2	5428	8064.2265	2650.4082	98	1
1_MACS_peak_11207_lociStitched	chr9	93953302	93957001	1	3700	6323.8104	934.3674	99	1
3_MACS_peak_5609_lociStitched	chr2	97191665	97205147	3	5520	8466.696	3079.2888	100	1
3_MACS_peak_7621_lociStitched	chr3	178231107	178240748	3	5172	8056.9837	2686.9467	101	1
1_MACS_peak_10570_lociStitched	chr8	33411077	33413400	1	2324	6088.8153	726.8667	102	1
2_MACS_peak_3372_lociStitched	chr15	31555009	31559552	2	3932	6708.6481	1350.1796	103	1
1_MACS_peak_6508_lociStitched	chr21	9963025	9969826	1	6802	8908.6299	3562.3638	104	1
2_MACS_peak_6684_lociStitched	chr21	44726366	44733123	2	2835	7374.5898	2033.857	105	1
3_MACS_peak_7702_lociStitched	chr3	193848368	193855752	3	3528	7161.0032	1852.6456	106	1
1_MACS_peak_6045_lociStitched	chr2	204891040	204892889	1	1850	5722.8399	420.8324	107	1
2_MACS_peak_4238_lociStitched	chr17	32691621	32699102	2	3972	6930.3984	1636.0947	108	1
4_MACS_peak_2783_lociStitched	chr12	108953917	108963358	4	7280	7928.5518	2643.48	109	1
4_MACS_peak_8851_lociStitched	chr5	131791938	131803899	4	7185	8571.2526	3288.0789	110	1
2_MACS_peak_8630_lociStitched	chr5	76032552	76035730	2	2949	5981.3138	722.0416	111	1
1_MACS_peak_6036_lociStitched	chr2	204569545	204572916	1	3372	5989.5928	733.5296	112	1
1_MACS_peak_8323_lociStitched	chr4	185303111	185306880	1	3770	6295.3607	1079.4416	113	1
3_MACS_peak_2788_lociStitched	chr12	109024328	109030639	3	5911	7178.1314	1972.1875	114	1
6_MACS_peak_10719_lociStitched	chr8	81046663	81060038	6	6589	7920.675	2723.15	115	1
1_MACS_peak_10892_lociStitched	chr8	134246014	134248295	1	2282	5919.6512	729.4638	116	1
1_MACS_peak_1009_lociStitched	chr1	223421317	223423797	1	2481	6134.528	951.824	117	1
2_MACS_peak_940_lociStitched	chr1	209276115	209282091	2	3624	7075.584	1894.392	118	1
1_MACS_peak_5806_lociStitched	chr2	146168560	146170362	1	1803	5542.4114	388.6914	119	1
3_MACS_peak_1610_lociStitched	chr10	104531777	104542302	3	4487	7749.5575	2604.9375	120	1
1_MACS_peak_782_lociStitched	chr1	183879467	183882443	1	2977	6264.7776	1121.0592	121	1
1_MACS_peak_11561_lociStitched	chrX	48794002	48798159	1	4158	5956.981	857.1734	122	1
1_MACS_peak_4673_lociStitched	chr18	20821364	20822982	1	1619	5443.5992	346.252	123	1
2_MACS_peak_3964_lociStitched	chr16	56944210	56951992	2	4870	7055.1612	1965.7332	124	1
4_MACS_peak_300_lociStitched	chr1	66736691	66749025	4	4930	7767.9532	2693.7456	125	1
3_MACS_peak_5929_lociStitched	chr2	182169585	182179501	3	5734	7133.5704	2064.5112	126	1
1_MACS_peak_4182_lociStitched	chr17	16890600	16893944	1	3345	6278.6944	1271.7232	127	1
2_MACS_peak_3283_lociStitched	chr14	106161709	106168051	2	3859	5873.9604	882.8064	128	1
3_MACS_peak_8051_lociStitched	chr4	90211581	90221110	3	5257	7436.4316	2446.0943	129	1
1_MACS_peak_8207_lociStitched	chr4	144277366	144281025	1	3660	5915.5053	939.6312	130	1
2_MACS_peak_5103_lociStitched	chr19	42040697	42047358	2	2426	6555.0901	1611.2959	131	1
2_MACS_peak_820_lociStitched	chr1	192544148	192550318	2	3766	7257.771	2322.388	132	1
1_MACS_peak_6370_lociStitched	chr20	42696941	42699443	1	2503	5605.4808	693.5544	133	1
1_MACS_peak_10321_lociStitched	chr7	133929283	133931966	1	2684	5705.9361	805.1683	134	1
2_MACS_peak_6489_lociStitched	chr20	60911936	60915998	2	3569	5675.4264	779.4978	135	1
1_MACS_peak_7576_lociStitched	chr3	169974352	169977224	1	2873	5955.092	1082.4568	136	1
2_MACS_peak_620_lociStitched	chr1	156469880	156476042	2	4377	6945.1902	2079.675	137	1
3_MACS_peak_6754_lociStitched	chr22	24823008	24831340	3	4195	6649.7692	1785.5476	138	1
1_MACS_peak_6359_lociStitched	chr20	40721126	40723335	1	2210	5508.5833	648.1206	139	1
1_MACS_peak_810_lociStitched	chr1	187153906	187156246	1	2341	5569.2	718.848	140	1
1_MACS_peak_1000_lociStitched	chr1	221949312	221952404	1	3093	5907.8844	1069.832	141	1
1_MACS_peak_8833_lociStitched	chr5	129659184	129661419	1	2236	5436.414	609.9315	142	1
1_MACS_peak_8809_lociStitched	chr5	123984870	123986636	1	1767	5247.8456	428.6082	143	1
1_MACS_peak_10554_lociStitched	chr8	29412234	29414631	1	2398	5547.1374	750.0213	144	1
2_MACS_peak_10845_lociStitched	chr8	126163040	126167566	2	2836	5421.6954	666.6798	145	1
3_MACS_peak_1167_lociStitched	chr10	3847073	3854262	3	3766	6200.5125	1446.4268	146	1
2_MACS_peak_484_lociStitched	chr1	145188660	145197001	2	6007	9359.4361	4622.5822	147	1
2_MACS_peak_6102_lociStitched	chr2	219757122	219762403	2	2993	5862.9662	1133.8307	148	1
2_MACS_peak_2173_lociStitched	chr11	117878417	117883157	2	3092	5902.248	1208.7	149	1
3_MACS_peak_10850_lociStitched	chr8	126296445	126307814	3	4496	7385.3024	2722.8755	150	1
2_MACS_peak_9627_lociStitched	chr6	130834245	130839541	2	2773	6072.9232	1412.9728	151	1
3_MACS_peak_2138_lociStitched	chr11	111241517	111250922	3	5543	6950.295	2291.058	152	1
1_MACS_peak_9841_lociStitched	chr7	20258847	20260939	1	2093	5482.9228	830.1056	153	1
1_MACS_peak_10336_lociStitched	chr7	137435396	137437024	1	1629	5057.2192	406.3488	154	1
1_MACS_peak_10312_lociStitched	chr7	130808328	130809939	1	1612	5409.4158	760.7142	155	1
1_MACS_peak_9845_lociStitched	chr7	20434634	20436048	1	1415	4956.07	312.9182	156	1
1_MACS_peak_5019_lociStitched	chr19	16694711	16700115	1	5405	6369.6948	1729.8204	157	1
1_MACS_peak_6363_lociStitched	chr20	42378938	42382197	1	3260	5879.5619	1263.8402	158	1
1_MACS_peak_6322_lociStitched	chr20	32469803	32472558	1	2756	5421.289	822.3675	159	1
1_MACS_peak_2060_lociStitched	chr11	82680131	82681854	1	1724	5052.5252	454.872	160	1
1_MACS_peak_11197_lociStitched	chr9	93685154	93687482	1	2329	5330.8872	752.4096	161	1
2_MACS_peak_1408_lociStitched	chr10	63804672	63811579	2	4634	6118.2206	1560.2913	162	1
1_MACS_peak_6287_lociStitched	chr20	24822735	24824602	1	1868	5104.1913	548.7113	163	1
3_MACS_peak_4123_lociStitched	chr17	4275476	4281056	3	4929	6079.968	1536.174	164	1
1_MACS_peak_10863_lociStitched	chr8	126953845	126955351	1	1507	4943.5956	402.7044	165	1
1_MACS_peak_6626_lociStitched	chr21	37906515	37909073	1	2559	5481.794	946.7158	166	1
1_MACS_peak_9493_lociStitched	chr6	90993779	90996395	1	2617	5391.576	861.4488	167	1
1_MACS_peak_7700_lociStitched	chr3	193801154	193803321	1	2168	5568.9733	1046.661	168	1
3_MACS_peak_9374_lociStitched	chr6	52254372	52263283	3	3596	6421.2666	1917.6472	169	1
4_MACS_peak_8673_lociStitched	chr5	88121096	88129717	4	4861	6563.1673	2062.1432	170	1
2_MACS_peak_9649_lociStitched	chr6	135190967	135195678	2	2909	5776.1571	1284.2186	171	1
1_MACS_peak_6610_lociStitched	chr21	36237150	36239095	1	1946	5230.2995	779.7505	172	1
2_MACS_peak_5279_lociStitched	chr2	20406444	20414528	2	4912	6435.6724	1991.8976	173	1
1_MACS_peak_9483_lociStitched	chr6	90007072	90009477	1	2406	5245.786	810.485	174	1
2_MACS_peak_6491_lociStitched	chr20	61277971	61284085	2	3163	5841.927	1407.4428	175	1
1_MACS_peak_7515_lociStitched	chr3	156534250	156536345	1	2096	5134.007	735.1355	176	1
1_MACS_peak_6851_lociStitched	chr22	39841911	39844436	1	2526	5109.8425	725.685	177	1
2_MACS_peak_8317_lociStitched	chr4	185201396	185210391	2	6211	6696.7775	2314.4135	178	1
2_MACS_peak_11320_lociStitched	chr9	117210619	117215819	2	3195	5814.12	1436.24	179	1
2_MACS_peak_883_lociStitched	chr1	203267605	203276486	2	5456	7195.3862	2828.5985	180	1
1_MACS_peak_5353_lociStitched	chr2	37602575	37605167	1	2593	5127.7536	766.4544	181	1
2_MACS_peak_817_lociStitched	chr1	192507245	192514993	2	3716	6698.9208	2342.9952	182	1
1_MACS_peak_6682_lociStitched	chr21	44581907	44586511	1	4605	6376.54	2022.0768	183	1
1_MACS_peak_8681_lociStitched	chr5	88566176	88568767	1	2592	5215.683	885.6038	184	1
2_MACS_peak_6909_lociStitched	chr22	49228060	49230907	2	2075	4946.3778	620.646	185	1
2_MACS_peak_4138_lociStitched	chr17	6064099	6070628	2	3485	5865.6536	1544.1085	186	1
2_MACS_peak_6525_lociStitched	chr21	19152289	19157810	2	3711	5778.2786	1460.3045	187	1
1_MACS_peak_4090_lociStitched	chr16	90060927	90062837	1	1911	4575.787	259.378	188	1
3_MACS_peak_10183_lociStitched	chr7	104596725	104603987	3	3603	6015.8408	1700.0342	189	1
3_MACS_peak_2020_lociStitched	chr11	71414505	71426498	3	5724	7493.2264	3180.5436	190	1
2_MACS_peak_10277_lociStitched	chr7	122824035	122832263	2	3773	6416.1944	2111.3048	191	1
2_MACS_peak_9551_lociStitched	chr6	108992076	108995412	2	3079	4987.6536	708.2328	192	1
1_MACS_peak_1170_lociStitched	chr10	3915492	3918409	1	2918	5093.6654	815.3015	193	1
1_MACS_peak_6699_lociStitched	chr21	45573201	45576348	1	3148	5495.2914	1238.9739	194	1
1_MACS_peak_6752_lociStitched	chr22	24185755	24190961	1	5207	6030.1098	1774.2048	195	1
2_MACS_peak_4783_lociStitched	chr18	52931188	52936628	2	2896	5448.16	1194.624	196	1
3_MACS_peak_1830_lociStitched	chr11	22689380	22697170	3	3673	5664.109	1410.769	197	1
1_MACS_peak_464_lociStitched	chr1	143742537	143746041	1	3505	5428.0464	1200.12	198	1
1_MACS_peak_5571_lociStitched	chr2	86262721	86266382	1	3662	5494.4288	1272.1975	199	1
2_MACS_peak_5983_lociStitched	chr2	197040342	197043113	2	2647	5096.7003	884.2261	200	1
1_MACS_peak_3399_lociStitched	chr15	34894863	34896167	1	1305	4446.5096	250.1072	201	1
2_MACS_peak_6673_lociStitched	chr21	43647766	43655831	2	4706	6808.473	2627.577	202	1
1_MACS_peak_2033_lociStitched	chr11	72959721	72961602	1	1882	4702.3119	544.1733	203	1
1_MACS_peak_10587_lociStitched	chr8	37738023	37740234	1	2212	4863.0945	705.9723	204	1
2_MACS_peak_5488_lociStitched	chr2	65159033	65167360	2	5290	6520.041	2371.5296	205	1
2_MACS_peak_10659_lociStitched	chr8	60963681	60970132	2	2406	5251.114	1108.9269	206	1
2_MACS_peak_11203_lociStitched	chr9	93909815	93914257	2	3019	5026.123	884.8464	207	1
3_MACS_peak_7432_lociStitched	chr3	133193611	133199932	3	4696	6065.6316	1943.7075	208	1
2_MACS_peak_1676_lociStitched	chr10	125157023	125162947	2	2864	5470.814	1348.8948	209	1
1_MACS_peak_4736_lociStitched	chr18	42338179	42340510	1	2332	4795.3332	676.9224	210	1
1_MACS_peak_11121_lociStitched	chr9	71267513	71268870	1	1358	4486.3777	368.9683	211	1
2_MACS_peak_5082_lociStitched	chr19	39888171	39895568	2	4502	5770.3997	1666.5441	212	1
1_MACS_peak_2249_lociStitched	chr11	129286721	129288713	1	1993	4555.5048	452.3832	213	1
1_MACS_peak_1719_lociStitched	chr11	267477	270317	1	2841	4903.828	806.56	214	1
2_MACS_peak_8406_lociStitched	chr5	6480322	6486154	2	4628	5728.7736	1637.6256	215	1
3_MACS_peak_4906_lociStitched	chr19	2620229	2632090	3	5436	7620.6925	3534.578	216	1
1_MACS_peak_2032_lociStitched	chr11	72863244	72865963	1	2720	4907.5231	824.9446	217	1
1_MACS_peak_10198_lociStitched	chr7	105985610	105988402	1	2793	4979.8112	898.7448	218	1
2_MACS_peak_5014_lociStitched	chr19	16476957	16483499	2	3438	5492.6632	1420.9224	219	1
3_MACS_peak_3575_lociStitched	chr15	70047398	70053959	3	3853	5772.3678	1706.5161	220	1
2_MACS_peak_6461_lociStitched	chr20	55967303	55974157	2	3342	5596.291	1532.5544	221	1
1_MACS_peak_523_lociStitched	chr1	149222203	149225512	1	3310	6822.1653	2763.015	222	1
1_MACS_peak_2975_lociStitched	chr13	78690293	78692956	1	2664	4806.4487	756.8246	223	1
2_MACS_peak_10117_lociStitched	chr7	92438401	92443636	2	2704	5343.888	1309.797	224	1
3_MACS_peak_7676_lociStitched	chr3	186711502	186719230	3	6345	7124.4432	3095.8368	225	1
2_MACS_peak_10002_lociStitched	chr7	52776002	52780396	2	2579	4956.432	928.4522	226	1
2_MACS_peak_548_lociStitched	chr1	150583351	150586812	2	3057	5129.202	1103.3668	227	1
2_MACS_peak_10990_lociStitched	chr9	9606426	9613152	2	2442	5410.3944	1392.282	228	1
2_MACS_peak_10325_lociStitched	chr7	134677264	134681670	2	3043	5398.2312	1383.9246	229	1
2_MACS_peak_1637_lociStitched	chr10	112217543	112221918	2	4250	5184.375	1176.875	230	1
1_MACS_peak_4411_lociStitched	chr17	56697599	56699478	1	1880	4605.429	604.4743	231	1
1_MACS_peak_5060_lociStitched	chr19	29122584	29125194	1	2611	4717.053	719.838	232	1
3_MACS_peak_2752_lociStitched	chr12	102872111	102878693	3	5221	5492.0208	1504.6452	233	1
3_MACS_peak_7413_lociStitched	chr3	129027298	129033642	3	4252	6033.144	2060.5312	234	1
3_MACS_peak_2700_lociStitched	chr12	92855351	92865881	3	3876	6137.937	2195.505	235	1
2_MACS_peak_582_lociStitched	chr1	154757114	154765501	2	4006	6639.9879	2702.2914	236	1
4_MACS_peak_4537_lociStitched	chr17	76713591	76725667	4	5916	6458.2448	2522.6764	237	1
2_MACS_peak_10360_lociStitched	chr7	141016487	141020938	2	2447	5310.043	1391.8277	238	1
2_MACS_peak_11340_lociStitched	chr9	123654139	123660136	2	2863	5127.435	1211.9937	239	1
3_MACS_peak_6872_lociStitched	chr22	42928898	42936047	3	3638	6251.8005	2342.0124	240	1
2_MACS_peak_10861_lociStitched	chr8	126781137	126784600	2	2019	4561.1173	651.3903	241	1
1_MACS_peak_6670_lociStitched	chr21	43480988	43485274	1	4287	6144.8382	2243.721	242	1
3_MACS_peak_4899_lociStitched	chr19	2468852	2479766	3	5797	6366.1362	2479.6608	243	1
1_MACS_peak_7127_lociStitched	chr3	46579334	46581716	1	2383	4779.0066	908.2566	244	1
5_MACS_peak_9215_lociStitched	chr6	26020488	26034306	5	6229	6364.5708	2499.6762	245	1
2_MACS_peak_3684_lociStitched	chr15	89655012	89660374	2	3454	5462.8056	1602.7018	246	1
2_MACS_peak_5875_lociStitched	chr2	166004047	166006843	2	2247	4373.5032	532.0788	247	1
2_MACS_peak_1447_lociStitched	chr10	72335506	72338948	2	2755	4798.148	958.2528	248	1
1_MACS_peak_3080_lociStitched	chr14	23024419	23025999	1	1581	4086.354	252.642	249	1
2_MACS_peak_2308_lociStitched	chr12	7061939	7069180	2	2908	5448.8525	1618.3635	250	1
2_MACS_peak_822_lociStitched	chr1	192573689	192579140	2	2587	5446.6392	1623.8529	251	1
1_MACS_peak_9546_lociStitched	chr6	108917956	108920441	1	2486	4208.8445	386.9145	252	1
1_MACS_peak_1634_lociStitched	chr10	112155006	112156450	1	1445	4297.344	486.7724	253	1
1_MACS_peak_8349_lociStitched	chr4	186508024	186509643	1	1620	4384.7377	574.9069	254	1
1_MACS_peak_1980_lociStitched	chr11	65263911	65267008	1	3098	4681.7349	873.354	255	1
1_MACS_peak_745_lociStitched	chr1	179049606	179053270	1	3665	5058.8848	1252.3552	256	1
1_MACS_peak_1087_lociStitched	chr1	234907146	234909480	1	2335	4545.465	739.4112	257	1
1_MACS_peak_4200_lociStitched	chr17	19208259	19210691	1	2433	4436.6976	631.5904	258	1
3_MACS_peak_6832_lociStitched	chr22	38782656	38791803	3	4341	5531.1909	1730.6124	259	1
1_MACS_peak_3515_lociStitched	chr15	56662672	56664593	1	1922	4207.1821	407.4441	260	1
1_MACS_peak_10562_lociStitched	chr8	29630536	29633469	1	2934	4852.0619	1052.6537	261	1
1_MACS_peak_2618_lociStitched	chr12	68767350	68769135	1	1786	4387.173	598.8675	262	1
1_MACS_peak_7014_lociStitched	chr3	23202988	23205065	1	2078	4472.1964	691.2256	263	1
