REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49.bam	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
2_MACS_peak_139_lociStitched	chr1	28906904	28914041	2	2812	2816.2602	1466.6535
3_MACS_peak_4502_lociStitched	chr17	75079137	75086261	3	4341	4609.9404	1664.1664
3_MACS_peak_3789_lociStitched	chr16	9166301	9173361	3	3294	3380.328	1327.28
2_MACS_peak_6940_lociStitched	chr3	5019374	5026426	2	2582	2758.7424	1070.4936
2_MACS_peak_6654_lociStitched	chr21	41325408	41332454	2	5644	5559.294	2541.4922
1_MACS_peak_462_lociStitched	chr1	143461870	143468912	1	7043	9731.3398	3861.1286
2_MACS_peak_3717_lociStitched	chr15	93346736	93353777	2	3379	3570.4911	1464.528
2_MACS_peak_708_lociStitched	chr1	171220173	171227204	2	3466	5071.460300000001	1764.781
2_MACS_peak_3417_lociStitched	chr15	40225670	40232682	2	2537	3565.602	1148.5656
2_MACS_peak_11296_lociStitched	chr9	112917819	112924831	2	2705	3565.602	1706.7208
3_MACS_peak_3365_lociStitched	chr15	31369147	31376123	3	2978	4303.4944	1224.9856
2_MACS_peak_7983_lociStitched	chr4	78736489	78743439	2	2908	3457.625	1761.13
2_MACS_peak_2246_lociStitched	chr11	129238887	129245823	2	3258	2937.3959999999997	1410.0888
2_MACS_peak_9951_lociStitched	chr7	44672491	44679409	2	3446	5331.0108	2004.8364
2_MACS_peak_482_lociStitched	chr1	145153591	145160506	2	3478	6319.6185000000005	2897.3849999999998
2_MACS_peak_1408_lociStitched	chr10	63804672	63811579	2	4634	6118.220600000001	1560.2912999999999
2_MACS_peak_598_lociStitched	chr1	155435553	155442457	2	2857	4745.8096000000005	2236.2056000000002
2_MACS_peak_3281_lociStitched	chr14	106146495	106153394	2	2484	2903.0992	939.6437999999999
2_MACS_peak_5681_lociStitched	chr2	110395217	110402107	2	2639	3237.611	1443.455
2_MACS_peak_10678_lociStitched	chr8	66858039	66864927	2	2538	3945.4464	1312.164
2_MACS_peak_6461_lociStitched	chr20	55967303	55974157	2	3342	5596.291	1532.5544
2_MACS_peak_2715_lociStitched	chr12	94852943	94859792	2	2430	3611.4777	1345.1435999999999
2_MACS_peak_4756_lociStitched	chr18	46460904	46467705	2	2696	3153.6237	1440.4517999999998
1_MACS_peak_6508_lociStitched	chr21	9963025	9969826	1	6802	8908.6299	3562.3638
2_MACS_peak_9955_lociStitched	chr7	44830572	44837355	2	2817	2868.5307	1111.7337
2_MACS_peak_1977_lociStitched	chr11	65238835	65245595	2	3344	4854.356	1502.748
3_MACS_peak_6085_lociStitched	chr2	217081546	217088303	3	4272	4100.8233	1864.2562999999998
2_MACS_peak_6684_lociStitched	chr21	44726366	44733123	2	2835	7374.5898	2033.857
2_MACS_peak_480_lociStitched	chr1	145138504	145145259	2	3778	4590.698	2520.966
2_MACS_peak_10990_lociStitched	chr9	9606426	9613152	2	2442	5410.3944	1392.282
2_MACS_peak_10911_lociStitched	chr8	137194177	137200901	2	2946	4767.316	1565.3472000000002
3_MACS_peak_7046_lociStitched	chr3	30696442	30703136	3	3552	4328.3404	1472.68
2_MACS_peak_2007_lociStitched	chr11	68033549	68040238	2	2546	2617.4057	1288.3014
2_MACS_peak_10317_lociStitched	chr7	133729925	133736603	2	2362	3927.9995999999996	1614.0726
1_MACS_peak_1205_lociStitched	chr10	11216338	11223001	1	6664	10041.141	1930.9374
2_MACS_peak_5103_lociStitched	chr19	42040697	42047358	2	2426	6555.090099999999	1611.2959
3_MACS_peak_9042_lociStitched	chr5	175077558	175084217	3	3019	4568.0740000000005	1454.3256000000001
2_MACS_peak_6366_lociStitched	chr20	42578246	42584895	2	2735	3942.857	1434.8542
2_MACS_peak_7274_lociStitched	chr3	98488505	98495130	2	3013	4872.6875	1419.7375
2_MACS_peak_5522_lociStitched	chr2	69059037	69065659	2	2555	3110.3534	1366.7808
2_MACS_peak_3534_lociStitched	chr15	63766089	63772705	2	2857	3238.532	1241.1616
3_MACS_peak_2258_lociStitched	chr11	130670848	130677452	3	3630	4417.4156	1116.7364
3_MACS_peak_2752_lociStitched	chr12	102872111	102878693	3	5221	5492.0208	1504.6452
2_MACS_peak_2524_lociStitched	chr12	48201598	48208178	2	3261	3997.3500000000004	2001.6360000000002
2_MACS_peak_4619_lociStitched	chr18	9061115	9067690	2	4891	8213.49	2009.32
2_MACS_peak_5569_lociStitched	chr2	86220673	86227245	2	2802	4773.9008	1595.0244
2_MACS_peak_8440_lociStitched	chr5	15441365	15447936	2	2201	4178.4989000000005	1380.5671
2_MACS_peak_10556_lociStitched	chr8	29466701	29473271	2	2666	4345.398	1222.02
3_MACS_peak_3575_lociStitched	chr15	70047398	70053959	3	3853	5772.3678	1706.5161
2_MACS_peak_5889_lociStitched	chr2	169346208	169352769	2	2759	3620.3597999999997	1441.4517
3_MACS_peak_2729_lociStitched	chr12	96894598	96901153	3	3193	3770.436	1151.7135
2_MACS_peak_3301_lociStitched	chr15	20988638	20995193	2	2302	3524.6234999999997	1167.4455
2_MACS_peak_10834_lociStitched	chr8	124553311	124559859	2	2192	3463.2372	1044.406
2_MACS_peak_143_lociStitched	chr1	28969269	28975815	2	3225	3363.3348	1173.6978
2_MACS_peak_5014_lociStitched	chr19	16476957	16483499	2	3438	5492.6632	1420.9224
2_MACS_peak_4138_lociStitched	chr17	6064099	6070628	2	3485	5865.6536	1544.1084999999998
3_MACS_peak_6310_lociStitched	chr20	31255266	31261790	3	3583	3637.7824	1228.4692
2_MACS_peak_10401_lociStitched	chr7	150074895	150081411	2	5610	4621.1472	2074.6944000000003
2_MACS_peak_10422_lociStitched	chr7	155533158	155539671	2	3364	5226.0312	1617.8292000000001
2_MACS_peak_912_lociStitched	chr1	206132626	206139138	2	5638	4015.2992000000004	2064.304
2_MACS_peak_3510_lociStitched	chr15	55694655	55701161	2	3198	3330.4214	1189.9474
2_MACS_peak_4890_lociStitched	chr19	2084340	2090843	2	6430	9424.7979	2887.9823
2_MACS_peak_4358_lociStitched	chr17	46582838	46589300	2	2318	3813.8723999999997	1248.4584
3_MACS_peak_9350_lociStitched	chr6	45388066	45394528	3	3268	3676.8779999999997	1166.3909999999998
2_MACS_peak_7408_lociStitched	chr3	128901644	128908104	2	3323	3098.2160000000003	1175.72
2_MACS_peak_10659_lociStitched	chr8	60963681	60970132	2	2406	5251.114	1108.9269
2_MACS_peak_6347_lociStitched	chr20	37498927	37505365	2	6255	8928.2184	2006.0808
2_MACS_peak_3727_lociStitched	chr15	96407268	96413703	2	2085	4247.1	1072.071
2_MACS_peak_322_lociStitched	chr1	70819034	70825464	2	2766	2991.879	1174.761
2_MACS_peak_842_lociStitched	chr1	197740370	197746795	2	4342	4758.3550000000005	1994.3200000000002
2_MACS_peak_7084_lociStitched	chr3	42107975	42114393	2	2649	3003.6240000000003	1008.2678
2_MACS_peak_3308_lociStitched	chr15	21995335	22001746	2	2218	3449.7591	1071.2781
2_MACS_peak_6397_lociStitched	chr20	46096732	46103127	2	2072	2326.501	1344.8684999999998
2_MACS_peak_4569_lociStitched	chr17	80250255	80256645	2	2423	3095.316	1314.423
2_MACS_peak_9917_lociStitched	chr7	35764506	35770895	2	3615	5291.3698	1858.5601
2_MACS_peak_3955_lociStitched	chr16	53127728	53134113	2	2415	2580.817	980.7359999999999
2_MACS_peak_6868_lociStitched	chr22	42142807	42149191	2	2865	3069.4272	1384.6896000000002
2_MACS_peak_5517_lociStitched	chr2	68948350	68954732	2	1916	3044.8522000000003	1308.9482
3_MACS_peak_2371_lociStitched	chr12	15101464	15107836	3	2841	3163.698	1461.0996
2_MACS_peak_5020_lociStitched	chr19	16704734	16711091	2	2750	3200.7494999999994	1272.0357
2_MACS_peak_11294_lociStitched	chr9	112904996	112911353	2	2934	3743.0016	1305.7278
3_MACS_peak_7413_lociStitched	chr3	129027298	129033642	3	4252	6033.143999999999	2060.5312
2_MACS_peak_8573_lociStitched	chr5	58853285	58859629	2	2214	4704.076	1305.5952
2_MACS_peak_3283_lociStitched	chr14	106161709	106168051	2	3859	5873.9604	882.8063999999999
2_MACS_peak_2559_lociStitched	chr12	53863150	53869490	2	2585	4602.84	1297.798
2_MACS_peak_8813_lociStitched	chr5	124287005	124293338	2	2534	3934.6928999999996	1243.1679
3_MACS_peak_7432_lociStitched	chr3	133193611	133199932	3	4696	6065.6316	1943.7075
3_MACS_peak_2927_lociStitched	chr13	50699480	50705800	3	2367	1913.6960000000001	661.072
2_MACS_peak_6039_lociStitched	chr2	204663058	204669373	2	3335	3715.1145	1157.5394999999999
3_MACS_peak_2788_lociStitched	chr12	109024328	109030639	3	5911	7178.1314	1972.1875
2_MACS_peak_6847_lociStitched	chr22	39784204	39790500	2	1886	2456.0696	921.1048000000001
2_MACS_peak_11045_lociStitched	chr9	35842604	35848899	2	1897	2585.3565	1087.776
2_MACS_peak_6762_lociStitched	chr22	27005567	27011854	2	3117	7546.286099999999	1617.6450999999997
2_MACS_peak_3669_lociStitched	chr15	85951018	85957296	2	2327	4687.1548	1325.2858
2_MACS_peak_3695_lociStitched	chr15	90639453	90645725	2	4623	5540.0576	1942.4383999999998
2_MACS_peak_2054_lociStitched	chr11	81580488	81586753	2	2256	3297.2695	1207.2655
2_MACS_peak_4480_lociStitched	chr17	72749724	72755982	2	2783	2640.2502	1222.1874
2_MACS_peak_7657_lociStitched	chr3	183253642	183259897	2	2942	3611.637	2124.8235
2_MACS_peak_4303_lociStitched	chr17	38477137	38483389	2	4106	7887.5232000000005	1724.9268
2_MACS_peak_5525_lociStitched	chr2	69869866	69876118	2	3172	2893.4256	1258.5276000000001
2_MACS_peak_3020_lociStitched	chr13	100072065	100078307	2	1903	2058.6115999999997	1023.0637999999999
2_MACS_peak_10492_lociStitched	chr8	17779651	17785886	2	1971	2728.436	1374.1940000000002
2_MACS_peak_10924_lociStitched	chr8	141601433	141607668	2	1944	3564.5495	930.262
2_MACS_peak_6379_lociStitched	chr20	43594486	43600712	2	3263	3829.6126	1629.9668
2_MACS_peak_2574_lociStitched	chr12	57077201	57083426	2	3667	3614.8575	1388.175
2_MACS_peak_2570_lociStitched	chr12	56726999	56733211	2	2624	3888.0908	1558.5908000000002
2_MACS_peak_7566_lociStitched	chr3	169657739	169663944	2	2786	4723.8665	1934.0984999999998
2_MACS_peak_2771_lociStitched	chr12	105745750	105751940	2	1793	1715.868	909.93
2_MACS_peak_820_lociStitched	chr1	192544148	192550318	2	3766	7257.771	2322.388
2_MACS_peak_4356_lociStitched	chr17	46555301	46561471	2	2013	2704.311	1150.088
2_MACS_peak_620_lociStitched	chr1	156469880	156476042	2	4377	6945.1902	2079.675
2_MACS_peak_6480_lociStitched	chr20	58675722	58681875	2	1958	1933.8879000000002	1006.0155000000001
2_MACS_peak_8284_lociStitched	chr4	172560243	172566391	2	1885	2973.1728	797.3956000000001
2_MACS_peak_7698_lociStitched	chr3	193788004	193794148	2	1978	2545.4592000000002	1430.9376
2_MACS_peak_10013_lociStitched	chr7	55636241	55642368	2	3168	3935.9847999999997	1336.9114
2_MACS_peak_7710_lociStitched	chr3	195264434	195270552	2	2453	4766.5338	1796.8566
2_MACS_peak_7654_lociStitched	chr3	183228898	183235015	2	3034	5197.0032	2027.1737999999998
2_MACS_peak_5367_lociStitched	chr2	39321804	39327920	2	2018	2941.1844	1218.9188
2_MACS_peak_6491_lociStitched	chr20	61277971	61284085	2	3163	5841.927	1407.4428
2_MACS_peak_441_lociStitched	chr1	120659574	120665686	2	2328	3815.7216	1620.9024
2_MACS_peak_4117_lociStitched	chr17	3814103	3820212	2	4449	4469.9553000000005	1624.3831000000002
3_MACS_peak_10778_lociStitched	chr8	103542790	103548892	3	2906	2496.3282	694.4076
2_MACS_peak_255_lociStitched	chr1	53163427	53169517	2	1780	2920.764	1233.2250000000001
2_MACS_peak_1952_lociStitched	chr11	62318825	62324913	2	3660	3992.5104	1535.3935999999999
3_MACS_peak_5378_lociStitched	chr2	42350882	42356949	3	3257	3830.7038	1246.1618
2_MACS_peak_6804_lociStitched	chr22	35767640	35773686	2	1946	4162.0664	1043.5396
2_MACS_peak_8867_lociStitched	chr5	133978711	133984754	2	1794	2188.1702999999998	1122.7894
2_MACS_peak_9878_lociStitched	chr7	26003038	26009081	2	4375	7806.347400000001	1920.4654000000003
2_MACS_peak_7395_lociStitched	chr3	125554001	125560043	2	3502	5190.0779999999995	1752.7842
2_MACS_peak_10608_lociStitched	chr8	39818345	39824376	2	1640	1942.5851	1010.1925000000001
2_MACS_peak_3811_lociStitched	chr16	11712938	11718955	2	1954	3094.5431	1237.0952
1_MACS_peak_4826_lociStitched	chr18	60824226	60830243	1	6018	9857.0494	1619.7764
2_MACS_peak_8557_lociStitched	chr5	55960645	55966655	2	2800	3848.8039999999996	1203.803
2_MACS_peak_10011_lociStitched	chr7	55624965	55630965	2	2845	3012.0	1450.8
