REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_5349_lociStitched	chr2	37571544	37586086	4	6121	9423.216	3061.091	62	QPCT	PRKD3	QPCT	QPCT	0.3082	62	1
3_MACS_peak_4406_lociStitched	chr17	56412940	56422745	3	5480	8711.7425	2446.3475	63	SUPT4H1	BZRAP1,MIR142	MIR142	MIR142	0.2123	63	1
1_MACS_peak_3872_lociStitched	chr16	23345096	23349013	1	3918	7647.9425	1416.3872	64	SCNN1B		SCNN1B	SCNN1B	0.11899999999999997	64	1
2_MACS_peak_4619_lociStitched	chr18	9061115	9067690	2	4891	8213.49	2009.32	65		NDUFV2	NDUFV2	NDUFV2	0.18839999999999998	65	1
2_MACS_peak_881_lociStitched	chr1	203255860	203260753	2	4180	8357.7333	2157.813	66		BTG2,LOC730227	LOC730227	LOC730227	0.3322	66	1
2_MACS_peak_4303_lociStitched	chr17	38477137	38483389	2	4106	7887.5232	1724.9268	67	RARA	CDC6,RARA,GJD3	RARA	RARA	0.156	67	1
2_MACS_peak_779_lociStitched	chr1	183809849	183815049	2	4394	7980.96	1852.24	68	RGL1		APOBEC4	APOBEC4	NONE	68	1
3_MACS_peak_8471_lociStitched	chr5	32531022	32543616	3	5789	8853.582	2785.7928	69		SUB1	SUB1	SUB1	0.12160000000000001	69	1
2_MACS_peak_1093_lociStitched	chr1	235146931	235152083	2	2754	7292.1408	1273.0592	70			SNORA14B	SNORA14B	0.07140000000000002	70	1
1_MACS_peak_4905_lociStitched	chr19	2607510	2611842	1	4333	7635.15	1666.0872	71	GNG7		GNG7	GNG7	0.10019999999999998	71	1
1_MACS_peak_7421_lociStitched	chr3	130567576	130570054	1	2479	6666.8112	700.5306	72	ATP2C1	ATP2C1	ATP2C1	ATP2C1	0.04400000000000001	72	1
5_MACS_peak_2237_lociStitched	chr11	128588324	128604946	5	6720	9680.6528	3718.3414	73	FLI1		FLI1	FLI1	0.06940000000000002	73	1
2_MACS_peak_6762_lociStitched	chr22	27005567	27011854	2	3117	7546.2861	1617.6451	74	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	0.2607	74	1
2_MACS_peak_587_lociStitched	chr1	154908278	154917401	2	5790	9487.0077	3590.8128	75	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PYGO2	0.22139999999999999	75	1
2_MACS_peak_9878_lociStitched	chr7	26003038	26009081	2	4375	7806.3474	1920.4654	76		MIR148A	MIR148A	MIR148A	0.2808	76	1
3_MACS_peak_6966_lociStitched	chr3	13050467	13059019	3	6153	8538.3168	2660.5272	77	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.03950000000000001	77	1
4_MACS_peak_11577_lociStitched	chrX	58150650	58159546	4	4668	6707.584	834.4448	78			ZXDA	ZXDA	NONE	78	1
1_MACS_peak_462_lociStitched	chr1	143461870	143468912	1	7043	9731.3398	3861.1286	79			LOC100130000	LOC100130000	NONE	79	1
2_MACS_peak_7869_lociStitched	chr4	40197102	40208001	2	8043	8761.7061	2899.134	80	RHOH		RHOH	RHOH	0.14589999999999997	80	1
2_MACS_peak_3612_lociStitched	chr15	75334714	75340282	2	3945	7495.0848	1640.3328	81	PPCDC	SCAMP5	PPCDC	PPCDC	0.1797	81	1
1_MACS_peak_9356_lociStitched	chr6	45677163	45679005	1	1843	6291.7194	462.5262	82			RUNX2	RUNX2	0.019500000000000017	82	1
5_MACS_peak_4240_lociStitched	chr17	32703815	32719053	5	6136	9718.7964	3903.9756	83		CCL13,CCL1	CCL1	CCL1	0.257	83	1
3_MACS_peak_4508_lociStitched	chr17	75135754	75144273	3	7594	7844.2952	2099.9335	84	SEC14L1	SEC14L1	SEC14L1	SEC14L1	0.1288	84	1
1_MACS_peak_3062_lociStitched	chr13	114829410	114834233	1	4824	7082.0932	1348.5108	85	RASA3		RASA3	RASA3	0.0731	85	1
5_MACS_peak_3230_lociStitched	chr14	91829969	91842669	5	6094	7599.68	1889.76	86	CCDC88C		CCDC88C	CCDC88C	0.0934	86	1
2_MACS_peak_6305_lociStitched	chr20	30293053	30297642	2	4524	7130.8471	1460.6787	87	BCL2L1	TPX2	BCL2L1	BCL2L1	0.2225	87	1
3_MACS_peak_8848_lociStitched	chr5	131755023	131764022	3	6299	8325.8748	2673.6029	88	C5orf56	SLC22A5	C5orf56	C5orf56	0.20579999999999998	88	1
2_MACS_peak_1085_lociStitched	chr1	234741552	234749467	2	7050	8380.402	2756.7945	89	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	0.5025999999999999	89	1
3_MACS_peak_6021_lociStitched	chr2	202116645	202126805	3	6487	7747	2130.552	90	CASP8		CASP8	CASP8	0.1202	90	1
1_MACS_peak_1243_lociStitched	chr10	15828699	15831252	1	2554	6346.5027	738.0723	91	FAM188A		ITGA8	ITGA8	NONE	91	1
1_MACS_peak_4659_lociStitched	chr18	13610420	13614217	1	3798	6419.9676	843.6934	92	C18orf1	C18orf1	C18orf1	C18orf1	0.010899999999999993	92	1
2_MACS_peak_4288_lociStitched	chr17	37909767	37914924	2	4779	6856.2315	1344.4299	93		GRB7,C17orf37	GRB7	C17orf37	0.044999999999999984	93	1
2_MACS_peak_9622_lociStitched	chr6	130004414	130009101	2	3106	6663.9766	1191.4354	94	ARHGAP18		ARHGAP18	ARHGAP18	0.067	94	1
1_MACS_peak_11225_lociStitched	chr9	97622284	97624279	1	1996	6071.7825	601.692	95	C9orf3		MIR2278	MIR2278	NONE	95	1
3_MACS_peak_7387_lociStitched	chr3	124502846	124511534	3	4794	7394.3568	1937.424	96	ITGB5		UMPS	UMPS	NONE	96	1
2_MACS_peak_545_lociStitched	chr1	150533177	150540912	2	5817	8660.106	3219.307	97	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	0.1466	97	1
2_MACS_peak_4430_lociStitched	chr17	62151058	62160397	2	5428	8064.2265	2650.4082	98	ERN1		ERN1	ERN1	0.16799999999999998	98	1
1_MACS_peak_11207_lociStitched	chr9	93953302	93957001	1	3700	6323.8104	934.3674	99			LOC100129316	NONE	NONE	99	1
3_MACS_peak_5609_lociStitched	chr2	97191665	97205147	3	5520	8466.696	3079.2888	100	ARID5A	NEURL3	ARID5A	ARID5A	0.16540000000000002	100	1
3_MACS_peak_7621_lociStitched	chr3	178231107	178240748	3	5172	8056.9837	2686.9467	101		KCNMB2	KCNMB2	KCNMB2	0.005199999999999982	101	1
1_MACS_peak_10570_lociStitched	chr8	33411077	33413400	1	2324	6088.8153	726.8667	102	RNF122	C8orf41,DUSP26	RNF122	RNF122	0.2825	102	1
2_MACS_peak_3372_lociStitched	chr15	31555009	31559552	2	3932	6708.6481	1350.1796	103			KLF13	KLF13	NONE	103	1
1_MACS_peak_6508_lociStitched	chr21	9963025	9969826	1	6802	8908.6299	3562.3638	104	LOC100132288		LOC100132288	LOC100132288	0.10770000000000002	104	1
2_MACS_peak_6684_lociStitched	chr21	44726366	44733123	2	2835	7374.5898	2033.857	105			SIK1	SIK1	NONE	105	1
3_MACS_peak_7702_lociStitched	chr3	193848368	193855752	3	3528	7161.0032	1852.6456	106	HES1		HES1	HES1	0.45759999999999995	106	1
1_MACS_peak_6045_lociStitched	chr2	204891040	204892889	1	1850	5722.8399	420.8324	107			ICOS	ICOS	NONE	107	1
2_MACS_peak_4238_lociStitched	chr17	32691621	32699102	2	3972	6930.3984	1636.0947	108		CCL8,CCL13,CCL1	CCL1	CCL1	0.257	108	1
4_MACS_peak_2783_lociStitched	chr12	108953917	108963358	4	7280	7928.5518	2643.48	109	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	0.34680000000000005	109	1
4_MACS_peak_8851_lociStitched	chr5	131791938	131803899	4	7185	8571.2526	3288.0789	110	C5orf56	IRF1	IRF1	IRF1	0.10349999999999998	110	1
2_MACS_peak_8630_lociStitched	chr5	76032552	76035730	2	2949	5981.3138	722.0416	111		NCRUPAR,F2R	F2R	F2R	0.1872	111	1
1_MACS_peak_6036_lociStitched	chr2	204569545	204572916	1	3372	5989.5928	733.5296	112	CD28		CD28	CD28	0.1987	112	1
1_MACS_peak_8323_lociStitched	chr4	185303111	185306880	1	3770	6295.3607	1079.4416	113			IRF2	IRF2	0.1331	113	1
3_MACS_peak_2788_lociStitched	chr12	109024328	109030639	3	5911	7178.1314	1972.1875	114	SELPLG	TMEM119	SELPLG	SELPLG	0.4574	114	1
6_MACS_peak_10719_lociStitched	chr8	81046663	81060038	6	6589	7920.675	2723.15	115	TPD52		TPD52	TPD52	0.0756	115	1
1_MACS_peak_10892_lociStitched	chr8	134246014	134248295	1	2282	5919.6512	729.4638	116		WISP1	WISP1	WISP1	0.0638	116	1
1_MACS_peak_1009_lociStitched	chr1	223421317	223423797	1	2481	6134.528	951.824	117	SUSD4		TLR5	TLR5	NONE	117	1
2_MACS_peak_940_lociStitched	chr1	209276115	209282091	2	3624	7075.584	1894.392	118			LOC642587	LOC642587	NONE	118	1
1_MACS_peak_5806_lociStitched	chr2	146168560	146170362	1	1803	5542.4114	388.6914	119			DKFZp686O1327	DKFZp686O1327	NONE	119	1
3_MACS_peak_1610_lociStitched	chr10	104531777	104542302	3	4487	7749.5575	2604.9375	120	C10orf26		C10orf26	C10orf26	0.0829	120	1
1_MACS_peak_782_lociStitched	chr1	183879467	183882443	1	2977	6264.7776	1121.0592	121	RGL1		GLT25D2	GLT25D2	NONE	121	1
1_MACS_peak_11561_lociStitched	chrX	48794002	48798159	1	4158	5956.981	857.1734	122	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	0.14709999999999998	122	1
1_MACS_peak_4673_lociStitched	chr18	20821364	20822982	1	1619	5443.5992	346.252	123	CABLES1		CABLES1	CABLES1	0.0797	123	1
2_MACS_peak_3964_lociStitched	chr16	56944210	56951992	2	4870	7055.1612	1965.7332	124	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	0.2469	124	1
4_MACS_peak_300_lociStitched	chr1	66736691	66749025	4	4930	7767.9532	2693.7456	125	PDE4B	PDE4B	PDE4B	PDE4B	0.02460000000000001	125	1
3_MACS_peak_5929_lociStitched	chr2	182169585	182179501	3	5734	7133.5704	2064.5112	126			ITGA4	ITGA4	NONE	126	1
1_MACS_peak_4182_lociStitched	chr17	16890600	16893944	1	3345	6278.6944	1271.7232	127		TNFRSF13B	TNFRSF13B	TNFRSF13B	0.11240000000000003	127	1
2_MACS_peak_3283_lociStitched	chr14	106161709	106168051	2	3859	5873.9604	882.8064	128			TMEM121	NONE	NONE	128	1
3_MACS_peak_8051_lociStitched	chr4	90211581	90221110	3	5257	7436.4316	2446.0943	129	GPRIN3		GPRIN3	GPRIN3	0.1124	129	1
1_MACS_peak_8207_lociStitched	chr4	144277366	144281025	1	3660	5915.5053	939.6312	130	GAB1		GAB1	GAB1	0.07049999999999998	130	1
2_MACS_peak_5103_lociStitched	chr19	42040697	42047358	2	2426	6555.0901	1611.2959	131		CEACAM21	CEACAM21	NONE	NONE	131	1
2_MACS_peak_820_lociStitched	chr1	192544148	192550318	2	3766	7257.771	2322.388	132	RGS1		RGS1	RGS1	0.3532	132	1
1_MACS_peak_6370_lociStitched	chr20	42696941	42699443	1	2503	5605.4808	693.5544	133	TOX2		JPH2	JPH2	NONE	133	1
1_MACS_peak_10321_lociStitched	chr7	133929283	133931966	1	2684	5705.9361	805.1683	134	LRGUK		SLC35B4	SLC35B4	NONE	134	1
2_MACS_peak_6489_lociStitched	chr20	60911936	60915998	2	3569	5675.4264	779.4978	135	LAMA5	ADRM1,RPS21	LAMA5	LAMA5	0.0642	135	1
1_MACS_peak_7576_lociStitched	chr3	169974352	169977224	1	2873	5955.092	1082.4568	136	PRKCI		PRKCI	PRKCI	0.060100000000000015	136	1
2_MACS_peak_620_lociStitched	chr1	156469880	156476042	2	4377	6945.1902	2079.675	137	MEF2D		MEF2D	MEF2D	0.1491	137	1
3_MACS_peak_6754_lociStitched	chr22	24823008	24831340	3	4195	6649.7692	1785.5476	138	ADORA2A,C22orf45		ADORA2A	ADORA2A	0.18719999999999998	138	1
1_MACS_peak_6359_lociStitched	chr20	40721126	40723335	1	2210	5508.5833	648.1206	139	PTPRT		CHD6	CHD6	NONE	139	1
1_MACS_peak_810_lociStitched	chr1	187153906	187156246	1	2341	5569.2	718.848	140			PLA2G4A	PLA2G4A	NONE	140	1
1_MACS_peak_1000_lociStitched	chr1	221949312	221952404	1	3093	5907.8844	1069.832	141		DUSP10	DUSP10	NONE	NONE	141	1
1_MACS_peak_8833_lociStitched	chr5	129659184	129661419	1	2236	5436.414	609.9315	142			CHSY3	CHSY3	NONE	142	1
1_MACS_peak_8809_lociStitched	chr5	123984870	123986636	1	1767	5247.8456	428.6082	143	ZNF608		ZNF608	ZNF608	0.051699999999999996	143	1
1_MACS_peak_10554_lociStitched	chr8	29412234	29414631	1	2398	5547.1374	750.0213	144			C8orf75	C8orf75	0.06190000000000001	144	1
2_MACS_peak_10845_lociStitched	chr8	126163040	126167566	2	2836	5421.6954	666.6798	145	NSMCE2		NSMCE2	NSMCE2	0.0748	145	1
3_MACS_peak_1167_lociStitched	chr10	3847073	3854262	3	3766	6200.5125	1446.4268	146		KLF6	KLF6	KLF6	0.11959999999999998	146	1
2_MACS_peak_484_lociStitched	chr1	145188660	145197001	2	6007	9359.4361	4622.5822	147		NOTCH2NL	NOTCH2NL	NOTCH2NL	0.03149999999999997	147	1
2_MACS_peak_6102_lociStitched	chr2	219757122	219762403	2	2993	5862.9662	1133.8307	148	WNT10A	WNT6	WNT10A	WNT10A	0.3176	148	1
2_MACS_peak_2173_lociStitched	chr11	117878417	117883157	2	3092	5902.248	1208.7	149		IL10RA	IL10RA	IL10RA	0.05379999999999999	149	1
3_MACS_peak_10850_lociStitched	chr8	126296445	126307814	3	4496	7385.3024	2722.8755	150	NSMCE2		TRIB1	TRIB1	0.20370000000000002	150	1
2_MACS_peak_9627_lociStitched	chr6	130834245	130839541	2	2773	6072.9232	1412.9728	151			TMEM200A	TMEM200A	NONE	151	1
3_MACS_peak_2138_lociStitched	chr11	111241517	111250922	3	5543	6950.295	2291.058	152	POU2AF1		POU2AF1	POU2AF1	0.1463	152	1
1_MACS_peak_9841_lociStitched	chr7	20258847	20260939	1	2093	5482.9228	830.1056	153		MACC1	MACC1	MACC1	0.10299999999999998	153	1
1_MACS_peak_10336_lociStitched	chr7	137435396	137437024	1	1629	5057.2192	406.3488	154	DGKI		DGKI	DGKI	0.0005999999999999894	154	1
1_MACS_peak_10312_lociStitched	chr7	130808328	130809939	1	1612	5409.4158	760.7142	155	MKLN1	FLJ43663	MKLN1	FLJ43663	0.036599999999999994	155	1
1_MACS_peak_9845_lociStitched	chr7	20434634	20436048	1	1415	4956.07	312.9182	156	ITGB8		ITGB8	ITGB8	0.0867	156	1
1_MACS_peak_5019_lociStitched	chr19	16694711	16700115	1	5405	6369.6948	1729.8204	157	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.0011999999999999927	157	1
1_MACS_peak_6363_lociStitched	chr20	42378938	42382197	1	3260	5879.5619	1263.8402	158		GTSF1L	GTSF1L	GTSF1L	0.0794	158	1
1_MACS_peak_6322_lociStitched	chr20	32469803	32472558	1	2756	5421.289	822.3675	159			CHMP4B	CHMP4B	0.10470000000000002	159	1
1_MACS_peak_2060_lociStitched	chr11	82680131	82681854	1	1724	5052.5252	454.872	160			C11orf82	C11orf82	NONE	160	1
1_MACS_peak_11197_lociStitched	chr9	93685154	93687482	1	2329	5330.8872	752.4096	161			SYK	SYK	NONE	161	1
2_MACS_peak_1408_lociStitched	chr10	63804672	63811579	2	4634	6118.2206	1560.2913	162	ARID5B		ARID5B	ARID5B	0.06059999999999999	162	1
1_MACS_peak_6287_lociStitched	chr20	24822735	24824602	1	1868	5104.1913	548.7113	163			CST7	CST7	NONE	163	1
3_MACS_peak_4123_lociStitched	chr17	4275476	4281056	3	4929	6079.968	1536.174	164		UBE2G1	UBE2G1	UBE2G1	0.017299999999999982	164	1
1_MACS_peak_10863_lociStitched	chr8	126953845	126955351	1	1507	4943.5956	402.7044	165			TRIB1	TRIB1	0.20370000000000002	165	1
1_MACS_peak_6626_lociStitched	chr21	37906515	37909073	1	2559	5481.794	946.7158	166	CLDN14		CLDN14	CLDN14	0.0615	166	1
1_MACS_peak_9493_lociStitched	chr6	90993779	90996395	1	2617	5391.576	861.4488	167	BACH2		BACH2	BACH2	0.013800000000000007	167	1
1_MACS_peak_7700_lociStitched	chr3	193801154	193803321	1	2168	5568.9733	1046.661	168			HES1	HES1	0.45759999999999995	168	1
3_MACS_peak_9374_lociStitched	chr6	52254372	52263283	3	3596	6421.2666	1917.6472	169	PAQR8	EFHC1	EFHC1	EFHC1	0.04150000000000001	169	1
4_MACS_peak_8673_lociStitched	chr5	88121096	88129717	4	4861	6563.1673	2062.1432	170	MEF2C	MEF2C	MEF2C	MEF2C	0.06790000000000002	170	1
2_MACS_peak_9649_lociStitched	chr6	135190967	135195678	2	2909	5776.1571	1284.2186	171			ALDH8A1	ALDH8A1	NONE	171	1
1_MACS_peak_6610_lociStitched	chr21	36237150	36239095	1	1946	5230.2995	779.7505	172	RUNX1		RUNX1	RUNX1	0.04089999999999999	172	1
