REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
3_MACS_peak_433_lociStitched	chr1	118196703	118207743	3	6413	9602.592	1951.872	41		FAM46C	FAM46C	41	1
3_MACS_peak_7676_lociStitched	chr3	186711502	186719230	3	6345	7124.4432	3095.8368	42	ST6GAL1	ST6GAL1	ST6GAL1	42	1
3_MACS_peak_8848_lociStitched	chr5	131755023	131764022	3	6299	8325.8748	2673.6029	43	C5orf56	SLC22A5	C5orf56	43	1
2_MACS_peak_6347_lociStitched	chr20	37498927	37505365	2	6255	8928.2184	2006.0808	44	PPP1R16B	FAM83D	FAM83D	44	1
5_MACS_peak_9215_lociStitched	chr6	26020488	26034306	5	6229	6364.5708	2499.6762	45	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	45	1
2_MACS_peak_8317_lociStitched	chr4	185201396	185210391	2	6211	6696.7775	2314.4135	46			ENPP6	46	1
3_MACS_peak_6966_lociStitched	chr3	13050467	13059019	3	6153	8538.3168	2660.5272	47	IQSEC1	IQSEC1	IQSEC1	47	1
5_MACS_peak_4240_lociStitched	chr17	32703815	32719053	5	6136	9718.7964	3903.9756	48		CCL13,CCL1	CCL1	48	1
4_MACS_peak_5349_lociStitched	chr2	37571544	37586086	4	6121	9423.216	3061.091	49	QPCT	PRKD3	QPCT	49	1
5_MACS_peak_3230_lociStitched	chr14	91829969	91842669	5	6094	7599.68	1889.76	50	CCDC88C		CCDC88C	50	1
4_MACS_peak_5007_lociStitched	chr19	16253552	16267368	4	6043	11896.9576	2942.808	51	HSH2D	RAB8A,FAM32A,AP1M1,CIB3	HSH2D	51	1
1_MACS_peak_4826_lociStitched	chr18	60824226	60830243	1	6018	9857.0494	1619.7764	52	BCL2		BCL2	52	1
2_MACS_peak_484_lociStitched	chr1	145188660	145197001	2	6007	9359.4361	4622.5822	53		NOTCH2NL	NOTCH2NL	53	1
3_MACS_peak_5710_lociStitched	chr2	112456088	112464825	3	5936	12442.3617	2356.3689	54			ANAPC1	54	1
4_MACS_peak_4537_lociStitched	chr17	76713591	76725667	4	5916	6458.2448	2522.6764	55	CYTH1		CYTH1	55	1
3_MACS_peak_2788_lociStitched	chr12	109024328	109030639	3	5911	7178.1314	1972.1875	56	SELPLG	TMEM119	SELPLG	56	1
2_MACS_peak_3988_lociStitched	chr16	66550007	66559759	2	5893	9488.696	2516.016	57	TK2	CKLF,CMTM1	TK2	57	1
3_MACS_peak_5065_lociStitched	chr19	35695712	35705934	3	5861	9400.1512	2488.0348	58		FXYD5,LSR,FAM187B	FAM187B	58	1
2_MACS_peak_545_lociStitched	chr1	150533177	150540912	2	5817	8660.106	3219.307	59	ADAMTSL4	MIR4257,MCL1	MIR4257	59	1
3_MACS_peak_4899_lociStitched	chr19	2468852	2479766	3	5797	6366.1362	2479.6608	60	GADD45B	TIMM13,LMNB2	GADD45B	60	1
2_MACS_peak_587_lociStitched	chr1	154908278	154917401	2	5790	9487.0077	3590.8128	61	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	61	1
3_MACS_peak_8471_lociStitched	chr5	32531022	32543616	3	5789	8853.582	2785.7928	62		SUB1	SUB1	62	1
1_MACS_peak_1632_lociStitched	chr10	112112980	112118763	1	5784	10237.0666	2104.4337	63		SMNDC1	SMNDC1	63	1
1_MACS_peak_905_lociStitched	chr1	205252527	205258273	1	5747	9002.2582	2497.2116	64		NUAK2	NUAK2	64	1
3_MACS_peak_5929_lociStitched	chr2	182169585	182179501	3	5734	7133.5704	2064.5112	65			ITGA4	65	1
3_MACS_peak_2020_lociStitched	chr11	71414505	71426498	3	5724	7493.2264	3180.5436	66			FAM86C	66	1
2_MACS_peak_7611_lociStitched	chr3	176914536	176920241	2	5683	5155.038	1709.218	67	TBL1XR1		TBL1XR1	67	1
4_MACS_peak_8021_lociStitched	chr4	84133155	84143683	4	5662	9697.3408	2239.3056	68			COQ2	68	1
2_MACS_peak_6654_lociStitched	chr21	41325408	41332454	2	5644	5559.294	2541.4922	69			PCP4	69	1
2_MACS_peak_912_lociStitched	chr1	206132626	206139138	2	5638	4015.2992	2064.304	70	FAM72A		FAM72A	70	1
2_MACS_peak_10401_lociStitched	chr7	150074895	150081411	2	5610	4621.1472	2074.6944	71	ZNF775	C7orf29,REPIN1,LOC728743,LOC285972,RARRES2	ZNF775	71	1
3_MACS_peak_2138_lociStitched	chr11	111241517	111250922	3	5543	6950.295	2291.058	72	POU2AF1		POU2AF1	72	1
3_MACS_peak_5609_lociStitched	chr2	97191665	97205147	3	5520	8466.696	3079.2888	73	ARID5A	NEURL3	ARID5A	73	1
3_MACS_peak_4406_lociStitched	chr17	56412940	56422745	3	5480	8711.7425	2446.3475	74	SUPT4H1	BZRAP1,MIR142	MIR142	74	1
2_MACS_peak_883_lociStitched	chr1	203267605	203276486	2	5456	7195.3862	2828.5985	75	BTG2,LOC730227	FMOD	LOC730227	75	1
3_MACS_peak_1618_lociStitched	chr10	105258024	105267957	3	5451	9725.4003	2118.7089	76	NEURL	CALHM2,CALHM1,CALHM3	NEURL	76	1
3_MACS_peak_4906_lociStitched	chr19	2620229	2632090	3	5436	7620.6925	3534.578	77	GNG7		GNG7	77	1
2_MACS_peak_4430_lociStitched	chr17	62151058	62160397	2	5428	8064.2265	2650.4082	78	ERN1		ERN1	78	1
1_MACS_peak_5019_lociStitched	chr19	16694711	16700115	1	5405	6369.6948	1729.8204	79	MED26	CHERP,SLC35E1	SLC35E1	79	1
1_MACS_peak_10175_lociStitched	chr7	102252626	102257983	1	5358	4137.2111	2969.3851	80	RASA4	POLR2J3,UPK3BL	RASA4	80	1
2_MACS_peak_5488_lociStitched	chr2	65159033	65167360	2	5290	6520.041	2371.5296	81	LOC400958	SLC1A4	LOC400958	81	1
3_MACS_peak_8051_lociStitched	chr4	90211581	90221110	3	5257	7436.4316	2446.0943	82	GPRIN3		GPRIN3	82	1
3_MACS_peak_920_lociStitched	chr1	206729899	206737461	3	5229	6429.9686	2722.32	83	RASSF5	LGTN	RASSF5	83	1
3_MACS_peak_2752_lociStitched	chr12	102872111	102878693	3	5221	5492.0208	1504.6452	84	IGF1		IGF1	84	1
1_MACS_peak_6752_lociStitched	chr22	24185755	24190961	1	5207	6030.1098	1774.2048	85		SLC2A11,MIF,DERL3	DERL3	85	1
3_MACS_peak_7621_lociStitched	chr3	178231107	178240748	3	5172	8056.9837	2686.9467	86		KCNMB2	KCNMB2	86	1
4_MACS_peak_4178_lociStitched	chr17	16872538	16883061	4	5019	5741.3488	2225.6145	87	TNFRSF13B		TNFRSF13B	87	1
2_MACS_peak_150_lociStitched	chr1	31215996	31221503	2	5010	4609.9097	1499.0054	88	LAPTM5	LOC100129196,MATN1	LAPTM5	88	1
2_MACS_peak_9231_lociStitched	chr6	26358138	26366055	2	4963	10338.8103	2025.9603	89	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	89	1
3_MACS_peak_8927_lociStitched	chr5	148205375	148214859	3	4963	5909.4804	2233.482	90	ADRB2		ADRB2	90	1
4_MACS_peak_300_lociStitched	chr1	66736691	66749025	4	4930	7767.9532	2693.7456	91	PDE4B	PDE4B	PDE4B	91	1
3_MACS_peak_4123_lociStitched	chr17	4275476	4281056	3	4929	6079.968	1536.174	92		UBE2G1	UBE2G1	92	1
2_MACS_peak_431_lociStitched	chr1	118172089	118177019	2	4919	4097.323	899.725	93		FAM46C	FAM46C	93	1
2_MACS_peak_5279_lociStitched	chr2	20406444	20414528	2	4912	6435.6724	1991.8976	94	SDC1		SDC1	94	1
2_MACS_peak_4619_lociStitched	chr18	9061115	9067690	2	4891	8213.49	2009.32	95		NDUFV2	NDUFV2	95	1
1_MACS_peak_486_lociStitched	chr1	145208059	145212930	1	4872	4665.9309	2559.2234	96	NOTCH2NL		NOTCH2NL	96	1
2_MACS_peak_3964_lociStitched	chr16	56944210	56951992	2	4870	7055.1612	1965.7332	97	SLC12A3	HERPUD1,CETP	HERPUD1	97	1
4_MACS_peak_8673_lociStitched	chr5	88121096	88129717	4	4861	6563.1673	2062.1432	98	MEF2C	MEF2C	MEF2C	98	1
1_MACS_peak_8384_lociStitched	chr5	1312418	1317274	1	4857	11063.4248	1867.132	99		TERT,CLPTM1L	TERT	99	1
1_MACS_peak_3062_lociStitched	chr13	114829410	114834233	1	4824	7082.0932	1348.5108	100	RASA3		RASA3	100	1
1_MACS_peak_6512_lociStitched	chr21	11167699	11172494	1	4796	5508.0165	2671.774	101			BAGE	101	1
3_MACS_peak_7387_lociStitched	chr3	124502846	124511534	3	4794	7394.3568	1937.424	102	ITGB5		UMPS	102	1
2_MACS_peak_6945_lociStitched	chr3	5235984	5241782	2	4790	4971.2052	1435.005	103	EDEM1		EDEM1	103	1
2_MACS_peak_4288_lociStitched	chr17	37909767	37914924	2	4779	6856.2315	1344.4299	104		GRB7,C17orf37	GRB7	104	1
2_MACS_peak_4894_lociStitched	chr19	2255274	2261077	2	4748	4726.5435	2083.277	105	JSRP1	SF3A2,AMH,MIR4321,OAZ1,MIR1227,PLEKHJ1,C19orf35,LINGO3	JSRP1	105	1
2_MACS_peak_7729_lociStitched	chr3	197456612	197464682	2	4731	6272.811	2549.313	106	KIAA0226	FYTTD1	KIAA0226	106	1
3_MACS_peak_10331_lociStitched	chr7	136037509	136046987	3	4719	10215.3884	2500.2964	107			LUZP6	107	1
2_MACS_peak_6673_lociStitched	chr21	43647766	43655831	2	4706	6808.473	2627.577	108	ABCG1		ABCG1	108	1
1_MACS_peak_534_lociStitched	chr1	149855922	149860626	1	4705	5095.3728	2360.4672	109	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	109	1
2_MACS_peak_488_lociStitched	chr1	145395042	145399913	2	4697	4312.7834	1748.2019	110		HFE2,TXNIP	HFE2	110	1
3_MACS_peak_7432_lociStitched	chr3	133193611	133199932	3	4696	6065.6316	1943.7075	111	BFSP2		BFSP2	111	1
1_MACS_peak_6744_lociStitched	chr22	23235510	23240178	1	4669	4349.1756	1181.4708	112	IGLL5		IGLL5	112	1
4_MACS_peak_11577_lociStitched	chrX	58150650	58159546	4	4668	6707.584	834.4448	113			ZXDA	113	1
1_MACS_peak_10306_lociStitched	chr7	129588448	129593081	1	4634	4450.4598	1670.1965	114	UBE2H		UBE2H	114	1
2_MACS_peak_1408_lociStitched	chr10	63804672	63811579	2	4634	6118.2206	1560.2913	115	ARID5B		ARID5B	115	1
2_MACS_peak_8406_lociStitched	chr5	6480322	6486154	2	4628	5728.7736	1637.6256	116	UBE2QL1		UBE2QL1	116	1
2_MACS_peak_3695_lociStitched	chr15	90639453	90645725	2	4623	5540.0576	1942.4384	117	IDH2		IDH2	117	1
1_MACS_peak_6682_lociStitched	chr21	44581907	44586511	1	4605	6376.54	2022.0768	118		CRYAA	CRYAA	118	1
1_MACS_peak_10009_lociStitched	chr7	55599468	55604055	1	4588	12469.7595	1317.8451	119	VOPP1		VOPP1	119	1
1_MACS_peak_10173_lociStitched	chr7	102153685	102158250	1	4566	3671.173	2536.314	120		LRWD1,SPDYE2,ALKBH4,POLR2J	SPDYE2	120	1
3_MACS_peak_6465_lociStitched	chr20	56048016	56056954	3	4564	5706.0192	2106.6866	121		CTCFL	CTCFL	121	1
2_MACS_peak_11128_lociStitched	chr9	73028414	73036403	2	4548	5002.7118	1515.5133	122	KLF9		KLF9	122	1
2_MACS_peak_6305_lociStitched	chr20	30293053	30297642	2	4524	7130.8471	1460.6787	123	BCL2L1	TPX2	BCL2L1	123	1
3_MACS_peak_11210_lociStitched	chr9	94181308	94192336	3	4503	5935.2696	2455.9356	124	NFIL3		NFIL3	124	1
2_MACS_peak_5082_lociStitched	chr19	39888171	39895568	2	4502	5770.3997	1666.5441	125	MED29	ZFP36,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	125	1
3_MACS_peak_10850_lociStitched	chr8	126296445	126307814	3	4496	7385.3024	2722.8755	126	NSMCE2		TRIB1	126	1
1_MACS_peak_662_lociStitched	chr1	161435196	161439688	1	4493	2485.4236	2371.3268	127		FCGR2A	FCGR2A	127	1
3_MACS_peak_1610_lociStitched	chr10	104531777	104542302	3	4487	7749.5575	2604.9375	128	C10orf26		C10orf26	128	1
2_MACS_peak_4117_lociStitched	chr17	3814103	3820212	2	4449	4469.9553	1624.3831	129	P2RX1	CAMKK1,ATP2A3	P2RX1	129	1
2_MACS_peak_6295_lociStitched	chr20	25274961	25279460	2	4447	4009.5088	1317.7571	130	PYGB,ABHD12		PYGB	130	1
1_MACS_peak_9286_lociStitched	chr6	32936108	32940534	1	4427	3802.8192	1268.049	131	BRD2	BRD2,HLA-DMB,HLA-DMA,HLA-DOA	BRD2	131	1
3_MACS_peak_3650_lociStitched	chr15	81585806	81595524	3	4420	6166.071	2598.5932	132	IL16	STARD5	IL16	132	1
2_MACS_peak_4903_lociStitched	chr19	2595093	2600157	2	4419	9016.452	1674.1584	133	GNG7		GNG7	133	1
2_MACS_peak_779_lociStitched	chr1	183809849	183815049	2	4394	7980.96	1852.24	134	RGL1		APOBEC4	134	1
4_MACS_peak_1498_lociStitched	chr10	81003351	81015638	4	4389	5986.2264	2515.1489	135	ZMIZ1		PPIF	135	1
2_MACS_peak_620_lociStitched	chr1	156469880	156476042	2	4377	6945.1902	2079.675	136	MEF2D		MEF2D	136	1
2_MACS_peak_9878_lociStitched	chr7	26003038	26009081	2	4375	7806.3474	1920.4654	137		MIR148A	MIR148A	137	1
2_MACS_peak_3822_lociStitched	chr16	12057547	12064757	2	4368	5408.942	2082.248	138	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	138	1
2_MACS_peak_10310_lociStitched	chr7	130790775	130795491	2	4348	4847.1048	1621.3608	139	MKLN1,FLJ43663		FLJ43663	139	1
2_MACS_peak_825_lociStitched	chr1	192774815	192780413	2	4347	5035.401	1941.3864	140	RGS2		RGS2	140	1
4_MACS_peak_1735_lociStitched	chr11	2793556	2805236	4	4346	5386.816	2143.28	141	KCNQ1		KCNQ1OT1	141	1
2_MACS_peak_842_lociStitched	chr1	197740370	197746795	2	4342	4758.355	1994.32	142	DENND1B		DENND1B	142	1
3_MACS_peak_4502_lociStitched	chr17	75079137	75086261	3	4341	4609.9404	1664.1664	143	C17orf86,SCARNA16		C17orf86	143	1
3_MACS_peak_6832_lociStitched	chr22	38782656	38791803	3	4341	5531.1909	1730.6124	144	LOC400927	KCNJ4	LOC400927	144	1
2_MACS_peak_10181_lociStitched	chr7	104579162	104586536	2	4338	12062.3892	1901.7546	145		LOC723809	LOC723809	145	1
1_MACS_peak_4905_lociStitched	chr19	2607510	2611842	1	4333	7635.15	1666.0872	146	GNG7		GNG7	146	1
1_MACS_peak_6670_lociStitched	chr21	43480988	43485274	1	4287	6144.8382	2243.721	147	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	147	1
3_MACS_peak_6085_lociStitched	chr2	217081546	217088303	3	4272	4100.8233	1864.2563	148			XRCC5	148	1
3_MACS_peak_7413_lociStitched	chr3	129027298	129033642	3	4252	6033.144	2060.5312	149	H1FX	C3orf37,C3orf47	C3orf47	149	1
2_MACS_peak_1637_lociStitched	chr10	112217543	112221918	2	4250	5184.375	1176.875	150		DUSP5	DUSP5	150	1
1_MACS_peak_2287_lociStitched	chr12	4225022	4229223	1	4202	10000.4805	1568.6534	151			CCND2	151	1
3_MACS_peak_6754_lociStitched	chr22	24823008	24831340	3	4195	6649.7692	1785.5476	152	ADORA2A,C22orf45		ADORA2A	152	1
2_MACS_peak_881_lociStitched	chr1	203255860	203260753	2	4180	8357.7333	2157.813	153		BTG2,LOC730227	LOC730227	153	1
1_MACS_peak_4193_lociStitched	chr17	18964272	18968448	1	4177	3997.6848	1202.2704	154		GRAP	GRAP	154	1
2_MACS_peak_10895_lociStitched	chr8	134510052	134514369	2	4164	4468.9584	1343.8821	155	ST3GAL1		ST3GAL1	155	1
1_MACS_peak_11561_lociStitched	chrX	48794002	48798159	1	4158	5956.981	857.1734	156	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	156	1
3_MACS_peak_4294_lociStitched	chr17	38019812	38024654	3	4130	3737.0556	1185.3216	157	ZPBP2,IKZF3	GSDMB	IKZF3	157	1
2_MACS_peak_4303_lociStitched	chr17	38477137	38483389	2	4106	7887.5232	1724.9268	158	RARA	CDC6,RARA,GJD3	RARA	158	1
2_MACS_peak_5966_lociStitched	chr2	192540143	192544559	2	4101	4353.7344	1001.1072	159	OBFC2A		OBFC2A	159	1
2_MACS_peak_6657_lociStitched	chr21	41385074	41389369	2	4094	5074.972	1734.321	160	DSCAM		PCP4	160	1
3_MACS_peak_152_lociStitched	chr1	31226289	31231255	3	4080	3887.8814	1127.7786	161	LAPTM5	LOC100129196,MATN1	LAPTM5	161	1
1_MACS_peak_531_lociStitched	chr1	149811355	149815428	1	4074	3889.715	1548.9619	162	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	162	1
3_MACS_peak_1682_lociStitched	chr10	125823995	125832376	3	4048	4747.8365	1794.3721	163	CHST15		CHST15	163	1
3_MACS_peak_8835_lociStitched	chr5	130710804	130718204	3	4041	4600.58	1509.6	164	CDC42SE2		CDC42SE2	164	1
3_MACS_peak_9543_lociStitched	chr6	108879332	108886987	3	4031	4602.186	1514.9245	165	FOXO3		FOXO3	165	1
1_MACS_peak_7701_lociStitched	chr3	193818426	193822448	1	4023	8978.7128	1976.0086	166		HES1	HES1	166	1
2_MACS_peak_9538_lociStitched	chr6	106610762	106616085	2	4018	5244.7519	1796.5125	167			PRDM1	167	1
2_MACS_peak_582_lociStitched	chr1	154757114	154765501	2	4006	6639.9879	2702.2914	168	KCNN3		KCNN3	168	1
3_MACS_peak_3448_lociStitched	chr15	45016316	45021965	3	4002	3999.492	1316.7819	169		B2M,TRIM69,PATL2	TRIM69	169	1
3_MACS_peak_4151_lociStitched	chr17	7739839	7748412	3	3997	3686.39	1624.5835	170	KDM6B	TMEM88,CYB5D1,CHD3,LSMD1	KDM6B	170	1
3_MACS_peak_8677_lociStitched	chr5	88177040	88186117	3	3982	5028.658	2126.7411	171	MEF2C		MEF2C	171	1
1_MACS_peak_7615_lociStitched	chr3	177075056	177079030	1	3975	7949.5896	1459.2528	172			TBL1XR1	172	1
2_MACS_peak_4238_lociStitched	chr17	32691621	32699102	2	3972	6930.3984	1636.0947	173		CCL8,CCL13,CCL1	CCL1	173	1
2_MACS_peak_88_lociStitched	chr1	21616931	21622193	2	3967	4794.2082	1152.9042	174	ECE1	ECE1	ECE1	174	1
1_MACS_peak_575_lociStitched	chr1	154376676	154380630	1	3955	3875.3154	1794.3252	175	IL6R		IL6R	175	1
3_MACS_peak_4964_lociStitched	chr19	10522655	10531117	3	3954	4653.2538	1642.4742	176		PDE4A,TYK2,MIR1181,CDC37	PDE4A	176	1
3_MACS_peak_6616_lociStitched	chr21	36589601	36600843	3	3953	10398.85	3173.6166	177			RUNX1	177	1
2_MACS_peak_3612_lociStitched	chr15	75334714	75340282	2	3945	7495.0848	1640.3328	178	PPCDC	SCAMP5	PPCDC	178	1
2_MACS_peak_9138_lociStitched	chr6	11727664	11733069	2	3933	4529.39	1391.247	179	C6orf105		C6orf105	179	1
2_MACS_peak_3372_lociStitched	chr15	31555009	31559552	2	3932	6708.6481	1350.1796	180			KLF13	180	1
2_MACS_peak_6693_lociStitched	chr21	45136043	45140336	2	3926	4054.3092	1143.6552	181	PDXK		PDXK	181	1
1_MACS_peak_3872_lociStitched	chr16	23345096	23349013	1	3918	7647.9425	1416.3872	182	SCNN1B		SCNN1B	182	1
1_MACS_peak_532_lociStitched	chr1	149821533	149825449	1	3917	3278.0836	1524.8904	183	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	183	1
2_MACS_peak_3055_lociStitched	chr13	114562347	114566528	2	3915	3637.8881	1251.7914	184	GAS6	FLJ44054,GAS6	GAS6	184	1
2_MACS_peak_8325_lociStitched	chr4	185338009	185343700	2	3909	4096.9509	1380.0675	185	IRF2		IRF2	185	1
1_MACS_peak_10187_lociStitched	chr7	104651820	104655724	1	3905	4926.848	1193.4528	186	MLL5,LOC100216545		LOC100216545	186	1
2_MACS_peak_9975_lociStitched	chr7	47514464	47522100	2	3891	5228.3692	2014.3768	187	TNS3		TNS3	187	1
3_MACS_peak_2183_lociStitched	chr11	118738904	118743875	3	3883	4586.7417	1067.7708	188		CXCR5,BCL9L	CXCR5	188	1
3_MACS_peak_7873_lociStitched	chr4	40303170	40310833	3	3880	5226.166	1931.076	189		CHRNA9	CHRNA9	189	1
3_MACS_peak_6143_lociStitched	chr2	232706143	232713877	3	3876	3116.802	1415.322	190		MIR1471	MIR1471	190	1
3_MACS_peak_2700_lociStitched	chr12	92855351	92865881	3	3876	6137.937	2195.505	191		CLLU1,CLLU1OS	CLLU1OS	191	1
1_MACS_peak_3861_lociStitched	chr16	21528592	21532466	1	3875	3080.2174	1639.4768	192	SLC7A5P2	LOC100271836	SLC7A5P2	192	1
2_MACS_peak_6695_lociStitched	chr21	45199065	45204694	2	3865	5527.1151	2067.5317	193		RRP1,CSTB,LOC284837	CSTB	193	1
