KB528_6	GNE781_0	LOG2_FOLD_CHANGE	P_VALUE
LRRC47	77.8244777788393	62.4838821155677	-0.316739900170547	0.0248875790532172
CEP104	37.4090491076714	23.8816874742503	-0.647482514122839	0.010553043560373
DFFB	8.25297185919362	7.73688234311995	-0.0931613865549545	0.442262104617691
C1orf174	46.308561804401	31.7504969642166	-0.544499778879056	0.000856208870172647
LINC01134	2.60714446746991	2.34358578979325	-0.153752920535701	0.631721219481016
NPHP4	12.5962252281995	8.08228433804944	-0.640156446959976	0.00960057867236682
KCNAB2	47.5169949366245	66.639694459779	0.487938185723299	0.0524858816893131
RPL22	447.182410324108	556.303149556399	0.315007831876618	0.0595694290793256
RNF207	1.64277971400323	1.69431067751288	0.0445594015990427	0.871917374581754
ICMT	85.3190792284431	46.7907187079928	-0.866646007318459	0.0069471628290386
LINC00337	2.35885624217613	0.642538223340903	-1.87623331276471	0.00188962460018304
GPR153	1.60928647296091	0.458885785154735	-1.81021414416289	0.000173303917012175
ACOT7	74.9766730642717	45.6271959938935	-0.716547814317628	0.00319299085426382
PLEKHG5	1.16295195625246	0.59180663197864	-0.97459372853065	0.00181551007008023
NOL9	18.4080887181179	11.8558501480196	-0.634740723854123	0.00447859523466361
ZBTB48	25.7738740715035	17.9690066737396	-0.5203987461111	0.0147494271036085
KLHL21	26.5745689033353	30.545053416559	0.200892475046009	0.15439945305909
PHF13	27.9108771160442	16.9201139465178	-0.722088178522155	0.00239702342327147
THAP3	19.9472332099125	11.4133662651707	-0.805464286910746	0.00145588050505598
DNAJC11	47.2356276943048	48.5941090427379	0.0409059999886971	0.631823237839471
CAMTA1	5.93063965510845	6.63379604476777	0.161646940839843	0.0731810456903729
VAMP3	70.5533271793371	38.7820824180385	-0.863323848001505	0.000353694477997867
PER3	1.11251986701101	0.221207090349939	-2.33036156535442	5.89308188911129e-05
PARK7	435.570335550934	424.014913609812	-0.0387906941960963	0.83105338274681
ERRFI1	3.03710235550471	1.02770170294388	-1.56327395685624	0.0275370695240754
RERE	9.30547326277442	9.56892936389927	0.0402779898155443	0.886584603266408
ENO1	473.983077002193	560.804073014998	0.242661277065238	0.00918360414870362
H6PD	4.32529866723566	2.27353699200463	-0.927861278160015	0.0125042296053726
SLC25A33	17.4509673642374	16.5637296250984	-0.0752794535060769	0.207347729075496
TMEM201	15.4640650092149	9.34662488472412	-0.726402208199991	0.000482792551965989
PIK3CD	4.53303665408787	2.52641791555769	-0.843384519974897	0.000692130163330864
CLSTN1	104.9389547826	69.5196269550856	-0.594058079842719	0.00113900665253065
CTNNBIP1	36.5156826525519	20.5656335591512	-0.828280684501547	0.00165107981341299
LZIC	42.2224348423322	26.3719923532965	-0.679003208864175	0.0112714958091215
NMNAT1	11.6916664798886	7.62676970528716	-0.61633653755777	0.00174157276773105
UBE4B	56.3208529666927	37.2405106547252	-0.596796327669366	0.012156251550352
KIF1B	13.7050540942241	11.8599787345846	-0.208606599455364	0.482715781888496
RNU6-2	1.94064999637888	2.65022112372916	0.449572791370847	0.2554820766358
PGD	175.433494100097	134.090662096826	-0.387715442899256	0.00239776131144688
APITD1	8.20078255893544	4.78811949120555	-0.776302429048394	0.00524980443782707
DFFA	31.9345446390868	24.4553598330094	-0.384967186526911	0.00547545618287952
PEX14	34.9501024802231	22.6806149020253	-0.623836931641503	0.000229791429051702
TARDBP	116.006791121579	99.9734315785136	-0.214592616464489	0.0309696300221523
SRM	262.61446325355	233.842598458075	-0.167408607973124	0.0748726180436068
EXOSC10	140.516255110028	65.0342974010988	-1.11146436912853	0.00569832930060884
MTOR	45.394644946087	19.5114660551821	-1.21819993422641	0.00863122799892711
UBIAD1	20.4226194535264	23.8608571779797	0.224477949808134	0.411598605872994
PTCHD2	1.44594006298421	0.846319739813321	-0.772733029027192	0.0132527750788433
FBXO2	5.88355339048157	5.32256231532097	-0.144566802956218	0.625354418937486
FBXO44	17.5212183780086	12.869079704391	-0.445194212510302	0.0745002551226945
FBXO6	18.6244936586033	8.65174072613229	-1.10613886714278	0.00148743073739376
MAD2L2	120.165388891247	77.7447488199877	-0.628204279505196	0.000999080020762917
AGTRAP	46.2872424216892	83.212934381378	0.846193178063122	0.00673042366040965
C1orf167	2.14085368622586	3.02690228293792	0.49965590156065	0.0181527929845192
MTHFR	14.019858360231	14.1920473213866	0.0176109510549544	0.899982100229241
CLCN6	6.19363334747699	5.75893666308178	-0.104983525128388	0.674586754335693
NPPA-AS1	0.731905055702039	1.18356329168635	0.693408440775944	0.129578588496786
KIAA2013	115.454899403631	101.567487694062	-0.184890734642376	0.0333850112121996
PLOD1	50.2719116329433	26.3529810758078	-0.931786379591312	0.0019327855127251
MFN2	92.3399668500072	58.6327117140467	-0.65524943274017	0.00343745014414496
MIIP	35.1586425773219	33.7396326005572	-0.0594351074180874	0.720229802874521
TNFRSF1B	7.84955352594286	9.6951021906385	0.304645507637149	0.0483079470447165
VPS13D	12.5864819421595	5.08737965270795	-1.30688042410073	0.0117566094356472
DHRS3	0.885397297120347	0.794869335469835	-0.155607246700756	0.309512668927504
PRDM2	22.9690483978636	13.8883694481772	-0.725813856529671	0.0777101777331108
KAZN	2.16860377381371	2.59788248048137	0.260569687677109	0.361008883368732
TMEM51	1.5021261036838	1.62795265257199	0.116052808450205	0.40963961050455
EFHD2	68.8467432748369	35.6826885586274	-0.948164089663085	0.00321888612660468
CASP9	29.7567035881261	7.89550342987681	-1.91411155260918	3.94843982819137e-05
DNAJC16	18.0352025216692	11.4834547799321	-0.651258883661492	0.0518764478589978
AGMAT	10.3602425907372	16.191362941623	0.644166647693114	0.0005814512360553
DDI2	8.94910883845169	5.19478624736996	-0.784679637448388	0.160846804481192
RSC1A1	9.10822449035535	6.16771412042992	-0.562433953529691	0.368896674758226
PLEKHM2	67.4736298565251	57.3227810631453	-0.23521517124544	0.15917666445969
SLC25A34	0.982004267784821	1.53327788260526	0.642817986966102	0.22607726503937
UQCRHL	24.8967886119597	35.5467453723302	0.51375781016183	0.179161579454445
FLJ37453	2.96217165728982	4.42848566609194	0.58015820227358	0.179821474609374
SPEN	23.9230584721933	21.036482719492	-0.185508336897037	0.60105277670075
ZBTB17	33.6827551089058	18.5314546754058	-0.86203401570671	0.000295774838069101
ARHGEF19	8.50376045521385	5.72233633290741	-0.571496662557773	0.0239672442422816
RSG1	12.6368357421281	5.44630926892494	-1.2142844452342	7.14721013976663e-05
FBXO42	20.4135000756581	12.5894957272333	-0.697303069435661	0.00330417880764834
SZRD1	95.3457315252319	94.8761923157181	-0.00712224176027198	0.937328344062478
NECAP2	108.002569419919	101.864761873117	-0.0844105694251738	0.111934693490918
CROCCP3	3.74913814747399	1.58774080168245	-1.2395835746643	0.000917406052474614
NBPF1	15.2478014917586	5.56861403108683	-1.45321103643334	0.00155344023873185
CROCCP2	153.47376394068	89.7030386209196	-0.774763289332475	0.000525858238796
MST1P2	4.55145807002099	3.63682384896842	-0.323649740048781	0.280052098311791
MST1L	1.06766725298475	1.17866863757905	0.142696096755421	0.614951159000974
CROCC	18.9794833172125	9.8116657069944	-0.951870732258147	0.00409984486837577
ATP13A2	37.337546556495	15.7085595903977	-1.24907623388552	0.000101363999072497
SDHB	184.223611032626	176.403766314683	-0.0625766128607202	0.779914844401353
RCC2	123.410821431162	150.023111696348	0.281715866588892	0.163051989209283
ALDH4A1	27.4002629358234	10.5917141603743	-1.37125364387556	0.000597818677000189
IFFO2	10.0498339836996	9.09884610021642	-0.143416167320716	0.352669847002895
UBR4	40.8285573434786	22.0996191086246	-0.885557086868525	0.0371282450487698
EMC1	35.7475617928229	27.9650761215628	-0.354218587049366	0.0232680984520876
MRTO4	44.7802611846881	74.1060416286705	0.726728222783767	0.0147221676562215
AKR7A3	0.864366968233341	0.828343152298974	-0.0614153932990055	0.799507665254231
LOC100506730	5.59992682817901	4.11629360932931	-0.444062084947828	0.108533226699177
AKR7A2	74.9768706928013	39.9564569471596	-0.908016952243285	0.0050897955467081
PQLC2	18.8141112219545	9.46543485080216	-0.991074446841232	0.00259469328862222
CAPZB	137.577024217329	131.057942096443	-0.0700347722124414	0.0724422783673618
MINOS1	37.2590719796078	54.2489858782514	0.542004427116634	0.166892643899186
RPS14P3	2.18868073957556	3.43804660320643	0.651527575337719	0.090137018940862
TMCO4	20.509068164224	25.6330936009868	0.321745660772007	0.0193302621129698
OTUD3	8.6913494846122	4.17571983926307	-1.05755527746339	0.00450924415614747
MUL1	62.4161244264931	36.3930815489279	-0.778254564332536	0.00216029148636495
PINK1	76.5809176995951	28.9799641346675	-1.40192913925007	0.00060816831156289
PINK1-AS	5.91701277888709	5.22417247053686	-0.17966648413523	0.553977020487378
DDOST	460.084702026987	391.22114966392	-0.233915121728316	0.147458219626083
HP1BP3	173.462650178668	134.355760361571	-0.368566879741635	0.0922133160335829
EIF4G3	30.0648025512002	18.3501436641311	-0.712284125711853	0.0470783911622665
ECE1	35.4642903999062	36.9442692935307	0.0589835131353285	0.604098961006356
LOC100506801	0.228457220372432	1.91035104124875	3.06384182395059	0.0113829968195404
NBPF3	19.8359777271069	6.57846071461791	-1.59229755628646	0.00148191955619893
USP48	64.5449696075251	74.1721179265936	0.200572302945535	0.187826463337821
HSPG2	0.316206253102571	3.3549953906497	3.40737298139077	0.0119208224714683
LOC101928043	1.37819152793681	1.89460401783485	0.459119955085588	0.43134622146867
LINC00339	14.3231852037699	23.0325488347792	0.685321715715322	0.000367478207630832
CDC42	193.766433407903	155.343029376095	-0.318861165476708	0.150835383173767
ZBTB40	19.5606413778238	9.79764390494182	-0.997446912904436	0.0144760407459451
KDM1A	74.2079937053015	40.8509930179339	-0.861203454467948	0.000160602510848257
LUZP1	15.2662899284358	4.60815021121529	-1.72808984553748	0.000579456943238245
LINC01355	1.73862602804623	2.16315447312716	0.315189045634671	0.363950301957165
HNRNPR	87.5505668367888	68.7186113510319	-0.349415636123151	0.0802662808624817
ZNF436	9.63461681979226	3.02146311725872	-1.67297995866827	0.000405470888466143
ZNF436-AS1	1.69166392193516	1.07498132031631	-0.654131390121286	0.0813301025677252
ASAP3	0.641029912810468	0.13745314371582	-2.22145177649639	0.0123914453882018
E2F2	54.6346967853787	87.9296815002144	0.686532790365455	0.021008494876936
ID3	11.4236942354817	19.8107037295013	0.794250859463546	0.10261296171059
MDS2	0.76175125525036	3.44300829906788	2.17627778103255	0.0119315478759523
RPL11	2879.64201936206	3223.48323838097	0.16273100650086	0.43097715345975
TCEB3	47.8730547361665	31.3435906126482	-0.611043406655673	0.0216917920016066
TCEB3-AS1	7.06344792622553	10.799624443801	0.612536651093312	0.0747289832280119
PITHD1	105.517543788418	70.957188199834	-0.572462140769293	0.00393938306422546
LYPLA2	121.271914821322	102.530298089492	-0.242195183031293	0.144310339788219
GALE	24.8593918536353	18.6406652862266	-0.415337652765975	0.0695779332464585
HMGCL	56.4152428358321	40.5417020697347	-0.476678358094439	0.0362835992713138
FUCA1	80.5812533731963	44.84480054341	-0.845503521622623	0.00237325111332858
PNRC2	235.195925336659	159.19020729249	-0.5631114762289	0.012465129274609
SRSF10	29.3100913918472	21.4135144521471	-0.452875871781157	0.0225476775924263
IL22RA1	12.5396880113357	8.16282400059377	-0.619361197517754	0.0374378900049456
IFNLR1	23.351126181992	29.239821090826	0.324442353775959	0.153101875905971
GRHL3	1.9296353919103	15.8070614369549	3.03416901432162	0.0176485967777981
STPG1	15.4996768175346	7.81472902201005	-0.987970380962532	0.00279542787785092
NIPAL3	58.339048488905	44.3739908748162	-0.394747545020588	0.0498548248146392
RCAN3AS	1.71908262685821	3.49590987752697	1.02402910459186	0.0796272932129968
RCAN3	29.8057291037849	15.2090722678318	-0.970657511391174	0.00455746746075816
NCMAP	0.231097097354219	0.419128481427579	0.858893422341691	0.022793221027556
SRRM1	98.9779223164273	74.8373439320948	-0.403348401862863	0.151647243914274
CLIC4	95.9777108411462	130.552760627616	0.44386165580814	0.136709747198853
RUNX3	48.9604684703718	59.2345366558554	0.274821221228266	0.22607147609935
SYF2	141.079764127865	110.394252116716	-0.353846011373042	0.0465855835485687
RSRP1	131.373544425312	141.815412820287	0.110339556763169	0.284483339228231
TMEM50A	164.685910774946	124.315438006617	-0.40571166738856	0.0253044806742312
TMEM57	42.5822497898736	24.4460268919529	-0.800652165945841	0.00392721933064424
LDLRAP1	75.0196006565034	147.691141192084	0.977243804590203	0.0045482155865581
MAN1C1	5.71859330052613	12.0926833563476	1.08040220136983	0.000582020633950457
SEPN1	23.3036677843891	15.3163965784806	-0.605480119126892	0.0930229968121661
MTFR1L	48.5718750313656	35.5499745632987	-0.450272652559569	0.026238343480999
AUNIP	8.43874864823356	4.32655720875017	-0.963809603612137	0.001097097294986
PAQR7	1.02065022971526	0.68690373993063	-0.571308704035225	0.04348755804194
STMN1	354.886393097114	302.176157537351	-0.2319674275528	0.306605571421092
PAFAH2	18.3664182590284	10.6100222857657	-0.791642619055853	9.48667575681072e-05
PDIK1L	22.9546316291491	15.8210515554589	-0.536939787616668	0.031756655262423
ZNF593	110.324450427951	104.458329595572	-0.0788250219516781	0.783223060277319
CNKSR1	34.0874364650367	18.1712373724606	-0.907583442730825	0.000623485761542721
CEP85	31.5638544683443	18.8266323628534	-0.745498433849334	0.0447347289565367
SH3BGRL3	202.16041288798	153.896546476502	-0.393539658771078	0.143038951459563
UBXN11	25.5618572258683	20.577220722432	-0.312944524030297	0.0454442553055132
CD52	6.13659798617203	6.85532683359452	0.159786374994938	0.813039992077815
DHDDS	42.0788590758437	22.7581931417314	-0.886709566773179	0.00505077262676727
LOC101928324	1.2244049063953	1.01706742085024	-0.267665413268764	0.613399421393236
HMGN2	1111.87795409418	447.10949480598	-1.31429835016937	0.000158288064464798
RPS6KA1	88.2901176885119	64.8024784885532	-0.446202973418312	0.000452861607386405
ARID1A	52.8795678659216	64.4863103224887	0.286282538894857	0.461272496789918
PIGV	16.1051786507285	10.2834412787412	-0.647201531545255	0.011263482989521
ZDHHC18	64.6876633756865	60.0609012045416	-0.107064478712579	0.120531948441317
SFN	6.97284676296864	10.3956452731647	0.576159629145486	0.203676000118546
GPN2	47.0408279144346	30.619019928792	-0.619485346739827	0.00316919236718987
GPATCH3	32.0102999505506	19.248595930917	-0.733782981896324	0.0435590526070841
NUDC	178.487234253303	141.935509060604	-0.330585329360048	0.245808376313407
KDF1	28.4017600760136	14.241747904117	-0.995854116682602	0.00213986281484646
TRNP1	0.699951104907002	0.300913464076967	-1.21790548601168	0.0106610296500182
SLC9A1	36.7152056849625	11.8305090426598	-1.63386553098722	0.0012089334393903
WDTC1	83.5593735616232	42.3354817516226	-0.980934370534242	0.000334983503873293
TMEM222	75.0310222725598	61.7211266911937	-0.281722816717776	0.0218122313866475
ACTG1P20	1.72210905483532	1.11944705148326	-0.621390214159392	0.149121685902846
SYTL1	11.9434683699262	24.8313869191618	1.05594298880998	0.0152720408419773
MAP3K6	6.01273560568675	1.17828460207562	-2.35133347233391	0.00801535368660364
WASF2	102.202051895469	65.6747477680789	-0.638013501706104	0.0126811632260557
AHDC1	2.94055584574793	0.900583112912927	-1.70715755912616	0.000836661790545441
IFI6	31.1120417848643	12.7808834378055	-1.28348551606502	0.0066490835091075
FAM76A	16.114245409905	6.35151767578155	-1.34316336638241	0.000587404550649158
STX12	32.4159194139736	17.7127974831966	-0.871910409567705	0.00167269397768809
PPP1R8	80.7465614061452	57.8146739870656	-0.481965113173146	0.0639086123287502
THEMIS2	4.67488960182445	0.5208804974294	-3.16590796947509	0.00502930229554638
RPA2	107.720097519199	66.0089671784426	-0.70655351106314	5.66286622276761e-05
SMPDL3B	4.26916473525191	2.99558031543976	-0.511118318699433	0.00926587654193765
XKR8	25.4155826663524	13.07425256968	-0.958984833071172	0.00285820292319763
EYA3	22.6058675979996	23.4294880677039	0.0516281433979216	0.822094655135164
DNAJC8	223.610443239946	181.056738817164	-0.304545693682858	0.0587021192071052
ATPIF1	163.494357395994	221.588268492677	0.438640657542392	0.0229172872646387
SESN2	23.172901709345	81.1191219051578	1.80760332590162	0.00606821308899427
MED18	48.6454524319046	34.0905356457088	-0.51293367458283	0.124261471654838
PHACTR4	29.5280767083983	18.8306698156845	-0.649003072353289	0.00127281491442862
SNHG3	36.9104248797929	90.6766721462583	1.29670310013221	0.00387082603077506
RCC1	58.5829177412032	69.5531692260286	0.247636204508115	0.0368251620316434
SNORA73B	17.3108262745577	22.0312652099839	0.347877759825288	0.476412960262511
TRNAU1AP	45.0605528577346	45.3389700382887	0.00888660344299706	0.91046321133346
SNHG12	77.2489157942945	101.538543997385	0.394440888209483	0.0244861524339859
SNORD99	20.470662601746	30.9293819782682	0.595420205423619	0.290165813152909
SNORA61	52.1830644187544	58.6968307997776	0.169700942408538	0.793481486108962
SNORA44	21.7226381259939	29.3968807824655	0.436463759783413	0.490881309469513
SNORA16A	24.8308074603491	27.8808877427606	0.167145321598255	0.451164023555445
TAF12	62.4142983222408	36.465845737919	-0.775330715711922	0.0149378905836879
GMEB1	29.8748624372754	20.6363461667354	-0.533744517571816	0.0440176548328142
YTHDF2	105.913421949286	73.7468359790977	-0.522232368734955	0.102215237081612
EPB41	74.1471824430531	61.4101772835954	-0.271914104039262	0.235556425495124
SRSF4	187.092390862903	144.050818727797	-0.377173024445647	0.00249583781899216
MECR	33.3211586149798	26.5228978728453	-0.329200153849972	0.0929205951221267
PTPRU	0.986649420797236	0.183156649607179	-2.42945947317842	0.0109821567949205
MATN1-AS1	1.57409140230086	2.07471769412628	0.398395727144597	0.183439961547682
LAPTM5	920.640480182636	1384.72451797564	0.588889206158358	0.17982453757969
SDC3	5.2116643107545	1.24941261076346	-2.06049416454378	0.00190090834552363
PUM1	47.1227759271423	33.8906225864596	-0.475538388479838	0.0980334784891743
SNRNP40	102.483624884217	63.3448220731654	-0.69409480971082	0.00453951751613933
ZCCHC17	78.431041474015	40.7529790765888	-0.944519232473689	1.71177218349523e-06
SERINC2	8.46541117563515	3.14287255073752	-1.42949637394435	0.00227350985225059
TINAGL1	2.61917595810304	0.545850680645372	-2.26253472824806	0.00143501507704135
PEF1	74.4158664077411	51.4521925190303	-0.532377699412584	0.0127431031424812
COL16A1	0.374098198817434	0.44948100802556	0.264843138947048	0.614611151249138
ADGRB2	10.2404587115928	5.07727416289937	-1.01215427093422	0.004466872919288
PTP4A2	115.321776556017	114.85983087179	-0.0057906246286048	0.898222140063687
KHDRBS1	156.997138835649	126.378221374508	-0.312990400415404	0.00148991929565574
TMEM39B	45.5236465781485	34.0776735146847	-0.417789280366971	0.00764790335289438
KPNA6	42.9425467696132	30.8907620794733	-0.475232291946701	0.0510789866716391
TXLNA	73.7373216946435	56.7558818645097	-0.377625102398748	0.0666669806366623
CCDC28B	0.486464836781987	1.26290384947543	1.3763373731493	0.126196813240172
IQCC	11.6645424407211	4.85738599941521	-1.26387767460145	0.000174920639386581
TMEM234	17.3895605231237	9.02254008048816	-0.946615920581572	0.013046894514651
EIF3I	294.487494136919	255.628429549686	-0.204158075499906	0.101772648909639
FAM167B	1.1235263093109	0.940390480159911	-0.256702068746323	0.591017303362633
HDAC1	134.618153761524	104.226260718099	-0.36915415283664	0.0158073801704446
MARCKSL1	79.5528098716325	37.6524095557187	-1.07917069592044	0.00150251038401162
FAM229A	19.6284955362198	18.0583583352241	-0.120282853888373	0.635019985379457
BSDC1	64.4425592121982	42.7659462635607	-0.591551326800601	0.00619298976180256
ZBTB8A	4.66186503203434	4.65599084903017	-0.00181901414236773	0.991802078367363
ZBTB8OS	76.4489795873544	96.6403837370887	0.338128938133923	0.0768134309373946
RBBP4	105.503461095284	88.7744202849078	-0.249074388764912	0.161322638449856
SYNC	0.683043889322136	0.370795387199119	-0.881354986040162	0.115905267602862
KIAA1522	27.7980955657151	15.6836890377719	-0.82572110520692	0.00920069475387627
YARS	117.825758485387	236.274171744044	1.00380696154635	0.00361250344612045
S100PBP	25.6031609286004	47.8589842848557	0.902467844536948	0.0307929524346731
TMEM54	31.0288478840809	13.8757077758689	-1.16104876718633	0.00891869927102588
RNF19B	36.4274195926334	23.693046481749	-0.620561088530864	0.00840166279625811
AK2	72.5923851249925	73.1856354793488	0.0117422923638533	0.871291681175474
AZIN2	2.32047319879073	0.984710299143487	-1.23664778207428	0.00254682746422309
TRIM62	19.7420555330306	4.59663285257725	-2.10262286699684	0.000264514411645597
ZNF362	16.7648081719426	8.42000082641749	-0.993543695464803	0.0135219126161571
PHC2	45.7783485786971	30.1449827454831	-0.602747516036956	8.13750577115777e-06
ZSCAN20	7.51867496022971	2.56426190022843	-1.55193481484462	0.00869126466095296
SMIM12	25.8004862889278	24.715061759959	-0.0620077462939678	0.55034079237186
LOC653160	3.05887900387866	1.24971907899669	-1.29139920942417	0.0690091691675556
ZMYM6NB	39.187494037403	19.2444556929554	-1.02595045162587	0.00950596420544003
ZMYM6	26.2286157203447	16.4917863008287	-0.669393995696214	0.0388543602480998
ZMYM1	7.31918078505583	3.78227703336166	-0.952427143281927	0.0299958680690646
SFPQ	336.844379753643	248.640011721366	-0.43802375129866	0.0122302023922457
ZMYM4	29.7066422208998	19.714330810001	-0.59154080481309	0.102243248901879
KIAA0319L	39.8080229481962	31.429883859888	-0.340922281172968	0.0113849303707027
NCDN	37.975039419425	27.3414938679557	-0.473959392102362	0.00189621905313364
TFAP2E	1.098503563327	0.556607029936624	-0.980808514475207	0.0920878050452239
PSMB2	102.737754264463	90.6957737260428	-0.179859213182602	0.167075392604044
C1orf216	22.4857389293069	21.7788294421893	-0.0460838799446741	0.134441213960921
CLSPN	58.9049969082706	18.7516223490385	-1.65137460319945	6.29132583659221e-06
AGO4	23.6336531024858	10.5006838601655	-1.1703593599998	0.00172256764927554
AGO1	23.8783505366485	7.44810177568698	-1.68075848981611	0.000482854451084813
AGO3	13.2538212300715	5.20334322926761	-1.34889758495297	0.00613820956527372
ADPRHL2	58.7198525903635	47.6559278516282	-0.301192666423477	0.0867774370054262
TRAPPC3	101.476918714068	95.1117997109999	-0.0934553784183849	0.514481401765604
MAP7D1	83.2493446106907	96.5482253420029	0.213810826707741	0.186029768277351
THRAP3	167.70806747344	99.9954282863505	-0.746018047750921	0.0178755771812703
SH3D21	9.04536426542935	1.42074642044578	-2.6705295221787	1.67828122421931e-05
EVA1B	33.0899414878275	8.39993185582085	-1.97794321133466	0.00168387239936751
STK40	50.1927506068203	58.0854134162216	0.210696905973816	0.0603946770094699
LSM10	108.529535427309	99.5699072353572	-0.124306022625313	0.145403530757778
OSCP1	8.55322020416232	0.93699872766916	-3.19034868892015	0.000504237272950256
MRPS15	196.600874635567	196.382638213621	-0.00160235035696786	0.984179220699347
LINC01137	3.44907159699034	6.00019043858501	0.798800213735476	0.104844581647114
ZC3H12A	8.45034311176034	29.566218393652	1.80686790444949	0.0150952979847155
MEAF6	39.6003083903465	24.1272434747282	-0.714848567648122	0.000277377814641288
SNIP1	23.6058975405536	13.8863456224995	-0.765480353179744	0.0106333522686383
GNL2	114.966083930521	106.406080341245	-0.111627722585843	0.18947531124956
C1orf109	22.7738458130779	32.1180615083296	0.496006881788836	0.0175221873886689
CDCA8	126.949255725946	54.010312287044	-1.23294514174983	0.0025031579925005
EPHA10	1.86886597558772	1.0528823042689	-0.827818936235619	0.0120084140998679
MANEAL	61.8068610788098	40.5583830500376	-0.607766860994323	0.0280900568832304
YRDC	26.3193134587052	35.2512017315958	0.42155058381163	0.0185260279686922
C1orf122	87.1768905372635	98.1600138912863	0.171189707222467	0.697725625542649
MTF1	14.405429344721	9.9986825056378	-0.526802746533308	0.0753435018807088
INPP5B	36.1898746864586	25.1676144463982	-0.524017637379889	0.0138050104977828
SF3A3	131.536150584196	96.9992300080543	-0.439414155253511	0.00319637538303032
FHL3	1.23466210076217	0.369206727692215	-1.74161551550255	0.00442397685668945
UTP11L	65.9055542472517	43.9227928333608	-0.585430263613415	0.0132236578324263
