#20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_ROSE/20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam
#Using cutoff of 31914.3456 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuper
5_MACS_peak_14539_lociStitched	chr20	25261501	25302991	5	25310	132481.719	6837.552	89	1
3_MACS_peak_10555_lociStitched	chr17	75131257	75147168	3	15285	128662.7104	3648.3923	90	1
2_MACS_peak_22020_lociStitched	chr7	26002055	26011998	2	9761	127143.1296	2563.3054	91	1
4_MACS_peak_15740_lociStitched	chr22	39822906	39847008	4	16746	128883.0348	4678.1982	92	1
3_MACS_peak_2567_lociStitched	chr10	6954006	6973335	3	10025	127262.136	3943.116	93	1
2_MACS_peak_12363_lociStitched	chr2	20397484	20426477	2	22855	128847.7913	5682.628	94	1
1_MACS_peak_13282_lociStitched	chr2	112455374	112466090	1	10717	125480.0736	2701.5036	95	1
4_MACS_peak_21683_lociStitched	chr6	157976208	158007314	4	20383	125686.9036	3477.6508	96	1
1_MACS_peak_17276_lociStitched	chr3	174865616	174871627	1	6012	124330.3218	2251.1195	97	1
1_MACS_peak_22449_lociStitched	chr7	78113716	78128361	1	14646	125832.769	3860.422	98	1
1_MACS_peak_19409_lociStitched	chr5	88170764	88187205	1	16442	125515.5263	4042.8419	99	1
3_MACS_peak_7946_lociStitched	chr15	56644941	56667077	3	14368	124661.0976	4754.8128	100	1
1_MACS_peak_3472_lociStitched	chr10	112215038	112226249	1	11212	122271.6504	2539.2915	101	1
3_MACS_peak_14897_lociStitched	chr20	52345463	52371701	3	16226	122922.4062	4722.84	102	1
1_MACS_peak_2093_lociStitched	chr1	209274999	209284558	1	9560	121043.7052	3109.5427	103	1
4_MACS_peak_15304_lociStitched	chr21	45552469	45580889	4	18029	124701.276	6903.218	104	1
1_MACS_peak_13021_lociStitched	chr2	86220018	86229225	1	9208	118790.5554	2339.4987	105	1
3_MACS_peak_5802_lociStitched	chr12	92754348	92770123	3	9545	119311.0575	3377.4275	106	1
4_MACS_peak_16005_lociStitched	chr3	13035603	13061575	4	17831	120904.8544	5451.5228	107	1
4_MACS_peak_7630_lociStitched	chr15	31616669	31660832	4	33140	122689.2303	7914.0096	108	1
1_MACS_peak_6796_lociStitched	chr13	114555744	114568225	1	12482	117623.4402	3086.5513	109	1
1_MACS_peak_13923_lociStitched	chr2	202115831	202129669	1	13839	117892.841	3527.3062	110	1
1_MACS_peak_6804_lociStitched	chr13	114828810	114835187	1	6378	116166.6205	1929.0425	111	1
3_MACS_peak_16656_lociStitched	chr3	98472760	98497255	3	21020	118886.4825	4945.5405	112	1
1_MACS_peak_12593_lociStitched	chr2	43443984	43457129	1	13146	116719.713	3383.523	113	1
4_MACS_peak_22493_lociStitched	chr7	90329822	90367938	4	22176	120991.6188	7680.374	114	1
2_MACS_peak_8083_lociStitched	chr15	68568626	68599615	2	30116	118570.1118	6724.613	115	1
5_MACS_peak_10985_lociStitched	chr18	46440216	46482929	5	37827	119442.6332	8243.609	116	1
7_MACS_peak_10168_lociStitched	chr17	46516070	46571047	7	32117	120520.5794	9494.5279	117	1
5_MACS_peak_1620_lociStitched	chr1	161122485	161157967	5	20165	119322.4178	9260.802	118	1
3_MACS_peak_1532_lociStitched	chr1	156115330	156136828	3	20956	116585.8038	6705.2262	119	1
1_MACS_peak_17323_lociStitched	chr3	178229919	178241655	1	11737	113693.6736	3897.5256	120	1
4_MACS_peak_1834_lociStitched	chr1	183856247	183886044	4	16902	117117.1085	7470.1079	121	1
3_MACS_peak_16313_lociStitched	chr3	46577845	46592053	3	11727	111161.9712	2857.2288	122	1
3_MACS_peak_5386_lociStitched	chr12	48196477	48218907	3	17025	112937.293	4699.085	123	1
2_MACS_peak_23139_lociStitched	chr8	2027219	2050990	2	18091	112191.9887	4250.2548	124	1
1_MACS_peak_5809_lociStitched	chr12	92853942	92866486	1	12545	110852.5824	3168.6144	125	1
1_MACS_peak_12578_lociStitched	chr2	42322800	42335006	1	12207	110166.4736	2784.1886	126	1
1_MACS_peak_19417_lociStitched	chr5	88634583	88641560	1	6978	108700.9623	2139.8459	127	1
2_MACS_peak_14888_lociStitched	chr20	52193232	52216339	2	22855	110703.3263	4272.4843	128	1
1_MACS_peak_20346_lociStitched	chr6	11827555	11836876	1	9322	108564.4833	2265.9351	129	1
2_MACS_peak_1465_lociStitched	chr1	154374792	154394683	2	17053	112002.2428	6114.4934	130	1
1_MACS_peak_1832_lociStitched	chr1	183808978	183815933	1	6956	108303.9555	2582.3915	131	1
2_MACS_peak_18133_lociStitched	chr4	84132137	84144784	2	10879	108512.5247	3176.9264	132	1
6_MACS_peak_16294_lociStitched	chr3	46317551	46347579	6	25353	110427.97	5906.5076	133	1
2_MACS_peak_17232_lociStitched	chr3	169656235	169668475	2	11365	108420.696	4124.88	134	1
5_MACS_peak_21117_lociStitched	chr6	90053348	90086235	5	24720	110891.6753	6949.0231	135	1
6_MACS_peak_23722_lociStitched	chr8	81046200	81084597	6	28992	111024.9255	7767.7131	136	1
1_MACS_peak_13022_lociStitched	chr2	86261247	86267609	1	6363	103924.5424	1709.4694	137	1
2_MACS_peak_7628_lociStitched	chr15	31546550	31561150	2	10894	105049.92	2865.98	138	1
7_MACS_peak_23343_lociStitched	chr8	27208548	27253469	7	28890	110501.1679	9069.5499	139	1
4_MACS_peak_13850_lociStitched	chr2	197023862	197049121	4	22697	106004.4453	5402.9001	140	1
3_MACS_peak_15448_lociStitched	chr22	23188386	23210625	3	20254	103366.872	2953.3392	141	1
3_MACS_peak_15950_lociStitched	chr3	5221919	5256351	3	29697	107204.032	6993.1392	142	1
1_MACS_peak_17991_lociStitched	chr4	69434334	69443885	1	9552	102479.3647	2378.199	143	1
3_MACS_peak_17457_lociStitched	chr3	186702689	186720197	3	13528	104809.8912	5220.8856	144	1
4_MACS_peak_8155_lociStitched	chr15	75063165	75093082	4	25066	105406.5661	6106.0597	145	1
2_MACS_peak_18989_lociStitched	chr5	32570590	32594661	2	18555	104184.1022	4965.8473	146	1
1_MACS_peak_9833_lociStitched	chr17	29635148	29649669	1	14522	102201.7022	3634.6063	147	1
4_MACS_peak_10867_lociStitched	chr18	23746028	23772112	4	13261	102791.8272	4405.5876	148	1
3_MACS_peak_11797_lociStitched	chr19	35695238	35708270	3	10383	101130.9264	2833.1568	149	1
2_MACS_peak_17304_lociStitched	chr3	176908406	176921144	2	11482	101859.417	3609.9492	150	1
2_MACS_peak_13541_lociStitched	chr2	158323452	158337782	2	8217	100507.754	2739.896	151	1
1_MACS_peak_21256_lociStitched	chr6	109214177	109228918	1	14742	101308.9966	3677.8795	152	1
2_MACS_peak_12887_lociStitched	chr2	70309955	70323305	2	9606	100577.565	2957.025	153	1
5_MACS_peak_10593_lociStitched	chr17	76710864	76756492	5	30191	105756.5784	8719.5108	154	1
3_MACS_peak_7314_lociStitched	chr14	81930544	81956751	3	21494	99924.6703	3278.4957	155	1
3_MACS_peak_11864_lociStitched	chr19	39880581	39904023	3	19087	101590.5954	5103.3234	156	1
3_MACS_peak_12660_lociStitched	chr2	47526624	47550781	3	15122	100420.649	4575.3358	157	1
1_MACS_peak_2030_lociStitched	chr1	205251856	205258827	1	6972	98270.8841	3014.9575	158	1
2_MACS_peak_23399_lociStitched	chr8	29622079	29634563	2	7407	96959.4828	2451.8576	159	1
2_MACS_peak_4693_lociStitched	chr11	115090178	115102577	2	10479	97095.3291	2613.7092	160	1
1_MACS_peak_2775_lociStitched	chr10	30988959	30997057	1	8099	96188.044	1754.0268	161	1
3_MACS_peak_24905_lociStitched	chr9	112668551	112683448	3	10371	97572.3706	3384.5984	162	1
3_MACS_peak_5661_lociStitched	chr12	68751834	68770624	3	11484	97835.772	3878.256	163	1
2_MACS_peak_25626_lociStitched	chrX	48790124	48805835	2	13954	95719.2675	2022.0057	164	1
6_MACS_peak_14772_lociStitched	chr20	43660353	43694143	6	23067	99389.906	5757.816	165	1
4_MACS_peak_1367_lociStitched	chr1	149802690	149834129	4	18774	102535.1546	9111.0222	166	1
2_MACS_peak_17829_lociStitched	chr4	38307093	38322417	2	13257	96783.3192	3375.8772	167	1
2_MACS_peak_14610_lociStitched	chr20	32461560	32473757	2	9207	95756.2076	2647.9687	168	1
1_MACS_peak_18844_lociStitched	chr5	1311513	1320735	1	9223	93375.5166	2209.5912	169	1
1_MACS_peak_12325_lociStitched	chr2	11883469	11898287	1	14819	94449.932	3467.412	170	1
9_MACS_peak_13262_lociStitched	chr2	112186344	112242379	9	33740	100089.717	9172.9295	171	1
3_MACS_peak_4358_lociStitched	chr11	71414007	71426893	3	11550	93371.956	3132.5866	172	1
2_MACS_peak_8259_lociStitched	chr15	81576074	81597277	2	15116	95381.6955	5224.4192	173	1
1_MACS_peak_3240_lociStitched	chr10	91645374	91651177	1	5804	91443.0937	1616.7158	174	1
3_MACS_peak_12579_lociStitched	chr2	42343543	42361158	3	13785	92351.922	3877.0615	175	1
2_MACS_peak_22758_lociStitched	chr7	114561629	114574342	2	11406	92779.474	4347.846	176	1
4_MACS_peak_1884_lociStitched	chr1	192498496	192521273	4	14545	94078.1208	5885.5768	177	1
2_MACS_peak_15053_lociStitched	chr21	19151831	19169405	2	15850	92045.5824	3878.5818	178	1
2_MACS_peak_18872_lociStitched	chr5	6475500	6487813	2	11701	90690.1702	2767.9624	179	1
2_MACS_peak_20114_lociStitched	chr5	173696420	173710102	2	9954	90584.4174	3042.8768	180	1
2_MACS_peak_8834_lociStitched	chr16	23404687	23419488	2	9603	89978.2392	2789.9885	181	1
2_MACS_peak_3884_lociStitched	chr11	26098904	26111072	2	7609	89623.404	2445.768	182	1
1_MACS_peak_19795_lociStitched	chr5	139046402	139052398	1	5997	88753.3916	1587.7408	183	1
2_MACS_peak_2596_lociStitched	chr10	11281901	11313395	2	25932	93597.0186	6692.475	184	1
1_MACS_peak_1522_lociStitched	chr1	155938589	155952628	1	14040	90673.6893	4293.1262	185	1
5_MACS_peak_13955_lociStitched	chr2	204548203	204574511	5	15599	91688.6416	5464.1716	186	1
3_MACS_peak_18028_lociStitched	chr4	74453869	74475599	3	14710	90027.39	3987.455	187	1
3_MACS_peak_16288_lociStitched	chr3	46130158	46153690	3	17175	90473.4804	4635.804	188	1
4_MACS_peak_11632_lociStitched	chr19	16693729	16716990	4	14026	90317.8108	4484.7208	189	1
5_MACS_peak_8354_lociStitched	chr15	89646604	89675184	5	17005	90947.276	5224.424	190	1
1_MACS_peak_5932_lociStitched	chr12	102870673	102879510	1	8838	87237.9803	2122.6474	191	1
7_MACS_peak_4998_lociStitched	chr12	7045514	7085636	7	27129	92477.1978	7787.6802	192	1
2_MACS_peak_13539_lociStitched	chr2	158292993	158311521	2	12427	88643.5104	4144.7136	193	1
3_MACS_peak_8027_lociStitched	chr15	65169186	65189860	3	11855	87513.042	3539.3888	194	1
1_MACS_peak_20669_lociStitched	chr6	32934504	32943154	1	8651	86453.29	2813.845	195	1
6_MACS_peak_8471_lociStitched	chr15	101661140	101692489	6	19509	88899.4942	5338.7347	196	1
2_MACS_peak_5776_lociStitched	chr12	89737993	89749946	2	11467	85994.6632	2684.6438	197	1
5_MACS_peak_13112_lociStitched	chr2	97190562	97220656	5	20359	88837.488	5678.7378	198	1
1_MACS_peak_18271_lociStitched	chr4	105407020	105417787	1	10768	85498.5936	2393.5041	199	1
3_MACS_peak_19387_lociStitched	chr5	86408211	86420713	3	10209	85807.477	2810.4496	200	1
5_MACS_peak_13073_lociStitched	chr2	89039382	89066799	5	13340	86920.1151	4323.6609	201	1
2_MACS_peak_22942_lociStitched	chr7	136035047	136047356	2	10282	86314.4007	4081.6644	202	1
2_MACS_peak_2380_lociStitched	chr1	234733856	234750113	2	12368	86371.8153	4608.8595	203	1
1_MACS_peak_19412_lociStitched	chr5	88565097	88570196	1	5100	82338.1421	1483.809	204	1
1_MACS_peak_19204_lociStitched	chr5	61984501	61991381	1	6881	82347.408	1594.096	205	1
1_MACS_peak_21953_lociStitched	chr7	20254724	20262712	1	7989	82841.9504	2211.8772	206	1
2_MACS_peak_17462_lociStitched	chr3	186779300	186792518	2	10866	84732.6672	4449.1788	207	1
1_MACS_peak_14167_lociStitched	chr2	231729235	231739825	1	10591	81029.385	1099.242	208	1
4_MACS_peak_15185_lociStitched	chr21	36236043	36262978	4	14027	86388.6255	6884.586	209	1
2_MACS_peak_17313_lociStitched	chr3	177068556	177080043	2	9180	82530.6489	3546.0369	210	1
1_MACS_peak_3246_lociStitched	chr10	91804817	91813376	1	8560	80891.109	1930.0545	211	1
1_MACS_peak_11752_lociStitched	chr19	29120521	29126439	1	5919	80291.8732	1415.5856	212	1
1_MACS_peak_21463_lociStitched	chr6	135190309	135196266	1	5958	80120.4586	1734.6784	213	1
1_MACS_peak_14809_lociStitched	chr20	45978221	45987354	1	9134	80098.2366	2174.5673	214	1
3_MACS_peak_12406_lociStitched	chr2	25623621	25645943	3	11691	81910.579	4031.3532	215	1
1_MACS_peak_9965_lociStitched	chr17	37909267	37916690	1	7424	79687.3896	1860.9461	216	1
3_MACS_peak_21546_lociStitched	chr6	139631958	139649277	3	11873	80684.0253	3250.7763	217	1
2_MACS_peak_19137_lociStitched	chr5	55436738	55453731	2	16290	81024.3233	3697.6768	218	1
1_MACS_peak_22673_lociStitched	chr7	104651429	104658542	1	7114	78690.4077	1884.2337	219	1
2_MACS_peak_9080_lociStitched	chr16	56963106	56986013	2	21715	81656.5829	4950.2027	220	1
1_MACS_peak_23948_lociStitched	chr8	118450158	118457856	1	7699	78233.2344	1988.3934	221	1
3_MACS_peak_15528_lociStitched	chr22	29207029	29225854	3	13200	79859.415	3631.3425	222	1
4_MACS_peak_17156_lociStitched	chr3	156804551	156824693	4	14567	81820.8324	5986.2024	223	1
5_MACS_peak_5815_lociStitched	chr12	92930683	92951264	5	16100	79998.347	4301.429	224	1
5_MACS_peak_20547_lociStitched	chr6	27774594	27808112	5	20567	81917.992	6267.866	225	1
1_MACS_peak_4222_lociStitched	chr11	65263306	65278870	1	15565	79441.7688	3866.0976	226	1
2_MACS_peak_21095_lociStitched	chr6	88625496	88640547	2	14219	78524.0772	3458.7198	227	1
1_MACS_peak_25421_lociStitched	chrX	19469645	19470911	1	1267	75228.1254	173.0622	228	1
5_MACS_peak_11609_lociStitched	chr19	16243610	16272623	5	22798	80023.6566	5039.5581	229	1
2_MACS_peak_17859_lociStitched	chr4	40302290	40319877	2	12296	78163.6628	3830.4486	230	1
1_MACS_peak_1136_lociStitched	chr1	111172789	111181521	1	8733	75562.362	1405.852	231	1
2_MACS_peak_2283_lociStitched	chr1	226839369	226852628	2	12827	78480.021	4476.2384	232	1
2_MACS_peak_9078_lociStitched	chr16	56943379	56952879	2	8614	76246.05	2383.55	233	1
2_MACS_peak_10628_lociStitched	chr17	78873396	78887164	2	8744	76057.1856	2207.0104	234	1
4_MACS_peak_6813_lociStitched	chr13	115023003	115048883	4	18271	78294.764	4648.048	235	1
1_MACS_peak_22273_lociStitched	chr7	55568745	55586560	1	17816	77151.4205	3532.7145	236	1
3_MACS_peak_20185_lociStitched	chr5	180228259	180249433	3	15293	77556.1272	4086.582	237	1
3_MACS_peak_191_lociStitched	chr1	17221238	17241598	3	12113	79465.08	6075.424	238	1
6_MACS_peak_20104_lociStitched	chr5	173309962	173357002	6	36600	81647.328	8260.224	239	1
7_MACS_peak_9158_lociStitched	chr16	67554729	67601620	7	22633	80535.2925	7169.6339	240	1
1_MACS_peak_18049_lociStitched	chr4	76023085	76029925	1	6841	74986.236	1824.912	241	1
5_MACS_peak_7718_lociStitched	chr15	40329689	40358601	5	17706	78192.504	5261.984	242	1
3_MACS_peak_24717_lociStitched	chr9	93670878	93689315	3	10346	76072.9057	3373.971	243	1
3_MACS_peak_20474_lociStitched	chr6	25365949	25390528	3	18863	77699.1348	5041.1529	244	1
2_MACS_peak_19562_lociStitched	chr5	112256236	112267644	2	9957	75223.2112	2781.2704	245	1
1_MACS_peak_13687_lociStitched	chr2	175457050	175464728	1	7679	74467.3864	2025.4564	246	1
1_MACS_peak_14944_lociStitched	chr20	56047570	56058649	1	11080	74894.04	2497.2066	247	1
2_MACS_peak_14905_lociStitched	chr20	52481361	52490974	2	9037	74658.4032	2271.5519	248	1
1_MACS_peak_23389_lociStitched	chr8	29409841	29416563	1	6723	74244.49	1860.6496	249	1
2_MACS_peak_15460_lociStitched	chr22	23477602	23488911	2	10398	74600.9494	2424.6496	250	1
2_MACS_peak_4944_lociStitched	chr12	4216336	4229904	2	7613	75100.2368	3104.3584	251	1
5_MACS_peak_14909_lociStitched	chr20	52530702	52566905	5	19197	78122.4537	6201.5739	252	1
1_MACS_peak_19605_lociStitched	chr5	118667331	118678919	1	11589	74426.2476	3063.8672	253	1
4_MACS_peak_6178_lociStitched	chr12	123354985	123387400	4	25309	74648.5035	3361.4355	254	1
2_MACS_peak_19695_lociStitched	chr5	131435164	131444081	2	7609	73113.1581	2170.3978	255	1
2_MACS_peak_15526_lociStitched	chr22	29183359	29199902	2	16212	74327.699	3672.546	256	1
1_MACS_peak_16539_lociStitched	chr3	69127993	69146188	1	18196	74362.965	3759.087	257	1
4_MACS_peak_9897_lociStitched	chr17	34408756	34433064	4	20560	75665.9424	5432.838	258	1
2_MACS_peak_14073_lociStitched	chr2	219742861	219763417	2	16901	74013.9336	3971.4192	259	1
