REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
4_MACS_peak_1294_lociStitched	chr1	145427076	145458000	4	21312	146629.2384	9410.1732	74	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	74	1
2_MACS_peak_4852_lociStitched	chr11	128584616	128618649	2	27813	143809.8448	7143.5267	75	FLI1		FLI1	75	1
3_MACS_peak_1600_lociStitched	chr1	160633807	160655887	3	15556	143259.456	6937.536	76	CD48	SLAMF1	SLAMF1	76	1
4_MACS_peak_2574_lociStitched	chr10	7511087	7536311	4	17710	140555.6952	5052.3672	77			SFMBT2	77	1
9_MACS_peak_21515_lociStitched	chr6	138246753	138297698	9	28907	144286.429	9348.4075	78			TNFAIP3	78	1
2_MACS_peak_22274_lociStitched	chr7	55594691	55606235	2	11100	137334.3504	2535.0624	79	VOPP1		VOPP1	79	1
1_MACS_peak_11117_lociStitched	chr18	60821868	60831472	1	9605	137551.3692	3102.092	80	BCL2		BCL2	80	1
2_MACS_peak_7724_lociStitched	chr15	40386896	40409030	2	17250	139393.2918	4969.083	81	BMF	BUB1B	BMF	81	1
2_MACS_peak_14893_lociStitched	chr20	52257788	52279739	2	15516	137713.9887	4111.4223	82			ZNF217	82	1
7_MACS_peak_9183_lociStitched	chr16	68269845	68321051	7	36840	141174.942	9457.7482	83	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	83	1
4_MACS_peak_15664_lociStitched	chr22	37610881	37642328	4	28919	138077.4876	6981.234	84	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	84	1
4_MACS_peak_18747_lociStitched	chr4	185317501	185350267	4	22350	134704.3026	6107.5824	85	IRF2		IRF2	85	1
6_MACS_peak_20893_lociStitched	chr6	52392705	52443061	6	42034	137527.2716	9834.5268	86	TRAM2		TRAM2	86	1
7_MACS_peak_11920_lociStitched	chr19	42022418	42070720	7	27704	135496.7704	9042.1344	87		CEACAM21	CEACAM21	87	1
4_MACS_peak_7690_lociStitched	chr15	38360849	38380727	4	12409	129986.2176	4114.746	88			TMCO5A	88	1
5_MACS_peak_14539_lociStitched	chr20	25261501	25302991	5	25310	132481.719	6837.552	89	PYGB,ABHD12		PYGB	89	1
3_MACS_peak_10555_lociStitched	chr17	75131257	75147168	3	15285	128662.7104	3648.3923	90	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	90	1
2_MACS_peak_22020_lociStitched	chr7	26002055	26011998	2	9761	127143.1296	2563.3054	91		MIR148A	MIR148A	91	1
4_MACS_peak_15740_lociStitched	chr22	39822906	39847008	4	16746	128883.0348	4678.1982	92	TAB1	MGAT3	MGAT3	92	1
3_MACS_peak_2567_lociStitched	chr10	6954006	6973335	3	10025	127262.136	3943.116	93			LOC439949	93	1
2_MACS_peak_12363_lociStitched	chr2	20397484	20426477	2	22855	128847.7913	5682.628	94	SDC1		SDC1	94	1
1_MACS_peak_13282_lociStitched	chr2	112455374	112466090	1	10717	125480.0736	2701.5036	95			ANAPC1	95	1
4_MACS_peak_21683_lociStitched	chr6	157976208	158007314	4	20383	125686.9036	3477.6508	96	ZDHHC14	MIR3692	MIR3692	96	1
1_MACS_peak_17276_lociStitched	chr3	174865616	174871627	1	6012	124330.3218	2251.1195	97	NAALADL2		NAALADL2	97	1
1_MACS_peak_22449_lociStitched	chr7	78113716	78128361	1	14646	125832.769	3860.422	98	MAGI2		RPL13AP17	98	1
1_MACS_peak_19409_lociStitched	chr5	88170764	88187205	1	16442	125515.5263	4042.8419	99	MEF2C		MEF2C	99	1
3_MACS_peak_7946_lociStitched	chr15	56644941	56667077	3	14368	124661.0976	4754.8128	100	TEX9		TEX9	100	1
1_MACS_peak_3472_lociStitched	chr10	112215038	112226249	1	11212	122271.6504	2539.2915	101		DUSP5	DUSP5	101	1
3_MACS_peak_14897_lociStitched	chr20	52345463	52371701	3	16226	122922.4062	4722.84	102			SUMO1P1	102	1
1_MACS_peak_2093_lociStitched	chr1	209274999	209284558	1	9560	121043.7052	3109.5427	103			LOC642587	103	1
4_MACS_peak_15304_lociStitched	chr21	45552469	45580889	4	18029	124701.276	6903.218	104	C21orf33	PWP2	C21orf33	104	1
1_MACS_peak_13021_lociStitched	chr2	86220018	86229225	1	9208	118790.5554	2339.4987	105		LOC90784	LOC90784	105	1
3_MACS_peak_5802_lociStitched	chr12	92754348	92770123	3	9545	119311.0575	3377.4275	106		CLLU1	CLLU1	106	1
4_MACS_peak_16005_lociStitched	chr3	13035603	13061575	4	17831	120904.8544	5451.5228	107	IQSEC1	IQSEC1	IQSEC1	107	1
4_MACS_peak_7630_lociStitched	chr15	31616669	31660832	4	33140	122689.2303	7914.0096	108	KLF13		KLF13	108	1
1_MACS_peak_6796_lociStitched	chr13	114555744	114568225	1	12482	117623.4402	3086.5513	109	GAS6	FLJ44054,GAS6	GAS6	109	1
1_MACS_peak_13923_lociStitched	chr2	202115831	202129669	1	13839	117892.841	3527.3062	110	CASP8		CASP8	110	1
1_MACS_peak_6804_lociStitched	chr13	114828810	114835187	1	6378	116166.6205	1929.0425	111	RASA3		RASA3	111	1
3_MACS_peak_16656_lociStitched	chr3	98472760	98497255	3	21020	118886.4825	4945.5405	112	ST3GAL6		ST3GAL6	112	1
1_MACS_peak_12593_lociStitched	chr2	43443984	43457129	1	13146	116719.713	3383.523	113	LOC100129726,ZFP36L2		ZFP36L2	113	1
4_MACS_peak_22493_lociStitched	chr7	90329822	90367938	4	22176	120991.6188	7680.374	114	CDK14		CDK14	114	1
2_MACS_peak_8083_lociStitched	chr15	68568626	68599615	2	30116	118570.1118	6724.613	115	FEM1B,ITGA11	CLN6	FEM1B	115	1
5_MACS_peak_10985_lociStitched	chr18	46440216	46482929	5	37827	119442.6332	8243.609	116	SMAD7		SMAD7	116	1
7_MACS_peak_10168_lociStitched	chr17	46516070	46571047	7	32117	120520.5794	9494.5279	117		SKAP1,HOXB1	SKAP1	117	1
5_MACS_peak_1620_lociStitched	chr1	161122485	161157967	5	20165	119322.4178	9260.802	118	UFC1,USP21,PPOX,B4GALT3	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,ADAMTS4,APOA2	PPOX	118	1
3_MACS_peak_1532_lociStitched	chr1	156115330	156136828	3	20956	116585.8038	6705.2262	119	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	119	1
1_MACS_peak_17323_lociStitched	chr3	178229919	178241655	1	11737	113693.6736	3897.5256	120		KCNMB2	KCNMB2	120	1
4_MACS_peak_1834_lociStitched	chr1	183856247	183886044	4	16902	117117.1085	7470.1079	121	RGL1		GLT25D2	121	1
3_MACS_peak_16313_lociStitched	chr3	46577845	46592053	3	11727	111161.9712	2857.2288	122	LRRC2	RTP3,TDGF1	LRRC2	122	1
3_MACS_peak_5386_lociStitched	chr12	48196477	48218907	3	17025	112937.293	4699.085	123	HDAC7	SLC48A1,RAPGEF3	HDAC7	123	1
2_MACS_peak_23139_lociStitched	chr8	2027219	2050990	2	18091	112191.9887	4250.2548	124	MYOM2		MYOM2	124	1
1_MACS_peak_5809_lociStitched	chr12	92853942	92866486	1	12545	110852.5824	3168.6144	125		CLLU1,CLLU1OS	CLLU1OS	125	1
1_MACS_peak_12578_lociStitched	chr2	42322800	42335006	1	12207	110166.4736	2784.1886	126		PKDCC	PKDCC	126	1
1_MACS_peak_19417_lociStitched	chr5	88634583	88641560	1	6978	108700.9623	2139.8459	127			MEF2C	127	1
2_MACS_peak_14888_lociStitched	chr20	52193232	52216339	2	22855	110703.3263	4272.4843	128	ZNF217		ZNF217	128	1
1_MACS_peak_20346_lociStitched	chr6	11827555	11836876	1	9322	108564.4833	2265.9351	129		C6orf105	C6orf105	129	1
2_MACS_peak_1465_lociStitched	chr1	154374792	154394683	2	17053	112002.2428	6114.4934	130	IL6R		IL6R	130	1
1_MACS_peak_1832_lociStitched	chr1	183808978	183815933	1	6956	108303.9555	2582.3915	131	RGL1		APOBEC4	131	1
2_MACS_peak_18133_lociStitched	chr4	84132137	84144784	2	10879	108512.5247	3176.9264	132			COQ2	132	1
6_MACS_peak_16294_lociStitched	chr3	46317551	46347579	6	25353	110427.97	5906.5076	133		CCR3,CCR2	CCR3	133	1
2_MACS_peak_17232_lociStitched	chr3	169656235	169668475	2	11365	108420.696	4124.88	134	SAMD7,LOC100128164	SEC62	LOC100128164	134	1
5_MACS_peak_21117_lociStitched	chr6	90053348	90086235	5	24720	110891.6753	6949.0231	135	UBE2J1,RRAGD	GABRR2	UBE2J1	135	1
6_MACS_peak_23722_lociStitched	chr8	81046200	81084597	6	28992	111024.9255	7767.7131	136	TPD52		TPD52	136	1
1_MACS_peak_13022_lociStitched	chr2	86261247	86267609	1	6363	103924.5424	1709.4694	137	POLR1A	LOC90784	LOC90784	137	1
2_MACS_peak_7628_lociStitched	chr15	31546550	31561150	2	10894	105049.92	2865.98	138			KLF13	138	1
7_MACS_peak_23343_lociStitched	chr8	27208548	27253469	7	28890	110501.1679	9069.5499	139	PTK2B	TRIM35	PTK2B	139	1
4_MACS_peak_13850_lociStitched	chr2	197023862	197049121	4	22697	106004.4453	5402.9001	140	STK17B		STK17B	140	1
3_MACS_peak_15448_lociStitched	chr22	23188386	23210625	3	20254	103366.872	2953.3392	141		MIR650,IGLL5	IGLL5	141	1
3_MACS_peak_15950_lociStitched	chr3	5221919	5256351	3	29697	107204.032	6993.1392	142	ARL8B,EDEM1		EDEM1	142	1
1_MACS_peak_17991_lociStitched	chr4	69434334	69443885	1	9552	102479.3647	2378.199	143		UGT2B15,UGT2B17	UGT2B17	143	1
3_MACS_peak_17457_lociStitched	chr3	186702689	186720197	3	13528	104809.8912	5220.8856	144	ST6GAL1	ST6GAL1	ST6GAL1	144	1
4_MACS_peak_8155_lociStitched	chr15	75063165	75093082	4	25066	105406.5661	6106.0597	145	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	145	1
2_MACS_peak_18989_lociStitched	chr5	32570590	32594661	2	18555	104184.1022	4965.8473	146	SUB1		SUB1	146	1
1_MACS_peak_9833_lociStitched	chr17	29635148	29649669	1	14522	102201.7022	3634.6063	147	NF1,EVI2B,EVI2A	OMG	EVI2B	147	1
4_MACS_peak_10867_lociStitched	chr18	23746028	23772112	4	13261	102791.8272	4405.5876	148	PSMA8	TAF4B	PSMA8	148	1
3_MACS_peak_11797_lociStitched	chr19	35695238	35708270	3	10383	101130.9264	2833.1568	149		FXYD5,LSR,FAM187B	FAM187B	149	1
2_MACS_peak_17304_lociStitched	chr3	176908406	176921144	2	11482	101859.417	3609.9492	150	TBL1XR1		TBL1XR1	150	1
2_MACS_peak_13541_lociStitched	chr2	158323452	158337782	2	8217	100507.754	2739.896	151		CYTIP	CYTIP	151	1
1_MACS_peak_21256_lociStitched	chr6	109214177	109228918	1	14742	101308.9966	3677.8795	152	ARMC2		ARMC2	152	1
2_MACS_peak_12887_lociStitched	chr2	70309955	70323305	2	9606	100577.565	2957.025	153	PCBP1,LOC400960	LOC100133985	PCBP1	153	1
5_MACS_peak_10593_lociStitched	chr17	76710864	76756492	5	30191	105756.5784	8719.5108	154	CYTH1		CYTH1	154	1
3_MACS_peak_7314_lociStitched	chr14	81930544	81956751	3	21494	99924.6703	3278.4957	155	SEL1L		SEL1L	155	1
3_MACS_peak_11864_lociStitched	chr19	39880581	39904023	3	19087	101590.5954	5103.3234	156	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	156	1
3_MACS_peak_12660_lociStitched	chr2	47526624	47550781	3	15122	100420.649	4575.3358	157		EPCAM	EPCAM	157	1
1_MACS_peak_2030_lociStitched	chr1	205251856	205258827	1	6972	98270.8841	3014.9575	158		NUAK2	NUAK2	158	1
2_MACS_peak_23399_lociStitched	chr8	29622079	29634563	2	7407	96959.4828	2451.8576	159		C8orf75	C8orf75	159	1
2_MACS_peak_4693_lociStitched	chr11	115090178	115102577	2	10479	97095.3291	2613.7092	160	CADM1		CADM1	160	1
1_MACS_peak_2775_lociStitched	chr10	30988959	30997057	1	8099	96188.044	1754.0268	161			LYZL2	161	1
3_MACS_peak_24905_lociStitched	chr9	112668551	112683448	3	10371	97572.3706	3384.5984	162	PALM2,PALM2-AKAP2		PALM2	162	1
3_MACS_peak_5661_lociStitched	chr12	68751834	68770624	3	11484	97835.772	3878.256	163		MDM1	MDM1	163	1
2_MACS_peak_25626_lociStitched	chrX	48790124	48805835	2	13954	95719.2675	2022.0057	164	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	164	1
6_MACS_peak_14772_lociStitched	chr20	43660353	43694143	6	23067	99389.906	5757.816	165	STK4	KCNS1,WFDC5	KCNS1	165	1
4_MACS_peak_1367_lociStitched	chr1	149802690	149834129	4	18774	102535.1546	9111.0222	166	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	166	1
2_MACS_peak_17829_lociStitched	chr4	38307093	38322417	2	13257	96783.3192	3375.8772	167			KLF3	167	1
2_MACS_peak_14610_lociStitched	chr20	32461560	32473757	2	9207	95756.2076	2647.9687	168			CHMP4B	168	1
1_MACS_peak_18844_lociStitched	chr5	1311513	1320735	1	9223	93375.5166	2209.5912	169	CLPTM1L	TERT	TERT	169	1
1_MACS_peak_12325_lociStitched	chr2	11883469	11898287	1	14819	94449.932	3467.412	170	LPIN1		LPIN1	170	1
9_MACS_peak_13262_lociStitched	chr2	112186344	112242379	9	33740	100089.717	9172.9295	171	LOC541471		LOC541471	171	1
3_MACS_peak_4358_lociStitched	chr11	71414007	71426893	3	11550	93371.956	3132.5866	172			FAM86C	172	1
2_MACS_peak_8259_lociStitched	chr15	81576074	81597277	2	15116	95381.6955	5224.4192	173	IL16	STARD5	IL16	173	1
1_MACS_peak_3240_lociStitched	chr10	91645374	91651177	1	5804	91443.0937	1616.7158	174			KIF20B	174	1
3_MACS_peak_12579_lociStitched	chr2	42343543	42361158	3	13785	92351.922	3877.0615	175		EML4	EML4	175	1
2_MACS_peak_22758_lociStitched	chr7	114561629	114574342	2	11406	92779.474	4347.846	176	MDFIC		MDFIC	176	1
4_MACS_peak_1884_lociStitched	chr1	192498496	192521273	4	14545	94078.1208	5885.5768	177		RGS1	RGS1	177	1
2_MACS_peak_15053_lociStitched	chr21	19151831	19169405	2	15850	92045.5824	3878.5818	178	C21orf91		C21orf91	178	1
2_MACS_peak_18872_lociStitched	chr5	6475500	6487813	2	11701	90690.1702	2767.9624	179	UBE2QL1		UBE2QL1	179	1
2_MACS_peak_20114_lociStitched	chr5	173696420	173710102	2	9954	90584.4174	3042.8768	180			HMP19	180	1
2_MACS_peak_8834_lociStitched	chr16	23404687	23419488	2	9603	89978.2392	2789.9885	181	COG7		COG7	181	1
2_MACS_peak_3884_lociStitched	chr11	26098904	26111072	2	7609	89623.404	2445.768	182			ANO3	182	1
1_MACS_peak_19795_lociStitched	chr5	139046402	139052398	1	5997	88753.3916	1587.7408	183	CXXC5		CXXC5	183	1
2_MACS_peak_2596_lociStitched	chr10	11281901	11313395	2	25932	93597.0186	6692.475	184	CELF2		CELF2	184	1
1_MACS_peak_1522_lociStitched	chr1	155938589	155952628	1	14040	90673.6893	4293.1262	185	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	185	1
5_MACS_peak_13955_lociStitched	chr2	204548203	204574511	5	15599	91688.6416	5464.1716	186	CD28		CD28	186	1
3_MACS_peak_18028_lociStitched	chr4	74453869	74475599	3	14710	90027.39	3987.455	187	RASSF6		RASSF6	187	1
3_MACS_peak_16288_lociStitched	chr3	46130158	46153690	3	17175	90473.4804	4635.804	188			XCR1	188	1
4_MACS_peak_11632_lociStitched	chr19	16693729	16716990	4	14026	90317.8108	4484.7208	189	MED26	CHERP,SLC35E1	SLC35E1	189	1
5_MACS_peak_8354_lociStitched	chr15	89646604	89675184	5	17005	90947.276	5224.424	190	ABHD2		ABHD2	190	1
1_MACS_peak_5932_lociStitched	chr12	102870673	102879510	1	8838	87237.9803	2122.6474	191	IGF1		IGF1	191	1
7_MACS_peak_4998_lociStitched	chr12	7045514	7085636	7	27129	92477.1978	7787.6802	192	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	192	1
