REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_19701_lociStitched	chr5	131744651	131774504	3	25308	192095.0991	6663.1896	58	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	4.4367	58	1
2_MACS_peak_5471_lociStitched	chr12	53573002	53604323	2	25285	171920.969	6928.2052	59	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	ITGB7	5.9034	59	1
3_MACS_peak_7522_lociStitched	chr14	106145077	106173132	3	25242	177916.3935	3498.4585	60			TMEM121	TMEM121	0.019599999999999992	60	1
4_MACS_peak_8155_lociStitched	chr15	75063165	75093082	4	25066	105406.5661	6106.0597	61	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.9074999999999998	61	1
5_MACS_peak_21117_lociStitched	chr6	90053348	90086235	5	24720	110891.6753	6949.0231	62	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	2.0052	62	1
4_MACS_peak_5988_lociStitched	chr12	109009441	109036365	4	24482	202037.696	6424.0664	63	SELPLG	TMEM119	SELPLG	SELPLG	8.504700000000001	63	1
2_MACS_peak_3871_lociStitched	chr11	22676678	22704323	2	24027	204874.3305	5161.3215	64	GAS2	FANCF	GAS2	GAS2	1.2702	64	1
8_MACS_peak_7435_lociStitched	chr14	95945724	95986205	8	23910	49079.1644	3509.7027	65		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.4267	65	1
4_MACS_peak_3482_lociStitched	chr10	112600177	112633369	4	23217	210580.0056	7411.7736	66	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	6.2886999999999995	66	1
6_MACS_peak_14772_lociStitched	chr20	43660353	43694143	6	23067	99389.906	5757.816	67	STK4	KCNS1,WFDC5	KCNS1	KCNS1	0.030299999999999994	67	1
2_MACS_peak_14888_lociStitched	chr20	52193232	52216339	2	22855	110703.3263	4272.4843	68	ZNF217		ZNF217	ZNF217	1.6509999999999998	68	1
2_MACS_peak_12363_lociStitched	chr2	20397484	20426477	2	22855	128847.7913	5682.628	69	SDC1		SDC1	SDC1	3.5757	69	1
5_MACS_peak_11609_lociStitched	chr19	16243610	16272623	5	22798	80023.6566	5039.5581	70	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	2.169	70	1
1_MACS_peak_2590_lociStitched	chr10	11201965	11224744	1	22780	227808.2232	7077.4353	71	CELF2		CELF2	CELF2	1.7748	71	1
4_MACS_peak_13850_lociStitched	chr2	197023862	197049121	4	22697	106004.4453	5402.9001	72	STK17B		STK17B	STK17B	1.0454999999999999	72	1
3_MACS_peak_3763_lociStitched	chr11	10314360	10345012	3	22695	162256.362	7043.8296	73	ADM,SBF2		ADM	ADM	7.7482999999999995	73	1
7_MACS_peak_9158_lociStitched	chr16	67554729	67601620	7	22633	80535.2925	7169.6339	74	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	FAM65A	1.2787000000000002	74	1
4_MACS_peak_18747_lociStitched	chr4	185317501	185350267	4	22350	134704.3026	6107.5824	75	IRF2		IRF2	IRF2	3.2809999999999997	75	1
4_MACS_peak_22493_lociStitched	chr7	90329822	90367938	4	22176	120991.6188	7680.374	76	CDK14		CDK14	CDK14	0.2255	76	1
3_MACS_peak_24916_lociStitched	chr9	112903328	112925500	3	21864	70753.0692	5374.4928	77	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.614	77	1
2_MACS_peak_17258_lociStitched	chr3	171801676	171827314	2	21743	183921.8844	7981.1094	78	FNDC3B		FNDC3B	FNDC3B	0.49550000000000005	78	1
2_MACS_peak_9080_lociStitched	chr16	56963106	56986013	2	21715	81656.5829	4950.2027	79	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	3.3837	79	1
3_MACS_peak_7314_lociStitched	chr14	81930544	81956751	3	21494	99924.6703	3278.4957	80	SEL1L		SEL1L	SEL1L	1.382	80	1
2_MACS_peak_9988_lociStitched	chr17	38459076	38484488	2	21473	174062.0352	5750.7356	81	CDC6,RARA	RARA,GJD3	RARA	RARA	2.883	81	1
5_MACS_peak_10763_lociStitched	chr18	9054636	9085808	5	21422	220557.486	6399.6116	82		NDUFV2	NDUFV2	NDUFV2	3.9887	82	1
4_MACS_peak_1294_lociStitched	chr1	145427076	145458000	4	21312	146629.2384	9410.1732	83	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	4.3858	83	1
5_MACS_peak_17189_lociStitched	chr3	160115968	160141017	5	21181	66500.0852	6359.9411	84	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	MIR16-2	MIR16-2	4.9042	84	1
3_MACS_peak_10470_lociStitched	chr17	72733419	72757665	3	21083	54791.1108	4519.4544	85	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.0343	85	1
3_MACS_peak_14383_lociStitched	chr20	5567028	5592618	3	21069	58386.144	5294.571	86	GPCPD1		GPCPD1	GPCPD1	0.6791	86	1
3_MACS_peak_16656_lociStitched	chr3	98472760	98497255	3	21020	118886.4825	4945.5405	87	ST3GAL6		ST3GAL6	ST3GAL6	1.9857	87	1
3_MACS_peak_1532_lociStitched	chr1	156115330	156136828	3	20956	116585.8038	6705.2262	88	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.9156	88	1
5_MACS_peak_20643_lociStitched	chr6	31773676	31805708	5	20887	51308.8576	6102.096	89	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	HSPA1B	2.0398	89	1
3_MACS_peak_1544_lociStitched	chr1	156450314	156476116	3	20668	68279.8326	7402.5938	90	MEF2D		MEF2D	MEF2D	1.2775999999999998	90	1
5_MACS_peak_20547_lociStitched	chr6	27774594	27808112	5	20567	81917.992	6267.866	91	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4J	HIST1H4J	0.8483	91	1
4_MACS_peak_9897_lociStitched	chr17	34408756	34433064	4	20560	75665.9424	5432.838	92	CCL4,CCL3	CCL18	CCL3	CCL3	3.306	92	1
1_MACS_peak_15241_lociStitched	chr21	41324405	41344938	1	20534	173577.7688	7289.215	93			PCP4	PCP4	NONE	93	1
4_MACS_peak_21683_lociStitched	chr6	157976208	158007314	4	20383	125686.9036	3477.6508	94	ZDHHC14	MIR3692	MIR3692	NONE	NONE	94	1
5_MACS_peak_13112_lociStitched	chr2	97190562	97220656	5	20359	88837.488	5678.7378	95	ARID5A	NEURL3	ARID5A	ARID5A	1.8342999999999998	95	1
1_MACS_peak_404_lociStitched	chr1	31213143	31233457	1	20315	156074.4934	5013.4952	96	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	4.2889	96	1
1_MACS_peak_19408_lociStitched	chr5	88110513	88130792	1	20280	72872.5865	4270.7574	97	MEF2C		MEF2C	MEF2C	1.0072	97	1
3_MACS_peak_15448_lociStitched	chr22	23188386	23210625	3	20254	103366.872	2953.3392	98		MIR650,IGLL5	IGLL5	IGLL5	10.6893	98	1
5_MACS_peak_1620_lociStitched	chr1	161122485	161157967	5	20165	119322.4178	9260.802	99	UFC1,USP21,PPOX,B4GALT3	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,ADAMTS4,APOA2	PPOX	ADAMTS4	2.6061	99	1
3_MACS_peak_10287_lociStitched	chr17	56404735	56431067	3	19970	154818.994	5958.9316	100	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	5.644699999999999	100	1
5_MACS_peak_12801_lociStitched	chr2	64862527	64896294	5	19534	72315.4072	5942.992	101	SERTAD2	LOC339807	SERTAD2	SERTAD2	1.6359000000000001	101	1
6_MACS_peak_8471_lociStitched	chr15	101661140	101692489	6	19509	88899.4942	5338.7347	102			CHSY1	CHSY1	0.6753	102	1
3_MACS_peak_2016_lociStitched	chr1	204474520	204501236	3	19387	159689.5468	7186.604	103	MDM4	PIK3C2B	MDM4	MDM4	2.5784	103	1
5_MACS_peak_14909_lociStitched	chr20	52530702	52566905	5	19197	78122.4537	6201.5739	104	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	3.3931999999999998	104	1
3_MACS_peak_11864_lociStitched	chr19	39880581	39904023	3	19087	101590.5954	5103.3234	105	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	6.099	105	1
3_MACS_peak_11273_lociStitched	chr19	2073138	2098617	3	19052	160976.322	7562.1672	106	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	4.3601	106	1
2_MACS_peak_16976_lociStitched	chr3	133178914	133201078	2	19049	190472.9832	5212.9728	107	BFSP2		BFSP2	BFSP2	2.3366000000000002	107	1
1_MACS_peak_17856_lociStitched	chr4	40190941	40209963	1	19023	162050.3202	5312.8446	108	RHOH		RHOH	RHOH	2.5300000000000002	108	1
3_MACS_peak_20474_lociStitched	chr6	25365949	25390528	3	18863	77699.1348	5041.1529	109	LRRC16A		LRRC16A	LRRC16A	0.7069	109	1
4_MACS_peak_13068_lociStitched	chr2	88898726	88928445	4	18848	45740.5129	6214.2429	110	EIF2AK3		EIF2AK3	EIF2AK3	0.4765	110	1
5_MACS_peak_7282_lociStitched	chr14	77487861	77510706	5	18804	69937.683	2414.7165	111	C14orf4		C14orf4	C14orf4	2.8253	111	1
4_MACS_peak_11297_lociStitched	chr19	2594840	2628896	4	18803	166550.868	8684.28	112	GNG7		GNG7	GNG7	0.828	112	1
3_MACS_peak_1015_lociStitched	chr1	93408593	93428837	3	18785	40141.8276	2303.7672	113	FAM69A		FAM69A	FAM69A	0.45419999999999994	113	1
4_MACS_peak_1367_lociStitched	chr1	149802690	149834129	4	18774	102535.1546	9111.0222	114	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	5.0267	114	1
5_MACS_peak_7553_lociStitched	chr15	21976224	22002757	5	18588	37103.7472	4385.9049	115		LOC646214,CXADRP2	CXADRP2	LOC646214	0.1053	115	1
5_MACS_peak_13918_lociStitched	chr2	202072838	202102216	5	18583	52145.95	5534.8152	116	CASP10,CASP8	CASP8	CASP8	CASP8	2.0779	116	1
4_MACS_peak_22132_lociStitched	chr7	38383583	38408576	4	18579	39738.87	5183.5482	117			TARP	TARP	NONE	117	1
2_MACS_peak_1391_lociStitched	chr1	150532158	150553276	2	18575	170895.3032	7256.1448	118	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.3718	118	1
2_MACS_peak_18989_lociStitched	chr5	32570590	32594661	2	18555	104184.1022	4965.8473	119	SUB1		SUB1	SUB1	2.403	119	1
4_MACS_peak_6813_lociStitched	chr13	115023003	115048883	4	18271	78294.764	4648.048	120	CDC16,UPF3A	ZNF828	UPF3A	UPF3A	1.1742	120	1
5_MACS_peak_25087_lociStitched	chr9	130531776	130566883	5	18209	45895.3811	5574.9916	121	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	TOR2A	0.48350000000000004	121	1
1_MACS_peak_16539_lociStitched	chr3	69127993	69146188	1	18196	74362.965	3759.087	122	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	2.3108000000000004	122	1
7_MACS_peak_24018_lociStitched	chr8	126285330	126315989	7	18158	43293.5739	5515.5541	123	NSMCE2		TRIB1	TRIB1	NONE	123	1
2_MACS_peak_23139_lociStitched	chr8	2027219	2050990	2	18091	112191.9887	4250.2548	124	MYOM2		MYOM2	MYOM2	1.294	124	1
4_MACS_peak_15304_lociStitched	chr21	45552469	45580889	4	18029	124701.276	6903.218	125	C21orf33	PWP2	C21orf33	C21orf33	1.4642	125	1
4_MACS_peak_16005_lociStitched	chr3	13035603	13061575	4	17831	120904.8544	5451.5228	126	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.6097	126	1
1_MACS_peak_22273_lociStitched	chr7	55568745	55586560	1	17816	77151.4205	3532.7145	127	VOPP1		VOPP1	VOPP1	2.4972000000000003	127	1
3_MACS_peak_265_lociStitched	chr1	24511872	24534022	3	17768	177868.93	4547.395	128	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	2.3331	128	1
4_MACS_peak_2574_lociStitched	chr10	7511087	7536311	4	17710	140555.6952	5052.3672	129			SFMBT2	SFMBT2	NONE	129	1
5_MACS_peak_7718_lociStitched	chr15	40329689	40358601	5	17706	78192.504	5261.984	130	SRP14	BMF	SRP14	BMF	4.718	130	1
5_MACS_peak_13052_lociStitched	chr2	87794923	87821544	5	17505	46733.1655	4445.707	131	NCRNA00152		NCRNA00152	NCRNA00152	1.1033	131	1
3_MACS_peak_16130_lociStitched	chr3	30682365	30703612	3	17475	46564.9252	4030.5559	132	TGFBR2		TGFBR2	TGFBR2	0.4735	132	1
3_MACS_peak_11227_lociStitched	chr19	1015274	1041950	3	17358	52938.522	5815.368	133	CNN2,ABCA7,C19orf6	WDR18,GRIN3B,HMHA1	CNN2	CNN2	1.7651000000000001	133	1
3_MACS_peak_15476_lociStitched	chr22	24177151	24200997	3	17331	226222.2328	4728.6618	134	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	2.3956	134	1
6_MACS_peak_15745_lociStitched	chr22	39897492	39929567	6	17291	42550.695	5632.37	135	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.5814000000000001	135	1
2_MACS_peak_7724_lociStitched	chr15	40386896	40409030	2	17250	139393.2918	4969.083	136	BMF	BUB1B	BMF	BMF	4.718	136	1
3_MACS_peak_16288_lociStitched	chr3	46130158	46153690	3	17175	90473.4804	4635.804	137			XCR1	XCR1	NONE	137	1
2_MACS_peak_1465_lociStitched	chr1	154374792	154394683	2	17053	112002.2428	6114.4934	138	IL6R		IL6R	IL6R	1.4561	138	1
3_MACS_peak_5386_lociStitched	chr12	48196477	48218907	3	17025	112937.293	4699.085	139	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	2.3006	139	1
5_MACS_peak_8354_lociStitched	chr15	89646604	89675184	5	17005	90947.276	5224.424	140	ABHD2		ABHD2	ABHD2	0.7199	140	1
4_MACS_peak_1834_lociStitched	chr1	183856247	183886044	4	16902	117117.1085	7470.1079	141	RGL1		GLT25D2	GLT25D2	NONE	141	1
2_MACS_peak_14073_lociStitched	chr2	219742861	219763417	2	16901	74013.9336	3971.4192	142	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	3.0	142	1
5_MACS_peak_8812_lociStitched	chr16	22194949	22219126	5	16885	47017.0119	5014.3098	143	EEF2K		EEF2K	EEF2K	0.035900000000000015	143	1
5_MACS_peak_7545_lociStitched	chr15	20969673	20996042	5	16872	41475.8001	4158.3913	144		BCL8	BCL8	NONE	NONE	144	1
4_MACS_peak_5548_lociStitched	chr12	57093423	57120311	4	16752	30445.2824	4794.1304	145	NACA	HSD17B6,PTGES3,PRIM1	NACA	PTGES3	1.2595	145	1
4_MACS_peak_15740_lociStitched	chr22	39822906	39847008	4	16746	128883.0348	4678.1982	146	TAB1	MGAT3	MGAT3	MGAT3	0.7572	146	1
2_MACS_peak_885_lociStitched	chr1	75595980	75612817	2	16676	61354.028	2833.6671	147	LHX8		LHX8	LHX8	1.335	147	1
2_MACS_peak_5986_lociStitched	chr12	108952814	108970713	2	16676	67987.5616	4059.4932	148	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	3.7011	148	1
1_MACS_peak_15456_lociStitched	chr22	23269449	23286046	1	16598	234231.8013	4434.7184	149		IGLL5	IGLL5	IGLL5	10.6893	149	1
5_MACS_peak_7736_lociStitched	chr15	40834217	40862511	5	16589	37427.3032	5022.185	150	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.8689	150	1
1_MACS_peak_19409_lociStitched	chr5	88170764	88187205	1	16442	125515.5263	4042.8419	151	MEF2C		MEF2C	MEF2C	1.0072	151	1
2_MACS_peak_25102_lociStitched	chr9	130828750	130846633	2	16367	59811.4818	3565.8702	152	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	1.102	152	1
3_MACS_peak_8343_lociStitched	chr15	89163807	89185514	3	16366	37060.3611	3907.26	153	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.8896999999999999	153	1
4_MACS_peak_25165_lociStitched	chr9	134126932	134152480	4	16364	70096.0476	4795.3596	154	FAM78A	PPAPDC3	FAM78A	FAM78A	1.9868999999999999	154	1
3_MACS_peak_4382_lociStitched	chr11	72850526	72870104	3	16361	192324.483	4606.7034	155	FCHSD2		FCHSD2	FCHSD2	0.16480000000000003	155	1
4_MACS_peak_19932_lociStitched	chr5	150512956	150537939	4	16346	48289.6407	5046.566	156	ANXA6		ANXA6	ANXA6	0.6422	156	1
