GENE_ID	locusLine	bin_1_41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
1_MACS_peak_51_lociStitched	chr1(.):2322178-2324148	0.1687
2_MACS_peak_52_lociStitched	chr1(.):2342851-2348069	0.1561
1_MACS_peak_54_lociStitched	chr1(.):2456714-2458515	0.1018
2_MACS_peak_55_lociStitched	chr1(.):2476829-2489274	0.1357
2_MACS_peak_57_lociStitched	chr1(.):2508663-2518865	0.0979
1_MACS_peak_59_lociStitched	chr1(.):2573634-2575078	0.149
1_MACS_peak_60_lociStitched	chr1(.):3086922-3088124	0.0727
1_MACS_peak_61_lociStitched	chr1(.):3446781-3448051	0.0658
2_MACS_peak_62_lociStitched	chr1(.):3540474-3547706	0.1211
2_MACS_peak_64_lociStitched	chr1(.):3565816-3570069	0.0994
1_MACS_peak_66_lociStitched	chr1(.):3589159-3590431	0.1036
1_MACS_peak_67_lociStitched	chr1(.):3688352-3689088	0.1298
1_MACS_peak_68_lociStitched	chr1(.):3712418-3713764	0.1905
1_MACS_peak_69_lociStitched	chr1(.):3773133-3774994	0.1726
1_MACS_peak_70_lociStitched	chr1(.):3815998-3818423	0.2002
1_MACS_peak_71_lociStitched	chr1(.):3838171-3839202	0.1929
1_MACS_peak_72_lociStitched	chr1(.):4855952-4857221	0.1265
2_MACS_peak_73_lociStitched	chr1(.):4997742-5004959	0.0986
1_MACS_peak_75_lociStitched	chr1(.):6051202-6055301	0.1628
1_MACS_peak_76_lociStitched	chr1(.):6083885-6087314	0.1587
2_MACS_peak_77_lociStitched	chr1(.):6258772-6266861	0.1217
1_MACS_peak_79_lociStitched	chr1(.):6294630-6296905	0.1033
1_MACS_peak_80_lociStitched	chr1(.):6418902-6420692	0.1983
1_MACS_peak_81_lociStitched	chr1(.):6452785-6454665	0.0952
1_MACS_peak_82_lociStitched	chr1(.):6474206-6475817	0.2107
1_MACS_peak_83_lociStitched	chr1(.):6549871-6551659	0.1889
1_MACS_peak_84_lociStitched	chr1(.):6613738-6615481	0.1223
1_MACS_peak_85_lociStitched	chr1(.):6639596-6640949	0.16
1_MACS_peak_86_lociStitched	chr1(.):6660062-6664685	0.1954
1_MACS_peak_87_lociStitched	chr1(.):6672403-6675127	0.0952
1_MACS_peak_88_lociStitched	chr1(.):6684527-6686630	0.1998
1_MACS_peak_89_lociStitched	chr1(.):6733897-6734860	0.1269
1_MACS_peak_90_lociStitched	chr1(.):6761008-6762203	0.0771
1_MACS_peak_91_lociStitched	chr1(.):6843858-6845373	0.227
1_MACS_peak_92_lociStitched	chr1(.):6977791-6980094	0.1769
1_MACS_peak_93_lociStitched	chr1(.):7830942-7832207	0.1147
2_MACS_peak_94_lociStitched	chr1(.):8013686-8022761	0.1195
1_MACS_peak_96_lociStitched	chr1(.):8085846-8086688	0.0851
2_MACS_peak_97_lociStitched	chr1(.):8454892-8458435	0.168
3_MACS_peak_99_lociStitched	chr1(.):8650275-8665309	0.1389
1_MACS_peak_102_lociStitched	chr1(.):8740510-8741666	0.1712
2_MACS_peak_103_lociStitched	chr1(.):8760716-8765704	0.1857
1_MACS_peak_105_lociStitched	chr1(.):8771775-8774135	0.1759
1_MACS_peak_106_lociStitched	chr1(.):8876077-8878748	0.1839
1_MACS_peak_107_lociStitched	chr1(.):8937083-8940129	0.1287
1_MACS_peak_108_lociStitched	chr1(.):9139877-9141471	0.1848
1_MACS_peak_109_lociStitched	chr1(.):9188601-9189321	0.0838
1_MACS_peak_110_lociStitched	chr1(.):9222097-9226118	0.2091
1_MACS_peak_111_lociStitched	chr1(.):9240716-9243409	0.1505
1_MACS_peak_112_lociStitched	chr1(.):9294385-9295944	0.0929
1_MACS_peak_113_lociStitched	chr1(.):9335572-9336624	0.1371
2_MACS_peak_114_lociStitched	chr1(.):9485664-9489822	0.1562
1_MACS_peak_116_lociStitched	chr1(.):9599487-9600505	0.0536
1_MACS_peak_117_lociStitched	chr1(.):9614877-9616032	0.1402
2_MACS_peak_118_lociStitched	chr1(.):9647997-9650278	0.1449
1_MACS_peak_120_lociStitched	chr1(.):9748795-9749554	0.1139
2_MACS_peak_121_lociStitched	chr1(.):9776621-9782272	0.1197
1_MACS_peak_123_lociStitched	chr1(.):9846664-9848744	0.1838
1_MACS_peak_124_lociStitched	chr1(.):9882817-9884475	0.101
1_MACS_peak_125_lociStitched	chr1(.):9895908-9896926	0.1128
2_MACS_peak_126_lociStitched	chr1(.):9969082-9971792	0.2028
2_MACS_peak_128_lociStitched	chr1(.):10002271-10011605	0.1461
1_MACS_peak_130_lociStitched	chr1(.):10020832-10021602	0.0598
1_MACS_peak_131_lociStitched	chr1(.):10050038-10051976	0.1433
1_MACS_peak_132_lociStitched	chr1(.):10078281-10079858	0.1664
1_MACS_peak_133_lociStitched	chr1(.):10092255-10094103	0.2414
1_MACS_peak_134_lociStitched	chr1(.):10228349-10231776	0.182
1_MACS_peak_135_lociStitched	chr1(.):10249061-10251009	0.1805
1_MACS_peak_136_lociStitched	chr1(.):10259880-10261888	0.1621
1_MACS_peak_137_lociStitched	chr1(.):10269349-10271893	0.1748
1_MACS_peak_138_lociStitched	chr1(.):10310429-10314822	0.1483
1_MACS_peak_139_lociStitched	chr1(.):10447509-10448603	0.1322
1_MACS_peak_140_lociStitched	chr1(.):10458324-10459914	0.1852
1_MACS_peak_141_lociStitched	chr1(.):10489752-10491855	0.1607
1_MACS_peak_142_lociStitched	chr1(.):10504231-10505836	0.1721
1_MACS_peak_143_lociStitched	chr1(.):10515796-10518078	0.1583
2_MACS_peak_144_lociStitched	chr1(.):10531704-10535925	0.1836
1_MACS_peak_146_lociStitched	chr1(.):10554586-10555896	0.2025
1_MACS_peak_147_lociStitched	chr1(.):10999377-11001289	0.1281
1_MACS_peak_148_lociStitched	chr1(.):11071320-11073592	0.1846
1_MACS_peak_149_lociStitched	chr1(.):11118789-11121356	0.1477
1_MACS_peak_150_lociStitched	chr1(.):11158782-11160674	0.1762
1_MACS_peak_151_lociStitched	chr1(.):11286760-11287794	0.0762
1_MACS_peak_152_lociStitched	chr1(.):11321780-11323529	0.1224
1_MACS_peak_153_lociStitched	chr1(.):11333167-11334316	0.1505
1_MACS_peak_154_lociStitched	chr1(.):11538586-11539962	0.1009
2_MACS_peak_155_lociStitched	chr1(.):11622935-11631941	0.1613
2_MACS_peak_157_lociStitched	chr1(.):11710550-11715051	0.0995
1_MACS_peak_159_lociStitched	chr1(.):11723918-11725349	0.1265
1_MACS_peak_160_lociStitched	chr1(.):11740300-11742318	0.1552
1_MACS_peak_161_lociStitched	chr1(.):11779123-11780260	0.177
2_MACS_peak_162_lociStitched	chr1(.):11790183-11798143	0.1055
1_MACS_peak_164_lociStitched	chr1(.):11843033-11845881	0.1527
1_MACS_peak_165_lociStitched	chr1(.):11863128-11867445	0.1995
1_MACS_peak_166_lociStitched	chr1(.):11967483-11970710	0.2841
1_MACS_peak_167_lociStitched	chr1(.):11984661-11987526	0.1253
1_MACS_peak_168_lociStitched	chr1(.):11993899-11995561	0.1321
1_MACS_peak_169_lociStitched	chr1(.):12039368-12041271	0.1807
1_MACS_peak_170_lociStitched	chr1(.):12078804-12080443	0.2088
2_MACS_peak_171_lociStitched	chr1(.):12106752-12113405	0.1438
1_MACS_peak_173_lociStitched	chr1(.):12138704-12140008	0.1801
2_MACS_peak_174_lociStitched	chr1(.):12220906-12227933	0.1562
1_MACS_peak_176_lociStitched	chr1(.):12270057-12271613	0.1412
1_MACS_peak_177_lociStitched	chr1(.):12289774-12291593	0.109
1_MACS_peak_178_lociStitched	chr1(.):12404876-12406063	0.1704
1_MACS_peak_179_lociStitched	chr1(.):12493706-12496942	0.222
1_MACS_peak_180_lociStitched	chr1(.):12676752-12679838	0.1407
1_MACS_peak_181_lociStitched	chr1(.):12896715-12897859	0.1544
1_MACS_peak_182_lociStitched	chr1(.):13824593-13825627	0.0911
1_MACS_peak_183_lociStitched	chr1(.):14025902-14027137	0.1704
1_MACS_peak_184_lociStitched	chr1(.):14056450-14058315	0.191
1_MACS_peak_185_lociStitched	chr1(.):14074807-14076961	0.1593
1_MACS_peak_186_lociStitched	chr1(.):14155208-14156403	0.2517
1_MACS_peak_187_lociStitched	chr1(.):14237609-14239628	0.0939
2_MACS_peak_188_lociStitched	chr1(.):14246740-14254494	0.1245
1_MACS_peak_190_lociStitched	chr1(.):14292152-14295363	0.153
4_MACS_peak_191_lociStitched	chr1(.):14329340-14345037	0.1328
1_MACS_peak_195_lociStitched	chr1(.):14361175-14368050	0.1852
2_MACS_peak_196_lociStitched	chr1(.):14437185-14441201	0.1233
1_MACS_peak_198_lociStitched	chr1(.):14463059-14464930	0.1033
2_MACS_peak_199_lociStitched	chr1(.):14500987-14509009	0.1543
1_MACS_peak_201_lociStitched	chr1(.):14687002-14688735	0.1768
1_MACS_peak_202_lociStitched	chr1(.):14695372-14697474	0.1226
1_MACS_peak_203_lociStitched	chr1(.):15059011-15060927	0.0957
1_MACS_peak_204_lociStitched	chr1(.):15150402-15151890	0.1301
1_MACS_peak_205_lociStitched	chr1(.):15160855-15164838	0.1765
2_MACS_peak_206_lociStitched	chr1(.):15202410-15209477	0.164
1_MACS_peak_208_lociStitched	chr1(.):15416586-15417583	0.1757
1_MACS_peak_209_lociStitched	chr1(.):15482218-15483715	0.1505
3_MACS_peak_210_lociStitched	chr1(.):15500099-15506714	0.1731
1_MACS_peak_213_lociStitched	chr1(.):15545807-15546924	0.1267
1_MACS_peak_214_lociStitched	chr1(.):15557395-15559161	0.1976
1_MACS_peak_215_lociStitched	chr1(.):15574894-15576051	0.1682
2_MACS_peak_216_lociStitched	chr1(.):15584121-15588741	0.1568
1_MACS_peak_218_lociStitched	chr1(.):15623370-15624380	0.2024
1_MACS_peak_219_lociStitched	chr1(.):15688651-15689954	0.1234
1_MACS_peak_220_lociStitched	chr1(.):15735502-15737487	0.1132
2_MACS_peak_221_lociStitched	chr1(.):15850681-15854306	0.2072
3_MACS_peak_223_lociStitched	chr1(.):15897305-15912217	0.135
1_MACS_peak_226_lociStitched	chr1(.):15942708-15945441	0.1658
1_MACS_peak_227_lociStitched	chr1(.):16009878-16012118	0.1267
1_MACS_peak_228_lociStitched	chr1(.):16022923-16024976	0.1786
1_MACS_peak_229_lociStitched	chr1(.):16149699-16150734	0.0911
1_MACS_peak_230_lociStitched	chr1(.):16160156-16163628	0.206
2_MACS_peak_231_lociStitched	chr1(.):16173095-16178945	0.1595
1_MACS_peak_233_lociStitched	chr1(.):16301490-16303371	0.1831
2_MACS_peak_234_lociStitched	chr1(.):16399870-16406253	0.1086
1_MACS_peak_236_lociStitched	chr1(.):16532346-16534252	0.158
1_MACS_peak_237_lociStitched	chr1(.):16543225-16544711	0.1576
1_MACS_peak_238_lociStitched	chr1(.):16562557-16564425	0.2784
1_MACS_peak_239_lociStitched	chr1(.):16677673-16679889	0.1528
1_MACS_peak_240_lociStitched	chr1(.):16692740-16695422	0.2477
1_MACS_peak_241_lociStitched	chr1(.):16766689-16771341	0.2171
2_MACS_peak_242_lociStitched	chr1(.):16824894-16833267	0.128
1_MACS_peak_245_lociStitched	chr1(.):16938657-16941004	0.6622
1_MACS_peak_246_lociStitched	chr1(.):16969860-16972642	0.7825
1_MACS_peak_247_lociStitched	chr1(.):16991922-16994779	0.5105
2_MACS_peak_248_lociStitched	chr1(.):17010019-17013114	0.1946
1_MACS_peak_250_lociStitched	chr1(.):17065769-17068517	0.4639
1_MACS_peak_251_lociStitched	chr1(.):17074518-17075504	0.2926
3_MACS_peak_252_lociStitched	chr1(.):17215585-17233523	0.2831
1_MACS_peak_255_lociStitched	chr1(.):17239706-17241820	0.1757
1_MACS_peak_256_lociStitched	chr1(.):17286670-17288312	0.1265
1_MACS_peak_257_lociStitched	chr1(.):17379603-17381379	0.2088
2_MACS_peak_258_lociStitched	chr1(.):17763646-17768955	0.1004
1_MACS_peak_260_lociStitched	chr1(.):17787292-17788226	0.0921
1_MACS_peak_261_lociStitched	chr1(.):19228212-19230049	0.2047
1_MACS_peak_262_lociStitched	chr1(.):19252305-19255559	0.1999
3_MACS_peak_263_lociStitched	chr1(.):19276509-19284116	0.1348
1_MACS_peak_266_lociStitched	chr1(.):19535496-19537959	0.1679
1_MACS_peak_267_lociStitched	chr1(.):19577421-19578971	0.1955
1_MACS_peak_268_lociStitched	chr1(.):19637650-19639787	0.145
1_MACS_peak_269_lociStitched	chr1(.):19810915-19813421	0.1196
1_MACS_peak_270_lociStitched	chr1(.):19821717-19822802	0.1481
1_MACS_peak_271_lociStitched	chr1(.):19922405-19924331	0.2471
1_MACS_peak_272_lociStitched	chr1(.):20084766-20086739	0.1824
1_MACS_peak_273_lociStitched	chr1(.):20125280-20127648	0.1942
1_MACS_peak_274_lociStitched	chr1(.):20141747-20143310	0.139
1_MACS_peak_275_lociStitched	chr1(.):20208152-20209922	0.257
2_MACS_peak_276_lociStitched	chr1(.):20404363-20408537	0.152
1_MACS_peak_278_lociStitched	chr1(.):20415665-20417290	0.1397
1_MACS_peak_279_lociStitched	chr1(.):20445359-20446981	0.0783
2_MACS_peak_280_lociStitched	chr1(.):20833816-20839329	0.1274
1_MACS_peak_282_lociStitched	chr1(.):20959515-20960896	0.135
1_MACS_peak_283_lociStitched	chr1(.):20986976-20989031	0.2963
1_MACS_peak_284_lociStitched	chr1(.):21022712-21023837	0.1563
1_MACS_peak_285_lociStitched	chr1(.):21058739-21060539	0.1953
1_MACS_peak_286_lociStitched	chr1(.):21111998-21115023	0.197
1_MACS_peak_287_lociStitched	chr1(.):21290499-21291944	0.3018
1_MACS_peak_288_lociStitched	chr1(.):21348004-21349985	0.1547
2_MACS_peak_289_lociStitched	chr1(.):21501676-21503868	0.122
1_MACS_peak_291_lociStitched	chr1(.):21615301-21622888	0.1861
1_MACS_peak_292_lociStitched	chr1(.):21659973-21661771	0.2243
1_MACS_peak_293_lociStitched	chr1(.):21670816-21673110	0.1382
1_MACS_peak_294_lociStitched	chr1(.):21765832-21767327	0.1936
1_MACS_peak_295_lociStitched	chr1(.):22107388-22110729	0.2041
1_MACS_peak_296_lociStitched	chr1(.):22117339-22119499	0.1969
1_MACS_peak_297_lociStitched	chr1(.):22191288-22194456	0.174
1_MACS_peak_298_lociStitched	chr1(.):22263800-22264765	0.1239
2_MACS_peak_299_lociStitched	chr1(.):22344981-22353560	0.1498
1_MACS_peak_301_lociStitched	chr1(.):22365555-22367417	0.174
1_MACS_peak_302_lociStitched	chr1(.):22378335-22380589	0.1916
1_MACS_peak_303_lociStitched	chr1(.):22444905-22445762	0.0779
1_MACS_peak_304_lociStitched	chr1(.):22489215-22490553	0.2012
1_MACS_peak_305_lociStitched	chr1(.):22777542-22779613	0.1865
1_MACS_peak_306_lociStitched	chr1(.):22819681-22823941	0.1626
1_MACS_peak_307_lociStitched	chr1(.):22833944-22835785	0.1596
1_MACS_peak_308_lociStitched	chr1(.):23345199-23346988	0.1315
1_MACS_peak_309_lociStitched	chr1(.):23494669-23495480	0.1066
1_MACS_peak_310_lociStitched	chr1(.):23669313-23671963	0.2197
1_MACS_peak_311_lociStitched	chr1(.):23693970-23696720	0.1978
1_MACS_peak_312_lociStitched	chr1(.):23810154-23811580	0.1298
3_MACS_peak_313_lociStitched	chr1(.):23850116-23867235	0.1832
2_MACS_peak_316_lociStitched	chr1(.):23880320-23886774	0.1904
1_MACS_peak_318_lociStitched	chr1(.):23902968-23904808	0.1772
1_MACS_peak_319_lociStitched	chr1(.):23917799-23921662	0.1314
4_MACS_peak_320_lociStitched	chr1(.):23936997-23954622	0.1451
1_MACS_peak_324_lociStitched	chr1(.):23960837-23962406	0.2408
1_MACS_peak_325_lociStitched	chr1(.):24017683-24019505	0.2548
1_MACS_peak_326_lociStitched	chr1(.):24069035-24071740	0.1831
1_MACS_peak_327_lociStitched	chr1(.):24104032-24105781	0.1145
1_MACS_peak_328_lociStitched	chr1(.):24116718-24118612	0.1706
1_MACS_peak_329_lociStitched	chr1(.):24125890-24128163	0.0998
1_MACS_peak_330_lociStitched	chr1(.):24150954-24153169	0.1148
1_MACS_peak_331_lociStitched	chr1(.):24181145-24182545	0.1807
1_MACS_peak_332_lociStitched	chr1(.):24193613-24195120	0.2771
1_MACS_peak_333_lociStitched	chr1(.):24236865-24238306	0.1138
1_MACS_peak_334_lociStitched	chr1(.):24246008-24247732	0.1518
3_MACS_peak_335_lociStitched	chr1(.):24281127-24291869	0.1551
1_MACS_peak_338_lociStitched	chr1(.):24305434-24307855	0.1611
1_MACS_peak_339_lociStitched	chr1(.):24468522-24470188	0.2106
1_MACS_peak_340_lociStitched	chr1(.):24476409-24479171	0.1831
3_MACS_peak_341_lociStitched	chr1(.):24512116-24534076	0.1981
1_MACS_peak_344_lociStitched	chr1(.):24645116-24650644	0.1977
1_MACS_peak_345_lociStitched	chr1(.):24676895-24678840	0.144
2_MACS_peak_346_lociStitched	chr1(.):24709969-24720672	0.2096
2_MACS_peak_348_lociStitched	chr1(.):24739257-24743768	0.1856
1_MACS_peak_350_lociStitched	chr1(.):24807212-24808801	0.1547
1_MACS_peak_351_lociStitched	chr1(.):24827395-24830538	0.2089
1_MACS_peak_352_lociStitched	chr1(.):24861179-24862365	0.194
1_MACS_peak_353_lociStitched	chr1(.):24910293-24911368	0.1595
1_MACS_peak_354_lociStitched	chr1(.):24967955-24971017	0.2363
2_MACS_peak_355_lociStitched	chr1(.):25048641-25054957	0.1505
2_MACS_peak_357_lociStitched	chr1(.):25069714-25076527	0.1449
1_MACS_peak_359_lociStitched	chr1(.):25174290-25175711	0.1373
1_MACS_peak_360_lociStitched	chr1(.):25254409-25257793	0.1613
1_MACS_peak_361_lociStitched	chr1(.):25290805-25292823	0.1684
3_MACS_peak_362_lociStitched	chr1(.):25346964-25364674	0.1308
4_MACS_peak_365_lociStitched	chr1(.):25558135-25574988	0.1609
1_MACS_peak_369_lociStitched	chr1(.):25592609-25595255	0.2338
1_MACS_peak_370_lociStitched	chr1(.):25663162-25665865	0.2205
1_MACS_peak_371_lociStitched	chr1(.):25755972-25758561	0.103
2_MACS_peak_372_lociStitched	chr1(.):25798564-25800716	0.1291
2_MACS_peak_374_lociStitched	chr1(.):25869402-25878689	0.1807
1_MACS_peak_376_lociStitched	chr1(.):25887643-25890363	0.1738
3_MACS_peak_377_lociStitched	chr1(.):25942077-25947931	0.1795
1_MACS_peak_380_lociStitched	chr1(.):25958179-25959478	0.1001
1_MACS_peak_381_lociStitched	chr1(.):25967746-25970246	0.2141
1_MACS_peak_382_lociStitched	chr1(.):26001302-26003744	0.2403
2_MACS_peak_383_lociStitched	chr1(.):26125813-26127611	0.1136
1_MACS_peak_385_lociStitched	chr1(.):26145561-26148236	0.1889
1_MACS_peak_386_lociStitched	chr1(.):26185001-26186661	0.162
1_MACS_peak_387_lociStitched	chr1(.):26201249-26202362	0.1107
1_MACS_peak_388_lociStitched	chr1(.):26231064-26233400	0.1716
1_MACS_peak_389_lociStitched	chr1(.):26323114-26325648	0.2324
1_MACS_peak_390_lociStitched	chr1(.):26361578-26362985	0.1505
1_MACS_peak_391_lociStitched	chr1(.):26436743-26439677	0.2014
2_MACS_peak_392_lociStitched	chr1(.):26445813-26453935	0.1279
1_MACS_peak_394_lociStitched	chr1(.):26495991-26497174	0.2166
1_MACS_peak_395_lociStitched	chr1(.):26559748-26562123	0.2038
1_MACS_peak_396_lociStitched	chr1(.):26578346-26580143	0.1777
2_MACS_peak_397_lociStitched	chr1(.):26605234-26614587	0.1515
1_MACS_peak_399_lociStitched	chr1(.):26632090-26634931	0.1858
1_MACS_peak_400_lociStitched	chr1(.):26641457-26642862	0.1358
1_MACS_peak_401_lociStitched	chr1(.):26662355-26663707	0.1683
1_MACS_peak_402_lociStitched	chr1(.):26758005-26759551	0.2562
1_MACS_peak_403_lociStitched	chr1(.):26797779-26800607	0.1645
1_MACS_peak_404_lociStitched	chr1(.):26826115-26828796	0.1593
1_MACS_peak_405_lociStitched	chr1(.):26856182-26857254	0.0739
2_MACS_peak_406_lociStitched	chr1(.):26865881-26873130	0.1744
1_MACS_peak_408_lociStitched	chr1(.):26945910-26948719	0.1977
1_MACS_peak_409_lociStitched	chr1(.):27018179-27031125	0.1691
3_MACS_peak_410_lociStitched	chr1(.):27061593-27072435	0.2002
1_MACS_peak_413_lociStitched	chr1(.):27112533-27116190	0.2333
1_MACS_peak_414_lociStitched	chr1(.):27126180-27127644	0.1621
1_MACS_peak_415_lociStitched	chr1(.):27136456-27137318	0.1238
5_MACS_peak_416_lociStitched	chr1(.):27146990-27167162	0.1452
1_MACS_peak_421_lociStitched	chr1(.):27190340-27193169	0.2356
1_MACS_peak_422_lociStitched	chr1(.):27215683-27217562	0.2078
1_MACS_peak_423_lociStitched	chr1(.):27226079-27227817	0.2621
1_MACS_peak_424_lociStitched	chr1(.):27247399-27249056	0.2302
1_MACS_peak_425_lociStitched	chr1(.):27285923-27287526	0.1286
1_MACS_peak_426_lociStitched	chr1(.):27396507-27397924	0.1494
1_MACS_peak_427_lociStitched	chr1(.):27463123-27464271	0.1289
1_MACS_peak_428_lociStitched	chr1(.):27480773-27482464	0.19
1_MACS_peak_429_lociStitched	chr1(.):27560127-27562540	0.1789
1_MACS_peak_430_lociStitched	chr1(.):27648239-27649700	0.2055
2_MACS_peak_431_lociStitched	chr1(.):27667628-27676728	0.1148
1_MACS_peak_433_lociStitched	chr1(.):27692114-27693886	0.1085
1_MACS_peak_434_lociStitched	chr1(.):27717929-27719932	0.1227
1_MACS_peak_435_lociStitched	chr1(.):27744172-27745724	0.1145
2_MACS_peak_436_lociStitched	chr1(.):27762089-27766313	0.2002
1_MACS_peak_438_lociStitched	chr1(.):27815518-27817762	0.2375
1_MACS_peak_439_lociStitched	chr1(.):27826245-27827344	0.1042
1_MACS_peak_440_lociStitched	chr1(.):27883179-27884689	0.1578
1_MACS_peak_441_lociStitched	chr1(.):27929433-27930430	0.0371
1_MACS_peak_442_lociStitched	chr1(.):27960280-27961339	0.0742
2_MACS_peak_443_lociStitched	chr1(.):27985173-27989895	0.1482
1_MACS_peak_445_lociStitched	chr1(.):27998130-27999628	0.2646
1_MACS_peak_446_lociStitched	chr1(.):28051553-28053699	0.1976
1_MACS_peak_447_lociStitched	chr1(.):28098685-28100686	0.1812
1_MACS_peak_448_lociStitched	chr1(.):28156320-28158317	0.1776
2_MACS_peak_449_lociStitched	chr1(.):28195113-28199733	0.1412
1_MACS_peak_451_lociStitched	chr1(.):28240163-28241912	0.2203
1_MACS_peak_452_lociStitched	chr1(.):28285524-28287463	0.1982
2_MACS_peak_453_lociStitched	chr1(.):28352424-28363913	0.1598
2_MACS_peak_455_lociStitched	chr1(.):28389887-28396966	0.132
1_MACS_peak_457_lociStitched	chr1(.):28413820-28416219	0.276
1_MACS_peak_458_lociStitched	chr1(.):28473854-28475435	0.2067
2_MACS_peak_459_lociStitched	chr1(.):28495130-28500158	0.1776
2_MACS_peak_461_lociStitched	chr1(.):28558544-28563904	0.2074
1_MACS_peak_463_lociStitched	chr1(.):28570069-28577218	0.2115
1_MACS_peak_464_lociStitched	chr1(.):28584915-28587473	0.167
1_MACS_peak_465_lociStitched	chr1(.):28654751-28656586	0.2341
1_MACS_peak_466_lociStitched	chr1(.):28695336-28697385	0.1766
1_MACS_peak_467_lociStitched	chr1(.):28743777-28744851	0.1096
1_MACS_peak_468_lociStitched	chr1(.):28763940-28765378	0.2156
2_MACS_peak_469_lociStitched	chr1(.):28827008-28837017	0.1667
1_MACS_peak_471_lociStitched	chr1(.):28844081-28846078	0.2035
1_MACS_peak_472_lociStitched	chr1(.):28878361-28880988	0.2527
2_MACS_peak_473_lociStitched	chr1(.):28906087-28914513	0.1757
1_MACS_peak_475_lociStitched	chr1(.):28924473-28929626	0.2089
1_MACS_peak_476_lociStitched	chr1(.):28957782-28959339	0.1621
2_MACS_peak_477_lociStitched	chr1(.):28968283-28976178	0.1688
2_MACS_peak_479_lociStitched	chr1(.):28994346-28996895	0.1398
1_MACS_peak_481_lociStitched	chr1(.):29062273-29064658	0.193
1_MACS_peak_482_lociStitched	chr1(.):29101455-29102507	0.1103
2_MACS_peak_483_lociStitched	chr1(.):29210490-29214897	0.1709
1_MACS_peak_485_lociStitched	chr1(.):29240161-29242495	0.1648
1_MACS_peak_486_lociStitched	chr1(.):29252329-29255610	0.2053
1_MACS_peak_487_lociStitched	chr1(.):29506774-29509845	0.1347
1_MACS_peak_488_lociStitched	chr1(.):29556758-29558093	0.294
1_MACS_peak_489_lociStitched	chr1(.):30347435-30350625	0.1406
1_MACS_peak_490_lociStitched	chr1(.):30369981-30370672	0.1151
1_MACS_peak_491_lociStitched	chr1(.):30901359-30903346	0.1181
1_MACS_peak_492_lociStitched	chr1(.):30995747-30997340	0.1036
1_MACS_peak_493_lociStitched	chr1(.):31073023-31073804	0.091
