GENE_ID	locusLine	bin_1_26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13.bam
7_MACS_peak_130_lociStitched	chr1(.):1512586-1537007	1.274
1_MACS_peak_137_lociStitched	chr1(.):1539171-1539516	0.6823
2_MACS_peak_138_lociStitched	chr1(.):1566224-1569129	1.309
1_MACS_peak_140_lociStitched	chr1(.):1630910-1632322	1.077
5_MACS_peak_141_lociStitched	chr1(.):1842569-1849381	1.1756
21_MACS_peak_146_lociStitched	chr1(.):1851136-1910650	1.3962
1_MACS_peak_167_lociStitched	chr1(.):1913591-1913895	0.5335
14_MACS_peak_168_lociStitched	chr1(.):1915774-1986131	1.5641
2_MACS_peak_182_lociStitched	chr1(.):1987235-1995598	1.1522
3_MACS_peak_184_lociStitched	chr1(.):1997137-2011041	1.3932
6_MACS_peak_187_lociStitched	chr1(.):2013277-2043814	1.3852
1_MACS_peak_193_lociStitched	chr1(.):2046692-2047201	0.9241
2_MACS_peak_194_lociStitched	chr1(.):2048306-2049731	0.716
6_MACS_peak_196_lociStitched	chr1(.):2056751-2064206	1.104
3_MACS_peak_202_lociStitched	chr1(.):2065244-2077841	1.2719
16_MACS_peak_205_lociStitched	chr1(.):2080215-2117887	1.22
7_MACS_peak_221_lociStitched	chr1(.):2129977-2158719	1.4409
5_MACS_peak_228_lociStitched	chr1(.):2243692-2294334	2.0679
3_MACS_peak_233_lociStitched	chr1(.):2299040-2316892	1.7379
8_MACS_peak_236_lociStitched	chr1(.):2347924-2412246	1.8195
1_MACS_peak_244_lociStitched	chr1(.):2413525-2413884	0.6621
4_MACS_peak_245_lociStitched	chr1(.):2415845-2436848	1.5086
6_MACS_peak_249_lociStitched	chr1(.):2458129-2474849	1.6755
2_MACS_peak_255_lociStitched	chr1(.):2483423-2485299	0.6458
9_MACS_peak_257_lociStitched	chr1(.):2495949-2515826	1.2211
11_MACS_peak_266_lociStitched	chr1(.):2518407-2545330	1.3754
2_MACS_peak_277_lociStitched	chr1(.):2548214-2549130	0.6973
1_MACS_peak_279_lociStitched	chr1(.):2550158-2550546	0.7932
2_MACS_peak_280_lociStitched	chr1(.):2551710-2557642	1.1392
7_MACS_peak_282_lociStitched	chr1(.):2558876-2570376	1.1069
2_MACS_peak_289_lociStitched	chr1(.):2575165-2577702	1.0596
1_MACS_peak_291_lociStitched	chr1(.):2581915-2583013	0.9803
2_MACS_peak_299_lociStitched	chr1(.):2684269-2691994	1.5156
1_MACS_peak_301_lociStitched	chr1(.):2693253-2693935	0.7072
1_MACS_peak_302_lociStitched	chr1(.):2695573-2695864	0.6275
6_MACS_peak_303_lociStitched	chr1(.):2700204-2707419	0.9162
2_MACS_peak_309_lociStitched	chr1(.):2712406-2713878	0.7904
16_MACS_peak_311_lociStitched	chr1(.):2715382-2760163	1.2896
7_MACS_peak_327_lociStitched	chr1(.):2761830-2774988	1.299
9_MACS_peak_334_lociStitched	chr1(.):2776087-2812354	1.3352
14_MACS_peak_343_lociStitched	chr1(.):2814790-2854661	1.3424
1_MACS_peak_357_lociStitched	chr1(.):2856916-2857187	0.6997
4_MACS_peak_358_lociStitched	chr1(.):2861760-2869848	1.3151
3_MACS_peak_362_lociStitched	chr1(.):2877029-2881104	1.0671
6_MACS_peak_365_lociStitched	chr1(.):2883550-2890783	1.1014
6_MACS_peak_371_lociStitched	chr1(.):2895377-2905691	1.2769
3_MACS_peak_377_lociStitched	chr1(.):2906742-2909179	0.897
1_MACS_peak_380_lociStitched	chr1(.):2910303-2910589	0.7979
3_MACS_peak_381_lociStitched	chr1(.):2915079-2922523	1.2475
4_MACS_peak_384_lociStitched	chr1(.):2925979-2941446	1.3441
12_MACS_peak_388_lociStitched	chr1(.):2943428-2962110	1.174
17_MACS_peak_400_lociStitched	chr1(.):2969869-3029906	1.3543
18_MACS_peak_417_lociStitched	chr1(.):3031257-3097107	1.5081
10_MACS_peak_435_lociStitched	chr1(.):3099157-3169736	1.5539
5_MACS_peak_445_lociStitched	chr1(.):3171989-3176960	0.949
11_MACS_peak_450_lociStitched	chr1(.):3178022-3235624	1.48
5_MACS_peak_461_lociStitched	chr1(.):3237139-3251915	1.3353
2_MACS_peak_466_lociStitched	chr1(.):3255165-3259540	1.1338
5_MACS_peak_468_lociStitched	chr1(.):3261447-3286282	1.5679
2_MACS_peak_473_lociStitched	chr1(.):3287856-3293173	1.2752
1_MACS_peak_475_lociStitched	chr1(.):3294852-3295514	1.0127
12_MACS_peak_476_lociStitched	chr1(.):3296826-3362080	1.5658
1_MACS_peak_488_lociStitched	chr1(.):3364056-3364352	0.6883
7_MACS_peak_489_lociStitched	chr1(.):3365813-3392404	1.6624
19_MACS_peak_496_lociStitched	chr1(.):3393889-3536409	1.8482
8_MACS_peak_515_lociStitched	chr1(.):3666229-3690787	1.4777
1_MACS_peak_523_lociStitched	chr1(.):3716316-3717609	1.1667
1_MACS_peak_524_lociStitched	chr1(.):3720995-3721456	0.7795
1_MACS_peak_525_lociStitched	chr1(.):3830851-3831161	0.631
2_MACS_peak_526_lociStitched	chr1(.):3834387-3836585	0.9766
1_MACS_peak_528_lociStitched	chr1(.):3840014-3843042	1.3192
2_MACS_peak_529_lociStitched	chr1(.):3995271-3996443	0.8448
2_MACS_peak_531_lociStitched	chr1(.):3999102-4010622	1.3166
7_MACS_peak_533_lociStitched	chr1(.):4011871-4023746	0.9807
3_MACS_peak_540_lociStitched	chr1(.):4032471-4034093	0.7213
9_MACS_peak_543_lociStitched	chr1(.):4035393-4048128	1.0053
4_MACS_peak_552_lociStitched	chr1(.):4052824-4056946	1.0024
4_MACS_peak_556_lociStitched	chr1(.):4059252-4064632	1.3018
5_MACS_peak_560_lociStitched	chr1(.):4077576-4084491	1.0813
1_MACS_peak_565_lociStitched	chr1(.):4092024-4092431	0.7749
1_MACS_peak_566_lociStitched	chr1(.):4093733-4094038	0.5726
1_MACS_peak_567_lociStitched	chr1(.):4103142-4103435	0.5731
2_MACS_peak_568_lociStitched	chr1(.):4107608-4109296	0.8852
1_MACS_peak_570_lociStitched	chr1(.):4111107-4111897	1.0521
6_MACS_peak_571_lociStitched	chr1(.):4113477-4123483	1.1589
1_MACS_peak_577_lociStitched	chr1(.):4128497-4129015	0.8389
2_MACS_peak_578_lociStitched	chr1(.):4130252-4131863	0.6983
6_MACS_peak_580_lociStitched	chr1(.):4133339-4138485	0.7836
12_MACS_peak_586_lociStitched	chr1(.):4142072-4155201	0.8588
2_MACS_peak_598_lociStitched	chr1(.):4157120-4157900	0.597
3_MACS_peak_600_lociStitched	chr1(.):4166584-4171484	1.2434
2_MACS_peak_603_lociStitched	chr1(.):4175984-4180002	1.1066
2_MACS_peak_605_lociStitched	chr1(.):4181240-4183690	1.1136
2_MACS_peak_607_lociStitched	chr1(.):4186731-4195432	1.2806
2_MACS_peak_609_lociStitched	chr1(.):4197433-4199538	0.9392
1_MACS_peak_611_lociStitched	chr1(.):4201846-4202434	0.8051
4_MACS_peak_612_lociStitched	chr1(.):4207185-4214038	0.9827
1_MACS_peak_616_lociStitched	chr1(.):4216295-4216709	0.7429
2_MACS_peak_617_lociStitched	chr1(.):4217714-4221798	1.1506
2_MACS_peak_619_lociStitched	chr1(.):4224499-4228209	0.9737
5_MACS_peak_621_lociStitched	chr1(.):4229261-4234418	1.0513
2_MACS_peak_626_lociStitched	chr1(.):4238900-4240045	0.8891
1_MACS_peak_628_lociStitched	chr1(.):4242637-4243049	0.7777
2_MACS_peak_629_lociStitched	chr1(.):4268766-4270247	0.9528
15_MACS_peak_631_lociStitched	chr1(.):4271648-4285573	0.8626
4_MACS_peak_646_lociStitched	chr1(.):4287990-4292170	0.809
2_MACS_peak_650_lociStitched	chr1(.):4330334-4333086	0.8158
1_MACS_peak_652_lociStitched	chr1(.):4334959-4335591	0.8317
5_MACS_peak_653_lociStitched	chr1(.):4358468-4361834	0.7715
1_MACS_peak_658_lociStitched	chr1(.):4367875-4368174	0.6668
2_MACS_peak_659_lociStitched	chr1(.):4370395-4371958	0.7505
3_MACS_peak_661_lociStitched	chr1(.):4383123-4385623	0.8611
1_MACS_peak_664_lociStitched	chr1(.):4388540-4388840	0.4884
1_MACS_peak_665_lociStitched	chr1(.):4390203-4390854	1.0858
1_MACS_peak_666_lociStitched	chr1(.):4399621-4400049	0.8605
1_MACS_peak_667_lociStitched	chr1(.):4405535-4405925	1.0951
4_MACS_peak_668_lociStitched	chr1(.):4410649-4414182	0.9482
7_MACS_peak_672_lociStitched	chr1(.):4415493-4422018	0.8961
1_MACS_peak_679_lociStitched	chr1(.):4428271-4428673	0.9561
3_MACS_peak_680_lociStitched	chr1(.):4458947-4462039	0.8378
2_MACS_peak_683_lociStitched	chr1(.):4467573-4469402	0.919
2_MACS_peak_685_lociStitched	chr1(.):4482847-4483949	0.6099
1_MACS_peak_687_lociStitched	chr1(.):4494776-4495122	0.5212
1_MACS_peak_688_lociStitched	chr1(.):4503606-4503912	0.5143
1_MACS_peak_689_lociStitched	chr1(.):4506743-4507373	0.9081
3_MACS_peak_690_lociStitched	chr1(.):4509055-4511276	0.778
1_MACS_peak_693_lociStitched	chr1(.):4514006-4514323	0.47
3_MACS_peak_694_lociStitched	chr1(.):4519942-4523169	0.9883
1_MACS_peak_697_lociStitched	chr1(.):4535028-4535373	0.7467
5_MACS_peak_698_lociStitched	chr1(.):4540814-4543621	0.6899
1_MACS_peak_703_lociStitched	chr1(.):4546670-4547071	0.7273
1_MACS_peak_704_lociStitched	chr1(.):4554426-4554950	0.8346
4_MACS_peak_705_lociStitched	chr1(.):4557112-4560934	0.8137
1_MACS_peak_709_lociStitched	chr1(.):4562053-4562874	0.7651
2_MACS_peak_710_lociStitched	chr1(.):4565786-4567891	0.7779
4_MACS_peak_712_lociStitched	chr1(.):4570351-4572865	0.7306
4_MACS_peak_716_lociStitched	chr1(.):4574709-4578135	0.8383
1_MACS_peak_720_lociStitched	chr1(.):4579240-4579565	0.5985
1_MACS_peak_721_lociStitched	chr1(.):4599902-4600213	0.9646
1_MACS_peak_722_lociStitched	chr1(.):4624097-4624409	0.6379
2_MACS_peak_723_lociStitched	chr1(.):4645683-4646760	0.9317
6_MACS_peak_725_lociStitched	chr1(.):4650265-4655703	0.9405
5_MACS_peak_731_lociStitched	chr1(.):4659571-4662971	0.8804
1_MACS_peak_736_lociStitched	chr1(.):4665214-4665680	0.7628
4_MACS_peak_737_lociStitched	chr1(.):4671446-4677465	1.0219
5_MACS_peak_741_lociStitched	chr1(.):4683028-4688944	0.9333
1_MACS_peak_746_lociStitched	chr1(.):4691923-4692208	0.798
1_MACS_peak_747_lociStitched	chr1(.):4693549-4699156	1.2329
1_MACS_peak_748_lociStitched	chr1(.):4700795-4701197	0.6735
2_MACS_peak_749_lociStitched	chr1(.):4713432-4714506	0.7486
1_MACS_peak_751_lociStitched	chr1(.):4716164-4717238	0.9204
1_MACS_peak_752_lociStitched	chr1(.):4719959-4720391	0.8393
3_MACS_peak_753_lociStitched	chr1(.):4723399-4727980	1.0644
1_MACS_peak_756_lociStitched	chr1(.):4729239-4729965	0.898
1_MACS_peak_757_lociStitched	chr1(.):4732754-4733064	0.6879
5_MACS_peak_758_lociStitched	chr1(.):4734417-4737500	0.9346
1_MACS_peak_763_lociStitched	chr1(.):4741365-4741731	0.6346
7_MACS_peak_764_lociStitched	chr1(.):4746602-4753291	0.801
1_MACS_peak_771_lociStitched	chr1(.):4754534-4754834	0.6543
3_MACS_peak_772_lociStitched	chr1(.):4757088-4758901	0.8151
2_MACS_peak_775_lociStitched	chr1(.):4759923-4761693	0.8133
2_MACS_peak_777_lociStitched	chr1(.):4766089-4767303	0.72
1_MACS_peak_779_lociStitched	chr1(.):4768735-4769070	0.5535
4_MACS_peak_780_lociStitched	chr1(.):4770663-4774345	0.9736
2_MACS_peak_784_lociStitched	chr1(.):4782807-4783669	0.7548
12_MACS_peak_786_lociStitched	chr1(.):4785480-4797307	0.9129
2_MACS_peak_798_lociStitched	chr1(.):4799878-4801366	0.4724
5_MACS_peak_800_lociStitched	chr1(.):4803104-4807909	0.7077
1_MACS_peak_805_lociStitched	chr1(.):4811577-4811893	0.7503
1_MACS_peak_806_lociStitched	chr1(.):4819819-4820159	0.7348
6_MACS_peak_807_lociStitched	chr1(.):4830229-4837428	0.8673
1_MACS_peak_813_lociStitched	chr1(.):4838666-4839840	0.8208
1_MACS_peak_814_lociStitched	chr1(.):4841264-4841852	0.7795
2_MACS_peak_815_lociStitched	chr1(.):4843971-4846494	0.9383
1_MACS_peak_817_lociStitched	chr1(.):4848595-4849244	0.7877
1_MACS_peak_818_lociStitched	chr1(.):4859441-4859772	0.4974
1_MACS_peak_819_lociStitched	chr1(.):4889525-4889919	0.6164
2_MACS_peak_820_lociStitched	chr1(.):4896313-4897096	0.5917
1_MACS_peak_822_lociStitched	chr1(.):4933151-4933553	0.7107
1_MACS_peak_823_lociStitched	chr1(.):4941807-4942367	0.7431
1_MACS_peak_824_lociStitched	chr1(.):4954393-4954752	0.581
3_MACS_peak_825_lociStitched	chr1(.):4955960-4957788	0.654
1_MACS_peak_828_lociStitched	chr1(.):5000758-5001123	0.8096
2_MACS_peak_829_lociStitched	chr1(.):5020666-5022720	0.6984
5_MACS_peak_831_lociStitched	chr1(.):5034915-5038304	0.8827
3_MACS_peak_836_lociStitched	chr1(.):5044891-5046826	0.9124
1_MACS_peak_839_lociStitched	chr1(.):5047827-5048388	0.9198
1_MACS_peak_840_lociStitched	chr1(.):5105736-5106023	0.5079
4_MACS_peak_841_lociStitched	chr1(.):5108800-5112147	0.6436
1_MACS_peak_845_lociStitched	chr1(.):5174687-5174991	0.712
1_MACS_peak_846_lociStitched	chr1(.):5206286-5206642	0.8905
1_MACS_peak_847_lociStitched	chr1(.):5287087-5287445	0.7553
1_MACS_peak_848_lociStitched	chr1(.):5304585-5304899	0.7691
2_MACS_peak_849_lociStitched	chr1(.):5325141-5326854	0.7258
1_MACS_peak_851_lociStitched	chr1(.):5330151-5330451	0.5085
3_MACS_peak_852_lociStitched	chr1(.):5334370-5337403	0.9946
4_MACS_peak_855_lociStitched	chr1(.):5354631-5357767	0.8243
3_MACS_peak_859_lociStitched	chr1(.):5366448-5368947	0.7274
3_MACS_peak_862_lociStitched	chr1(.):5370401-5374139	0.9491
1_MACS_peak_865_lociStitched	chr1(.):5382673-5383002	0.7657
1_MACS_peak_866_lociStitched	chr1(.):5406721-5407171	0.6873
1_MACS_peak_867_lociStitched	chr1(.):5437494-5437817	0.5982
2_MACS_peak_868_lociStitched	chr1(.):5442218-5443822	0.876
2_MACS_peak_870_lociStitched	chr1(.):5447865-5450235	0.9329
2_MACS_peak_872_lociStitched	chr1(.):5452496-5453420	0.9292
1_MACS_peak_874_lociStitched	chr1(.):5460123-5460428	0.6069
1_MACS_peak_875_lociStitched	chr1(.):5462439-5463049	0.7253
2_MACS_peak_876_lociStitched	chr1(.):5473306-5475062	0.8902
1_MACS_peak_878_lociStitched	chr1(.):5477960-5478296	0.7643
3_MACS_peak_879_lociStitched	chr1(.):5480686-5485322	0.949
5_MACS_peak_882_lociStitched	chr1(.):5486503-5494979	0.9683
2_MACS_peak_887_lociStitched	chr1(.):5503179-5504484	0.7643
6_MACS_peak_889_lociStitched	chr1(.):5505679-5512447	0.8587
1_MACS_peak_895_lociStitched	chr1(.):5513589-5514160	0.8795
2_MACS_peak_896_lociStitched	chr1(.):5515600-5516860	0.9412
1_MACS_peak_898_lociStitched	chr1(.):5518484-5519228	0.8816
7_MACS_peak_899_lociStitched	chr1(.):5521420-5525503	0.79
12_MACS_peak_906_lociStitched	chr1(.):5531658-5546772	1.0904
14_MACS_peak_918_lociStitched	chr1(.):5550701-5574045	1.0328
1_MACS_peak_932_lociStitched	chr1(.):5575320-5575691	0.718
5_MACS_peak_933_lociStitched	chr1(.):5582501-5588944	1.1165
1_MACS_peak_938_lociStitched	chr1(.):5596893-5597320	0.7155
2_MACS_peak_939_lociStitched	chr1(.):5615320-5616638	0.8535
2_MACS_peak_941_lociStitched	chr1(.):5624520-5626659	0.8402
3_MACS_peak_943_lociStitched	chr1(.):5631245-5634552	0.7021
4_MACS_peak_946_lociStitched	chr1(.):5642581-5645048	0.8761
7_MACS_peak_950_lociStitched	chr1(.):5654545-5662135	0.9963
1_MACS_peak_957_lociStitched	chr1(.):5671509-5672040	0.9137
4_MACS_peak_958_lociStitched	chr1(.):5674024-5680232	0.9823
2_MACS_peak_962_lociStitched	chr1(.):5682783-5684691	0.9113
1_MACS_peak_964_lociStitched	chr1(.):5687028-5687465	0.76
2_MACS_peak_965_lociStitched	chr1(.):5692045-5693721	0.6612
1_MACS_peak_967_lociStitched	chr1(.):5695018-5695495	0.5816
4_MACS_peak_968_lociStitched	chr1(.):5696958-5701277	0.748
2_MACS_peak_972_lociStitched	chr1(.):5703688-5705206	0.881
1_MACS_peak_974_lociStitched	chr1(.):5707025-5707812	1.0317
3_MACS_peak_975_lociStitched	chr1(.):5709630-5713765	1.1088
4_MACS_peak_978_lociStitched	chr1(.):5718726-5722747	0.9693
1_MACS_peak_982_lociStitched	chr1(.):5724099-5724927	1.0404
7_MACS_peak_988_lociStitched	chr1(.):5741812-5747599	0.8166
4_MACS_peak_995_lociStitched	chr1(.):5749425-5754521	0.9592
1_MACS_peak_999_lociStitched	chr1(.):5756056-5756369	0.7411
12_MACS_peak_1000_lociStitched	chr1(.):5758791-5773928	0.9402
4_MACS_peak_1012_lociStitched	chr1(.):5775219-5781605	1.2586
8_MACS_peak_1016_lociStitched	chr1(.):5782817-5791711	0.889
2_MACS_peak_1024_lociStitched	chr1(.):5793374-5795391	0.751
6_MACS_peak_1026_lociStitched	chr1(.):5798918-5821002	1.3689
3_MACS_peak_1032_lociStitched	chr1(.):5823739-5836954	1.2647
1_MACS_peak_1035_lociStitched	chr1(.):5838645-5840011	0.8794
1_MACS_peak_1036_lociStitched	chr1(.):5842499-5843536	0.9089
1_MACS_peak_1037_lociStitched	chr1(.):5845180-5845540	0.8287
2_MACS_peak_1038_lociStitched	chr1(.):5846670-5847957	0.9088
1_MACS_peak_1040_lociStitched	chr1(.):5851695-5852495	0.7934
3_MACS_peak_1041_lociStitched	chr1(.):5855976-5859949	1.1264
9_MACS_peak_1044_lociStitched	chr1(.):5868238-5883883	0.9638
2_MACS_peak_1053_lociStitched	chr1(.):5886416-5889135	1.0668
5_MACS_peak_1055_lociStitched	chr1(.):5890247-5914492	1.2924
4_MACS_peak_1060_lociStitched	chr1(.):6160076-6166683	1.1961
2_MACS_peak_1064_lociStitched	chr1(.):6168734-6175484	1.3232
1_MACS_peak_1066_lociStitched	chr1(.):6178817-6179157	0.5343
9_MACS_peak_1067_lociStitched	chr1(.):6180857-6234632	1.7846
1_MACS_peak_1076_lociStitched	chr1(.):6236310-6239422	1.5297
1_MACS_peak_1077_lociStitched	chr1(.):6240538-6242130	1.4026
5_MACS_peak_1078_lociStitched	chr1(.):6265627-6273570	0.9886
2_MACS_peak_1083_lociStitched	chr1(.):6275396-6276450	0.9416
6_MACS_peak_1085_lociStitched	chr1(.):6298670-6322612	1.6141
1_MACS_peak_1091_lociStitched	chr1(.):6457751-6458134	0.6309
3_MACS_peak_1092_lociStitched	chr1(.):6460320-6462938	0.8162
5_MACS_peak_1095_lociStitched	chr1(.):6464091-6469425	0.6912
2_MACS_peak_1100_lociStitched	chr1(.):6470496-6471783	0.6515
6_MACS_peak_1102_lociStitched	chr1(.):6473538-6530493	2.0585
6_MACS_peak_1108_lociStitched	chr1(.):6532511-6547383	1.291
1_MACS_peak_1114_lociStitched	chr1(.):6548992-6549398	0.7002
3_MACS_peak_1115_lociStitched	chr1(.):6554195-6572931	2.015
10_MACS_peak_1118_lociStitched	chr1(.):6620262-6633249	0.9228
1_MACS_peak_1128_lociStitched	chr1(.):6634664-6635350	0.8284
9_MACS_peak_1129_lociStitched	chr1(.):6766869-6779272	1.0569
1_MACS_peak_1138_lociStitched	chr1(.):6781302-6782069	0.9283
2_MACS_peak_1139_lociStitched	chr1(.):6784068-6787315	1.2007
7_MACS_peak_1141_lociStitched	chr1(.):6789414-6793984	0.8078
3_MACS_peak_1148_lociStitched	chr1(.):6794989-6796499	0.9902
1_MACS_peak_1151_lociStitched	chr1(.):6797625-6798261	0.8453
1_MACS_peak_1152_lociStitched	chr1(.):6799325-6799644	0.6229
2_MACS_peak_1153_lociStitched	chr1(.):6805901-6807876	0.7328
1_MACS_peak_1155_lociStitched	chr1(.):6809584-6809973	0.8374
1_MACS_peak_1156_lociStitched	chr1(.):6812492-6812777	0.7884
2_MACS_peak_1157_lociStitched	chr1(.):6815330-6816864	0.6034
5_MACS_peak_1159_lociStitched	chr1(.):6818727-6822636	0.8012
1_MACS_peak_1164_lociStitched	chr1(.):7020932-7021766	0.7894
4_MACS_peak_1165_lociStitched	chr1(.):7024653-7028879	0.9087
2_MACS_peak_1169_lociStitched	chr1(.):7032039-7032986	0.7288
3_MACS_peak_1171_lociStitched	chr1(.):7034465-7037316	0.9257
2_MACS_peak_1174_lociStitched	chr1(.):7039187-7040683	0.9041
2_MACS_peak_1176_lociStitched	chr1(.):7044408-7047065	1.0021
3_MACS_peak_1178_lociStitched	chr1(.):7048175-7049555	0.8113
1_MACS_peak_1181_lociStitched	chr1(.):7060386-7061268	0.8018
10_MACS_peak_1182_lociStitched	chr1(.):7062944-7074405	1.022
1_MACS_peak_1192_lociStitched	chr1(.):7078375-7078796	0.771
1_MACS_peak_1193_lociStitched	chr1(.):7080613-7081478	1.1374
1_MACS_peak_1194_lociStitched	chr1(.):7082580-7083084	0.9998
2_MACS_peak_1195_lociStitched	chr1(.):7085226-7086426	0.8519
1_MACS_peak_1197_lociStitched	chr1(.):7095196-7095722	0.8378
13_MACS_peak_1198_lociStitched	chr1(.):7102970-7130697	1.1709
1_MACS_peak_1211_lociStitched	chr1(.):7133217-7133573	0.6175
13_MACS_peak_1212_lociStitched	chr1(.):7142055-7161447	1.0148
1_MACS_peak_1225_lociStitched	chr1(.):7164294-7164873	0.7757
6_MACS_peak_1226_lociStitched	chr1(.):7166516-7173319	0.8584
9_MACS_peak_1232_lociStitched	chr1(.):7174327-7185205	0.9617
1_MACS_peak_1241_lociStitched	chr1(.):7186602-7187200	0.8535
1_MACS_peak_1242_lociStitched	chr1(.):7195041-7195577	0.8771
2_MACS_peak_1243_lociStitched	chr1(.):7201002-7202641	0.799
2_MACS_peak_1245_lociStitched	chr1(.):7204207-7206413	0.7461
3_MACS_peak_1247_lociStitched	chr1(.):7208860-7215832	1.1381
2_MACS_peak_1250_lociStitched	chr1(.):7218106-7220245	0.8181
1_MACS_peak_1252_lociStitched	chr1(.):7222337-7222689	0.7437
1_MACS_peak_1253_lociStitched	chr1(.):7227309-7227706	0.6785
3_MACS_peak_1254_lociStitched	chr1(.):7231088-7233979	1.0484
2_MACS_peak_1257_lociStitched	chr1(.):7235014-7236770	0.901
2_MACS_peak_1259_lociStitched	chr1(.):7252080-7254266	0.8678
5_MACS_peak_1261_lociStitched	chr1(.):7255537-7259538	0.818
2_MACS_peak_1266_lociStitched	chr1(.):7268392-7269774	1.0457
1_MACS_peak_1268_lociStitched	chr1(.):7276195-7276530	0.7043
8_MACS_peak_1269_lociStitched	chr1(.):7279288-7300880	1.2459
6_MACS_peak_1277_lociStitched	chr1(.):7305447-7317080	1.0712
6_MACS_peak_1283_lociStitched	chr1(.):7318472-7325316	1.0041
1_MACS_peak_1289_lociStitched	chr1(.):7339532-7340309	1.0357
3_MACS_peak_1290_lociStitched	chr1(.):7342443-7344616	0.6921
1_MACS_peak_1293_lociStitched	chr1(.):7347512-7348088	0.8493
5_MACS_peak_1294_lociStitched	chr1(.):7349416-7356341	0.8922
4_MACS_peak_1299_lociStitched	chr1(.):7360097-7364228	0.9365
1_MACS_peak_1303_lociStitched	chr1(.):7370763-7371126	0.8507
2_MACS_peak_1304_lociStitched	chr1(.):7373402-7374199	0.7726
2_MACS_peak_1306_lociStitched	chr1(.):7376065-7377469	0.7194
1_MACS_peak_1308_lociStitched	chr1(.):7388170-7388591	0.7891
7_MACS_peak_1309_lociStitched	chr1(.):7391102-7397368	0.9966
2_MACS_peak_1316_lociStitched	chr1(.):7398552-7399993	0.6839
1_MACS_peak_1318_lociStitched	chr1(.):7404464-7404939	0.8097
7_MACS_peak_1319_lociStitched	chr1(.):7406442-7416551	1.1558
1_MACS_peak_1326_lociStitched	chr1(.):7418067-7418411	0.6296
1_MACS_peak_1327_lociStitched	chr1(.):7420598-7421144	0.8436
3_MACS_peak_1328_lociStitched	chr1(.):7424428-7426848	0.7819
9_MACS_peak_1331_lociStitched	chr1(.):7428927-7440961	0.9891
5_MACS_peak_1340_lociStitched	chr1(.):7443316-7451768	1.0403
4_MACS_peak_1345_lociStitched	chr1(.):7463954-7468907	0.9504
17_MACS_peak_1349_lociStitched	chr1(.):7477590-7503563	1.0219
18_MACS_peak_1366_lociStitched	chr1(.):7505439-7552481	1.2563
4_MACS_peak_1384_lociStitched	chr1(.):7553556-7556918	1.0003
