GENE_ID	locusLine	H3k18ac_5_DMSO_compare_signal
MACS_peak_57_2	chr1(.):2486804-2488803	3.7141
MACS_peak_57_3	chr1(.):2488804-2489345	0.221
MACS_peak_58	chr1(.):2508623-2510494	0.7349
MACS_peak_59_1	chr1(.):2516193-2516897	0.4617
MACS_peak_59_2	chr1(.):2516898-2517187	1.1525
MACS_peak_59_3	chr1(.):2517188-2518637	1.5792
MACS_peak_60	chr1(.):2573489-2575160	2.0406
MACS_peak_61_1	chr1(.):3540229-3540554	0.375
MACS_peak_61_2	chr1(.):3540555-3542466	0.6812
MACS_peak_62	chr1(.):3545802-3547648	0.866
MACS_peak_63_1	chr1(.):3568232-3570039	2.0405
MACS_peak_64	chr1(.):3589133-3590478	0.5601
MACS_peak_67_1	chr1(.):3711987-3712067	0.0984
MACS_peak_67_2	chr1(.):3712068-3713727	0.8002
MACS_peak_68_1	chr1(.):3773098-3774796	1.0923
MACS_peak_68_2	chr1(.):3774844-3774984	0.0009
MACS_peak_69_1	chr1(.):3815775-3815856	0.0568
MACS_peak_69_2	chr1(.):3815857-3815966	0.1711
MACS_peak_69_3	chr1(.):3815967-3817856	5.8967
MACS_peak_69_4	chr1(.):3817857-3817966	0.923
MACS_peak_69_5	chr1(.):3817967-3818600	0.3664
MACS_peak_70	chr1(.):3838109-3840004	0.6264
MACS_peak_71	chr1(.):4403715-4404481	0.1528
MACS_peak_72	chr1(.):4438858-4440705	0.504
MACS_peak_73	chr1(.):4855544-4857618	0.237
MACS_peak_74	chr1(.):4997820-4999316	0.2545
MACS_peak_75_1	chr1(.):6051233-6051530	0.2754
MACS_peak_75_2	chr1(.):6051531-6053530	1.4791
MACS_peak_75_3	chr1(.):6053531-6055791	1.5694
MACS_peak_76_1	chr1(.):6083631-6085378	0.8451
MACS_peak_76_2	chr1(.):6085379-6087378	1.8961
MACS_peak_76_3	chr1(.):6087379-6087622	0.0763
MACS_peak_77_1	chr1(.):6258449-6258678	0.2298
MACS_peak_77_2	chr1(.):6258679-6260678	1.6839
MACS_peak_77_3	chr1(.):6260679-6260749	0.0203
MACS_peak_78_1	chr1(.):6265312-6266812	0.9482
MACS_peak_79_1	chr1(.):6294640-6295043	0.1887
MACS_peak_79_2	chr1(.):6295044-6296851	1.599
MACS_peak_80_1	chr1(.):6418355-6419763	0.4618
MACS_peak_80_2	chr1(.):6419764-6420003	0.7006
MACS_peak_80_3	chr1(.):6420004-6420753	0.4325
MACS_peak_81_1	chr1(.):6452458-6452825	0.29
MACS_peak_81_2	chr1(.):6452826-6454825	1.4744
MACS_peak_81_3	chr1(.):6454826-6454980	0.1302
MACS_peak_83_1	chr1(.):6549894-6550759	1.0286
MACS_peak_83_2	chr1(.):6550760-6551639	1.9564
MACS_peak_83_3	chr1(.):6551640-6551773	0.0613
MACS_peak_84_1	chr1(.):6613748-6614336	0.6311
MACS_peak_84_2	chr1(.):6614337-6615507	1.1623
MACS_peak_85_1	chr1(.):6639062-6641061	0.7101
MACS_peak_85_2	chr1(.):6641062-6641242	0.0606
MACS_peak_86_1	chr1(.):6660087-6661928	1.7619
MACS_peak_86_2	chr1(.):6661929-6663928	3.2173
MACS_peak_86_3	chr1(.):6663929-6664879	0.9687
MACS_peak_87_1	chr1(.):6672416-6672754	0.276
MACS_peak_87_2	chr1(.):6672755-6674754	1.8906
MACS_peak_87_3	chr1(.):6674755-6674818	0.0721
MACS_peak_88_1	chr1(.):6684447-6685923	1.9736
MACS_peak_88_2	chr1(.):6685924-6686208	0.5528
MACS_peak_88_3	chr1(.):6686209-6686733	0.336
MACS_peak_89	chr1(.):6733178-6735384	0.3248
MACS_peak_90_1	chr1(.):6760673-6760965	0.07
MACS_peak_90_2	chr1(.):6760966-6762701	0.721
MACS_peak_91_1	chr1(.):6843632-6844382	1.0473
MACS_peak_91_2	chr1(.):6844383-6845524	2.2584
MACS_peak_92	chr1(.):6960572-6963364	0.2574
MACS_peak_93	chr1(.):6977730-6980803	1.0568
MACS_peak_94_1	chr1(.):7830890-7832327	1.0019
MACS_peak_95	chr1(.):8013628-8014892	0.527
MACS_peak_96_1	chr1(.):8020767-8022684	1.4448
MACS_peak_98	chr1(.):8455054-8456559	0.6548
MACS_peak_100	chr1(.):8650211-8652131	0.5924
MACS_peak_101	chr1(.):8655524-8657277	0.5723
MACS_peak_102	chr1(.):8661701-8665015	0.6448
MACS_peak_103	chr1(.):8702723-8704783	0.426
MACS_peak_104	chr1(.):8760438-8766139	0.9053
MACS_peak_105	chr1(.):8771971-8774144	0.9105
MACS_peak_106_1	chr1(.):8875985-8876698	0.1779
MACS_peak_106_2	chr1(.):8876699-8878698	1.948
MACS_peak_106_3	chr1(.):8878699-8878808	0.1925
MACS_peak_107_1	chr1(.):8936982-8937779	0.4511
MACS_peak_107_2	chr1(.):8937780-8939779	3.1737
MACS_peak_107_3	chr1(.):8939780-8939898	0.1229
MACS_peak_108_1	chr1(.):9128959-9130073	0.188
MACS_peak_110	chr1(.):9137449-9141956	0.4224
MACS_peak_111_1	chr1(.):9188456-9189333	0.2971
MACS_peak_112	chr1(.):9222036-9226152	3.6139
MACS_peak_113	chr1(.):9240809-9243323	2.137
MACS_peak_114_1	chr1(.):9294434-9295769	1.2255
MACS_peak_116	chr1(.):9340522-9341923	0.2777
MACS_peak_117	chr1(.):9473070-9474292	0.5189
MACS_peak_118	chr1(.):9485142-9487666	0.6802
MACS_peak_119	chr1(.):9488030-9489875	0.6071
MACS_peak_120_1	chr1(.):9598740-9600526	0.4985
MACS_peak_120_2	chr1(.):9600527-9600591	0.0606
MACS_peak_121	chr1(.):9614984-9616043	0.6664
MACS_peak_122_1	chr1(.):9648738-9649930	1.1987
MACS_peak_122_2	chr1(.):9649931-9650298	0.2523
MACS_peak_123	chr1(.):9776435-9778939	3.1332
MACS_peak_125	chr1(.):9846148-9848979	0.9912
MACS_peak_126_1	chr1(.):9882722-9883549	0.8983
MACS_peak_126_2	chr1(.):9883550-9884496	1.5795
MACS_peak_127	chr1(.):9895851-9896943	0.5665
MACS_peak_128_1	chr1(.):9968980-9969315	0.3039
MACS_peak_128_2	chr1(.):9969316-9971315	1.1522
MACS_peak_128_3	chr1(.):9971316-9971778	0.3066
MACS_peak_128_1	chr1(.):9968980-9969315	0.3039
MACS_peak_128_2	chr1(.):9969316-9971315	1.1522
MACS_peak_128_3	chr1(.):9971316-9971778	0.3066
MACS_peak_129_1	chr1(.):10002238-10002484	0.1304
MACS_peak_129_2	chr1(.):10002485-10003825	1.7629
MACS_peak_129_3	chr1(.):10003826-10004328	0.4781
MACS_peak_130	chr1(.):10009784-10011625	0.5021
MACS_peak_131	chr1(.):10049714-10052016	1.0106
MACS_peak_132	chr1(.):10078339-10080077	0.6647
MACS_peak_133_1	chr1(.):10092606-10094039	2.3212
MACS_peak_133_2	chr1(.):10094040-10094263	0.1365
MACS_peak_134	chr1(.):10228166-10232080	1.1032
MACS_peak_135	chr1(.):10248991-10251158	0.6888
MACS_peak_136	chr1(.):10254057-10255833	0.2941
MACS_peak_137	chr1(.):10257847-10259744	0.2846
MACS_peak_138	chr1(.):10259847-10262122	0.8033
MACS_peak_139_1	chr1(.):10269390-10269762	0.0844
MACS_peak_139_2	chr1(.):10269763-10271762	1.4895
MACS_peak_139_3	chr1(.):10271763-10272023	0.1493
MACS_peak_140	chr1(.):10310330-10315678	0.7463
MACS_peak_141_1	chr1(.):10458147-10460083	0.9507
MACS_peak_141_2	chr1(.):10460084-10460255	0.0754
MACS_peak_142_1	chr1(.):10489742-10489802	0.0
MACS_peak_142_2	chr1(.):10489803-10491157	1.6056
MACS_peak_142_3	chr1(.):10491158-10491802	0.9535
MACS_peak_142_4	chr1(.):10491803-10491859	0.0362
MACS_peak_143	chr1(.):10504098-10505923	0.6051
MACS_peak_144	chr1(.):10516535-10518118	1.059
MACS_peak_145_1	chr1(.):10531732-10533612	1.2398
MACS_peak_145_2	chr1(.):10533613-10533943	0.3594
MACS_peak_146_1	chr1(.):10534364-10535967	0.8404
MACS_peak_147	chr1(.):10554598-10556248	0.4728
MACS_peak_148	chr1(.):10998969-11001561	0.5919
MACS_peak_149_1	chr1(.):11071323-11071677	0.2508
MACS_peak_149_2	chr1(.):11071678-11073677	3.532
MACS_peak_149_3	chr1(.):11073678-11073884	0.0501
MACS_peak_150_1	chr1(.):11118760-11119090	0.1739
MACS_peak_150_2	chr1(.):11119091-11121090	1.5572
MACS_peak_150_3	chr1(.):11121091-11121392	0.5376
MACS_peak_151_1	chr1(.):11158839-11158937	0.135
MACS_peak_151_2	chr1(.):11158938-11160591	1.699
MACS_peak_152	chr1(.):11286313-11286979	0.1588
MACS_peak_153	chr1(.):11286980-11288453	0.3219
MACS_peak_154_1	chr1(.):11321839-11323312	0.8213
MACS_peak_155_1	chr1(.):11332798-11334253	2.2373
MACS_peak_155_2	chr1(.):11334254-11334555	0.1959
MACS_peak_156_1	chr1(.):11538451-11539933	2.8052
MACS_peak_157	chr1(.):11622698-11632929	0.625
MACS_peak_158_1	chr1(.):11713779-11713912	0.0619
MACS_peak_158_2	chr1(.):11713913-11715223	0.5461
MACS_peak_159_1	chr1(.):11723938-11725148	0.7984
MACS_peak_159_2	chr1(.):11725149-11725243	0.0561
MACS_peak_160_1	chr1(.):11740365-11742270	1.7696
MACS_peak_161_1	chr1(.):11795348-11797140	1.4898
MACS_peak_161_2	chr1(.):11797141-11798871	0.5932
MACS_peak_162	chr1(.):11843051-11845772	1.1525
MACS_peak_163_1	chr1(.):11863552-11865159	0.4559
MACS_peak_163_2	chr1(.):11865206-11867159	3.0567
MACS_peak_163_3	chr1(.):11867206-11867564	0.2216
MACS_peak_163_1	chr1(.):11863552-11865159	0.4559
MACS_peak_163_2	chr1(.):11865206-11867159	3.0567
MACS_peak_163_3	chr1(.):11867206-11867564	0.2216
MACS_peak_164	chr1(.):11967477-11970841	3.0182
MACS_peak_165_1	chr1(.):11984237-11985479	0.5285
MACS_peak_165_2	chr1(.):11985480-11987479	0.8287
MACS_peak_165_1	chr1(.):11984237-11985479	0.5285
MACS_peak_165_2	chr1(.):11985480-11987479	0.8287
MACS_peak_166_1	chr1(.):11993862-11995467	0.9385
MACS_peak_167_1	chr1(.):12039489-12041236	1.9834
MACS_peak_167_2	chr1(.):12041237-12041397	0.0666
MACS_peak_168_1	chr1(.):12079163-12080449	1.0827
MACS_peak_169	chr1(.):12099758-12101177	0.3471
MACS_peak_170	chr1(.):12106130-12108860	0.6801
MACS_peak_171	chr1(.):12110923-12113413	1.2889
MACS_peak_173	chr1(.):12220769-12225204	1.008
MACS_peak_174_1	chr1(.):12226278-12227952	1.0757
MACS_peak_176_1	chr1(.):12289703-12291111	1.2319
MACS_peak_177	chr1(.):12404199-12406094	0.3135
MACS_peak_178	chr1(.):12494393-12497043	0.638
MACS_peak_179_1	chr1(.):12806089-12807078	0.0984
MACS_peak_180	chr1(.):12896741-12898499	0.4913
MACS_peak_181	chr1(.):13824331-13826653	0.3379
MACS_peak_182	chr1(.):13968470-13970373	0.3438
MACS_peak_184_1	chr1(.):14025799-14027540	0.8362
MACS_peak_185	chr1(.):14056401-14058420	1.3498
MACS_peak_186_1	chr1(.):14074875-14076874	1.48
MACS_peak_186_2	chr1(.):14076875-14076973	0.0494
MACS_peak_187	chr1(.):14155193-14156558	0.8973
MACS_peak_188	chr1(.):14237465-14239555	0.5188
MACS_peak_189	chr1(.):14246546-14249785	0.945
MACS_peak_190	chr1(.):14253147-14254904	0.4114
MACS_peak_191	chr1(.):14271854-14273611	0.5191
MACS_peak_192	chr1(.):14293331-14295366	0.9214
MACS_peak_193	chr1(.):14335839-14339561	1.8094
MACS_peak_194	chr1(.):14343087-14345215	0.6482
MACS_peak_195	chr1(.):14361507-14367937	1.9415
MACS_peak_197	chr1(.):14463442-14465402	0.4114
MACS_peak_198	chr1(.):14500801-14505000	1.0987
MACS_peak_199	chr1(.):14506488-14509066	0.8336
MACS_peak_200	chr1(.):14509137-14510102	0.2646
MACS_peak_202	chr1(.):14687076-14688618	0.6379
MACS_peak_203	chr1(.):14694259-14697585	0.6555
MACS_peak_205	chr1(.):15150041-15152030	0.4952
MACS_peak_206	chr1(.):15160738-15165631	3.3588
MACS_peak_207	chr1(.):15202430-15204392	1.0
MACS_peak_208	chr1(.):15207454-15209642	0.7839
MACS_peak_209	chr1(.):15416352-15417855	0.4137
MACS_peak_210	chr1(.):15482145-15483841	0.6322
MACS_peak_211	chr1(.):15500071-15501397	0.4154
MACS_peak_212	chr1(.):15501536-15506795	0.8019
MACS_peak_213	chr1(.):15545069-15547522	0.466
MACS_peak_214	chr1(.):15557362-15559228	0.5309
MACS_peak_215_1	chr1(.):15573261-15574766	0.3358
MACS_peak_215_2	chr1(.):15574767-15576054	0.7448
MACS_peak_216	chr1(.):15583954-15585958	0.4858
MACS_peak_217	chr1(.):15587150-15588782	0.7382
MACS_peak_218	chr1(.):15623434-15624582	0.4303
MACS_peak_219	chr1(.):15687730-15690082	0.4067
MACS_peak_221_1	chr1(.):15735037-15735389	0.0787
MACS_peak_221_2	chr1(.):15735390-15737389	1.0004
MACS_peak_221_3	chr1(.):15737390-15737674	0.1071
MACS_peak_223_1	chr1(.):15849940-15850284	0.1616
MACS_peak_223_2	chr1(.):15850285-15851939	0.8184
MACS_peak_223_3	chr1(.):15851940-15852284	0.5808
MACS_peak_223_4	chr1(.):15852285-15852350	0.2558
MACS_peak_223_5	chr1(.):15852351-15854350	0.8084
MACS_peak_223_6	chr1(.):15854351-15854423	0.0
MACS_peak_224	chr1(.):15896863-15899693	1.2633
MACS_peak_225	chr1(.):15904713-15907555	1.8862
MACS_peak_226_1	chr1(.):15910467-15910604	0.1096
MACS_peak_226_2	chr1(.):15910605-15912258	1.407
MACS_peak_227_1	chr1(.):15942614-15942951	0.0884
MACS_peak_227_2	chr1(.):15942952-15944951	1.5998
MACS_peak_227_3	chr1(.):15944952-15945652	0.3717
MACS_peak_228_1	chr1(.):16009676-16009825	0.1043
MACS_peak_228_2	chr1(.):16009826-16011825	1.7293
MACS_peak_228_3	chr1(.):16011826-16012163	0.1269
MACS_peak_229	chr1(.):16022679-16025105	0.8388
MACS_peak_230	chr1(.):16160147-16163610	5.452
MACS_peak_231_1	chr1(.):16173021-16173357	0.0862
MACS_peak_231_2	chr1(.):16173358-16173641	1.5728
MACS_peak_231_3	chr1(.):16173642-16175357	2.8806
MACS_peak_231_4	chr1(.):16175358-16175641	0.8647
MACS_peak_231_5	chr1(.):16175642-16177346	0.8865
MACS_peak_232	chr1(.):16177780-16179667	0.4232
MACS_peak_233_1	chr1(.):16301641-16303439	0.9283
MACS_peak_234_1	chr1(.):16399827-16401104	0.5651
MACS_peak_235	chr1(.):16532514-16534367	0.7483
MACS_peak_236_1	chr1(.):16562463-16562658	0.191
MACS_peak_236_2	chr1(.):16562659-16564616	1.1562
MACS_peak_237_1	chr1(.):16677502-16677947	0.2435
MACS_peak_237_2	chr1(.):16677948-16679898	1.6647
MACS_peak_238_1	chr1(.):16692729-16694581	2.7186
MACS_peak_238_2	chr1(.):16694582-16695468	0.6677
MACS_peak_239_1	chr1(.):16766460-16768165	1.9156
MACS_peak_239_2	chr1(.):16768166-16771446	0.9852
MACS_peak_242	chr1(.):16832185-16833373	1.0736
MACS_peak_244_1	chr1(.):16969379-16971067	2.3553
MACS_peak_244_2	chr1(.):16971068-16972636	7.665
MACS_peak_245	chr1(.):16991290-16995029	10.5786
MACS_peak_246	chr1(.):17010033-17013295	0.4893
MACS_peak_247	chr1(.):17065541-17068794	11.8936
MACS_peak_248	chr1(.):17074448-17075538	0.9375
MACS_peak_249	chr1(.):17220643-17224699	6.5642
MACS_peak_250	chr1(.):17227055-17235017	4.3717
MACS_peak_251	chr1(.):17239680-17241612	1.5236
MACS_peak_252	chr1(.):17286777-17288071	0.9587
MACS_peak_253_1	chr1(.):17379482-17379664	0.1607
MACS_peak_253_2	chr1(.):17379665-17380999	1.2458
MACS_peak_254_1	chr1(.):17763527-17764056	0.5685
MACS_peak_254_2	chr1(.):17764057-17765219	1.5596
MACS_peak_254_3	chr1(.):17765220-17766056	1.1938
MACS_peak_254_4	chr1(.):17766057-17767219	0.9336
MACS_peak_254_5	chr1(.):17767220-17769348	0.7239
MACS_peak_255	chr1(.):17786841-17788414	0.926
MACS_peak_256_1	chr1(.):19228217-19228292	0.1894
MACS_peak_256_2	chr1(.):19228293-19230186	2.206
MACS_peak_257	chr1(.):19252125-19255641	2.7167
MACS_peak_258	chr1(.):19256055-19257974	0.2809
MACS_peak_259	chr1(.):19276248-19279987	0.722
MACS_peak_260_1	chr1(.):19280929-19281825	0.2104
MACS_peak_260_2	chr1(.):19281826-19283825	0.7921
MACS_peak_260_3	chr1(.):19283826-19284121	0.107
MACS_peak_262_1	chr1(.):19535498-19535745	0.3808
MACS_peak_262_2	chr1(.):19535746-19537745	1.9438
MACS_peak_262_3	chr1(.):19537746-19538281	0.3457
MACS_peak_263_1	chr1(.):19577287-19579045	3.1596
MACS_peak_263_2	chr1(.):19579074-19579511	0.1353
MACS_peak_264_1	chr1(.):19637405-19637639	0.0683
MACS_peak_264_2	chr1(.):19637640-19637738	0.1264
MACS_peak_264_3	chr1(.):19637739-19639639	2.6805
MACS_peak_264_4	chr1(.):19639640-19639738	0.0661
MACS_peak_264_5	chr1(.):19639739-19639800	0.0303
MACS_peak_265_1	chr1(.):19810364-19811065	0.2361
MACS_peak_265_2	chr1(.):19811066-19813065	1.5812
MACS_peak_265_3	chr1(.):19813066-19813549	0.2155
MACS_peak_266	chr1(.):19821534-19823004	0.6165
MACS_peak_267_1	chr1(.):19922180-19922469	0.2399
MACS_peak_267_2	chr1(.):19922470-19924469	2.6097
MACS_peak_267_3	chr1(.):19924470-19924907	0.1159
MACS_peak_268	chr1(.):20084483-20087253	0.5158
MACS_peak_269	chr1(.):20090681-20092306	0.3176
MACS_peak_270	chr1(.):20115958-20118220	0.2118
MACS_peak_271_1	chr1(.):20125130-20125409	0.0521
MACS_peak_271_2	chr1(.):20125410-20127409	2.1313
MACS_peak_271_3	chr1(.):20127410-20127632	0.081
MACS_peak_272_1	chr1(.):20141108-20142770	0.3813
MACS_peak_272_2	chr1(.):20142771-20143638	0.403
MACS_peak_273_1	chr1(.):20208415-20209886	1.2636
MACS_peak_273_2	chr1(.):20209887-20209956	0.0443
MACS_peak_274	chr1(.):20404160-20409064	0.5691
MACS_peak_274	chr1(.):20404160-20409064	0.5691
MACS_peak_275	chr1(.):20415634-20417422	0.5416
MACS_peak_277	chr1(.):20438402-20439795	0.4376
MACS_peak_278_1	chr1(.):20445450-20447007	0.4556
MACS_peak_279_1	chr1(.):20833522-20833673	0.0515
MACS_peak_279_2	chr1(.):20833674-20835430	1.2791
MACS_peak_280	chr1(.):20837847-20839749	0.3412
MACS_peak_281_1	chr1(.):20959601-20960946	0.8695
MACS_peak_281_2	chr1(.):20960947-20961261	0.3546
MACS_peak_282_1	chr1(.):20983883-20987036	0.2436
MACS_peak_282_2	chr1(.):20987037-20989017	1.768
MACS_peak_283_1	chr1(.):21058623-21060132	0.8373
MACS_peak_283_2	chr1(.):21060133-21060698	0.9526
MACS_peak_284_1	chr1(.):21111970-21112180	0.4731
MACS_peak_284_2	chr1(.):21112181-21114180	2.9587
MACS_peak_284_3	chr1(.):21114181-21114892	1.1515
MACS_peak_285	chr1(.):21290458-21292042	0.7018
MACS_peak_286	chr1(.):21347828-21350011	1.4556
MACS_peak_287_1	chr1(.):21502038-21502250	0.4018
MACS_peak_287_2	chr1(.):21502251-21502380	0.5843
MACS_peak_287_3	chr1(.):21502381-21503821	1.4396
MACS_peak_287_1	chr1(.):21502038-21502250	0.4018
MACS_peak_287_2	chr1(.):21502251-21502380	0.5843
MACS_peak_287_3	chr1(.):21502381-21503821	1.4396
MACS_peak_288	chr1(.):21594739-21595908	0.3554
MACS_peak_289_1	chr1(.):21615370-21615765	0.2965
MACS_peak_289_2	chr1(.):21615766-21615981	0.6419
MACS_peak_289_3	chr1(.):21615982-21617765	2.3662
MACS_peak_289_4	chr1(.):21617766-21617981	0.7209
MACS_peak_289_5	chr1(.):21617982-21623742	3.336
MACS_peak_290	chr1(.):21659817-21662000	1.2397
MACS_peak_291_1	chr1(.):21670792-21671033	0.2776
MACS_peak_291_2	chr1(.):21671034-21673033	1.1619
MACS_peak_291_3	chr1(.):21673034-21673179	0.098
MACS_peak_292_1	chr1(.):21765860-21767182	0.96
MACS_peak_293	chr1(.):22026581-22027788	0.4998
MACS_peak_294_1	chr1(.):22105895-22108687	0.6086
MACS_peak_294_2	chr1(.):22108688-22110687	5.9244
MACS_peak_295	chr1(.):22115995-22120244	0.8014
MACS_peak_297	chr1(.):22190175-22195238	1.2555
MACS_peak_298_1	chr1(.):22263880-22264706	0.9415
MACS_peak_300_1	chr1(.):22349962-22350705	0.2638
MACS_peak_300_2	chr1(.):22350706-22351040	1.1544
MACS_peak_300_3	chr1(.):22351041-22352705	5.383
MACS_peak_300_4	chr1(.):22352706-22353040	1.891
MACS_peak_300_5	chr1(.):22353041-22353738	0.3531
MACS_peak_301	chr1(.):22365458-22367672	0.8441
MACS_peak_302_1	chr1(.):22378215-22380118	1.725
MACS_peak_302_2	chr1(.):22380119-22380723	0.4008
MACS_peak_303	chr1(.):22444217-22446233	0.5075
MACS_peak_304	chr1(.):22488564-22490691	0.663
