GENE_ID	locusLine	bin_1_U266.jin.bam
NM_022152	chr2(.):219133916-219162280	0.6449
NM_019850	chr2(.):233738395-233882951	0.0495
NM_004238	chr2(.):230626929-230791655	0.2031
NM_012293	chr2(.):1630658-1753291	0.2972
NM_145693	chr2(.):11881739-11972533	1.1293
NM_016131	chr2(.):26251728-26365323	0.311
NM_001170585	chr2(.):28713937-28871653	0.7215
NM_170672	chr2(.):33656415-33794798	0.6408
NM_005813	chr2(.):37472645-37549222	0.8819
NM_006449	chr2(.):37865742-37904326	0.9576
NM_003618	chr2(.):39471421-39669219	0.2079
NM_138801	chr2(.):38888051-38966909	1.0424
NM_000251	chr2(.):47625262-47715360	0.2951
NM_178313	chr2(.):54780530-54894445	0.4154
NM_003128	chr2(.):54678453-54903583	0.2725
NM_001039753	chr2(.):54947148-55204156	0.2436
NR_036586	chr2(.):65123973-65164581	0.6693
NM_014911	chr2(.):69680126-69875977	0.1993
NM_003896	chr2(.):86061270-86121157	0.9422
NR_024204	chr2(.):87749973-87826030	3.7422
NM_004836	chr2(.):88851258-88932094	0.6376
NM_004027	chr2(.):99056320-99212496	0.9107
NM_001566	chr2(.):99056320-99203284	0.9656
NM_003048	chr2(.):103231165-103332809	0.0618
NM_001142352	chr2(.):107424531-107508563	0.3266
NM_032528	chr2(.):107413055-107508563	0.2963
NM_001142351	chr2(.):107413055-107507610	0.2991
NM_001142807	chr2(.):111485149-111880799	0.2728
NM_004336	chr2(.):111390408-111440684	0.3082
NM_022662	chr2(.):112521639-112646741	0.3415
NM_005721	chr2(.):114642536-114721167	0.3609
NM_001164507	chr2(.):152336852-152596001	0.0797
NM_033394	chr2(.):159820145-160094170	0.3012
NM_004525	chr2(.):169978618-170224122	0.1036
NM_001077269	chr2(.):175419301-175552627	0.4541
NM_014905	chr2(.):191740546-191834776	0.3129
NR_024415	chr2(.):192537797-192558248	0.6815
NM_001031716	chr2(.):192537860-192558248	0.6836
NM_004226	chr2(.):196993306-197041336	0.6792
NM_001228	chr2(.):202093165-202157434	1.1096
NM_003879	chr2(.):201975889-202034003	1.6517
NM_001127184	chr2(.):201975815-202011323	2.6114
NM_173822	chr2(.):201833440-201941392	0.3142
NM_033358	chr2(.):202093165-202151638	1.2129
NM_001037631	chr2(.):204727508-204743683	1.1359
NM_001039538	chr2(.):210283770-210603834	0.3184
NM_031847	chr2(.):210439402-210603834	0.115
NM_018441	chr2(.):216898110-216951539	0.1432
NM_020935	chr2(.):219309973-219438084	0.2391
NM_001167608	chr2(.):227695670-227868923	0.2015
NM_174899	chr2(.):230782206-230882825	0.1316
NM_001017915	chr2(.):233920035-234121549	0.2814
NM_017844	chr2(.):241413838-241502405	0.1788
NM_001195381	chr2(.):241539824-241575676	0.0877
NM_005301	chr2(.):241559661-241575676	0.0959
NM_003108	chr2(.):5827798-5846517	2.6434
NM_001037160	chr2(.):10191925-10225538	0.0796
NM_182626	chr2(.):10276508-10356856	0.0723
NM_001165931	chr2(.):10257694-10276546	1.61
NM_001034	chr2(.):10257862-10276546	1.6236
NM_005742	chr2(.):10918516-10957960	0.8789
NM_198256	chr2(.):11579500-11611297	0.3622
NM_033090	chr2(.):11677850-11737272	0.1478
NM_014668	chr2(.):11669241-11787912	0.113
NM_148903	chr2(.):11675079-11733355	0.1522
NM_002997	chr2(.):20395557-20429927	2.9294
NM_001006946	chr2(.):20395557-20430194	2.9082
NM_002254	chr2(.):26144454-26210443	0.1179
NM_005253	chr2(.):28610778-28642516	1.1054
NM_016061	chr2(.):30364749-30388399	0.7838
NM_001145122	chr2(.):31390921-31445411	0.4648
NM_015376	chr2(.):33733941-33794798	0.1249
NM_001139488	chr2(.):33696320-33794798	0.8312
NM_012413	chr2(.):37566752-37605465	5.8314
NM_001031684	chr2(.):38965740-38983636	1.142
NM_006887	chr2(.):43444540-43458745	2.9729
NR_027251	chr2(.):43449349-43460994	2.5293
NM_001171508	chr2(.):47124008-47173994	0.2906
NR_030286	chr2(.):47599813-47609909	0.0466
NM_002354	chr2(.):47591286-47619167	0.0697
NR_002229	chr2(.):54751358-54761978	0.135
NM_007008	chr2(.):55194326-55242470	0.6007
NM_014882	chr2(.):68996932-69058957	0.1895
NM_001166277	chr2(.):68956912-69058957	0.3624
NM_006196	chr2(.):70309584-70321334	3.6504
NR_024444	chr2(.):70346167-70357448	1.4071
NM_001042437	chr2(.):86061271-86099793	0.8144
NM_015425	chr2(.):86248450-86338278	0.8987
NR_026984	chr2(.):86242338-86255991	1.245
NR_015424	chr2(.):89060418-89111109	0.0547
NM_006538	chr2(.):111873490-111931022	0.433
NM_207002	chr2(.):111873490-111891423	0.68
NM_002101	chr2(.):127408683-127459246	1.0754
NM_001006622	chr2(.):128515059-128573761	0.4409
NM_004805	chr2(.):128598839-128620729	0.4904
NM_003467	chr2(.):136866918-136880725	2.1536
NM_001008540	chr2(.):136866918-136878813	2.4643
NM_006186	chr2(.):157175943-157194287	1.6911
NM_004288	chr2(.):158266130-158305604	1.1287
NM_002610	chr2(.):173415778-173468862	0.598
NM_001172712	chr2(.):174766186-174835430	0.399
NM_001017371	chr2(.):174766186-174833947	0.4053
NM_003387	chr2(.):175419301-175504307	0.6644
NM_002491	chr2(.):201931461-201955473	0.4128
NM_001127183	chr2(.):201978386-202033841	1.7241
NM_032974	chr2(.):202042620-202099110	0.4219
NM_033356	chr2(.):202120222-202157434	1.0493
NM_001080125	chr2(.):202117753-202157434	1.1125
NM_006139	chr2(.):204566197-204607557	1.3759
NM_001142310	chr2(.):216941588-216972506	0.1396
NM_001077194	chr2(.):219120737-219133582	0.0876
NM_001087	chr2(.):219123851-219139893	0.2559
NM_022572	chr2(.):219182901-219216516	0.1409
NM_005444	chr2(.):219428677-219463999	0.8242
NM_032726	chr2(.):219467631-219506904	0.0594
NM_025216	chr2(.):219740254-219763651	2.0502
NM_006522	chr2(.):219719545-219743954	0.1764
NM_005544	chr2(.):227591032-227668506	0.7387
NM_001099285	chr2(.):232568234-232583250	3.2831
NR_036052	chr2(.):232573023-232583105	1.9723
NM_005383	chr2(.):233892381-233904767	0.0595
NM_023083	chr2(.):241521132-241543526	0.7242
NM_001033575	chr2(.):241494470-241508431	1.5744
NM_018226	chr2(.):241503103-241523143	0.9084
NR_027007	chr3(.):9425536-9444174	1.1399
NM_001195099	chr3(.):15703743-15803058	0.0456
NM_001195098	chr3(.):15703743-15844691	0.1373
NM_015199	chr3(.):15703743-15906053	0.1486
NM_002841	chr3(.):61542242-62285573	0.1979
NM_032682	chr3(.):70999735-71638140	0.2281
NM_001012505	chr3(.):71242033-71638140	0.2447
NM_016128	chr3(.):128963452-129001616	0.867
NM_003571	chr3(.):133113789-133199056	0.6711
NM_005862	chr3(.):136050998-136476245	0.0976
NM_207294	chr3(.):152012193-152188569	0.2927
NM_003471	chr3(.):155855750-156261927	0.2577
NM_021038	chr3(.):151980828-152188568	0.3749
NM_172159	chr3(.):156003775-156261927	0.3617
NM_172160	chr3(.):155833336-156261927	0.247
NM_001135095	chr3(.):171753343-172123492	0.6686
NM_022763	chr3(.):171752417-172123492	0.6676
NM_001168272	chr3(.):4530031-4894524	0.1781
NM_024923	chr3(.):13352736-13466809	0.7112
NM_015340	chr3(.):45425074-45595328	0.287
NM_014016	chr3(.):45725753-45791900	0.3417
NM_001123396	chr3(.):46390234-46405868	2.3658
NM_001123041	chr3(.):46390234-46407413	2.1654
NM_007114	chr3(.):69063977-69106484	0.149
NM_001126128	chr3(.):71815805-71839357	0.8595
NM_001009899	chr3(.):113362232-113420493	0.1281
NM_001690	chr3(.):113460865-113535905	0.2832
NM_012430	chr3(.):122915773-122997982	0.4822
NM_032343	chr3(.):126418117-126684244	0.134
NM_001001487	chr3(.):130608433-130740555	0.1262
NM_001199181	chr3(.):130564368-130727046	0.285
NM_001199180	chr3(.):130564368-130740555	0.2667
NM_001199179	chr3(.):130607834-130727046	0.1347
NM_001001485	chr3(.):130607858-130740555	0.1257
NM_001199184	chr3(.):130607904-130727046	0.1348
NM_014382	chr3(.):130608291-130727046	0.1351
NM_001134422	chr3(.):133287433-133314118	0.6377
NM_001134423	chr3(.):133288300-133314118	0.6512
NM_001080412	chr3(.):141038054-141173632	1.2778
NM_016275	chr3(.):150316065-150353234	0.8379
NM_005067	chr3(.):150453909-150486263	1.1408
NM_001190242	chr3(.):159969773-160106554	0.0636
NM_001190241	chr3(.):159969773-160122320	0.2051
NM_014932	chr3(.):173111243-174006116	0.0825
NM_024665	chr3(.):176733541-176920048	0.332
NM_130446	chr3(.):183200318-183278499	1.361
NM_173216	chr3(.):186643314-186801341	1.4164
NM_003032	chr3(.):186734664-186801341	0.9749
NR_034062	chr3(.):187415153-187455203	0.0927
NM_178496	chr3(.):192509604-192640950	1.6132
NM_005524	chr3(.):193848933-193861396	2.3117
NM_001647	chr3(.):195290572-195316076	0.2167
NM_152617	chr3(.):196190656-196235639	0.4515
NM_032773	chr3(.):197513144-197603456	0.2038
NM_003670	chr3(.):5016096-5031865	2.4511
NM_015453	chr3(.):9399716-9433475	0.4254
NM_001080517	chr3(.):9434402-9524838	0.282
NM_020345	chr3(.):23928571-23963537	0.6944
NM_002948	chr3(.):23953638-23967332	1.6168
NM_005126	chr3(.):23981750-24027109	0.2885
NM_001145425	chr3(.):23982611-24027109	0.2925
NM_014240	chr3(.):45631322-45727755	0.8718
NR_033947	chr3(.):45714656-45735374	0.6359
NM_001837	chr3(.):46278871-46313197	0.0646
NM_003965	chr3(.):46443720-46456014	0.1207
NM_001100168	chr3(.):46406632-46422697	0.3532
NM_001130910	chr3(.):46444048-46456014	0.1231
NM_199074	chr3(.):49052907-49065926	2.0855
NM_199073	chr3(.):49053617-49065926	2.2003
NM_177939	chr3(.):49022340-49049581	0.5741
NM_018031	chr3(.):49039636-49058386	1.1274
NM_000884	chr3(.):49056761-49071875	1.7684
NM_018114	chr3(.):49047434-49063467	1.6789
NM_199070	chr3(.):49054073-49065926	2.2772
NM_001009996	chr3(.):49047434-49061017	1.9423
NR_029690	chr3(.):49053050-49063142	2.6258
NR_029948	chr3(.):49052580-49062667	2.6166
NM_198195	chr3(.):69098880-69134524	0.5048
NM_006407	chr3(.):69129089-69160239	0.7396
NM_198271	chr3(.):69151038-69176746	0.0758
NR_036087	chr3(.):69093108-69103186	0.4697
NM_001134650	chr3(.):71723439-71783269	0.1135
NM_001134649	chr3(.):71723439-71808532	0.0926
NM_173359	chr3(.):71723439-71808924	0.0925
NM_018971	chr3(.):71798200-71809328	0.0476
NM_006100	chr3(.):98446571-98518236	0.615
NM_025146	chr3(.):113432840-113470096	0.5069
NM_020187	chr3(.):128992683-129029135	1.431
NM_001006109	chr3(.):128992816-129029135	1.4354
NM_006026	chr3(.):129028613-129040120	3.8875
NR_026991	chr3(.):129030113-129048412	1.9027
NM_001145417	chr3(.):135862759-135918310	0.3988
NM_018133	chr3(.):135862759-135919688	0.3902
NM_198504	chr3(.):142675073-142687178	0.334
NR_027037	chr3(.):151975404-151992415	1.2543
NM_001123228	chr3(.):152052486-152063779	0.3906
NR_034008	chr3(.):156802669-156823924	2.1044
NR_034007	chr3(.):156794455-156845791	1.0184
NM_173084	chr3(.):160148290-160172626	0.5304
NR_029663	chr3(.):160117375-160127473	1.8955
NM_005496	chr3(.):160113346-160157741	0.5865
NM_001002800	chr3(.):160112429-160157741	0.5759
NR_029525	chr3(.):160117532-160127613	1.7806
NM_014373	chr3(.):169750734-169808183	1.2078
NM_001004312	chr3(.):187411046-187425345	0.0902
NM_001706	chr3(.):187434164-187468513	0.6353
NM_001134738	chr3(.):187434164-187457695	0.104
NM_001130845	chr3(.):187434164-187459285	0.1331
NM_024524	chr3(.):194118402-194193968	0.0796
NR_033929	chr3(.):194202868-194214274	4.747
NM_006241	chr3(.):195236220-195275224	1.3234
NR_003265	chr3(.):195379909-195420735	0.2552
NM_005781	chr3(.):195585235-195640880	0.3686
NM_001010938	chr3(.):195585235-195627432	0.1811
NM_001077657	chr3(.):196228749-196247237	1.7182
NR_003266	chr3(.):197335897-197359752	0.3391
NM_014687	chr3(.):197393258-197468773	0.9696
NM_001145642	chr3(.):197393313-197481568	1.1863
NR_027840	chr3(.):197472260-197516317	0.7593
NM_032288	chr3(.):197471623-197516317	0.7492
NR_030627	chr3(.):197396366-197406447	0.1049
NM_001011537	chr3(.):197471423-197516317	0.746
NM_003215	chr4(.):48132799-48276814	0.2911
NM_144571	chr4(.):78629540-78745544	0.1445
NM_198281	chr4(.):90160428-90234161	0.4789
NM_001008388	chr4(.):103785134-103818963	0.5866
NM_001102406	chr4(.):113213498-113368764	0.0921
NM_018699	chr4(.):121610928-121849013	0.4234
NM_001130067	chr4(.):154069269-154265474	0.063
NM_021069	chr4(.):186501597-186882870	0.076
NM_001145670	chr4(.):186501597-186738410	0.1109
NM_001145671	chr4(.):186501597-186737225	0.1114
NM_001145672	chr4(.):186501597-186737048	0.1115
NM_003603	chr4(.):186501597-186738392	0.1109
NM_001145673	chr4(.):186501597-186702066	0.1284
NM_001113361	chr4(.):6906170-7039845	0.3494
NM_020773	chr4(.):6906494-7039845	0.3495
NM_005112	chr4(.):10070962-10123573	0.8168
NM_016531	chr4(.):38660789-38708129	0.3526
NM_015173	chr4(.):37887719-38145794	0.3071
NR_026804	chr4(.):38609321-38671249	0.2477
NM_004310	chr4(.):40193526-40251281	1.1099
NM_001136570	chr4(.):77167852-77209929	0.0599
