GENE_ID	locusLine	bin_1_U266_jia.bam
1_MACS_peak_57_lociStitched	chr1(.):1676135-1678780	2.7465
2_MACS_peak_58_lociStitched	chr1(.):1707181-1715311	2.1291
1_MACS_peak_60_lociStitched	chr1(.):1764442-1765907	0.7768
3_MACS_peak_61_lociStitched	chr1(.):1820729-1831517	1.9303
1_MACS_peak_64_lociStitched	chr1(.):1837349-1841473	2.4133
1_MACS_peak_65_lociStitched	chr1(.):1849905-1850784	0.8598
2_MACS_peak_66_lociStitched	chr1(.):1873805-1875698	0.5851
2_MACS_peak_68_lociStitched	chr1(.):1980983-1982444	0.8105
1_MACS_peak_70_lociStitched	chr1(.):2057714-2058007	0.3085
2_MACS_peak_71_lociStitched	chr1(.):2111398-2112744	0.605
3_MACS_peak_73_lociStitched	chr1(.):2120439-2131321	0.6467
1_MACS_peak_76_lociStitched	chr1(.):2135855-2136357	0.402
1_MACS_peak_77_lociStitched	chr1(.):2158352-2160165	1.4938
1_MACS_peak_78_lociStitched	chr1(.):2231440-2233231	0.7689
1_MACS_peak_79_lociStitched	chr1(.):2322076-2324436	1.7298
1_MACS_peak_80_lociStitched	chr1(.):2343102-2345043	1.5512
1_MACS_peak_81_lociStitched	chr1(.):2456694-2458595	1.5464
4_MACS_peak_82_lociStitched	chr1(.):2472415-2481380	1.0606
1_MACS_peak_86_lociStitched	chr1(.):2486247-2489114	2.1981
1_MACS_peak_87_lociStitched	chr1(.):2499433-2499787	0.3583
1_MACS_peak_88_lociStitched	chr1(.):2508991-2510218	0.6398
1_MACS_peak_89_lociStitched	chr1(.):2516600-2519241	1.6801
1_MACS_peak_90_lociStitched	chr1(.):2573444-2574847	2.6316
3_MACS_peak_91_lociStitched	chr1(.):3540575-3547335	0.4442
3_MACS_peak_94_lociStitched	chr1(.):3565740-3574028	0.3939
1_MACS_peak_97_lociStitched	chr1(.):3582636-3585009	0.7323
3_MACS_peak_98_lociStitched	chr1(.):3590321-3594600	0.5068
1_MACS_peak_101_lociStitched	chr1(.):3663397-3664035	0.8639
3_MACS_peak_102_lociStitched	chr1(.):3688230-3693054	0.4786
2_MACS_peak_105_lociStitched	chr1(.):3709566-3713693	0.7345
2_MACS_peak_107_lociStitched	chr1(.):3773000-3774762	1.6333
1_MACS_peak_109_lociStitched	chr1(.):3815704-3818434	2.6263
1_MACS_peak_110_lociStitched	chr1(.):5974968-5978520	1.119
2_MACS_peak_111_lociStitched	chr1(.):6051327-6055807	2.0533
1_MACS_peak_113_lociStitched	chr1(.):6061939-6062449	0.4617
1_MACS_peak_114_lociStitched	chr1(.):6067781-6071634	1.073
2_MACS_peak_115_lociStitched	chr1(.):6084214-6090022	1.9808
1_MACS_peak_117_lociStitched	chr1(.):6187477-6187979	0.5959
2_MACS_peak_118_lociStitched	chr1(.):6230363-6232057	0.6186
3_MACS_peak_120_lociStitched	chr1(.):6258203-6266809	0.8858
1_MACS_peak_123_lociStitched	chr1(.):6294499-6296885	1.6945
1_MACS_peak_124_lociStitched	chr1(.):6305565-6306441	0.4627
1_MACS_peak_125_lociStitched	chr1(.):6320157-6321171	0.5208
1_MACS_peak_126_lociStitched	chr1(.):6419117-6419990	0.792
1_MACS_peak_127_lociStitched	chr1(.):6452559-6454653	2.0229
2_MACS_peak_128_lociStitched	chr1(.):6499960-6501011	0.4727
1_MACS_peak_130_lociStitched	chr1(.):6507043-6508101	0.7665
1_MACS_peak_131_lociStitched	chr1(.):6519698-6521668	1.7492
1_MACS_peak_132_lociStitched	chr1(.):6531667-6532721	0.5232
3_MACS_peak_133_lociStitched	chr1(.):6542891-6551114	0.368
1_MACS_peak_136_lociStitched	chr1(.):6557221-6557731	0.436
1_MACS_peak_137_lociStitched	chr1(.):6613838-6615377	1.9514
1_MACS_peak_138_lociStitched	chr1(.):6639381-6641153	1.3553
3_MACS_peak_139_lociStitched	chr1(.):6659319-6675538	1.7493
1_MACS_peak_142_lociStitched	chr1(.):6683980-6686535	2.0828
1_MACS_peak_143_lociStitched	chr1(.):6760978-6761941	1.7744
2_MACS_peak_144_lociStitched	chr1(.):6843544-6846715	2.7721
1_MACS_peak_146_lociStitched	chr1(.):6978787-6979138	0.4182
2_MACS_peak_147_lociStitched	chr1(.):7764129-7765250	0.7632
1_MACS_peak_149_lociStitched	chr1(.):7830878-7832266	1.4188
2_MACS_peak_150_lociStitched	chr1(.):7842981-7844815	1.2521
1_MACS_peak_152_lociStitched	chr1(.):8013490-8014962	1.741
1_MACS_peak_153_lociStitched	chr1(.):8020715-8022791	1.6906
1_MACS_peak_154_lociStitched	chr1(.):8483141-8484241	0.9087
1_MACS_peak_155_lociStitched	chr1(.):8554305-8554806	0.4921
1_MACS_peak_156_lociStitched	chr1(.):8585329-8586230	0.4716
1_MACS_peak_157_lociStitched	chr1(.):8614868-8615683	0.4981
1_MACS_peak_158_lociStitched	chr1(.):8655693-8656555	0.5885
1_MACS_peak_159_lociStitched	chr1(.):8662572-8665078	0.9102
2_MACS_peak_160_lociStitched	chr1(.):8702942-8704295	0.4321
1_MACS_peak_162_lociStitched	chr1(.):8740746-8741392	0.5416
1_MACS_peak_163_lociStitched	chr1(.):8762631-8763641	1.3431
1_MACS_peak_164_lociStitched	chr1(.):8875654-8878726	1.7443
1_MACS_peak_165_lociStitched	chr1(.):8889314-8890224	0.5007
1_MACS_peak_166_lociStitched	chr1(.):8908627-8909122	0.4728
2_MACS_peak_167_lociStitched	chr1(.):8916938-8919609	0.4398
2_MACS_peak_169_lociStitched	chr1(.):8933052-8940595	1.8598
1_MACS_peak_171_lociStitched	chr1(.):8959081-8960967	0.9953
1_MACS_peak_172_lociStitched	chr1(.):9182347-9182914	0.5629
1_MACS_peak_173_lociStitched	chr1(.):9188117-9190232	1.2375
1_MACS_peak_174_lociStitched	chr1(.):9195010-9195924	0.6136
1_MACS_peak_175_lociStitched	chr1(.):9205221-9205933	0.5347
2_MACS_peak_176_lociStitched	chr1(.):9219503-9227162	2.6242
1_MACS_peak_178_lociStitched	chr1(.):9238664-9243235	1.5168
3_MACS_peak_179_lociStitched	chr1(.):9290775-9300279	0.9305
1_MACS_peak_182_lociStitched	chr1(.):9326640-9328001	0.9886
3_MACS_peak_183_lociStitched	chr1(.):9334780-9347247	1.2407
2_MACS_peak_186_lociStitched	chr1(.):9352358-9361410	1.2009
2_MACS_peak_188_lociStitched	chr1(.):9372958-9383311	2.3116
1_MACS_peak_190_lociStitched	chr1(.):9390968-9394371	1.3248
2_MACS_peak_191_lociStitched	chr1(.):9404304-9408957	0.8629
1_MACS_peak_193_lociStitched	chr1(.):9446040-9446758	0.4928
1_MACS_peak_194_lociStitched	chr1(.):9452827-9453325	0.5247
8_MACS_peak_195_lociStitched	chr1(.):9460131-9489830	0.8035
1_MACS_peak_203_lociStitched	chr1(.):9515646-9516386	0.5141
1_MACS_peak_204_lociStitched	chr1(.):9535941-9537911	1.2362
2_MACS_peak_205_lociStitched	chr1(.):9550378-9555872	0.4098
1_MACS_peak_207_lociStitched	chr1(.):9561013-9562067	0.6219
1_MACS_peak_208_lociStitched	chr1(.):9571342-9571847	0.5061
2_MACS_peak_209_lociStitched	chr1(.):9588267-9589747	0.5106
1_MACS_peak_211_lociStitched	chr1(.):9598760-9600748	1.9085
1_MACS_peak_212_lociStitched	chr1(.):9633559-9633964	0.5884
2_MACS_peak_213_lociStitched	chr1(.):9648220-9650039	1.6146
2_MACS_peak_215_lociStitched	chr1(.):9747290-9750004	0.6439
1_MACS_peak_217_lociStitched	chr1(.):9776347-9780196	2.4921
1_MACS_peak_218_lociStitched	chr1(.):9797166-9797591	0.3793
2_MACS_peak_219_lociStitched	chr1(.):9818732-9824543	1.303
1_MACS_peak_221_lociStitched	chr1(.):9845427-9848744	1.5147
2_MACS_peak_222_lociStitched	chr1(.):9858261-9860935	0.3957
4_MACS_peak_224_lociStitched	chr1(.):9879817-9886205	1.0336
2_MACS_peak_228_lociStitched	chr1(.):9923365-9927796	0.3957
2_MACS_peak_230_lociStitched	chr1(.):9935104-9938314	0.2089
2_MACS_peak_232_lociStitched	chr1(.):9969136-9971784	1.5878
1_MACS_peak_234_lociStitched	chr1(.):10002311-10004203	2.1632
2_MACS_peak_235_lociStitched	chr1(.):10092128-10094482	1.5265
1_MACS_peak_237_lociStitched	chr1(.):10249286-10250629	0.7527
1_MACS_peak_238_lociStitched	chr1(.):10264158-10264846	0.5482
2_MACS_peak_239_lociStitched	chr1(.):10269627-10271810	2.2543
1_MACS_peak_241_lociStitched	chr1(.):10433799-10435285	0.7251
2_MACS_peak_242_lociStitched	chr1(.):10458132-10460204	1.6867
1_MACS_peak_244_lociStitched	chr1(.):10490043-10491573	1.3458
1_MACS_peak_245_lociStitched	chr1(.):10515890-10518550	1.2111
2_MACS_peak_246_lociStitched	chr1(.):10531773-10536001	1.124
1_MACS_peak_248_lociStitched	chr1(.):10554435-10556113	0.6867
1_MACS_peak_249_lociStitched	chr1(.):10615356-10616594	0.9371
1_MACS_peak_250_lociStitched	chr1(.):10702553-10702915	0.3648
2_MACS_peak_251_lociStitched	chr1(.):10753915-10755303	0.4469
1_MACS_peak_253_lociStitched	chr1(.):10955405-10957242	0.567
3_MACS_peak_254_lociStitched	chr1(.):10999178-11003549	0.8785
1_MACS_peak_257_lociStitched	chr1(.):11071877-11073762	2.1919
1_MACS_peak_258_lociStitched	chr1(.):11118592-11121189	1.8417
1_MACS_peak_259_lociStitched	chr1(.):11158856-11160647	1.8505
1_MACS_peak_260_lociStitched	chr1(.):11203823-11204923	0.5758
1_MACS_peak_261_lociStitched	chr1(.):11209929-11211583	0.6076
1_MACS_peak_262_lociStitched	chr1(.):11286522-11287645	0.5997
2_MACS_peak_263_lociStitched	chr1(.):11321781-11323356	1.5463
1_MACS_peak_265_lociStitched	chr1(.):11332651-11334319	1.8022
1_MACS_peak_266_lociStitched	chr1(.):11538746-11539766	1.4506
3_MACS_peak_267_lociStitched	chr1(.):11623298-11630567	0.6913
2_MACS_peak_270_lociStitched	chr1(.):11710113-11715546	0.5719
1_MACS_peak_272_lociStitched	chr1(.):11723788-11725168	1.1951
1_MACS_peak_273_lociStitched	chr1(.):11740222-11742448	1.7712
1_MACS_peak_274_lociStitched	chr1(.):11796066-11797069	1.5602
2_MACS_peak_275_lociStitched	chr1(.):11843562-11844363	0.3967
1_MACS_peak_277_lociStitched	chr1(.):11864780-11867593	2.0836
3_MACS_peak_278_lociStitched	chr1(.):11901140-11903121	0.6485
1_MACS_peak_281_lociStitched	chr1(.):11967814-11970536	1.9343
3_MACS_peak_282_lociStitched	chr1(.):11984613-11995526	0.7171
1_MACS_peak_285_lociStitched	chr1(.):12039655-12041379	1.6305
2_MACS_peak_286_lociStitched	chr1(.):12078880-12080317	1.155
3_MACS_peak_288_lociStitched	chr1(.):12107552-12114915	0.4402
1_MACS_peak_291_lociStitched	chr1(.):12213510-12213920	0.3711
1_MACS_peak_292_lociStitched	chr1(.):12221454-12222910	0.8181
1_MACS_peak_293_lociStitched	chr1(.):12289942-12291412	1.4593
1_MACS_peak_294_lociStitched	chr1(.):12496018-12496695	0.5833
1_MACS_peak_295_lociStitched	chr1(.):12654937-12656599	0.7605
1_MACS_peak_296_lociStitched	chr1(.):14013581-14014347	0.4795
1_MACS_peak_297_lociStitched	chr1(.):14025797-14033216	2.224
1_MACS_peak_298_lociStitched	chr1(.):14056239-14058825	0.9981
3_MACS_peak_299_lociStitched	chr1(.):14074932-14082613	1.2944
1_MACS_peak_302_lociStitched	chr1(.):14139887-14140327	0.448
1_MACS_peak_303_lociStitched	chr1(.):14366737-14367281	0.4097
3_MACS_peak_304_lociStitched	chr1(.):14501180-14509945	0.4766
1_MACS_peak_307_lociStitched	chr1(.):14660916-14662188	0.5618
1_MACS_peak_308_lociStitched	chr1(.):15059272-15059628	0.3438
1_MACS_peak_309_lociStitched	chr1(.):15162138-15162458	0.3437
1_MACS_peak_310_lociStitched	chr1(.):15250583-15250961	0.3527
1_MACS_peak_311_lociStitched	chr1(.):15261777-15262687	0.5558
3_MACS_peak_312_lociStitched	chr1(.):15480025-15487880	0.4664
3_MACS_peak_315_lociStitched	chr1(.):15497364-15506078	0.33
1_MACS_peak_318_lociStitched	chr1(.):15533199-15534986	0.84
1_MACS_peak_319_lociStitched	chr1(.):15563000-15563617	0.432
2_MACS_peak_320_lociStitched	chr1(.):15573261-15574255	0.4768
1_MACS_peak_322_lociStitched	chr1(.):15649227-15650476	0.5927
1_MACS_peak_323_lociStitched	chr1(.):15655757-15656234	0.4578
1_MACS_peak_324_lociStitched	chr1(.):15688437-15689596	0.671
2_MACS_peak_325_lociStitched	chr1(.):15710384-15715148	0.6985
4_MACS_peak_327_lociStitched	chr1(.):15726364-15744603	1.304
1_MACS_peak_331_lociStitched	chr1(.):15749360-15750066	0.5128
1_MACS_peak_332_lociStitched	chr1(.):15757475-15757889	0.4215
1_MACS_peak_333_lociStitched	chr1(.):15782233-15783003	0.8634
1_MACS_peak_334_lociStitched	chr1(.):15798428-15798822	0.3686
3_MACS_peak_335_lociStitched	chr1(.):15849692-15854124	1.4191
3_MACS_peak_338_lociStitched	chr1(.):15905446-15911932	0.5004
1_MACS_peak_341_lociStitched	chr1(.):15929510-15930639	1.1327
1_MACS_peak_342_lociStitched	chr1(.):15942961-15945616	1.6175
1_MACS_peak_343_lociStitched	chr1(.):15953945-15954322	0.3642
1_MACS_peak_344_lociStitched	chr1(.):16009995-16011972	3.2842
1_MACS_peak_345_lociStitched	chr1(.):16023196-16024687	0.9217
1_MACS_peak_346_lociStitched	chr1(.):16092140-16092940	0.417
1_MACS_peak_347_lociStitched	chr1(.):16159226-16163500	3.1865
4_MACS_peak_348_lociStitched	chr1(.):16171110-16179596	1.3326
1_MACS_peak_352_lociStitched	chr1(.):16212491-16213134	0.6277
1_MACS_peak_353_lociStitched	chr1(.):16274576-16277776	1.2986
1_MACS_peak_354_lociStitched	chr1(.):16291758-16293797	0.8613
1_MACS_peak_355_lociStitched	chr1(.):16301239-16303283	1.3884
1_MACS_peak_356_lociStitched	chr1(.):16338763-16343630	1.3941
1_MACS_peak_357_lociStitched	chr1(.):16361767-16362598	0.5336
2_MACS_peak_358_lociStitched	chr1(.):16382259-16385710	0.33
2_MACS_peak_360_lociStitched	chr1(.):16399657-16406569	0.497
1_MACS_peak_362_lociStitched	chr1(.):16467591-16468254	0.4164
1_MACS_peak_363_lociStitched	chr1(.):16493973-16494572	0.5004
1_MACS_peak_364_lociStitched	chr1(.):16532126-16534322	1.7109
2_MACS_peak_365_lociStitched	chr1(.):16542387-16544590	0.7915
1_MACS_peak_367_lociStitched	chr1(.):16562422-16564730	1.3696
1_MACS_peak_368_lociStitched	chr1(.):16574531-16576135	0.6775
1_MACS_peak_369_lociStitched	chr1(.):16677556-16679761	1.8256
2_MACS_peak_370_lociStitched	chr1(.):16693092-16695156	2.2121
1_MACS_peak_372_lociStitched	chr1(.):16766651-16768269	1.8258
1_MACS_peak_373_lociStitched	chr1(.):16778091-16778551	0.378
1_MACS_peak_374_lociStitched	chr1(.):16824650-16826467	1.6363
1_MACS_peak_375_lociStitched	chr1(.):16832455-16832887	0.7123
1_MACS_peak_377_lociStitched	chr1(.):16860608-16861835	0.4713
1_MACS_peak_378_lociStitched	chr1(.):16871454-16872523	0.8525
1_MACS_peak_379_lociStitched	chr1(.):16938820-16941039	4.0501
1_MACS_peak_380_lociStitched	chr1(.):16946644-16948541	1.1292
1_MACS_peak_381_lociStitched	chr1(.):16969181-16972309	4.0631
1_MACS_peak_382_lociStitched	chr1(.):16982921-16983995	0.6199
1_MACS_peak_383_lociStitched	chr1(.):16991448-16994516	2.6654
2_MACS_peak_384_lociStitched	chr1(.):17007250-17012957	0.3167
2_MACS_peak_386_lociStitched	chr1(.):17022702-17028726	0.7233
1_MACS_peak_388_lociStitched	chr1(.):17033819-17034932	0.9528
1_MACS_peak_389_lociStitched	chr1(.):17065820-17068934	2.5828
2_MACS_peak_390_lociStitched	chr1(.):17074625-17077431	0.5045
1_MACS_peak_392_lociStitched	chr1(.):17098455-17100355	0.9842
1_MACS_peak_393_lociStitched	chr1(.):17188295-17189397	0.6079
1_MACS_peak_394_lociStitched	chr1(.):17199013-17200435	0.6404
2_MACS_peak_395_lociStitched	chr1(.):17221418-17234144	1.9387
1_MACS_peak_397_lociStitched	chr1(.):17239781-17241736	2.4338
1_MACS_peak_398_lociStitched	chr1(.):17286905-17287802	0.9487
1_MACS_peak_399_lociStitched	chr1(.):17337773-17338510	0.7599
1_MACS_peak_400_lociStitched	chr1(.):17379617-17381377	1.2878
1_MACS_peak_401_lociStitched	chr1(.):17407799-17408193	0.3717
1_MACS_peak_402_lociStitched	chr1(.):17645397-17646893	0.7995
1_MACS_peak_403_lociStitched	chr1(.):17763328-17769535	3.2355
1_MACS_peak_404_lociStitched	chr1(.):17814346-17814909	0.5576
1_MACS_peak_405_lociStitched	chr1(.):17866132-17867011	0.5601
1_MACS_peak_406_lociStitched	chr1(.):17878180-17878758	0.4229
1_MACS_peak_407_lociStitched	chr1(.):17895679-17897019	0.7275
3_MACS_peak_408_lociStitched	chr1(.):17906189-17915941	0.7833
1_MACS_peak_411_lociStitched	chr1(.):17923674-17924166	0.4452
2_MACS_peak_412_lociStitched	chr1(.):17929348-17935182	0.547
1_MACS_peak_414_lociStitched	chr1(.):17956191-17957127	0.5238
5_MACS_peak_415_lociStitched	chr1(.):18012915-18020041	0.6389
1_MACS_peak_420_lociStitched	chr1(.):18045748-18047036	0.6488
1_MACS_peak_421_lociStitched	chr1(.):19228379-19230014	1.4148
1_MACS_peak_422_lociStitched	chr1(.):19239745-19240070	0.3872
1_MACS_peak_423_lociStitched	chr1(.):19252648-19254875	1.2106
2_MACS_peak_424_lociStitched	chr1(.):19276627-19283938	0.5624
1_MACS_peak_426_lociStitched	chr1(.):19535371-19538207	1.7516
1_MACS_peak_427_lociStitched	chr1(.):19567308-19567860	0.5722
1_MACS_peak_428_lociStitched	chr1(.):19577372-19579564	1.8168
3_MACS_peak_429_lociStitched	chr1(.):19637544-19642256	1.0346
1_MACS_peak_432_lociStitched	chr1(.):19810431-19813394	2.2254
2_MACS_peak_433_lociStitched	chr1(.):19922609-19924670	1.6724
1_MACS_peak_435_lociStitched	chr1(.):20091377-20092232	0.6946
1_MACS_peak_436_lociStitched	chr1(.):20113488-20114284	0.6586
1_MACS_peak_437_lociStitched	chr1(.):20125657-20127198	1.4538
1_MACS_peak_438_lociStitched	chr1(.):20208690-20210012	1.7789
1_MACS_peak_439_lociStitched	chr1(.):20415234-20417086	1.2516
1_MACS_peak_440_lociStitched	chr1(.):20833443-20835100	1.1425
1_MACS_peak_441_lociStitched	chr1(.):20959827-20960587	0.9838
1_MACS_peak_442_lociStitched	chr1(.):20986870-20988925	1.6668
1_MACS_peak_443_lociStitched	chr1(.):21022959-21023840	0.7944
1_MACS_peak_444_lociStitched	chr1(.):21044044-21044329	0.3284
3_MACS_peak_445_lociStitched	chr1(.):21058366-21060236	0.4619
1_MACS_peak_448_lociStitched	chr1(.):21111355-21114818	2.0769
1_MACS_peak_449_lociStitched	chr1(.):21501769-21503865	1.7651
1_MACS_peak_450_lociStitched	chr1(.):21587708-21589470	0.7698
1_MACS_peak_451_lociStitched	chr1(.):21594999-21595338	0.3896
1_MACS_peak_452_lociStitched	chr1(.):21615647-21622658	2.6277
2_MACS_peak_453_lociStitched	chr1(.):21655914-21661912	0.5073
1_MACS_peak_455_lociStitched	chr1(.):21671053-21672995	1.5321
1_MACS_peak_456_lociStitched	chr1(.):21754529-21754918	0.6081
1_MACS_peak_457_lociStitched	chr1(.):21766187-21767717	1.3271
1_MACS_peak_458_lociStitched	chr1(.):21949168-21949519	0.3672
2_MACS_peak_459_lociStitched	chr1(.):22029531-22034867	0.4101
4_MACS_peak_461_lociStitched	chr1(.):22088698-22100155	0.3506
1_MACS_peak_465_lociStitched	chr1(.):22104752-22110972	2.4516
1_MACS_peak_466_lociStitched	chr1(.):22117090-22119747	1.3374
2_MACS_peak_467_lociStitched	chr1(.):22191607-22194640	0.8191
1_MACS_peak_469_lociStitched	chr1(.):22217111-22218150	0.6325
1_MACS_peak_470_lociStitched	chr1(.):22222809-22224110	0.7258
3_MACS_peak_471_lociStitched	chr1(.):22257583-22264702	1.5353
1_MACS_peak_474_lociStitched	chr1(.):22283080-22284315	0.8403
1_MACS_peak_475_lociStitched	chr1(.):22349978-22353571	2.5022
1_MACS_peak_476_lociStitched	chr1(.):22365922-22367290	0.9992
1_MACS_peak_477_lociStitched	chr1(.):22378508-22380709	2.6277
1_MACS_peak_478_lociStitched	chr1(.):22393988-22394703	0.4695
2_MACS_peak_479_lociStitched	chr1(.):22444830-22446247	0.5309
1_MACS_peak_481_lociStitched	chr1(.):22469158-22470153	0.5696
1_MACS_peak_482_lociStitched	chr1(.):22488944-22490354	0.7081
1_MACS_peak_483_lociStitched	chr1(.):22777840-22779547	1.1159
1_MACS_peak_484_lociStitched	chr1(.):22820552-22821584	0.693
1_MACS_peak_485_lociStitched	chr1(.):23345205-23347024	1.6594
1_MACS_peak_486_lociStitched	chr1(.):23493836-23495477	1.5026
1_MACS_peak_487_lociStitched	chr1(.):23543414-23544086	0.4737
1_MACS_peak_488_lociStitched	chr1(.):23668378-23671942	2.4476
1_MACS_peak_489_lociStitched	chr1(.):23693958-23696609	2.2622
1_MACS_peak_490_lociStitched	chr1(.):23728011-23730948	1.1347
1_MACS_peak_491_lociStitched	chr1(.):23809798-23811689	1.43
1_MACS_peak_492_lociStitched	chr1(.):23823686-23824218	0.6983
1_MACS_peak_493_lociStitched	chr1(.):23832699-23833816	0.46
1_MACS_peak_494_lociStitched	chr1(.):23849111-23861209	2.5544
2_MACS_peak_495_lociStitched	chr1(.):23865915-23872190	0.3087
4_MACS_peak_497_lociStitched	chr1(.):23876839-23889117	1.4461
2_MACS_peak_501_lociStitched	chr1(.):23900593-23905179	0.7135
1_MACS_peak_503_lociStitched	chr1(.):23916567-23921823	2.2581
1_MACS_peak_504_lociStitched	chr1(.):23928697-23929324	0.5821
5_MACS_peak_505_lociStitched	chr1(.):23937136-23955979	1.1128
2_MACS_peak_510_lociStitched	chr1(.):23961012-23964255	0.712
1_MACS_peak_512_lociStitched	chr1(.):24017781-24019801	1.4029
1_MACS_peak_513_lociStitched	chr1(.):24045263-24048316	1.2501
4_MACS_peak_514_lociStitched	chr1(.):24054953-24071805	0.7666
1_MACS_peak_518_lociStitched	chr1(.):24077554-24077973	0.4252
1_MACS_peak_519_lociStitched	chr1(.):24084751-24089441	1.0062
1_MACS_peak_520_lociStitched	chr1(.):24104164-24106212	1.4059
1_MACS_peak_521_lociStitched	chr1(.):24116992-24119197	1.3237
1_MACS_peak_522_lociStitched	chr1(.):24125214-24128289	2.2757
2_MACS_peak_523_lociStitched	chr1(.):24136044-24139485	0.4437
1_MACS_peak_525_lociStitched	chr1(.):24151082-24152700	1.9136
1_MACS_peak_526_lociStitched	chr1(.):24175310-24176120	0.4687
2_MACS_peak_527_lociStitched	chr1(.):24194037-24195538	1.1849
1_MACS_peak_529_lociStitched	chr1(.):24237185-24237965	0.4988
3_MACS_peak_530_lociStitched	chr1(.):24242921-24251023	0.4218
2_MACS_peak_533_lociStitched	chr1(.):24284536-24291988	1.5532
2_MACS_peak_535_lociStitched	chr1(.):24303359-24307871	1.5954
1_MACS_peak_537_lociStitched	chr1(.):24397534-24397944	0.4831
1_MACS_peak_538_lociStitched	chr1(.):24438636-24439251	0.705
1_MACS_peak_539_lociStitched	chr1(.):24468462-24470015	1.1541
3_MACS_peak_540_lociStitched	chr1(.):24475718-24482047	1.125
8_MACS_peak_543_lociStitched	chr1(.):24503132-24535055	1.1673
1_MACS_peak_551_lociStitched	chr1(.):24542830-24543453	0.4153
4_MACS_peak_552_lociStitched	chr1(.):24548253-24563290	0.4063
2_MACS_peak_556_lociStitched	chr1(.):24643236-24650396	1.1183
1_MACS_peak_558_lociStitched	chr1(.):24677116-24679680	1.2916
1_MACS_peak_559_lociStitched	chr1(.):24690953-24692692	1.0043
2_MACS_peak_560_lociStitched	chr1(.):24710351-24720921	1.3504
3_MACS_peak_562_lociStitched	chr1(.):24739444-24743193	1.0594
2_MACS_peak_565_lociStitched	chr1(.):24827385-24830346	1.8493
1_MACS_peak_567_lociStitched	chr1(.):24861388-24862261	1.1883
1_MACS_peak_568_lociStitched	chr1(.):24867223-24868679	0.718
1_MACS_peak_569_lociStitched	chr1(.):24881971-24887588	1.5026
1_MACS_peak_570_lociStitched	chr1(.):24894219-24895106	0.7805
2_MACS_peak_571_lociStitched	chr1(.):24910061-24913933	0.6859
1_MACS_peak_573_lociStitched	chr1(.):24960636-24961383	0.572
