GENE_ID	locusLine	bin_1_24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06.bam
2_MACS_peak_106_lociStitched	chr1(.):1224778-1227423	1.1944
2_MACS_peak_108_lociStitched	chr1(.):1286761-1291109	1.9598
3_MACS_peak_110_lociStitched	chr1(.):1292258-1299846	1.7267
3_MACS_peak_113_lociStitched	chr1(.):1356210-1362730	1.321
3_MACS_peak_116_lociStitched	chr1(.):1363513-1374882	1.934
4_MACS_peak_119_lociStitched	chr1(.):1375466-1380440	1.215
2_MACS_peak_123_lociStitched	chr1(.):1380981-1382988	0.9487
3_MACS_peak_125_lociStitched	chr1(.):1383498-1396174	1.6617
2_MACS_peak_128_lociStitched	chr1(.):1421847-1422590	0.8584
1_MACS_peak_130_lociStitched	chr1(.):1459322-1460268	0.9708
1_MACS_peak_131_lociStitched	chr1(.):1462145-1462457	0.6929
1_MACS_peak_132_lociStitched	chr1(.):1512475-1515693	1.6487
1_MACS_peak_133_lociStitched	chr1(.):1516199-1516623	0.7679
2_MACS_peak_134_lociStitched	chr1(.):1517868-1519941	1.1504
8_MACS_peak_136_lociStitched	chr1(.):1520462-1535001	1.3986
1_MACS_peak_144_lociStitched	chr1(.):1535837-1537542	1.3695
2_MACS_peak_145_lociStitched	chr1(.):1538707-1539435	0.9115
1_MACS_peak_147_lociStitched	chr1(.):1565933-1569147	1.924
1_MACS_peak_148_lociStitched	chr1(.):1630959-1632366	1.332
1_MACS_peak_149_lociStitched	chr1(.):1844000-1844294	0.5829
2_MACS_peak_150_lociStitched	chr1(.):1845418-1849428	1.4354
4_MACS_peak_152_lociStitched	chr1(.):1851255-1861875	1.6626
1_MACS_peak_156_lociStitched	chr1(.):1862712-1863027	0.6812
3_MACS_peak_157_lociStitched	chr1(.):1863589-1865562	0.8496
4_MACS_peak_160_lociStitched	chr1(.):1868318-1882287	1.5149
1_MACS_peak_164_lociStitched	chr1(.):1883193-1883723	1.0024
8_MACS_peak_165_lociStitched	chr1(.):1884509-1909975	1.5586
1_MACS_peak_173_lociStitched	chr1(.):1910668-1910992	0.4679
5_MACS_peak_174_lociStitched	chr1(.):1913860-1921478	1.5157
5_MACS_peak_179_lociStitched	chr1(.):1922370-1925086	0.9046
8_MACS_peak_184_lociStitched	chr1(.):1926039-1933559	1.0551
12_MACS_peak_192_lociStitched	chr1(.):1934571-1985687	1.672
5_MACS_peak_204_lociStitched	chr1(.):1986950-1993796	1.1471
1_MACS_peak_209_lociStitched	chr1(.):1994341-1995331	0.9977
1_MACS_peak_210_lociStitched	chr1(.):1996776-1997307	0.7914
4_MACS_peak_211_lociStitched	chr1(.):1998745-2010860	1.3253
3_MACS_peak_215_lociStitched	chr1(.):2012151-2013987	0.8422
3_MACS_peak_218_lociStitched	chr1(.):2014787-2027125	1.4846
6_MACS_peak_221_lociStitched	chr1(.):2027979-2033457	1.004
2_MACS_peak_227_lociStitched	chr1(.):2034016-2040550	1.5128
1_MACS_peak_229_lociStitched	chr1(.):2041147-2043981	1.2624
1_MACS_peak_230_lociStitched	chr1(.):2044842-2045135	0.644
1_MACS_peak_231_lociStitched	chr1(.):2046116-2047637	1.2913
1_MACS_peak_232_lociStitched	chr1(.):2055811-2056208	0.7015
6_MACS_peak_233_lociStitched	chr1(.):2057412-2062636	0.9572
5_MACS_peak_239_lociStitched	chr1(.):2065925-2077384	1.2983
5_MACS_peak_244_lociStitched	chr1(.):2080640-2086468	1.1291
4_MACS_peak_249_lociStitched	chr1(.):2087463-2092190	1.11
8_MACS_peak_253_lociStitched	chr1(.):2094486-2116153	1.5035
1_MACS_peak_261_lociStitched	chr1(.):2118317-2118695	0.736
4_MACS_peak_262_lociStitched	chr1(.):2129251-2136184	1.4519
9_MACS_peak_266_lociStitched	chr1(.):2136724-2158725	1.5527
2_MACS_peak_275_lociStitched	chr1(.):2243678-2246206	1.4023
5_MACS_peak_277_lociStitched	chr1(.):2246734-2293965	2.2624
1_MACS_peak_282_lociStitched	chr1(.):2297858-2298165	0.6427
2_MACS_peak_283_lociStitched	chr1(.):2299485-2300678	1.3086
2_MACS_peak_285_lociStitched	chr1(.):2301514-2316855	2.0642
12_MACS_peak_287_lociStitched	chr1(.):2346631-2411265	1.9355
1_MACS_peak_299_lociStitched	chr1(.):2412387-2412898	0.803
7_MACS_peak_300_lociStitched	chr1(.):2413571-2430122	1.6825
3_MACS_peak_307_lociStitched	chr1(.):2430698-2436702	1.4407
1_MACS_peak_310_lociStitched	chr1(.):2437434-2437678	0.5609
4_MACS_peak_311_lociStitched	chr1(.):2458174-2472090	2.1053
1_MACS_peak_315_lociStitched	chr1(.):2472901-2473768	1.0926
2_MACS_peak_316_lociStitched	chr1(.):2483955-2485276	0.8568
2_MACS_peak_318_lociStitched	chr1(.):2497206-2502766	1.6601
3_MACS_peak_320_lociStitched	chr1(.):2503913-2508730	1.3569
1_MACS_peak_323_lociStitched	chr1(.):2509516-2509916	1.1897
1_MACS_peak_324_lociStitched	chr1(.):2510732-2511450	0.8243
2_MACS_peak_325_lociStitched	chr1(.):2511980-2514954	1.1402
1_MACS_peak_327_lociStitched	chr1(.):2518570-2519033	0.9685
6_MACS_peak_328_lociStitched	chr1(.):2519917-2530181	1.681
6_MACS_peak_334_lociStitched	chr1(.):2531423-2544472	1.4846
1_MACS_peak_340_lociStitched	chr1(.):2551749-2552110	0.9933
5_MACS_peak_341_lociStitched	chr1(.):2552944-2557775	1.0563
3_MACS_peak_346_lociStitched	chr1(.):2559075-2566066	1.2217
3_MACS_peak_349_lociStitched	chr1(.):2566679-2568360	0.7644
3_MACS_peak_352_lociStitched	chr1(.):2569975-2571342	0.9085
3_MACS_peak_355_lociStitched	chr1(.):2574878-2577600	1.1746
1_MACS_peak_358_lociStitched	chr1(.):2579880-2580356	0.9794
2_MACS_peak_374_lociStitched	chr1(.):2685547-2691904	1.7994
1_MACS_peak_376_lociStitched	chr1(.):2693280-2693850	0.7716
3_MACS_peak_377_lociStitched	chr1(.):2700662-2704308	1.1094
2_MACS_peak_380_lociStitched	chr1(.):2705158-2706221	0.9693
1_MACS_peak_382_lociStitched	chr1(.):2707070-2707529	0.8359
1_MACS_peak_383_lociStitched	chr1(.):2713077-2713368	0.4993
7_MACS_peak_384_lociStitched	chr1(.):2715478-2735231	1.5099
4_MACS_peak_391_lociStitched	chr1(.):2736069-2741323	1.0613
1_MACS_peak_395_lociStitched	chr1(.):2741891-2742634	1.0599
2_MACS_peak_396_lociStitched	chr1(.):2743697-2745009	0.7906
4_MACS_peak_398_lociStitched	chr1(.):2747441-2754636	1.324
5_MACS_peak_402_lociStitched	chr1(.):2755581-2758017	0.984
1_MACS_peak_407_lociStitched	chr1(.):2760033-2760316	0.4869
3_MACS_peak_408_lociStitched	chr1(.):2761799-2767839	1.3045
2_MACS_peak_411_lociStitched	chr1(.):2770235-2775433	1.4897
7_MACS_peak_413_lociStitched	chr1(.):2776179-2788897	1.3277
2_MACS_peak_420_lociStitched	chr1(.):2789730-2802967	1.7061
4_MACS_peak_422_lociStitched	chr1(.):2805385-2810753	1.3429
2_MACS_peak_426_lociStitched	chr1(.):2811642-2812777	0.8721
4_MACS_peak_428_lociStitched	chr1(.):2815341-2826057	1.2726
13_MACS_peak_432_lociStitched	chr1(.):2826666-2853755	1.3721
1_MACS_peak_445_lociStitched	chr1(.):2858951-2859858	0.838
1_MACS_peak_446_lociStitched	chr1(.):2860736-2861090	0.9049
5_MACS_peak_447_lociStitched	chr1(.):2862584-2869768	1.3538
1_MACS_peak_452_lociStitched	chr1(.):2877813-2878720	0.831
4_MACS_peak_453_lociStitched	chr1(.):2883929-2890066	1.1494
1_MACS_peak_457_lociStitched	chr1(.):2890992-2891432	0.5798
2_MACS_peak_458_lociStitched	chr1(.):2896395-2901941	1.4557
4_MACS_peak_460_lociStitched	chr1(.):2903637-2905817	0.9494
1_MACS_peak_464_lociStitched	chr1(.):2907083-2907592	0.8957
2_MACS_peak_465_lociStitched	chr1(.):2916229-2918008	1.0308
2_MACS_peak_467_lociStitched	chr1(.):2918581-2922129	1.1395
1_MACS_peak_469_lociStitched	chr1(.):2927128-2932786	1.6009
3_MACS_peak_470_lociStitched	chr1(.):2933297-2941155	1.5385
2_MACS_peak_473_lociStitched	chr1(.):2944309-2950462	1.6562
1_MACS_peak_475_lociStitched	chr1(.):2951688-2951944	0.6583
2_MACS_peak_476_lociStitched	chr1(.):2952695-2955721	1.1026
1_MACS_peak_478_lociStitched	chr1(.):2957177-2957521	0.8482
1_MACS_peak_479_lociStitched	chr1(.):2959002-2959302	0.6993
1_MACS_peak_480_lociStitched	chr1(.):2960661-2961254	0.9639
3_MACS_peak_481_lociStitched	chr1(.):2969982-2971615	1.0246
1_MACS_peak_484_lociStitched	chr1(.):2972906-2973179	0.9684
2_MACS_peak_485_lociStitched	chr1(.):2974596-2975811	0.9503
6_MACS_peak_487_lociStitched	chr1(.):2977405-2985587	1.2464
6_MACS_peak_493_lociStitched	chr1(.):2986224-3004735	1.5666
7_MACS_peak_499_lociStitched	chr1(.):3005368-3025386	1.4487
3_MACS_peak_506_lociStitched	chr1(.):3026068-3029929	1.1006
1_MACS_peak_509_lociStitched	chr1(.):3030864-3031361	0.75
3_MACS_peak_510_lociStitched	chr1(.):3031959-3047288	1.6
2_MACS_peak_513_lociStitched	chr1(.):3048164-3062979	1.7655
3_MACS_peak_515_lociStitched	chr1(.):3063788-3066787	1.1309
4_MACS_peak_518_lociStitched	chr1(.):3067435-3074840	1.3931
2_MACS_peak_522_lociStitched	chr1(.):3075357-3084182	1.445
3_MACS_peak_524_lociStitched	chr1(.):3085065-3092870	1.539
4_MACS_peak_527_lociStitched	chr1(.):3093994-3096428	0.9384
15_MACS_peak_531_lociStitched	chr1(.):3099376-3167709	1.5703
1_MACS_peak_546_lociStitched	chr1(.):3168441-3169752	1.047
1_MACS_peak_547_lociStitched	chr1(.):3171829-3172578	1.156
1_MACS_peak_548_lociStitched	chr1(.):3173495-3173969	0.9976
3_MACS_peak_549_lociStitched	chr1(.):3174546-3176424	1.0711
6_MACS_peak_552_lociStitched	chr1(.):3178315-3190065	1.3918
4_MACS_peak_558_lociStitched	chr1(.):3190732-3217374	1.6878
1_MACS_peak_562_lociStitched	chr1(.):3218114-3219184	1.0019
7_MACS_peak_563_lociStitched	chr1(.):3220038-3231519	1.4352
2_MACS_peak_570_lociStitched	chr1(.):3232276-3234613	1.1832
5_MACS_peak_572_lociStitched	chr1(.):3238692-3252015	1.3502
6_MACS_peak_577_lociStitched	chr1(.):3254758-3259423	0.9328
3_MACS_peak_583_lociStitched	chr1(.):3262380-3267810	1.2843
3_MACS_peak_586_lociStitched	chr1(.):3268519-3286664	1.6994
1_MACS_peak_589_lociStitched	chr1(.):3288388-3293317	1.449
1_MACS_peak_590_lociStitched	chr1(.):3294453-3295550	1.0495
8_MACS_peak_591_lociStitched	chr1(.):3296865-3326001	1.5647
8_MACS_peak_599_lociStitched	chr1(.):3326898-3354240	1.605
4_MACS_peak_607_lociStitched	chr1(.):3354977-3361633	1.3778
6_MACS_peak_611_lociStitched	chr1(.):3366164-3391215	1.7767
1_MACS_peak_617_lociStitched	chr1(.):3391810-3392477	0.68
7_MACS_peak_618_lociStitched	chr1(.):3393877-3403413	1.3594
2_MACS_peak_625_lociStitched	chr1(.):3403997-3407768	1.7847
4_MACS_peak_627_lociStitched	chr1(.):3408394-3488285	2.1849
4_MACS_peak_631_lociStitched	chr1(.):3489519-3499765	1.601
3_MACS_peak_635_lociStitched	chr1(.):3500315-3501695	0.8926
2_MACS_peak_638_lociStitched	chr1(.):3502430-3504392	1.2188
4_MACS_peak_640_lociStitched	chr1(.):3505044-3536035	2.1907
1_MACS_peak_644_lociStitched	chr1(.):3536790-3537218	0.7905
1_MACS_peak_645_lociStitched	chr1(.):3567785-3568460	1.2282
1_MACS_peak_646_lociStitched	chr1(.):3663539-3664040	0.687
4_MACS_peak_647_lociStitched	chr1(.):3665841-3673881	1.4557
5_MACS_peak_651_lociStitched	chr1(.):3674971-3688751	1.8403
1_MACS_peak_656_lociStitched	chr1(.):3689550-3690225	1.1175
1_MACS_peak_657_lociStitched	chr1(.):3716329-3717475	1.2612
1_MACS_peak_658_lociStitched	chr1(.):3720733-3721066	0.6561
1_MACS_peak_659_lociStitched	chr1(.):3834332-3834841	1.1273
1_MACS_peak_660_lociStitched	chr1(.):3836051-3836381	0.6498
1_MACS_peak_661_lociStitched	chr1(.):3839973-3843071	1.2568
1_MACS_peak_662_lociStitched	chr1(.):3995687-3996042	0.9095
1_MACS_peak_663_lociStitched	chr1(.):3997872-3998246	0.8661
5_MACS_peak_664_lociStitched	chr1(.):3999225-4009211	1.292
1_MACS_peak_669_lociStitched	chr1(.):4011416-4011804	0.7868
2_MACS_peak_670_lociStitched	chr1(.):4012824-4016056	1.2024
2_MACS_peak_672_lociStitched	chr1(.):4016569-4017455	0.9996
1_MACS_peak_674_lociStitched	chr1(.):4018018-4018530	0.8383
2_MACS_peak_675_lociStitched	chr1(.):4019240-4020714	0.8708
1_MACS_peak_677_lociStitched	chr1(.):4022714-4023098	0.6685
5_MACS_peak_678_lociStitched	chr1(.):4035152-4040735	1.0212
2_MACS_peak_683_lociStitched	chr1(.):4041494-4043963	1.1752
2_MACS_peak_685_lociStitched	chr1(.):4044562-4045526	0.8768
1_MACS_peak_687_lociStitched	chr1(.):4046550-4047294	0.9515
1_MACS_peak_688_lociStitched	chr1(.):4047981-4048279	0.6036
1_MACS_peak_689_lociStitched	chr1(.):4054210-4056055	1.0676
1_MACS_peak_690_lociStitched	chr1(.):4056728-4056991	0.6305
3_MACS_peak_691_lociStitched	chr1(.):4059267-4062794	1.5843
1_MACS_peak_694_lociStitched	chr1(.):4070866-4071424	0.6765
4_MACS_peak_695_lociStitched	chr1(.):4078916-4081994	0.9
2_MACS_peak_699_lociStitched	chr1(.):4082499-4083311	0.7727
1_MACS_peak_701_lociStitched	chr1(.):4092546-4092816	0.5846
1_MACS_peak_702_lociStitched	chr1(.):4093380-4093776	0.8665
1_MACS_peak_703_lociStitched	chr1(.):4109090-4109450	0.7036
2_MACS_peak_704_lociStitched	chr1(.):4110762-4111875	0.8763
1_MACS_peak_706_lociStitched	chr1(.):4112987-4113235	0.5029
7_MACS_peak_707_lociStitched	chr1(.):4114107-4123230	0.9918
2_MACS_peak_714_lociStitched	chr1(.):4132805-4134247	0.9125
1_MACS_peak_716_lociStitched	chr1(.):4135429-4135890	1.0573
1_MACS_peak_717_lociStitched	chr1(.):4137178-4137661	0.7954
1_MACS_peak_718_lociStitched	chr1(.):4141833-4142099	0.7026
1_MACS_peak_719_lociStitched	chr1(.):4144887-4145368	0.8729
1_MACS_peak_720_lociStitched	chr1(.):4146872-4147363	0.7787
2_MACS_peak_721_lociStitched	chr1(.):4148030-4149249	1.0382
1_MACS_peak_723_lociStitched	chr1(.):4149754-4150165	0.9073
1_MACS_peak_724_lociStitched	chr1(.):4151073-4151610	0.8965
1_MACS_peak_725_lociStitched	chr1(.):4154404-4154739	0.4786
1_MACS_peak_726_lociStitched	chr1(.):4155443-4155839	0.6013
2_MACS_peak_727_lociStitched	chr1(.):4166767-4170729	1.4592
1_MACS_peak_729_lociStitched	chr1(.):4171784-4172070	0.7549
1_MACS_peak_730_lociStitched	chr1(.):4176365-4176896	0.8385
3_MACS_peak_731_lociStitched	chr1(.):4177662-4182019	1.16
2_MACS_peak_734_lociStitched	chr1(.):4182701-4183465	0.8488
2_MACS_peak_736_lociStitched	chr1(.):4184008-4184990	0.7253
2_MACS_peak_738_lociStitched	chr1(.):4187043-4189595	1.103
1_MACS_peak_740_lociStitched	chr1(.):4190247-4190605	1.0534
1_MACS_peak_741_lociStitched	chr1(.):4191264-4194366	1.4006
4_MACS_peak_742_lociStitched	chr1(.):4197620-4199619	0.7851
2_MACS_peak_746_lociStitched	chr1(.):4200124-4201543	1.0512
4_MACS_peak_748_lociStitched	chr1(.):4207943-4210358	0.9418
1_MACS_peak_752_lociStitched	chr1(.):4212033-4213364	1.0818
5_MACS_peak_753_lociStitched	chr1(.):4217443-4221691	1.0639
5_MACS_peak_758_lociStitched	chr1(.):4222948-4225607	0.9618
2_MACS_peak_763_lociStitched	chr1(.):4226527-4228042	1.0535
1_MACS_peak_765_lociStitched	chr1(.):4230209-4231835	1.0837
3_MACS_peak_766_lociStitched	chr1(.):4232530-4234320	0.8331
1_MACS_peak_769_lociStitched	chr1(.):4238748-4239033	0.7751
1_MACS_peak_770_lociStitched	chr1(.):4243497-4243824	0.589
1_MACS_peak_771_lociStitched	chr1(.):4246646-4246957	0.5366
1_MACS_peak_772_lociStitched	chr1(.):4268318-4268577	0.5456
1_MACS_peak_773_lociStitched	chr1(.):4271593-4271978	0.8
2_MACS_peak_774_lociStitched	chr1(.):4272541-4273609	0.6396
2_MACS_peak_776_lociStitched	chr1(.):4274698-4276563	0.9958
1_MACS_peak_778_lociStitched	chr1(.):4277335-4278204	0.8706
1_MACS_peak_779_lociStitched	chr1(.):4279182-4279474	0.7084
1_MACS_peak_780_lociStitched	chr1(.):4280109-4280618	0.7516
1_MACS_peak_781_lociStitched	chr1(.):4281646-4281961	0.8178
1_MACS_peak_782_lociStitched	chr1(.):4282535-4282814	0.7757
1_MACS_peak_783_lociStitched	chr1(.):4285110-4285715	0.994
1_MACS_peak_784_lociStitched	chr1(.):4288478-4289088	0.7482
1_MACS_peak_785_lociStitched	chr1(.):4290179-4290576	0.8738
1_MACS_peak_786_lociStitched	chr1(.):4328778-4329073	0.4388
1_MACS_peak_787_lociStitched	chr1(.):4330347-4330573	0.5414
1_MACS_peak_788_lociStitched	chr1(.):4331109-4331366	0.7881
1_MACS_peak_789_lociStitched	chr1(.):4369954-4370737	0.9034
1_MACS_peak_790_lociStitched	chr1(.):4371570-4372084	0.9208
1_MACS_peak_791_lociStitched	chr1(.):4384159-4384532	0.7538
2_MACS_peak_792_lociStitched	chr1(.):4389947-4391352	0.8422
1_MACS_peak_794_lociStitched	chr1(.):4411602-4411819	0.629
2_MACS_peak_795_lociStitched	chr1(.):4412877-4414521	1.0784
1_MACS_peak_797_lociStitched	chr1(.):4417255-4417863	1.2015
1_MACS_peak_798_lociStitched	chr1(.):4418371-4418648	0.7364
1_MACS_peak_799_lociStitched	chr1(.):4419230-4419615	0.6813
1_MACS_peak_800_lociStitched	chr1(.):4427161-4427562	0.7343
1_MACS_peak_801_lociStitched	chr1(.):4460530-4460935	0.9641
1_MACS_peak_802_lociStitched	chr1(.):4467529-4468412	1.0724
2_MACS_peak_803_lociStitched	chr1(.):4484308-4485330	0.7609
1_MACS_peak_805_lociStitched	chr1(.):4494613-4495030	0.7074
2_MACS_peak_806_lociStitched	chr1(.):4519917-4521465	0.972
1_MACS_peak_808_lociStitched	chr1(.):4543802-4544195	0.6817
2_MACS_peak_809_lociStitched	chr1(.):4546154-4547507	0.8343
1_MACS_peak_811_lociStitched	chr1(.):4563133-4563398	0.6555
1_MACS_peak_812_lociStitched	chr1(.):4569602-4570002	0.7984
1_MACS_peak_813_lociStitched	chr1(.):4571215-4571487	0.7739
1_MACS_peak_814_lociStitched	chr1(.):4572107-4572384	0.6404
3_MACS_peak_815_lociStitched	chr1(.):4575778-4578221	0.9653
1_MACS_peak_818_lociStitched	chr1(.):4587772-4588078	0.642
2_MACS_peak_819_lociStitched	chr1(.):4588677-4589670	0.8053
1_MACS_peak_821_lociStitched	chr1(.):4621989-4622345	0.67
1_MACS_peak_822_lociStitched	chr1(.):4645782-4646068	0.5742
2_MACS_peak_823_lociStitched	chr1(.):4651949-4653090	1.0176
2_MACS_peak_825_lociStitched	chr1(.):4654042-4654656	0.7447
1_MACS_peak_827_lociStitched	chr1(.):4656287-4656551	0.7344
1_MACS_peak_828_lociStitched	chr1(.):4658627-4659031	1.0283
2_MACS_peak_829_lociStitched	chr1(.):4659648-4661541	0.9807
7_MACS_peak_831_lociStitched	chr1(.):4671580-4675801	0.9651
1_MACS_peak_838_lociStitched	chr1(.):4677397-4677722	1.0413
1_MACS_peak_839_lociStitched	chr1(.):4682855-4683195	0.7343
4_MACS_peak_840_lociStitched	chr1(.):4685664-4688677	0.9392
1_MACS_peak_844_lociStitched	chr1(.):4692058-4692358	0.7305
4_MACS_peak_845_lociStitched	chr1(.):4693984-4699227	1.131
3_MACS_peak_849_lociStitched	chr1(.):4712924-4714428	1.0805
1_MACS_peak_852_lociStitched	chr1(.):4716002-4717203	1.1395
1_MACS_peak_853_lociStitched	chr1(.):4718191-4718647	0.8876
1_MACS_peak_854_lociStitched	chr1(.):4719875-4720153	0.635
1_MACS_peak_855_lociStitched	chr1(.):4722616-4723120	0.8133
1_MACS_peak_856_lociStitched	chr1(.):4725212-4725675	0.8137
2_MACS_peak_857_lociStitched	chr1(.):4726371-4727991	1.0569
2_MACS_peak_859_lociStitched	chr1(.):4734969-4736097	0.9619
1_MACS_peak_861_lociStitched	chr1(.):4736767-4737247	0.6901
1_MACS_peak_862_lociStitched	chr1(.):4747344-4747839	0.6781
4_MACS_peak_863_lociStitched	chr1(.):4749670-4752278	0.9453
1_MACS_peak_867_lociStitched	chr1(.):4766377-4766648	0.7259
1_MACS_peak_868_lociStitched	chr1(.):4768088-4768436	0.6374
4_MACS_peak_869_lociStitched	chr1(.):4770970-4774193	1.0617
1_MACS_peak_873_lociStitched	chr1(.):4774920-4775180	0.521
1_MACS_peak_874_lociStitched	chr1(.):4780960-4781300	0.7082
2_MACS_peak_875_lociStitched	chr1(.):4782879-4783826	0.7478
1_MACS_peak_877_lociStitched	chr1(.):4785254-4785532	0.9149
3_MACS_peak_878_lociStitched	chr1(.):4786385-4788614	0.8073
1_MACS_peak_881_lociStitched	chr1(.):4789145-4790321	1.1376
3_MACS_peak_882_lociStitched	chr1(.):4791164-4792806	1.0365
2_MACS_peak_885_lociStitched	chr1(.):4793538-4796421	1.0679
1_MACS_peak_887_lociStitched	chr1(.):4797008-4797394	0.5998
1_MACS_peak_888_lociStitched	chr1(.):4798587-4798871	0.6007
2_MACS_peak_889_lociStitched	chr1(.):4806465-4807515	0.9561
2_MACS_peak_891_lociStitched	chr1(.):4819049-4819676	0.8117
1_MACS_peak_893_lociStitched	chr1(.):4820362-4820634	0.8219
1_MACS_peak_894_lociStitched	chr1(.):4829435-4829888	0.9402
1_MACS_peak_895_lociStitched	chr1(.):4830906-4831286	1.0396
1_MACS_peak_896_lociStitched	chr1(.):4832438-4832755	0.9603
3_MACS_peak_897_lociStitched	chr1(.):4834147-4837605	1.024
2_MACS_peak_900_lociStitched	chr1(.):4838303-4839224	0.8723
1_MACS_peak_902_lociStitched	chr1(.):4841374-4841645	0.715
1_MACS_peak_903_lociStitched	chr1(.):4844092-4844535	0.8513
1_MACS_peak_904_lociStitched	chr1(.):4926075-4926306	0.4598
1_MACS_peak_905_lociStitched	chr1(.):4993407-4993672	0.6667
2_MACS_peak_906_lociStitched	chr1(.):5023015-5023870	0.7887
2_MACS_peak_908_lociStitched	chr1(.):5036789-5037652	0.7534
2_MACS_peak_910_lociStitched	chr1(.):5045695-5046594	0.7982
1_MACS_peak_912_lociStitched	chr1(.):5104905-5105179	0.5324
1_MACS_peak_913_lociStitched	chr1(.):5107215-5107494	0.5087
1_MACS_peak_914_lociStitched	chr1(.):5175232-5175523	0.4451
1_MACS_peak_915_lociStitched	chr1(.):5222181-5222545	0.7977
1_MACS_peak_916_lociStitched	chr1(.):5284918-5285272	0.5834
2_MACS_peak_917_lociStitched	chr1(.):5286242-5287096	0.7207
1_MACS_peak_919_lociStitched	chr1(.):5327200-5327740	0.8124
1_MACS_peak_920_lociStitched	chr1(.):5329139-5329514	1.0034
3_MACS_peak_921_lociStitched	chr1(.):5334630-5335980	0.8987
1_MACS_peak_924_lociStitched	chr1(.):5337122-5337685	0.8932
1_MACS_peak_925_lociStitched	chr1(.):5354858-5355180	0.5748
1_MACS_peak_926_lociStitched	chr1(.):5356024-5356517	1.0755
2_MACS_peak_927_lociStitched	chr1(.):5368274-5369526	0.9956
2_MACS_peak_929_lociStitched	chr1(.):5370683-5371746	0.9098
2_MACS_peak_931_lociStitched	chr1(.):5372252-5373384	0.8936
1_MACS_peak_933_lociStitched	chr1(.):5439835-5440075	0.4968
1_MACS_peak_934_lociStitched	chr1(.):5442737-5443254	0.8233
1_MACS_peak_935_lociStitched	chr1(.):5445003-5445528	0.8073
