GENE_ID	locusLine	bin_1_07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam
NM_022455	chr5(.):176555832-176732214	0.1939
NM_172349	chr5(.):176555079-176732214	0.1941
NM_002406	chr5(.):180212540-180235048	0.8867
NM_001114619	chr5(.):180212540-180235902	0.8849
NM_001114618	chr5(.):180212540-180241817	1.1455
NM_001114617	chr5(.):180212540-180242137	1.1354
NM_001193376	chr5(.):1248286-1300162	0.0771
NM_030782	chr5(.):1312999-1350002	2.5849
NM_001145161	chr5(.):6443735-6501834	1.4438
NM_006713	chr5(.):32580604-32609185	1.4242
NR_034127	chr5(.):43060288-43072073	1.1173
NM_001014279	chr5(.):43034181-43045447	1.3169
NR_034085	chr5(.):43011149-43023913	0.6287
NR_015447	chr5(.):43037235-43050370	1.1275
NR_034086	chr5(.):43009830-43023913	0.7445
NR_036243	chr5(.):86405695-86415771	1.0129
NR_024384	chr5(.):87955262-87974146	2.0091
NR_024383	chr5(.):87955262-87979262	1.6226
NR_030741	chr5(.):87957670-87967757	0.4731
NM_020801	chr5(.):90659540-90684149	0.9971
NM_005668	chr5(.):100137638-100243987	0.478
NM_175052	chr5(.):100216014-100243970	1.2477
NR_033175	chr5(.):109213882-109226200	0.0898
NM_005669	chr5(.):112207080-112263031	0.3548
NM_014350	chr5(.):118686595-118735294	0.1979
NM_000588	chr5(.):131391346-131403896	0.1756
NM_000758	chr5(.):131404484-131416859	0.2073
NR_037500	chr5(.):131696181-131706291	0.2905
NM_002198	chr5(.):131812300-131831465	0.7783
NM_001013717	chr5(.):131741672-131803059	2.2882
NM_005732	chr5(.):131887615-131985313	0.1427
NM_000879	chr5(.):131872135-131884214	0.0843
NM_016480	chr5(.):138672518-138710409	0.1114
NM_194296	chr5(.):138727455-138744776	0.6862
NM_152686	chr5(.):138740891-138780214	0.4103
NM_152685	chr5(.):138697884-138724039	0.3018
NM_001033112	chr5(.):138673133-138710409	0.1129
NM_001161546	chr5(.):138722634-138735885	1.9927
NM_016459	chr5(.):138718256-138730605	2.3546
NM_000024	chr5(.):148201155-148213197	1.4821
NM_006058	chr5(.):150404505-150465997	0.3099
NM_001155	chr5(.):150475266-150542443	0.5636
NM_001193544	chr5(.):150475266-150526216	0.4701
NR_002168	chr5(.):156272548-156284539	0.0695
NR_028472	chr5(.):156346099-156357013	1.0129
NM_004219	chr5(.):159843864-159860746	0.331
NM_006425	chr5(.):159823647-159851168	0.3755
NR_036095	chr5(.):159896408-159906490	0.51
NR_029701	chr5(.):159907358-159917457	0.1068
NM_001171183	chr5(.):171616175-171635458	0.0635
NM_030627	chr5(.):173310330-173392313	0.6342
NM_022304	chr5(.):175103463-175116558	0.0647
NM_001031677	chr5(.):176723198-176735744	1.2452
NM_006480	chr5(.):176779843-176804599	0.314
NM_006816	chr5(.):176753562-176783885	0.2034
NM_031300	chr5(.):176729205-176744292	1.1783
NM_001142935	chr5(.):176727500-176744292	1.3828
NM_013237	chr5(.):176725834-176738950	1.3206
NR_027183	chr5(.):180251958-180267726	1.0277
NM_152283	chr5(.):180269610-180293286	0.3201
NM_181356	chr6(.):44791469-45350670	0.0885
NM_003599	chr6(.):44792449-45350575	0.0885
NM_012288	chr6(.):52357199-52446862	1.3646
NM_033515	chr6(.):129893239-130036370	0.353
NM_001195286	chr6(.):386738-416443	0.7981
NM_000904	chr6(.):2995066-3024994	0.3134
NM_001168344	chr6(.):7102829-7257213	0.3247
NM_001003699	chr6(.):7103085-7257213	0.3252
NM_001718	chr6(.):7722010-7886961	0.1449
NR_037616	chr6(.):7876482-8069647	1.322
NM_001173977	chr6(.):25274655-25625758	0.5398
NM_014641	chr6(.):30662583-30690458	0.7654
NM_172166	chr6(.):31702724-31735455	0.9003
NM_004348	chr6(.):45384913-45523819	0.418
NM_001024630	chr6(.):45291053-45523819	0.3044
NM_016021	chr6(.):90031343-90067619	1.36
NM_001455	chr6(.):108877068-109010971	1.2178
NM_201559	chr6(.):108876025-109010971	1.2098
NM_032131	chr6(.):109164618-109300352	0.7285
NM_173674	chr6(.):117798819-117896020	0.4513
