GENE_ID	locusLine	bin_1_OPM-2.jin.bam
1_MACS_peak_72_lociStitched	chr1(.):3159563-3159935	0.8408
1_MACS_peak_73_lociStitched	chr1(.):3427112-3427452	0.6805
1_MACS_peak_74_lociStitched	chr1(.):3433256-3433720	0.9274
1_MACS_peak_75_lociStitched	chr1(.):3541003-3541325	0.7909
1_MACS_peak_76_lociStitched	chr1(.):3712207-3713157	1.0365
1_MACS_peak_77_lociStitched	chr1(.):3816231-3818067	4.1422
2_MACS_peak_78_lociStitched	chr1(.):4327113-4328525	1.1433
1_MACS_peak_80_lociStitched	chr1(.):4542415-4542933	0.7722
2_MACS_peak_81_lociStitched	chr1(.):4623405-4625001	1.7796
2_MACS_peak_83_lociStitched	chr1(.):4660228-4666002	2.5875
1_MACS_peak_85_lociStitched	chr1(.):4712782-4713527	1.6418
2_MACS_peak_86_lociStitched	chr1(.):4714784-4717093	2.3542
1_MACS_peak_88_lociStitched	chr1(.):4721191-4721631	0.9194
1_MACS_peak_89_lociStitched	chr1(.):4734871-4737665	2.7008
2_MACS_peak_90_lociStitched	chr1(.):4855816-4857232	1.0233
1_MACS_peak_92_lociStitched	chr1(.):4997504-4999207	1.4608
2_MACS_peak_93_lociStitched	chr1(.):5278644-5283752	2.6937
2_MACS_peak_95_lociStitched	chr1(.):5707967-5709310	1.0375
2_MACS_peak_97_lociStitched	chr1(.):6051458-6054231	2.9688
1_MACS_peak_99_lociStitched	chr1(.):6061885-6062538	1.0175
1_MACS_peak_100_lociStitched	chr1(.):6068574-6071622	3.4496
2_MACS_peak_101_lociStitched	chr1(.):6084182-6085795	1.6701
2_MACS_peak_103_lociStitched	chr1(.):6258811-6260372	2.9229
2_MACS_peak_105_lociStitched	chr1(.):6294800-6296653	1.3345
2_MACS_peak_107_lociStitched	chr1(.):6453084-6454645	1.8502
1_MACS_peak_109_lociStitched	chr1(.):6613926-6614650	1.6298
1_MACS_peak_110_lociStitched	chr1(.):6639609-6640809	2.0204
2_MACS_peak_111_lociStitched	chr1(.):6660668-6663069	1.3185
2_MACS_peak_113_lociStitched	chr1(.):6673144-6674486	1.2037
1_MACS_peak_115_lociStitched	chr1(.):6685457-6686036	1.2062
1_MACS_peak_116_lociStitched	chr1(.):6734467-6734803	0.7356
2_MACS_peak_117_lociStitched	chr1(.):6761145-6762531	2.7712
2_MACS_peak_119_lociStitched	chr1(.):6803079-6806283	1.6099
4_MACS_peak_121_lociStitched	chr1(.):6843798-6846472	3.005
1_MACS_peak_125_lociStitched	chr1(.):6882652-6883475	1.5143
1_MACS_peak_126_lociStitched	chr1(.):6892150-6892483	1.003
1_MACS_peak_127_lociStitched	chr1(.):6901827-6902683	1.2031
2_MACS_peak_128_lociStitched	chr1(.):6976957-6984472	3.277
2_MACS_peak_130_lociStitched	chr1(.):7308233-7309466	1.0143
2_MACS_peak_132_lociStitched	chr1(.):7324959-7327205	1.5028
2_MACS_peak_134_lociStitched	chr1(.):7466127-7468049	1.4342
1_MACS_peak_136_lociStitched	chr1(.):7609049-7609475	0.6957
1_MACS_peak_137_lociStitched	chr1(.):7681646-7681961	0.739
1_MACS_peak_138_lociStitched	chr1(.):7831233-7832057	1.5981
2_MACS_peak_139_lociStitched	chr1(.):7889193-7890363	1.0249
1_MACS_peak_141_lociStitched	chr1(.):7902157-7902728	1.0933
1_MACS_peak_142_lociStitched	chr1(.):8021110-8022354	1.6261
1_MACS_peak_143_lociStitched	chr1(.):8662743-8665146	1.7455
1_MACS_peak_144_lociStitched	chr1(.):8686233-8686909	0.7893
2_MACS_peak_145_lociStitched	chr1(.):8711869-8713478	1.0279
1_MACS_peak_147_lociStitched	chr1(.):8725935-8726774	1.6531
1_MACS_peak_148_lociStitched	chr1(.):8727354-8727836	1.0314
1_MACS_peak_149_lociStitched	chr1(.):8760972-8763499	1.6886
2_MACS_peak_150_lociStitched	chr1(.):8876805-8878431	2.3197
2_MACS_peak_152_lociStitched	chr1(.):8916840-8919727	1.4658
2_MACS_peak_154_lociStitched	chr1(.):8933033-8934485	1.0385
1_MACS_peak_156_lociStitched	chr1(.):8936859-8939809	4.4058
3_MACS_peak_157_lociStitched	chr1(.):9137629-9141516	1.5628
1_MACS_peak_160_lociStitched	chr1(.):9173372-9173689	0.6725
1_MACS_peak_161_lociStitched	chr1(.):9189406-9189804	0.7052
1_MACS_peak_162_lociStitched	chr1(.):9222083-9225004	3.1317
1_MACS_peak_163_lociStitched	chr1(.):9294796-9295653	1.9847
2_MACS_peak_164_lociStitched	chr1(.):9335076-9336437	1.3918
1_MACS_peak_166_lociStitched	chr1(.):9375183-9376572	1.3201
2_MACS_peak_167_lociStitched	chr1(.):9473298-9474177	1.341
1_MACS_peak_169_lociStitched	chr1(.):9485822-9486370	0.8306
1_MACS_peak_170_lociStitched	chr1(.):9488511-9489582	1.2604
1_MACS_peak_171_lociStitched	chr1(.):9599401-9600478	1.8362
2_MACS_peak_172_lociStitched	chr1(.):9648882-9649759	0.9202
1_MACS_peak_174_lociStitched	chr1(.):9818882-9820903	2.0356
1_MACS_peak_175_lociStitched	chr1(.):9847916-9848422	1.2157
1_MACS_peak_176_lociStitched	chr1(.):9883184-9883748	0.8707
1_MACS_peak_177_lociStitched	chr1(.):9969687-9970117	1.1871
1_MACS_peak_178_lociStitched	chr1(.):9970648-9971377	1.458
1_MACS_peak_179_lociStitched	chr1(.):10002684-10004109	1.3584
1_MACS_peak_180_lociStitched	chr1(.):10092930-10093977	2.8981
2_MACS_peak_181_lociStitched	chr1(.):10269899-10271434	1.1169
1_MACS_peak_183_lociStitched	chr1(.):10459017-10459994	2.0285
1_MACS_peak_184_lociStitched	chr1(.):10490310-10491409	2.9375
1_MACS_peak_185_lociStitched	chr1(.):10532093-10532612	1.1541
1_MACS_peak_186_lociStitched	chr1(.):10534939-10535408	1.2318
4_MACS_peak_187_lociStitched	chr1(.):10803078-10806215	1.1425
1_MACS_peak_191_lociStitched	chr1(.):10809835-10810240	0.8955
2_MACS_peak_192_lociStitched	chr1(.):10999196-11001284	1.7654
1_MACS_peak_194_lociStitched	chr1(.):11072245-11073645	5.0415
3_MACS_peak_195_lociStitched	chr1(.):11118752-11122124	1.6824
1_MACS_peak_198_lociStitched	chr1(.):11159194-11159949	3.4582
1_MACS_peak_199_lociStitched	chr1(.):11287047-11287413	0.8497
1_MACS_peak_200_lociStitched	chr1(.):11321997-11322726	1.9633
1_MACS_peak_201_lociStitched	chr1(.):11333184-11334291	4.2381
1_MACS_peak_202_lociStitched	chr1(.):11538887-11539710	3.0972
1_MACS_peak_203_lociStitched	chr1(.):11623217-11624156	0.9913
1_MACS_peak_204_lociStitched	chr1(.):11625260-11625573	0.8408
2_MACS_peak_205_lociStitched	chr1(.):11626912-11631324	2.0705
1_MACS_peak_207_lociStitched	chr1(.):11740477-11741666	2.1115
1_MACS_peak_208_lociStitched	chr1(.):11849884-11852180	1.7938
2_MACS_peak_209_lociStitched	chr1(.):11865073-11867347	2.1246
2_MACS_peak_211_lociStitched	chr1(.):11967805-11970384	3.1381
2_MACS_peak_213_lociStitched	chr1(.):11985761-11986940	0.7712
2_MACS_peak_215_lociStitched	chr1(.):11994237-11995140	0.8861
1_MACS_peak_217_lociStitched	chr1(.):12040061-12041176	4.4133
1_MACS_peak_218_lociStitched	chr1(.):12079414-12080041	1.0924
1_MACS_peak_219_lociStitched	chr1(.):12111634-12113012	1.6891
1_MACS_peak_220_lociStitched	chr1(.):12208571-12209087	1.1394
1_MACS_peak_221_lociStitched	chr1(.):12221206-12223029	2.0916
1_MACS_peak_222_lociStitched	chr1(.):12226972-12227594	0.8686
1_MACS_peak_223_lociStitched	chr1(.):12290116-12290629	1.0363
1_MACS_peak_224_lociStitched	chr1(.):12466273-12466541	0.7129
2_MACS_peak_225_lociStitched	chr1(.):12492874-12497500	3.519
2_MACS_peak_227_lociStitched	chr1(.):12508252-12510221	1.1705
1_MACS_peak_229_lociStitched	chr1(.):14026395-14026729	1.0669
2_MACS_peak_230_lociStitched	chr1(.):14056814-14058109	1.0961
2_MACS_peak_232_lociStitched	chr1(.):14075317-14076795	1.4473
1_MACS_peak_234_lociStitched	chr1(.):14272148-14272465	0.7414
2_MACS_peak_235_lociStitched	chr1(.):15735868-15737368	1.2353
1_MACS_peak_237_lociStitched	chr1(.):15850268-15852238	2.5599
1_MACS_peak_238_lociStitched	chr1(.):15853243-15853949	1.856
1_MACS_peak_239_lociStitched	chr1(.):15905678-15906626	1.4311
1_MACS_peak_240_lociStitched	chr1(.):15943936-15944916	1.9814
2_MACS_peak_241_lociStitched	chr1(.):16010049-16011695	1.735
1_MACS_peak_243_lociStitched	chr1(.):16072929-16073538	1.0022
1_MACS_peak_244_lociStitched	chr1(.):16160394-16163384	6.7132
5_MACS_peak_245_lociStitched	chr1(.):16173351-16179647	2.6778
1_MACS_peak_250_lociStitched	chr1(.):16302000-16302633	1.5395
1_MACS_peak_251_lociStitched	chr1(.):16338775-16341078	3.3798
1_MACS_peak_252_lociStitched	chr1(.):16341979-16343568	1.639
1_MACS_peak_253_lociStitched	chr1(.):16380239-16380693	0.7286
1_MACS_peak_254_lociStitched	chr1(.):16400208-16400662	1.1209
2_MACS_peak_255_lociStitched	chr1(.):16501915-16503631	1.4007
1_MACS_peak_257_lociStitched	chr1(.):16533171-16533402	0.6643
1_MACS_peak_258_lociStitched	chr1(.):16543606-16543943	0.7402
1_MACS_peak_259_lociStitched	chr1(.):16563097-16563682	1.4974
1_MACS_peak_260_lociStitched	chr1(.):16574939-16575546	1.2171
1_MACS_peak_261_lociStitched	chr1(.):16678215-16679743	2.5792
2_MACS_peak_262_lociStitched	chr1(.):16692934-16694977	3.2702
1_MACS_peak_264_lociStitched	chr1(.):16767174-16768051	1.9293
2_MACS_peak_265_lociStitched	chr1(.):16769053-16770621	1.4137
1_MACS_peak_267_lociStitched	chr1(.):16824888-16825810	1.0556
1_MACS_peak_268_lociStitched	chr1(.):16832445-16832937	2.2804
1_MACS_peak_270_lociStitched	chr1(.):16970157-16972050	3.5051
2_MACS_peak_271_lociStitched	chr1(.):16992556-16994206	8.8554
1_MACS_peak_273_lociStitched	chr1(.):17012348-17012761	1.3141
1_MACS_peak_274_lociStitched	chr1(.):17066036-17067259	11.2216
1_MACS_peak_275_lociStitched	chr1(.):17074734-17075331	1.6952
1_MACS_peak_276_lociStitched	chr1(.):17090734-17091214	0.9475
2_MACS_peak_277_lociStitched	chr1(.):17221591-17223602	7.8494
2_MACS_peak_279_lociStitched	chr1(.):17230275-17233341	7.9893
1_MACS_peak_281_lociStitched	chr1(.):17240676-17241481	1.3406
2_MACS_peak_282_lociStitched	chr1(.):17379691-17381163	1.9517
1_MACS_peak_284_lociStitched	chr1(.):17527094-17527425	0.6706
2_MACS_peak_285_lociStitched	chr1(.):17763829-17769316	2.5541
1_MACS_peak_287_lociStitched	chr1(.):17866336-17866808	0.8247
1_MACS_peak_288_lociStitched	chr1(.):17901973-17903606	2.0373
2_MACS_peak_289_lociStitched	chr1(.):17906262-17907625	1.5665
1_MACS_peak_291_lociStitched	chr1(.):17908278-17908678	0.7594
1_MACS_peak_292_lociStitched	chr1(.):19119824-19121413	1.5656
1_MACS_peak_293_lociStitched	chr1(.):19228962-19229818	3.0796
1_MACS_peak_294_lociStitched	chr1(.):19532090-19532791	1.0671
1_MACS_peak_295_lociStitched	chr1(.):19535889-19538113	3.5325
1_MACS_peak_296_lociStitched	chr1(.):19577315-19579115	4.6413
2_MACS_peak_297_lociStitched	chr1(.):19637949-19639353	1.6413
2_MACS_peak_299_lociStitched	chr1(.):19810824-19813023	3.0198
1_MACS_peak_301_lociStitched	chr1(.):19922696-19924388	3.4837
1_MACS_peak_302_lociStitched	chr1(.):20125633-20126862	0.9733
1_MACS_peak_303_lociStitched	chr1(.):20208802-20209470	1.9465
2_MACS_peak_304_lociStitched	chr1(.):20685304-20686149	0.8341
1_MACS_peak_306_lociStitched	chr1(.):20833970-20835093	2.5587
2_MACS_peak_307_lociStitched	chr1(.):20915567-20917696	1.1814
2_MACS_peak_309_lociStitched	chr1(.):20984507-20986026	1.0399
2_MACS_peak_311_lociStitched	chr1(.):20987122-20988701	1.6496
2_MACS_peak_313_lociStitched	chr1(.):21112393-21114354	3.5887
2_MACS_peak_315_lociStitched	chr1(.):21502222-21503514	1.3686
2_MACS_peak_317_lociStitched	chr1(.):21618813-21623684	3.9288
2_MACS_peak_319_lociStitched	chr1(.):21670148-21672845	1.8942
1_MACS_peak_321_lociStitched	chr1(.):22107787-22110338	5.3763
1_MACS_peak_322_lociStitched	chr1(.):22117376-22119055	2.4553
1_MACS_peak_323_lociStitched	chr1(.):22351206-22353221	4.5905
1_MACS_peak_324_lociStitched	chr1(.):22366495-22367341	1.0638
1_MACS_peak_325_lociStitched	chr1(.):22378640-22380221	3.3513
1_MACS_peak_326_lociStitched	chr1(.):22444923-22445238	0.8279
2_MACS_peak_327_lociStitched	chr1(.):22744732-22746710	1.0815
1_MACS_peak_329_lociStitched	chr1(.):22778241-22779095	1.8668
1_MACS_peak_330_lociStitched	chr1(.):22820364-22822460	1.7071
2_MACS_peak_331_lociStitched	chr1(.):22834040-22835972	1.6954
2_MACS_peak_333_lociStitched	chr1(.):23037920-23039728	1.0802
1_MACS_peak_335_lociStitched	chr1(.):23345856-23346839	2.7884
1_MACS_peak_336_lociStitched	chr1(.):23494850-23495328	1.0475
1_MACS_peak_337_lociStitched	chr1(.):23669668-23671872	6.3789
1_MACS_peak_338_lociStitched	chr1(.):23694970-23695961	1.8402
2_MACS_peak_339_lociStitched	chr1(.):23850607-23858526	5.8204
3_MACS_peak_341_lociStitched	chr1(.):23859266-23861042	1.0288
1_MACS_peak_344_lociStitched	chr1(.):23865968-23866426	0.9765
1_MACS_peak_345_lociStitched	chr1(.):23880704-23881399	2.7518
2_MACS_peak_346_lociStitched	chr1(.):23885422-23886513	0.8289
1_MACS_peak_348_lociStitched	chr1(.):24018248-24019121	3.1915
1_MACS_peak_349_lociStitched	chr1(.):24063492-24063867	0.787
1_MACS_peak_350_lociStitched	chr1(.):24069421-24070722	1.5505
2_MACS_peak_351_lociStitched	chr1(.):24104144-24105373	2.3969
1_MACS_peak_353_lociStitched	chr1(.):24117160-24118482	1.2147
1_MACS_peak_354_lociStitched	chr1(.):24126633-24127985	1.7364
1_MACS_peak_355_lociStitched	chr1(.):24151245-24152351	2.3854
1_MACS_peak_356_lociStitched	chr1(.):24225834-24226265	1.1184
1_MACS_peak_357_lociStitched	chr1(.):24246242-24247046	0.9675
1_MACS_peak_358_lociStitched	chr1(.):24284809-24287250	5.2797
1_MACS_peak_359_lociStitched	chr1(.):24291454-24291794	0.7981
1_MACS_peak_360_lociStitched	chr1(.):24305744-24307707	6.5843
1_MACS_peak_361_lociStitched	chr1(.):24357729-24357944	0.6035
2_MACS_peak_362_lociStitched	chr1(.):24513128-24518549	4.0857
3_MACS_peak_364_lociStitched	chr1(.):24528432-24531301	1.7684
1_MACS_peak_367_lociStitched	chr1(.):24647821-24649710	3.67
1_MACS_peak_368_lociStitched	chr1(.):24711077-24711625	0.96
1_MACS_peak_369_lociStitched	chr1(.):24715358-24716807	1.4666
1_MACS_peak_370_lociStitched	chr1(.):24717945-24719022	1.3332
2_MACS_peak_371_lociStitched	chr1(.):24861598-24863266	1.1542
1_MACS_peak_373_lociStitched	chr1(.):24883003-24886452	2.9158
1_MACS_peak_374_lociStitched	chr1(.):24968892-24970895	4.9571
2_MACS_peak_375_lociStitched	chr1(.):24974384-24976150	1.0794
1_MACS_peak_377_lociStitched	chr1(.):25021117-25021409	0.7176
1_MACS_peak_378_lociStitched	chr1(.):25031365-25031920	1.0706
1_MACS_peak_379_lociStitched	chr1(.):25048761-25049271	1.01
2_MACS_peak_380_lociStitched	chr1(.):25053197-25054727	1.2703
1_MACS_peak_382_lociStitched	chr1(.):25071785-25073461	2.5782
2_MACS_peak_383_lociStitched	chr1(.):25290427-25293095	2.6719
1_MACS_peak_385_lociStitched	chr1(.):25347540-25351294	4.2517
1_MACS_peak_386_lociStitched	chr1(.):25558351-25559712	2.1784
2_MACS_peak_387_lociStitched	chr1(.):25562779-25564656	1.3398
1_MACS_peak_389_lociStitched	chr1(.):25565704-25567046	1.8435
1_MACS_peak_390_lociStitched	chr1(.):25572754-25574614	3.0007
1_MACS_peak_391_lociStitched	chr1(.):25593267-25594425	1.6437
1_MACS_peak_392_lociStitched	chr1(.):25663761-25665578	2.1467
4_MACS_peak_393_lociStitched	chr1(.):25756247-25758375	1.3172
2_MACS_peak_397_lociStitched	chr1(.):25869995-25873027	1.8062
2_MACS_peak_399_lociStitched	chr1(.):25874032-25879353	4.2858
1_MACS_peak_401_lociStitched	chr1(.):25882383-25882784	0.9148
2_MACS_peak_402_lociStitched	chr1(.):25888609-25889817	0.9883
1_MACS_peak_404_lociStitched	chr1(.):25943328-25943910	1.5676
2_MACS_peak_405_lociStitched	chr1(.):25946403-25947793	0.9439
2_MACS_peak_407_lociStitched	chr1(.):25967549-25971881	1.7391
2_MACS_peak_409_lociStitched	chr1(.):26002135-26003447	1.2025
1_MACS_peak_411_lociStitched	chr1(.):26056479-26057448	1.2056
1_MACS_peak_412_lociStitched	chr1(.):26097788-26099247	1.6038
2_MACS_peak_413_lociStitched	chr1(.):26100834-26102340	1.0392
2_MACS_peak_415_lociStitched	chr1(.):26108600-26110377	1.1551
1_MACS_peak_417_lociStitched	chr1(.):26145993-26147412	2.1681
1_MACS_peak_418_lociStitched	chr1(.):26185172-26185923	2.024
1_MACS_peak_419_lociStitched	chr1(.):26231419-26233018	5.1131
1_MACS_peak_420_lociStitched	chr1(.):26260257-26260800	0.8856
1_MACS_peak_421_lociStitched	chr1(.):26323152-26324656	2.8017
2_MACS_peak_422_lociStitched	chr1(.):26437056-26441348	3.6782
1_MACS_peak_424_lociStitched	chr1(.):26445884-26447449	2.6005
1_MACS_peak_425_lociStitched	chr1(.):26452091-26454069	2.0162
1_MACS_peak_426_lociStitched	chr1(.):26496346-26497166	3.5323
1_MACS_peak_427_lociStitched	chr1(.):26560610-26561848	3.2368
3_MACS_peak_428_lociStitched	chr1(.):26577838-26581779	1.9684
1_MACS_peak_431_lociStitched	chr1(.):26605974-26607267	1.7242
2_MACS_peak_432_lociStitched	chr1(.):26632579-26633907	1.375
1_MACS_peak_434_lociStitched	chr1(.):26758250-26759442	1.9944
1_MACS_peak_435_lociStitched	chr1(.):26798127-26800265	5.5007
1_MACS_peak_436_lociStitched	chr1(.):26826560-26828233	4.0794
1_MACS_peak_437_lociStitched	chr1(.):26946404-26948321	4.5303
2_MACS_peak_438_lociStitched	chr1(.):27018587-27031488	4.1033
1_MACS_peak_440_lociStitched	chr1(.):27049492-27050573	1.6518
1_MACS_peak_441_lociStitched	chr1(.):27066869-27067446	1.0463
1_MACS_peak_442_lociStitched	chr1(.):27069598-27071798	1.8213
1_MACS_peak_443_lociStitched	chr1(.):27113093-27115773	3.1701
1_MACS_peak_444_lociStitched	chr1(.):27190883-27192557	3.3803
1_MACS_peak_445_lociStitched	chr1(.):27216133-27216869	1.6859
1_MACS_peak_446_lociStitched	chr1(.):27226379-27226987	1.6663
1_MACS_peak_447_lociStitched	chr1(.):27248036-27248926	3.223
2_MACS_peak_448_lociStitched	chr1(.):27481186-27482496	1.143
1_MACS_peak_450_lociStitched	chr1(.):27560967-27561619	0.9376
1_MACS_peak_451_lociStitched	chr1(.):27648586-27649642	2.4333
2_MACS_peak_452_lociStitched	chr1(.):27718338-27719688	1.2484
1_MACS_peak_454_lociStitched	chr1(.):27815555-27817540	2.9887
1_MACS_peak_455_lociStitched	chr1(.):27952118-27952773	0.9934
2_MACS_peak_456_lociStitched	chr1(.):27985592-27986704	0.9152
2_MACS_peak_458_lociStitched	chr1(.):28051619-28053268	1.2197
1_MACS_peak_460_lociStitched	chr1(.):28079139-28079782	0.7486
1_MACS_peak_461_lociStitched	chr1(.):28099547-28100465	1.3091
1_MACS_peak_462_lociStitched	chr1(.):28156844-28158121	2.0481
3_MACS_peak_463_lociStitched	chr1(.):28200937-28203809	1.6613
1_MACS_peak_466_lociStitched	chr1(.):28240259-28241918	3.4883
1_MACS_peak_467_lociStitched	chr1(.):28353713-28354144	0.781
2_MACS_peak_468_lociStitched	chr1(.):28355100-28356679	2.1139
1_MACS_peak_470_lociStitched	chr1(.):28414253-28415210	2.3021
1_MACS_peak_471_lociStitched	chr1(.):28558935-28559621	2.9153
1_MACS_peak_472_lociStitched	chr1(.):28562105-28563453	1.8593
3_MACS_peak_473_lociStitched	chr1(.):28570849-28577201	2.6161
2_MACS_peak_476_lociStitched	chr1(.):28584999-28587051	2.5765
1_MACS_peak_478_lociStitched	chr1(.):28654809-28656429	2.1778
1_MACS_peak_479_lociStitched	chr1(.):28695704-28696823	2.0845
2_MACS_peak_480_lociStitched	chr1(.):28743544-28744851	1.115
2_MACS_peak_482_lociStitched	chr1(.):28805149-28807997	1.8494
1_MACS_peak_484_lociStitched	chr1(.):28827736-28828461	1.1581
3_MACS_peak_485_lociStitched	chr1(.):28831781-28837480	2.0663
1_MACS_peak_488_lociStitched	chr1(.):28844711-28846200	4.0319
2_MACS_peak_489_lociStitched	chr1(.):28878837-28880395	1.8777
2_MACS_peak_491_lociStitched	chr1(.):28906197-28908828	1.4246
1_MACS_peak_493_lociStitched	chr1(.):28913202-28913680	1.3465
1_MACS_peak_494_lociStitched	chr1(.):28925001-28929367	2.4583
1_MACS_peak_495_lociStitched	chr1(.):28968895-28971088	3.285
1_MACS_peak_496_lociStitched	chr1(.):28974037-28975306	2.8916
2_MACS_peak_497_lociStitched	chr1(.):28994633-28996357	1.6083
2_MACS_peak_499_lociStitched	chr1(.):29062760-29064781	3.0646
1_MACS_peak_501_lociStitched	chr1(.):29211018-29211752	1.1063
1_MACS_peak_502_lociStitched	chr1(.):29213085-29214456	2.3762
1_MACS_peak_503_lociStitched	chr1(.):29240478-29241044	0.8319
1_MACS_peak_504_lociStitched	chr1(.):29506942-29509244	5.7219
1_MACS_peak_505_lociStitched	chr1(.):29528922-29529401	0.8343
1_MACS_peak_506_lociStitched	chr1(.):29556824-29557679	1.7989
1_MACS_peak_507_lociStitched	chr1(.):30266126-30266415	0.6183
1_MACS_peak_508_lociStitched	chr1(.):30337316-30337658	0.7819
1_MACS_peak_509_lociStitched	chr1(.):30901773-30903103	1.2696
1_MACS_peak_510_lociStitched	chr1(.):31191510-31192375	7.0056
1_MACS_peak_511_lociStitched	chr1(.):31255279-31255878	0.8939
1_MACS_peak_512_lociStitched	chr1(.):31297029-31297310	0.8716
1_MACS_peak_513_lociStitched	chr1(.):31385452-31386466	1.0039
1_MACS_peak_514_lociStitched	chr1(.):31391044-31394036	2.7322
1_MACS_peak_515_lociStitched	chr1(.):31395801-31396147	1.0028
2_MACS_peak_516_lociStitched	chr1(.):31434592-31438013	1.9007
2_MACS_peak_518_lociStitched	chr1(.):31438816-31441393	1.4639
1_MACS_peak_520_lociStitched	chr1(.):31536649-31536964	0.7867
1_MACS_peak_521_lociStitched	chr1(.):31537467-31539272	2.3817
1_MACS_peak_522_lociStitched	chr1(.):31768655-31770473	2.4838
2_MACS_peak_523_lociStitched	chr1(.):31913766-31915480	1.0034
1_MACS_peak_525_lociStitched	chr1(.):31949452-31950793	1.3693
1_MACS_peak_526_lociStitched	chr1(.):31955237-31957251	3.8153
1_MACS_peak_527_lociStitched	chr1(.):31971851-31972248	1.0575
1_MACS_peak_528_lociStitched	chr1(.):32109550-32111247	6.656
1_MACS_peak_529_lociStitched	chr1(.):32253813-32254336	2.2121
1_MACS_peak_530_lociStitched	chr1(.):32341233-32341558	0.8047
1_MACS_peak_531_lociStitched	chr1(.):32402882-32404552	2.1224
